Orthogroup	Cardamine_glauca	Cardamine_hirsuta
OG0000056	Cg007G2285200	CARHR050320
OG0000056	Cg007G2283700	CARHR050310
OG0000056	Cg007G2283400	CARHR050020
OG0000056	Cg007G2284500	CARHR050220
OG0000056	Cg007G2283300	CARHR049970
OG0000056	Cg007G2283900, Cg007G2285300, Cg007G2285000	CARHR050330
OG0000056	Cg007G2283500	CARHR049990, CARHR050000
OG0000056	Cg007G2284900, Cg007G2285100	CARHR050280, CARHR049980, CARHR050290
OG0000056	Cg002G0557700	CARHR155600
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	CARHR286550, CARHR102470, CARHR152130
OG0000060	Cg005G1558200	CARHR273260
OG0000060	Cg002G0489100	CARHR154290
OG0000060	Cg002G0566100	CARHR163630
OG0000061	Cg004G1379900	CARHR228580
OG0000061	Cg003G0858900	CARHR252580
OG0000061	Cg005G1634900	CARHR123140
OG0000061	Cg005G1631000	CARHR123070
OG0000061	Cg005G1634800	CARHR123150
OG0000064	Cg003G0987600	CARHR050760, CARHR273290, CARHR054420, CARHR289730, CARHR289690
OG0000065	Cg007G2434600	CARHR059130
OG0000065	Cg007G2435800	CARHR059270, CARHR059250
OG0000065	Cg007G2435300	CARHR059200
OG0000065	Cg001G0358400, Cg001G0358500	CARHR263450
OG0000065	Cg003G0889600	CARHR257300
OG0000066	Cg003G1045600	CARHR279310
OG0000066	Cg008G2671000	CARHR279320, CARHR202900
OG0000066	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900	CARHR068990
OG0000066	Cg008G2677200, Cg001G0018800	CARHR202310
OG0000068	Cg008G2597800, Cg002G0415500	CARHR210960
OG0000068	Cg008G2602600	CARHR210190
OG0000069	Cg007G2462800	CARHR264470
OG0000070	Cg006G2161100	CARHR010350
OG0000070	Cg002G0680500	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	Cg006G2064200	CARHR020650
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	CARHR069500
OG0000070	Cg008G2918500, Cg011G3015900	CARHR284690
OG0000070	Cg001G0056200	CARHR052170, CARHR288810
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300	CARHR049910, CARHR219260
OG0000072	Cg001G0334100	CARHR119870, CARHR260200
OG0000075	Cg001G0013900	CARHR247150
OG0000075	Cg001G0013800	CARHR247160
OG0000075	Cg004G1368500	CARHR105240
OG0000076	Cg001G0007600	CARHR247830
OG0000076	Cg005G1594800	CARHR127180
OG0000076	Cg008G2963600	CARHR176370
OG0000077	Cg008G2957400	CARHR177040
OG0000077	Cg005G1775900	CARHR177280, CARHR112190
OG0000077	Cg003G0758200	CARHR254940
OG0000077	Cg002G0678300	CARHR288740
OG0000077	Cg002G0679000	CARHR145650
OG0000077	Cg002G0679200	CARHR145640
OG0000077	Cg006G2167500	CARHR009640
OG0000078	Cg004G1099800	CARHR077930
OG0000078	Cg004G1099900	CARHR077940
OG0000078	Cg008G2744900, Cg008G2744200, Cg008G2744500	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	Cg002G0570600	CARHR180710
OG0000079	Cg010G2993500	CARHR151670, CARHR119610
OG0000081	Cg003G0774600, Cg008G2921900	CARHR217030
OG0000081	Cg007G2409600, Cg007G2443800	CARHR258030
OG0000086	Cg001G0342500	CARHR214810
OG0000086	Cg001G0341500	CARHR214860
OG0000086	Cg001G0342600	CARHR214790, CARHR214760
OG0000089	Cg008G2794800	CARHR189700
OG0000089	Cg002G0558400	CARHR155480
OG0000089	Cg005G1638200	CARHR122890
OG0000089	Cg008G2689500	CARHR200860
OG0000089	Cg008G2943700	CARHR178800
OG0000089	Cg001G0195600	CARHR227450
OG0000089	Cg005G1585200	CARHR128920
OG0000089	Cg006G2065500	CARHR020480
OG0000089	Cg007G2528700	CARHR069200
OG0000091	Cg002G0555900	CARHR155740
OG0000091	Cg002G0552600	CARHR156270
OG0000091	Cg002G0556200	CARHR155710, CARHR155700
OG0000091	Cg008G2769400	CARHR192330
OG0000091	Cg003G0829200, Cg003G0877100	CARHR262970
OG0000091	Cg007G2364700	CARHR152670
OG0000095	Cg005G1737700, Cg005G1737600	CARHR116870
OG0000095	Cg005G1739100	CARHR117020
OG0000095	Cg005G1739400	CARHR117880, CARHR117220
OG0000096	Cg008G2960400	CARHR120290
OG0000096	Cg001G0384700	CARHR084920
OG0000096	Cg004G1249300	CARHR093690
OG0000096	Cg004G1260000	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000098	Cg007G2258600, Cg007G2258500	CARHR046250
OG0000098	Cg008G2823500	CARHR174970
OG0000100	Cg007G2289500	CARHR050870
OG0000100	Cg007G2332300	CARHR055030
OG0000100	Cg007G2290800	CARHR051270, CARHR051280, CARHR051250
OG0000101	Cg007G2332400	CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950
OG0000102	Cg003G0864100, Cg003G0734300	CARHR252050
OG0000102	Cg003G0734500	CARHR252070
OG0000102	Cg003G0863700, Cg003G0734700	CARHR252110, CARHR252090
OG0000102	Cg003G0734400, Cg003G0864000	CARHR252060
OG0000105	Cg007G2307400, Cg007G2331800	CARHR047220
OG0000105	Cg007G2332200, Cg007G2332800	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570, CARHR047200, CARHR047260, CARHR262020, CARHR047480, CARHR215710, CARHR149270, CARHR047160, CARHR055020
OG0000106	Cg007G2419200, Cg008G2833600	CARHR183910
OG0000107	Cg005G1681600	CARHR119260, CARHR119250
OG0000107	Cg004G1267700	CARHR095660
OG0000107	Cg004G1267500	CARHR095650
OG0000107	Cg004G1267300	CARHR095620
OG0000107	Cg004G1267400	CARHR055760
OG0000107	Cg004G1267200	CARHR095610
OG0000108	Cg005G1557400	CARHR131960
OG0000108	Cg003G0983900, Cg002G0564200	CARHR285740
OG0000108	Cg004G1180800	CARHR086670
OG0000108	Cg008G2664600	CARHR203590
OG0000108	Cg004G1253800	CARHR094190
OG0000111	Cg002G0508300, Cg002G0508200, Cg006G1938400	CARHR155540, CARHR161910, CARHR161710, CARHR161740
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	CARHR148290
OG0000115	Cg006G1927900, Cg008G2910800	CARHR155450
OG0000116	Cg001G0293300, Cg001G0282800	CARHR217650
OG0000117	Cg006G2031100	CARHR023950
OG0000117	Cg006G2029900	CARHR024070
OG0000117	Cg006G2029400	CARHR024100
OG0000119	Cg005G1714200	CARHR114860
OG0000119	Cg002G0596700	CARHR256190, CARHR263010
OG0000119	Cg002G0574300	CARHR150080
OG0000119	Cg001G0041500	CARHR143200, CARHR207890
OG0000119	Cg002G0574700	CARHR150200
OG0000121	Cg002G0640900, Cg004G1362200	CARHR114800
OG0000121	Cg008G2905000	CARHR054110, CARHR100990
OG0000122	Cg003G0952800	CARHR269920
OG0000122	Cg003G0800700	CARHR269930
OG0000123	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900	CARHR181480, CARHR181490
OG0000124	Cg001G0378100	CARHR261370
OG0000124	Cg001G0298900	CARHR153360, CARHR119160, CARHR259840, CARHR180340
OG0000125	Cg005G1643500	CARHR122240
OG0000125	Cg005G1643600	CARHR122230
OG0000125	Cg005G1644900	CARHR122140
OG0000125	Cg005G1644600	CARHR122190
OG0000125	Cg006G2188500	CARHR007350
OG0000125	Cg006G1841400	CARHR039100
OG0000125	Cg006G1816500	CARHR041970
OG0000125	Cg006G1816900, Cg006G1816400	CARHR041980
OG0000125	Cg004G1281100	CARHR097260
OG0000127	Cg006G2186100	CARHR007600
OG0000127	Cg008G2786000	CARHR190650
OG0000127	Cg002G0489900	CARHR163570
OG0000127	Cg008G2597500	CARHR210790
OG0000127	Cg003G0989900	CARHR273520
OG0000127	Cg002G0569500, Cg002G0569100	CARHR154340, CARHR154390
OG0000127	Cg005G1647800	CARHR121850
OG0000128	Cg007G2459200	CARHR061850
OG0000128	Cg002G0434200	CARHR169630
OG0000128	Cg002G0434700	CARHR169580
OG0000128	Cg002G0434600	CARHR169600
OG0000129	Cg007G2357000	CARHR038520, CARHR038560, CARHR056630
OG0000129	Cg007G2393300	CARHR056680
OG0000129	Cg007G2412500, Cg007G2396400	CARHR056760, CARHR056690
OG0000129	Cg003G1010100	CARHR275720
OG0000129	Cg003G1010200, Cg003G1010000	CARHR275710
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700	CARHR120250
OG0000129	Cg005G1661700	CARHR120240, CARHR120610
OG0000129	Cg008G2880200	CARHR038530, CARHR038540
OG0000129	Cg007G2357100	CARHR056610
OG0000130	Cg008G2849000	CARHR038370, CARHR217450
OG0000132	Cg002G0477500	CARHR164880
OG0000134	Cg008G2920900	CARHR202050
OG0000137	Cg003G0942200	CARHR268710
OG0000137	Cg003G0942300	CARHR268720
OG0000137	Cg003G0942100	CARHR268700
OG0000137	Cg003G0942000	CARHR268690
OG0000137	Cg003G0941900	CARHR268680
OG0000138	Cg007G2299800	CARHR052000
OG0000138	Cg002G0558300, Cg002G0563500	CARHR169390
OG0000138	Cg007G2299300	CARHR052010
OG0000138	Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500	CARHR052020, CARHR053570
OG0000140	Cg003G0810900	CARHR146770
OG0000141	Cg007G2276000, Cg007G2276100	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010
OG0000143	Cg001G0285100	CARHR287550
OG0000143	Cg002G0608200	CARHR181670, CARHR183500
OG0000148	Cg006G1825800	CARHR040900
OG0000151	Cg002G0579800	CARHR151000
OG0000151	Cg002G0475200	CARHR165130
OG0000151	Cg002G0475300	CARHR165120
OG0000151	Cg005G1538800	CARHR134140
OG0000151	Cg002G0475400	CARHR165110
OG0000151	Cg002G0491600	CARHR163410
OG0000151	Cg005G1560100	CARHR132240
OG0000151	Cg008G2699500	CARHR199860
OG0000153	Cg005G1625900	CARHR124170, CARHR124160
OG0000153	Cg005G1641100	CARHR122600, CARHR122610
OG0000153	Cg006G2190200	CARHR007210
OG0000153	Cg005G1640700	CARHR122550
OG0000154	Cg006G1826100	CARHR040870
OG0000154	Cg001G0245400	CARHR290670
OG0000154	Cg006G1826000	CARHR040880, CARHR041470
OG0000154	Cg006G1826400	CARHR041490, CARHR040850
OG0000154	Cg006G1826200	CARHR040860, CARHR041500
OG0000157	Cg006G1948100, Cg006G1948200, Cg006G1948000	CARHR030250
OG0000158	Cg008G2596700	CARHR210870
OG0000159	Cg003G0778900, Cg005G1705200	CARHR184120
OG0000160	Cg004G1426700	CARHR109500
OG0000160	Cg001G0100800	CARHR238090
OG0000160	Cg003G0963700	CARHR271150
OG0000160	Cg004G1353700	CARHR104060
OG0000160	Cg007G2573400	CARHR073860
OG0000160	Cg005G1742100	CARHR117520
OG0000162	Cg005G1601600	CARHR127170
OG0000162	Cg002G0675900, Cg002G0676200	CARHR145910
OG0000162	Cg002G0676100	CARHR145930
OG0000162	Cg004G1334900	CARHR102810, CARHR103310
OG0000162	Cg005G1601400	CARHR127190
OG0000165	Cg008G2927600	CARHR180400
OG0000166	Cg013G3025200, Cg013G3024600, Cg013G3024900	CARHR115410, CARHR183960
OG0000166	Cg036G3082400	CARHR115420
OG0000167	Cg004G1278400	CARHR096960, CARHR096980
OG0000167	Cg004G1301000	CARHR099220
OG0000169	Cg003G0905500, Cg003G0905700	CARHR148260, CARHR265180, CARHR265400
OG0000170	Cg005G1473800	CARHR140800
OG0000170	Cg005G1474000	CARHR186310, CARHR140760
OG0000171	Cg003G0916500	CARHR266340
OG0000171	Cg007G2262400	CARHR046700
OG0000171	Cg004G1402700	CARHR107000
OG0000171	Cg003G0949800	CARHR269520
OG0000171	Cg004G1146700	CARHR082990
OG0000171	Cg001G0123300	CARHR235660
OG0000173	Cg008G2861400, Cg008G2846800	CARHR246590
OG0000173	Cg001G0073600	CARHR132630
OG0000174	Cg007G2342000, Cg002G0629800	CARHR292260
OG0000174	Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900	CARHR102990
OG0000175	Cg006G2031400, Cg007G2474600	CARHR023910
OG0000175	Cg007G2303300, Cg006G2157000	CARHR010800
OG0000175	Cg008G2710700	CARHR198650
OG0000175	Cg002G0406800, Cg005G1457900	CARHR142560
OG0000176	Cg005G1747600	CARHR118040
OG0000176	Cg004G1115500	CARHR118080, CARHR118100
OG0000176	Cg005G1747800	CARHR118130
OG0000176	Cg008G2964200	CARHR176300
OG0000176	Cg007G2484200	CARHR291280, CARHR064660, CARHR291340, CARHR292140
OG0000177	Cg006G2054300, Cg006G2054100	CARHR256500, CARHR181980
OG0000177	Cg006G2054500	CARHR059110
OG0000178	Cg003G0742900, Cg003G0743000	CARHR253020
OG0000178	Cg006G1925200	CARHR250370
OG0000178	Cg006G1925100	CARHR250360
OG0000178	Cg003G0742300	CARHR259510
OG0000179	Cg007G2311400	CARHR283730
OG0000183	Cg001G0339800	CARHR215030
OG0000183	Cg002G0456600, Cg005G1519300	CARHR136200
OG0000183	Cg008G2776300	CARHR191680, CARHR114540
OG0000183	Cg005G1681400	CARHR119300
OG0000185	Cg004G1189300	CARHR087540, CARHR087530
OG0000185	Cg006G1989500	CARHR028040
OG0000186	Cg005G1766900	CARHR113370
OG0000186	Cg002G0535100	CARHR158340
OG0000187	Cg005G1772000	CARHR112670, CARHR112680
OG0000187	Cg006G2070900	CARHR020040
OG0000188	Cg004G1107000	CARHR078870
OG0000189	Cg002G0515600	CARHR160880
OG0000189	Cg001G0040600	CARHR244350
OG0000189	Cg004G1414100	CARHR108220
OG0000189	Cg001G0051000	CARHR243300
OG0000189	Cg007G2529500	CARHR069390
OG0000189	Cg006G2064800	CARHR020570
OG0000191	Cg001G0299600, Cg005G1682000, Cg007G2302000, Cg006G1951500, Cg007G2389300, Cg007G2329300	CARHR150970
OG0000192	Cg006G1993900	CARHR233830
OG0000192	Cg006G1994000	CARHR014050
OG0000193	Cg004G1230500	CARHR091790
OG0000193	Cg006G1859600, Cg006G1859800	CARHR036380
OG0000193	Cg006G1859900, Cg006G1859400	CARHR036970
OG0000193	Cg006G1948300	CARHR031880
OG0000195	Cg004G1434800, Cg004G1435000, Cg004G1433700, Cg004G1435100, Cg004G1434700	CARHR175680, CARHR155390, CARHR110710, CARHR110090
OG0000195	Cg003G0787700	CARHR273570
OG0000195	Cg003G0990000, Cg002G0555700	CARHR273550, CARHR273540
OG0000195	Cg003G0787800	CARHR273560
OG0000196	Cg001G0390600	CARHR272920
OG0000196	Cg001G0388500	CARHR213580, CARHR272900, CARHR287600
OG0000196	Cg001G0388000, Cg001G0388200	CARHR288120, CARHR287580, CARHR213590
OG0000196	Cg001G0387900, Cg001G0387800	CARHR288130
OG0000196	Cg001G0388400	CARHR291940, CARHR213880
OG0000197	Cg001G0339500	CARHR215060, CARHR215050, CARHR215370
OG0000197	Cg003G0914600, Cg003G0914900, Cg003G0915100, Cg003G0914800	CARHR266210
OG0000197	Cg003G0788900, Cg003G0788200	CARHR260280
OG0000198	Cg002G0692800	CARHR144080
OG0000198	Cg006G2114000	CARHR015470
OG0000198	Cg006G2113800, Cg006G2113700	CARHR015480
OG0000198	Cg002G0664200	CARHR147290
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400	CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	Cg014G3034400, Cg008G2903900	CARHR251110
OG0000199	Cg001G0105000	CARHR237670
OG0000200	Cg006G2183200	CARHR110490
OG0000200	Cg006G1985400	CARHR028490
OG0000200	Cg006G1857600	CARHR028750, CARHR037140
OG0000200	Cg006G1857700	CARHR037150
OG0000202	Cg003G0719400	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	Cg002G0442000	CARHR168640
OG0000203	Cg002G0441200	CARHR168590, CARHR259860
OG0000203	Cg002G0441400	CARHR168740
OG0000203	Cg002G0441100	CARHR168770
OG0000203	Cg002G0441500	CARHR168690
OG0000205	Cg006G1892500	CARHR286250, CARHR105060, CARHR218440
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	CARHR057780, CARHR183230
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	CARHR014880, CARHR035940, CARHR010330
OG0000209	Cg008G2968000	CARHR014740, CARHR010320
OG0000209	Cg008G2677700	CARHR202500
OG0000209	Cg005G1613100, Cg003G0772300	CARHR125670, CARHR125660, CARHR124000
OG0000209	Cg006G2021100	CARHR024930
OG0000209	Cg006G1996300	CARHR008650
OG0000210	Cg005G1646400	CARHR121990
OG0000210	Cg005G1480200	CARHR140170
OG0000210	Cg002G0423700	CARHR170840
OG0000210	Cg005G1646200	CARHR069160, CARHR059610
OG0000216	Cg003G0750100	CARHR253850
OG0000216	Cg003G0750300, Cg003G0750200	CARHR253870
OG0000216	Cg003G0750000	CARHR253840
OG0000216	Cg007G2323800	CARHR054340
OG0000216	Cg001G0324000	CARHR166590
OG0000216	Cg001G0323300	CARHR216300
OG0000219	Cg001G0279900	CARHR037370, CARHR272960
OG0000219	Cg006G1830800	CARHR253110
OG0000225	Cg007G2558500	CARHR072280
OG0000226	Cg003G0770400	CARHR256020
OG0000227	Cg004G1118500	CARHR080100
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	CARHR105540, CARHR105520
OG0000227	Cg004G1376900	CARHR105480
OG0000229	Cg001G0315200	CARHR062190
OG0000229	Cg005G1664500, Cg007G2409700	CARHR004570
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	CARHR186450, CARHR286030
OG0000232	Cg006G1824400, Cg004G1119800	CARHR122740
OG0000232	Cg005G1715100, Cg005G1758600	CARHR110940
OG0000233	Cg008G2647600	CARHR205610
OG0000233	Cg008G2647700	CARHR205600
OG0000233	Cg008G2647900	CARHR205590
OG0000233	Cg008G2647800	CARHR205580
OG0000233	Cg008G2647400	CARHR205620
OG0000234	Cg005G1484700	CARHR139700
OG0000234	Cg004G1263300	CARHR095200
OG0000234	Cg008G2601400	CARHR210300
OG0000235	Cg005G1544000	CARHR133380
OG0000235	Cg007G2571200, Cg007G2574000	CARHR073970
OG0000236	Cg007G2466600	CARHR062600
OG0000236	Cg004G1287300	CARHR097950
OG0000236	Cg004G1311000	CARHR000080, CARHR100230
OG0000236	Cg004G1333500	CARHR102630
OG0000236	Cg003G0795800	CARHR260580
OG0000237	Cg004G1316600	CARHR099050
OG0000237	Cg006G1842500	CARHR043980, CARHR044120
OG0000237	Cg001G0099500	CARHR238210
OG0000237	Cg004G1282100	CARHR097380
OG0000238	Cg007G2478500	CARHR064100, CARHR064090
OG0000238	Cg007G2478800	CARHR064130
OG0000238	Cg007G2478600	CARHR064110
OG0000238	Cg007G2478900	CARHR064140
OG0000238	Cg002G0635600	CARHR292540
OG0000238	Cg008G2832400	CARHR185670
OG0000238	Cg006G2034900	CARHR023530
OG0000238	Cg006G2035000	CARHR023500, CARHR023520, CARHR023510
OG0000238	Cg007G2478700	CARHR064120
OG0000239	Cg002G0661500, Cg007G2316100, Cg006G2142800	CARHR218360
OG0000239	Cg001G0354900, Cg008G2902200	CARHR113140
OG0000239	Cg003G0837600	CARHR184570, CARHR118460, CARHR285080, CARHR125790
OG0000241	Cg001G0185400	CARHR228610
OG0000241	Cg003G0857500, Cg003G0740200	CARHR252730
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	CARHR175670
OG0000244	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900	CARHR252310
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	CARHR251320, CARHR252330, CARHR252290
OG0000244	Cg003G0728100, Cg003G0869700	CARHR251330
OG0000246	Cg005G1566300	CARHR131170, CARHR131180
OG0000247	Cg001G0351600, Cg001G0351800	CARHR291820
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	CARHR101580, CARHR101880, CARHR101530
OG0000248	Cg007G2470700	CARHR063140
OG0000248	Cg007G2470600	CARHR063150, CARHR063130
OG0000249	Cg007G2349500, Cg004G1391400	CARHR029720
OG0000251	Cg002G0663900	CARHR147310
OG0000251	Cg002G0664000	CARHR147300
OG0000251	Cg002G0663800	CARHR147330
OG0000251	Cg003G0962700	CARHR271060
OG0000252	Cg001G0086600	CARHR230420
OG0000252	Cg007G2272200	CARHR048360, CARHR048350, CARHR048370
OG0000252	Cg007G2546100	CARHR071040
OG0000252	Cg007G2546300	CARHR071060
OG0000252	Cg007G2546200	CARHR071050
OG0000253	Cg004G1153800	CARHR083800, CARHR083820, CARHR083810
OG0000253	Cg008G2596500	CARHR210890
OG0000253	Cg004G1184700	CARHR087080
OG0000253	Cg004G1154100	CARHR083850
OG0000253	Cg008G2596600	CARHR210880
OG0000254	Cg001G0250300	CARHR290060
OG0000254	Cg001G0250200	CARHR290070
OG0000254	Cg001G0249500	CARHR290100
OG0000254	Cg001G0249800	CARHR290090
OG0000257	Cg007G2529300	CARHR069370
OG0000257	Cg008G2969000	CARHR069250, CARHR069290, CARHR069270
OG0000257	Cg007G2529400	CARHR069280, CARHR069310, CARHR284300, CARHR069260
OG0000262	Cg007G2264500, Cg007G2264400	CARHR051080
OG0000262	Cg007G2264300	CARHR046940
OG0000265	Cg005G1655600	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850
OG0000268	Cg006G1966300, Cg006G1965600, Cg008G2873000	CARHR181110
OG0000269	Cg003G0987700	CARHR273300
OG0000269	Cg006G2190700	CARHR007130, CARHR007140
OG0000269	Cg007G2309100	CARHR053220
OG0000269	Cg005G1638700	CARHR122830
OG0000270	Cg001G0375300	CARHR051040
OG0000275	Cg003G1065200	CARHR175770
OG0000275	Cg008G2833500	CARHR185060, CARHR185040
OG0000277	Cg001G0007500	CARHR243020, CARHR247840
OG0000277	Cg006G2066500	CARHR020400
OG0000278	Cg001G0332400	CARHR215670
OG0000278	Cg001G0336600	CARHR215220
OG0000278	Cg001G0333000	CARHR215570
