Orthogroup	Cardamine_glauca	Arabidopsis_thaliana
OG0000051	Cg005G1506300	AT2G42460.1
OG0000051	Cg013G3025800, Cg005G1600400	AT2G42455.1
OG0000051	Cg005G1723400	AT2G42480.1
OG0000052	Cg002G0657800	AT3G26920.1
OG0000052	Cg007G2494300	AT1G55030.2
OG0000052	Cg002G0501500	AT4G00160.1, AT3G52680.1
OG0000052	Cg002G0537500	AT2G04230.1
OG0000055	Cg004G1287600	AT3G17400.1
OG0000055	Cg004G1239300	AT3G17620.1
OG0000055	Cg004G1232400	AT3G16740.1
OG0000056	Cg007G2285200	AT1G61960.1
OG0000056	Cg007G2283400	AT1G62490.1
OG0000056	Cg007G2283300	AT1G62150.1
OG0000056	Cg007G2283500	AT1G62110.1
OG0000056	Cg007G2284900, Cg007G2285100	AT1G61980.1
OG0000056	Cg002G0557700	AT3G46950.1
OG0000060	Cg002G0489100	AT1G07660.1
OG0000060	Cg003G0990300, Cg002G0570000, Cg005G1647300, Cg003G0987300	AT5G59970.1
OG0000060	Cg002G0566100	AT5G59690.1
OG0000060	Cg006G2185800	AT2G28740.1
OG0000061	Cg004G1379900	AT1G47920.1, AT1G48390.1
OG0000061	Cg004G1382400, Cg004G1390200	AT1G21990.1
OG0000061	Cg005G1631000	AT2G29910.6
OG0000064	Cg003G0987600	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1
OG0000065	Cg007G2435800	AT1G67000.1, AT1G66930.2
OG0000066	Cg006G2172200	AT5G10390.1
OG0000066	Cg008G2671100, Cg003G1045600	AT3G27360.1
OG0000066	Cg008G2671000	AT1G09200.1
OG0000066	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900	AT1G13370.1
OG0000066	Cg001G0018900, Cg008G2677200, Cg001G0018800	AT5G10980.1
OG0000066	Cg006G2066700	AT1G19890.1
OG0000068	Cg004G1419400	AT3G09160.1
OG0000068	Cg008G2602600, Cg008G2600100	AT5G03495.1, AT5G03480.1
OG0000069	Cg001G0395000	AT3G62850.1
OG0000070	Cg006G2161100	AT1G10230.1
OG0000070	Cg002G0680500	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	Cg006G2064200	AT1G20140.1, AT2G25700.1
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	AT1G75950.1
OG0000070	Cg008G2918500, Cg011G3015900	AT5G42190.1
OG0000070	Cg001G0056200	AT4G34210.1
OG0000075	Cg001G0013800	AT4G39560.1
OG0000076	Cg001G0007600	AT4G38940.1
OG0000077	Cg007G2324000	AT1G57850.1
OG0000077	Cg002G0679200, Cg002G0679300	AT2G03030.1, AT2G03300.1
OG0000077	Cg006G2167500	AT1G09665.1
OG0000078	Cg004G1099900	AT3G03850.1
OG0000078	Cg008G2744900	AT5G18080.1
OG0000078	Cg008G2744200, Cg008G2744500	AT5G18010.1
OG0000079	Cg010G2993500	AT2G07190.1
OG0000089	Cg008G2794800	AT5G23860.1
OG0000089	Cg003G1017300	AT5G62700.1, AT5G62690.1
OG0000089	Cg005G1638200	AT2G29550.1
OG0000089	Cg008G2689500	AT5G12250.1
OG0000089	Cg008G2943700	AT5G44340.1
OG0000089	Cg001G0195600	AT4G20890.1
OG0000089	Cg006G2065500	AT1G20010.1
OG0000089	Cg007G2528700	AT1G75780.1
OG0000091	Cg001G0362300, Cg008G2769400	AT5G20480.1
OG0000091	Cg003G0829200, Cg003G0877100	AT5G39390.1
OG0000096	Cg001G0384700	AT3G25460.1
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000098	Cg008G2823500	AT1G27540.1, AT1G27580.1, AT1G27550.1
OG0000100	Cg007G2332300	AT1G56520.2, AT1G56510.1
OG0000102	Cg003G0864200, Cg003G0734200	AT4G03635.1
OG0000102	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000	AT5G52480.1
OG0000102	Cg003G0863600, Cg003G0734800	AT4G05460.1
OG0000107	Cg005G1681600	AT2G27010.1, AT2G27000.1
OG0000107	Cg004G1267700	AT3G20140.1
OG0000107	Cg004G1267500	AT4G15380.1, AT3G20080.1
OG0000107	Cg004G1267200	AT3G20100.1
OG0000107	Cg004G1267600	AT3G20110.1
OG0000108	Cg005G1557400	AT3G53750.1, AT2G37620.1
OG0000108	Cg003G0983900	AT3G46520.1
OG0000108	Cg002G0564200	AT5G59370.1
OG0000108	Cg004G1180800	AT3G12110.1
OG0000108	Cg008G2664600	AT5G09810.1
OG0000108	Cg004G1253800	AT3G18780.2
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	AT3G53330.1
OG0000117	Cg006G2029700	AT1G23670.2
OG0000117	Cg006G2031100	AT1G23520.1
OG0000117	Cg006G2029800	AT1G23640.1, AT1G23660.1
OG0000117	Cg006G2030500	AT1G23590.1
OG0000117	Cg006G2029500, Cg006G2030300, Cg006G2030400	AT1G23600.1
OG0000117	Cg006G2029900	AT1G23645.1
OG0000117	Cg006G2029400	AT1G23690.1
OG0000117	Cg006G2030600	AT1G23570.2, AT1G23580.1
OG0000119	Cg005G1714200	AT2G26135.1, AT2G26130.1
OG0000119	Cg002G0596700	AT3G43750.1
OG0000119	Cg002G0574300	AT3G45560.1
OG0000119	Cg001G0041500, Cg002G0574600	AT2G16520.1
OG0000119	Cg002G0574700	AT3G45480.1, AT3G45510.1
OG0000121	Cg002G0640900, Cg004G1362200, Cg007G2421400, Cg006G1860400	AT2G01050.1
OG0000122	Cg003G0952800	AT5G56390.1
OG0000124	Cg001G0298900	AT5G40595.1
OG0000125	Cg005G1643600, Cg005G1644100	AT2G29000.1
OG0000125	Cg006G2188500	AT1G07560.1
OG0000125	Cg006G1841400	AT1G49100.1
OG0000125	Cg006G1816500	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	Cg004G1281100	AT3G21340.1
OG0000127	Cg008G2786000	AT5G22880.1
OG0000127	Cg002G0489900	AT2G37470.1, AT3G53650.1
OG0000127	Cg008G2597500	AT5G02570.1
OG0000127	Cg003G0989900	AT5G59910.1
OG0000127	Cg002G0569500, Cg002G0569100	AT3G46030.1
OG0000127	Cg005G1647800	AT2G28720.1
OG0000128	Cg007G2459200	AT3G59270.1
OG0000128	Cg002G0434200	AT3G59250.1
OG0000128	Cg002G0434700	AT3G59200.1
OG0000128	Cg002G0434600	AT3G59210.1
OG0000129	Cg007G2357000	AT1G65120.2
OG0000129	Cg007G2390100	AT1G65200.1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700	AT2G27630.1, AT2G27650.1
OG0000129	Cg003G0897000	AT5G51530.1
OG0000129	Cg008G2880200, Cg007G2357100	AT1G65110.2
OG0000130	Cg008G2849000	AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1
OG0000130	Cg003G0796500, Cg002G0592800	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000132	Cg002G0477500	AT3G54910.1
OG0000137	Cg003G0942200	AT5G55370.1
OG0000137	Cg003G0942300	AT5G55380.1
OG0000137	Cg003G0942100	AT5G55360.1
OG0000137	Cg003G0942000	AT5G55350.1
OG0000137	Cg003G0941900	AT5G55340.1
OG0000138	Cg007G2299800	AT3G62440.1
OG0000138	Cg002G0485200	AT3G62430.1, AT3G54160.1
OG0000141	Cg007G2276000, Cg007G2276100	AT5G63020.1
OG0000148	Cg006G1825800	AT1G50870.1
OG0000151	Cg002G0475200	AT3G55110.1
OG0000151	Cg002G0475300	AT3G55100.1
OG0000151	Cg005G1538800	AT2G39350.1
OG0000151	Cg002G0475400	AT3G55090.1
OG0000151	Cg002G0491600	AT3G53510.1
OG0000151	Cg005G1560100	AT2G37360.1
OG0000151	Cg008G2699500	AT5G13580.1
OG0000153	Cg005G1625900	AT2G30670.1
OG0000154	Cg006G1826100	AT1G50830.1
OG0000154	Cg001G0245400	AT4G16050.1
OG0000154	Cg006G1826400	AT1G50790.1, AT1G50820.2
OG0000154	Cg006G1826200	AT1G50750.1
OG0000157	Cg006G1966200, Cg006G1965500	AT1G30790.1
OG0000157	Cg006G1948100, Cg006G1948200, Cg006G1948000, Cg006G1966900	AT1G32660.1
OG0000160	Cg004G1426700	AT2G18960.1
OG0000160	Cg001G0100800	AT4G30190.2
OG0000160	Cg003G0963700	AT5G57350.1
OG0000160	Cg004G1353700	AT2G07560.1
OG0000160	Cg007G2573400	AT1G80660.1
OG0000160	Cg005G1742100	AT2G24520.2
OG0000162	Cg005G1601500	AT2G33200.1
OG0000162	Cg005G1601600	AT2G33190.1
OG0000162	Cg004G1334900	AT2G04810.1, AT2G04840.1
OG0000165	Cg006G1858300	AT5G36910.1
OG0000166	Cg036G3082400	AT2G25470.3
OG0000167	Cg004G1301000	AT3G23260.1
OG0000170	Cg005G1473800	AT2G45580.1
OG0000170	Cg005G1474000	AT2G45570.1
OG0000171	Cg003G0916500	AT5G53300.1
OG0000171	Cg007G2262400	AT5G41700.4, AT1G64230.4
OG0000171	Cg004G1402700	AT2G16740.1
OG0000171	Cg003G0949800	AT5G56150.1
OG0000171	Cg004G1146700	AT3G08690.1
OG0000171	Cg001G0123300	AT4G27960.2
OG0000175	Cg006G2031400	AT1G23490.1
OG0000175	Cg007G2474600	AT1G70490.1
OG0000175	Cg008G2710700	AT5G14670.1
OG0000176	Cg008G2964200	AT1G71390.2
OG0000177	Cg006G2054600	AT1G21230.1
OG0000177	Cg006G2054700	AT1G21210.1
OG0000177	Cg006G2054500	AT1G21270.1
OG0000178	Cg003G0742900, Cg003G0743000	AT4G04490.1
OG0000178	Cg006G1925200	AT4G04510.2
OG0000178	Cg006G1925100	AT4G04500.1
OG0000183	Cg001G0339800, Cg007G2426600	AT1G66410.2, AT5G37780.3
OG0000183	Cg002G0456600, Cg005G1519300	AT3G56800.1
OG0000183	Cg005G1681400	AT2G27030.3
OG0000185	Cg004G1440400	AT1G19060.1, AT1G02770.1
OG0000185	Cg004G1189300	AT1G23970.2, AT1G23950.2
OG0000185	Cg006G1989500	AT1G27860.1, AT1G28500.1
OG0000186	Cg005G1766900	AT2G40050.1
OG0000187	Cg005G1772000	AT2G21680.1
OG0000187	Cg006G2070900	AT1G19460.1, AT1G19470.1
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900	AT3G10790.1
OG0000188	Cg004G1107000	AT2G13630.1, AT3G04660.1
OG0000189	Cg002G0515600	AT3G51300.1
OG0000189	Cg001G0040600	AT4G35950.1
OG0000189	Cg004G1414100	AT2G17800.1
OG0000189	Cg007G2529500	AT1G75840.1
OG0000189	Cg006G2064800	AT1G20090.1
OG0000192	Cg006G1993900	AT3G51210.1
OG0000192	Cg006G2127500	AT3G45080.1, AT3G45070.2, AT2G27570.1
OG0000193	Cg004G1230500	AT2G14710.1, AT3G16580.1
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	AT1G47390.1
OG0000193	Cg006G1948300	AT1G32430.1
OG0000195	Cg003G0787700	AT4G01340.1
OG0000196	Cg001G0390600	AT5G41540.1
OG0000196	Cg001G0388500	AT5G41750.1, AT5G41740.2, AT5G41550.1
OG0000197	Cg001G0339500	AT5G37760.1
OG0000197	Cg001G0205400	AT4G19570.1
OG0000197	Cg001G0205200	AT5G62780.1
OG0000198	Cg002G0692800	AT2G01520.1
OG0000198	Cg006G2114000	AT1G14930.1, AT1G14940.1
OG0000198	Cg006G2113800, Cg006G2113700	AT1G14950.1
OG0000198	Cg002G0664200	AT3G26450.1, AT3G26460.1
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	AT1G51670.1, AT1G48180.1
OG0000199	Cg014G3034400, Cg008G2903900	AT4G29770.2
OG0000199	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	AT5G18065.1, AT5G18040.1
OG0000200	Cg006G2210500	AT1G05550.3
OG0000200	Cg006G2210600	AT1G05540.1
OG0000200	Cg006G1857600	AT1G30170.1
OG0000200	Cg006G1857700	AT1G30160.2
OG0000202	Cg003G0719400	AT4G02190.1, AT4G01910.1, AT4G01930.1, AT4G01740.1, AT4G01920.1
OG0000203	Cg002G0442000	AT3G58270.1
OG0000203	Cg002G0441200	AT3G58370.1
OG0000203	Cg002G0441400	AT3G58360.1
OG0000203	Cg002G0441100	AT3G58400.1
OG0000203	Cg002G0441500	AT3G58350.1
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	AT2G06425.1, AT4G04265.1, AT5G34581.1
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	AT1G12490.1, AT1G09650.1
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	AT5G10340.1
OG0000209	Cg005G1613100, Cg003G0772300	AT4G01640.1, AT2G34280.1
OG0000210	Cg005G1480200	AT2G44930.1
OG0000216	Cg003G0750100	AT4G00893.1
OG0000216	Cg003G0750300, Cg003G0750200	AT4G12370.1
OG0000216	Cg003G0750000	AT4G10700.1, AT4G10660.1, AT4G10695.1
OG0000216	Cg007G2323800	AT1G57790.1
OG0000216	Cg001G0324000	AT3G56470.1
OG0000219	Cg001G0279900	AT3G48840.1
OG0000225	Cg007G2558500	AT1G78740.1
OG0000226	Cg003G0770400	AT4G10560.1
OG0000227	Cg004G1118500	AT3G05650.1
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	AT2G15080.1
OG0000229	Cg001G0315200	AT5G28820.1
OG0000229	Cg007G2409700	AT1G30140.1
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	AT3G58820.1
OG0000233	Cg008G2647600	AT5G07550.1
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	AT5G07571.1, AT5G07560.1
OG0000233	Cg008G2647500	AT5G07540.1
OG0000233	Cg008G2647300	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000234	Cg005G1484700	AT2G44030.1, AT2G45406.1
OG0000236	Cg004G1333500	AT2G15710.1
OG0000237	Cg004G1298900, Cg004G1316600	AT3G10430.1, AT4G04690.1
OG0000237	Cg006G1842500	AT1G77650.1
OG0000237	Cg001G0099500, Cg004G1282100	AT3G21410.1
OG0000238	Cg007G2478600	AT1G70840.1
OG0000238	Cg008G2832400	AT5G28000.1
OG0000238	Cg006G2034900, Cg006G2035000	AT5G28010.1
OG0000239	Cg001G0354900, Cg008G2902200	AT1G43145.1
OG0000241	Cg001G0185400	AT4G21860.1
OG0000241	Cg001G0185500	AT4G21850.1
OG0000241	Cg003G0857500, Cg003G0740200	AT4G04800.1
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	AT5G26630.1
OG0000244	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900	AT4G05260.1
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	AT4G05230.1
OG0000244	Cg003G0728100, Cg003G0869700	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000246	Cg005G1566300	AT2G36790.1, AT2G36800.1
OG0000247	Cg001G0351600, Cg001G0351800	AT5G38500.1
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	AT5G24050.1, AT3G24850.1
OG0000248	Cg007G2470600	AT1G70040.1
OG0000248	Cg007G2471500	AT1G70120.1
OG0000249	Cg004G1366500, Cg002G0640600	AT1G43260.1
OG0000249	Cg007G2349500, Cg004G1391400	AT5G31412.1
OG0000250	Cg003G0735700	AT4G05320.2
OG0000250	Cg001G0307800	AT5G37640.1
OG0000251	Cg002G0664000	AT3G26300.1, AT3G26310.1
OG0000251	Cg002G0663800	AT3G26330.1, AT3G26320.1
OG0000251	Cg003G0962700	AT5G57260.1
OG0000251	Cg002G0664100	AT3G26290.2
OG0000252	Cg001G0086600	AT5G37170.1
OG0000252	Cg007G2272200	AT1G63140.4
OG0000252	Cg007G2546100	AT1G77520.1
OG0000252	Cg007G2546300, Cg007G2546200	AT1G77530.1
OG0000253	Cg004G1184700	AT3G12580.1
OG0000253	Cg004G1154100	AT3G09440.1
OG0000253	Cg008G2596600	AT5G02500.1
OG0000254	Cg001G0250300, Cg001G0250200	AT4G15670.1
OG0000254	Cg001G0249500	AT4G15690.1
OG0000254	Cg001G0249400, Cg001G0249700	AT4G15700.1
OG0000255	Cg007G2394100, Cg006G1865500, Cg006G1878100	AT1G42190.1
OG0000256	Cg004G1240300	AT3G17480.1, AT1G62270.1
OG0000257	Cg008G2969000	AT2G26020.1, AT2G26010.1, AT5G44430.1
OG0000257	Cg007G2529400	AT5G44420.1
OG0000262	Cg007G2264500, Cg007G2264400, Cg007G2264300	AT2G14540.1
OG0000269	Cg003G0987700	AT5G59720.1
OG0000269	Cg002G0567300	AT3G46230.1
OG0000269	Cg007G2309100	AT1G07400.1, AT1G59860.1
OG0000269	Cg005G1638700	AT2G29500.1
OG0000273	Cg003G0920400	AT5G53637.1
OG0000275	Cg003G1065200	AT4G39760.1
OG0000275	Cg008G2833500	AT5G28180.1, AT5G28160.1
OG0000277	Cg001G0007500	AT4G34720.1, AT2G16510.1, AT4G38920.1
OG0000278	Cg001G0332400	AT5G37400.2
OG0000278	Cg001G0336600	AT5G37650.1
OG0000278	Cg001G0333000, Cg001G0333100, Cg001G0332700	AT5G37470.2, AT5G37460.1
OG0000278	Cg001G0332500, Cg001G0337400	AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1
OG0000279	Cg003G0839100, Cg008G2952700, Cg008G2952600, Cg008G2952800, Cg008G2950400, Cg008G2950200, Cg008G2950100	AT5G44980.1, AT5G44940.1, AT5G44960.1
OG0000282	Cg001G0182000	AT4G22170.1
OG0000284	Cg004G1433800, Cg002G0598700, Cg001G0028400, Cg006G1870000, Cg003G0941700, Cg001G0282200, Cg001G0383900, Cg006G1945100, Cg008G2850200	AT4G03566.1
OG0000285	Cg001G0190700	AT4G21380.1
OG0000285	Cg001G0130400	AT4G27290.2
OG0000289	Cg005G1600000	AT2G33080.1
OG0000289	Cg005G1606400, Cg001G0371200	AT2G32680.1
OG0000289	Cg013G3025500, Cg036G3082600	AT2G25440.1
OG0000291	Cg004G1343300, Cg004G1337600	AT2G05510.1, AT2G05440.2
OG0000291	Cg004G1343900, Cg004G1343800, Cg004G1343500	AT2G05380.3
OG0000294	Cg008G2721100	AT5G15670.1, AT5G15660.1, AT1G26510.1, AT1G26515.1
OG0000295	Cg006G1996000	AT1G28020.1
OG0000295	Cg004G1173400, Cg004G1317000	AT3G11380.1, AT3G11350.1
OG0000296	Cg008G2982100, Cg003G0982000, Cg003G0887600	AT5G59090.1, AT5G59120.1
OG0000296	Cg003G0978500	AT5G58840.1, AT5G58820.1, AT5G58830.1
OG0000298	Cg006G1934800, Cg006G1935200	AT1G33612.1, AT1G33610.1
OG0000298	Cg006G1935400	AT1G33590.2
OG0000301	Cg005G1482700	AT2G44630.1
OG0000304	Cg003G0745900	AT4G04090.1
OG0000305	Cg006G2092900	AT1G17150.1
OG0000305	Cg005G1528100	AT1G43090.1, AT1G43100.1, AT1G43080.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1, AT4G13760.1, AT2G40310.1
OG0000307	Cg004G1326000, Cg004G1326100	AT2G04115.1
OG0000308	Cg008G2928800, Cg008G2929000, Cg008G2928900	AT5G43370.1, AT5G43350.1
OG0000312	Cg001G0335800, Cg006G1899900	AT2G07290.1
OG0000315	Cg004G1324900, Cg004G1325300	AT1G34047.2
OG0000318	Cg007G2568100	AT1G79680.1
OG0000318	Cg007G2467300	AT1G69730.1
OG0000321	Cg004G1262800	AT1G04820.1
OG0000321	Cg006G1832400	AT1G50010.1
OG0000321	Cg008G2763000	AT5G19770.1, AT5G19780.1
OG0000321	Cg007G2375700	AT1G64740.1
OG0000323	Cg007G2498700	AT1G72840.2, AT4G09430.1
OG0000325	Cg006G2219100	AT1G04750.1
OG0000325	Cg006G2219000	AT1G04760.1
OG0000327	Cg004G1211800	AT1G77570.1
OG0000327	Cg001G0204800	AT4G19630.1
OG0000328	Cg004G1277200, Cg004G1294900	AT3G21000.1
OG0000329	Cg001G0356100, Cg001G0357100	AT5G38960.1
OG0000329	Cg001G0357000, Cg001G0356900, Cg001G0356800, Cg001G0356700, Cg001G0356200, Cg001G0356300	AT5G38910.1
OG0000330	Cg007G2499400, Cg007G2499500	AT1G72950.1
OG0000330	Cg007G2499300	AT1G72890.2
OG0000330	Cg006G2088700	AT1G17615.1
OG0000331	Cg014G3041700, Cg003G0713900	AT4G01850.1
OG0000331	Cg006G2241100	AT1G02500.1
OG0000331	Cg004G1239000	AT3G17390.1
OG0000332	Cg007G2289700	AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61480.1, AT1G61490.1
OG0000332	Cg007G2289800	AT1G61420.2, AT1G61460.1
OG0000332	Cg007G2289200	AT1G61550.1
OG0000335	Cg002G0427600	AT1G06630.1
OG0000339	Cg001G0284600	AT4G13310.1, AT4G13290.1
OG0000341	Cg006G1845900	AT1G48670.1
OG0000342	Cg004G1240600	AT2G24510.1, AT3G17540.1
OG0000342	Cg003G0793700, Cg003G0794400	AT3G17570.1, AT3G17265.1, AT3G24700.2, AT3G17270.1, AT3G17490.1
OG0000345	Cg008G2662100	AT5G09500.1
OG0000345	Cg008G2933100	AT5G43640.1
OG0000345	Cg006G2224300, Cg008G2662200	AT1G04270.1
OG0000346	Cg002G0494100	AT3G53280.1
OG0000346	Cg002G0591900	AT3G44250.1
OG0000346	Cg002G0665500	AT3G26200.1
OG0000346	Cg002G0665600	AT3G26190.1
OG0000346	Cg002G0494000	AT3G53290.1
OG0000347	Cg002G0416000	AT3G61430.1
OG0000347	Cg001G0169800	AT4G23400.1
OG0000347	Cg006G2250500	AT1G01620.1
OG0000347	Cg014G3053800, Cg003G0702200	AT4G00430.1
OG0000348	Cg008G2938800	AT3G28223.1, AT3G48220.1
OG0000349	Cg003G0986800, Cg003G0986900	AT5G59660.3
OG0000351	Cg004G1178000, Cg007G2394900, Cg007G2394800, Cg007G2394700, Cg007G2395000, Cg007G2395200, Cg007G2395300, Cg007G2395100, Cg007G2395400, Cg007G2394500, Cg007G2415000, Cg007G2415100, Cg007G2415400, Cg007G2394400, Cg007G2415700, Cg007G2413800, Cg007G2414400, Cg007G2414600, Cg007G2414200, Cg007G2415200, Cg007G2414900, Cg007G2415500, Cg007G2414700, Cg007G2394600, Cg007G2415300, Cg007G2414000, Cg007G2413900, Cg007G2414800, Cg007G2394300, Cg007G2394200, Cg007G2416100	AT2G40210.1, AT2G26880.1
OG0000355	Cg003G0995200	AT5G60440.1
OG0000355	Cg001G0035500	AT4G36590.1
OG0000357	Cg006G1975000, Cg006G1975200, Cg006G1975100, Cg005G1588800	AT1G29930.1, AT1G29920.1, AT1G29910.1
OG0000357	Cg005G1588700	AT2G34430.1
OG0000359	Cg003G0926700	AT5G54145.1
OG0000359	Cg001G0126400	AT4G27652.1
OG0000362	Cg008G2879000	AT3G30739.1
OG0000363	Cg001G0257100	AT5G48000.1
OG0000363	Cg001G0254400, Cg001G0257200	AT3G44970.1
OG0000363	Cg006G1783200	AT1G55940.2
OG0000363	Cg007G2555900	AT1G78490.1
OG0000364	Cg005G1525600, Cg005G1524700	AT2G40560.1, AT2G40500.1
OG0000365	Cg006G2014900	AT1G26390.1
OG0000365	Cg006G2015100	AT1G26420.1
OG0000367	Cg008G2714400	AT5G15030.1, AT5G15040.1
OG0000368	Cg002G0560600	AT3G46700.1
OG0000368	Cg002G0561600	AT3G46680.1
OG0000368	Cg002G0561500, Cg002G0561400	AT3G46690.1
OG0000368	Cg002G0560400	AT3G46720.1
OG0000369	Cg008G2838500, Cg008G2840500, Cg008G2846200, Cg008G2861000	AT5G49490.1, AT5G49420.1, AT5G38620.1
OG0000371	Cg004G1365900, Cg006G1943300, Cg007G2391700	AT5G36080.1
OG0000371	Cg001G0311500	AT1G35820.1, AT3G42870.1, AT3G30520.1
OG0000376	Cg007G2295400, Cg007G2295800	AT1G60690.1
OG0000376	Cg007G2295700	AT1G60710.1
OG0000377	Cg001G0027900	AT4G37370.1
OG0000377	Cg001G0028000	AT4G37360.1, AT4G37340.1
OG0000377	Cg001G0028200	AT4G37320.1
OG0000377	Cg001G0028100	AT4G37330.1
