Orthogroup	Cardamine_glauca	Arabidopsis_arenosa
OG0000050	Cg005G1737200	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	Cg006G2232100	jg29349
OG0000051	Cg005G1506300	jg19555
OG0000051	Cg013G3025800, Cg005G1600400	jg19551, jg19550, jg907, jg19552, jg19554, jg18423
OG0000051	Cg005G1723400	jg19560
OG0000051	Cg003G0782100	jg19561, jg19562, jg19563, jg19564
OG0000052	Cg002G0657800	jg13373
OG0000052	Cg007G2494300	jg1458, jg1459, jg1457
OG0000052	Cg002G0501500	jg20913, jg15189
OG0000052	Cg002G0537500	jg14762
OG0000055	Cg004G1287600	jg26780
OG0000055	Cg004G1232400	jg25759, jg25744
OG0000056	Cg007G2285200	jg748
OG0000056	Cg007G2283300	jg721
OG0000056	Cg007G2283500	jg726
OG0000056	Cg007G2284900, Cg007G2285100	jg745
OG0000056	Cg002G0557700	jg14491
OG0000058	Cg005G1680800, Cg005G1670600	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852
OG0000058	Cg002G0648900	jg17522, jg31083, jg21000
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	Cg003G0778100	jg27640, jg13837
OG0000060	Cg005G1558200	jg15309
OG0000060	Cg005G1647300	jg21260
OG0000060	Cg003G0987300	jg17853
OG0000061	Cg004G1379900	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993
OG0000061	Cg005G1634900	jg25262, jg18012
OG0000061	Cg005G1631000	jg18005
OG0000064	Cg003G0987600	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	Cg007G2435800	jg2209, jg2212, jg2195
OG0000066	Cg003G1045600	jg4871
OG0000066	Cg008G2671000	jg29279
OG0000066	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900	jg3219, jg3220
OG0000066	Cg001G0018900, Cg008G2677200, Cg001G0018800	jg4927
OG0000066	Cg006G2066700	jg30515
OG0000067	Cg004G1439200	jg6462, jg31439, jg5264
OG0000068	Cg008G2597800, Cg002G0415500	jg4186
OG0000068	Cg008G2596900	jg4261, jg4260
OG0000068	Cg004G1419400	jg24839, jg24838
OG0000068	Cg002G0693300	jg32043
OG0000068	Cg008G2602600, Cg008G2600100	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055
OG0000069	Cg001G0395000	jg16351
OG0000069	Cg006G2225100	jg28153, jg28151, jg15319, jg28979
OG0000069	Cg004G1201400	jg16809
OG0000070	Cg006G2161100	jg29403
OG0000070	Cg002G0680500	jg28225, jg28226, jg13116, jg13115
OG0000070	Cg006G2064200	jg16631, jg30544, jg4483
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	jg3251
OG0000070	Cg008G2918500, Cg011G3015900	jg21183
OG0000070	Cg001G0056200	jg8905
OG0000072	Cg006G1870600, Cg007G2425100	jg12110
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	Cg007G2400700, Cg007G2408800	jg20178
OG0000072	Cg005G1665600	jg25787
OG0000075	Cg001G0013800	jg8426
OG0000076	Cg001G0007600	jg8362
OG0000076	Cg005G1594800	jg18482
OG0000077	Cg007G2324000	jg1247
OG0000077	Cg002G0678300	jg13131
OG0000077	Cg002G0679200, Cg002G0679300	jg13128
OG0000077	Cg006G2167500	jg29337
OG0000078	Cg004G1099900	jg24239
OG0000078	Cg008G2744900, Cg008G2744200, Cg008G2744500	jg5639
OG0000079	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500	jg7377
OG0000080	Cg002G0578600, Cg002G0578900, Cg005G1663800, Cg004G1172200	jg6819
OG0000080	Cg006G1882600	jg21120
OG0000081	Cg003G0774600, Cg008G2921900	jg20814
OG0000086	Cg001G0342600	jg12281
OG0000089	Cg008G2794800	jg6235
OG0000089	Cg003G1017300	jg23223
OG0000089	Cg005G1638200	jg17972
OG0000089	Cg008G2689500	jg5068
OG0000089	Cg008G2943700	jg20749
OG0000089	Cg001G0195600	jg10485
OG0000089	Cg005G1585200	jg18593
OG0000089	Cg006G2065500	jg30528
OG0000089	Cg007G2528700	jg3235
OG0000091	Cg002G0555900	jg14507
OG0000091	Cg005G1672400	jg17633
OG0000091	Cg001G0362300, Cg008G2769400	jg5910
OG0000091	Cg003G0829200, Cg003G0877100	jg21695
OG0000092	Cg003G0840800	jg2228
OG0000095	Cg005G1739100	jg16989, jg17288
OG0000095	Cg005G1739400	jg16996
OG0000096	Cg001G0384700	jg26888, jg26886
OG0000096	Cg004G1249200, Cg004G1257700, Cg004G1249300	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891
OG0000096	Cg004G1260000	jg25957
OG0000098	Cg004G1351900	jg27221, jg27229, jg27223, jg27264, jg27107
OG0000098	Cg007G2258600, Cg007G2258500	jg2306
OG0000098	Cg008G2823500	jg17595, jg31284
OG0000100	Cg007G2332300	jg1396
OG0000100	Cg007G2290800	jg471
OG0000101	Cg007G2332400	jg27510
OG0000102	Cg003G0864200, Cg003G0734200	jg7820
OG0000102	Cg003G0864100, Cg003G0734300, Cg003G0734500	jg7815, jg7812, jg7813
OG0000102	Cg003G0734400, Cg003G0864000	jg7818
OG0000102	Cg003G0734600, Cg003G0863800	jg7819
OG0000102	Cg003G0863600, Cg003G0734800	jg7810
OG0000105	Cg007G2332200, Cg007G2332800	jg1379
OG0000107	Cg005G1681600	jg17559, jg17556
OG0000107	Cg004G1267700	jg26161
OG0000107	Cg004G1267500	jg26159
OG0000107	Cg004G1267200	jg26157
OG0000108	Cg005G1557400	jg18920, jg15311
OG0000108	Cg003G0983900	jg14433, jg22870
OG0000108	Cg008G2664600	jg4799
OG0000109	Cg008G2837900	jg27058, jg17336, jg17450, jg13895
OG0000110	Cg002G0653700	jg9173
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	jg26895, jg27877, jg15265
OG0000115	Cg006G1927900, Cg008G2910800	jg29546
OG0000117	Cg006G2029700	jg30936
OG0000117	Cg006G2031100	jg30923, jg30924
OG0000117	Cg006G2029800	jg30934
OG0000117	Cg006G2029600	jg30937
OG0000117	Cg006G2030500	jg30930
OG0000117	Cg006G2029900	jg30935, jg30933
OG0000117	Cg006G2029400	jg30938
OG0000117	Cg006G2030600	jg30929
OG0000119	Cg005G1714200	jg17260, jg17259, jg17257
OG0000119	Cg002G0596700	jg14055
OG0000119	Cg001G0041500	jg4290
OG0000119	Cg002G0574700	jg14315, jg14316
OG0000122	Cg003G0800700	jg22508
OG0000124	Cg001G0378100	jg12674
OG0000124	Cg001G0298900	jg27681, jg17603
OG0000125	Cg005G1643500	jg17897
OG0000125	Cg005G1644900	jg17896
OG0000125	Cg005G1644600	jg17890, jg17891, jg17887
OG0000125	Cg006G2188500	jg29111
OG0000125	Cg006G1841400	jg33004
OG0000125	Cg006G1816500	jg33352, jg33355
OG0000125	Cg006G1816900, Cg006G1816400	jg33354
OG0000125	Cg004G1281100	jg26323
OG0000127	Cg006G2186100	jg29136
OG0000127	Cg008G2786000	jg6123
OG0000127	Cg002G0489900	jg15301
OG0000127	Cg008G2597500	jg3993
OG0000127	Cg003G0989900	jg22931
OG0000127	Cg002G0569500, Cg002G0569100	jg14383
OG0000127	Cg005G1647800	jg17851
OG0000128	Cg002G0434200	jg15966
OG0000128	Cg002G0434700	jg15959
OG0000128	Cg002G0434600	jg15960
OG0000129	Cg007G2357000	jg1820
OG0000129	Cg007G2412500, Cg007G2396400	jg1832
OG0000129	Cg007G2390100	jg1847
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000	jg33436, jg33435, jg23141, jg23140
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700	jg17685, jg17683, jg17687
OG0000129	Cg003G0897000	jg21823
OG0000129	Cg008G2880200, Cg007G2357100	jg1819
OG0000130	Cg003G0796500, Cg002G0592800	jg32651, jg20179
OG0000132	Cg002G0477500	jg15428
OG0000134	Cg008G2920900	jg20992, jg20995, jg20998, jg20997, jg20999
OG0000137	Cg003G0942100	jg22365
OG0000137	Cg003G0942000	jg22364
OG0000137	Cg003G0941900	jg22363
OG0000137	Cg003G0901200	jg21872
OG0000138	Cg007G2299800	jg16317
OG0000138	Cg002G0558300, Cg002G0563500	jg15932
OG0000138	Cg002G0485200	jg15356
OG0000140	Cg003G0904200	jg12153
OG0000140	Cg002G0686900	jg832
OG0000140	Cg006G2087500	jg13730, jg32189
OG0000140	Cg006G1824700	jg21116
OG0000140	Cg003G0810900	jg14078, jg1761, jg1441
OG0000141	Cg007G2276000, Cg007G2276100	jg23265
OG0000142	Cg005G1593500	jg14912
OG0000148	Cg006G1825800	jg33221
OG0000151	Cg002G0475200	jg15449
OG0000151	Cg002G0475300	jg15448
OG0000151	Cg005G1538800	jg19118
OG0000151	Cg002G0475400	jg15447
OG0000151	Cg002G0491600	jg15282
OG0000151	Cg005G1560100	jg18884
OG0000151	Cg008G2699500	jg5170
OG0000153	Cg005G1625900	jg18114
OG0000153	Cg005G1641100	jg17940
OG0000154	Cg006G1826100	jg33217, jg33218
OG0000154	Cg001G0245400	jg11063
OG0000154	Cg006G1826000	jg33219
OG0000154	Cg006G1826400	jg33216, jg33214, jg33213
OG0000157	Cg006G1966200, Cg006G1965500	jg31643
OG0000157	Cg006G1966900	jg31636, jg31639
OG0000158	Cg008G2596700	jg10511
OG0000158	Cg005G1695800	jg7562, jg7551
OG0000160	Cg004G1426700	jg28078
OG0000160	Cg001G0100800	jg9392
OG0000160	Cg003G0963700	jg22635
OG0000160	Cg004G1353700	jg27288
OG0000160	Cg007G2573400	jg3697
OG0000160	Cg005G1742100	jg16942
OG0000162	Cg005G1601500	jg18405
OG0000162	Cg005G1601600	jg18404
OG0000162	Cg002G0675900, Cg002G0676200, Cg002G0676100	jg13160
OG0000162	Cg004G1334900	jg26999, jg27000, jg27001
OG0000162	Cg005G1601400	jg18412, jg18409, jg18408
OG0000165	Cg006G1858300	jg12066
OG0000166	Cg013G3025200, Cg013G3024600, Cg013G3024900	jg21553
OG0000166	Cg036G3082400	jg17505, jg17120, jg17125, jg1552, jg17119
OG0000167	Cg004G1301000	jg26576, jg26577
OG0000170	Cg005G1473800	jg19952
OG0000170	Cg002G0419600	jg16151
OG0000170	Cg005G1474000	jg19951
OG0000171	Cg003G0916500	jg22050
OG0000171	Cg007G2262400	jg12793
OG0000171	Cg004G1402700	jg27769
OG0000171	Cg003G0949800	jg22463
OG0000171	Cg004G1146700	jg24782
OG0000173	Cg001G0078900	jg8430
OG0000173	Cg008G2861400, Cg008G2846800	jg8491, jg3298
OG0000173	Cg001G0073600	jg8629
OG0000173	Cg002G0675000	jg13671
OG0000173	Cg001G0022300, Cg001G0022400	jg8547
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000175	Cg008G2710700	jg5289
OG0000175	Cg002G0406800, Cg005G1457900	jg16299
OG0000176	Cg005G1747600	jg16886, jg16884
OG0000176	Cg008G2964200	jg2771
OG0000176	Cg007G2484200	jg2772
OG0000177	Cg006G2054600	jg30665
OG0000178	Cg003G0742900, Cg003G0743000	jg7702
OG0000178	Cg006G1925200	jg7704
OG0000178	Cg006G1925100	jg7703
OG0000178	Cg003G0802700, Cg003G0803500	jg32186
OG0000179	Cg007G2311400	jg1072
OG0000182	Cg002G0405500	jg16268
OG0000182	Cg002G0498500	jg15781
OG0000183	Cg001G0339800	jg2098
OG0000183	Cg002G0456600	jg15712
OG0000183	Cg005G1519300	jg19387
OG0000183	Cg008G2776300, Cg002G0596300	jg14060
OG0000183	Cg005G1681400	jg17567
OG0000185	Cg004G1440400	jg30591, jg31725, jg31727, jg31723, jg19265
OG0000185	Cg003G1044200	jg23338
OG0000185	Cg004G1189300	jg30960
OG0000185	Cg006G1989500	jg31379, jg31377
OG0000186	Cg007G2287600	jg19241
OG0000187	Cg005G1772000	jg16584
OG0000187	Cg006G2070900	jg30474
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978
OG0000188	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900	jg9421
OG0000188	Cg004G1107000	jg24346, jg24347
OG0000189	Cg002G0515600	jg15013
OG0000189	Cg007G2529500	jg3242
OG0000189	Cg006G2064800	jg30537
OG0000192	Cg006G1993900	jg647
OG0000192	Cg006G1994000	jg29806
OG0000192	Cg006G2127500	jg14270
OG0000193	Cg004G1230500	jg25726, jg27497, jg27499, jg27501, jg21538, jg27017, jg25725
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	jg32770
OG0000193	Cg006G1948300	jg31894, jg31896
OG0000195	Cg007G2338500	jg28159
OG0000195	Cg003G0787700	jg22932
OG0000196	Cg001G0388500	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779
OG0000196	Cg001G0388000, Cg001G0388200, Cg001G0387900, Cg001G0387800, Cg001G0388400	jg12778
OG0000197	Cg001G0205400	jg10624
OG0000197	Cg001G0205200	jg23232, jg10620
OG0000198	Cg002G0692800	jg12942
OG0000198	Cg006G2114000	jg29979
OG0000198	Cg006G2113800, Cg006G2113700	jg29981
OG0000198	Cg002G0664200	jg13337
OG0000199	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200	jg33326, jg32894
OG0000199	Cg014G3034400, Cg008G2903900	jg9442
OG0000199	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	jg5645, jg5642
OG0000200	Cg006G2210500	jg28892
OG0000200	Cg006G2210600	jg28891
OG0000200	Cg006G1857600	jg31559
OG0000200	Cg006G1857700	jg31560, jg31558
OG0000203	Cg002G0442000	jg15851
OG0000203	Cg002G0441200	jg15863
OG0000203	Cg002G0441400	jg15862
OG0000203	Cg002G0441100	jg15865
OG0000203	Cg002G0441500	jg15861
OG0000205	Cg006G1892500	jg11810, jg11812, jg11730
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	jg21410, jg11762, jg17188, jg32157, jg21192, jg32818, jg12460, jg71, jg13677, jg27335, jg1616, jg20827, jg23855, jg27196, jg32317, jg32048, jg1612, jg27113, jg11473, jg11621, jg27114, jg11472, jg11622, jg8263, jg6904, jg13887, jg11691, jg25739, jg16962, jg32361, jg11759
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	jg29693, jg29335, jg21051, jg1344
OG0000209	Cg008G2968000	jg14429
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	jg4863, jg4865
OG0000210	Cg005G1480200	jg19859
OG0000210	Cg005G1646200	jg19860
OG0000216	Cg003G0750100	jg7641
OG0000216	Cg003G0750300, Cg003G0750200	jg7640
OG0000216	Cg003G0750000	jg7421, jg7420, jg7418
OG0000216	Cg007G2323800	jg1267
OG0000216	Cg001G0324000	jg15619
OG0000219	Cg001G0279900	jg17925, jg12743
OG0000221	Cg002G0658400	jg11559
OG0000226	Cg003G0770400	jg7405
OG0000227	Cg004G1118500	jg24479
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200	jg27543, jg27540
OG0000227	Cg004G1376900	jg27541
OG0000229	Cg001G0315200	jg17464, jg1772
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	jg15911, jg15928
OG0000230	Cg007G2290400	jg15922
OG0000232	Cg006G1824400	jg28047
OG0000233	Cg008G2647600	jg4598
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	jg4599
OG0000233	Cg008G2647500	jg4597
OG0000233	Cg008G2647300	jg4604, jg4594
OG0000234	Cg005G1484700	jg19739
OG0000234	Cg004G1263300	jg4032
OG0000234	Cg008G2601400	jg4034
OG0000235	Cg005G1544000	jg19164
OG0000236	Cg007G2466600	jg2555
OG0000236	Cg004G1287300	jg26494
OG0000236	Cg003G0795800	jg7280
OG0000237	Cg006G1842500	jg15213
OG0000237	Cg001G0099500, Cg004G1282100	jg26333
OG0000238	Cg007G2478600	jg2698
OG0000238	Cg007G2478900	jg2702
OG0000238	Cg008G2832400	jg6718
OG0000238	Cg006G2034900, Cg006G2035000	jg6720
OG0000238	Cg007G2478700	jg2707
OG0000239	Cg002G0661500, Cg007G2316100, Cg006G2142800	jg17673
OG0000241	Cg001G0185400	jg10370
OG0000241	Cg001G0185500	jg10371
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	jg6565
OG0000244	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900	jg7793
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	jg7787
OG0000244	Cg003G0728100, Cg003G0869700	jg7884, jg7885, jg7892, jg7931, jg7886
OG0000246	Cg005G1566300	jg18819
OG0000247	Cg001G0351600, Cg001G0351800	jg12382
OG0000247	Cg003G0782000, Cg004G1322200, Cg004G1322700	jg26794, jg26858, jg26826
OG0000248	Cg007G2470700	jg2614
OG0000248	Cg007G2470600	jg2609, jg2612, jg2608
OG0000248	Cg007G2471500	jg2620, jg2621, jg2622
OG0000249	Cg006G1934400, Cg004G1366500, Cg002G0640600	jg11991
OG0000249	Cg007G2349500, Cg004G1391400	jg6559
OG0000250	Cg003G0735700	jg7876
OG0000251	Cg002G0664000	jg13318, jg13319
OG0000251	Cg002G0663800	jg13320
OG0000251	Cg003G0962700	jg22623
OG0000251	Cg002G0664100	jg13315
OG0000252	Cg001G0086600	jg9231
OG0000252	Cg007G2272200	jg571, jg570
OG0000252	Cg007G2546100	jg3420
OG0000252	Cg007G2546300, Cg007G2546200	jg3422
OG0000253	Cg004G1184700	jg25213
OG0000253	Cg004G1154100	jg24871
OG0000253	Cg008G2596600	jg3985
OG0000254	Cg001G0249400, Cg001G0249700	jg11133, jg11132
OG0000256	Cg004G1236700	jg25806
OG0000257	Cg008G2969000	jg3241
OG0000257	Cg007G2529400	jg20723
OG0000258	Cg002G0627900	jg12130, jg1478, jg27068
OG0000258	Cg007G2370800, Cg001G0290400	jg17248, jg20584
OG0000259	Cg004G1246900	jg26917
OG0000262	Cg007G2264500, Cg007G2264400, Cg007G2264300	jg454
OG0000262	Cg007G2293500	jg455, jg458, jg453, jg457
OG0000269	Cg003G0987700	jg22908
OG0000269	Cg002G0567300	jg14405, jg14407
OG0000269	Cg007G2309100	jg1015
OG0000269	Cg005G1638700	jg17967
OG0000274	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800	jg27362
OG0000275	Cg003G1065200	jg8473
OG0000275	Cg008G2833500	jg1129, jg6761, jg6771, jg6767, jg6769, jg6762, jg6770, jg1128
OG0000277	Cg001G0007500	jg8879
OG0000277	Cg006G2066500	jg30517
OG0000278	Cg001G0332400	jg12172
OG0000278	Cg001G0336600	jg12224
OG0000278	Cg001G0333000, Cg001G0333100, Cg001G0332700	jg12188, jg12186
OG0000278	Cg001G0332500, Cg001G0337400	jg12174, jg10987, jg10984, jg12178, jg12175
OG0000279	Cg003G0839100, Cg008G2952700, Cg008G2952600, Cg008G2952800, Cg008G2950400, Cg008G2950200, Cg008G2950100	jg20634, jg20628, jg20633, jg20631, jg20635
OG0000282	Cg001G0182200	jg33448
OG0000282	Cg001G0182000	jg10319, jg10323
OG0000283	Cg007G2481000, Cg004G1350900	jg20347
OG0000284	Cg005G1669400, Cg004G1304800, Cg003G0797700, Cg002G0455700	jg10834
OG0000285	Cg001G0190700	jg10428
OG0000285	Cg003G0706200, Cg014G3049300, Cg003G0711400, Cg014G3044400	jg14971
OG0000285	Cg001G0130400	jg9725
OG0000286	Cg008G2943000	jg20757, jg20756
OG0000288	Cg007G2410200, Cg001G0295100, Cg008G2916600	jg26083, jg31791, jg32749, jg10121
OG0000289	Cg005G1600000	jg18393, jg18428
OG0000289	Cg005G1602700	jg18343
OG0000289	Cg005G1606400, Cg001G0371200	jg18344
OG0000289	Cg013G3025500, Cg036G3082600	jg17113
OG0000289	Cg004G1374500	jg18387
OG0000290	Cg007G2262300	jg416, jg418
OG0000290	Cg001G0390300	jg12794
OG0000291	Cg004G1343300, Cg004G1337600	jg27066, jg27067, jg27057
OG0000291	Cg004G1343900, Cg004G1343800, Cg004G1343500	jg27048
OG0000294	Cg008G2721100	jg5391, jg5390, jg31107, jg31105, jg31104
OG0000294	Cg008G2713400	jg5315
OG0000295	Cg006G1876600	jg32824
OG0000295	Cg006G1996000	jg25083, jg31321
OG0000295	Cg004G1173400, Cg004G1317000	jg25085, jg7398
OG0000296	Cg008G2982100, Cg003G0982000, Cg003G0887600	jg22851, jg22847
OG0000296	Cg003G0978500	jg22801, jg21885, jg22800
OG0000296	Cg003G0978400	jg22798, jg22799
OG0000297	Cg001G0284800	jg12852, jg17414
OG0000298	Cg006G1935000	jg32012
OG0000298	Cg006G1935400	jg32008
OG0000300	Cg003G0899400	jg21853
OG0000301	Cg005G1482700	jg19826
OG0000301	Cg004G1274700	jg16118
OG0000305	Cg006G2092900	jg30239
OG0000305	Cg005G1528100	jg32496, jg19283, jg19279, jg7268
OG0000308	Cg008G2928800, Cg008G2929000, Cg008G2928900	jg20897, jg20895, jg20892, jg20894, jg20890, jg20896, jg20889
OG0000309	Cg003G0994700	jg22981
OG0000312	Cg001G0335800, Cg006G1899900	jg6753, jg1649
OG0000314	Cg006G1940900	jg17949
OG0000314	Cg005G1640900	jg21060
OG0000318	Cg007G2568100	jg3658
OG0000318	Cg007G2467300	jg2564, jg2563
OG0000321	Cg004G1262800	jg33127, jg33133
OG0000321	Cg008G2763000	jg5838, jg5839
