Orthogroup	Cardamine_glauca	Eutrema_salsugineum
OG0000011	Cg003G0778000	XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	Cg005G1679200	XP_024014259.1, XP_024004159.1, XP_024015297.1, XP_024014196.1, XP_024013207.1, XP_024014814.1, XP_024011246.1, XP_024004160.1
OG0000011	Cg005G1679100	XP_024013228.1
OG0000012	Cg005G1703300	XP_024010663.1, XP_024004111.1, XP_024013978.1, XP_024006076.1, XP_024004769.1, XP_024016352.1, XP_006390305.1, XP_024008034.1, XP_024006880.1, XP_024004313.1, XP_024007964.1, XP_024013590.1, XP_024004088.1, XP_024013911.1, XP_024004169.1, XP_024005329.1, XP_024014256.1, XP_024004751.1, XP_024015027.1, XP_024011205.1, XP_024007772.1, XP_024013764.1, XP_024008044.1, XP_024010049.1, XP_024004131.1, XP_024006429.1, XP_024004872.1, XP_024011320.1, XP_024004073.1, XP_024004925.1, XP_024007953.1, XP_024015281.1, XP_024006278.1, XP_024006105.1, XP_024005001.1, XP_024006611.1, XP_024010628.1, XP_024009442.1, XP_024004156.1, XP_024011358.1, XP_024016363.1, XP_024009190.1, XP_024004052.1, XP_024010680.1, XP_024007768.1, XP_024004173.1
OG0000014	Cg001G0103300	XP_024014048.1
OG0000015	Cg001G0251200	XP_024006143.1
OG0000015	Cg004G1297400	XP_024007917.1
OG0000016	Cg002G0591300	XP_024010588.1
OG0000018	Cg003G0814300	XP_024010601.1
OG0000020	Cg004G1313600	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000021	Cg006G1871200	XP_024013384.1
OG0000021	Cg006G1912000, Cg004G1333000	XP_024008232.1
OG0000022	Cg001G0134600	XP_006413138.1
OG0000022	Cg007G2277400	XP_006391833.2
OG0000022	Cg001G0385000	XP_024014798.1
OG0000022	Cg004G1232100	XP_024015415.1
OG0000023	Cg007G2371000	XP_024013410.1, XP_024013199.1
OG0000023	Cg006G2067800	XP_024016167.1
OG0000024	Cg002G0647900	XP_024006555.1
OG0000024	Cg002G0447000, Cg002G0448700	XP_024004275.1, XP_006402766.1
OG0000025	Cg007G2444400	XP_024007336.1
OG0000025	Cg005G1690200, Cg004G1264500	XP_024006403.1, XP_024014257.1, XP_024015953.1, XP_024011323.1, XP_024014480.1, XP_024007296.1, XP_024013049.1, XP_024004954.1, XP_024012916.1, XP_024010763.1, XP_024014390.1, XP_024013392.1, XP_024014398.1, XP_024010323.1, XP_024011260.1, XP_024004142.1, XP_024015028.1, XP_024004413.1, XP_024014090.1, XP_024010651.1, XP_024009163.1, XP_024014222.1, XP_024015865.1, XP_024014393.1, XP_024004761.1, XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000027	Cg003G0758800, Cg003G0758600	XP_024009838.1, XP_006396897.2
OG0000027	Cg003G0758500	XP_006396896.1
OG0000027	Cg001G0170600	XP_006413565.1
OG0000027	Cg003G0758900	XP_024009837.1
OG0000027	Cg001G0171100	XP_024013896.1
OG0000027	Cg003G0757800	XP_006396890.1
OG0000027	Cg001G0171900	XP_024004623.1
OG0000027	Cg001G0171700	XP_006413573.1
OG0000029	Cg007G2405400, Cg007G2364600, Cg001G0384100	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000030	Cg004G1270000	XP_006391637.1
OG0000030	Cg006G1982700, Cg001G0286900	XP_024008003.1
OG0000030	Cg002G0532900	XP_024016186.1
OG0000031	Cg003G0842000	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1, XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1, XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1, XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000034	Cg001G0172000	XP_006413571.1, XP_024010975.1
OG0000034	Cg001G0172500	XP_006413574.2
OG0000034	Cg001G0190400, Cg001G0190500	XP_024005104.1
OG0000034	Cg001G0170800	XP_006413567.2
OG0000034	Cg001G0172700	XP_006413576.1
OG0000039	Cg001G0195900	XP_024006661.1
OG0000040	Cg001G0375200	XP_024014479.1
OG0000040	Cg007G2426000, Cg008G2852000, Cg008G2867800, Cg005G1448100	XP_024004874.1, XP_024006081.1, XP_024004163.1
OG0000041	Cg006G2127000	XP_024011200.1
OG0000042	Cg013G3025700	XP_024009944.1, XP_024011303.1
OG0000042	Cg007G2325300	XP_024006466.1
OG0000043	Cg003G0842100	XP_024014240.1
OG0000044	Cg001G0233900	XP_024004579.1
OG0000044	Cg008G2973900	XP_006398345.1
OG0000046	Cg003G0881700, Cg001G0284200	XP_024015030.1
OG0000050	Cg006G1961200, Cg003G0717600	XP_024004962.1, XP_024006598.1
OG0000050	Cg005G1737200	XP_024015913.1, XP_024007981.1
OG0000051	Cg006G2232100	XP_006418389.2, XP_024008111.1
OG0000051	Cg005G1723400	XP_024004184.1
OG0000052	Cg007G2494300	XP_024007553.1
OG0000055	Cg004G1239300	XP_006398121.1, XP_006406735.1
OG0000056	Cg002G0557700	XP_006405761.2
OG0000058	Cg005G1680800, Cg005G1670600, Cg002G0582900, Cg004G1300700, Cg006G1919800, Cg005G1665800, Cg002G0608700, Cg004G1336800, Cg005G1744500, Cg008G2877000, Cg001G0339300	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1
OG0000058	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500	XP_024009371.1, XP_024012609.1
OG0000059	Cg003G0778100	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000061	Cg003G0858900	XP_024015522.1
OG0000064	Cg003G0987600	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	Cg007G2434600	XP_024014567.1
OG0000065	Cg007G2435800	XP_006391458.1
OG0000065	Cg003G0889600	XP_024014419.1
OG0000066	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	Cg001G0018800	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	XP_024014925.1
OG0000068	Cg008G2928700	XP_024012324.1
OG0000069	Cg001G0395000	XP_006404944.1
OG0000070	Cg002G0680500	XP_006395735.1
OG0000070	Cg006G2064200	XP_006416426.1
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	XP_006390250.1
OG0000071	Cg001G0318200	XP_024011528.1
OG0000072	Cg006G1870600, Cg007G2425100	XP_024009686.1
OG0000072	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100	XP_024014631.1, XP_024009608.1, XP_024004060.1, XP_024006592.1
OG0000072	Cg007G2400700, Cg007G2408800	XP_024014710.1
OG0000074	Cg008G2873100	XP_024016530.1
OG0000074	Cg007G2434800	XP_024004866.1
OG0000076	Cg001G0007600	XP_006411683.1
OG0000076	Cg005G1594800	XP_006410525.1
OG0000076	Cg008G2983800	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	Cg005G1775900, Cg003G0758200	XP_006398175.2
OG0000077	Cg002G0678300	XP_006395717.2, XP_006395727.1
OG0000077	Cg002G0679000, Cg002G0679200, Cg002G0679300	XP_006395720.2
OG0000078	Cg004G1099800	XP_006408252.2
OG0000078	Cg004G1099900	XP_024014979.1
OG0000079	Cg004G1172300, Cg002G0672800	XP_006405230.2, XP_024010130.1
OG0000081	Cg003G0774600, Cg008G2921900	XP_024014389.1, XP_024004223.1
OG0000083	Cg002G0678700	XP_024004864.1, XP_024004079.1, XP_024009339.1, XP_024014050.1, XP_024006498.1, XP_024009186.1
OG0000086	Cg001G0342500	XP_024014367.1
OG0000086	Cg001G0341500	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2
OG0000086	Cg001G0342600	XP_024014475.1, XP_006405815.1
OG0000089	Cg008G2794800	XP_006394642.1
OG0000089	Cg002G0558400	XP_006404433.1, XP_006404432.1
OG0000089	Cg005G1638200	XP_006410012.1
OG0000089	Cg008G2689500	XP_006399740.1
OG0000089	Cg008G2943700	XP_006403108.1
OG0000089	Cg001G0195600	XP_006413842.1
OG0000089	Cg005G1585200	XP_006410628.1
OG0000089	Cg007G2528700	XP_006390273.1
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	XP_024009890.1
OG0000091	Cg002G0552600	XP_024013782.1
OG0000091	Cg002G0551900	XP_006404364.1
OG0000091	Cg005G1672400	XP_006404361.1, XP_006398110.2, XP_006398111.1
OG0000091	Cg001G0362300, Cg008G2769400	XP_024011446.1
OG0000091	Cg007G2364700	XP_024013720.1
OG0000096	Cg001G0384700	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000098	Cg004G1351900	XP_024009712.1, XP_006403292.2
OG0000098	Cg007G2258600, Cg007G2258500	XP_006395726.1
OG0000098	Cg008G2823500	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	Cg007G2332300	XP_024014529.1
OG0000101	Cg007G2332400	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1
OG0000102	Cg003G0863700, Cg003G0734700, Cg003G0734400, Cg003G0864000	XP_006396592.1
OG0000102	Cg003G0863600, Cg003G0734800	XP_006417793.2
OG0000106	Cg003G0970200	XP_024004814.1, XP_024010468.1
OG0000107	Cg004G1267700	XP_024015177.1
OG0000108	Cg005G1557400	XP_006410952.1, XP_006403657.1
OG0000108	Cg003G0983900, Cg002G0564200	XP_006400969.1, XP_006418890.1
OG0000108	Cg004G1180800	XP_006407369.1
OG0000108	Cg008G2664600	XP_006399464.1
OG0000108	Cg004G1253800	XP_006406564.1
OG0000109	Cg008G2837900, Cg008G2837800	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600, Cg001G0293300, Cg001G0282800	XP_024004957.1
OG0000117	Cg006G2031100	XP_024008035.1
OG0000117	Cg006G2029800	XP_024008031.1
OG0000117	Cg006G2029400	XP_024008246.1
OG0000117	Cg006G2030600	XP_024008029.1, XP_024008030.1, XP_006416071.1, XP_006416064.2
OG0000120	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	XP_024013368.1
OG0000122	Cg003G0952700	XP_006401335.1
OG0000122	Cg003G0800700	XP_006401333.2
OG0000123	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900	XP_024006376.1, XP_024016087.1
OG0000124	Cg001G0378100	XP_024014203.1
OG0000124	Cg001G0298900	XP_024011275.1, XP_024009428.1, XP_024006620.1, XP_024007267.1, XP_024015892.1, XP_024009781.1, XP_024013977.1, XP_024010413.1, XP_024005584.1, XP_024010662.1, XP_024011095.1, XP_024010391.1, XP_006409642.2, XP_024007266.1, XP_024011274.1, XP_024016583.1
OG0000125	Cg005G1644600	XP_024003754.1
OG0000125	Cg006G1841400	XP_024006051.1
OG0000125	Cg006G1817000, Cg006G1816500, Cg006G1816900, Cg006G1816400	XP_006392987.1
OG0000125	Cg004G1281100	XP_006406282.1
OG0000127	Cg008G2786000	XP_006400797.1
OG0000127	Cg002G0489900	XP_006410934.1, XP_006403666.1
OG0000127	Cg003G0989900	XP_006400898.1
OG0000127	Cg005G1647800	XP_006409905.1
OG0000128	Cg007G2459200	XP_024012970.1
OG0000128	Cg002G0434700	XP_006402712.2
OG0000128	Cg002G0434600	XP_006402710.1
OG0000129	Cg007G2357000	XP_006408194.2
OG0000129	Cg007G2393300, Cg007G2412500, Cg007G2396400	XP_024011911.1
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000132	Cg002G0477500	XP_006403516.1
OG0000134	Cg008G2920900	XP_006399626.1
OG0000136	Cg003G0815400	XP_024006427.1
OG0000137	Cg003G0942200	XP_006401461.1
OG0000137	Cg003G0942300	XP_006401460.1
OG0000137	Cg003G0942100	XP_006401462.1
OG0000137	Cg003G0942000	XP_006401463.2
OG0000137	Cg003G0941900	XP_006401465.2
OG0000137	Cg003G0901200	XP_006395415.1
OG0000138	Cg007G2299800	XP_006402375.2
OG0000138	Cg002G0485200	XP_006402376.1, XP_006406628.2, XP_024015356.1
OG0000140	Cg003G0904200, Cg002G0686900, Cg006G2087500, Cg006G1824700, Cg003G0810900	XP_024009937.1
OG0000142	Cg005G1593500	XP_024006563.1
OG0000143	Cg001G0285100	XP_024004869.1, XP_024013112.1
OG0000143	Cg002G0608200	XP_024010602.1, XP_024010603.1, XP_024010269.1, XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024015954.1, XP_024014871.1, XP_024011336.1, XP_024009448.1, XP_024009582.1, XP_024007272.1, XP_024007245.1, XP_024016353.1, XP_024013094.1, XP_024015124.1, XP_024011407.1, XP_024010424.1, XP_024007246.1, XP_024007303.1, XP_024009244.1, XP_024011363.1, XP_024013386.1, XP_024009423.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024010915.1, XP_024010675.1
OG0000151	Cg002G0475200	XP_006403491.1
OG0000151	Cg002G0475300	XP_006403492.1
OG0000151	Cg005G1538800	XP_006411161.1
OG0000151	Cg002G0475400	XP_006403493.1
OG0000151	Cg002G0491600	XP_006403679.1
OG0000151	Cg005G1560100	XP_006410918.1
OG0000151	Cg008G2699500	XP_006399852.1
OG0000153	Cg005G1640700	XP_006409978.1
OG0000154	Cg006G1826100	XP_006393107.1
OG0000154	Cg001G0245400	XP_024005670.1
OG0000154	Cg006G1826000	XP_024006135.1
OG0000155	Cg009G2989400	XP_024016201.1
OG0000158	Cg005G1695800	XP_006397112.2
OG0000159	Cg007G2460000	XP_024007305.1
OG0000159	Cg003G0778900, Cg005G1705200	XP_024009779.1
OG0000160	Cg004G1426700	XP_006409094.1
OG0000160	Cg001G0100800	XP_024005341.1
OG0000160	Cg003G0963700	XP_024012572.1
OG0000160	Cg004G1353700	XP_006396088.1
OG0000160	Cg007G2573400	XP_006389820.1
OG0000160	Cg005G1742100	XP_006404985.2
OG0000162	Cg005G1601500	XP_006410456.1
OG0000162	Cg005G1601400	XP_024004125.1
OG0000163	Cg007G2356000	XP_024006579.1, XP_024016225.1, XP_024016199.1, XP_024016326.1, XP_024009314.1, XP_024011229.1
OG0000163	Cg005G1702000	XP_024004795.1, XP_024006469.1, XP_024015926.1, XP_024016668.1
OG0000165	Cg008G2927600	XP_006418673.2
OG0000167	Cg004G1301000	XP_024015423.1
OG0000170	Cg002G0419600	XP_024012911.1
OG0000170	Cg005G1474000	XP_024010825.1
OG0000171	Cg003G0916500	XP_006401722.1
OG0000171	Cg007G2262400	XP_006391653.1, XP_006405318.1
OG0000171	Cg004G1402700	XP_006409398.1
OG0000171	Cg003G0949800	XP_006401372.1
OG0000171	Cg004G1146700	XP_006407751.1
OG0000171	Cg001G0123300	XP_024005195.1
OG0000173	Cg008G2861400, Cg008G2846800	XP_006411787.1
OG0000173	Cg001G0073600	XP_006411932.1
OG0000173	Cg001G0022300, Cg001G0022400	XP_006409103.1
OG0000174	Cg003G0887300, Cg005G1647500	XP_024013153.1
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	XP_024009910.1, XP_024010843.1, XP_024010311.1, XP_024004523.1
OG0000175	Cg006G2031400, Cg007G2474600	XP_006416080.1, XP_024015929.1
OG0000175	Cg008G2710700	XP_024012404.1
OG0000177	Cg006G2054600, Cg006G2054300, Cg006G2054100	XP_006416321.2
OG0000177	Cg006G2054700	XP_006416323.1
OG0000178	Cg003G0742900, Cg003G0743000	XP_006396688.1
OG0000178	Cg006G1925200, Cg006G1925100	XP_006396683.2
OG0000178	Cg003G0742300	XP_024010195.1
OG0000182	Cg002G0405500, Cg002G0498500	XP_006418087.2
OG0000183	Cg001G0339800, Cg007G2426600	XP_006391396.1, XP_006405835.1
OG0000183	Cg005G1681400	XP_006408585.1
OG0000185	Cg004G1189300	XP_024008728.1
OG0000186	Cg005G1766900, Cg007G2287600	XP_024003658.1, XP_024003647.1
OG0000187	Cg005G1772000	XP_006409848.1, XP_006413517.1, XP_006413085.1, XP_006401995.1, XP_006410218.1
OG0000187	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500	XP_024009084.1, XP_006396044.1
OG0000188	Cg004G1107000	XP_006408167.1
OG0000189	Cg001G0040600, Cg004G1414100	XP_006412039.1
OG0000189	Cg001G0051000	XP_006412162.1
OG0000189	Cg007G2529500	XP_006390262.1
OG0000189	Cg006G2064800	XP_006416436.1
OG0000191	Cg001G0299600	XP_006396068.2
OG0000191	Cg005G1682000, Cg007G2302000, Cg006G1951500	XP_024014023.1, XP_024006586.1
OG0000191	Cg007G2389300, Cg007G2329300	XP_024004140.1
OG0000192	Cg006G1993900	XP_006413192.2
OG0000192	Cg006G1994000	XP_024013225.1
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	XP_006410830.1, XP_006415272.2
OG0000193	Cg006G1948300	XP_024007938.1
OG0000196	Cg001G0390600	XP_006405313.2
OG0000196	Cg001G0388000, Cg001G0388200	XP_024014729.1
OG0000197	Cg001G0339500	XP_024005579.1
OG0000197	Cg001G0205400	XP_006393695.2
OG0000198	Cg002G0692800	XP_006395886.1, XP_006395885.1
OG0000198	Cg006G2114000, Cg006G2113800, Cg006G2113700, Cg002G0664200	XP_006413529.1
OG0000199	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200	XP_006412791.2, XP_006413298.1
OG0000200	Cg006G2210600	XP_006418015.2
OG0000200	Cg006G1857600	XP_006415505.2
OG0000200	Cg006G1857700	XP_006415507.2
OG0000203	Cg002G0442000	XP_024012757.1
OG0000203	Cg002G0441200	XP_006405456.2
OG0000205	Cg006G1892500	XP_024014711.1, XP_024015854.1, XP_024006545.1
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	XP_006409293.2, XP_024011376.1, XP_024013235.1
OG0000209	Cg008G2968000	XP_024006207.1
OG0000209	Cg008G2670300, Cg008G2670600, Cg008G2677700	XP_024015726.1
OG0000209	Cg008G2772200	XP_006417013.1, XP_006417028.2
OG0000210	Cg005G1646400, Cg005G1480200	XP_024010855.1, XP_024004704.1
OG0000210	Cg002G0423700	XP_024012914.1
OG0000210	Cg005G1646200	XP_006395656.2
OG0000215	Cg005G1678900, Cg002G0563200	XP_024006539.1
OG0000216	Cg007G2323800	XP_024016821.1
OG0000216	Cg001G0324000	XP_024014433.1, XP_006389699.2, XP_006405717.2, XP_006408645.2
OG0000216	Cg001G0323300	XP_024010225.1
OG0000219	Cg001G0279900, Cg006G1830800	XP_024009776.1, XP_006391273.1, XP_024005932.1, XP_024005928.1
OG0000221	Cg002G0658400	XP_024003652.1
OG0000222	Cg004G1331800	XP_024016355.1
OG0000225	Cg007G2558500	XP_024011254.1
OG0000227	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200, Cg004G1376900	XP_024014358.1
OG0000230	Cg008G2846600, Cg008G2861200, Cg008G2861500	XP_024012973.1
OG0000232	Cg006G1824400, Cg004G1119800, Cg005G1715100, Cg005G1758600	XP_024004085.1
OG0000233	Cg008G2647600	XP_006399237.1
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	XP_024012088.1, XP_006399240.2
OG0000233	Cg008G2647500	XP_024012161.1
OG0000235	Cg007G2571200, Cg007G2574000	XP_006405376.2
OG0000236	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500	XP_024014966.1
OG0000236	Cg003G0795800	XP_024014734.1
OG0000237	Cg001G0099500, Cg004G1282100	XP_024014985.1
OG0000238	Cg007G2478500	XP_006390832.1
OG0000238	Cg007G2478600	XP_024007098.1
OG0000239	Cg003G0837600	XP_024010605.1
OG0000241	Cg001G0185400	XP_006413726.1
OG0000241	Cg001G0185500	XP_006413727.1
OG0000241	Cg003G0857500, Cg003G0740200	XP_006396665.1
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	XP_006394900.1
OG0000244	Cg003G0728100, Cg003G0869700	XP_006396522.2
OG0000245	Cg006G1889200	XP_024009403.1, XP_024007449.1, XP_024007965.1
OG0000246	Cg005G1566300	XP_006410852.1
OG0000248	Cg007G2470700, Cg007G2470600, Cg007G2471500	XP_006390930.2
OG0000249	Cg006G1934400, Cg004G1366500, Cg002G0640600	XP_024011318.1, XP_024004901.1
OG0000250	Cg003G0735700	XP_006393349.1
OG0000251	Cg002G0664000	XP_006395570.1
OG0000251	Cg002G0663800	XP_006395568.2
OG0000251	Cg003G0962700	XP_006401223.1
OG0000252	Cg001G0086600	XP_006412567.1
OG0000252	Cg007G2272200	XP_024015991.1
OG0000252	Cg007G2546100	XP_006390080.1
OG0000253	Cg004G1154100	XP_006407676.1
OG0000253	Cg008G2596600	XP_006398709.1
OG0000256	Cg004G1240300	XP_006403304.1
OG0000256	Cg004G1236700	XP_006414663.1, XP_006414661.2
OG0000257	Cg007G2529400	XP_006405181.1
OG0000258	Cg002G0627900	XP_024013657.1, XP_024016182.1, XP_024015882.1, XP_024007310.1, XP_024010920.1, XP_024010435.1, XP_024011322.1, XP_024016335.1, XP_024006198.1, XP_024004992.1
OG0000258	Cg007G2370800, Cg001G0290400	XP_024014252.1
OG0000262	Cg007G2264500, Cg007G2264400, Cg007G2264300, Cg007G2293500	XP_024013586.1, XP_024011074.1
OG0000268	Cg006G1966300, Cg006G1965600, Cg008G2873000	XP_024005307.1
OG0000269	Cg003G0987700	XP_006400925.1
OG0000269	Cg002G0567300	XP_006418933.1, XP_006418941.1
OG0000269	Cg005G1638700	XP_024003799.1
OG0000275	Cg003G1065200	XP_024006885.1, XP_006395689.1
OG0000275	Cg008G2833500	XP_024006417.1
OG0000276	Cg005G1682300	XP_024005459.1
OG0000276	Cg002G0614200	XP_024016360.1, XP_024016375.1, XP_024014012.1, XP_024009234.1
OG0000278	Cg001G0332400, Cg001G0336600	XP_006408609.2
OG0000282	Cg001G0182100	XP_024004517.1, XP_024004516.1
