Orthogroup	Cardamine_glauca	Cochlearia_excelsa
OG0000004	Cg004G1187900	g33631, g43176, g15592, g4171, g14802, g15021, g34561, g26667, g14313, g33258, g43654, g42520, g29885, g4102, g33569, g9309, g43377, g43378, g35386, g48663, g21402, g9399, g21492, g48652, g53446, g48258, g26620, g4470, g34565, g14368, g32653, g50172, g19951, g16396, g30119, g33584, g8542, g34135, g42650, g49072, g24928, g8860, g21489, g4436, g9343, g33583, g3511, g48666, g48519, g42149, g52504, g26364, g35195, g3554, g33447, g33443, g52439, g30683, g11402, g42267, g4097, g35533, g26378, g25248, g4110, g26383, g33093, g52754, g15980, g52602, g15019, g32855, g16275, g33029
OG0000004	Cg011G3014900, Cg001G0291700, Cg002G0631600, Cg001G0232800, Cg005G1551600	g53542
OG0000005	Cg006G1917400	g25223, g41973
OG0000005	Cg005G1502300	g41900
OG0000005	Cg007G2394000	g18936, g17827, g50217, g34342
OG0000005	Cg008G2853000, Cg008G2868800, Cg006G1917300	g49127, g41144
OG0000005	Cg004G1316700, Cg001G0326200, Cg001G0340800	g22475, g21100, g15220
OG0000005	Cg001G0307500	g33153, g15339, g49854, g21989, g20095, g15381
OG0000005	Cg006G1917000, Cg006G1876300	g51377, g36656, g52100, g46847, g12379, g32106
OG0000007	Cg006G1865000, Cg001G0098100, Cg005G1765200	g4635
OG0000007	Cg004G1331500	g24723, g1457, g35540
OG0000008	Cg002G0653600	g35255, g34273, g25872, g26783, g29630, g27680, g4391, g43762, g33124
OG0000009	Cg003G0834900	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582
OG0000009	Cg007G2452800	g36085, g14872, g26760
OG0000009	Cg005G1728900	g23664
OG0000009	Cg008G2714900	g3832, g54192, g31394, g30358, g44061, g36068
OG0000009	Cg005G1711000	g10580, g39986, g32058
OG0000009	Cg005G1717900, Cg003G0717800, Cg005G1769300	g11275, g53238, g41488, g4401, g4394, g44957
OG0000011	Cg008G2919200, Cg002G0664700, Cg003G0778000	g18071, g2721, g42559, g4725, g47538
OG0000011	Cg005G1679200	g450, g26627, g32634
OG0000011	Cg005G1679100	g24975
OG0000014	Cg001G0103300	g18001, g43148, g43743
OG0000015	Cg001G0251200	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702
OG0000015	Cg007G2289100	g38798, g8683
OG0000015	Cg004G1297400	g16377
OG0000015	Cg008G2857400	g40286, g1778
OG0000016	Cg002G0591300	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664, g20467, g34722, g30434, g30429, g21277, g25157
OG0000016	Cg005G1715500	g15828, g15815, g15878
OG0000016	Cg001G0284700	g53235, g6385, g43402, g14661, g3657
OG0000018	Cg003G0814300	g16177, g16042, g30020, g19811, g42269, g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984, g35494, g53447, g42604, g26425, g48079, g38645, g21507, g3213, g36483, g33660, g35277, g16169, g14733, g43020, g43092, g25006, g15498, g54033, g1407, g20677, g8188, g49057, g49056, g38762, g53569, g8939, g16491, g22537, g22046, g1729, g35908, g32840, g42346, g43905, g53010, g32489, g26514, g52990, g52987, g48009, g33241, g52654, g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385, g16469, g34439, g48986, g3743, g49012, g26519, g30022, g23502, g4849, g25360, g26719, g25294, g43878, g34841, g33366, g21491, g33152, g34250, g53691, g26369, g29897, g3993, g17778, g52768, g49067, g39618, g42096, g6426, g52467, g14846, g30011, g7406, g27683, g24833, g33167, g14319, g53830, g54018, g33615, g33160, g52739, g50728, g34848, g24900, g50695, g30162, g42481, g3368, g39190, g8013, g30224, g41267, g2551, g22227, g35899, g43953, g3470, g52664, g14471, g26335, g25254, g16179, g41562, g22550, g22233, g36333, g51872, g10045, g3788, g41300, g3052, g46951, g4132, g14713, g44445, g30380, g3149, g44213, g11173, g35438, g30219, g9246, g16755, g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072, g17238, g26234, g3502, g26941, g42198, g15667, g7964, g33415, g26503, g6763, g49011, g8483, g19797, g22151, g4429, g25015, g53118, g3760, g25775, g17839, g35215, g26838, g11598, g33221, g14706, g33225, g52456, g35650, g35203, g24985, g20288, g20299, g52791, g52787, g20292, g46456, g42075, g42793, g33271, g16557, g2552, g2892, g21934, g53172, g48196, g38493, g35478
OG0000020	Cg004G1313600	g32689, g14805
OG0000020	Cg008G2915200, Cg003G0729100	g41994
OG0000021	Cg006G1912000, Cg004G1333000	g33125, g14567, g25750
OG0000022	Cg001G0134600	g17118
OG0000022	Cg007G2277400	g40889
OG0000022	Cg007G2258400	g40751
OG0000022	Cg001G0385000, Cg004G1232100	g13269
OG0000023	Cg003G0880200	g15662, g32787
OG0000023	Cg007G2371000	g14801, g15067
OG0000023	Cg003G0882200	g42217
OG0000023	Cg006G1902200	g52732
OG0000023	Cg006G2067800	g6328
OG0000024	Cg002G0447000, Cg002G0448700	g2269
OG0000025	Cg007G2444400	g17280, g46637, g25246, g50791
OG0000027	Cg003G0758800	g43193, g48946
OG0000027	Cg003G0758500	g25723
OG0000027	Cg003G0757800	g40374
OG0000030	Cg006G1982700, Cg001G0286900	g38367, g38376, g38372, g38380
OG0000030	Cg002G0532900	g13799, g13797
OG0000030	Cg006G2154000	g44631
OG0000031	Cg003G0842000	g39351, g7244, g17718, g41293
OG0000032	Cg007G2363000	g41784, g34309, g35282, g25262
OG0000032	Cg001G0339700	g49592, g25930, g51375
OG0000034	Cg001G0172000	g23911
OG0000034	Cg001G0190400, Cg001G0190500	g24014
OG0000034	Cg001G0172700	g23912
OG0000038	Cg007G2341500, Cg007G2278200	g2497
OG0000040	Cg008G2847500, Cg008G2862000	g49152
OG0000040	Cg007G2426000, Cg008G2852000, Cg008G2867800	g3973, g3980
OG0000041	Cg007G2434700	g28504, g28412, g26640, g45389, g13756, g29232, g14427, g4881, g19458, g46776
OG0000041	Cg006G2127000	g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028
OG0000042	Cg013G3025700	g6307, g53556
OG0000042	Cg007G2325300	g40104, g13786, g31186, g8826, g30544
OG0000043	Cg014G3034000	g32581, g25935, g6093
OG0000043	Cg002G0640800	g53495, g823, g9695
OG0000043	Cg003G0842100	g34289
OG0000043	Cg007G2421300, Cg006G1860500	g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242
OG0000043	Cg008G2905100	g31229, g24493, g12585, g3844, g50586
OG0000044	Cg008G2973900	g18482
OG0000044	Cg004G1380900, Cg013G3024300	g28154
OG0000046	Cg003G0881700	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490
OG0000046	Cg001G0284200	g3382, g2931
OG0000050	Cg005G1710800	g32289
OG0000050	Cg002G0525300, Cg008G2715000, Cg001G0215700	g44252
OG0000050	Cg006G1961200, Cg003G0717600	g30921, g53630, g4397, g10583
OG0000050	Cg005G1737200	g182
OG0000051	Cg005G1723400	g53934, g37450
OG0000052	Cg002G0501500	g19225
OG0000054	Cg008G2918900	g15787, g35421
OG0000054	Cg003G0830800	g33648, g43042, g25738, g35108, g25116, g46983, g27937
OG0000055	Cg004G1239300	g700
OG0000056	Cg002G0557700	g44206, g40901
OG0000058	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500	g49100
OG0000060	Cg005G1558200, Cg002G0489100, Cg003G0990300, Cg002G0570000, Cg005G1647300, Cg003G0987300, Cg002G0566100, Cg006G2185800	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	Cg005G1634900	g50013
OG0000061	Cg005G1631000	g23667
OG0000063	Cg001G0313600	g12636, g24835, g53004
OG0000065	Cg007G2435800	g18042
OG0000065	Cg003G0889600	g46717
OG0000066	Cg008G2671100	g5416
OG0000066	Cg003G1045600	g9719
OG0000066	Cg008G2671000	g29501, g45535
OG0000066	Cg001G0018900, Cg008G2677200, Cg001G0018800	g5393
OG0000067	Cg006G1886600	g38489, g40040, g14490, g12581, g53576
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400, Cg008G2928700, Cg002G0693300, Cg008G2602600, Cg008G2600100	g27956, g25385, g25390, g46783
OG0000069	Cg007G2571800, Cg001G0395000	g13531
OG0000070	Cg006G2161100, Cg002G0680500	g10675
OG0000070	Cg006G2064200	g50123
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	g46242
OG0000070	Cg008G2918500, Cg011G3015900	g44417
OG0000074	Cg008G2873100	g25623, g25627, g44201
OG0000074	Cg007G2575700	g10989
OG0000074	Cg007G2434800	g43483, g50927, g53476, g50930, g43482
OG0000075	Cg001G0013900	g25975, g22716
OG0000077	Cg008G2957400	g18473
OG0000077	Cg005G1775900, Cg003G0758200	g18408
OG0000077	Cg007G2324000, Cg002G0678300, Cg002G0679000, Cg002G0679200, Cg002G0679300	g1538, g1535
OG0000078	Cg004G1099800, Cg004G1099900	g4945
OG0000079	Cg010G2993500	g53126
OG0000080	Cg006G1882600	g50113, g4633, g53808
OG0000081	Cg003G0774600, Cg008G2921900	g45295, g49162, g32135, g50796, g11094, g25177
OG0000083	Cg002G0678700	g1214, g6498, g34698, g18541, g2639, g36782, g37302, g49748, g24811, g27392, g2637, g49747, g10029, g51552, g41167, g16239, g27391, g24809, g10031, g50071, g1277, g22813, g23046, g2078, g43908, g41775, g32865, g39422, g31427, g53391, g4465, g28112, g2282, g41124, g37671, g46254, g31488, g46534, g47392, g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332, g2997, g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497, g43868, g51292, g28232, g45392, g2408, g135, g7916, g23429, g51381, g13593, g1215, g24810, g53918, g11358, g42931, g35240, g6238, g6313, g3724, g32856, g43081, g26018, g35239, g42930, g6323, g26027, g52571, g17747, g25833, g42932, g6324, g25834
OG0000083	Cg005G1676000	g10032, g1216, g41168, g51553, g29851, g2079, g31823
OG0000084	Cg006G1901600	g16020, g26091, g11688, g32213
OG0000084	Cg007G2362900	g34382, g53309
OG0000084	Cg003G0875600	g3226
OG0000084	Cg014G3052300, Cg004G1424800, Cg005G1657000	g14426
OG0000086	Cg001G0342500	g14687
OG0000086	Cg001G0342600	g46770, g46768, g46769, g43995
OG0000089	Cg008G2794800	g9991
OG0000089	Cg003G1017300	g339, g2817, g9845
OG0000089	Cg008G2689500	g5316
OG0000089	Cg008G2943700	g11055, g40485
OG0000089	Cg001G0195600	g24042
OG0000089	Cg006G2065500, Cg007G2528700	g46232
OG0000091	Cg005G1672400	g19510, g11453, g11030, g40516
OG0000091	Cg001G0362300, Cg008G2769400	g28934, g28933
OG0000095	Cg005G1737700, Cg005G1737600, Cg005G1739100, Cg005G1739400	g51024
OG0000096	Cg001G0384700	g6393
OG0000098	Cg004G1351900	g11756
OG0000101	Cg007G2332400	g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818
OG0000102	Cg003G0864100, Cg003G0734300	g40477, g40479, g40476, g40480, g1561
OG0000102	Cg003G0863600, Cg003G0734800	g45186
OG0000105	Cg007G2331800	g35258
OG0000107	Cg004G1267700	g6757
OG0000107	Cg004G1267500	g11936
OG0000108	Cg005G1557400	g37225, g38077, g2333, g51658
OG0000108	Cg008G2664600	g29544
OG0000108	Cg004G1253800	g13323
OG0000109	Cg008G2837900	g30198, g33477
OG0000110	Cg002G0653700	g46791, g24881
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000115	Cg001G0196200	g5236, g5604
OG0000115	Cg006G1927900, Cg008G2910800	g16651, g17473, g31783
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600, Cg001G0293300, Cg001G0282800	g48680, g15046, g14763, g43457, g1389, g17894
OG0000117	Cg006G2029700	g27550, g27549
OG0000117	Cg006G2030500	g50301
OG0000120	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500	g27841
OG0000124	Cg001G0298900	g51625, g52915, g53579
OG0000125	Cg005G1644900	g51118
OG0000125	Cg006G2188500	g31072
OG0000125	Cg006G1817000, Cg006G1816500	g18497
OG0000125	Cg004G1281100	g6675
OG0000127	Cg008G2786000	g41348
OG0000127	Cg002G0489900	g19182
OG0000127	Cg003G0989900, Cg002G0569500, Cg002G0569100	g2919, g1294, g28781
OG0000127	Cg005G1647800	g39998
OG0000128	Cg002G0434700, Cg002G0434600	g2009
OG0000129	Cg007G2357000	g45131
OG0000129	Cg007G2393300, Cg007G2412500, Cg007G2396400	g24222, g24219
OG0000129	Cg007G2390100	g45103, g45101
OG0000129	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000	g9880
OG0000134	Cg008G2920900	g18420
OG0000136	Cg008G2983700	g6807
OG0000137	Cg003G0942200	g1010
OG0000137	Cg003G0942300	g1011
OG0000140	Cg002G0686900	g49472, g35118
OG0000142	Cg005G1593500	g1920, g26785, g32853
OG0000143	Cg002G0608200	g52356, g52620, g4139, g16474
OG0000151	Cg002G0475200	g19127
OG0000151	Cg002G0475300	g19128
OG0000151	Cg005G1538800	g51765
OG0000151	Cg002G0475400	g2235
OG0000151	Cg002G0491600	g2346
OG0000151	Cg005G1560100	g51633
OG0000151	Cg008G2699500	g29346
OG0000153	Cg005G1625900	g51155, g51154, g51130, g51156
OG0000153	Cg006G2190200, Cg005G1640700	g37875, g37876
OG0000154	Cg006G1826100	g36466, g36467
OG0000155	Cg009G2989400	g36320, g54169, g36224, g24260
OG0000155	Cg004G1360400, Cg001G0323500	g37113, g6888, g3418, g43341, g44494
OG0000159	Cg003G0778900, Cg005G1705200	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132
OG0000160	Cg004G1426700	g5985
OG0000160	Cg001G0100800	g23426
OG0000160	Cg003G0963700	g1105
OG0000160	Cg004G1353700	g6339
OG0000160	Cg001G0307000	g17885
OG0000160	Cg007G2573400	g46563
OG0000160	Cg005G1742100	g50994
OG0000163	Cg007G2356000, Cg005G1702000	g43620
OG0000170	Cg005G1474000	g52257
OG0000171	Cg003G0916500	g915, g28415
OG0000171	Cg004G1402700	g14078
OG0000171	Cg003G0949800	g28546
OG0000171	Cg004G1146700	g7540
OG0000171	Cg001G0123300	g17072
OG0000174	Cg003G0887300, Cg005G1647500	g52379
OG0000174	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200	g50178
OG0000175	Cg006G2031400, Cg007G2474600	g45857
OG0000175	Cg008G2710700	g29297
OG0000175	Cg002G0406800, Cg005G1457900	g50814
OG0000178	Cg003G0742900, Cg003G0743000	g40442
OG0000183	Cg001G0339800, Cg007G2426600	g18117
OG0000183	Cg005G1681400	g40143
OG0000185	Cg004G1440400, Cg003G1044200	g11864
OG0000187	Cg005G1772000	g17092
OG0000189	Cg001G0040600	g47947
OG0000189	Cg004G1414100	g18237
OG0000189	Cg007G2529500, Cg006G2064800	g50117
OG0000192	Cg006G1993900	g25904
OG0000192	Cg006G1994000	g25911
OG0000192	Cg006G2127500	g17137
OG0000193	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400	g27763
OG0000196	Cg001G0387900, Cg001G0387800, Cg001G0388400	g53972
OG0000197	Cg001G0339500	g24122
OG0000198	Cg002G0692800	g25893
OG0000198	Cg006G2114000	g31564
OG0000198	Cg006G2113800, Cg006G2113700	g49926
OG0000199	Cg001G0105000	g47707
OG0000200	Cg006G2210500	g40675
OG0000200	Cg006G2210600	g40674
OG0000200	Cg006G1857600	g27686
OG0000201	Cg005G1716200	g53703
OG0000201	Cg005G1717000	g35562
OG0000203	Cg002G0442000	g18958
OG0000203	Cg002G0441400	g2360
OG0000205	Cg006G1892500	g11567
OG0000206	Cg003G0826800, Cg003G0827100	g14281, g41697, g42264, g18658, g48987, g34593, g15238
OG0000208	Cg005G1738400, Cg007G2356100, Cg005G1738000	g33150, g21459, g33511, g33550
OG0000209	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400	g2157, g5026
OG0000209	Cg008G2968000	g12731
OG0000209	Cg008G2772200	g49840, g49834, g49829
OG0000210	Cg005G1646200	g1914
OG0000216	Cg003G0750300, Cg003G0750200	g25664
OG0000216	Cg007G2323800	g41090, g41083, g41086
OG0000221	Cg002G0658400	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923
OG0000229	Cg001G0315200	g13978
OG0000229	Cg007G2409700	g24726
OG0000233	Cg008G2647600	g45483
OG0000233	Cg008G2647700, Cg008G2647900, Cg008G2647800	g29622
OG0000233	Cg008G2647500	g45482
OG0000233	Cg008G2647300	g29623
OG0000235	Cg007G2571200, Cg007G2574000	g11302
OG0000236	Cg001G0272600, Cg004G1311000	g13483
OG0000237	Cg001G0099500, Cg004G1282100	g36933
OG0000238	Cg007G2478500	g44677
OG0000239	Cg001G0354900, Cg008G2902200	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750
OG0000241	Cg001G0185400, Cg001G0185500, Cg003G0857500, Cg003G0740200	g17320
OG0000242	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800	g10112
OG0000244	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400	g25493
OG0000246	Cg005G1566300	g37185
OG0000249	Cg006G1934400	g32697
OG0000249	Cg004G1366500, Cg002G0640600	g16095, g42905, g32698
OG0000250	Cg003G0735700	g40469
OG0000251	Cg002G0663800	g16641
OG0000252	Cg007G2272200	g40852
OG0000252	Cg007G2546100	g46370
OG0000253	Cg004G1153800	g54073
OG0000253	Cg004G1184700	g12277
OG0000253	Cg004G1154100	g7492
OG0000253	Cg008G2596600	g5784, g45315
OG0000254	Cg001G0250300, Cg001G0250200, Cg001G0250000, Cg001G0249500, Cg001G0249800, Cg001G0249400, Cg001G0249700	g47115
OG0000257	Cg008G2969000	g46235
OG0000262	Cg007G2264500, Cg007G2264400, Cg007G2264300, Cg007G2293500	g24889
OG0000265	Cg005G1655600	g30948, g25301, g11542, g43509, g3110, g32825, g14672
OG0000268	Cg006G1966300, Cg006G1965600	g35054
OG0000268	Cg008G2873000	g44991
OG0000269	Cg003G0987700	g28758
OG0000269	Cg002G0567300	g2910, g2936
OG0000269	Cg005G1638700	g39974
OG0000270	Cg001G0375300	g33428
OG0000274	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800	g47338, g33147, g14472, g44486, g21632, g42257, g21852, g21844, g36809, g10312
OG0000276	Cg005G1682300	g34448, g33115
OG0000276	Cg002G0614200	g15118, g44910
OG0000277	Cg001G0007500	g18216, g23060, g18323
OG0000277	Cg006G2066500	g27445, g31888
OG0000278	Cg001G0332400, Cg001G0336600	g14307
OG0000278	Cg001G0333000, Cg001G0333100, Cg001G0332700, Cg001G0332500, Cg001G0337400	g46809, g46812, g46827
OG0000282	Cg001G0182200, Cg001G0182000	g47412
OG0000282	Cg001G0182100	g53736
OG0000283	Cg007G2481000, Cg004G1350900	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516
OG0000283	Cg011G3015000	g15621, g48271, g41887, g15633
OG0000285	Cg001G0190700	g47372
OG0000285	Cg001G0130400	g23645
OG0000286	Cg006G1979100	g41270
OG0000286	Cg008G2943400	g52037
OG0000286	Cg001G0074700	g49458
OG0000288	Cg007G2410200, Cg001G0295100, Cg008G2916600	g24937
OG0000289	Cg013G3025500, Cg036G3082600, Cg004G1374500	g39783
OG0000291	Cg004G1343300, Cg004G1337600	g11641, g53214, g52576, g53200
OG0000294	Cg007G2421900	g32720, g28307, g28263
OG0000294	Cg008G2713400	g25697
OG0000296	Cg008G2982100, Cg003G0982000, Cg003G0887600	g1252, g28701, g28702
OG0000296	Cg003G0978500	g28714
OG0000296	Cg003G0978400	g1225
OG0000297	Cg001G0284800	g25161, g25175, g30421, g30418, g30424, g30425, g21279, g20461
OG0000298	Cg006G1935400	g32687
OG0000305	Cg005G1528100	g53520, g51878
OG0000308	Cg008G2928800, Cg008G2929000, Cg008G2928900	g11113, g11114
OG0000309	Cg003G0994700	g849, g41323
OG0000312	Cg001G0335800, Cg006G1899900	g34672, g49078, g28337, g53936, g25486, g44392, g14467, g35227, g34486
OG0000314	Cg006G1940900	g1672
OG0000314	Cg005G1640900	g27333
OG0000316	Cg007G2407200	g12167, g12172
OG0000318	Cg007G2568100, Cg007G2467300	g43847
OG0000318	Cg006G2217500	g49471
OG0000320	Cg007G2343200	g39023, g15482, g22561, g11616, g38570, g21086
OG0000320	Cg004G1332200	g11617
OG0000321	Cg004G1262800, Cg006G1832400	g54159
OG0000321	Cg008G2763000	g41419
OG0000321	Cg007G2375700	g666
OG0000322	Cg003G0970300	g10751, g26081, g26058
OG0000323	Cg007G2499000	g44591
OG0000325	Cg006G2219100	g49462
OG0000325	Cg006G2219000	g30904
OG0000325	Cg005G1602100	g37954
OG0000328	Cg004G1277600, Cg004G1277500	g13376
OG0000328	Cg004G1277300	g13375
OG0000330	Cg007G2499300	g44587
OG0000330	Cg006G2088700	g31719
OG0000331	Cg014G3041700, Cg003G0713900	g25429, g39522
OG0000331	Cg006G2241100	g26892
OG0000331	Cg004G1239000	g6947
OG0000332	Cg007G2289700, Cg007G2290000, Cg007G2289800, Cg007G2289200	g24568, g44176
OG0000334	Cg001G0215800	g43888, g43360
OG0000334	Cg003G0804200	g4402
OG0000336	Cg007G2325400, Cg007G2323200, Cg006G2167300, Cg006G2168200	g31190, g27091, g27095, g31209
OG0000344	Cg004G1369200	g36278
OG0000345	Cg008G2662100, Cg008G2933100	g29557, g39719
OG0000345	Cg006G2224300, Cg008G2662200	g26927, g49447, g30863
OG0000346	Cg002G0494100	g2365
OG0000346	Cg002G0665500	g10579
OG0000347	Cg005G1469700	g52289
OG0000348	Cg004G1340700	g50668
OG0000349	Cg003G0987000	g1282
OG0000351	Cg007G2413700	g36126
OG0000357	Cg006G1975000, Cg006G1975200, Cg006G1975100, Cg005G1588800	g32419, g32420, g50521
OG0000358	Cg006G1862900, Cg006G1862800, Cg006G1862100, Cg006G1862300, Cg006G1862600, Cg006G1862700, Cg006G1862500, Cg006G1862200, Cg006G1862400, Cg006G1820200, Cg006G1820000, Cg006G1820100	g54187
OG0000362	Cg005G1741300, Cg005G1741400	g35345, g4371
OG0000362	Cg008G2879000, Cg001G0183800	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248
OG0000363	Cg001G0254400, Cg001G0257200	g53411, g29745
OG0000363	Cg007G2555900	g27806
OG0000363	Cg005G1671900	g50959
OG0000364	Cg006G1922200, Cg001G0376100, Cg008G2746400	g37360, g37362, g37913, g17870
OG0000365	Cg006G2014900	g27592
OG0000365	Cg006G2015100	g50367
OG0000368	Cg002G0561500, Cg002G0561400	g11421
OG0000368	Cg002G0560400	g11422
