Orthogroup	Cardamine_glauca	Rorippa_islandica
OG0000008	Cg002G0653600	Roisl.0075s0191.1.p, Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p, Roisl.0091s0691.1.p, Roisl.0058s0017.1.p, Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p
OG0000008	Cg007G2406600, Cg002G0593900	Roisl.0214s0198.1.p
OG0000008	Cg002G0512100	Roisl.0046s1128.1.p
OG0000008	Cg002G0565700	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p
OG0000009	Cg005G1737500	Roisl.0008s0348.1.p
OG0000011	Cg005G1679200	Roisl.0019s0018.1.p
OG0000012	Cg005G1703300	Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p, Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p
OG0000015	Cg001G0251200	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	Cg008G2857400	Roisl.0053s0047.1.p
OG0000016	Cg002G0591300	Roisl.0210s2086.1.p
OG0000016	Cg005G1715500	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	Cg001G0284700	Roisl.0015s0130.1.p, Roisl.0213s0002.1.p
OG0000018	Cg003G0814300	Roisl.0194s0035.1.p, Roisl.0111s0039.1.p
OG0000020	Cg004G1313600	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p
OG0000020	Cg008G2915200, Cg003G0729100	Roisl.0188s0046.1.p
OG0000021	Cg006G1871200	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p
OG0000021	Cg006G1912000, Cg004G1333000	Roisl.0014s0139.1.p
OG0000022	Cg001G0134600	Roisl.0022s0346.1.p
OG0000022	Cg007G2277400	Roisl.0010s0065.1.p
OG0000022	Cg007G2272800, Cg007G2270400, Cg007G2272900, Cg007G2273000	Roisl.0008s0013.1.p
OG0000022	Cg007G2258400	Roisl.0050s0030.1.p
OG0000022	Cg001G0385000	Roisl.0009s0109.1.p
OG0000022	Cg004G1232100	Roisl.0074s0275.1.p
OG0000024	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300	Roisl.0066s0178.1.p, Roisl.0213s0369.1.p
OG0000024	Cg006G1963900, Cg006G1963800	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p
OG0000024	Cg002G0447000, Cg002G0448700	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000025	Cg007G2444400	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000025	Cg005G1690200, Cg004G1264500	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000027	Cg003G0758800	Roisl.0213s0580.1.p
OG0000027	Cg003G0758600	Roisl.0213s0582.1.p
OG0000027	Cg003G0758700	Roisl.0213s0585.1.p, Roisl.0213s0581.1.p
OG0000027	Cg001G0170600	Roisl.0008s0130.1.p
OG0000027	Cg001G0171100	Roisl.0184s0126.1.p
OG0000027	Cg001G0171400	Roisl.0008s0080.1.p
OG0000027	Cg001G0172400	Roisl.0214s0896.1.p
OG0000027	Cg001G0171900	Roisl.0008s0069.1.p
OG0000027	Cg001G0171700	Roisl.0008s0070.1.p, Roisl.0008s0076.1.p
OG0000027	Cg001G0171600	Roisl.0008s0072.1.p
OG0000028	Cg003G0981300	Roisl.0080s0376.1.p
OG0000028	Cg007G2581000	Roisl.0008s0342.1.p
OG0000028	Cg006G2183100	Roisl.0091s1124.1.p
OG0000029	Cg007G2405400, Cg007G2364600	Roisl.0208s0029.1.p
OG0000030	Cg004G1270000	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	Cg004G1261500	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p
OG0000030	Cg004G1264800	Roisl.0115s0300.1.p
OG0000030	Cg006G1982700	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p
OG0000030	Cg001G0286900	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	Cg002G0532900	Roisl.0046s0887.1.p
OG0000030	Cg006G2154000	Roisl.0021s0166.1.p
OG0000031	Cg003G0842000	Roisl.0020s0175.1.p, Roisl.0191s0693.1.p, Roisl.0020s0186.1.p, Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p, Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p, Roisl.0188s0032.1.p, Roisl.0036s0104.1.p
OG0000032	Cg008G2902300	Roisl.0019s0045.1.p
OG0000032	Cg001G0339700	Roisl.0005s0192.1.p
OG0000034	Cg001G0172000	Roisl.0008s0068.1.p
OG0000034	Cg001G0172200, Cg001G0172300	Roisl.0214s0895.1.p
OG0000034	Cg001G0172500	Roisl.0008s0077.1.p
OG0000034	Cg001G0190400	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	Cg001G0190500	Roisl.0091s0190.1.p
OG0000034	Cg001G0172600	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p
OG0000034	Cg001G0170800	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p
OG0000034	Cg001G0172700	Roisl.0214s0905.1.p
OG0000040	Cg008G2847500, Cg008G2862000	Roisl.0214s0030.1.p
OG0000040	Cg003G0811000, Cg001G0330900	Roisl.0053s0204.1.p, Roisl.0032s0032.1.p, Roisl.0033s0150.1.p, Roisl.0004s0257.1.p
OG0000040	Cg007G2426000, Cg008G2852000, Cg008G2867800	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p
OG0000040	Cg005G1448100	Roisl.0209s0082.1.p, Roisl.0019s0385.1.p, Roisl.0046s0431.1.p
OG0000040	Cg003G0810800, Cg002G0661400, Cg003G0770800, Cg006G1822500, Cg003G0954000	Roisl.0209s0055.1.p
OG0000040	Cg005G1689300	Roisl.0022s0026.1.p, Roisl.0185s0031.1.p, Roisl.0046s0494.1.p
OG0000040	Cg008G2847400, Cg008G2861900	Roisl.0012s0087.1.p
OG0000041	Cg006G2127000	Roisl.0046s0022.1.p
OG0000042	Cg013G3025700	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000043	Cg008G2905100	Roisl.0013s0195.1.p
OG0000044	Cg008G2973600	Roisl.0049s0007.1.p
OG0000044	Cg008G2897600	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	Cg008G2973900	Roisl.0005s0150.1.p
OG0000044	Cg004G1380900	Roisl.0079s0325.1.p
OG0000044	Cg013G3024300	Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p
OG0000046	Cg003G0881700	Roisl.0210s2226.1.p
OG0000046	Cg001G0284200	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000050	Cg005G1710800, Cg007G2389100, Cg006G1872200	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	Cg002G0525300, Cg008G2715000	Roisl.0214s0827.1.p
OG0000050	Cg006G1961200, Cg003G0717600	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000050	Cg005G1737200	Roisl.0082s0464.1.p
OG0000051	Cg013G3025800, Cg005G1600400	Roisl.0028s0722.1.p
OG0000051	Cg005G1723400	Roisl.0189s0079.1.p
OG0000052	Cg007G2494300	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p
OG0000052	Cg002G0537500	Roisl.0046s0692.1.p
OG0000055	Cg004G1288100, Cg004G1288500, Cg004G1288300, Cg004G1288700, Cg004G1288200	Roisl.0115s0560.1.p
OG0000055	Cg004G1239300	Roisl.0074s0202.1.p
OG0000055	Cg004G1232400	Roisl.0074s0270.1.p
OG0000056	Cg007G2285200	Roisl.0209s0766.1.p
OG0000056	Cg007G2283700	Roisl.0209s0767.1.p, Roisl.0209s0613.1.p, Roisl.0209s0764.1.p
OG0000056	Cg007G2284500	Roisl.0209s0621.1.p
OG0000056	Cg007G2283300	Roisl.0209s0593.1.p
OG0000056	Cg007G2283500	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	Cg007G2284900, Cg007G2285100	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	Cg002G0557700	Roisl.0209s0402.1.p
OG0000059	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	Cg003G0778100	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000060	Cg002G0489100	Roisl.0046s1351.1.p
OG0000060	Cg002G0566100	Roisl.0209s0295.1.p
OG0000061	Cg004G1379900	Roisl.0045s0092.1.p
OG0000061	Cg003G0858900	Roisl.0082s0253.1.p
OG0000061	Cg005G1455400	Roisl.0002s0176.1.p
OG0000061	Cg005G1631000	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p
OG0000064	Cg003G0987600	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p
OG0000065	Cg007G2434500	Roisl.0024s0064.1.p
OG0000065	Cg007G2434600	Roisl.0024s0067.1.p
OG0000065	Cg007G2435800	Roisl.0024s0073.1.p
OG0000065	Cg007G2435300	Roisl.0024s0070.1.p
OG0000066	Cg008G2671100, Cg003G1045600	Roisl.0210s0757.1.p
OG0000066	Cg003G1045700	Roisl.0024s0429.1.p
OG0000066	Cg008G2671000	Roisl.0024s0428.1.p
OG0000066	Cg001G0018800	Roisl.0001s0457.1.p
OG0000066	Cg006G2066700	Roisl.0007s0395.1.p
OG0000068	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400	Roisl.0034s0163.1.p
OG0000068	Cg002G0693300	Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p
OG0000068	Cg008G2602600	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p
OG0000068	Cg008G2600100	Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	Cg007G2462800	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p
OG0000069	Cg007G2571800	Roisl.0004s0031.1.p, Roisl.0209s0663.1.p
OG0000069	Cg001G0395000	Roisl.0115s0002.1.p
OG0000069	Cg006G2225100	Roisl.0213s0875.1.p
OG0000069	Cg004G1201400	Roisl.0074s0568.1.p
OG0000070	Cg006G2161100	Roisl.0021s0078.1.p
OG0000070	Cg002G0680500	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	Cg006G2064200	Roisl.0007s0115.1.p
OG0000070	Cg001G0322900, Cg001G0323200, Cg007G2530800	Roisl.0004s0297.1.p
OG0000070	Cg008G2918500, Cg011G3015900	Roisl.0075s0011.1.p
OG0000075	Cg001G0013900	Roisl.0001s0515.1.p
OG0000075	Cg001G0013800	Roisl.0001s0516.1.p
OG0000075	Cg004G1368500	Roisl.0046s1458.1.p
OG0000076	Cg001G0007600	Roisl.0115s0707.1.p
OG0000076	Cg005G1594800	Roisl.0028s0782.1.p
OG0000076	Cg008G2963600	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p
OG0000077	Cg008G2957400	Roisl.0005s0349.1.p, Roisl.0012s0164.1.p
OG0000077	Cg005G1775900	Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p
OG0000077	Cg003G0758200	Roisl.0213s0591.1.p
OG0000077	Cg007G2324000	Roisl.0214s0808.1.p
OG0000077	Cg002G0679000	Roisl.0011s0230.1.p
OG0000077	Cg002G0679200	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p
OG0000077	Cg002G0679300	Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p
OG0000077	Cg006G2167500	Roisl.0021s0004.1.p
OG0000077	Cg008G2956300	Roisl.0005s0364.1.p
OG0000078	Cg004G1099800	Roisl.0016s0323.1.p
OG0000078	Cg004G1099900	Roisl.0016s0324.1.p
OG0000079	Cg002G0570600	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p
OG0000079	Cg010G2993500	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p
OG0000081	Cg007G2409600, Cg007G2443800	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p
OG0000082	Cg002G0616100	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p
OG0000083	Cg002G0678700	Roisl.0209s0532.1.p
OG0000084	Cg003G0875600	Roisl.0189s0055.1.p
OG0000086	Cg001G0342500	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	Cg001G0342600	Roisl.0032s0015.1.p
OG0000089	Cg008G2794800	Roisl.0210s2052.1.p
OG0000089	Cg003G1017300	Roisl.0024s0139.1.p
OG0000089	Cg002G0558400	Roisl.0209s0395.1.p
OG0000089	Cg005G1638200	Roisl.0082s0748.1.p
OG0000089	Cg008G2689500	Roisl.0210s0950.1.p
OG0000089	Cg008G2943700	Roisl.0012s0263.1.p
OG0000089	Cg001G0195600	Roisl.0091s0246.1.p
OG0000089	Cg005G1585200	Roisl.0028s0886.1.p
OG0000089	Cg006G2065500	Roisl.0007s0134.1.p
OG0000089	Cg007G2528700	Roisl.0004s0314.1.p
OG0000090	Cg002G0596500	Roisl.0185s0052.1.p, Roisl.0046s0056.1.p, Roisl.0083s0014.1.p, Roisl.0213s0386.1.p, Roisl.0214s0614.1.p, Roisl.0028s0652.1.p, Roisl.0055s0065.1.p, Roisl.0184s0150.1.p
OG0000090	Cg005G1668200, Cg005G1727600, Cg004G1388300, Cg006G1926600	Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p
OG0000090	Cg005G1727500	Roisl.0111s0002.1.p
OG0000091	Cg002G0555900	Roisl.0209s0425.1.p
OG0000091	Cg002G0552600	Roisl.0209s0469.1.p
OG0000091	Cg002G0556200	Roisl.0209s0420.1.p
OG0000091	Cg002G0551900	Roisl.0209s0474.1.p
OG0000091	Cg001G0362300	Roisl.0070s0019.1.p
OG0000091	Cg008G2769400	Roisl.0210s1773.1.p
OG0000091	Cg003G0829200, Cg003G0877100	Roisl.0214s0193.1.p
OG0000092	Cg003G0840800	Roisl.0066s0112.1.p, Roisl.0091s0376.1.p
OG0000095	Cg005G1739100	Roisl.0214s0042.1.p
OG0000096	Cg008G2960400	Roisl.0204s0041.1.p
OG0000096	Cg001G0384700	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p
OG0000096	Cg004G1249200, Cg004G1257700	Roisl.0074s0097.1.p
OG0000096	Cg004G1249300	Roisl.0074s0096.1.p
OG0000096	Cg004G1260000	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p
OG0000098	Cg007G2258600, Cg007G2258500	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	Cg008G2823500	Roisl.0006s0130.1.p
OG0000100	Cg007G2289500	Roisl.0209s0693.1.p
OG0000100	Cg007G2332300	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p
OG0000100	Cg007G2290800	Roisl.0209s0720.1.p
OG0000102	Cg003G0864100, Cg003G0734300	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	Cg003G0863700, Cg003G0734700	Roisl.0082s0310.1.p
OG0000102	Cg003G0734600, Cg003G0863800	Roisl.0082s0308.1.p
OG0000102	Cg003G0863600, Cg003G0734800	Roisl.0082s0306.1.p
OG0000105	Cg007G2307400, Cg007G2331800	Roisl.0050s0109.1.p
OG0000105	Cg007G2332200, Cg007G2332800	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p, Roisl.0008s0046.1.p
OG0000106	Cg007G2419200	Roisl.0021s0082.1.p
OG0000106	Cg008G2833600	Roisl.0046s1283.1.p
OG0000107	Cg004G1267700	Roisl.0115s0327.1.p
OG0000107	Cg004G1267300	Roisl.0115s0323.1.p
OG0000107	Cg004G1267600	Roisl.0115s0326.1.p
OG0000108	Cg005G1557400	Roisl.0017s0109.1.p
OG0000108	Cg003G0983900	Roisl.0209s0353.1.p
OG0000108	Cg004G1180800	Roisl.0074s0792.1.p
OG0000108	Cg008G2664600	Roisl.0210s0691.1.p
OG0000108	Cg004G1253800	Roisl.0074s0053.1.p
OG0000110	Cg002G0653700	Roisl.0040s0028.1.p
OG0000111	Cg002G0508300, Cg002G0508200, Cg006G1938400	Roisl.0046s1166.1.p
OG0000111	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p
OG0000116	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600	Roisl.0019s0048.1.p, Roisl.0046s0709.1.p
OG0000117	Cg006G2031100	Roisl.0191s0191.1.p
OG0000117	Cg006G2029500	Roisl.0191s0199.1.p
OG0000117	Cg006G2030300, Cg006G2030400	Roisl.0191s0198.1.p
OG0000117	Cg006G2030600	Roisl.0191s0196.1.p
OG0000119	Cg005G1714200	Roisl.0082s0489.1.p
OG0000119	Cg002G0596700	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p
OG0000119	Cg002G0574300	Roisl.0209s0263.1.p
OG0000119	Cg002G0574700	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p
OG0000122	Cg003G0952700	Roisl.0080s0687.1.p
OG0000122	Cg003G0953100	Roisl.0080s0683.1.p
OG0000122	Cg003G0952800	Roisl.0080s0685.1.p
OG0000122	Cg003G0800700	Roisl.0080s0684.1.p
OG0000123	Cg008G2893000, Cg008G2892800, Cg008G2892300, Cg008G2892200, Cg008G2892500, Cg008G2892400, Cg008G2892600, Cg008G2892100, Cg008G2892000, Cg008G2892700, Cg008G2892900	Roisl.0214s0314.1.p, Roisl.0214s0313.1.p, Roisl.0214s0312.1.p
OG0000124	Cg001G0298900	Roisl.0011s0204.1.p
OG0000125	Cg005G1643500	Roisl.0082s0689.1.p
OG0000125	Cg005G1643600	Roisl.0082s0684.1.p
OG0000125	Cg005G1644100	Roisl.0082s0683.1.p
OG0000125	Cg005G1643700, Cg005G1643900	Roisl.0082s0678.1.p
OG0000125	Cg006G2188500	Roisl.0091s1034.1.p
OG0000125	Cg006G1841400	Roisl.0013s0044.1.p
OG0000125	Cg006G1816500	Roisl.0006s0236.1.p
OG0000125	Cg006G1816900, Cg006G1816400	Roisl.0006s0238.1.p, Roisl.0006s0239.1.p
OG0000125	Cg004G1281100	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p
OG0000127	Cg006G2186100	Roisl.0091s1058.1.p
OG0000127	Cg008G2786000	Roisl.0210s1950.1.p
OG0000127	Cg002G0489900	Roisl.0046s1343.1.p
OG0000127	Cg008G2597500	Roisl.0034s0161.1.p
OG0000127	Cg003G0989900	Roisl.0080s0276.1.p
OG0000127	Cg002G0569500, Cg002G0569100	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p
OG0000127	Cg005G1647800	Roisl.0082s0645.1.p
OG0000128	Cg007G2459200	Roisl.0019s0649.1.p
OG0000128	Cg002G0434700	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p
OG0000128	Cg002G0434600	Roisl.0018s0038.1.p
OG0000129	Cg007G2357000	Roisl.0021s0622.1.p
OG0000129	Cg007G2393300	Roisl.0020s0184.1.p
OG0000129	Cg007G2390100	Roisl.0022s0002.1.p, Roisl.0022s0001.1.p
OG0000129	Cg003G1010100	Roisl.0080s0056.1.p
OG0000129	Cg003G1010200, Cg003G1010000	Roisl.0080s0057.1.p
OG0000129	Cg005G1662800, Cg005G1661800, Cg005G1660700	Roisl.0204s0037.1.p
OG0000129	Cg005G1661700	Roisl.0204s0045.1.p
OG0000129	Cg003G0897000	Roisl.0189s0223.1.p
OG0000129	Cg008G2880200, Cg007G2357100	Roisl.0021s0625.1.p
OG0000130	Cg003G0796500, Cg002G0592800	Roisl.0080s0678.1.p
OG0000132	Cg002G0477500	Roisl.0046s1480.1.p
OG0000134	Cg008G2920900	Roisl.0214s0290.1.p
OG0000136	Cg001G0257000	Roisl.0029s0027.1.p, Roisl.0047s0079.1.p, Roisl.0184s0220.1.p
OG0000136	Cg008G2983700	Roisl.0213s0757.1.p, Roisl.0008s0036.1.p, Roisl.0075s0023.1.p, Roisl.0209s0530.1.p, Roisl.0111s0005.1.p, Roisl.0008s0128.1.p
OG0000137	Cg003G0942200	Roisl.0080s0797.1.p, Roisl.0080s0796.1.p
OG0000137	Cg003G0942300	Roisl.0080s0795.1.p
OG0000137	Cg003G0942100	Roisl.0080s0798.1.p
OG0000137	Cg003G0942000	Roisl.0080s0799.1.p
OG0000137	Cg003G0941900	Roisl.0080s0800.1.p
OG0000138	Cg007G2299800	Roisl.0214s0533.1.p
OG0000138	Cg002G0558300	Roisl.0209s0397.1.p
OG0000138	Cg002G0563500	Roisl.0209s0398.1.p, Roisl.0209s0399.1.p
OG0000138	Cg002G0485200	Roisl.0046s1395.1.p
OG0000138	Cg007G2299200, Cg008G2872200, Cg002G0573400, Cg007G2299500	Roisl.0214s0530.1.p
OG0000140	Cg003G0904200	Roisl.0210s1920.1.p, Roisl.0188s0133.1.p, Roisl.0019s0384.1.p
OG0000140	Cg002G0686900	Roisl.0047s0080.1.p, Roisl.0046s0059.1.p, Roisl.0083s0051.1.p, Roisl.0201s0007.1.p
OG0000140	Cg006G2087500	Roisl.0008s0035.1.p, Roisl.0040s0019.1.p
OG0000141	Cg007G2276000, Cg007G2276100	Roisl.0010s0063.1.p
OG0000142	Cg005G1593500	Roisl.0189s0103.1.p, Roisl.0066s0433.1.p, Roisl.0015s0157.1.p
OG0000143	Cg001G0285100	Roisl.0009s0285.1.p, Roisl.0048s0044.1.p, Roisl.0189s0085.1.p
OG0000143	Cg002G0608200	Roisl.0019s0075.1.p, Roisl.0014s0024.1.p, Roisl.0058s0105.1.p, Roisl.0184s0037.1.p, Roisl.0213s0768.1.p, Roisl.0210s2172.1.p, Roisl.0185s0038.1.p, Roisl.0047s0065.1.p
OG0000148	Cg006G1825800	Roisl.0006s0146.1.p
OG0000151	Cg002G0579800	Roisl.0027s0100.1.p
OG0000151	Cg002G0475200	Roisl.0046s1506.1.p
OG0000151	Cg002G0475300	Roisl.0046s1505.1.p
