Orthogroup	Arabis_alpina	Conringia_planisiliqua
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	CP2_g49077_DN3_SP0_c.t1, CP11_g31796_DN3_SP0_c.t1, CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1, CP2_g49078_DN3_SP0_c.t1, CP2_g49081_DN1_SP0_c.t1, CP2_g49073_DN2_SP0_c.t1
OG0000056	Aa_G162440.h1.t1	CP2_g49031_DN3_SP0_c.t1
OG0000058	Aa_G444220.h1.t1	CP17_g5406_DN1_SP0_c.t1
OG0000058	Aa_G527390.h1.t1	CP13_g20701_DN3_SP0_c.t1, CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000060	Aa_G257700.h7.t1	CP1_g37049_DN3_SP0_c.t1
OG0000060	Aa_G550780.h5.t1	CP3_g14842_DN3_SP0_c.t1
OG0000060	Aa_G375890.h7.t1	CP3_g14841_DN3_SP0_c.t1
OG0000060	Aa_G448310.h3.t1	CP4_g24977_DN3_SP0_c.t1
OG0000060	Aa_G318860.h4.t1	CP8_g52772_DN3_SP0_c.t1
OG0000060	Aa_G448310.h6.t1	CP8_g53991_DN3_SP0_c.t1
OG0000062	Aa_G8040.h1.t1	CP5_g2505_DN3_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1
OG0000062	Aa_G417500.h1.t1	CP1_g40964_DN3_SP0_c.t1
OG0000063	Aa_G397260.h1.t1	CP14_g23889_DN2_SP0_c.t1
OG0000063	Aa_G40790.h1.t1	CP3_g15487_DN2_SP0_c.t1
OG0000063	Aa_G186650.h1.t1	CP21_g10524_DN1_SP0_c.t1
OG0000063	Aa_G998790.h1.t1	CP37_g11371_DN2_SP0_c.t1
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	CP9_g28234_DN3_SP0_c.t1
OG0000065	Aa_G574220.h1.t1	CP5_g1666_DN1_SP0_c.t1
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	CP5_g1580_DN2_SP0_c.t1
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	CP4_g25642_DN3_SP0_c.t1, CP2_g49425_DN3_SP0_c.t1
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	CP12_g31237_DN3_SP0_c.t1
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	CP17_g5790_DN3_SP0_c.t1
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	CP7_g45746_DN3_SP0_c.t1
OG0000070	Aa_G273730.h1.t1	CP1_g38202_DN3_SP0_c.t1, CP1_g38197_DN2_SP0_c.t1
OG0000072	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	CP6_g8758_DN1_SP0_c.t1, CP6_g9757_DN2_SP0_c.t1
OG0000072	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	CP2_g49697_DN3_SP0_c.t1
OG0000073	Aa_G108990.h1.t1	CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	CP8_g52237_DN3_SP0_c.t1
OG0000076	Aa_G137810.h1.t1	CP5_g77_DN1_SP0_c.t1
OG0000077	Aa_G362960.h1.t1, Aa_G122040.h1.t1	CP13_g20085_DN3_SP0_c.t1
OG0000077	Aa_G161010.h1.t1	CP2_g49677_DN1_SP0_c.t1
OG0000078	Aa_G339740.h1.t1	CP10_g42378_DN2_SP0_c.t1
OG0000078	Aa_G339720.h1.t1	CP10_g42381_DN3_SP0_c.t1, CP10_g42379_DN1_SP0_c.t1
OG0000078	Aa_G339730.h1.t1	CP10_g42380_DN2_SP0_c.t1
OG0000078	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	CP11_g32173_DN2_SP0_c.t1, CP11_g32163_DN2_SP0_c.t1
OG0000083	Aa_G482960.h1.t1	CP23_g21372_DN1_SP0_c.t1
OG0000083	Aa_G871750.h1.t1	CP2_g49795_DN1_SP0_c.t1, CP14_g23210_DN2_SP0_c.t1, CP23_g21373_DN1_SP0_c.t1
OG0000084	Aa_G572590.h1.t1	CP12_g31116_DN2_SP0_c.t1
OG0000084	Aa_G204550.h1.t1	CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1, CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1
OG0000084	Aa_G278670.h1.t1, Aa_G454040.h1.t1	CP1_g41234_DN3_SP0_c.t1, CP4_g26226_DN3_SP0_c.t1, CP6_g9671_DN1_SP0_c.t1
OG0000084	Aa_G40780.h1.t1	CP33_g3644_DN2_SP0_c.t1, CP9_g27445_DN1_SP0_c.t1
OG0000084	Aa_G680690.h1.t1	CP4_g26209_DN2_SP0_c.t1, CP6_g8210_DN1_SP0_c.t1
OG0000084	Aa_G370540.h1.t1	CP1_g40571_DN3_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP15_g34661_DN2_SP0_c.t1
OG0000084	Aa_G1050160.h2.t1, Aa_G1050160.h1.t1	CP18_g12306_DN1_SP0_c.t1, CP17_g5842_DN2_SP0_c.t1
OG0000086	Aa_G703520.h1.t1	CP29_g21947_DN3_SP0_c.t1, CP9_g28199_DN3_SP0_c.t1
OG0000089	Aa_G630880.h1.t1	CP2_g48308_DN3_SP8_c.t1
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	CP3_g14713_DN3_SP4_c.t1
OG0000089	Aa_G199760.h1.t1	CP4_g25793_DN3_SP8_c.t1
OG0000089	Aa_G256660.h1.t1	CP11_g32707_DN3_SP8_c.t1
OG0000089	Aa_G103150.h1.t1	CP13_g20168_DN3_SP8_c.t1
OG0000089	Aa_G580380.h1.t1	CP6_g6768_DN3_SP8_c.t1
OG0000089	Aa_G562810.h1.t1	CP4_g25265_DN3_SP6_c.t1
OG0000089	Aa_G656110.h1.t1	CP9_g29223_DN3_SP8_c.t1
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	CP5_g3314_DN2_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP26_g51159_DN1_SP0_c.t1, CP3_g14976_DN2_SP0_c.t1, CP3_g15613_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1
OG0000091	Aa_G123680.h1.t1, Aa_G100910.h1.t1	CP8_g52786_DN3_SP0_c.t1
OG0000095	Aa_G271110.h1.t1	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000095	Aa_G155650.h1.t1	CP16_g55165_DN2_SP0_c.t1
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	CP2_g48438_DN1_SP0_c.t1
OG0000100	Aa_G65950.h1.t1	CP2_g48895_DN3_SP0_c.t1
OG0000100	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1	CP2_g48891_DN3_SP0_c.t1
OG0000101	Aa_G154360.h1.t1, Aa_G160180.h1.t1	CP22_g17341_DN3_SP0_c.t1
OG0000105	Aa_G117390.h1.t1, Aa_G84880.h1.t1	CP12_g31635_DN1_SP0_c.t1
OG0000105	Aa_G710830.h1.t1	CP20_g4043_DN3_SP0_c.t1
OG0000107	Aa_G323970.h1.t1	CP6_g8709_DN3_SP0_c.t1
OG0000110	Aa_G578120.h1.t1	CP5_g2099_DN3_SP0_c.t1
OG0000114	Aa_G861160.h1.t1	CP1_g39948_DN1_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1
OG0000114	Aa_G122790.h1.t1	CP3_g15173_DN3_SP0_c.t1
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	CP18_g11868_DN3_SP0_c.t1, CP9_g27995_DN3_SP0_c.t1, CP75_g34149_DN3_SP0_c.t1, CP9_g27968_DN2_SP0_c.t1, CP9_g27996_DN3_SP0_c.t1, CP9_g28014_DN3_SP0_c.t1, CP9_g27949_DN3_SP0_c.t1, CP13_g20558_DN3_SP0_c.t1, CP18_g12093_DN3_SP0_c.t1, CP5_g2512_DN3_SP0_c.t1, CP8_g52210_DN3_SP0_c.t1, CP22_g17667_DN2_SP0_c.t1, CP12_g30983_DN3_SP0_c.t1, CP14_g23380_DN2_SP0_c.t1, CP7_g44106_DN2_SP0_c.t1, CP3_g15174_DN1_SP0_c.t1, CP2_g49797_DN1_SP0_c.t1, CP9_g27967_DN3_SP0_c.t1, CP1_g40794_DN1_SP0_c.t1
OG0000115	Aa_G264010.h1.t1	CP29_g22137_DN2_SP0_c.t1
OG0000115	Aa_G147990.h1.t1, Aa_G91540.h1.t1	CP18_g12126_DN1_SP0_c.t1
OG0000115	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1	CP4_g26088_DN2_SP0_c.t1
OG0000116	Aa_G31310.h1.t1	CP59_g6663_DN3_SP0_c.t1, CP44_g20908_DN3_SP0_c.t1, CP18_g12569_DN3_SP0_c.t1
OG0000116	Aa_G358570.h1.t1	CP15_g34919_DN3_SP0_c.t1, CP8_g52858_DN3_SP0_c.t1, CP25_g55998_DN3_SP0_c.t1
OG0000116	Aa_G342720.h1.t1	CP20_g3900_DN1_SP0_c.t1, CP2_g49406_DN2_SP0_c.t1
OG0000116	Aa_G687410.h1.t1, Aa_G687410.h2.t1, Aa_G619400.h1.t1	CP27_g41690_DN2_SP0_c.t1
OG0000117	Aa_G62330.h1.t1	CP7_g45428_DN3_SP0_c.t1, CP7_g45432_DN3_SP0_c.t1, CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1
OG0000117	Aa_G62240.h1.t1	CP7_g45420_DN3_SP0_c.t1
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1	CP7_g45418_DN3_SP0_c.t1
OG0000120	Aa_G170950.h1.t1	CP2_g50772_DN3_SP0_c.t1
OG0000120	Aa_G248300.h1.t1	CP22_g17665_DN2_SP0_c.t1
OG0000121	Aa_G527420.h1.t1, Aa_G180200.h1.t1	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	CP8_g53628_DN3_SP0_c.t1
OG0000122	Aa_G625760.h1.t1	CP8_g53619_DN3_SP0_c.t1
OG0000122	Aa_G592740.h1.t1	CP8_g53627_DN3_SP0_c.t1
OG0000127	Aa_G552180.h1.t1	CP8_g54114_DN3_SP0_c.t1
OG0000127	Aa_G311330.h1.t1	CP4_g24986_DN3_SP0_c.t1
OG0000127	Aa_G33880.h1.t1	CP3_g14838_DN3_SP0_c.t1, CP8_g54018_DN3_SP0_c.t1
OG0000127	Aa_G69270.h1.t1	CP4_g25869_DN3_SP0_c.t1
OG0000128	Aa_G271260.h1.t1	CP3_g13458_DN3_SP0_c.t1
OG0000129	Aa_G323510.h1.t1	CP10_g42426_DN3_SP0_c.t1
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	CP2_g48114_DN3_SP0_c.t1
OG0000134	Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146320.h1.t1, Aa_G146330.h1.t1, Aa_G339770.h1.t1	CP12_g31654_DN3_SP0_c.t1
OG0000136	Aa_G1053460.h1.t1	CP14_g23760_DN1_SP0_c.t1
OG0000136	Aa_G15110.h1.t1	CP3_g15024_DN1_SP0_c.t1
OG0000137	Aa_G925390.h1.t1	CP29_g22095_DN2_SP0_c.t1
OG0000138	Aa_G167750.h1.t1	CP4_g26545_DN2_SP0_c.t1
OG0000140	Aa_G89750.h1.t1	CP12_g31007_DN2_SP0_c.t1
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	CP5_g2106_DN1_SP0_c.t1
OG0000140	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1	CP12_g31264_DN1_SP0_c.t1, CP12_g31008_DN1_SP0_c.t1
OG0000141	Aa_G366140.h1.t1	CP1_g37530_DN3_SP0_c.t1
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	CP15_g34449_DN2_SP0_c.t1
OG0000154	Aa_G37000.h1.t1	CP1_g38036_DN1_SP0_c.t1
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	CP6_g7266_DN3_SP0_c.t1
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	CP10_g43760_DN1_SP0_c.t1
OG0000155	Aa_G30210.h1.t1, Aa_G848170.h1.t1, Aa_G330590.h1.t1	CP6_g7697_DN1_SP0_c.t1, CP17_g5082_DN2_SP0_c.t1, CP7_g44488_DN1_SP0_c.t1, CP3_g15026_DN3_SP0_c.t1, CP2_g50354_DN1_SP0_c.t1, CP13_g20272_DN3_SP0_c.t1
OG0000155	Aa_G506350.h1.t1	CP14_g23761_DN2_SP0_c.t1
OG0000155	Aa_G50920.h1.t1	CP13_g20570_DN1_SP0_c.t1
OG0000159	Aa_G50020.h1.t1	CP1_g40026_DN2_SP0_c.t1, CP46_g6624_DN3_SP0_c.t1, CP18_g11985_DN2_SP0_c.t1
OG0000160	Aa_G190130.h1.t1	CP10_g43624_DN3_SP8_c.t1
OG0000160	Aa_G620370.h1.t1	CP5_g984_DN3_SP8_c.t1
OG0000160	Aa_G307400.h1.t1	CP8_g53733_DN3_SP8_c.t1
OG0000160	Aa_G194510.h1.t1	CP17_g5850_DN3_SP8_c.t1
OG0000160	Aa_G21590.h1.t1	CP9_g29643_DN3_SP8_c.t1
OG0000160	Aa_G41590.h1.t1	CP16_g55126_DN3_SP8_c.t1
OG0000161	Aa_G172360.h1.t1	CP2_g49800_DN1_SP0_c.t1
OG0000162	Aa_G851370.h1.t1	CP4_g25433_DN2_SP0_c.t1
OG0000162	Aa_G363640.h1.t1	CP4_g25434_DN2_SP0_c.t1
OG0000163	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1	CP26_g51269_DN2_SP0_c.t1
OG0000166	Aa_G706020.h1.t1, Aa_G98920.h1.t1	CP10_g44009_DN3_SP0_c.t1
OG0000166	Aa_G510600.h1.t1, Aa_G87240.h1.t1	CP2_g49508_DN2_SP0_c.t1
OG0000168	Aa_G820.h1.t1	CP15_g36061_DN1_SP0_c.t1
OG0000170	Aa_G16110.h1.t1	CP4_g24175_DN3_SP0_c.t1
OG0000171	Aa_G134060.h1.t1	CP8_g53294_DN3_SP8_c.t1
OG0000171	Aa_G688860.h1.t1	CP19_g17855_DN3_SP6_c.t1
OG0000171	Aa_G135580.h1.t1	CP13_g19098_DN3_SP8_c.t1
OG0000171	Aa_G70150.h1.t1	CP10_g43893_DN3_SP8_c.t1
OG0000171	Aa_G580840.h1.t1	CP8_g53599_DN3_SP8_c.t1
OG0000171	Aa_G24370.h1.t1	CP10_g42832_DN3_SP8_c.t1
OG0000171	Aa_G2000.h1.t1	CP5_g1205_DN3_SP7_c.t1
OG0000174	Aa_G311760.h4.t1, Aa_G311760.h7.t1, Aa_G311760.h3.t1, Aa_G311760.h1.t1, Aa_G311760.h5.t1, Aa_G311760.h2.t1, Aa_G311760.h6.t1	CP8_g52236_DN2_SP0_c.t1, CP29_g21958_DN3_SP0_c.t1, CP45_g22359_DN3_SP0_c.t1, CP8_g52687_DN2_SP0_c.t1, CP8_g54530_DN3_SP0_c.t1, CP5_g1847_DN2_SP0_c.t1
OG0000175	Aa_G101710.h1.t1	CP9_g28660_DN3_SP6_c.t1, CP7_g45435_DN3_SP8_c.t1
OG0000175	Aa_G193050.h1.t1	CP2_g49264_DN3_SP7_c.t1
OG0000177	Aa_G507530.h1.t1	CP7_g45651_DN3_SP1_c.t1
OG0000179	Aa_G323330.h1.t1	CP2_g49418_DN3_SP0_c.t1, CP5_g3331_DN3_SP0_c.t1, CP2_g49421_DN3_SP0_c.t1
OG0000182	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1	CP2_g49579_DN2_SP0_c.t1
OG0000183	Aa_G505900.h1.t1	CP5_g1726_DN3_SP8_c.t1
OG0000183	Aa_G562480.h1.t1	CP4_g24609_DN3_SP8_c.t1
OG0000183	Aa_G337660.h1.t1	CP8_g54208_DN3_SP5_c.t1, CP3_g15618_DN3_SP5_c.t1
OG0000184	Aa_G315780.h1.t1, Aa_G456930.h1.t1	CP12_g30563_DN1_SP0_c.t1, CP15_g34906_DN2_SP0_c.t1
OG0000187	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1	CP7_g44449_DN3_SP0_c.t1
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	CP5_g414_DN3_SP8_c.t1
OG0000189	Aa_G180380.h1.t1, Aa_G70160.h1.t1	CP10_g43894_DN3_SP5_c.t1
OG0000189	Aa_G281740.h1.t1	CP9_g29229_DN3_SP8_c.t1
OG0000191	Aa_G26980.h1.t1	CP20_g4066_DN2_SP0_c.t1
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	CP10_g44063_DN3_SP0_c.t1, CP1_g37670_DN3_SP0_c.t1, CP2_g49912_DN3_SP0_c.t1
