Orthogroup	Arabis_alpina	Camelina_sativa
OG0000034	Aa_G191700.h1.t1	XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1
OG0000034	Aa_G191690.h1.t1	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	Aa_G117940.h1.t1	XP_019099760.1
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	XP_010445645.1, XP_010462855.1
OG0000042	Aa_G834810.h1.t1	XP_010424457.1
OG0000042	Aa_G392560.h1.t1, Aa_G500830.h1.t1	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1
OG0000042	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	XP_010412790.1, XP_019084298.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1
OG0000043	Aa_G30.h1.t1	XP_019086326.1, XP_019082700.1, XP_010463327.1, XP_010423930.1, XP_010424468.1, XP_010463046.1, XP_010497241.1, XP_010501876.1, XP_019099585.1, XP_010445958.1, XP_010422854.1, XP_010490075.1, XP_019098185.1, XP_010451890.1, XP_010468194.1, XP_010462654.1, XP_019087448.1, XP_010424030.1, XP_010424324.1
OG0000044	Aa_G639660.h1.t1	XP_019089124.1
OG0000044	Aa_G208060.h1.t1	XP_019095933.1
OG0000044	Aa_G313590.h1.t1	XP_019096918.1, XP_010422256.1, XP_010496161.1, XP_010422352.1
OG0000044	Aa_G295940.h1.t1	XP_010434749.1
OG0000044	Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1	XP_019086125.1
OG0000046	Aa_G675110.h1.t1	XP_010502335.1
OG0000047	Aa_G631350.h1.t1	XP_010462614.1, XP_010430681.1, XP_010489839.1, XP_010424166.1, XP_010424066.1, XP_010445555.1, XP_010445888.1, XP_010490400.1, XP_010474460.1, XP_010513510.1, XP_010513511.1, XP_010474540.1, XP_010430682.1, XP_010468710.1
OG0000048	Aa_G20510.h1.t1	XP_010480341.1
OG0000048	Aa_G154560.h1.t1	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	XP_019087514.1
OG0000048	Aa_G584300.h1.t1	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1
OG0000048	Aa_G312310.h1.t1	XP_019082535.1, XP_010421893.1
OG0000048	Aa_G570500.h1.t1	XP_010468111.1, XP_019094365.1
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	Aa_G678670.h1.t1	XP_010419487.1, XP_010474608.1, XP_019085682.1
OG0000051	Aa_G599340.h1.t1	XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	Aa_G271540.h1.t1	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1, XP_019100716.1, XP_019099796.1, XP_019100715.1, XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	Aa_G696490.h1.t1	XP_010507020.2
OG0000052	Aa_G521750.h1.t1	XP_019099853.1, XP_010431292.1
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	XP_010515571.1, XP_010426725.1, XP_010503847.2
OG0000055	Aa_G659190.h1.t1	XP_010456592.1
OG0000056	Aa_G534290.h1.t1	XP_010473413.1, XP_019085277.1
OG0000056	Aa_G615090.h1.t1	XP_010430221.1
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	XP_010473417.1, XP_010419451.1, XP_010430223.1, XP_010418172.1, XP_010473414.1, XP_019082750.1, XP_010430231.1, XP_010473416.1, XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	Aa_G162440.h1.t1	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	Aa_G444220.h1.t1	XP_019086887.1, XP_010493433.1
OG0000058	Aa_G527390.h1.t1	XP_010468509.1, XP_010513254.1, XP_010506939.1, XP_010480419.1, XP_010484891.1, XP_010468544.1, XP_010485044.1, XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1, XP_010481117.1, XP_010451663.1, XP_010451610.1, XP_010424604.1, XP_010430895.1, XP_019100940.1, XP_019089256.1, XP_019098331.1, XP_019089167.1, XP_010507288.1, XP_010513622.1, XP_019085657.1, XP_010445597.1, XP_010495691.1, XP_010456723.1, XP_010501541.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_019093348.1
OG0000060	Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1	XP_010414487.1, XP_010414486.1
OG0000060	Aa_G33920.h6.t1	XP_010503249.1
OG0000060	Aa_G550780.h8.t1, Aa_G375890.h5.t1	XP_010475557.1
OG0000060	Aa_G33920.h4.t1	XP_010457987.1
OG0000060	Aa_G33920.h1.t1	XP_010488030.1
OG0000060	Aa_G367650.h6.t1	XP_010426021.1
OG0000060	Aa_G33920.h5.t1	XP_010483612.1
OG0000060	Aa_G375890.h2.t1, Aa_G33920.h7.t1	XP_010443785.1
OG0000060	Aa_G375890.h4.t1, Aa_G257700.h1.t1	XP_010515874.1, XP_010487799.1
OG0000060	Aa_G197130.h5.t1	XP_010514915.1
OG0000060	Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1	XP_010483643.1, XP_010427032.1
OG0000060	Aa_G550780.h2.t1, Aa_G257700.h5.t1	XP_010457960.1
OG0000060	Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1	XP_010443740.1
OG0000060	Aa_G318860.h5.t1	XP_010475534.1
OG0000060	Aa_G448310.h1.t1, Aa_G367650.h4.t1	XP_010514961.1
OG0000060	Aa_G375890.h3.t1	XP_010455395.1
OG0000060	Aa_G375890.h1.t1, Aa_G197130.h7.t1	XP_010510587.1, XP_010426070.1
OG0000060	Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1	XP_010503204.1
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	XP_010479194.1, XP_019090915.1, XP_010479193.1, XP_010479197.1, XP_010479195.1, XP_010479119.1
OG0000061	Aa_G329030.h1.t1, Aa_G84910.h1.t1	XP_019084383.1, XP_010452572.1
OG0000062	Aa_G288270.h1.t1	XP_010513344.1
OG0000062	Aa_G8040.h1.t1	XP_019094835.1, XP_010445890.1, XP_010424291.1, XP_019097384.1, XP_019092382.1, XP_010513205.1, XP_010513649.1
OG0000062	Aa_G417500.h1.t1	XP_010430727.1, XP_010430776.1, XP_010497024.1, XP_019085507.1
OG0000063	Aa_G397260.h1.t1	XP_010507647.1
OG0000063	Aa_G263500.h1.t1	XP_019096502.1, XP_019095570.1, XP_019088989.1, XP_019082667.1, XP_019084254.1
OG0000063	Aa_G40790.h1.t1	XP_019091125.1, XP_019095609.1
OG0000063	Aa_G998790.h1.t1	XP_019094567.1, XP_019094508.1, XP_019095608.1
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	XP_010470574.1, XP_010415232.1, XP_010470573.1, XP_010511598.1, XP_019083199.1, XP_019100931.1, XP_010470591.2, XP_019100937.1, XP_010415241.1, XP_010415242.1, XP_019082630.1, XP_019098153.1, XP_010470581.1, XP_019100936.1, XP_019083220.1, XP_010470571.1, XP_010415233.1
OG0000065	Aa_G439610.h1.t1	XP_010440921.1, XP_010440922.2, XP_010450949.1
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	XP_010441031.1, XP_019089248.1, XP_010435808.1
OG0000066	Aa_G37430.h4.t1	XP_010514443.1
OG0000066	Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1	XP_010502711.1
OG0000066	Aa_G159190.h1.t1	XP_010425488.1
OG0000066	Aa_G37430.h1.t1	XP_010463183.1
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	XP_010491788.1
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1, XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	XP_019084672.1, XP_010491460.1
OG0000069	Aa_G20960.h1.t1	XP_010424996.1, XP_019101786.1, XP_010506856.1, XP_010437086.1
OG0000069	Aa_G707760.h1.t1, Aa_G190520.h1.t1	XP_010507199.1, XP_019101860.1
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	XP_010458359.1, XP_010475885.1, XP_010490823.1
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	XP_010459699.1, XP_010477249.1, XP_010448526.1, XP_010438976.1, XP_010433736.1
OG0000072	Aa_G505780.h1.t1	XP_010446292.1
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	XP_010431928.1, XP_010446504.1
OG0000075	Aa_G254660.h1.t1	XP_010446508.1, XP_019087113.1, XP_010431932.1
OG0000075	Aa_G136250.h1.t1	XP_019086927.1
OG0000076	Aa_G137810.h1.t1	XP_019086777.1, XP_019088762.1, XP_010446406.1
OG0000077	Aa_G122040.h1.t1	XP_010445847.1, XP_010494541.1
OG0000077	Aa_G683270.h1.t1	XP_010430698.1, XP_010489646.1, XP_010512993.2, XP_019099582.1, XP_010430699.1, XP_010518589.1, XP_010425134.1, XP_010425130.1
OG0000077	Aa_G161010.h1.t1	XP_019094380.1, XP_010462608.1
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	XP_010514749.1, XP_010485737.1, XP_010463845.1
OG0000078	Aa_G339720.h1.t1	XP_010485744.1, XP_010463847.1, XP_010514943.1, XP_019092533.1, XP_010485741.1
OG0000078	Aa_G339730.h1.t1	XP_010514843.1, XP_010485743.1, XP_010463846.1
OG0000078	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	XP_019083866.1, XP_019097998.1
OG0000079	Aa_G160120.h1.t1	XP_010512845.1, XP_010415622.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_019082564.1, XP_019087463.1, XP_019093257.1
OG0000084	Aa_G572590.h1.t1	XP_010424513.1, XP_010431011.1
OG0000084	Aa_G278670.h1.t1, Aa_G454040.h1.t1	XP_010501330.1, XP_010443976.1
OG0000084	Aa_G263490.h1.t1	XP_010501874.1, XP_010513467.1, XP_010415675.1, XP_010446055.1, XP_010424869.1, XP_010431283.1, XP_010507435.1, XP_010445427.1, XP_010424583.1, XP_010420530.1, XP_010470106.1, XP_019085418.1, XP_010445186.1, XP_010502397.1, XP_010485017.1, XP_010495807.1
OG0000084	Aa_G315740.h1.t1	XP_010469809.1, XP_010490122.1, XP_010463497.1, XP_010495801.1, XP_010518622.1, XP_010513582.1, XP_010513583.1, XP_010490364.1, XP_010474017.1, XP_010469972.1, XP_010480847.1, XP_010513458.1
OG0000084	Aa_G680690.h1.t1	XP_010469139.1, XP_010418904.1, XP_010507398.1, XP_010456637.1
OG0000084	Aa_G370540.h1.t1	XP_010418982.1, XP_010430741.1, XP_010430742.1, XP_010468623.1, XP_010478178.1, XP_010424531.1, XP_019099659.1, XP_010474224.1, XP_010496264.1, XP_010445266.1, XP_010430755.1, XP_010462679.1, XP_010456650.1, XP_010474105.1, XP_019084351.1, XP_019084350.1, XP_010513311.1, XP_010481061.1, XP_010462704.1, XP_010436302.1, XP_010419019.1, XP_010518597.1, XP_010490132.1, XP_010495738.1, XP_019084271.1, XP_010507514.1, XP_010456798.1, XP_019092286.1, XP_010424213.1
OG0000084	Aa_G460730.h1.t1	XP_010421721.1
OG0000084	Aa_G1050160.h2.t1, Aa_G1050160.h1.t1	XP_010419032.1, XP_019100935.1
OG0000086	Aa_G108450.h1.t1	XP_019087476.1, XP_010451915.1, XP_010450967.1, XP_010440900.1
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	XP_010435701.1
OG0000086	Aa_G703520.h1.t1	XP_019097446.1, XP_010445581.1, XP_010451914.1, XP_010513640.1, XP_010470534.1, XP_019100921.1, XP_019101118.1, XP_019093553.1, XP_010511492.1, XP_010415205.1, XP_010496730.1, XP_019093672.1, XP_019095324.1
OG0000089	Aa_G630880.h1.t1	XP_010421190.1, XP_010454670.1
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	XP_010503303.1
OG0000089	Aa_G199760.h1.t1	XP_010469941.1, XP_010414372.1, XP_010510475.1
OG0000089	Aa_G256660.h1.t1	XP_010419814.1, XP_010491982.1, XP_010453291.1
OG0000089	Aa_G103150.h1.t1	XP_010494444.1
OG0000089	Aa_G580380.h1.t1	XP_010434259.1, XP_010439552.1, XP_010449142.1
OG0000089	Aa_G562810.h1.t1	XP_010516638.1, XP_010504960.1, XP_010509706.1
OG0000089	Aa_G656110.h1.t1	XP_010459680.1, XP_010498429.1, XP_010477226.1, XP_010416482.1, XP_010471708.1
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	XP_010461690.1
OG0000091	Aa_G363940.h1.t1	XP_010426203.1, XP_010503360.1
OG0000091	Aa_G123680.h1.t1, Aa_G100910.h1.t1	XP_010503358.1
OG0000091	Aa_G425870.h1.t1, Aa_G89040.h1.t1	XP_010431084.1
OG0000091	Aa_G15590.h1.t1	XP_010454350.1, XP_010493153.1, XP_010493149.1, XP_010420883.1
OG0000091	Aa_G15570.h1.t1	XP_010441974.1, XP_010482344.1
OG0000092	Aa_G542470.h1.t1	XP_019097706.1
OG0000095	Aa_G54460.h1.t1	XP_010472486.1, XP_010429460.1, XP_010417233.1
OG0000096	Aa_G32180.h1.t1	XP_010465923.1, XP_019092874.1, XP_019082383.1, XP_010467954.2, XP_019096848.1, XP_010468288.1, XP_010419966.1, XP_010489939.1
OG0000098	Aa_G539290.h1.t1	XP_010497135.2
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	XP_010455133.1, XP_010494023.1, XP_019097437.1, XP_010454853.1, XP_010499626.1, XP_010499628.1, XP_010493274.1, XP_019097436.1, XP_010421382.1, XP_010495488.1, XP_010421381.1, XP_010424305.2, XP_010454852.1, XP_010493782.1, XP_010495491.2, XP_010444838.1, XP_010478760.1, XP_010495494.2
OG0000100	Aa_G65760.h1.t1	XP_010430481.1
OG0000101	Aa_G160180.h1.t1	XP_019087592.1, XP_010496858.1, XP_010425229.1
OG0000102	Aa_G577800.h1.t1	XP_010424624.1, XP_010467516.1
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1	XP_010451732.1
OG0000102	Aa_G42050.h1.t1	XP_010422434.1, XP_010431383.1
OG0000103	Aa_G261700.h1.t1	XP_010424571.1, XP_019092256.1, XP_019094587.1, XP_010501655.2, XP_010467026.1, XP_010424981.1, XP_010451819.1, XP_010418555.1, XP_010480935.1, XP_010474005.1, XP_010419179.1
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	XP_019099668.1, XP_010468517.1, XP_019087410.1, XP_019098168.1, XP_019093319.1, XP_019085495.1, XP_019087606.1, XP_019098419.1, XP_019099598.1, XP_019096616.1, XP_019101967.1, XP_019084287.1, XP_019091093.1
OG0000105	Aa_G117390.h1.t1	XP_019089588.1
OG0000105	Aa_G710830.h1.t1	XP_019090875.1
OG0000105	Aa_G792870.h1.t1	XP_010434743.1, XP_019086258.1
OG0000105	Aa_G229780.h1.t1	XP_010441255.1
OG0000105	Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1	XP_010447901.1
OG0000105	Aa_G65730.h1.t1	XP_010414997.1
OG0000105	Aa_G224170.h1.t1, Aa_G217250.h1.t1	XP_010484861.1
OG0000106	Aa_G456270.h1.t1, Aa_G32140.h1.t1	XP_019083108.1, XP_010450226.1, XP_010426617.1, XP_019087671.1, XP_019086014.1, XP_010514363.1, XP_010499810.1
OG0000107	Aa_G323960.h1.t1	XP_010466304.1, XP_010422712.1, XP_010456149.1, XP_010467059.1, XP_010434996.1, XP_010440318.1, XP_010449948.1
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1	XP_019083601.1
OG0000108	Aa_G576740.h1.t1	XP_010505356.1, XP_010504145.1, XP_010517034.1, XP_010515877.1, XP_010509299.1
OG0000108	Aa_G5290.h1.t1	XP_010464961.1, XP_010498525.1, XP_010486900.1
OG0000108	Aa_G152880.h1.t1	XP_010422938.1, XP_010491624.1, XP_010452982.1
OG0000108	Aa_G429520.h1.t1	XP_010461764.1, XP_010479361.1, XP_010500469.1
