Orthogroup	Arabis_alpina	Noccaea_praecox
OG0000055	Aa_G5070.h1.t1	Np007G4191600, Np007G4191200, Np005G2851900
OG0000056	Aa_G615080.h1.t1	Np002G1194100
OG0000056	Aa_G615090.h1.t1	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	Np002G1191800, Np002G1192300, Np002G1195300, Np002G1194600, Np002G1195000, Np002G1194400, Np002G1189700, Np002G1195200, Np002G1194900, Np002G1189500, Np002G1201000, Np002G1189800, Np002G1194000, Np002G1200900, Np002G1192400
OG0000058	Aa_G444220.h1.t1	Np004G2334500
OG0000058	Aa_G527390.h1.t1	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100, Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100
OG0000060	Aa_G448310.h5.t1	Np005G3068800
OG0000060	Aa_G448310.h7.t1	Np004G2515700, Np006G3598500
OG0000060	Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1, Aa_G318860.h6.t1, Aa_G33920.h6.t1, Aa_G550780.h8.t1, Aa_G375890.h5.t1, Aa_G257700.h8.t1, Aa_G33920.h4.t1, Aa_G33920.h1.t1, Aa_G367650.h6.t1, Aa_G448310.h2.t1, Aa_G550780.h3.t1, Aa_G33920.h5.t1, Aa_G375890.h2.t1, Aa_G33920.h7.t1, Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1, Aa_G375890.h4.t1, Aa_G257700.h1.t1, Aa_G257700.h2.t1, Aa_G197130.h5.t1, Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1, Aa_G550780.h2.t1, Aa_G257700.h5.t1, Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1, Aa_G33920.h2.t1, Aa_G197130.h6.t1, Aa_G318860.h2.t1, Aa_G318860.h5.t1, Aa_G448310.h8.t1, Aa_G448310.h1.t1, Aa_G367650.h4.t1, Aa_G375890.h3.t1, Aa_G375890.h1.t1, Aa_G197130.h7.t1, Aa_G367650.h8.t1, Aa_G367650.h7.t1, Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1, Aa_G367650.h1.t1	Np003G1523200
OG0000060	Aa_G550780.h5.t1	Np003G1526800
OG0000060	Aa_G375890.h7.t1	Np001G0456200
OG0000060	Aa_G448310.h3.t1	Np004G2518200
OG0000060	Aa_G257700.h3.t1	Np001G0460200
OG0000061	Aa_G235680.h1.t1, Aa_G329030.h1.t1, Aa_G84910.h1.t1	Np006G3342300
OG0000062	Aa_G288270.h1.t1	Np002G0949000
OG0000062	Aa_G8040.h1.t1	Np007G4021600
OG0000062	Aa_G417500.h1.t1	Np002G0991500
OG0000063	Aa_G998790.h1.t1	Np006G3435500
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	Np005G3146600
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	Np007G3771600
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1	Np001G0604000, Np001G0601600, Np001G0591700, Np001G0569900, Np001G0618200, Np003G1442200, Np003G1442100
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800
OG0000069	Aa_G536480.h1.t1	Np007G3833600
OG0000069	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	Np007G3899300, Np001G0248800
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Np004G2353400
OG0000070	Aa_G410840.h1.t1	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	Aa_G273730.h1.t1	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000070	Aa_G349440.h1.t1, Aa_G349450.h1.t1	Np007G3856900
OG0000072	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	Aa_G505780.h1.t1	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Np005G2617200, Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	Aa_G374870.h1.t1	Np005G3174400, Np005G3174600, Np005G3174500, Np005G3175000, Np005G3174200
OG0000076	Aa_G137810.h1.t1	Np005G2608900
OG0000077	Aa_G683270.h1.t1	Np001G0247700
OG0000077	Aa_G161010.h1.t1	Np002G1126100
OG0000078	Aa_G339720.h1.t1	Np007G4214700
OG0000078	Aa_G253710.h1.t1	Np003G1454400
OG0000079	Aa_G160120.h1.t1	Np004G2051400
OG0000084	Aa_G128900.h1.t1	Np004G2273500
OG0000084	Aa_G263490.h1.t1, Aa_G315740.h1.t1, Aa_G680690.h1.t1, Aa_G370540.h1.t1, Aa_G460730.h1.t1, Aa_G1050160.h2.t1, Aa_G1050160.h1.t1	Np007G3915500
OG0000086	Aa_G108450.h1.t1	Np005G3126500
OG0000086	Aa_G703520.h1.t1	Np005G3127100, Np002G0867100
OG0000089	Aa_G630880.h1.t1	Np001G0109800
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	Np001G0070200
OG0000089	Aa_G199760.h1.t1	Np006G3501600, Np008G4281600
OG0000089	Aa_G256660.h1.t1	Np003G1391100
OG0000089	Aa_G103150.h1.t1	Np001G0399300
OG0000089	Aa_G580380.h1.t1	Np005G2871200
OG0000089	Aa_G656110.h1.t1	Np002G0774400
OG0000090	Aa_G663410.h1.t1	Np004G2177700, Np003G1831100
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300
OG0000091	Aa_G15590.h1.t1	Np003G1487100, Np003G1487500
OG0000091	Aa_G15570.h1.t1	Np001G0528700
OG0000095	Aa_G54460.h1.t1	Np006G3650500, Np006G3650700
OG0000095	Aa_G271110.h1.t1	Np006G3660300
OG0000095	Aa_G155650.h1.t1	Np006G3649400
OG0000096	Aa_G32180.h1.t1	Np007G3942300, Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300, Np007G3726500
OG0000098	Aa_G539290.h1.t1	Np005G3053200
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	Np002G0990300, Np002G0990900, Np002G0990400, Np001G0127700
OG0000100	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1	Np002G1231900
OG0000102	Aa_G577800.h1.t1	Np003G1716100
OG0000102	Aa_G132920.h1.t1	Np003G1850200
OG0000102	Aa_G42050.h1.t1	Np003G1850000
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	Np007G4123200
OG0000105	Aa_G710830.h1.t1	Np002G0893200
OG0000105	Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1	Np007G4161900
OG0000105	Aa_G616120.h1.t1	Np002G1232000
OG0000106	Aa_G308060.h1.t1, Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1	Np001G0132900
OG0000106	Aa_G692990.h1.t1, Aa_G616190.h1.t1, Aa_G268590.h1.t1	Np003G1632700
OG0000106	Aa_G616180.h1.t1	Np006G3556500
OG0000106	Aa_G456270.h1.t1	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100
OG0000106	Aa_G32140.h1.t1	Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1	Np007G4184500
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	Np001G0565800
OG0000108	Aa_G99370.h1.t1	Np001G0462100
OG0000108	Aa_G5290.h1.t1	Np007G4093400
OG0000108	Aa_G152880.h1.t1	Np003G1360400
OG0000110	Aa_G32020.h1.t1	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000114	Aa_G861160.h1.t1, Aa_G122790.h1.t1	Np002G1018000
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	Np003G1744100
OG0000116	Aa_G31310.h1.t1	Np002G1124800
OG0000116	Aa_G358570.h1.t1	Np003G1719700, Np004G2021800, Np003G1460300, Np005G3103800
OG0000116	Aa_G342720.h1.t1	Np001G0237100
OG0000117	Aa_G62240.h1.t1	Np004G2300400
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1	Np004G2300200
OG0000120	Aa_G248300.h1.t1	Np002G0949100
OG0000121	Aa_G527420.h1.t1, Aa_G180200.h1.t1	Np004G2331000, Np003G1581500
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	Np001G0563200
OG0000122	Aa_G379620.h1.t1	Np003G1578400
OG0000122	Aa_G5880.h1.t1	Np003G1577700
OG0000122	Aa_G592740.h1.t1	Np003G1578500
OG0000125	Aa_G257560.h1.t1	Np004G2519400
OG0000125	Aa_G166390.h1.t1	Np004G1951700
OG0000127	Aa_G552180.h1.t1	Np003G1510700
OG0000127	Aa_G311330.h1.t1	Np006G3371500
OG0000127	Aa_G506920.h1.t1, Aa_G403520.h1.t1	Np003G1268100
OG0000127	Aa_G33880.h1.t1	Np003G1523500
OG0000127	Aa_G69270.h1.t1	Np006G3598300
OG0000128	Aa_G271300.h1.t1	Np001G0645400
OG0000128	Aa_G784880.h1.t1	Np001G0644700
OG0000128	Aa_G271260.h1.t1	Np001G0644900
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	Np001G0644500
OG0000129	Aa_G323510.h1.t1	Np002G0866100
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	Np001G0064000, Np001G0063300, Np001G0086000
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	Np001G0583700
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000132	Aa_G75250.h1.t1	Np001G0060200
OG0000132	Aa_G482020.h1.t1, Aa_G116920.h1.t1, Aa_G601860.h1.t1	Np001G0060100
OG0000132	Aa_G110080.h1.t1	Np005G3136900
OG0000134	Aa_G84490.h1.t1, Aa_G360810.h1.t1	Np003G1378400
OG0000137	Aa_G59090.h1.t1	Np003G1600500
OG0000137	Aa_G925390.h1.t1	Np003G1602300
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	Aa_G643480.h1.t1	Np003G1602400
OG0000140	Aa_G341600.h1.t1	Np005G2883300
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1, Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	Np002G1165900
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	Np002G1102100, Np006G3465100, Np005G2952600
OG0000151	Aa_G729400.h1.t1	Np001G0586800
OG0000151	Aa_G351720.h1.t1	Np006G3339200
OG0000151	Aa_G13900.h1.t1	Np001G0563500
OG0000151	Aa_G30120.h1.t1	Np006G3374700
OG0000151	Aa_G388320.h1.t1	Np003G1404000
OG0000153	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G310600.h1.t1	Np004G2521100
OG0000154	Aa_G37000.h1.t1	Np004G1998200
OG0000154	Aa_G61460.h1.t1	Np005G3166500
OG0000154	Aa_G36900.h1.t1	Np004G1946000
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	Np007G3980100, Np003G1771100, Np003G1806600, Np003G1630300, Np003G1842800, Np002G0986800, Np003G1349300
OG0000158	Aa_G223250.h1.t1	Np001G0700500
OG0000158	Aa_G270230.h1.t1	Np002G0811700
OG0000159	Aa_G50020.h1.t1	Np003G1303600, Np003G1531700
OG0000160	Aa_G190130.h1.t1	Np007G3739600
OG0000160	Aa_G620370.h1.t1	Np005G2740000
OG0000160	Aa_G307400.h1.t1	Np003G1560700
OG0000160	Aa_G194510.h1.t1	Np007G3899700
OG0000160	Aa_G490420.h1.t1	Np001G0430500
OG0000160	Aa_G21590.h1.t1	Np002G0711700
OG0000162	Aa_G851370.h1.t1	Np006G3577700
OG0000162	Aa_G363640.h1.t1	Np001G0244600, Np007G3727700, Np001G0244500, Np001G0244800, Np006G3578300
OG0000163	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1	Np006G3651700, Np002G0952300, Np002G0879200, Np007G3786700, Np007G3787500, Np002G1203300, Np001G0333500, Np003G1621000, Np001G0558600, Np007G3939100
OG0000164	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	Np001G0316300, Np002G1011400
OG0000165	Aa_G266430.h1.t1	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000165	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500
OG0000166	Aa_G510600.h1.t1, Aa_G87240.h1.t1	Np004G1974000, Np001G0560100
OG0000169	Aa_G296310.h1.t1	Np004G2522900
OG0000170	Aa_G48820.h1.t1	Np001G0660400, Np001G0667900
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	Np006G3241500
OG0000171	Aa_G134060.h1.t1	Np003G1641800
OG0000171	Aa_G135580.h1.t1	Np002G1239200
OG0000171	Aa_G70150.h1.t1	Np007G3768900
OG0000171	Aa_G580840.h1.t1	Np003G1582900
OG0000171	Aa_G2000.h1.t1	Np005G2770300
OG0000175	Aa_G193050.h1.t1	Np004G2480900, Np002G1160900
OG0000176	Aa_G319560.h1.t1	Np002G0837300
OG0000176	Aa_G595900.h1.t1	Np002G0837100
OG0000178	Aa_G320630.h1.t1	Np003G1833700
OG0000182	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1	Np001G0465800, Np003G1776200
OG0000182	Aa_G591560.h1.t1, Aa_G600540.h1.t1, Aa_G302260.h1.t1	Np002G0821500
OG0000182	Aa_G143210.h1.t1	Np003G1557500, Np007G3723300
OG0000183	Aa_G505900.h1.t1	Np002G0949900, Np001G0612700, Np005G3124900
OG0000183	Aa_G337660.h1.t1	Np001G0436300
OG0000183	Aa_G9100.h1.t1	Np006G3306600, Np003G1497800
OG0000185	Aa_G424840.h1.t1, Aa_G328640.h1.t1, Aa_G328640.h2.t1	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	Aa_G606990.h1.t1	Np007G4208500
OG0000188	Aa_G4330.h1.t1	Np001G0338100
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	Np005G2675300
OG0000189	Aa_G180380.h1.t1, Aa_G70160.h1.t1	Np007G3769000
OG0000189	Aa_G281740.h1.t1	Np002G0772800
OG0000191	Aa_G26980.h1.t1	Np006G3490400
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	Np003G1311400
OG0000193	Aa_G484150.h1.t1	Np004G2176400
OG0000195	Aa_G230200.h1.t1	Np007G3730700
OG0000196	Aa_G185160.h1.t1	Np007G4161800
OG0000196	Aa_G229810.h1.t1	Np005G3188800
OG0000197	Aa_G460250.h1.t1, Aa_G460270.h1.t1	Np004G2439300, Np002G1112700
OG0000197	Aa_G403160.h1.t1	Np005G2896800, Np005G2896900
OG0000197	Aa_G674860.h1.t1	Np004G2022400
OG0000198	Aa_G278170.h1.t1	Np001G0273200
OG0000198	Aa_G328840.h1.t1	Np004G2415000
OG0000198	Aa_G272200.h1.t1	Np004G2414700
OG0000198	Aa_G222140.h1.t1, Aa_G238450.h1.t1	Np005G2833600
OG0000199	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000, Np005G3095000
