Orthogroup	Arabis_alpina	Cardamine_hirsuta
OG0000056	Aa_G162440.h1.t1	CARHR155600
OG0000060	Aa_G257700.h7.t1	CARHR007630
OG0000060	Aa_G257700.h6.t1	CARHR273260
OG0000060	Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1	CARHR273610
OG0000060	Aa_G550780.h7.t1	CARHR132050
OG0000060	Aa_G197130.h3.t1	CARHR154290
OG0000060	Aa_G550780.h6.t1	CARHR163630
OG0000060	Aa_G318860.h7.t1	CARHR154770
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	CARHR228580
OG0000065	Aa_G369740.h1.t1	CARHR214320
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	CARHR059090, CARHR059230, CARHR059320, CARHR124320, CARHR059260, CARHR059160, CARHR059130, CARHR059070, CARHR059140, CARHR059270, CARHR059250, CARHR059080, CARHR059150, CARHR059360, CARHR263420
OG0000065	Aa_G439610.h1.t1	CARHR214430, CARHR214400
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	CARHR263400
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1	CARHR058350, CARHR096450
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	CARHR202310
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	CARHR210960
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	CARHR064230
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	CARHR010350
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	CARHR020650
OG0000070	Aa_G410840.h1.t1	CARHR069500
OG0000070	Aa_G614230.h1.t1	CARHR052170, CARHR288810
OG0000072	Aa_G505780.h1.t1	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	CARHR247180
OG0000075	Aa_G136250.h1.t1	CARHR247160
OG0000075	Aa_G545910.h1.t1	CARHR285960
OG0000076	Aa_G137810.h1.t1	CARHR247830
OG0000077	Aa_G636230.h1.t1	CARHR176890, CARHR177190, CARHR158180
OG0000077	Aa_G683270.h1.t1	CARHR288740, CARHR145630
OG0000077	Aa_G160980.h1.t1	CARHR009640
OG0000078	Aa_G339740.h1.t1	CARHR077930
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	CARHR077950
OG0000078	Aa_G339720.h1.t1	CARHR077940
OG0000078	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1	CARHR077910
OG0000086	Aa_G108450.h1.t1	CARHR214810
OG0000086	Aa_G703520.h1.t1	CARHR214870, CARHR214790, CARHR214760, CARHR058600, CARHR058690, CARHR058660, CARHR058640, CARHR058680
OG0000089	Aa_G630880.h1.t1	CARHR189700
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	CARHR155480
OG0000089	Aa_G199760.h1.t1	CARHR122890
OG0000089	Aa_G256660.h1.t1	CARHR200860
OG0000089	Aa_G103150.h1.t1	CARHR178800
OG0000089	Aa_G580380.h1.t1	CARHR227450
OG0000089	Aa_G562810.h1.t1	CARHR128920
OG0000089	Aa_G656110.h1.t1	CARHR020480, CARHR069200
OG0000091	Aa_G123680.h1.t1, Aa_G100910.h1.t1	CARHR156220
OG0000091	Aa_G15590.h1.t1	CARHR192340, CARHR192330
OG0000091	Aa_G15570.h1.t1	CARHR262970
OG0000092	Aa_G542470.h1.t1	CARHR225740
OG0000095	Aa_G54460.h1.t1	CARHR117030
OG0000095	Aa_G271110.h1.t1	CARHR116980, CARHR117870, CARHR117890, CARHR116700
OG0000096	Aa_G32180.h1.t1	CARHR093690, CARHR094810, CARHR094850, CARHR094860, CARHR094840, CARHR094390, CARHR099980, CARHR095220, CARHR092810, CARHR159090, CARHR101800, CARHR101790, CARHR120380
OG0000098	Aa_G539290.h1.t1	CARHR103960
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	CARHR253270, CARHR188180
OG0000100	Aa_G65950.h1.t1	CARHR050870
OG0000100	Aa_G65770.h1.t1	CARHR047470, CARHR047430
OG0000100	Aa_G65760.h1.t1	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000101	Aa_G160180.h1.t1	CARHR099970, CARHR036950
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1	CARHR252050
OG0000102	Aa_G132920.h1.t1	CARHR252110, CARHR252090
OG0000105	Aa_G117390.h1.t1	CARHR181190, CARHR228760
OG0000105	Aa_G84880.h1.t1	CARHR104310
OG0000105	Aa_G710830.h1.t1	CARHR175310, CARHR289490
OG0000105	Aa_G792870.h1.t1	CARHR222460
OG0000105	Aa_G165210.h1.t1	CARHR256490, CARHR256450
OG0000105	Aa_G616120.h1.t1	CARHR047220
OG0000105	Aa_G65730.h1.t1	CARHR215710
OG0000105	Aa_G416120.h1.t1	CARHR175180
OG0000105	Aa_G224170.h1.t1, Aa_G217250.h1.t1	CARHR153990
OG0000106	Aa_G308060.h1.t1, Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1	CARHR082570
OG0000106	Aa_G456270.h1.t1, Aa_G32140.h1.t1, Aa_G1008250.h2.t1, Aa_G1008250.h1.t1	CARHR055550
OG0000107	Aa_G115060.h1.t1	CARHR095610
OG0000107	Aa_G323960.h1.t1	CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	Aa_G99370.h1.t1	CARHR285740
OG0000108	Aa_G5290.h1.t1	CARHR086670
OG0000108	Aa_G152880.h1.t1	CARHR203590
OG0000110	Aa_G32020.h1.t1	CARHR151660
OG0000114	Aa_G122790.h1.t1	CARHR283860
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	CARHR150440, CARHR283870, CARHR035130, CARHR286300, CARHR148220, CARHR118270, CARHR287300
OG0000115	Aa_G264010.h1.t1	CARHR155450
OG0000116	Aa_G358570.h1.t1	CARHR217650
OG0000116	Aa_G342720.h1.t1	CARHR101930
OG0000117	Aa_G62330.h1.t1	CARHR023940, CARHR023950
OG0000119	Aa_G251660.h1.t1	CARHR059580, CARHR150110
OG0000121	Aa_G527420.h1.t1, Aa_G180200.h1.t1	CARHR054110, CARHR100990
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	CARHR269740
OG0000122	Aa_G625760.h1.t1	CARHR269760
OG0000122	Aa_G592730.h1.t1	CARHR269730
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	Aa_G379620.h1.t1, Aa_G5880.h1.t1	CARHR033520, CARHR033430
OG0000122	Aa_G592740.h1.t1	CARHR269930
OG0000125	Aa_G257560.h1.t1	CARHR007350
OG0000125	Aa_G166390.h1.t1	CARHR039100
OG0000127	Aa_G552180.h1.t1	CARHR190650
OG0000127	Aa_G33880.h1.t1	CARHR273520
OG0000127	Aa_G69270.h1.t1	CARHR121850
OG0000128	Aa_G112570.h1.t1	CARHR169590, CARHR104610
OG0000128	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1	CARHR061820
OG0000128	Aa_G784880.h1.t1	CARHR169580
OG0000128	Aa_G271260.h1.t1	CARHR169600
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	CARHR169570
OG0000129	Aa_G323510.h1.t1	CARHR038520, CARHR038560
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000130	Aa_G198530.h1.t1	CARHR183650, CARHR123710, CARHR043800
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	CARHR164880
OG0000132	Aa_G75240.h1.t1	CARHR277270
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	CARHR214020
OG0000132	Aa_G482020.h1.t1	CARHR213990, CARHR214010
OG0000134	Aa_G146330.h1.t1	CARHR054550, CARHR054640, CARHR054580
OG0000134	Aa_G339770.h1.t1	CARHR151520
OG0000134	Aa_G84490.h1.t1, Aa_G360810.h1.t1, Aa_G753220.h1.t1	CARHR202050
OG0000137	Aa_G59090.h1.t1	CARHR268720
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	CARHR268700
OG0000137	Aa_G643480.h1.t1	CARHR268680
OG0000138	Aa_G154170.h1.t1	CARHR169360
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	CARHR169320
OG0000138	Aa_G175810.h1.t1, Aa_G175800.h1.t1	CARHR169270
OG0000141	Aa_G193730.h1.t1	CARHR255820
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	CARHR012590
OG0000141	Aa_G521440.h1.t1, Aa_G193720.h1.t1	CARHR013070
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1	CARHR048210
OG0000141	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260
OG0000141	Aa_G492220.h1.t1	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	CARHR217380, CARHR294480
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	CARHR165130
OG0000151	Aa_G729400.h1.t1	CARHR165120
OG0000151	Aa_G351720.h1.t1	CARHR134140
OG0000151	Aa_G13900.h1.t1	CARHR163410
OG0000151	Aa_G30120.h1.t1	CARHR132240
OG0000151	Aa_G388320.h1.t1	CARHR199860
OG0000153	Aa_G35530.h1.t1	CARHR122540
OG0000153	Aa_G310600.h1.t1	CARHR007190
OG0000153	Aa_G173900.h1.t1	CARHR122550
OG0000154	Aa_G37000.h1.t1	CARHR121480
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	CARHR290670
OG0000154	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1	CARHR040880, CARHR041470
OG0000158	Aa_G223250.h1.t1	CARHR245230
OG0000158	Aa_G270230.h1.t1	CARHR104280
OG0000160	Aa_G190130.h1.t1	CARHR109500
OG0000160	Aa_G620370.h1.t1	CARHR238090
OG0000160	Aa_G307400.h1.t1	CARHR271150
OG0000160	Aa_G194510.h1.t1	CARHR104060
OG0000160	Aa_G490420.h1.t1	CARHR153650
OG0000160	Aa_G21590.h1.t1	CARHR073860
OG0000160	Aa_G41590.h1.t1	CARHR117520
OG0000161	Aa_G172360.h1.t1	CARHR059960, CARHR284490
OG0000162	Aa_G363640.h1.t1	CARHR127170, CARHR145900, CARHR145910, CARHR145930, CARHR102790, CARHR102800, CARHR102820, CARHR145920, CARHR102810, CARHR103310, CARHR127190
OG0000163	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1	CARHR259710, CARHR057870, CARHR288340
OG0000165	Aa_G285150.h1.t1	CARHR292600
OG0000165	Aa_G266430.h1.t1	CARHR085710, CARHR085700, CARHR085180
OG0000165	Aa_G49720.h1.t1, Aa_G78930.h1.t1, Aa_G78940.h1.t1, Aa_G322280.h1.t1, Aa_G169270.h1.t1	CARHR180370, CARHR180470
OG0000166	Aa_G510600.h1.t1, Aa_G87240.h1.t1	CARHR067330
OG0000166	Aa_G792200.h1.t1	CARHR067380
OG0000170	Aa_G48820.h1.t1	CARHR171330
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	CARHR140750
OG0000170	Aa_G16110.h1.t1	CARHR140730
OG0000170	Aa_G16040.h1.t1	CARHR140770, CARHR103320
OG0000171	Aa_G134060.h1.t1	CARHR266340
OG0000171	Aa_G688860.h1.t1, Aa_G135580.h1.t1	CARHR046700
OG0000171	Aa_G70150.h1.t1	CARHR107000
OG0000171	Aa_G580840.h1.t1	CARHR269520
OG0000171	Aa_G24370.h1.t1	CARHR083000, CARHR082990
OG0000171	Aa_G2000.h1.t1	CARHR235660
OG0000175	Aa_G101710.h1.t1	CARHR023910
OG0000175	Aa_G193050.h1.t1	CARHR052550
OG0000176	Aa_G319580.h1.t1, Aa_G319590.h1.t1	CARHR176300, CARHR291280, CARHR064660, CARHR291340, CARHR292140
OG0000176	Aa_G245790.h1.t1, Aa_G319570.h1.t1	CARHR291350, CARHR291370
OG0000177	Aa_G60820.h1.t1, Aa_G835800.h1.t1	CARHR021660, CARHR054130, CARHR287770
OG0000178	Aa_G320630.h1.t1	CARHR253020
OG0000178	Aa_G320670.h1.t1	CARHR259510
OG0000179	Aa_G323330.h1.t1	CARHR123300
OG0000182	Aa_G22640.h1.t1, Aa_G167450.h1.t1	CARHR167770
OG0000182	Aa_G398660.h1.t1, Aa_G322440.h1.t1	CARHR119130
OG0000183	Aa_G505900.h1.t1	CARHR215030, CARHR058380
OG0000184	Aa_G310780.h1.t1	CARHR103600
OG0000184	Aa_G315780.h1.t1, Aa_G456930.h1.t1	CARHR097910
OG0000185	Aa_G464540.h1.t1, Aa_G464550.h1.t1	CARHR028040
OG0000186	Aa_G344900.h1.t1	CARHR145120
OG0000186	Aa_G218170.h1.t1	CARHR113370, CARHR050630
OG0000187	Aa_G279240.h1.t1, Aa_G279230.h1.t1	CARHR112670, CARHR112680
OG0000188	Aa_G606990.h1.t1	CARHR201470
OG0000188	Aa_G462700.h1.t1	CARHR078860, CARHR078880
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	CARHR244350, CARHR108220
OG0000189	Aa_G281740.h1.t1	CARHR069390
OG0000191	Aa_G26980.h1.t1	CARHR150970
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	CARHR233830
OG0000193	Aa_G484150.h1.t1	CARHR091810
OG0000195	Aa_G459140.h1.t1	CARHR191180
OG0000195	Aa_G376620.h1.t1	CARHR273570, CARHR273530, CARHR273550, CARHR273540, CARHR273560
OG0000196	Aa_G185160.h1.t1	CARHR272920
OG0000196	Aa_G574390.h1.t1	CARHR272910
OG0000196	Aa_G84820.h1.t1	CARHR213580, CARHR272900, CARHR287600
OG0000196	Aa_G201160.h1.t1	CARHR291950
OG0000196	Aa_G165200.h1.t1	CARHR288120, CARHR287580, CARHR213590
OG0000196	Aa_G229810.h1.t1	CARHR288130, CARHR291940, CARHR213880
OG0000197	Aa_G460250.h1.t1, Aa_G460270.h1.t1	CARHR215070, CARHR051370
OG0000198	Aa_G509920.h1.t1	CARHR144080
OG0000198	Aa_G328840.h1.t1	CARHR015470
OG0000198	Aa_G272200.h1.t1	CARHR015480
OG0000198	Aa_G222140.h1.t1, Aa_G238450.h1.t1	CARHR147290
OG0000198	Aa_G222150.h1.t1, Aa_G222160.h2.t1, Aa_G222160.h1.t1	CARHR231070
OG0000199	Aa_G385540.h1.t1, Aa_G191200.h1.t1	CARHR063270, CARHR063300
OG0000199	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1	CARHR251110, CARHR215270, CARHR237670
OG0000200	Aa_G152770.h1.t1	CARHR005020
OG0000200	Aa_G37370.h1.t1	CARHR037150
OG0000200	Aa_G689010.h1.t1	CARHR037130
OG0000203	Aa_G526150.h1.t1	CARHR168640
OG0000203	Aa_G367660.h1.t1, Aa_G835690.h1.t1	CARHR168730
OG0000203	Aa_G526230.h1.t1	CARHR168740
OG0000203	Aa_G526180.h1.t1	CARHR168690, CARHR168710
OG0000208	Aa_G350.h1.t1	CARHR057780
OG0000208	Aa_G979430.h1.t1	CARHR183230
OG0000210	Aa_G175290.h1.t1	CARHR140170
OG0000210	Aa_G77240.h1.t1	CARHR069160, CARHR059610
OG0000210	Aa_G208990.h1.t1	CARHR170850
OG0000216	Aa_G389410.h1.t1	CARHR253870
OG0000216	Aa_G57040.h1.t1	CARHR054340
OG0000216	Aa_G373050.h1.t1	CARHR166590
OG0000219	Aa_G30010.h1.t1, Aa_G48860.h1.t1	CARHR065380
OG0000219	Aa_G584620.h1.t1	CARHR037370, CARHR272960
OG0000219	Aa_G493540.h1.t1	CARHR253110
OG0000219	Aa_G974030.h1.t1, Aa_G961810.h1.t1, Aa_G631990.h1.t1	CARHR123890
OG0000225	Aa_G335460.h1.t1	CARHR180390
OG0000225	Aa_G109260.h1.t1, Aa_G458000.h1.t1	CARHR072270
OG0000225	Aa_G335450.h1.t1, Aa_G335440.h1.t1	CARHR141370
OG0000227	Aa_G216090.h1.t1, Aa_G333250.h1.t1	CARHR080100, CARHR085660
OG0000227	Aa_G51090.h1.t1	CARHR105480
OG0000230	Aa_G175750.h1.t1, Aa_G175760.h1.t1	CARHR169340
OG0000230	Aa_G175820.h1.t1, Aa_G175780.h1.t1, Aa_G284870.h1.t1	CARHR051200
OG0000230	Aa_G175840.h1.t1	CARHR169400
OG0000232	Aa_G193030.h1.t1	CARHR180870, CARHR049200, CARHR122740, CARHR110940
OG0000233	Aa_G471610.h1.t1	CARHR205610
OG0000233	Aa_G529880.h1.t1, Aa_G471590.h1.t1, Aa_G471600.h1.t1	CARHR205600, CARHR205590, CARHR205580
OG0000234	Aa_G685240.h1.t1	CARHR210320, CARHR095200, CARHR095190, CARHR100580, CARHR100650, CARHR100570
OG0000235	Aa_G278130.h1.t1	CARHR133380
OG0000235	Aa_G291160.h1.t1, Aa_G105690.h1.t1	CARHR073970
OG0000236	Aa_G342510.h1.t1	CARHR062590, CARHR062610
OG0000236	Aa_G133920.h1.t1	CARHR102640
OG0000236	Aa_G133930.h1.t1, Aa_G792760.h1.t1, Aa_G826850.h1.t1	CARHR062600
OG0000236	Aa_G384940.h1.t1	CARHR102630
OG0000237	Aa_G29610.h1.t1	CARHR043980, CARHR044120
OG0000238	Aa_G417160.h1.t1	CARHR064100, CARHR064090
OG0000238	Aa_G412940.h1.t1	CARHR064130
OG0000238	Aa_G271400.h1.t1	CARHR064110
OG0000238	Aa_G367300.h1.t1, Aa_G367290.h1.t1	CARHR292540, CARHR185670, CARHR023530, CARHR023500, CARHR023520, CARHR023510
OG0000238	Aa_G412960.h1.t1	CARHR064120
OG0000241	Aa_G213370.h1.t1	CARHR228610
OG0000241	Aa_G974580.h1.t1, Aa_G257180.h1.t1	CARHR252730
OG0000241	Aa_G257190.h1.t1	CARHR107520
OG0000242	Aa_G129860.h1.t1, Aa_G129870.h1.t1, Aa_G269360.h1.t1	CARHR102150, CARHR119540, CARHR119080, CARHR180810, CARHR264270, CARHR101660, CARHR102130, CARHR102230, CARHR102520, CARHR183240
OG0000242	Aa_G40840.h1.t1	CARHR175670
OG0000243	Aa_G465070.h1.t1, Aa_G22120.h1.t1	CARHR028800, CARHR028770, CARHR028900, CARHR028820, CARHR028850
OG0000243	Aa_G465080.h1.t1, Aa_G465100.h1.t1, Aa_G22140.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1	CARHR028830
OG0000244	Aa_G189060.h1.t1	CARHR251330, CARHR251340
OG0000246	Aa_G25290.h1.t1	CARHR131170, CARHR131180
OG0000246	Aa_G25260.h1.t1	CARHR131110
