Orthogroup	Arabis_alpina	Eutrema_salsugineum
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	XP_024016867.1, XP_024015483.1, XP_006391921.1, XP_006391923.1, XP_006391945.1, XP_024015433.1, XP_006391937.1, XP_006390854.1, XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000058	Aa_G444220.h1.t1	XP_024013600.1
OG0000058	Aa_G527390.h1.t1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1, XP_024016265.1, XP_024009371.1, XP_024012609.1
OG0000060	Aa_G375890.h2.t1, Aa_G33920.h7.t1	XP_006417762.1
OG0000060	Aa_G375890.h4.t1, Aa_G257700.h1.t1, Aa_G257700.h2.t1, Aa_G197130.h5.t1	XP_006418920.1
OG0000060	Aa_G550780.h2.t1, Aa_G257700.h5.t1	XP_006400894.1
OG0000060	Aa_G33920.h2.t1, Aa_G197130.h6.t1	XP_006410944.1
OG0000060	Aa_G318860.h5.t1	XP_006403660.1
OG0000060	Aa_G375890.h1.t1, Aa_G197130.h7.t1	XP_006400928.1, XP_006418982.1
OG0000060	Aa_G367650.h1.t1	XP_006409907.1
OG0000061	Aa_G329030.h1.t1, Aa_G84910.h1.t1	XP_006405882.1
OG0000061	Aa_G197580.h1.t1	XP_006414784.1
OG0000062	Aa_G8040.h1.t1	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1, XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000062	Aa_G417500.h1.t1	XP_024011371.1, XP_024013346.1, XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	XP_024012825.1, XP_024014567.1, XP_006391458.1
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	XP_024014419.1
OG0000066	Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1	XP_024012002.1
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	XP_006399597.1, XP_006390289.1
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	XP_024014925.1
OG0000068	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1	XP_024012324.1
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	XP_006406656.1
OG0000069	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1	XP_024016442.1, XP_006390571.2
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	XP_006416426.1
OG0000070	Aa_G410840.h1.t1	XP_006390250.1
OG0000070	Aa_G349440.h1.t1, Aa_G349450.h1.t1	XP_006402629.2
OG0000072	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	XP_024009686.1
OG0000072	Aa_G243550.h1.t1	XP_024012933.1, XP_024014312.1
OG0000072	Aa_G505780.h1.t1	XP_024004060.1, XP_024006592.1
OG0000072	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	XP_024014710.1
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	XP_024009720.1, XP_024009721.1
OG0000075	Aa_G254660.h1.t1	XP_006396818.1, XP_006396813.1
OG0000075	Aa_G374870.h1.t1	XP_024014654.1
OG0000076	Aa_G137810.h1.t1	XP_006411683.1
OG0000077	Aa_G683270.h1.t1	XP_006395717.2, XP_006395727.1
OG0000077	Aa_G161010.h1.t1	XP_006392390.2
OG0000078	Aa_G339740.h1.t1	XP_006408252.2
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	XP_006408254.2, XP_006408256.1
OG0000078	Aa_G339720.h1.t1	XP_024014979.1
OG0000078	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1	XP_006408255.1
OG0000078	Aa_G253710.h1.t1	XP_006400347.1
OG0000078	Aa_G253680.h1.t1	XP_006400352.1, XP_006400344.1
OG0000079	Aa_G160120.h1.t1	XP_006405230.2, XP_024010130.1
OG0000083	Aa_G871750.h1.t1	XP_024004864.1
OG0000086	Aa_G108450.h1.t1	XP_024014367.1
OG0000086	Aa_G703520.h1.t1	XP_024014475.1, XP_006405815.1, XP_006390991.1, XP_006391405.1
OG0000089	Aa_G630880.h1.t1	XP_006394642.1
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	XP_006404433.1, XP_006404432.1
OG0000089	Aa_G199760.h1.t1	XP_006410012.1
OG0000089	Aa_G256660.h1.t1	XP_006399740.1
OG0000089	Aa_G103150.h1.t1	XP_006403108.1
OG0000089	Aa_G580380.h1.t1	XP_006413842.1
OG0000089	Aa_G562810.h1.t1	XP_006410628.1
OG0000089	Aa_G656110.h1.t1	XP_006390273.1
OG0000090	Aa_G663410.h1.t1	XP_024014096.1
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	XP_024009890.1
OG0000091	Aa_G363940.h1.t1	XP_024011698.1
OG0000091	Aa_G15590.h1.t1	XP_024011446.1
OG0000091	Aa_G89050.h1.t1	XP_006404412.1
OG0000095	Aa_G54460.h1.t1	XP_006405019.2
OG0000095	Aa_G155650.h1.t1	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000096	Aa_G32180.h1.t1	XP_006408882.1, XP_024014982.1
OG0000102	Aa_G132920.h1.t1	XP_006396592.1
OG0000102	Aa_G42050.h1.t1	XP_006417793.2
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	XP_024014319.1, XP_024006500.1, XP_024004132.1
OG0000105	Aa_G117390.h1.t1, Aa_G84880.h1.t1	XP_024011529.1
OG0000105	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1	XP_006414517.2
OG0000106	Aa_G616180.h1.t1	XP_024009972.1, XP_024010849.1
OG0000106	Aa_G456270.h1.t1	XP_024013941.1, XP_024004736.1, XP_024012932.1, XP_024005999.1
OG0000107	Aa_G323960.h1.t1	XP_006406420.1
OG0000108	Aa_G576740.h1.t1	XP_006403657.1
OG0000108	Aa_G99370.h1.t1	XP_006400969.1
OG0000108	Aa_G5290.h1.t1	XP_006407369.1
OG0000108	Aa_G152880.h1.t1	XP_006399464.1
OG0000108	Aa_G67360.h1.t1	XP_006405819.1
OG0000110	Aa_G578120.h1.t1	XP_024006349.1, XP_024013973.1
OG0000110	Aa_G32020.h1.t1	XP_024006585.1, XP_024009271.1, XP_024009446.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1, XP_024004909.1, XP_024011414.1, XP_024009421.1, XP_024007906.1, XP_024004952.1, XP_024010478.1, XP_024006501.1, XP_024010281.1, XP_024010375.1, XP_024006421.1
OG0000114	Aa_G361230.h1.t1	XP_024013163.1
OG0000114	Aa_G861160.h1.t1, Aa_G122790.h1.t1	XP_024014535.1
OG0000114	Aa_G327480.h1.t1	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000116	Aa_G31310.h1.t1	XP_024006877.1
OG0000116	Aa_G358570.h1.t1	XP_024004957.1
OG0000117	Aa_G62330.h1.t1	XP_024008857.1, XP_024008618.1, XP_024008035.1
OG0000117	Aa_G62240.h1.t1	XP_024008031.1
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1	XP_024008029.1, XP_024008030.1, XP_006416071.1
OG0000119	Aa_G251660.h1.t1	XP_006419033.2
OG0000120	Aa_G248300.h1.t1	XP_024013368.1
OG0000122	Aa_G625760.h1.t1	XP_024012240.1
OG0000122	Aa_G592730.h1.t1	XP_024012350.1
OG0000122	Aa_G592740.h1.t1	XP_006401333.2
OG0000125	Aa_G166390.h1.t1	XP_024006051.1
OG0000127	Aa_G552180.h1.t1	XP_006400797.1
OG0000127	Aa_G311330.h1.t1	XP_006410934.1
OG0000127	Aa_G33880.h1.t1	XP_006400898.1
OG0000127	Aa_G69270.h1.t1	XP_006409905.1
OG0000128	Aa_G271300.h1.t1	XP_024012970.1
OG0000128	Aa_G319030.h1.t1	XP_006402714.1
OG0000128	Aa_G784880.h1.t1	XP_006402712.2
OG0000128	Aa_G271260.h1.t1	XP_006402710.1
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	XP_006402715.1
OG0000129	Aa_G323510.h1.t1	XP_006408194.2
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	XP_024006771.1, XP_006394457.2, XP_024007354.1
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	XP_006403516.1
OG0000132	Aa_G195290.h1.t1	XP_024010140.1
OG0000132	Aa_G75240.h1.t1	XP_006396648.1, XP_006391408.1, XP_006391409.1
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	XP_024014405.1, XP_024014786.1, XP_006405613.2, XP_006405755.2, XP_006405611.2, XP_024014617.1, XP_024014705.1
OG0000132	Aa_G110080.h1.t1	XP_024014624.1
OG0000134	Aa_G84490.h1.t1, Aa_G360810.h1.t1, Aa_G753220.h1.t1	XP_006399626.1
OG0000134	Aa_G578400.h1.t1	XP_024004566.1, XP_024004563.1
OG0000137	Aa_G59090.h1.t1	XP_006401460.1
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	XP_006401462.1
OG0000137	Aa_G643480.h1.t1	XP_006401465.2
OG0000138	Aa_G612840.h1.t1, Aa_G612830.h1.t1	XP_006405476.1
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	XP_024012920.1
OG0000138	Aa_G244940.h1.t1	XP_024016620.1
OG0000140	Aa_G394930.h1.t1	XP_024010233.1, XP_024016314.1
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1, Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1, Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1, Aa_G365880.h1.t1, Aa_G84650.h1.t1, Aa_G110710.h1.t1, Aa_G91010.h1.t1, Aa_G242710.h1.t1, Aa_G472600.h1.t1, Aa_G41930.h1.t1, Aa_G708810.h1.t1, Aa_G445230.h1.t1, Aa_G650260.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1	XP_024009937.1
OG0000141	Aa_G193750.h1.t1	XP_024009431.1
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1, Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	XP_024004548.1, XP_006391848.1
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	XP_024007678.1, XP_024010609.1, XP_024013121.1, XP_024006658.1, XP_024005870.1, XP_024010683.1, XP_024005929.1, XP_024010684.1, XP_024013241.1, XP_024006209.1, XP_024010554.1, XP_024009768.1, XP_024009783.1, XP_024016589.1, XP_024009761.1, XP_024005604.1, XP_024009216.1, XP_024006662.1, XP_024009215.1, XP_024009760.1, XP_024006659.1, XP_024016658.1, XP_024009218.1, XP_024009220.1
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	XP_006403491.1
OG0000151	Aa_G729400.h1.t1	XP_006403492.1
OG0000151	Aa_G351720.h1.t1	XP_006411161.1
OG0000151	Aa_G13900.h1.t1	XP_006403679.1
OG0000151	Aa_G30120.h1.t1	XP_006410918.1
OG0000151	Aa_G388320.h1.t1	XP_006399852.1
OG0000153	Aa_G358520.h1.t1	XP_024003718.1, XP_024003707.1, XP_024003713.1, XP_024003669.1
OG0000153	Aa_G35530.h1.t1	XP_024003801.1, XP_006409980.1
OG0000153	Aa_G310600.h1.t1	XP_024008215.1
OG0000153	Aa_G173900.h1.t1	XP_006409978.1
OG0000154	Aa_G37000.h1.t1	XP_006393107.1
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	XP_024005670.1
OG0000154	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1	XP_024006135.1
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	XP_024016201.1, XP_024005989.1
OG0000158	Aa_G223250.h1.t1	XP_006402964.2
OG0000159	Aa_G50020.h1.t1	XP_024007614.1
OG0000160	Aa_G190130.h1.t1	XP_006409094.1
OG0000160	Aa_G620370.h1.t1	XP_024005341.1
OG0000160	Aa_G307400.h1.t1	XP_024012572.1
OG0000160	Aa_G194510.h1.t1	XP_006396088.1
OG0000160	Aa_G490420.h1.t1	XP_006419170.1
OG0000160	Aa_G21590.h1.t1	XP_006389820.1
OG0000160	Aa_G41590.h1.t1	XP_006404985.2
OG0000161	Aa_G172360.h1.t1	XP_024013331.1, XP_024013360.1
OG0000162	Aa_G851370.h1.t1	XP_006410456.1
OG0000162	Aa_G363640.h1.t1	XP_024015969.1, XP_024004125.1
OG0000163	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1	XP_024010313.1
OG0000170	Aa_G48820.h1.t1	XP_024012911.1
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	XP_024010761.1
OG0000170	Aa_G16110.h1.t1	XP_024010808.1
OG0000171	Aa_G134060.h1.t1	XP_006401722.1
OG0000171	Aa_G688860.h1.t1	XP_006391653.1, XP_006405318.1
OG0000171	Aa_G70150.h1.t1	XP_006409398.1
OG0000171	Aa_G580840.h1.t1	XP_006401372.1
OG0000171	Aa_G24370.h1.t1	XP_006407751.1
OG0000171	Aa_G2000.h1.t1	XP_024005195.1
