Orthogroup	Arabis_alpina	Arabidopsis_thaliana
OG0000134	Aa_G146330.h1.t1	AT1G57650.1
OG0000134	Aa_G69050.h1.t1, Aa_G578400.h1.t1	AT3G04220.3
OG0000137	Aa_G59090.h1.t1	AT5G55380.1
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	AT5G55360.1
OG0000137	Aa_G643480.h1.t1	AT5G55340.1
OG0000138	Aa_G154170.h1.t1	AT3G58980.1
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	AT3G58960.1
OG0000138	Aa_G175810.h1.t1, Aa_G175800.h1.t1	AT3G58920.1
OG0000141	Aa_G193730.h1.t1	AT4G10780.1
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	AT1G12280.1
OG0000141	Aa_G521440.h1.t1, Aa_G193720.h1.t1	AT1G12210.1
OG0000141	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	AT1G62630.1, AT1G63360.1, AT1G63350.2
OG0000141	Aa_G492220.h1.t1	AT5G63020.1
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	AT3G55110.1
OG0000151	Aa_G729400.h1.t1	AT3G55100.1
OG0000151	Aa_G351720.h1.t1	AT2G39350.1
OG0000151	Aa_G13900.h1.t1	AT3G53510.1
OG0000151	Aa_G30120.h1.t1	AT2G37360.1
OG0000151	Aa_G388320.h1.t1	AT5G13580.1
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	AT2G29330.1
OG0000153	Aa_G358520.h1.t1	AT2G29310.1
OG0000153	Aa_G35530.h1.t1	AT2G29300.2, AT2G29320.1
OG0000153	Aa_G310600.h1.t1	AT1G07450.1
OG0000154	Aa_G37000.h1.t1	AT5G18510.1
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	AT4G16050.1
OG0000154	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1	AT1G51538.1
OG0000160	Aa_G190130.h1.t1	AT2G18960.1
OG0000160	Aa_G620370.h1.t1	AT4G30190.2
OG0000160	Aa_G307400.h1.t1	AT5G57350.1
OG0000160	Aa_G194510.h1.t1	AT2G07560.1
OG0000160	Aa_G490420.h1.t1	AT3G42640.1
OG0000160	Aa_G21590.h1.t1	AT1G80660.1
OG0000160	Aa_G41590.h1.t1	AT2G24520.2
OG0000162	Aa_G363640.h1.t1	AT2G33190.1, AT2G03560.1, AT5G38270.1, AT2G04830.1, AT2G03610.1, AT2G04810.1, AT2G04840.1
OG0000163	Aa_G308560.h1.t1, Aa_G366470.h1.t1, Aa_G589080.h1.t1	AT2G06105.1
OG0000165	Aa_G266430.h1.t1	AT2G15010.1
OG0000165	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1	AT5G36910.1
OG0000166	Aa_G792200.h1.t1	AT1G74180.1
OG0000170	Aa_G48820.h1.t1	AT3G61035.1
OG0000170	Aa_G385160.h1.t1, Aa_G16070.h1.t1, Aa_G16100.h1.t1	AT1G33730.1
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	AT1G33720.1
OG0000170	Aa_G16110.h1.t1	AT2G45550.1
OG0000171	Aa_G134060.h1.t1	AT5G53300.1
OG0000171	Aa_G688860.h1.t1	AT5G41700.4
OG0000171	Aa_G135580.h1.t1	AT1G64230.4
OG0000171	Aa_G70150.h1.t1	AT2G16740.1
OG0000171	Aa_G580840.h1.t1	AT5G56150.1
OG0000171	Aa_G24370.h1.t1	AT3G08700.1, AT3G08690.1
OG0000171	Aa_G2000.h1.t1	AT4G27960.2
OG0000175	Aa_G101710.h1.t1	AT1G23490.1, AT1G70490.1
OG0000175	Aa_G570790.h1.t1	AT2G47170.1
OG0000175	Aa_G775400.h2.t1, Aa_G453040.h2.t1, Aa_G453040.h1.t1, Aa_G775400.h1.t1	AT3G62290.1
OG0000176	Aa_G319580.h1.t1, Aa_G319590.h1.t1	AT1G71390.2
OG0000177	Aa_G60820.h1.t1, Aa_G835800.h1.t1	AT3G25490.1
OG0000178	Aa_G320630.h1.t1	AT4G04490.1
OG0000182	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1	AT3G61100.1, AT3G61090.1
OG0000183	Aa_G505900.h1.t1	AT1G66410.2, AT5G37780.3
OG0000184	Aa_G315780.h1.t1, Aa_G456930.h1.t1	AT3G22053.1
OG0000185	Aa_G424840.h1.t1	AT1G02770.1
OG0000185	Aa_G464540.h1.t1, Aa_G464550.h1.t1	AT1G27860.1, AT1G28500.1
OG0000186	Aa_G344900.h1.t1	AT2G02610.1, AT2G02640.1
OG0000186	Aa_G218170.h1.t1	AT1G61840.1, AT2G40050.1
OG0000187	Aa_G279240.h1.t1, Aa_G279230.h1.t1	AT2G21680.1
OG0000187	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	AT4G35950.1, AT2G17800.1
OG0000189	Aa_G180380.h1.t1, Aa_G70160.h1.t1	AT4G35020.1
OG0000189	Aa_G281740.h1.t1	AT1G75840.1
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	AT3G51210.1
OG0000195	Aa_G230200.h1.t1	AT2G04680.1, AT5G37620.1
OG0000195	Aa_G459140.h1.t1	AT5G22355.1
OG0000195	Aa_G376620.h1.t1	AT5G59930.1, AT5G59940.1, AT4G01340.1, AT5G59920.1, AT4G01350.1
OG0000196	Aa_G185160.h1.t1	AT5G41540.1
OG0000196	Aa_G574390.h1.t1, Aa_G84820.h1.t1	AT5G41750.1, AT5G41740.2, AT5G41550.1
OG0000197	Aa_G403160.h1.t1	AT5G37750.1, AT5G37440.1
OG0000197	Aa_G674860.h1.t1	AT4G19570.1
OG0000198	Aa_G509920.h1.t1	AT2G01520.1
OG0000198	Aa_G278170.h1.t1	AT4G14060.1, AT2G01530.1
OG0000198	Aa_G328840.h1.t1	AT1G14930.1, AT1G14940.1
OG0000198	Aa_G272200.h1.t1	AT1G14950.1
OG0000198	Aa_G222140.h1.t1, Aa_G238450.h1.t1	AT3G26450.1, AT3G26460.1
OG0000199	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1	AT1G51670.1, AT1G48180.1
OG0000199	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1
OG0000200	Aa_G37370.h1.t1	AT1G30160.2
OG0000202	Aa_G548600.h1.t1, Aa_G191580.h1.t1, Aa_G99550.h1.t1, Aa_G180050.h1.t1, Aa_G296350.h1.t1, Aa_G77280.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1	AT4G02180.1
OG0000202	Aa_G71240.h1.t1	AT4G11390.2
OG0000202	Aa_G434790.h1.t1, Aa_G716220.h1.t1	AT1G69150.1, AT3G43890.1
OG0000202	Aa_G99540.h1.t1, Aa_G588730.h1.t1, Aa_G191550.h1.t1	AT4G09690.1, AT4G11547.1
OG0000203	Aa_G526150.h1.t1	AT3G58270.1
OG0000203	Aa_G526230.h1.t1	AT3G58360.1
OG0000203	Aa_G526180.h1.t1	AT3G58350.1
OG0000208	Aa_G979430.h1.t1	AT5G34581.1
OG0000210	Aa_G175290.h1.t1	AT2G44930.1
OG0000210	Aa_G573270.h1.t1	AT3G60470.1
OG0000216	Aa_G389410.h1.t1	AT4G12370.1
OG0000216	Aa_G57040.h1.t1	AT1G57790.1
OG0000216	Aa_G373050.h1.t1	AT3G56470.1
OG0000219	Aa_G632000.h1.t1, Aa_G584620.h1.t1	AT3G48840.1
OG0000225	Aa_G5960.h1.t1, Aa_G109260.h1.t1, Aa_G458000.h1.t1, Aa_G335450.h1.t1, Aa_G335440.h1.t1	AT1G69630.1
OG0000227	Aa_G216090.h1.t1, Aa_G333250.h1.t1	AT3G05650.1, AT3G05660.1
OG0000230	Aa_G175840.h1.t1	AT3G58900.4
OG0000233	Aa_G471610.h1.t1	AT5G07550.1
OG0000233	Aa_G529880.h1.t1, Aa_G471590.h1.t1, Aa_G471600.h1.t1	AT5G07571.1, AT5G07560.1
OG0000233	Aa_G471620.h1.t1	AT5G07540.1
OG0000234	Aa_G685240.h1.t1	AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G03000.1, AT3G46050.1
OG0000236	Aa_G603360.h1.t1, Aa_G342510.h1.t1, Aa_G133920.h1.t1	AT1G69650.1
OG0000236	Aa_G384940.h1.t1	AT2G15710.1
OG0000237	Aa_G29610.h1.t1	AT1G77650.1
OG0000238	Aa_G271400.h1.t1	AT1G70840.1
OG0000238	Aa_G367300.h1.t1, Aa_G367290.h1.t1	AT5G28000.1, AT5G28010.1
OG0000241	Aa_G213370.h1.t1	AT4G21860.1
OG0000241	Aa_G213350.h1.t1, Aa_G213340.h1.t1, Aa_G213320.h1.t1, Aa_G213330.h1.t1, Aa_G213310.h1.t1	AT4G21850.1
OG0000241	Aa_G213300.h1.t1, Aa_G213290.h1.t1	AT4G21840.1, AT4G21830.1
OG0000241	Aa_G257170.h1.t1	AT4G04840.1
OG0000241	Aa_G974580.h1.t1, Aa_G257180.h1.t1	AT4G04800.1
OG0000241	Aa_G257190.h1.t1	AT4G04830.1
OG0000242	Aa_G129860.h1.t1, Aa_G129870.h1.t1, Aa_G269360.h1.t1	AT5G48670.1, AT5G27810.1
OG0000242	Aa_G40840.h1.t1	AT5G26630.1
OG0000243	Aa_G465020.h1.t1, Aa_G465030.h1.t1, Aa_G778410.h1.t1	AT1G29420.2
OG0000243	Aa_G465070.h1.t1, Aa_G22120.h1.t1	AT1G29510.1
OG0000243	Aa_G465080.h1.t1, Aa_G465100.h1.t1, Aa_G22140.h1.t1, Aa_G465010.h1.t1, Aa_G223820.h1.t1	AT1G29460.2, AT1G29500.1
OG0000244	Aa_G189060.h1.t1	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000246	Aa_G25290.h1.t1	AT2G36790.1, AT2G36800.1
OG0000246	Aa_G25260.h1.t1	AT2G36750.1
OG0000246	Aa_G25280.h1.t1	AT2G36780.1, AT2G36770.1
OG0000247	Aa_G462040.h1.t1	AT1G32030.1
OG0000248	Aa_G174720.h1.t1	AT1G70020.1
OG0000250	Aa_G221240.h1.t1	AT5G37640.1
OG0000251	Aa_G276750.h1.t1	AT3G26330.1, AT3G26320.1
OG0000251	Aa_G69130.h1.t1	AT5G57260.1
OG0000251	Aa_G636080.h1.t1	AT3G26290.2
OG0000252	Aa_G74580.h1.t1, Aa_G145140.h1.t1	AT5G37170.1
OG0000252	Aa_G129390.h1.t1	AT1G77520.1
OG0000253	Aa_G280540.h1.t1, Aa_G162640.h1.t1, Aa_G162650.h1.t1, Aa_G85360.h1.t1	AT1G56410.1
OG0000253	Aa_G403550.h1.t1	AT3G09440.1
OG0000253	Aa_G85370.h1.t1	AT5G02500.1
OG0000254	Aa_G355560.h1.t1	AT4G15700.1
OG0000260	Aa_G113520.h1.t1, Aa_G65830.h1.t1	AT4G39500.2, AT4G32170.1
OG0000260	Aa_G374910.h1.t1	AT4G39510.1
OG0000269	Aa_G550740.h1.t1, Aa_G620130.h1.t1, Aa_G550750.h1.t1	AT5G59720.1
OG0000269	Aa_G318700.h1.t1, Aa_G318690.h1.t1	AT3G46230.1
OG0000269	Aa_G651390.h1.t1	AT1G07400.1, AT1G59860.1
OG0000269	Aa_G199710.h1.t1	AT2G29500.1
OG0000270	Aa_G262890.h1.t1	AT3G17370.1
OG0000270	Aa_G357180.h1.t1	AT1G63320.1
OG0000273	Aa_G195000.h1.t1	AT5G53635.1
OG0000277	Aa_G238260.h4.t1, Aa_G696850.h4.t1, Aa_G637510.h1.t1, Aa_G137830.h4.t1	AT1G75630.2, AT1G19910.1
OG0000278	Aa_G213080.h1.t1	AT2G03010.1
OG0000278	Aa_G149910.h1.t1	AT4G09440.1
OG0000279	Aa_G736560.h2.t1, Aa_G736560.h1.t1	AT5G44950.1, AT5G44970.1, AT5G44980.1, AT5G44940.1, AT5G44960.1
OG0000282	Aa_G371080.h1.t1	AT4G14165.1
OG0000284	Aa_G13620.h1.t1	AT5G19270.1, AT4G03566.1
OG0000285	Aa_G58940.h1.t1	AT4G21380.1
OG0000285	Aa_G438370.h1.t1	AT4G27290.2
OG0000286	Aa_G136990.h1.t1	AT3G10750.1
OG0000286	Aa_G344370.h1.t1	AT1G05080.1
OG0000286	Aa_G652770.h1.t1	AT5G44850.1
OG0000289	Aa_G518570.h1.t1	AT3G25010.2, AT3G25020.1, AT3G24982.1, AT3G24900.2
OG0000289	Aa_G201920.h1.t1, Aa_G183780.h1.t1, Aa_G208770.h1.t1, Aa_G258130.h1.t1	AT2G33080.1
OG0000290	Aa_G135610.h1.t1	AT1G49920.1, AT1G64253.1
OG0000291	Aa_G136630.h1.t1	AT2G05380.3, AT2G05530.1, AT2G05520.1
OG0000294	Aa_G421160.h1.t1, Aa_G421160.h2.t1	AT4G11590.1
OG0000295	Aa_G285200.h1.t1	AT3G11380.1, AT3G11350.1
OG0000296	Aa_G650690.h1.t1, Aa_G650690.h2.t1	AT5G59090.1, AT5G59120.1
OG0000296	Aa_G848610.h1.t1	AT5G58840.1, AT5G58820.1, AT5G58830.1
OG0000301	Aa_G553550.h1.t1	AT2G44630.1, AT2G44700.1
OG0000304	Aa_G219570.h1.t1	AT2G40450.1
OG0000305	Aa_G431220.h1.t1	AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1
OG0000306	Aa_G109980.h1.t1, Aa_G682460.h2.t1, Aa_G682460.h1.t1	AT5G38690.1
OG0000307	Aa_G292060.h1.t1, Aa_G168750.h1.t1	AT2G04115.1
OG0000307	Aa_G415030.h1.t1	AT1G51240.1, AT1G51250.1, AT1G51230.1
OG0000307	Aa_G592420.h1.t1	AT1G09245.1
OG0000308	Aa_G219510.h1.t1, Aa_G219520.h1.t1, Aa_G520320.h1.t1, Aa_G520310.h1.t1	AT5G43370.1, AT5G43350.1
OG0000309	Aa_G461520.h2.t1, Aa_G362130.h1.t1, Aa_G345330.h4.t1, Aa_G345330.h2.t1, Aa_G6660.h4.t1, Aa_G362130.h4.t1, Aa_G6660.h3.t1, Aa_G461520.h4.t1, Aa_G461520.h3.t1, Aa_G345330.h1.t1, Aa_G362130.h2.t1, Aa_G461520.h1.t1, Aa_G6660.h1.t1, Aa_G362130.h3.t1, Aa_G6660.h2.t1, Aa_G345330.h3.t1	AT1G07940.1, AT1G07930.1, AT5G60390.1, AT1G07920.1
OG0000311	Aa_G288990.h1.t1	AT2G01021.1
OG0000313	Aa_G673450.h1.t1	AT4G20095.3
OG0000313	Aa_G195760.h1.t1	AT4G29550.1
