Orthogroup	Arabis_alpina	Arabidopsis_arenosa
OG0000055	Aa_G5070.h1.t1	jg17788
OG0000055	Aa_G432690.h1.t1	jg8147
OG0000056	Aa_G534290.h1.t1	jg748
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	jg743, jg747, jg744, jg745, jg746
OG0000056	Aa_G162440.h1.t1	jg14491
OG0000058	Aa_G444220.h1.t1	jg16618
OG0000058	Aa_G527390.h1.t1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852, jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000
OG0000060	Aa_G367650.h3.t1	jg22905, jg29120
OG0000060	Aa_G197130.h4.t1	jg14371
OG0000060	Aa_G375890.h6.t1	jg21249
OG0000060	Aa_G318860.h3.t1	jg22936
OG0000060	Aa_G257700.h6.t1	jg15309
OG0000060	Aa_G550780.h7.t1	jg14419
OG0000060	Aa_G318860.h4.t1	jg21260
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993
OG0000062	Aa_G417500.h1.t1	jg32622, jg13871, jg7029
OG0000063	Aa_G186650.h1.t1	jg32522
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	jg2192, jg2154, jg2152, jg2189, jg2206, jg2209, jg2212, jg2195, jg2188, jg2193
OG0000065	Aa_G439610.h1.t1	jg6601
OG0000065	Aa_G574220.h1.t1	jg12331
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	jg12464
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	jg4927
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	jg4679
OG0000068	Aa_G389060.h1.t1, Aa_G484910.h1.t1	jg12213
OG0000069	Aa_G536480.h1.t1	jg28153, jg28151, jg15319, jg28979
OG0000069	Aa_G707760.h1.t1, Aa_G190520.h1.t1	jg11593, jg14067
OG0000069	Aa_G396900.h1.t1	jg15499
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	jg29403
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	jg16631, jg30544, jg4483
OG0000070	Aa_G410840.h1.t1	jg3251
OG0000072	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	jg12110
OG0000072	Aa_G505780.h1.t1	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	Aa_G159490.h1.t1, Aa_G742680.h1.t1	jg22195, jg8019
OG0000072	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	jg20178
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	jg8424, jg8422, jg21647
OG0000075	Aa_G254660.h1.t1	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000075	Aa_G136250.h1.t1	jg8426
OG0000075	Aa_G545910.h1.t1	jg21503
OG0000076	Aa_G137810.h1.t1	jg8362
OG0000077	Aa_G636230.h1.t1	jg20569
OG0000077	Aa_G362960.h1.t1, Aa_G122040.h1.t1	jg20644
OG0000077	Aa_G683270.h1.t1	jg13131
OG0000077	Aa_G160980.h1.t1	jg29337
OG0000077	Aa_G161010.h1.t1	jg902, jg1249
OG0000078	Aa_G339720.h1.t1	jg24239, jg24236
OG0000078	Aa_G339730.h1.t1	jg24237
OG0000078	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	jg5644, jg5634
OG0000079	Aa_G160120.h1.t1	jg7377
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	jg12270
OG0000086	Aa_G703520.h1.t1	jg12265, jg12276, jg12266, jg12277, jg12281, jg2126, jg2127, jg2128, jg2129
OG0000089	Aa_G630880.h1.t1	jg6235
OG0000089	Aa_G199760.h1.t1	jg17972
OG0000089	Aa_G256660.h1.t1	jg5068
OG0000089	Aa_G103150.h1.t1	jg20749
OG0000089	Aa_G580380.h1.t1	jg10485
OG0000089	Aa_G562810.h1.t1	jg18593
OG0000089	Aa_G656110.h1.t1	jg30528, jg3235
OG0000091	Aa_G363940.h1.t1	jg14545, jg14558
OG0000091	Aa_G425930.h1.t1, Aa_G89030.h1.t1	jg14561
OG0000091	Aa_G15590.h1.t1	jg5910
OG0000091	Aa_G15570.h1.t1	jg21695
OG0000091	Aa_G28350.h1.t1, Aa_G614510.h1.t1, Aa_G273740.h1.t1, Aa_G60310.h1.t1, Aa_G100900.h1.t1, Aa_G100900.h2.t1	jg14562
OG0000092	Aa_G542470.h1.t1	jg1807
OG0000095	Aa_G54460.h1.t1	jg17289
OG0000095	Aa_G155650.h1.t1	jg17005, jg20640
OG0000096	Aa_G32180.h1.t1	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891, jg25957, jg27435
OG0000098	Aa_G539290.h1.t1	jg31283, jg17594, jg11987
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	jg7433, jg6404, jg6403, jg27222, jg27460, jg27464, jg17593, jg16875, jg6402, jg6418
OG0000100	Aa_G65760.h1.t1	jg492
OG0000101	Aa_G154360.h1.t1, Aa_G160180.h1.t1	jg27510
OG0000102	Aa_G577800.h1.t1	jg7820
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1	jg7815, jg7812, jg7813
OG0000102	Aa_G42050.h1.t1	jg7810
OG0000105	Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1	jg12808
OG0000105	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1	jg12094
OG0000106	Aa_G456270.h1.t1, Aa_G32140.h1.t1	jg17558, jg25723
OG0000106	Aa_G264820.h1.t1	jg28233
OG0000107	Aa_G115060.h1.t1	jg26157
OG0000107	Aa_G323960.h1.t1	jg26160, jg26163
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	jg15311
OG0000108	Aa_G99370.h1.t1	jg14433, jg22870
OG0000108	Aa_G537640.h1.t1, Aa_G152880.h1.t1	jg4799
OG0000108	Aa_G67360.h1.t1	jg19509, jg19508
OG0000110	Aa_G32020.h1.t1	jg25795, jg13800, jg13799, jg25794
OG0000114	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	jg6733
OG0000115	Aa_G264010.h1.t1	jg29546
OG0000116	Aa_G342720.h1.t1	jg27190
OG0000117	Aa_G349950.h1.t1	jg30936
OG0000117	Aa_G62330.h1.t1	jg30922, jg30923, jg30924
OG0000117	Aa_G62240.h1.t1	jg30934
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1	jg30929
OG0000119	Aa_G251660.h1.t1	jg14325
OG0000122	Aa_G592730.h1.t1	jg22486
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1	jg22485
OG0000122	Aa_G379620.h1.t1	jg22505
OG0000122	Aa_G5880.h1.t1	jg32572
OG0000122	Aa_G592740.h1.t1	jg22508
OG0000125	Aa_G257560.h1.t1	jg29111
OG0000125	Aa_G166390.h1.t1	jg33004
OG0000127	Aa_G552180.h1.t1	jg6123
OG0000127	Aa_G33880.h1.t1	jg22931, jg14378
OG0000127	Aa_G69270.h1.t1	jg17851
OG0000128	Aa_G112570.h1.t1	jg12826
OG0000128	Aa_G271300.h1.t1	jg15969
OG0000128	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1	jg20835
OG0000128	Aa_G784880.h1.t1	jg15959
OG0000128	Aa_G271260.h1.t1	jg15960
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	jg1161, jg11381
OG0000129	Aa_G323510.h1.t1	jg1820
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000130	Aa_G198530.h1.t1	jg12111, jg17565
OG0000130	Aa_G9780.h1.t1	jg20993, jg25905, jg11327
OG0000130	Aa_G10940.h1.t1	jg9592, jg14104, jg33081
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	jg15428
OG0000132	Aa_G75240.h1.t1	jg23313
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	jg12398, jg12389, jg12393, jg12394, jg12395
OG0000134	Aa_G146320.h1.t1	jg27021
OG0000134	Aa_G146330.h1.t1	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319
OG0000134	Aa_G339770.h1.t1	jg27419
OG0000134	Aa_G84490.h1.t1	jg4953
OG0000134	Aa_G360810.h1.t1	jg20994
OG0000136	Aa_G1053460.h1.t1	jg13269
OG0000136	Aa_G15110.h1.t1	jg159
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	jg22366, jg22365
OG0000137	Aa_G643480.h1.t1	jg22363
OG0000138	Aa_G167750.h1.t1	jg16315
OG0000138	Aa_G154170.h1.t1	jg15930
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	jg15926
OG0000138	Aa_G175810.h1.t1, Aa_G175800.h1.t1	jg15923
OG0000138	Aa_G244940.h1.t1	jg15939, jg15937
OG0000140	Aa_G89750.h1.t1	jg1149
OG0000140	Aa_G394930.h1.t1	jg6686
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	jg832
OG0000140	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1	jg13730, jg32189
OG0000140	Aa_G41930.h1.t1, Aa_G708810.h1.t1, Aa_G445230.h1.t1, Aa_G650260.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1	jg33822
OG0000140	Aa_G197860.h1.t1	jg7346
OG0000141	Aa_G193750.h1.t1	jg32280
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	jg29671
OG0000141	Aa_G521440.h1.t1, Aa_G193720.h1.t1	jg12025
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1	jg650
OG0000141	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	jg654, jg658, jg651, jg653
OG0000141	Aa_G492220.h1.t1	jg23265
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	jg15449
OG0000151	Aa_G729400.h1.t1	jg15448
OG0000151	Aa_G351720.h1.t1	jg19118
OG0000151	Aa_G13900.h1.t1	jg15282
OG0000151	Aa_G30120.h1.t1	jg18884
OG0000151	Aa_G388320.h1.t1	jg5170
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	jg17934, jg17935
OG0000153	Aa_G358520.h1.t1	jg17932
OG0000153	Aa_G35530.h1.t1	jg17933
OG0000153	Aa_G310600.h1.t1	jg29098
OG0000154	Aa_G37000.h1.t1	jg5696, jg5697
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	jg11063
OG0000154	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1	jg33219, jg33312
OG0000158	Aa_G223250.h1.t1	jg8653
OG0000160	Aa_G190130.h1.t1	jg28078
OG0000160	Aa_G620370.h1.t1	jg9392
OG0000160	Aa_G307400.h1.t1	jg22635
OG0000160	Aa_G194510.h1.t1	jg27288
OG0000160	Aa_G490420.h1.t1	jg13954
OG0000160	Aa_G21590.h1.t1	jg3697
OG0000160	Aa_G41590.h1.t1	jg16942
OG0000161	Aa_G172360.h1.t1	jg6881, jg12949, jg10772, jg12951
OG0000162	Aa_G851370.h1.t1	jg20943
OG0000162	Aa_G363640.h1.t1	jg18404, jg13164, jg13159, jg13157, jg5057, jg13161, jg13155, jg13158, jg13160, jg12338, jg12339, jg26999, jg27000, jg27001, jg18412, jg18409, jg18408
OG0000164	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	jg6850
OG0000165	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1	jg12066
OG0000166	Aa_G792200.h1.t1	jg3072, jg21554
OG0000166	Aa_G98930.h1.t1	jg3074
OG0000166	Aa_G98910.h1.t1	jg3070
OG0000167	Aa_G162040.h1.t1	jg26294
OG0000169	Aa_G296310.h1.t1	jg11594, jg11592
OG0000170	Aa_G48820.h1.t1	jg16151
OG0000171	Aa_G134060.h1.t1	jg22050
OG0000171	Aa_G688860.h1.t1	jg12793
OG0000171	Aa_G70150.h1.t1	jg27769
OG0000171	Aa_G580840.h1.t1	jg22463
OG0000171	Aa_G24370.h1.t1	jg24782
OG0000173	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1	jg8629
OG0000175	Aa_G473510.h1.t1, Aa_G473510.h2.t1	jg29462, jg30921, jg955
OG0000175	Aa_G775400.h2.t1, Aa_G453040.h2.t1, Aa_G453040.h1.t1, Aa_G775400.h1.t1	jg20125
OG0000176	Aa_G74650.h1.t1	jg32422
OG0000176	Aa_G319580.h1.t1, Aa_G319590.h1.t1	jg2771, jg2770, jg2772
OG0000176	Aa_G319560.h1.t1, Aa_G595900.h1.t1	jg2769
OG0000177	Aa_G60820.h1.t1, Aa_G835800.h1.t1	jg26900, jg30833
OG0000178	Aa_G320630.h1.t1	jg7702
OG0000182	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1	jg31826, jg16158, jg16157
OG0000182	Aa_G22640.h1.t1, Aa_G167450.h1.t1	jg15782, jg15779, jg32711, jg15778, jg16268, jg15781
OG0000182	Aa_G143210.h1.t1	jg15586, jg15562, jg15559
OG0000183	Aa_G505900.h1.t1	jg2098, jg12245
OG0000184	Aa_G310780.h1.t1	jg26401
OG0000185	Aa_G424840.h1.t1	jg31725, jg31727, jg31723
OG0000185	Aa_G328640.h1.t1, Aa_G328640.h2.t1	jg19265
OG0000185	Aa_G464540.h1.t1, Aa_G464550.h1.t1	jg31379, jg31377
OG0000186	Aa_G344900.h1.t1	jg13066
OG0000186	Aa_G218170.h1.t1	jg760, jg19241
OG0000187	Aa_G279240.h1.t1, Aa_G279230.h1.t1	jg16584
OG0000187	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1	jg18001, jg17979, jg17999, jg17980, jg18002, jg17981, jg17978
OG0000188	Aa_G606990.h1.t1	jg5008, jg5007, jg5020, jg5022, jg5021, jg24303
OG0000188	Aa_G4330.h1.t1	jg24349, jg24348
OG0000189	Aa_G180380.h1.t1, Aa_G70160.h1.t1	jg8854
OG0000189	Aa_G281740.h1.t1	jg3242
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	jg647
OG0000195	Aa_G230200.h1.t1	jg12215
OG0000195	Aa_G459140.h1.t1	jg6046
OG0000195	Aa_G376620.h1.t1	jg22932
OG0000196	Aa_G574390.h1.t1, Aa_G84820.h1.t1	jg12812, jg12806, jg12803, jg12809, jg12800, jg12817, jg12816, jg17734, jg12804, jg12810, jg12779
OG0000196	Aa_G201160.h1.t1, Aa_G165200.h1.t1, Aa_G339760.h1.t1, Aa_G217260.h1.t1, Aa_G229750.h1.t1, Aa_G612790.h1.t1, Aa_G165270.h1.t1, Aa_G229810.h1.t1	jg12778
OG0000197	Aa_G460250.h1.t1, Aa_G460270.h1.t1	jg10625, jg12243
OG0000197	Aa_G403160.h1.t1	jg12242
OG0000197	Aa_G674860.h1.t1	jg10624
OG0000198	Aa_G509920.h1.t1	jg12942
OG0000198	Aa_G278170.h1.t1	jg11388
OG0000198	Aa_G328840.h1.t1	jg29979
OG0000198	Aa_G272200.h1.t1	jg29981
OG0000198	Aa_G222140.h1.t1, Aa_G238450.h1.t1	jg13337
OG0000199	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1	jg33326, jg32894
OG0000199	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1	jg9442, jg5645, jg5642, jg9443, jg9444
OG0000200	Aa_G37370.h1.t1	jg31560, jg31558
OG0000201	Aa_G427530.h1.t1, Aa_G703190.h1.t1, Aa_G900640.h1.t1, Aa_G337650.h1.t1, Aa_G556890.h1.t1, Aa_G455950.h1.t1, Aa_G38170.h1.t1, Aa_G297100.h1.t1, Aa_G254320.h1.t1, Aa_G734460.h1.t1, Aa_G210530.h1.t1, Aa_G528940.h1.t1, Aa_G155140.h1.t1, Aa_G400980.h1.t1, Aa_G182270.h1.t1, Aa_G869430.h1.t1, Aa_G906580.h1.t1, Aa_G584490.h1.t1, Aa_G17470.h1.t1, Aa_G947170.h1.t1, Aa_G319500.h1.t1, Aa_G265330.h1.t1, Aa_G473070.h1.t1, Aa_G989440.h1.t1, Aa_G818390.h1.t1, Aa_G802560.h1.t1, Aa_G412130.h1.t1, Aa_G2010.h1.t1, Aa_G502040.h1.t1, Aa_G630690.h1.t1, Aa_G177480.h1.t1, Aa_G350550.h1.t1, Aa_G46410.h1.t1, Aa_G106600.h1.t1, Aa_G634980.h1.t1, Aa_G907240.h1.t1	jg32554
OG0000202	Aa_G548600.h1.t1, Aa_G191580.h1.t1, Aa_G99550.h1.t1, Aa_G180050.h1.t1, Aa_G296350.h1.t1, Aa_G77280.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1	jg8001
OG0000202	Aa_G71240.h1.t1	jg7999
