Orthogroup	Arabis_alpina	Raphanus_sativus
OG0000025	Aa_G387540.h1.t1	XP_018463661.1, XP_018464633.1, XP_018464148.1, XP_018488093.1, XP_018487713.1, XP_018448846.1, XP_018464214.1, XP_018461822.1, XP_018487947.1, XP_018448435.1, XP_018443587.1, XP_018483551.1, XP_018435597.1, XP_018465584.1, XP_018435430.1, XP_018465310.1, XP_018444655.1, XP_018453979.1, XP_018487730.1, XP_018458793.1, XP_018460661.1, XP_018464311.1, XP_018458109.1, XP_018448668.1, XP_018443774.1, XP_018436457.1, XP_018436069.1, XP_018453740.1, XP_018448718.1, XP_018463452.1, XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1, XP_018479341.1
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1
OG0000027	Aa_G200970.h1.t1	XP_018468520.1, XP_018468522.1, XP_018468514.1, XP_018468509.1, XP_018468512.1
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	XP_018451939.1, XP_018448955.1
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	XP_018458837.1, XP_018459041.1
OG0000027	Aa_G597270.h1.t1	XP_018454312.1
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	XP_018467289.1, XP_018480012.1
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	XP_018465681.1, XP_018448362.1, XP_018448361.1, XP_018448364.1, XP_018435503.1, XP_018475375.1, XP_018475377.1, XP_018475791.1, XP_018475795.1, XP_018462813.1, XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1
OG0000028	Aa_G553200.h1.t1	XP_018455496.1, XP_018454205.1
OG0000029	Aa_G248570.h1.t1	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	XP_018492516.1
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	XP_018453970.1
OG0000030	Aa_G152820.h1.t1	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000032	Aa_G1000.h1.t1, Aa_G209100.h1.t1	XP_018482431.1
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	XP_018483350.1, XP_018468503.1
OG0000034	Aa_G191730.h1.t1	XP_018436206.1, XP_018483352.1
OG0000034	Aa_G317970.h1.t1	XP_018460842.1, XP_018460841.1
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	XP_018484117.1, XP_018484118.1
OG0000034	Aa_G191690.h1.t1	XP_018448921.1, XP_018448031.1
OG0000034	Aa_G92800.h1.t1	XP_018467312.1
OG0000035	Aa_G7660.h1.t1	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1
OG0000035	Aa_G44290.h1.t1	XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1	XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1
OG0000035	Aa_G246010.h1.t1	XP_018480985.1
OG0000035	Aa_G195780.h1.t1	XP_018449099.1
OG0000038	Aa_G117940.h1.t1	XP_018435407.1
OG0000041	Aa_G135690.h1.t1	XP_018448715.1
OG0000042	Aa_G834810.h1.t1	XP_018459378.1
OG0000042	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	XP_018436185.1, XP_018436037.1, XP_018487653.1, XP_018436040.1, XP_018475164.1
OG0000043	Aa_G30.h1.t1	XP_018465687.1
OG0000044	Aa_G685510.h1.t1	XP_018464129.1, XP_018440463.1
OG0000044	Aa_G639660.h1.t1	XP_018466419.1
OG0000044	Aa_G208060.h1.t1	XP_018448890.1
OG0000044	Aa_G313590.h1.t1	XP_018441634.1
OG0000044	Aa_G33030.h1.t1	XP_018444272.1
OG0000044	Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1	XP_018449076.1
OG0000044	Aa_G208030.h1.t1	XP_018446476.1
OG0000046	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000047	Aa_G631350.h1.t1	XP_018479427.1, XP_018479426.1, XP_018462781.1, XP_018454077.1, XP_018459807.1, XP_018479622.1, XP_018477313.1, XP_018460720.1, XP_018467566.1, XP_018435405.1, XP_018458916.1, XP_018467233.1, XP_018463074.1, XP_018479492.1, XP_018458501.1, XP_018463664.1, XP_018463678.1, XP_018466684.1, XP_018453678.1
OG0000048	Aa_G20510.h1.t1	XP_018436807.1
OG0000048	Aa_G154560.h1.t1	XP_018465159.1, XP_018458896.1, XP_018468803.1
OG0000048	Aa_G584300.h1.t1	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1
OG0000048	Aa_G312310.h1.t1	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1, XP_018466188.1
OG0000048	Aa_G570500.h1.t1, Aa_G43710.h1.t1	XP_018436322.1
OG0000050	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1	XP_018487487.1
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	XP_018493126.1
OG0000051	Aa_G399340.h1.t1	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000051	Aa_G592860.h1.t1, Aa_G678670.h1.t1	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1
OG0000051	Aa_G599340.h1.t1	XP_018473990.1, XP_018465828.1
OG0000052	Aa_G696490.h1.t1	XP_018454118.1
OG0000052	Aa_G521750.h1.t1	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	XP_018433197.1, XP_018454367.1, XP_018454366.1
OG0000052	Aa_G712070.h1.t1	XP_018461352.1, XP_018478506.1, XP_018461349.1, XP_018461351.1, XP_018461348.1, XP_018477431.1
OG0000055	Aa_G659190.h1.t1	XP_018491504.1, XP_018488447.1, XP_018488227.1
OG0000055	Aa_G5070.h1.t1, Aa_G432690.h1.t1	XP_018489800.1
OG0000055	Aa_G253800.h1.t1	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	XP_018458632.1, XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1, XP_018434948.1, XP_018492713.1, XP_018434510.1, XP_018458631.1
OG0000056	Aa_G162440.h1.t1	XP_018456965.1
OG0000058	Aa_G444220.h1.t1	XP_018467931.1, XP_018487493.1
OG0000058	Aa_G527390.h1.t1	XP_018464464.1, XP_018458133.1, XP_018458116.1, XP_018459170.1, XP_018487916.1, XP_018453759.1, XP_018462577.1, XP_018462557.1, XP_018480044.1, XP_018473916.1, XP_018473917.1, XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1, XP_018464202.1, XP_018477823.1, XP_018458662.1
OG0000060	Aa_G33920.h6.t1	XP_018490753.1
OG0000060	Aa_G550780.h8.t1, Aa_G375890.h5.t1	XP_018450800.1, XP_018478486.1
OG0000060	Aa_G367650.h6.t1	XP_018489416.1
OG0000060	Aa_G550780.h3.t1	XP_018436511.1
OG0000060	Aa_G33920.h5.t1	XP_018437089.1
OG0000060	Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1	XP_018465956.1
OG0000060	Aa_G375890.h4.t1	XP_018439064.1
OG0000060	Aa_G257700.h1.t1	XP_018465955.1
OG0000060	Aa_G257700.h2.t1, Aa_G197130.h5.t1	XP_018434873.1
OG0000060	Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1	XP_018486629.1
OG0000060	Aa_G33920.h2.t1, Aa_G197130.h6.t1	XP_018466002.1
OG0000060	Aa_G318860.h5.t1	XP_018463191.1
OG0000060	Aa_G448310.h1.t1, Aa_G367650.h4.t1	XP_018473023.1
OG0000060	Aa_G375890.h1.t1, Aa_G197130.h7.t1	XP_018450799.1
OG0000060	Aa_G367650.h8.t1, Aa_G367650.h7.t1	XP_018450669.1
OG0000060	Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1	XP_018478406.1
OG0000062	Aa_G8040.h1.t1	XP_018467054.1
OG0000063	Aa_G40790.h1.t1	XP_018473954.1
OG0000063	Aa_G186650.h1.t1	XP_018487874.1
OG0000065	Aa_G369740.h1.t1	XP_018479733.1, XP_018460986.1
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	XP_018461745.1, XP_018470308.1, XP_018470312.1, XP_018444649.1, XP_018442726.1, XP_018443463.1, XP_018445374.1, XP_018470553.1, XP_018470311.1, XP_018442727.1, XP_018444185.1, XP_018461764.1, XP_018469866.1, XP_018469869.1, XP_018442725.1, XP_018466796.1, XP_018470309.1, XP_018467421.1, XP_018461735.1
OG0000065	Aa_G439610.h1.t1	XP_018483048.1, XP_018483050.1, XP_018464170.1
OG0000065	Aa_G574220.h1.t1	XP_018463906.1, XP_018458891.1, XP_018461818.1
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1	XP_018439713.1
OG0000066	Aa_G37410.h5.t1	XP_018456939.1
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	XP_018443026.1
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000068	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1	XP_018481460.1, XP_018464891.1, XP_018483168.1, XP_018482126.1, XP_018481938.1, XP_018443542.1, XP_018465698.1, XP_018482079.1, XP_018478114.1, XP_018478695.1, XP_018478694.1, XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1
OG0000069	Aa_G20960.h1.t1	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000069	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1	XP_018475767.1, XP_018479965.1, XP_018479843.1
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	XP_018439895.1, XP_018455246.1
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	XP_018467172.1, XP_018435343.1
OG0000070	Aa_G410840.h1.t1	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000070	Aa_G273730.h1.t1	XP_018485425.1, XP_018449875.1
OG0000070	Aa_G349440.h1.t1, Aa_G349450.h1.t1, Aa_G614230.h1.t1	XP_018475135.1
OG0000072	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	XP_018453574.1
OG0000073	Aa_G108990.h1.t1	XP_018479682.1
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	XP_018468037.1, XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000076	Aa_G137810.h1.t1	XP_018480217.1
OG0000077	Aa_G362960.h1.t1, Aa_G122040.h1.t1	XP_018455183.1
OG0000077	Aa_G683270.h1.t1	XP_018435698.1
OG0000077	Aa_G161010.h1.t1	XP_018468968.1
OG0000078	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	XP_018474944.1
OG0000079	Aa_G160120.h1.t1	XP_018454571.1, XP_018435964.1, XP_018467728.1, XP_018453714.1, XP_018453700.1, XP_018435546.1
OG0000084	Aa_G572590.h1.t1	XP_018461657.1
OG0000084	Aa_G263490.h1.t1	XP_018460216.1
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	XP_018481064.1
OG0000086	Aa_G703520.h1.t1	XP_018444904.1, XP_018456777.1, XP_018456775.1, XP_018475756.1, XP_018445028.1, XP_018459504.1
OG0000089	Aa_G630880.h1.t1	XP_018477697.1, XP_018484582.1
OG0000089	Aa_G199760.h1.t1	XP_018440871.1
OG0000089	Aa_G256660.h1.t1	XP_018476501.1, XP_018446020.1
OG0000089	Aa_G103150.h1.t1	XP_018439894.1, XP_018456689.1, XP_018457306.1, XP_018483831.1
OG0000089	Aa_G562810.h1.t1	XP_018434101.1
OG0000089	Aa_G656110.h1.t1	XP_018446239.1, XP_018463490.1
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	XP_018453787.1
OG0000091	Aa_G15590.h1.t1	XP_018474898.1, XP_018446823.1
OG0000091	Aa_G89050.h1.t1	XP_018440736.1
OG0000091	Aa_G28350.h1.t1, Aa_G614510.h1.t1, Aa_G273740.h1.t1, Aa_G60310.h1.t1, Aa_G100900.h1.t1, Aa_G100900.h2.t1	XP_018476976.1
OG0000095	Aa_G54460.h1.t1	XP_018478409.1, XP_018478874.1
OG0000095	Aa_G54450.h1.t1, Aa_G54400.h1.t1, Aa_G559050.h1.t1	XP_018480839.1
OG0000095	Aa_G271110.h1.t1	XP_018458821.1, XP_018482330.1
OG0000095	Aa_G155650.h1.t1	XP_018473675.1
OG0000096	Aa_G32180.h1.t1	XP_018466022.1
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	XP_018482705.1
OG0000100	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1	XP_018455681.1
OG0000101	Aa_G160180.h1.t1	XP_018456076.1
OG0000102	Aa_G132920.h1.t1	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000102	Aa_G42050.h1.t1	XP_018451515.1, XP_018489433.1, XP_018486652.1, XP_018486669.1, XP_018474049.1
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	XP_018460328.1, XP_018435808.1, XP_018436063.1, XP_018436064.1, XP_018460201.1
OG0000105	Aa_G117390.h1.t1	XP_018448388.1
OG0000105	Aa_G710830.h1.t1	XP_018437703.1
OG0000105	Aa_G792870.h1.t1	XP_018449080.1, XP_018466654.1
OG0000106	Aa_G616180.h1.t1	XP_018491450.1, XP_018479267.1, XP_018458036.1
OG0000106	Aa_G456270.h1.t1	XP_018435770.1
OG0000106	Aa_G32140.h1.t1	XP_018482722.1
OG0000107	Aa_G323970.h1.t1	XP_018473539.1
OG0000107	Aa_G323960.h1.t1	XP_018487289.1, XP_018466393.1, XP_018489514.1, XP_018440339.1, XP_018435080.1, XP_018436775.1
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1	XP_018437231.1
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	XP_018476215.1, XP_018441209.1
OG0000108	Aa_G27970.h1.t1	XP_018465906.1
OG0000108	Aa_G537640.h1.t1	XP_018439577.1, XP_018439439.1
OG0000108	Aa_G152880.h1.t1	XP_018445204.1, XP_018476330.1, XP_018471220.1
OG0000108	Aa_G429520.h1.t1	XP_018492660.1
OG0000110	Aa_G32020.h1.t1	XP_018481465.1, XP_018464346.1, XP_018460458.1, XP_018487640.1, XP_018453398.1, XP_018458166.1, XP_018458754.1
OG0000114	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1	XP_018456273.1
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	XP_018482325.1
OG0000115	Aa_G1023650.h1.t1	XP_018490007.1, XP_018455502.1
OG0000115	Aa_G447930.h1.t1, Aa_G30380.h1.t1	XP_018448175.1, XP_018448174.1, XP_018464790.1, XP_018436053.1
OG0000115	Aa_G490590.h1.t1	XP_018461983.1, XP_018436102.1, XP_018438430.1
OG0000116	Aa_G31310.h1.t1	XP_018453807.1, XP_018465674.1, XP_018482519.1, XP_018474057.1, XP_018455509.1, XP_018463276.1, XP_018475460.1, XP_018459183.1, XP_018448437.1, XP_018462607.1, XP_018440840.1, XP_018470517.1
OG0000116	Aa_G358570.h1.t1	XP_018487410.1
OG0000116	Aa_G342720.h1.t1	XP_018453443.1
OG0000117	Aa_G349950.h1.t1	XP_018484078.1
OG0000117	Aa_G62330.h1.t1	XP_018442248.1, XP_018475190.1, XP_018463580.1, XP_018474776.1, XP_018483556.1, XP_018449780.1, XP_018449779.1
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1	XP_018461550.1, XP_018449778.1, XP_018449606.1, XP_018449776.1, XP_018449605.1, XP_018461549.1, XP_018461548.1, XP_018449734.1, XP_018449777.1, XP_018448289.1, XP_018448292.1, XP_018461551.1, XP_018456410.1, XP_018454087.1, XP_018455073.1
OG0000119	Aa_G251660.h1.t1	XP_018435717.1
OG0000121	Aa_G527420.h1.t1, Aa_G180200.h1.t1	XP_018448551.1
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	XP_018475453.1, XP_018473352.1, XP_018474205.1
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1	XP_018473651.1
OG0000122	Aa_G379620.h1.t1	XP_018453563.1
OG0000122	Aa_G5880.h1.t1	XP_018487691.1
OG0000122	Aa_G592740.h1.t1	XP_018468941.1
OG0000125	Aa_G257560.h1.t1	XP_018493580.1, XP_018487612.1
OG0000125	Aa_G166390.h1.t1	XP_018485742.1
OG0000127	Aa_G552180.h1.t1	XP_018442304.1, XP_018463483.1, XP_018464380.1
OG0000127	Aa_G69270.h1.t1	XP_018478084.1, XP_018472875.1
OG0000128	Aa_G271300.h1.t1	XP_018444638.1
OG0000128	Aa_G319030.h1.t1	XP_018489598.1, XP_018490648.1, XP_018460833.1
OG0000128	Aa_G784880.h1.t1	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000128	Aa_G271260.h1.t1	XP_018459995.1
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	XP_018487764.1, XP_018461995.1
OG0000129	Aa_G323510.h1.t1	XP_018491243.1, XP_018491241.1
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	XP_018438997.1, XP_018435583.1, XP_018439597.1, XP_018439599.1, XP_018435186.1
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	XP_018490205.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018489158.1, XP_018489931.1, XP_018465557.1, XP_018490414.1
OG0000132	Aa_G462110.h1.t1	XP_018487999.1
OG0000134	Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146320.h1.t1, Aa_G146330.h1.t1, Aa_G339770.h1.t1	XP_018438959.1, XP_018438956.1
OG0000134	Aa_G69050.h1.t1	XP_018476352.1
OG0000134	Aa_G578400.h1.t1	XP_018459201.1
OG0000137	Aa_G59090.h1.t1	XP_018452340.1
OG0000137	Aa_G925390.h1.t1	XP_018473981.1, XP_018464800.1
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	XP_018469497.1, XP_018452341.1, XP_018454603.1
OG0000137	Aa_G643480.h1.t1	XP_018454803.1
OG0000138	Aa_G175690.h1.t1	XP_018490335.1
OG0000138	Aa_G244940.h1.t1	XP_018490818.1
OG0000141	Aa_G193730.h1.t1	XP_018492203.1
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	XP_018440872.1
OG0000141	Aa_G521440.h1.t1, Aa_G193720.h1.t1	XP_018489435.1
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1, Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	XP_018454446.1, XP_018454444.1
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	XP_018463372.1, XP_018453674.1
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	XP_018491621.1, XP_018443657.1, XP_018481788.1
OG0000151	Aa_G729400.h1.t1	XP_018483151.1
OG0000151	Aa_G351720.h1.t1	XP_018439853.1
OG0000151	Aa_G30120.h1.t1	XP_018478165.1, XP_018478354.1
OG0000151	Aa_G388320.h1.t1	XP_018445846.1
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	XP_018435128.1
