Orthogroup	Arabis_alpina	Cochlearia_excelsa
OG0000020	Aa_G135640.h1.t1	g32689, g14805, g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000022	Aa_G447870.h1.t1	g5030
OG0000022	Aa_G357190.h1.t1	g40881, g40949, g40951, g40859, g40857, g6403, g40794
OG0000022	Aa_G97120.h1.t1	g13269
OG0000023	Aa_G297380.h1.t1	g34756, g6328, g34729, g21395
OG0000024	Aa_G565560.h1.t1, Aa_G381220.h1.t1	g22601
OG0000024	Aa_G737030.h1.t1, Aa_G731070.h1.t1	g43469
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	g2269
OG0000024	Aa_G230140.h1.t1	g28294
OG0000025	Aa_G387540.h1.t1	g14578, g6312, g29188, g6804, g23598, g43477, g7900, g49409, g28254, g25431, g36898, g44075, g2977, g33118, g17280, g46637, g25246, g50791, g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585, g51014, g14556, g39311, g34854, g31342, g21114, g35266, g14035, g52008, g46329, g17019, g23909, g34283, g6803, g6169, g35674, g1554, g46225, g9915, g31760, g25002, g4157, g41992, g4231, g43283, g2973, g25191, g33391, g33119, g51053, g2954, g3058, g11709, g27047, g32656, g47798, g43478, g23597, g14579, g3360, g43692, g7899, g4344, g49586, g31803, g4274, g46948, g14806, g32688
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	g28599
OG0000027	Aa_G597290.h1.t1	g48943
OG0000027	Aa_G597270.h1.t1	g40374
OG0000027	Aa_G847400.h1.t1	g24643, g23907
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	g972, g12012
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	g24597, g39418
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	g13799, g13797
OG0000032	Aa_G209100.h1.t1	g49592, g25930, g51375
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	g23911
OG0000034	Aa_G317970.h1.t1, Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1, Aa_G58920.h1.t1	g24014
OG0000034	Aa_G191690.h1.t1	g23912
OG0000034	Aa_G92800.h1.t1, Aa_G474070.h1.t1	g23905
OG0000035	Aa_G9270.h1.t1	g42054, g13304, g42055
OG0000038	Aa_G117940.h1.t1	g41306
OG0000041	Aa_G135690.h1.t1	g45435
OG0000042	Aa_G834810.h1.t1	g38829, g20859, g48552, g53555, g47921
OG0000042	Aa_G67230.h1.t1	g31187, g8527, g6175
OG0000042	Aa_G528960.h1.t1	g31170
OG0000042	Aa_G392560.h1.t1, Aa_G500830.h1.t1	g6340, g16111, g37181
OG0000042	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	g40104, g13786, g31186, g8826, g30544
OG0000043	Aa_G30.h1.t1	g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434
OG0000043	Aa_G20.h1.t1	g23535, g12602, g6014, g44990
OG0000044	Aa_G208060.h1.t1	g10944
OG0000044	Aa_G313590.h1.t1	g18482
OG0000044	Aa_G33030.h1.t1, Aa_G791970.h1.t1, Aa_G628630.h1.t1, Aa_G295940.h1.t1, Aa_G295950.h1.t1, Aa_G295890.h1.t1, Aa_G565780.h1.t1, Aa_G369060.h1.t1, Aa_G295880.h1.t1, Aa_G645470.h1.t1, Aa_G173310.h1.t1, Aa_G620000.h1.t1, Aa_G197680.h1.t1, Aa_G173300.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G628640.h1.t1, Aa_G295910.h1.t1, Aa_G628620.h1.t1, Aa_G565810.h1.t1, Aa_G173340.h1.t1, Aa_G715510.h1.t1, Aa_G208030.h1.t1	g28154
OG0000047	Aa_G631350.h1.t1	g52952, g32980, g35708, g41922, g52704, g49046, g17789, g53468, g32719, g26176, g41624, g24203, g6965, g4623, g51888, g23943, g53874, g8174, g27898, g7014, g41621, g22371, g32817, g20824, g2573, g13889, g36360, g16589, g15986, g31363, g31930, g28207, g17439, g13543, g17255, g42785, g3145, g3176, g32951, g4540, g32755, g4562, g3738, g34925, g26172, g9204, g7013, g46294, g36204, g22170, g52845, g52827, g52953, g53253, g3120, g26684, g26774, g33014, g4289, g43014, g52389, g3625, g42749, g4222, g43518, g53610, g3146, g20823, g3147, g29255, g51007, g43600, g13036, g22171, g29247, g44943, g39409, g42786, g29246, g4560, g52374, g53624, g52388, g28206, g17256, g36732, g16465, g16464, g51006, g36203, g13544, g33250, g33281, g33287, g43013, g4288, g3177, g53505, g49130, g34774, g26169, g43232, g4221, g49129, g26173, g10874, g43519, g3479, g34451, g52846, g52828, g52839, g3624, g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771, g13890, g6966, g4624, g32714, g53873, g44165, g53254, g3119, g15987, g33359, g30235, g33013, g36953, g26773
OG0000048	Aa_G20510.h1.t1	g51285
OG0000048	Aa_G584300.h1.t1	g39852, g39841
OG0000048	Aa_G43710.h1.t1	g3814
OG0000050	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1	g19665
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	g30921, g53630, g4397, g10583, g5874
OG0000052	Aa_G247970.h1.t1	g1602, g3195
OG0000052	Aa_G696490.h1.t1	g10535
OG0000052	Aa_G521750.h1.t1	g19225
OG0000052	Aa_G4800.h1.t1	g36515
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	g2410
OG0000052	Aa_G712070.h1.t1	g11017
OG0000055	Aa_G5070.h1.t1, Aa_G432690.h1.t1	g50182, g50184, g50186
OG0000055	Aa_G253800.h1.t1	g48153, g33340, g33319, g33329, g48170, g15766
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	g40991, g44205
OG0000056	Aa_G162440.h1.t1	g40901
OG0000058	Aa_G444220.h1.t1	g3196
OG0000058	Aa_G527390.h1.t1	g33000, g41178, g43966, g49100
OG0000060	Aa_G367650.h3.t1, Aa_G448310.h5.t1, Aa_G257700.h7.t1, Aa_G448310.h7.t1, Aa_G197130.h4.t1, Aa_G375890.h6.t1, Aa_G318860.h3.t1, Aa_G257700.h6.t1, Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1, Aa_G318860.h6.t1, Aa_G33920.h6.t1, Aa_G550780.h8.t1, Aa_G375890.h5.t1, Aa_G257700.h8.t1, Aa_G33920.h4.t1, Aa_G33920.h1.t1, Aa_G367650.h6.t1, Aa_G448310.h2.t1, Aa_G550780.h3.t1, Aa_G33920.h5.t1, Aa_G375890.h2.t1, Aa_G33920.h7.t1, Aa_G197130.h2.t1, Aa_G197130.h8.t1, Aa_G375890.h8.t1, Aa_G33920.h3.t1, Aa_G375890.h4.t1, Aa_G257700.h1.t1, Aa_G257700.h2.t1, Aa_G197130.h5.t1, Aa_G197130.h1.t1, Aa_G367650.h2.t1, Aa_G448310.h4.t1, Aa_G550780.h2.t1, Aa_G257700.h5.t1, Aa_G33920.h8.t1, Aa_G318860.h1.t1, Aa_G257700.h4.t1, Aa_G33920.h2.t1, Aa_G197130.h6.t1, Aa_G318860.h2.t1, Aa_G318860.h5.t1, Aa_G448310.h8.t1, Aa_G448310.h1.t1, Aa_G367650.h4.t1, Aa_G375890.h3.t1, Aa_G375890.h1.t1, Aa_G197130.h7.t1, Aa_G367650.h8.t1, Aa_G367650.h7.t1, Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1, Aa_G367650.h1.t1, Aa_G550780.h7.t1, Aa_G550780.h5.t1, Aa_G375890.h7.t1, Aa_G448310.h3.t1, Aa_G197130.h3.t1, Aa_G367650.h5.t1, Aa_G318860.h4.t1, Aa_G550780.h6.t1, Aa_G448310.h6.t1, Aa_G257700.h3.t1, Aa_G318860.h7.t1	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	Aa_G386390.h1.t1, Aa_G488480.h1.t1	g23668
OG0000062	Aa_G417500.h1.t1	g44326, g2819, g44187
OG0000063	Aa_G397260.h1.t1	g16420, g14674, g14670, g3225, g25089, g23755, g37179
OG0000063	Aa_G367140.h1.t1	g45814, g2810
OG0000063	Aa_G40790.h1.t1	g31405
OG0000063	Aa_G186650.h1.t1	g18404, g25742, g50268, g46262, g45401, g3397, g46693, g52815, g32214, g16019, g49776
OG0000063	Aa_G998790.h1.t1	g23754, g41779, g40701
OG0000065	Aa_G369740.h1.t1	g17485
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	g46719, g44951, g18042
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	g46717
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	g31166, g49660, g5416, g9719, g156, g29501, g45535
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	g5393
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1, Aa_G72500.h1.t1, Aa_G84550.h1.t1, Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1, Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1	g27956, g25385, g25390, g46783
OG0000069	Aa_G20960.h1.t1	g13531
OG0000069	Aa_G396900.h1.t1	g39973
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	g10675
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	g50123
OG0000070	Aa_G410840.h1.t1	g46242
OG0000073	Aa_G108990.h1.t1	g4275, g38079, g25547
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	g1450
OG0000077	Aa_G636230.h1.t1, Aa_G362960.h1.t1, Aa_G122040.h1.t1	g18473
OG0000077	Aa_G683270.h1.t1	g1538, g1535
OG0000077	Aa_G161010.h1.t1	g44008, g44007, g44009
OG0000078	Aa_G253640.h1.t1, Aa_G253730.h1.t1, Aa_G339740.h1.t1, Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1, Aa_G339720.h1.t1, Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1, Aa_G339730.h1.t1, Aa_G253690.h1.t1	g4945
OG0000078	Aa_G85810.h1.t1	g4940, g4946
OG0000078	Aa_G253680.h1.t1	g29028, g29029
OG0000083	Aa_G482960.h1.t1	g2637, g49747
OG0000083	Aa_G871750.h1.t1	g10029, g51552, g41167, g16239, g27391, g24809, g10031, g50071, g1277, g22813, g23046, g2078, g43908, g41775, g32865, g39422, g31427, g53391, g4465, g28112, g2282, g41124, g37671, g46254, g31488, g46534, g47392, g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332, g2997, g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497, g43868, g51292, g28232, g45392, g2408, g135, g7916, g23429, g51381, g13593, g1215, g24810, g53918
OG0000084	Aa_G572590.h1.t1	g6971
OG0000084	Aa_G204550.h1.t1	g16020, g26091, g11688, g32213
OG0000084	Aa_G896890.h1.t1	g25861
OG0000084	Aa_G263490.h1.t1	g34382, g53309
OG0000084	Aa_G680690.h1.t1	g53168
OG0000084	Aa_G370540.h1.t1	g3736
OG0000084	Aa_G460730.h1.t1	g32908
OG0000086	Aa_G108450.h1.t1	g14687
OG0000086	Aa_G703520.h1.t1	g22657, g15074, g46770, g46768, g46769, g43995
OG0000089	Aa_G630880.h1.t1	g9991
OG0000089	Aa_G256660.h1.t1	g5316
OG0000089	Aa_G103150.h1.t1	g11055, g40485
OG0000089	Aa_G580380.h1.t1	g24042
OG0000089	Aa_G656110.h1.t1	g46232
OG0000091	Aa_G363940.h1.t1	g46886
OG0000091	Aa_G15590.h1.t1	g28934, g28933
OG0000092	Aa_G542470.h1.t1	g49146, g15729
OG0000095	Aa_G54460.h1.t1, Aa_G54450.h1.t1, Aa_G54400.h1.t1, Aa_G559050.h1.t1, Aa_G271110.h1.t1, Aa_G155650.h1.t1	g51024
OG0000098	Aa_G539290.h1.t1	g41770
OG0000100	Aa_G65770.h1.t1	g35259, g34277
OG0000100	Aa_G65760.h1.t1	g40795
OG0000101	Aa_G154360.h1.t1	g30549, g95
OG0000101	Aa_G160180.h1.t1	g37850, g28202
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1	g40477, g40479, g40476, g40480, g1561
OG0000102	Aa_G42050.h1.t1	g45186
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	g22947, g53385, g35585, g53961, g25074, g41391, g174, g51854, g35452, g53324, g53804, g33380, g34405, g16452, g32834, g53191, g30244, g22182, g41865, g14562, g53428, g28957
OG0000105	Aa_G117390.h1.t1, Aa_G84880.h1.t1	g11211
OG0000105	Aa_G792870.h1.t1	g17560
OG0000105	Aa_G165210.h1.t1, Aa_G229780.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G302450.h1.t1, Aa_G276580.h1.t1, Aa_G229770.h1.t1, Aa_G302440.h1.t1, Aa_G201150.h1.t1	g43820
OG0000105	Aa_G616120.h1.t1	g35258
OG0000106	Aa_G616180.h1.t1	g36881, g4591, g47125, g36375, g27012
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1	g13363
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	g37225, g38077, g2333, g51658
OG0000108	Aa_G152880.h1.t1	g29544
OG0000108	Aa_G67360.h1.t1	g11989
OG0000110	Aa_G578120.h1.t1	g44450, g32727, g24957
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	g15992
OG0000115	Aa_G264010.h1.t1	g16651, g17473, g31783
OG0000115	Aa_G1023650.h1.t1	g24973
OG0000115	Aa_G447930.h1.t1, Aa_G30380.h1.t1	g41206, g3584, g42122
OG0000115	Aa_G490590.h1.t1	g10185, g41109, g51760
OG0000116	Aa_G31310.h1.t1	g27853
OG0000116	Aa_G358570.h1.t1	g48680, g15046, g14763, g43457, g1389, g17894
OG0000116	Aa_G108470.h1.t1, Aa_G342720.h1.t1	g43452
OG0000116	Aa_G687410.h1.t1, Aa_G687410.h2.t1	g3660, g11702, g41656
OG0000116	Aa_G619400.h1.t1	g18609
OG0000117	Aa_G349950.h1.t1	g27550, g27549
OG0000119	Aa_G251660.h1.t1	g11441, g11440
OG0000120	Aa_G248300.h1.t1	g27841
OG0000122	Aa_G625760.h1.t1	g1065
OG0000122	Aa_G592750.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1, Aa_G379590.h1.t1, Aa_G379580.h1.t1	g1066
OG0000125	Aa_G257560.h1.t1	g31072
OG0000127	Aa_G552180.h1.t1	g41348
OG0000127	Aa_G318840.h1.t1, Aa_G318820.h1.t1	g41311
OG0000127	Aa_G33880.h1.t1	g2919, g1294, g28781
OG0000127	Aa_G69270.h1.t1	g39998
OG0000128	Aa_G271300.h1.t1	g2010
OG0000128	Aa_G319030.h1.t1	g2008
OG0000128	Aa_G784880.h1.t1, Aa_G271260.h1.t1	g2009
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	g50627
OG0000129	Aa_G323510.h1.t1	g45131
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	g9880
OG0000132	Aa_G462110.h1.t1	g51064, g35150, g34743
OG0000134	Aa_G84490.h1.t1, Aa_G360810.h1.t1, Aa_G753220.h1.t1, Aa_G69050.h1.t1, Aa_G578400.h1.t1	g18420
OG0000136	Aa_G1117810.h3.t1, Aa_G1117810.h5.t1, Aa_G1117810.h4.t1, Aa_G1117810.h1.t1, Aa_G1117810.h2.t1	g36034
OG0000136	Aa_G1053460.h1.t1	g52239
OG0000136	Aa_G15110.h1.t1	g24804, g17512, g42675
OG0000137	Aa_G59090.h1.t1	g1011
OG0000137	Aa_G925390.h1.t1	g1009
OG0000140	Aa_G89750.h1.t1	g47161
OG0000140	Aa_G394930.h1.t1	g40049
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	g49472, g35118
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	g34628
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	g19127
OG0000151	Aa_G729400.h1.t1	g19128
OG0000151	Aa_G351720.h1.t1	g51765
OG0000151	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1	g38124
OG0000151	Aa_G13900.h1.t1	g2346
OG0000151	Aa_G30120.h1.t1	g51633
OG0000151	Aa_G388320.h1.t1	g29346
OG0000153	Aa_G358520.h1.t1	g40020
OG0000153	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G310600.h1.t1, Aa_G173900.h1.t1	g37875, g37876
OG0000154	Aa_G37000.h1.t1	g36466, g36467
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	g36320
OG0000155	Aa_G30210.h1.t1, Aa_G848170.h1.t1, Aa_G330590.h1.t1	g1088, g32056, g27290, g43890, g41661, g11814, g11180, g53396, g43054, g53395, g52929, g31934, g27818, g27848
OG0000155	Aa_G506350.h1.t1	g36035
OG0000155	Aa_G50920.h1.t1	g35550, g48286, g41606, g13909
OG0000160	Aa_G190130.h1.t1	g5985
OG0000160	Aa_G620370.h1.t1	g23426
OG0000160	Aa_G307400.h1.t1	g1105
OG0000160	Aa_G194510.h1.t1	g6339
OG0000160	Aa_G241680.h1.t1	g17885
OG0000160	Aa_G490420.h1.t1	g11547
OG0000160	Aa_G21590.h1.t1	g46563
OG0000160	Aa_G41590.h1.t1	g50994
OG0000161	Aa_G172360.h1.t1	g27065, g39955, g42081
OG0000162	Aa_G363640.h1.t1	g28290, g11479
OG0000165	Aa_G49720.h1.t1, Aa_G78930.h1.t1, Aa_G78940.h1.t1, Aa_G322280.h1.t1, Aa_G169270.h1.t1	g28137
OG0000166	Aa_G510600.h1.t1, Aa_G87240.h1.t1	g46162
OG0000166	Aa_G792200.h1.t1	g46166
OG0000168	Aa_G820.h1.t1	g24743, g16435, g43636, g45055, g32439, g54093, g52735, g6040, g24919, g36292, g17675, g17670, g25900, g24778, g16656, g37789, g17735, g34967, g6055, g34554, g52736, g42795, g26318, g18668, g17823, g18246, g11514, g17810, g41263, g40771, g18212, g18487, g43355, g27943, g3603, g4889, g52494, g32969, g15718, g43863, g42821, g3312, g41524, g16582, g14360, g11515, g43356, g24920, g4886, g42796, g52493, g24777, g34556, g32438, g37790, g54090, g41259, g15692, g17736, g25901, g6072, g33588, g36291, g6039, g41262, g11850, g52737, g18488, g18211, g40772, g17811, g43979, g5167, g51415, g42843, g51134, g48850, g25795, g22590, g8790, g6374, g14747, g33436, g46970, g34392, g43996, g42027, g26008, g36867, g16581, g11849, g41260, g33586, g19252, g26691, g45054, g27944, g11197, g6071, g4312, g15691, g26317, g24744, g3190, g18468, g43799, g43784, g43812, g43808, g26007, g4311, g16426, g17674, g18245, g26319, g33437, g32968, g43637, g24745, g26694, g42309, g4302, g42316, g16427, g30014, g30015, g30013, g27942, g34966, g42026, g14746, g42822, g3270, g17673, g17669, g18467, g13561, g23652, g25195, g32444, g41848, g16114, g14104, g18469, g13560, g19877, g53795, g53027, g14598, g14589, g22834, g14811, g14105, g19878, g53796, g41844, g53028, g16115, g33111
OG0000170	Aa_G16100.h1.t1	g2799
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	g52256
OG0000170	Aa_G16040.h1.t1	g37614, g37615
OG0000171	Aa_G134060.h1.t1	g915, g28415
OG0000171	Aa_G70150.h1.t1	g14078
OG0000171	Aa_G580840.h1.t1	g28546
OG0000171	Aa_G24370.h1.t1	g7540
OG0000171	Aa_G2000.h1.t1	g17072
OG0000174	Aa_G311760.h4.t1, Aa_G311760.h7.t1, Aa_G311760.h3.t1, Aa_G311760.h1.t1, Aa_G311760.h5.t1, Aa_G311760.h2.t1, Aa_G311760.h6.t1	g52379
OG0000175	Aa_G101710.h1.t1	g45857
OG0000175	Aa_G473510.h1.t1, Aa_G473510.h2.t1	g32098, g27548, g50297, g44698
OG0000175	Aa_G570790.h1.t1	g37719
OG0000176	Aa_G74650.h1.t1	g7705
OG0000177	Aa_G60820.h1.t1, Aa_G835800.h1.t1	g36879
OG0000178	Aa_G320630.h1.t1	g40442
OG0000179	Aa_G323330.h1.t1	g31539, g1718
