Orthogroup	Arabis_alpina	Arabidopsis_lyrata_Rawat
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	AL7G30290
OG0000034	Aa_G200960.h1.t1	AL7G30210, AL7G30250
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	AL7G32680
OG0000034	Aa_G58920.h1.t1	AL7G32670
OG0000034	Aa_G522590.h1.t1	AL6G46030
OG0000034	Aa_G191750.h1.t1, Aa_G92790.h1.t1, Aa_G92810.h1.t1	AL5G24540
OG0000034	Aa_G191690.h1.t1	AL7G30310, AL7G30350
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	Aa_G9270.h1.t1	AL1G64690
OG0000035	Aa_G246010.h1.t1	AL7G52740, nbis-gene-1381, AL2G19330, AL4G18050, AL1G57000, AL6G38880, AL6G49460, AL782U10010, AL7G30300
OG0000041	Aa_G135690.h1.t1	AL6G41090
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1, Aa_G834810.h1.t1, Aa_G67230.h1.t1, Aa_G528960.h1.t1, Aa_G316320.h1.t1	AL1G54660
OG0000042	Aa_G273270.h1.t1, Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	AL8G14180
OG0000043	Aa_G30.h1.t1	AL6G41190, AL5G16300
OG0000043	Aa_G20.h1.t1	AL2G30330
OG0000044	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1	AL5G18720
OG0000044	Aa_G208060.h1.t1	AL8G18480
OG0000044	Aa_G313590.h1.t1	AL8G11840, AL8G11900
OG0000044	Aa_G33030.h1.t1	AL3G20910, AL2G19370, AL8G18470
OG0000048	Aa_G154560.h1.t1	AL4G27770, AL4G27390
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	AL1G62520
OG0000050	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1	AL4G27890
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	AL1G20340
OG0000051	Aa_G592860.h1.t1	nbis-gene-988
OG0000051	Aa_G678670.h1.t1	AL2G11470
OG0000051	Aa_G599340.h1.t1	AL2G15770
OG0000051	Aa_G271540.h1.t1	AL4G41000, AL4G41010, AL4G41020
OG0000052	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1	AL5G15910
OG0000052	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1	AL5G31970
OG0000055	Aa_G659190.h1.t1	AL3G38080, AL769U10010
OG0000055	Aa_G5070.h1.t1	AL4G21820
OG0000055	Aa_G432690.h1.t1	AL6G52510
OG0000056	Aa_G534290.h1.t1	AL2G14100
OG0000056	Aa_G615090.h1.t1	AL2G13790, AL2G14110
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	AL2G14050, AL2G13900, AL2G14090, AL2G14060, AL2G14070, AL2G14080
OG0000056	Aa_G162440.h1.t1	AL5G26170
OG0000058	Aa_G444220.h1.t1	AL5G26550, AL920U10010
OG0000058	Aa_G527390.h1.t1	AL3G40670, AL6G37450, AL6G45120, AL4G17610, AL3G30200, AL1G60100
OG0000060	Aa_G367650.h3.t1	AL1G18100
OG0000060	Aa_G448310.h7.t1	AL781U10020
OG0000060	Aa_G197130.h4.t1	AL4G23280
OG0000060	Aa_G318860.h3.t1	AL5G25220
OG0000060	Aa_G257700.h6.t1	AL5G34700
OG0000060	Aa_G550780.h5.t1	AL8G36210
OG0000060	Aa_G375890.h7.t1	AL5G24600
OG0000060	Aa_G448310.h6.t1	AL8G36540
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000061	Aa_G386390.h1.t1, Aa_G488480.h1.t1	AL7G44920
OG0000061	Aa_G329030.h1.t1, Aa_G84910.h1.t1	AL6G16510
OG0000062	Aa_G288270.h1.t1	AL704U10010
OG0000062	Aa_G8040.h1.t1	AL8G40700, AL8G15100
OG0000062	Aa_G417500.h1.t1	AL7G40460, AL2G19460, AL8G34860, AL8G13000
OG0000063	Aa_G397260.h1.t1	AL6G44310
OG0000063	Aa_G367140.h1.t1	AL3G53440, AL236U10030
OG0000063	Aa_G186650.h1.t1	AL7G44340, AL7G43200
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	AL2G25320, AL2G25210, AL2G25190, AL2G25250, AL2G25260, AL2G25180, AL2G25200
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890
OG0000066	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1	AL3G43470
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	AL6G21580
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240
OG0000068	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1	AL6G18740
OG0000069	Aa_G20960.h1.t1	AL3G40410, AL8G35170
OG0000069	Aa_G536480.h1.t1	AL3G48630, AL1G45330, AL1G16270
OG0000069	Aa_G707760.h1.t1, Aa_G190520.h1.t1	AL5G21850, AL5G23770
OG0000069	Aa_G396900.h1.t1	AL5G36780
OG0000069	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1	AL3G38360
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	AL1G20940
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	AL4G11370, AL1G32980, AL2G24470
OG0000070	Aa_G410840.h1.t1	AL2G35960
OG0000072	Aa_G505780.h1.t1	AL3G47230
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	AL7G11590, AL8G23920
OG0000075	Aa_G254660.h1.t1	AL1G52760, AL1G52750, AL1G52780
OG0000075	Aa_G136250.h1.t1	AL7G11690
OG0000075	Aa_G545910.h1.t1	AL34U10110, AL34U10130, AL8G22350
OG0000076	Aa_G137810.h1.t1	AL7G10840
OG0000077	Aa_G683270.h1.t1	AL5G12960
OG0000077	Aa_G160980.h1.t1	AL1G20220
OG0000077	Aa_G161010.h1.t1	AL2G15700, nbis-gene-2073, AL8G20320
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	AL3G13680
OG0000078	Aa_G339720.h1.t1	AL3G13710
OG0000078	Aa_G339730.h1.t1	AL3G13720
OG0000078	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1	AL6G29220, AL6G29120
OG0000079	Aa_G160120.h1.t1	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000083	Aa_G871750.h1.t1	AL6G26020, AL3G43160, AL645U10010, AL5G31070
OG0000084	Aa_G680690.h1.t1	AL347U10020
OG0000084	Aa_G370540.h1.t1	AL60U10030
OG0000084	Aa_G460730.h1.t1	AL6G44320
OG0000086	Aa_G108450.h1.t1	AL7G53090
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	nbis-gene-1913, AL7G53060
OG0000086	Aa_G703520.h1.t1	AL7G49470, AL7G47450, AL7G53110, AL2G24580, AL2G24590, AL2G24600
OG0000089	Aa_G630880.h1.t1	AL6G35120
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	AL5G25960
OG0000089	Aa_G199760.h1.t1	AL4G24260
OG0000089	Aa_G256660.h1.t1	AL6G23060
OG0000089	Aa_G103150.h1.t1	AL8G15560
OG0000089	Aa_G580380.h1.t1	AL7G33260
OG0000089	Aa_G562810.h1.t1	AL4G30750
OG0000089	Aa_G656110.h1.t1	AL1G32740, AL2G35770
OG0000091	Aa_G363940.h1.t1	AL5G26810
OG0000091	Aa_G123680.h1.t1, Aa_G100910.h1.t1, Aa_G425870.h1.t1, Aa_G89040.h1.t1	AL5G26340, AL5G26330
OG0000091	Aa_G15590.h1.t1	AL6G32010
OG0000091	Aa_G15570.h1.t1	AL8G24400
OG0000091	Aa_G89050.h1.t1	AL5G26370
OG0000091	Aa_G28350.h1.t1	AL5G26840
OG0000095	Aa_G54460.h1.t1	AL4G18560
OG0000095	Aa_G271110.h1.t1	nbis-gene-1002
OG0000096	Aa_G32180.h1.t1	AL3G31600, AL3G31620, AL3G31610, AL439U10010, AL3G32310, AL3G32820, AL3G50560, AL3G31580, AL3G32300, AL3G22030
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	AL6G44880, AL6G37020, AL4G14150, AL6G37130
OG0000100	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1	AL2G11390
OG0000100	Aa_G65760.h1.t1	AL2G11380
OG0000101	Aa_G160180.h1.t1	AL26U10050, AL3G41030
OG0000102	Aa_G577800.h1.t1	AL6G49150
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1	AL6G49090, AL320U10020
OG0000102	Aa_G132920.h1.t1	AL9U10550
OG0000102	Aa_G42050.h1.t1	AL6G49050
OG0000103	Aa_G261700.h1.t1	AL1G52720
OG0000103	Aa_G210380.h1.t1, Aa_G865350.h1.t1, Aa_G384960.h1.t1	AL8G17400, AL1G30370, AL8G10040, AL265U10010
OG0000106	Aa_G616180.h1.t1, Aa_G456270.h1.t1, Aa_G32140.h1.t1, Aa_G1008250.h2.t1, Aa_G1008250.h1.t1	AL6G40690
OG0000106	Aa_G264820.h1.t1	AL4G15570
OG0000107	Aa_G115060.h1.t1	AL3G33760
OG0000107	Aa_G323960.h1.t1	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	AL5G34730
OG0000108	Aa_G99370.h1.t1	AL5G25390, AL8G35810
OG0000108	Aa_G5290.h1.t1	AL3G23740
OG0000108	Aa_G537640.h1.t1, Aa_G152880.h1.t1	AL6G20220
OG0000108	Aa_G67360.h1.t1	AL4G40470, AL4G40460
OG0000110	Aa_G32020.h1.t1	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000114	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	AL6G40550
OG0000115	Aa_G264010.h1.t1	AL7G53080
OG0000115	Aa_G147990.h1.t1, Aa_G91540.h1.t1	AL431U10010
OG0000116	Aa_G342720.h1.t1	AL6G43140
OG0000117	Aa_G349950.h1.t1	AL1G37420
OG0000117	Aa_G62330.h1.t1	AL1G37270, AL1G37280
OG0000117	Aa_G62240.h1.t1	AL1G37400
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1	AL1G37330, AL1G37340
OG0000122	Aa_G592730.h1.t1	AL8G32110
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1	AL8G31960
OG0000125	Aa_G459870.h1.t1	AL4G23570
OG0000125	Aa_G257560.h1.t1	AL1G17740
OG0000125	Aa_G166390.h1.t1	AL1G55940
OG0000127	Aa_G552180.h1.t1	AL6G34020
OG0000127	Aa_G33880.h1.t1	AL189U10030, AL8G36480, AL5G24690
OG0000127	Aa_G69270.h1.t1	AL4G23250
OG0000128	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1	AL8G16450
OG0000128	Aa_G784880.h1.t1	AL5G41080
OG0000128	Aa_G271260.h1.t1	AL5G41090
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	AL2G18450, AL7G42310, AL5G41050
OG0000129	Aa_G323510.h1.t1	AL2G19870
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830
OG0000130	Aa_G198530.h1.t1	AL3G23800, nbis-gene-2009
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	AL5G36020
OG0000132	Aa_G75240.h1.t1	AL8G40480
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	AL315U10010, AL7G51940, AL7G52020, AL7G52000
OG0000134	Aa_G146330.h1.t1	AL1G67280, AL1G67230, AL1G67210
OG0000134	Aa_G84490.h1.t1	AL6G21880
OG0000137	Aa_G59090.h1.t1	AL8G30930
OG0000137	Aa_G925390.h1.t1	AL8G30910
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	AL8G30920
OG0000137	Aa_G643480.h1.t1	AL8G30890
OG0000138	Aa_G167750.h1.t1	AL5G45240
OG0000138	Aa_G154170.h1.t1	AL5G40800
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	AL5G40760
OG0000138	Aa_G244940.h1.t1	AL5G40870, AL5G40860
OG0000140	Aa_G89750.h1.t1	nbis-gene-927
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	AL1G23590
OG0000141	Aa_G521440.h1.t1, Aa_G193720.h1.t1	AL1G23480
OG0000141	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	AL2G13240
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	AL4G25960, AL4G15810
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	AL5G36230
OG0000151	Aa_G729400.h1.t1	AL5G36220
OG0000151	Aa_G351720.h1.t1	AL4G36690
OG0000151	Aa_G13900.h1.t1	AL5G34430
OG0000151	Aa_G30120.h1.t1	AL4G33730
OG0000151	Aa_G388320.h1.t1	AL6G24190
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	AL4G23880
OG0000153	Aa_G358520.h1.t1	AL4G23860
OG0000153	Aa_G310600.h1.t1	AL1G17600
OG0000154	Aa_G37000.h1.t1	AL6G29770, AL6G29780
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	AL481U10020
OG0000160	Aa_G190130.h1.t1	AL3G52950
OG0000160	Aa_G620370.h1.t1	AL7G22000
OG0000160	Aa_G307400.h1.t1	AL8G33330
OG0000160	Aa_G194510.h1.t1	AL3G44180
OG0000160	Aa_G490420.h1.t1	AL5G20850
OG0000160	Aa_G21590.h1.t1	AL2G40780
OG0000160	Aa_G41590.h1.t1	AL4G15040
OG0000161	Aa_G172360.h1.t1	AL1G16160, AL2G19110
OG0000162	Aa_G851370.h1.t1	AL8G17590
OG0000162	Aa_G363640.h1.t1	nbis-gene-1071, nbis-gene-1198, AL6G22950, AL5G13340, nbis-gene-1199, AL5G13350, AL7G52550, AL7G52570, AL3G42410, AL3G42400, AL3G42420, AL4G28810, AL4G28800
OG0000165	Aa_G266430.h1.t1	AL3G46810
OG0000165	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1	AL7G45500
OG0000167	Aa_G162040.h1.t1	nbis-gene-744, AL3G35120
OG0000169	Aa_G296310.h1.t1	AL9U10990
OG0000170	Aa_G48820.h1.t1	AL5G43250
OG0000171	Aa_G134060.h1.t1	AL8G28000
OG0000171	Aa_G688860.h1.t1	AL7G47650
OG0000171	Aa_G135580.h1.t1	AL2G10770
OG0000171	Aa_G70150.h1.t1	AL3G49460
OG0000171	Aa_G580840.h1.t1	AL8G31780
OG0000171	Aa_G24370.h1.t1	AL3G19690
OG0000171	Aa_G2000.h1.t1	AL7G24680
OG0000173	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1	AL7G13810
OG0000175	Aa_G101710.h1.t1	AL1G37260
OG0000175	Aa_G473510.h1.t1, Aa_G473510.h2.t1	AL2G16210
OG0000175	Aa_G775400.h2.t1, Aa_G453040.h2.t1, Aa_G453040.h1.t1, Aa_G775400.h1.t1	AL4G46720
OG0000176	Aa_G74650.h1.t1	AL1G47960
OG0000176	Aa_G319580.h1.t1, Aa_G319590.h1.t1	AL2G31050
OG0000176	Aa_G319560.h1.t1, Aa_G595900.h1.t1	AL2G31040
OG0000176	Aa_G245790.h1.t1, Aa_G319570.h1.t1	AL158U10030
OG0000177	Aa_G60820.h1.t1, Aa_G835800.h1.t1	AL1G34300, AL3G41650
OG0000178	Aa_G320630.h1.t1	AL6G47960
OG0000182	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1	AL5G43310, AL5G43300
OG0000182	Aa_G22640.h1.t1, Aa_G167450.h1.t1	AL7G51710, AL5G39240, AL1G52920, AL5G39230, AL5G39260
OG0000182	Aa_G591560.h1.t1, Aa_G600540.h1.t1, Aa_G302260.h1.t1	AL1G58410
OG0000182	Aa_G143210.h1.t1	AL5G20620, AL5G20610
OG0000183	Aa_G505900.h1.t1	AL2G24200, AL7G46650
OG0000185	Aa_G424840.h1.t1	AL1G49370, AL1G49350, AL1G49380
OG0000185	Aa_G328640.h1.t1, Aa_G328640.h2.t1	AL108U10030
OG0000185	Aa_G161250.h1.t1	AL1G52850
OG0000185	Aa_G464540.h1.t1, Aa_G464550.h1.t1	AL1G42110, AL1G41350
OG0000186	Aa_G218170.h1.t1	AL2G14230
OG0000187	Aa_G279240.h1.t1, Aa_G279230.h1.t1	nbis-gene-932, AL4G10910
OG0000187	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1	AL4G24590, AL4G24560, AL4G24330, AL4G24610, AL4G24350, AL4G24620, AL4G24340, AL4G24320
OG0000188	Aa_G606990.h1.t1	AL6G22480, AL6G22490, AL6G22600, AL3G14200
OG0000188	Aa_G4330.h1.t1	AL3G14720, AL3G14710
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	AL7G15090, AL3G50830
OG0000189	Aa_G180380.h1.t1, Aa_G70160.h1.t1	AL7G16200
OG0000189	Aa_G281740.h1.t1	AL2G35850
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	AL2G13220
OG0000195	Aa_G230200.h1.t1	AL7G46380
OG0000195	Aa_G376620.h1.t1	AL8G36490
OG0000196	Aa_G574390.h1.t1, Aa_G84820.h1.t1	AL7G47590, AL7G47570, AL7G47600, AL4G22240, AL7G47850
OG0000196	Aa_G201160.h1.t1, Aa_G165200.h1.t1	AL7G47540
OG0000196	Aa_G339760.h1.t1, Aa_G217260.h1.t1	AL7G48670
OG0000196	Aa_G229810.h1.t1	AL7G47550
OG0000197	Aa_G460250.h1.t1, Aa_G460270.h1.t1	AL7G34540, AL7G34550
OG0000197	Aa_G674860.h1.t1	AL7G34530
OG0000198	Aa_G509920.h1.t1	AL5G13150, AL5G10520
OG0000198	Aa_G278170.h1.t1	AL7G42370, AL5G10550
OG0000198	Aa_G328840.h1.t1	AL1G26980, AL1G27000
OG0000198	Aa_G272200.h1.t1	AL1G27010
OG0000198	Aa_G222140.h1.t1, Aa_G238450.h1.t1	AL5G15240
OG0000199	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1	AL1G59580, AL1G61110, AL1G54760
OG0000199	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1	AL7G22480, AL6G29250, AL6G29230, AL7G22490, AL7G22500
OG0000200	Aa_G37370.h1.t1	AL1G44060, AL1G44080
OG0000201	Aa_G427530.h1.t1, Aa_G703190.h1.t1, Aa_G900640.h1.t1, Aa_G337650.h1.t1, Aa_G556890.h1.t1, Aa_G455950.h1.t1, Aa_G38170.h1.t1, Aa_G297100.h1.t1, Aa_G254320.h1.t1, Aa_G734460.h1.t1, Aa_G210530.h1.t1, Aa_G528940.h1.t1, Aa_G155140.h1.t1, Aa_G400980.h1.t1, Aa_G182270.h1.t1, Aa_G869430.h1.t1, Aa_G906580.h1.t1, Aa_G584490.h1.t1, Aa_G17470.h1.t1, Aa_G947170.h1.t1, Aa_G319500.h1.t1, Aa_G265330.h1.t1, Aa_G473070.h1.t1, Aa_G989440.h1.t1, Aa_G818390.h1.t1, Aa_G802560.h1.t1, Aa_G412130.h1.t1, Aa_G2010.h1.t1, Aa_G502040.h1.t1, Aa_G630690.h1.t1, Aa_G177480.h1.t1, Aa_G350550.h1.t1, Aa_G46410.h1.t1, Aa_G106600.h1.t1, Aa_G634980.h1.t1, Aa_G907240.h1.t1	AL3G45630
