Orthogroup	Arabis_alpina	Alyssum_gmelinii
OG0000027	Aa_G200970.h1.t1	Ag077G5324400
OG0000027	Aa_G597270.h1.t1	Ag021G2620200
OG0000027	Aa_G200830.h1.t1	Ag033G3496400
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	Ag034G4010900
OG0000029	Aa_G248570.h1.t1	Ag002G0180900, Ag022G2648100
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	Aa_G152820.h1.t1	Ag013G1357800
OG0000032	Aa_G209100.h1.t1	Ag005G0786000
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	Ag093G5459200, Ag033G3498700
OG0000034	Aa_G191730.h1.t1	Ag033G3477100, Ag052G4847100
OG0000034	Aa_G317970.h1.t1, Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1, Aa_G58920.h1.t1	Ag048G4579800
OG0000034	Aa_G191690.h1.t1	Ag033G3500200, Ag093G5460400
OG0000034	Aa_G92800.h1.t1, Aa_G474070.h1.t1	Ag033G3498800, Ag093G5459400
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	Aa_G155360.h1.t1	Ag003G0378200
OG0000035	Aa_G275180.h1.t1	Ag023G2806500
OG0000035	Aa_G9270.h1.t1	Ag093G5463700
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	Ag046G4535300, Ag066G5171000, Ag024G2870100
OG0000042	Aa_G834810.h1.t1	Ag007G0876900, Ag096G5474100
OG0000042	Aa_G392560.h1.t1, Aa_G500830.h1.t1	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000042	Aa_G517310.h1.t1, Aa_G660430.h1.t1, Aa_G361630.h1.t1, Aa_G569810.h1.t1, Aa_G61910.h1.t1	Ag014G2104800
OG0000043	Aa_G30.h1.t1	Ag014G2139900, Ag038G4145200
OG0000044	Aa_G685510.h1.t1	Ag087G5424800
OG0000046	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1	Ag004G0691700
OG0000048	Aa_G154560.h1.t1	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	Aa_G584300.h1.t1	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	Aa_G570500.h1.t1	Ag062G5058500
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000051	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1	Ag034G3687900
OG0000051	Aa_G399340.h1.t1	Ag003G0386300, Ag003G0378700, Ag003G0386600
OG0000051	Aa_G599340.h1.t1	Ag003G0387300
OG0000055	Aa_G659190.h1.t1	Ag014G2041700
OG0000055	Aa_G253800.h1.t1	Ag039G4264100
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	Ag011G1149600, Ag011G1148500, Ag039G4248400
OG0000056	Aa_G162440.h1.t1	Ag002G0180000
OG0000058	Aa_G444220.h1.t1	Ag001G0033300, Ag033G3511000, Ag006G0820100
OG0000058	Aa_G527390.h1.t1	Ag007G0902800, Ag002G0124000, Ag002G0117600, Ag027G3030700, Ag004G0691500, Ag027G3040100, Ag048G4695000, Ag056G4940000
OG0000060	Aa_G448310.h5.t1	Ag031G3386000
OG0000060	Aa_G197130.h4.t1	Ag034G3746900
OG0000060	Aa_G550780.h7.t1	Ag004G0636900
OG0000060	Aa_G550780.h5.t1, Aa_G375890.h7.t1	Ag034G3744900
OG0000060	Aa_G367650.h5.t1	Ag013G1692700
OG0000060	Aa_G257700.h3.t1	Ag039G4308900
OG0000060	Aa_G318860.h7.t1	Ag016G2302600, Ag013G1610000
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000062	Aa_G8040.h1.t1	Ag044G4491100, Ag016G2329800, Ag034G3892100
OG0000062	Aa_G417500.h1.t1	Ag035G4080000, Ag066G5159400, Ag002G0144600, Ag003G0364100, Ag011G1174400
OG0000063	Aa_G677680.h1.t1, Aa_G821820.h1.t1	Ag031G3410300
OG0000065	Aa_G369740.h1.t1	Ag003G0361000
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	Ag016G2372900, Ag016G2372400, Ag016G2372600
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	Ag004G0438400, Ag013G1525900, Ag013G1525800, Ag016G2348500, Ag034G3765900, Ag034G3780100
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	Ag048G4702700
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000068	Aa_G72500.h1.t1	Ag042G4417500, Ag042G4417900, Ag042G4417800
OG0000068	Aa_G176470.h1.t1, Aa_G602860.h1.t1, Aa_G602850.h1.t1	Ag013G1504700, Ag048G4718500
OG0000069	Aa_G20960.h1.t1	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500
OG0000069	Aa_G24420.h1.t1	Ag048G4569500
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	Ag039G4215000
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Ag034G3976800
OG0000070	Aa_G410840.h1.t1	Ag048G4685000
OG0000070	Aa_G273730.h1.t1	Ag025G2960200, Ag025G2959800, Ag025G2962600, Ag025G2962700, Ag025G2947000, Ag025G2946300, Ag025G2959700, Ag025G2959400, Ag025G2974100, Ag025G2973400, Ag025G2973600, Ag025G2946200, Ag025G2946900
OG0000070	Aa_G349440.h1.t1, Aa_G349450.h1.t1	Ag031G3230400, Ag031G3231000, Ag031G3230900, Ag014G1944300, Ag031G3231400
OG0000072	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1	Ag051G4812200
OG0000072	Aa_G505780.h1.t1	Ag039G4320700
OG0000072	Aa_G159490.h1.t1, Aa_G742680.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1	Ag067G5173800, Ag020G2570900, Ag011G1215000, Ag022G2752500, Ag011G1246100, Ag001G0081500, Ag033G3527000, Ag011G1215100, Ag039G4238000, Ag055G4918900, Ag039G4305000, Ag068G5225100
OG0000072	Aa_G101840.h1.t1	Ag051G4819700, Ag051G4800700
OG0000073	Aa_G108990.h1.t1	Ag065G5125300, Ag015G2190800
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Ag011G1157100, Ag011G1157200, Ag011G1157900, Ag011G1158100, Ag011G1157500, Ag011G1157400, Ag011G1157700, Ag011G1157800, Ag011G1157600, Ag048G4682200, Ag011G1050300, Ag011G1158000, Ag034G3817800, Ag001G0065600, Ag001G0065500, Ag001G0065400
OG0000075	Aa_G254660.h1.t1	Ag011G1133100, Ag022G2654400
OG0000075	Aa_G136250.h1.t1	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	Aa_G137810.h1.t1	Ag011G1037000
OG0000077	Aa_G683270.h1.t1	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	Aa_G161010.h1.t1	Ag002G0173900, Ag034G3775500
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	Ag014G1810600
OG0000078	Aa_G339720.h1.t1	Ag014G1809300, Ag014G1810300
OG0000078	Aa_G339700.h1.t1, Aa_G759400.h1.t1, Aa_G438200.h1.t1	Ag014G1810500
OG0000078	Aa_G339730.h1.t1	Ag014G1810400
OG0000079	Aa_G160120.h1.t1	Ag013G1457500, Ag048G4621400, Ag034G3932500, Ag057G4952600, Ag031G3220200, Ag096G5473600, Ag004G0591700, Ag013G1365900, Ag011G1219700, Ag013G1389800, Ag004G0767900, Ag066G5147300
OG0000084	Aa_G572590.h1.t1, Aa_G204550.h1.t1, Aa_G896890.h1.t1, Aa_G278670.h1.t1, Aa_G454040.h1.t1, Aa_G40780.h1.t1, Aa_G128900.h1.t1	Ag087G5426100
OG0000086	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1	Ag039G4314100, Ag014G2067200, Ag014G2064700, Ag012G1307900, Ag014G2067300
OG0000086	Aa_G703520.h1.t1	Ag025G2922800, Ag036G4084000
OG0000089	Aa_G630880.h1.t1	Ag004G0519800
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	Ag055G4906500, Ag004G0479400
OG0000089	Aa_G199760.h1.t1	Ag013G1621300
OG0000089	Aa_G256660.h1.t1	Ag013G1488000
OG0000089	Aa_G103150.h1.t1	Ag016G2360800
OG0000089	Aa_G580380.h1.t1	Ag033G3591100
OG0000089	Aa_G562810.h1.t1	Ag023G2824600
OG0000089	Aa_G656110.h1.t1	Ag048G4693300
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Ag021G2604300, Ag013G1401800, Ag003G0404200
OG0000091	Aa_G15590.h1.t1	Ag004G0570300
OG0000091	Aa_G89050.h1.t1	Ag014G2119500, Ag014G2119400, Ag014G2119100
OG0000095	Aa_G54460.h1.t1	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000096	Aa_G32180.h1.t1	Ag014G2082600, Ag014G1901900, Ag014G2081900, Ag014G2083000, Ag044G4496300, Ag002G0165500
OG0000098	Aa_G539290.h1.t1	Ag004G0531500
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	Ag004G0531100, Ag004G0531000, Ag004G0559400, Ag004G0559300
OG0000100	Aa_G65760.h1.t1	Ag002G0112700, Ag063G5079400
OG0000102	Aa_G577800.h1.t1	Ag016G2365600
OG0000102	Aa_G42050.h1.t1	Ag016G2370800
OG0000105	Aa_G117390.h1.t1	Ag011G1082700
OG0000105	Aa_G84880.h1.t1	Ag011G1082400
OG0000105	Aa_G792870.h1.t1	Ag050G4782400
OG0000105	Aa_G65730.h1.t1	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900
OG0000107	Aa_G37190.h1.t1	Ag027G3070400, Ag014G2171000
OG0000107	Aa_G323970.h1.t1	Ag014G2148700
OG0000107	Aa_G323960.h1.t1	Ag014G2149800, Ag014G2150100
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	Ag031G3385800, Ag039G4307100
OG0000108	Aa_G99370.h1.t1, Aa_G27970.h1.t1	Ag004G0614200, Ag004G0644200
OG0000108	Aa_G5290.h1.t1	Ag014G1944700
OG0000108	Aa_G537640.h1.t1	Ag052G4856100
OG0000108	Aa_G152880.h1.t1	Ag013G1537900
OG0000108	Aa_G429520.h1.t1	Ag025G2965600
OG0000108	Aa_G67360.h1.t1	Ag003G0396500
OG0000110	Aa_G32020.h1.t1	Ag029G3103900, Ag001G0067200, Ag060G5005400, Ag010G1016200
OG0000113	Aa_G35860.h1.t1	Ag013G1466300, Ag013G1360400, Ag024G2868000, Ag004G0725300, Ag014G2165200, Ag002G0185300, Ag004G0724400, Ag052G4861000, Ag078G5366500, Ag078G5365400, Ag078G5365900, Ag051G4836400, Ag023G2829100, Ag039G4333000, Ag011G1261400, Ag022G2665900, Ag066G5167600, Ag058G4992600
OG0000115	Aa_G264010.h1.t1	Ag032G3465800
OG0000115	Aa_G1023650.h1.t1	Ag033G3499700
OG0000117	Aa_G349950.h1.t1	Ag019G2506600, Ag018G2460700
OG0000117	Aa_G62330.h1.t1	Ag088G5442700
OG0000117	Aa_G62240.h1.t1	Ag018G2454400, Ag018G2459300
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1	Ag022G2713800, Ag018G2459500, Ag018G2459700
OG0000117	Aa_G349960.h1.t1	Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000119	Aa_G251660.h1.t1	Ag034G3967000
OG0000120	Aa_G248300.h1.t1	Ag001G0032000
OG0000121	Aa_G527420.h1.t1, Aa_G180200.h1.t1	Ag038G4148800, Ag002G0147900
OG0000122	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1	Ag011G1267200
OG0000122	Aa_G592740.h1.t1	Ag004G0718500
OG0000125	Aa_G257560.h1.t1	Ag034G3743800
OG0000125	Aa_G166390.h1.t1	Ag001G0065100
OG0000127	Aa_G552180.h1.t1	Ag004G0605400
OG0000127	Aa_G506920.h1.t1, Aa_G403520.h1.t1	Ag014G1898000
OG0000127	Aa_G318840.h1.t1, Aa_G318820.h1.t1, Aa_G33880.h1.t1, Aa_G69270.h1.t1	Ag013G1609800
OG0000128	Aa_G271300.h1.t1	Ag031G3245400, Ag031G3245300, Ag031G3245200
OG0000128	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1	Ag031G3351100
OG0000128	Aa_G319030.h1.t1	Ag031G3250200
OG0000128	Aa_G784880.h1.t1	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	Aa_G271260.h1.t1	Ag031G3246700
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	Aa_G323510.h1.t1	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000132	Aa_G75240.h1.t1	Ag004G0468600, Ag004G0468500
OG0000132	Aa_G478490.h1.t1, Aa_G110070.h1.t1	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000132	Aa_G462110.h1.t1	Ag048G4639100
OG0000132	Aa_G75250.h1.t1	Ag022G2700300
OG0000134	Aa_G84490.h1.t1	Ag013G1506600
OG0000134	Aa_G69050.h1.t1	Ag033G3544500
OG0000136	Aa_G1053460.h1.t1	Ag002G0180300
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	Ag004G0742000
OG0000137	Aa_G643480.h1.t1	Ag004G0742500, Ag004G0742600
OG0000138	Aa_G154170.h1.t1, Aa_G175690.h1.t1, Aa_G175700.h1.t1, Aa_G449520.h1.t1, Aa_G724730.h1.t1	Ag031G3253900
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	Ag033G3506400, Ag078G5363200
OG0000138	Aa_G244940.h1.t1	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800, Ag031G3402200
OG0000140	Aa_G89750.h1.t1	Ag027G3064900
OG0000140	Aa_G394930.h1.t1	Ag002G0186700
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	Ag039G4233000
OG0000140	Aa_G752660.h1.t1, Aa_G17020.h1.t1, Aa_G217680.h1.t1, Aa_G112920.h1.t1, Aa_G370590.h1.t1, Aa_G234310.h1.t1, Aa_G908230.h1.t1, Aa_G650540.h1.t1, Aa_G341600.h1.t1	Ag014G2136000
OG0000150	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	Ag031G3356400
OG0000151	Aa_G729400.h1.t1	Ag031G3356700
OG0000151	Aa_G351720.h1.t1	Ag039G4248200
OG0000151	Aa_G13900.h1.t1	Ag031G3389200
OG0000151	Aa_G30120.h1.t1	Ag039G4314300
OG0000151	Aa_G388320.h1.t1	Ag013G1463800
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	Ag013G1617600, Ag013G1618100
OG0000153	Aa_G35530.h1.t1	Ag013G1615700
OG0000153	Aa_G173900.h1.t1	Ag013G1615400
OG0000154	Aa_G37000.h1.t1	Ag001G0045800
OG0000154	Aa_G507510.h1.t1, Aa_G507500.h1.t1	Ag053G4872200
OG0000154	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1	Ag001G0059900, Ag001G0060000, Ag001G0060200, Ag001G0060100, Ag001G0060300, Ag001G0045900
OG0000155	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100
OG0000155	Aa_G506350.h1.t1, Aa_G50920.h1.t1	Ag013G1584700
OG0000158	Aa_G223250.h1.t1	Ag011G1092000
OG0000158	Aa_G270230.h1.t1, Aa_G446770.h1.t1	Ag014G1900800
OG0000159	Aa_G50020.h1.t1	Ag011G1125800, Ag002G0098700, Ag002G0120500
OG0000160	Aa_G190130.h1.t1	Ag042G4405700
OG0000160	Aa_G620370.h1.t1	Ag068G5221600
OG0000160	Aa_G307400.h1.t1	Ag004G0692900
OG0000160	Aa_G241680.h1.t1	Ag007G0857500
OG0000160	Aa_G21590.h1.t1	Ag048G4572800
OG0000161	Aa_G172360.h1.t1	Ag015G2193300, Ag055G4906800
OG0000162	Aa_G851370.h1.t1	Ag013G1672500
OG0000162	Aa_G363640.h1.t1	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300, Ag011G1163200, Ag011G1165500, Ag011G1166800, Ag034G3894100, Ag022G2725000, Ag022G2724900, Ag022G2725100, Ag014G2098100, Ag013G1672600
OG0000164	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1	Ag039G4325700
OG0000165	Aa_G285150.h1.t1	Ag004G0623500, Ag025G2946100, Ag016G2292600, Ag006G0843300, Ag004G0621300, Ag025G2946000
OG0000165	Aa_G266430.h1.t1	Ag014G1928400
OG0000166	Aa_G98930.h1.t1	Ag078G5376600
OG0000167	Aa_G162040.h1.t1	Ag003G0383500, Ag003G0383700
OG0000169	Aa_G296310.h1.t1	Ag031G3259300, Ag031G3259700, Ag031G3259400, Ag027G3044600, Ag013G1504100, Ag013G1503900
OG0000170	Aa_G48820.h1.t1	Ag031G3214600
OG0000170	Aa_G385160.h1.t1, Aa_G16070.h1.t1, Aa_G16100.h1.t1	Ag003G0320400
OG0000170	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200
OG0000171	Aa_G134060.h1.t1	Ag020G2575200
OG0000171	Aa_G135580.h1.t1	Ag024G2869500
OG0000171	Aa_G70150.h1.t1	Ag044G4495800
OG0000171	Aa_G580840.h1.t1	Ag004G0721800
OG0000171	Aa_G24370.h1.t1	Ag014G1883300
OG0000171	Aa_G2000.h1.t1	Ag010G1018000
OG0000173	Aa_G139550.h1.t1, Aa_G187970.h1.t1, Aa_G187960.h1.t1	Ag060G4997300, Ag060G4996700, Ag060G4997500, Ag060G4997700, Ag060G4996200, Ag060G4997100, Ag022G2648900, Ag022G2648400, Ag022G2648200, Ag067G5186700, Ag011G1085300
OG0000174	Aa_G311760.h4.t1, Aa_G311760.h7.t1, Aa_G311760.h3.t1, Aa_G311760.h1.t1, Aa_G311760.h5.t1, Aa_G311760.h2.t1, Aa_G311760.h6.t1	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200
OG0000175	Aa_G101710.h1.t1	Ag034G4063600
OG0000175	Aa_G193050.h1.t1	Ag034G3791700, Ag002G0234800
OG0000177	Aa_G86910.h1.t1	Ag034G3999000
OG0000177	Aa_G507530.h1.t1	Ag034G3998800
OG0000178	Aa_G320630.h1.t1	Ag066G5142800
OG0000178	Aa_G320670.h1.t1	Ag066G5144100, Ag066G5143400
OG0000182	Aa_G22640.h1.t1, Aa_G167450.h1.t1	Ag013G1406700
OG0000183	Aa_G505900.h1.t1	Ag061G5037800
OG0000183	Aa_G88530.h2.t1, Aa_G562480.h1.t1, Aa_G562480.h2.t1, Aa_G88530.h1.t1	Ag031G3311200
OG0000183	Aa_G337660.h1.t1	Ag004G0583300
OG0000183	Aa_G9100.h1.t1	Ag039G4185200
OG0000184	Aa_G310780.h1.t1	Ag027G3048800
OG0000184	Aa_G420960.h1.t1, Aa_G420970.h1.t1	Ag027G3046600
OG0000185	Aa_G161250.h1.t1	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600
OG0000185	Aa_G464540.h1.t1, Aa_G464550.h1.t1	Ag032G3420100
OG0000186	Aa_G218170.h1.t1	Ag039G4226500, Ag031G3213700
OG0000187	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1	Ag034G3783000
OG0000188	Aa_G606990.h1.t1	Ag063G5067000, Ag002G0125500, Ag014G1815800
OG0000188	Aa_G462700.h1.t1	Ag014G2100300
OG0000188	Aa_G4330.h1.t1	Ag042G4428600, Ag042G4412400, Ag014G1989600
OG0000189	Aa_G514660.h1.t1, Aa_G459730.h1.t1	Ag011G1112900
OG0000189	Aa_G70160.h1.t1	Ag044G4495700
OG0000189	Aa_G266390.h1.t1	Ag034G3975000
OG0000189	Aa_G281740.h1.t1	Ag048G4687900
OG0000191	Aa_G26980.h1.t1	Ag033G3514800, Ag031G3293800, Ag052G4855700, Ag004G0666500, Ag022G2668400, Ag011G1171900, Ag015G2179500, Ag002G0258300
OG0000192	Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G184310.h1.t1, Aa_G457510.h1.t1	Ag034G3846600, Ag050G4764200, Ag034G3846200, Ag016G2290200
OG0000195	Aa_G376620.h1.t1	Ag004G0630200, Ag004G0631000
OG0000196	Aa_G165200.h1.t1	Ag075G5300100, Ag011G1221400
