Orthogroup	Arabis_alpina	Rorippa_islandica
OG0000014	Aa_G17450.h1.t1	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p
OG0000015	Aa_G982290.h1.t1	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000016	Aa_G370.h1.t1	Roisl.0082s0070.1.p, Roisl.0010s0034.1.p, Roisl.0184s0188.1.p, Roisl.0014s0103.1.p, Roisl.0087s0003.1.p, Roisl.0191s0682.1.p, Roisl.0029s0058.1.p, Roisl.0189s0040.1.p, Roisl.0012s0157.1.p, Roisl.0020s0151.1.p, Roisl.0209s0003.1.p
OG0000016	Aa_G850.h1.t1	Roisl.0089s0006.1.p, Roisl.0021s0645.1.p
OG0000016	Aa_G830.h1.t1	Roisl.0040s0014.1.p
OG0000016	Aa_G380.h1.t1, Aa_G870.h1.t1	Roisl.0053s0038.1.p, Roisl.0009s0286.1.p
OG0000016	Aa_G890.h1.t1	Roisl.0191s0327.1.p, Roisl.0188s0008.1.p, Roisl.0082s0535.1.p, Roisl.0045s0107.1.p
OG0000016	Aa_G540.h1.t1, Aa_G280.h1.t1	Roisl.0213s0002.1.p
OG0000020	Aa_G135640.h1.t1	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p, Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p, Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p, Roisl.0082s0242.1.p
OG0000022	Aa_G447870.h1.t1	Roisl.0210s1365.1.p
OG0000022	Aa_G830960.h1.t1	Roisl.0008s0014.1.p, Roisl.0010s0121.1.p
OG0000022	Aa_G319760.h1.t1	Roisl.0028s0598.1.p
OG0000022	Aa_G10820.h1.t1	Roisl.0021s0368.1.p
OG0000022	Aa_G22660.h1.t1	Roisl.0091s0926.1.p
OG0000022	Aa_G97120.h1.t1	Roisl.0009s0109.1.p, Roisl.0074s0275.1.p
OG0000024	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	Aa_G230140.h1.t1	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	Aa_G387540.h1.t1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p, Roisl.0213s0858.1.p, Roisl.0022s0006.1.p
OG0000026	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1	Roisl.0213s0871.1.p
OG0000027	Aa_G597290.h1.t1	Roisl.0213s0584.1.p
OG0000027	Aa_G643320.h1.t1	Roisl.0213s0585.1.p, Roisl.0213s0581.1.p
OG0000027	Aa_G200970.h1.t1	Roisl.0008s0130.1.p, Roisl.0008s0132.1.p, Roisl.0184s0130.1.p, Roisl.0184s0131.1.p, Roisl.0008s0071.1.p
OG0000027	Aa_G92870.h1.t1, Aa_G92760.h1.t1, Aa_G494730.h1.t1	Roisl.0184s0126.1.p
OG0000027	Aa_G522580.h1.t1	Roisl.0184s0129.1.p
OG0000027	Aa_G200950.h1.t1, Aa_G200910.h1.t1	Roisl.0008s0080.1.p
OG0000027	Aa_G200900.h1.t1	Roisl.0008s0079.1.p
OG0000027	Aa_G191740.h1.t1	Roisl.0008s0076.1.p
OG0000027	Aa_G200830.h1.t1	Roisl.0008s0072.1.p
OG0000028	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p
OG0000028	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p, Roisl.0053s0335.1.p, Roisl.0008s0342.1.p, Roisl.0001s0209.1.p, Roisl.0053s0333.1.p, Roisl.0053s0334.1.p, Roisl.0091s1124.1.p, Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p, Roisl.0024s0660.1.p, Roisl.0052s0013.1.p
OG0000029	Aa_G248570.h1.t1	Roisl.0208s0029.1.p
OG0000029	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1	Roisl.0046s0887.1.p
OG0000030	Aa_G152820.h1.t1	Roisl.0046s0886.1.p
OG0000032	Aa_G209100.h1.t1	Roisl.0005s0192.1.p
OG0000034	Aa_G782810.h1.t1, Aa_G619140.h1.t1	Roisl.0008s0068.1.p
OG0000034	Aa_G191730.h1.t1	Roisl.0008s0077.1.p
OG0000034	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	Aa_G58920.h1.t1	Roisl.0091s0190.1.p
OG0000034	Aa_G522590.h1.t1	Roisl.0213s0592.1.p
OG0000034	Aa_G191700.h1.t1	Roisl.0214s0904.1.p
OG0000034	Aa_G191690.h1.t1	Roisl.0214s0905.1.p
OG0000035	Aa_G7660.h1.t1, Aa_G44290.h1.t1	Roisl.0213s0218.1.p
OG0000035	Aa_G9270.h1.t1	Roisl.0214s0147.1.p
OG0000041	Aa_G135690.h1.t1	Roisl.0046s0022.1.p
OG0000042	Aa_G963460.h1.t1, Aa_G338960.h1.t1, Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p
OG0000042	Aa_G834810.h1.t1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	Aa_G528960.h1.t1	Roisl.0214s0122.1.p
OG0000043	Aa_G30.h1.t1	Roisl.0209s0166.1.p, Roisl.0210s1685.1.p, Roisl.0214s0265.1.p, Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000044	Aa_G685510.h1.t1	Roisl.0005s0167.1.p
OG0000044	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1	Roisl.0210s2195.1.p
OG0000044	Aa_G313590.h1.t1	Roisl.0005s0150.1.p
OG0000044	Aa_G33030.h1.t1	Roisl.0079s0325.1.p
OG0000044	Aa_G791970.h1.t1	Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p
OG0000047	Aa_G631350.h1.t1	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p
OG0000048	Aa_G20510.h1.t1	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	Aa_G154560.h1.t1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1	Roisl.0006s0337.1.p
OG0000048	Aa_G584300.h1.t1	Roisl.0017s0510.1.p
OG0000048	Aa_G312310.h1.t1	Roisl.0074s0908.1.p
OG0000050	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	Aa_G263310.h1.t1, Aa_G634370.h1.t1, Aa_G7430.h1.t1	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000051	Aa_G592860.h1.t1	Roisl.0210s2097.1.p
OG0000051	Aa_G678670.h1.t1	Roisl.0082s0147.1.p
OG0000051	Aa_G599340.h1.t1	Roisl.0028s0722.1.p
OG0000055	Aa_G659190.h1.t1	Roisl.0053s0284.1.p
OG0000056	Aa_G534290.h1.t1	Roisl.0209s0766.1.p
OG0000056	Aa_G615080.h1.t1	Roisl.0209s0767.1.p
OG0000056	Aa_G47070.h1.t1, Aa_G534300.h1.t1, Aa_G488300.h1.t1	Roisl.0209s0597.1.p
OG0000056	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p, Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	Aa_G162440.h1.t1	Roisl.0209s0402.1.p
OG0000060	Aa_G257700.h7.t1	Roisl.0080s0272.1.p
OG0000060	Aa_G448310.h7.t1	Roisl.0209s0337.1.p
OG0000060	Aa_G318860.h3.t1	Roisl.0080s0305.1.p
OG0000060	Aa_G375890.h7.t1	Roisl.0091s1062.1.p
OG0000060	Aa_G197130.h3.t1	Roisl.0046s1351.1.p
OG0000060	Aa_G550780.h6.t1	Roisl.0209s0295.1.p
OG0000060	Aa_G318860.h7.t1	Roisl.0082s0647.1.p
OG0000061	Aa_G496010.h1.t1, Aa_G380720.h1.t1	Roisl.0045s0092.1.p
OG0000061	Aa_G235680.h1.t1	Roisl.0002s0176.1.p
OG0000065	Aa_G756440.h1.t1, Aa_G190950.h1.t1	Roisl.0024s0085.1.p, Roisl.0024s0064.1.p, Roisl.0024s0067.1.p, Roisl.0024s0060.1.p, Roisl.0024s0071.1.p, Roisl.0024s0082.1.p, Roisl.0024s0079.1.p, Roisl.0214s0743.1.p, Roisl.0024s0073.1.p, Roisl.0024s0063.1.p, Roisl.0024s0076.1.p
OG0000065	Aa_G439610.h1.t1	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p, Roisl.0046s0034.1.p
OG0000065	Aa_G574220.h1.t1	Roisl.0046s0032.1.p
OG0000065	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1	Roisl.0213s0852.1.p
OG0000066	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p
OG0000066	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1	Roisl.0001s0457.1.p
OG0000068	Aa_G484940.h1.t1, Aa_G389030.h1.t1	Roisl.0034s0163.1.p
OG0000069	Aa_G20960.h1.t1	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p
OG0000069	Aa_G536480.h1.t1	Roisl.0213s0875.1.p
OG0000069	Aa_G707760.h1.t1, Aa_G190520.h1.t1	Roisl.0013s0226.1.p
OG0000069	Aa_G396900.h1.t1	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p
OG0000069	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1	Roisl.0055s0038.1.p
OG0000070	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1	Roisl.0021s0078.1.p
OG0000070	Aa_G433160.h1.t1, Aa_G266320.h1.t1	Roisl.0007s0115.1.p
OG0000070	Aa_G410840.h1.t1	Roisl.0004s0297.1.p
OG0000073	Aa_G108990.h1.t1	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p, Roisl.0053s0105.1.p
OG0000075	Aa_G374860.h1.t1, Aa_G374850.h1.t1	Roisl.0214s0076.1.p, Roisl.0001s0517.1.p
OG0000075	Aa_G136250.h1.t1	Roisl.0001s0516.1.p
OG0000075	Aa_G545910.h1.t1	Roisl.0006s0180.1.p
OG0000076	Aa_G137810.h1.t1	Roisl.0115s0707.1.p
OG0000077	Aa_G362960.h1.t1, Aa_G122040.h1.t1	Roisl.0012s0354.1.p
OG0000077	Aa_G683270.h1.t1	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p
OG0000077	Aa_G160980.h1.t1	Roisl.0021s0004.1.p
OG0000077	Aa_G161010.h1.t1	Roisl.0214s0806.1.p
OG0000078	Aa_G339740.h1.t1	Roisl.0016s0323.1.p
OG0000078	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1	Roisl.0016s0321.1.p
OG0000078	Aa_G339720.h1.t1	Roisl.0016s0324.1.p
OG0000083	Aa_G482960.h1.t1, Aa_G871750.h1.t1	Roisl.0209s0532.1.p
OG0000084	Aa_G572590.h1.t1	Roisl.0214s0736.1.p
OG0000086	Aa_G108450.h1.t1	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	Aa_G703520.h1.t1	Roisl.0032s0015.1.p, Roisl.0024s0029.1.p, Roisl.0024s0030.1.p, Roisl.0209s0075.1.p
OG0000089	Aa_G630880.h1.t1	Roisl.0210s2052.1.p
OG0000089	Aa_G409550.h1.t1, Aa_G88860.h1.t1	Roisl.0209s0395.1.p
OG0000089	Aa_G199760.h1.t1	Roisl.0082s0748.1.p
OG0000089	Aa_G256660.h1.t1	Roisl.0210s0950.1.p
OG0000089	Aa_G103150.h1.t1	Roisl.0012s0263.1.p
OG0000089	Aa_G580380.h1.t1	Roisl.0091s0246.1.p
OG0000089	Aa_G562810.h1.t1	Roisl.0028s0886.1.p
OG0000089	Aa_G656110.h1.t1	Roisl.0007s0134.1.p, Roisl.0004s0314.1.p
OG0000090	Aa_G663410.h1.t1	Roisl.0072s0004.1.p, Roisl.0082s0485.1.p
OG0000090	Aa_G84800.h1.t1, Aa_G329020.h1.t1	Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p
OG0000091	Aa_G363940.h1.t1	Roisl.0209s0467.1.p
OG0000091	Aa_G296240.h1.t1	Roisl.0209s0464.1.p
OG0000091	Aa_G123680.h1.t1, Aa_G100910.h1.t1	Roisl.0209s0418.1.p
OG0000091	Aa_G425870.h1.t1, Aa_G89040.h1.t1	Roisl.0209s0473.1.p
OG0000091	Aa_G15590.h1.t1	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	Aa_G15570.h1.t1	Roisl.0214s0193.1.p
OG0000091	Aa_G89050.h1.t1	Roisl.0209s0428.1.p
OG0000091	Aa_G614510.h1.t1, Aa_G273740.h1.t1	Roisl.0209s0470.1.p
OG0000092	Aa_G542470.h1.t1	Roisl.0066s0386.1.p
OG0000095	Aa_G54460.h1.t1	Roisl.0214s0044.1.p
OG0000095	Aa_G271110.h1.t1	Roisl.0214s0031.1.p
OG0000096	Aa_G32180.h1.t1	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p, Roisl.0028s0009.1.p, Roisl.0028s0010.1.p, Roisl.0074s0977.1.p, Roisl.0204s0040.1.p
OG0000098	Aa_G539290.h1.t1	Roisl.0038s0014.1.p
OG0000098	Aa_G70590.h1.t1, Aa_G539300.h1.t1	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p, Roisl.0082s0469.1.p, Roisl.0046s0209.1.p
OG0000100	Aa_G65950.h1.t1	Roisl.0209s0693.1.p
OG0000100	Aa_G65760.h1.t1	Roisl.0214s0220.1.p
OG0000102	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	Aa_G132920.h1.t1	Roisl.0082s0310.1.p
OG0000102	Aa_G42050.h1.t1	Roisl.0082s0306.1.p
OG0000105	Aa_G117390.h1.t1	Roisl.0210s0842.1.p
OG0000105	Aa_G792870.h1.t1	Roisl.0005s0217.1.p
OG0000105	Aa_G616120.h1.t1	Roisl.0050s0109.1.p
OG0000105	Aa_G65730.h1.t1	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p
OG0000105	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1	Roisl.0009s0283.1.p
OG0000107	Aa_G323960.h1.t1	Roisl.0115s0429.1.p
OG0000107	Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1	Roisl.0115s0325.1.p
OG0000108	Aa_G367680.h1.t1, Aa_G576740.h1.t1	Roisl.0017s0109.1.p
OG0000108	Aa_G99370.h1.t1	Roisl.0209s0353.1.p
OG0000108	Aa_G5290.h1.t1	Roisl.0074s0792.1.p
OG0000108	Aa_G152880.h1.t1	Roisl.0210s0691.1.p
OG0000108	Aa_G67360.h1.t1	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p
OG0000110	Aa_G578120.h1.t1	Roisl.0023s0015.1.p
OG0000110	Aa_G32020.h1.t1	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p
OG0000114	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p
OG0000114	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1	Roisl.0024s0009.1.p, Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p, Roisl.0179s0081.1.p
OG0000116	Aa_G358570.h1.t1	Roisl.0056s0063.1.p, Roisl.0019s0048.1.p, Roisl.0046s0709.1.p
OG0000117	Aa_G62330.h1.t1	Roisl.0191s0190.1.p, Roisl.0191s0189.1.p, Roisl.0191s0191.1.p
OG0000117	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1	Roisl.0191s0196.1.p
OG0000122	Aa_G551010.h1.t1, Aa_G550960.h1.t1	Roisl.0080s0688.1.p
OG0000122	Aa_G592730.h1.t1	Roisl.0080s0689.1.p
OG0000122	Aa_G379620.h1.t1	Roisl.0080s0694.1.p
OG0000122	Aa_G592740.h1.t1	Roisl.0080s0684.1.p
OG0000123	Aa_G655250.h1.t1, Aa_G655250.h2.t1	Roisl.0021s0620.1.p
OG0000125	Aa_G459870.h1.t1	Roisl.0082s0686.1.p, Roisl.0082s0679.1.p
OG0000125	Aa_G257560.h1.t1	Roisl.0091s1034.1.p
OG0000125	Aa_G166390.h1.t1	Roisl.0013s0044.1.p
OG0000127	Aa_G552180.h1.t1	Roisl.0210s1950.1.p
OG0000127	Aa_G33880.h1.t1	Roisl.0080s0276.1.p
OG0000127	Aa_G69270.h1.t1	Roisl.0082s0645.1.p
OG0000128	Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1	Roisl.0019s0650.1.p
OG0000128	Aa_G784880.h1.t1	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p
OG0000128	Aa_G271260.h1.t1	Roisl.0018s0038.1.p
OG0000128	Aa_G430920.h1.t1, Aa_G469560.h1.t1	Roisl.0018s0034.1.p
OG0000129	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1	Roisl.0080s0056.1.p, Roisl.0080s0057.1.p, Roisl.0204s0037.1.p, Roisl.0204s0045.1.p, Roisl.0189s0223.1.p
OG0000132	Aa_G482030.h1.t1, Aa_G359110.h1.t1	Roisl.0046s1480.1.p
OG0000132	Aa_G75240.h1.t1	Roisl.0024s0217.1.p
OG0000134	Aa_G146330.h1.t1	Roisl.0214s0845.1.p, Roisl.0214s0851.1.p
OG0000134	Aa_G360810.h1.t1	Roisl.0091s0127.1.p
OG0000134	Aa_G578400.h1.t1	Roisl.0195s0021.1.p
OG0000136	Aa_G1053460.h1.t1	Roisl.0055s0066.1.p
OG0000137	Aa_G59090.h1.t1	Roisl.0080s0795.1.p
OG0000137	Aa_G925390.h1.t1	Roisl.0080s0802.1.p
OG0000137	Aa_G732190.h1.t1, Aa_G643460.h1.t1	Roisl.0080s0798.1.p
OG0000137	Aa_G643480.h1.t1	Roisl.0080s0800.1.p
OG0000138	Aa_G154170.h1.t1	Roisl.0018s0009.1.p
OG0000138	Aa_G517130.h1.t1, Aa_G154110.h1.t1	Roisl.0018s0007.1.p
OG0000138	Aa_G244940.h1.t1	Roisl.0018s0015.1.p, Roisl.0018s0013.1.p
OG0000140	Aa_G394930.h1.t1	Roisl.0047s0081.1.p
OG0000140	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1	Roisl.0047s0080.1.p, Roisl.0046s0059.1.p, Roisl.0083s0051.1.p, Roisl.0201s0007.1.p
OG0000140	Aa_G520870.h1.t1, Aa_G786940.h1.t1, Aa_G108880.h1.t1	Roisl.0002s0129.1.p, Roisl.0011s0081.1.p
OG0000140	Aa_G341600.h1.t1	Roisl.0040s0019.1.p
OG0000140	Aa_G197860.h1.t1	Roisl.0005s0334.1.p
OG0000141	Aa_G124650.h1.t1, Aa_G366140.h1.t1	Roisl.0021s0319.1.p
OG0000141	Aa_G329600.h1.t1, Aa_G391060.h2.t1, Aa_G391060.h1.t1	Roisl.0023s0060.1.p
OG0000141	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1	Roisl.0209s0568.1.p, Roisl.0209s0569.1.p, Roisl.0010s0046.1.p, Roisl.0010s0047.1.p, Roisl.0184s0160.1.p, Roisl.0209s0570.1.p, Roisl.0010s0044.1.p
OG0000141	Aa_G492220.h1.t1	Roisl.0010s0063.1.p, Roisl.0010s0064.1.p
OG0000151	Aa_G329140.h1.t1, Aa_G566620.h1.t1	Roisl.0046s1506.1.p
OG0000151	Aa_G729400.h1.t1	Roisl.0046s1505.1.p
OG0000151	Aa_G351720.h1.t1	Roisl.0017s0307.1.p
OG0000151	Aa_G13900.h1.t1	Roisl.0046s1329.1.p
OG0000151	Aa_G30120.h1.t1	Roisl.0017s0076.1.p
OG0000151	Aa_G388320.h1.t1	Roisl.0210s1053.1.p
OG0000153	Aa_G49000.h1.t1, Aa_G235730.h1.t1	Roisl.0209s0522.1.p, Roisl.0082s0712.1.p
OG0000153	Aa_G358520.h1.t1	Roisl.0082s0715.1.p
OG0000153	Aa_G35530.h1.t1	Roisl.0082s0714.1.p
OG0000153	Aa_G310600.h1.t1	Roisl.0091s1018.1.p
OG0000153	Aa_G173900.h1.t1	Roisl.0082s0719.1.p
OG0000154	Aa_G37000.h1.t1	Roisl.0006s0138.1.p
OG0000158	Aa_G223250.h1.t1	Roisl.0046s0594.1.p, Roisl.0046s1609.1.p
OG0000159	Aa_G50020.h1.t1	Roisl.0029s0024.1.p
OG0000160	Aa_G190130.h1.t1	Roisl.0066s0007.1.p
OG0000160	Aa_G620370.h1.t1	Roisl.0003s0027.1.p
OG0000160	Aa_G307400.h1.t1	Roisl.0080s0566.1.p
OG0000160	Aa_G194510.h1.t1	Roisl.0214s0132.1.p
OG0000160	Aa_G241680.h1.t1	Roisl.0213s0001.1.p
