Orthogroup	Capsella_rubella	Aethionema_saxatile
OG0000090	XP_023637791.1	As004G082910
OG0000090	XP_006302938.1	As003G065330
OG0000090	XP_023637735.1, XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1, XP_006295429.1, XP_023638023.1, XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1, XP_006305612.2	As012G273080
OG0000093	XP_006292664.2, XP_023638587.1, XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1	As012G284680, As012G284700, As012G284660
OG0000096	XP_006281971.1	As004G087370, As004G087300, As004G087270
OG0000097	XP_006288252.1	As004G086430, As004G086420, As004G086450, As004G086440
OG0000098	XP_006301979.2, XP_023644396.1, XP_006306386.2	As008G184800, As008G185150, As008G185550, As008G185540, As008G184910, As008G186330
OG0000104	XP_006296547.2	As006G129180, As006G129160
OG0000104	XP_006306741.1, XP_023645225.1	As012G271190, As012G271200
OG0000104	XP_023640019.1, XP_006293405.1	As006G129190
OG0000106	XP_023638935.1, XP_006297929.1, XP_006299978.1, XP_006297893.1	As002G041170, As002G041390, As002G041440
OG0000107	XP_006299861.1	As011G252300, As011G252330, As011G252210, As011G252280, As011G252200, As011G252220
OG0000107	XP_023642039.1, XP_006299064.2, XP_006290930.1, XP_006289895.1, XP_006297460.1	As011G252340
OG0000108	XP_006289986.1, XP_006289767.1, XP_023635773.1, XP_006305026.1, XP_006300240.1, XP_023641898.1, XP_006297881.1, XP_006292655.1	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000112	XP_006281753.1	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	XP_006286802.2, XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1, XP_006282379.2, XP_023640588.1, XP_023640573.1, XP_006279879.2, XP_023640358.1, XP_023643420.1, XP_023643303.1, XP_023643595.1, XP_023641389.1, XP_023638531.1, XP_023634080.1, XP_023634084.1, XP_023634083.1	As006G137050, As006G137080
OG0000116	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	XP_006289226.1, XP_006289953.1, XP_006289914.1	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000123	XP_006303793.1	As008G183790, As008G183770
OG0000123	XP_006292772.1	As008G183730, As008G183740
OG0000123	XP_006306407.1, XP_006285014.1, XP_023634253.1	As008G183720
OG0000125	XP_006292034.1	As006G146230, As012G277440
OG0000125	XP_006298831.2, XP_006286660.1	As005G107620
OG0000125	XP_006289049.1	As005G113770
OG0000125	XP_006281264.1	As005G114700, As010G224880
OG0000127	XP_023646069.1	As008G186430, As008G186390, As008G185640
OG0000136	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2	As001G028730
OG0000138	XP_023638093.1	As010G224060
OG0000138	XP_006291108.1, XP_023639277.1, XP_023638690.1	As001G027950, As001G027940, As007G161530
OG0000140	XP_006279478.2	As005G115230
OG0000140	XP_023641991.1, XP_023640932.1, XP_023642636.1, XP_023640928.1, XP_006280067.1, XP_006280069.1	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000143	XP_023644612.1	As007G177750
OG0000145	XP_023634435.1	As004G091580
OG0000146	XP_006281729.1, XP_006280772.1	As002G047180
OG0000146	XP_023637930.1, XP_006281726.2, XP_006281991.1	As002G047190
OG0000147	XP_006296920.1	As011G265720
OG0000147	XP_006282542.1	As001G002190
OG0000147	XP_006282289.1	As002G049060
OG0000147	XP_023643729.1	As010G243490
OG0000147	XP_006279360.1	As010G227330
OG0000147	XP_006279406.1	As011G259420
OG0000149	XP_023639042.1, XP_023633454.1, XP_023638653.1, XP_023638620.1, XP_006292697.1	As010G224610
OG0000150	XP_023638877.1, XP_006292836.2, XP_006292499.2, XP_006291315.2, XP_006296419.2, XP_006295986.2, XP_023638901.1	As010G225180, As010G225220, As010G225210
OG0000151	XP_006284700.1	As007G166070
OG0000151	XP_006298742.1	As006G141980, As006G133740
OG0000151	XP_006298751.1	As011G263600
OG0000151	XP_006281239.2	As002G047900
OG0000151	XP_006302865.2, XP_006284706.1	As001G030700
OG0000154	XP_006306285.1	As007G152520
OG0000154	XP_006297173.1	As009G210670
OG0000154	XP_006297174.1	As002G034300
OG0000154	XP_006287234.1	As005G107550
OG0000155	XP_006286160.1, XP_006289794.2, XP_023643783.1, XP_023634855.1	As003G059350
OG0000155	XP_023640442.1	As003G059230, As003G059200
OG0000156	XP_006292819.2	As012G287040, As012G287050
OG0000156	XP_023639945.1	As005G101590, As008G189910, As005G101570, As005G101560, As005G101580
OG0000156	XP_006293280.2	As001G028010
OG0000161	XP_023635333.1, XP_023645120.1, XP_023640860.1, XP_023640089.1, XP_023644195.1, XP_023637621.1, XP_023644191.1	As001G013550, As001G029600, As001G029610
OG0000162	XP_006292318.1	As012G286460
OG0000162	XP_006293088.1	As012G286400, As012G286420, As012G286480, As012G286450, As012G286430, As012G286540, As012G286510, As012G286530, As012G286410, As012G286470, As012G286550, As012G286570
OG0000162	XP_006294103.1	As005G102210
OG0000164	XP_006285583.1, XP_006303757.2	As011G264140, As011G262780
OG0000167	XP_023634123.1	As003G057890
OG0000171	XP_006305640.2	As007G159620, As001G020870
OG0000171	XP_006302886.1	As003G073770
OG0000171	XP_023635842.1	As009G200410
OG0000175	XP_006293293.1	As010G220360
OG0000175	XP_006305647.1	As007G156270
OG0000175	XP_006282726.1	As011G263590
OG0000175	XP_006296623.1	As011G264780, As003G072250
OG0000184	XP_023640341.1	As004G089570
OG0000187	XP_023634987.1	As001G003940
OG0000187	XP_006283864.1	As001G003960
OG0000190	XP_006289433.1, XP_006286464.1, XP_006286371.1, XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1, XP_023635847.1, XP_006289234.1, XP_006286467.1, XP_006286468.1	As004G085680
OG0000191	XP_006299132.1	As007G152760
OG0000195	XP_006302967.1, XP_006284698.1	As001G028840
OG0000195	XP_006286601.1, XP_023639142.1	As002G033300
OG0000200	XP_006279047.1	As008G194290
OG0000203	XP_006289243.1, XP_006289137.1, XP_006286705.1	As006G136770
OG0000204	XP_006296746.1	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590
OG0000206	XP_023634705.1	As003G068620, As001G006580
OG0000207	XP_006300476.1, XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1, XP_023633659.1	As003G061070
OG0000208	XP_006285226.1, XP_006283573.1, XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1	As003G075160
OG0000213	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1	As002G038840
OG0000217	XP_006300342.1, XP_006300602.2, XP_006301589.1, XP_023643817.1, XP_023643476.1, XP_006300712.1	As001G019850
OG0000217	XP_006301247.2, XP_023644098.1, XP_023643741.1	As007G177020
OG0000218	XP_006305966.2, XP_006306087.1, XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1, XP_006291995.1	As001G022650
OG0000219	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1	As001G028500, As001G028480
OG0000219	XP_023633471.1	As003G064990
OG0000220	XP_023632799.1	As010G225590, As010G227890
OG0000224	XP_006301754.1, XP_006302386.1	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	XP_006299068.1, XP_006291286.1, XP_006300513.1, XP_006301062.1, XP_006301004.1	As001G031540
OG0000225	XP_006305710.2, XP_006304552.1, XP_023632576.1, XP_006305771.1, XP_006304293.1, XP_006305764.1, XP_006304484.1	As003G069680, As003G070050
OG0000228	XP_006289231.1	As007G159250
OG0000228	XP_023644384.1	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	XP_006283372.1	As004G077900
OG0000231	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1	As001G028220
OG0000232	XP_006296962.1, XP_006296911.1, XP_023632678.1, XP_006296942.1, XP_006296914.1, XP_006286443.2	As002G036540, As006G139020
OG0000234	XP_006292545.1	As012G281460
OG0000234	XP_006292248.1, XP_006295608.1	As006G143800
OG0000234	XP_006287124.2	As009G210340
OG0000237	XP_023634310.1	As011G257810
OG0000242	XP_006300202.1, XP_006297317.1, XP_023645571.1, XP_023645989.1, XP_006307291.2, XP_006307178.2	As008G183340, As008G183330
OG0000244	XP_006284545.1	As003G059930
OG0000244	XP_006289916.1	As004G085820
OG0000244	XP_006289300.1	As004G085870
OG0000244	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1	As003G059920, As003G059880, As003G059910, As003G059890, As003G059900
OG0000244	XP_006289616.1, XP_006289215.1	As004G085860, As004G085850
OG0000248	XP_006302421.1	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	XP_006296366.1	As006G145310
OG0000249	XP_006294087.1, XP_006294083.1	As006G145330, As008G193990, As006G145350, As006G145320
OG0000257	XP_023642301.1	As002G035710, As012G268510
OG0000258	XP_006282010.1	As002G048970
OG0000264	XP_006290182.1	As004G086270, As010G229170
OG0000268	XP_006292510.2	As001G023230
OG0000268	XP_023643441.1	As001G023220, As001G023200
OG0000268	XP_006287367.1	As005G106920
OG0000268	XP_006292488.1	As012G278370
OG0000271	XP_006289516.1	As004G086280
OG0000273	XP_006281771.1	As007G156970
OG0000273	XP_006307122.1, XP_006304613.1, XP_006304877.1	As012G273480
OG0000274	XP_006281238.1	As005G114920
OG0000274	XP_006295138.1	As006G128840, As006G128830
OG0000276	XP_006285657.1	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000276	XP_006289633.1, XP_006290193.1	As011G256110
OG0000276	XP_006286226.1	As007G163350, As007G163430
OG0000277	XP_006286199.1, XP_006284824.1, XP_006284826.1, XP_006284827.1, XP_006284817.1	As004G096710
OG0000279	XP_023635807.1, XP_023639599.1, XP_023641906.1	As001G004840, As010G237280
OG0000282	XP_006290020.1	As002G055220
OG0000283	XP_006282331.1	As006G125110
OG0000283	XP_006282074.1, XP_006282173.1, XP_006281683.1	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	XP_006286819.1, XP_006279117.1, XP_006286567.1	As006G139300
OG0000284	XP_006298183.1	As006G139290
OG0000293	XP_023644238.1, XP_023634606.1, XP_023638025.1, XP_023637692.1	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	XP_006297742.2	As011G249490
OG0000294	XP_006294372.1	As006G145420
OG0000294	XP_006294369.1	As005G099900
OG0000294	XP_006287904.1	As006G122700
OG0000294	XP_006305011.1	As008G198060
OG0000295	XP_006300449.1	As011G246810
OG0000297	XP_006286101.1	As008G198730
OG0000297	XP_006282294.1	As005G114280
OG0000299	XP_006290340.1, XP_006292669.1	As010G241870, As010G241880
OG0000299	XP_023645495.1	As012G267900
OG0000303	XP_023639308.1, XP_023634711.1	As003G069740
OG0000308	XP_006282439.1, XP_023635159.1	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	XP_006282038.1	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	XP_023636500.1	As009G202530
OG0000311	XP_006306121.1	As012G273730
OG0000311	XP_006298020.1	As011G249880
OG0000311	XP_006284008.1	As004G077290
OG0000311	XP_006300523.1	As001G029000
OG0000313	XP_006285692.2	As003G058420
OG0000313	XP_006286118.1	As007G163450, As007G163440
OG0000314	XP_006304190.1	As008G195840
OG0000314	XP_006293513.1, XP_006306317.1	As006G125760
OG0000315	XP_023638680.1, XP_023640099.1, XP_023633445.1	As006G137990, As006G137760
OG0000316	XP_023634679.1, XP_006300905.2	As008G187440, As008G187910
OG0000319	XP_006307728.2, XP_006280459.1	As006G129730, As005G114310, As008G191530
OG0000321	XP_006285871.1, XP_023634323.1, XP_006285685.1, XP_006282490.1, XP_006283651.2, XP_006282573.1, XP_006286231.1	As001G010170
OG0000322	XP_006301427.1	As009G214030
OG0000322	XP_006295765.1, XP_006301907.1	As007G153590
OG0000323	XP_023635692.1	As002G045490
OG0000323	XP_006284880.1	As005G112480
OG0000327	XP_023633034.1	As008G195090, As008G195100, As011G263130
OG0000329	XP_006296449.1, XP_006292850.2, XP_023640002.1, XP_006293050.1, XP_006290449.1, XP_006293245.1, XP_023637513.1	As007G180560
OG0000332	XP_006301274.1	As001G030000
OG0000332	XP_006286664.1, XP_006286795.1	As002G033230
OG0000332	XP_006307493.1, XP_006279139.1	As011G251780, As012G272450
OG0000334	XP_023639259.1	As012G277630
OG0000334	XP_006295761.1, XP_006287213.1	As006G146780
OG0000339	XP_006284249.1	As003G061400
OG0000339	XP_006288376.1	As006G121550
OG0000339	XP_006294736.1, XP_023639059.1	As005G101130, As012G287430
OG0000340	XP_006295770.1	As005G103820
OG0000340	XP_006295306.1, XP_006303050.1, XP_023640952.1	As005G103800, As005G103810
OG0000348	XP_023633819.1	As002G041810
OG0000348	XP_006279286.2	As002G040050
OG0000349	XP_023644259.1	As003G071960
OG0000350	XP_023633107.1	As003G070220, As003G070200
OG0000351	XP_006299223.1	As011G246700, As011G246690
OG0000351	XP_006304904.2, XP_006300014.1	As007G177900
OG0000352	XP_023645432.1	As007G153380
OG0000358	XP_006288844.1, XP_006303184.2	As006G124930, As008G196330
OG0000358	XP_006281260.2, XP_006289613.1, XP_006289891.1	As008G196390
OG0000359	XP_006293384.1	As012G275420
OG0000360	XP_023644261.1, XP_006281815.1	As005G119730
OG0000362	XP_006304551.1	As006G134970
OG0000368	XP_006283601.1, XP_023634749.1	As003G073560, As003G073580
OG0000368	XP_023643598.1, XP_006302152.1, XP_006283582.1, XP_006283585.1	As003G073600, As003G073590
OG0000370	XP_006305429.2, XP_006305827.1, XP_006284329.1, XP_006302461.1	As007G153440
OG0000371	XP_006304409.1, XP_023640112.1, XP_006303834.1	As005G099710, As005G099720
OG0000372	XP_006285843.1, XP_006282347.1, XP_006286272.1, XP_006285601.1, XP_006284992.1	As006G132540, As006G132550
OG0000374	XP_023634983.1, XP_023634596.1	As012G273470, As012G273550
OG0000377	XP_006302482.1	As001G021080
OG0000378	XP_023633308.1, XP_023644476.1	As003G067400
OG0000382	XP_006292743.1, XP_006305654.1, XP_006288715.1	As006G122900
OG0000382	XP_023645205.1	As008G188710, As001G018980
OG0000383	XP_023644905.1, XP_023645696.1, XP_023646002.1, XP_023637173.1, XP_023632684.1, XP_023640959.1	As003G069230
OG0000383	XP_023644902.1, XP_023644904.1	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	XP_006304019.1, XP_023644983.1	As011G247740
OG0000386	XP_023638827.1, XP_006292223.1	As012G276900, As012G276880
OG0000389	XP_006290300.2	As001G003830
OG0000390	XP_006299181.1	As011G251840
OG0000391	XP_006307682.2	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	XP_023638913.1, XP_006293141.1	As010G221200, As010G221190, As010G221180
OG0000396	XP_006290512.1	As001G026970
OG0000396	XP_006292607.1, XP_006292374.1, XP_023638714.1, XP_023638075.1	As001G026990, As001G027000, As001G027010
OG0000398	XP_006306130.1	As012G268810
OG0000402	XP_023637155.1	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000403	XP_006301572.1	As001G020780, As001G020790
OG0000404	XP_006295174.1, XP_006298737.1, XP_006292003.1, XP_006299325.2	As012G276100
OG0000406	XP_023637148.1, XP_006289583.1, XP_023637147.1, XP_006291357.2, XP_006300073.1	As006G136090
OG0000407	XP_023637686.1, XP_006289140.2, XP_023637593.1, XP_006289675.1, XP_023637647.1, XP_023644520.1, XP_023637726.1	As009G201130, As009G201860
OG0000410	XP_023642947.1, XP_023643047.1, XP_006300306.1, XP_023644075.1, XP_023643050.1, XP_023643049.1	As001G021670, As001G021680
OG0000411	XP_006300332.1	As001G022090
OG0000411	XP_006298837.1	As011G261620
OG0000411	XP_006288911.1	As004G085710
OG0000411	XP_023633999.1	As003G060010
OG0000412	XP_006281244.2	As002G046400
OG0000412	XP_006284751.1	As006G132500
OG0000412	XP_006303412.1	As012G271680
OG0000413	XP_006300251.2	As011G245460
OG0000413	XP_023635326.1, XP_006279506.2	As002G048240
OG0000413	XP_023645893.1	As012G268650
OG0000414	XP_006307227.1, XP_006307169.1, XP_023632699.1, XP_023632865.1, XP_006303963.1, XP_006285161.1, XP_006285030.1	As003G058750, As003G058770, As003G058760
OG0000415	XP_023637706.1, XP_006289424.1, XP_006296273.1	As005G104640
OG0000416	XP_023640386.1	As006G125710
OG0000416	XP_023645769.1, XP_006295764.1	As006G127220, As008G194210
OG0000417	XP_006299592.1, XP_006297713.1, XP_023636129.1, XP_006289254.1	As007G163710, As008G186410
OG0000420	XP_023640666.1	As010G222670
OG0000420	XP_023633408.1	As001G015280
OG0000421	XP_006282503.1, XP_006285342.2, XP_006286228.2, XP_006286150.1	As004G078160, As004G078150
OG0000422	XP_006305357.1, XP_006304701.1, XP_006305369.1	As008G188280, As008G188290, As008G188300
OG0000423	XP_006302320.1	As010G241040
OG0000423	XP_006307670.1	As011G245910
OG0000429	XP_006289091.1	As009G215310
OG0000429	XP_006289984.1	As002G052030
OG0000429	XP_006296156.2	As001G004910
OG0000430	XP_006298687.1	As011G263500
OG0000430	XP_006286099.1	As001G014590
OG0000430	XP_006295960.1	As007G181940
OG0000431	XP_006302194.1	As001G019780
OG0000431	XP_006306441.1, XP_006307429.1	As008G187750
OG0000432	XP_006280097.1	As002G044400
OG0000432	XP_006287183.1, XP_006280101.1, XP_006280103.1	As002G047750
OG0000433	XP_023643825.1, XP_006301857.1, XP_006301880.2	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000436	XP_023640362.1, XP_006285100.1, XP_006284780.1, XP_006298740.2	As011G266430, As002G048360
OG0000438	XP_006289684.1, XP_006289723.1	As004G085300
OG0000439	XP_006304792.1	As008G194170
OG0000439	XP_006292538.1	As012G285510
OG0000439	XP_006294594.1	As006G127290
OG0000440	XP_006295520.1, XP_006295974.1, XP_006289912.1	As006G136440
OG0000441	XP_006297709.1	As011G248660
OG0000441	XP_023641538.1, XP_006296757.1	As011G248650
OG0000446	XP_006281265.1	As009G219000
OG0000446	XP_006291992.1	As001G023650
OG0000446	XP_006303395.1	As008G183010
OG0000447	XP_023641550.1	As011G247170
OG0000447	XP_006295560.1	As004G081330
OG0000447	XP_006306466.1	As003G069220
OG0000448	XP_006281442.1, XP_006281981.1, XP_006281516.1, XP_006281658.1	As004G089550
OG0000449	XP_006292022.1	As010G224860
OG0000449	XP_006281292.1	As005G114720
OG0000449	XP_006292028.1	As010G224870
OG0000449	XP_006281290.1	As005G114730
OG0000452	XP_006281550.1	As001G002300, As001G002310
OG0000454	XP_023644524.1, XP_006281315.1, XP_006281300.1, XP_006281568.2, XP_006281328.1	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	XP_006303658.2, XP_006293092.1, XP_023633217.1, XP_006303688.1, XP_006301304.1	As007G178440
OG0000458	XP_006282237.1	As002G043040
OG0000459	XP_006293054.1, XP_006282900.1, XP_006282805.1	As003G058960
OG0000460	XP_023644131.1	As005G099100
OG0000461	XP_023633292.1	As008G199680
OG0000462	XP_006303689.1, XP_006304775.1, XP_006295549.1, XP_006285966.1, XP_006285952.1, XP_006285494.1, XP_006282881.1, XP_006292281.1	As009G214710
OG0000463	XP_006291138.1, XP_006291127.1, XP_006292340.1, XP_023639149.1, XP_023638349.1, XP_023638317.1	As010G224360, As010G224370
OG0000466	XP_006301651.2, XP_006299219.1	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000468	XP_006292723.1	As012G280020
OG0000468	XP_023639637.1	As006G125920
OG0000468	XP_023640971.1	As006G144160
OG0000471	XP_006306115.1, XP_006306520.1, XP_006281547.1	As003G069540, As003G069550
OG0000472	XP_006283966.1	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	XP_006286126.1	As004G097020
OG0000474	XP_006291971.1, XP_006284663.1, XP_006296532.1	As009G216860, As011G261780, As010G222300
OG0000477	XP_006280972.1, XP_006288484.1	As003G057970
OG0000477	XP_006298349.1	As004G084280, As009G211280
OG0000480	XP_023644207.1	As001G013010
OG0000481	XP_006302389.1	As001G021880
OG0000482	XP_006302885.1	As004G077750
OG0000483	XP_006281715.2	As002G047220
OG0000484	XP_023633912.1, XP_006279896.1, XP_006279894.1	As009G203850
OG0000486	XP_006305621.1	As001G013050, As001G013370
OG0000487	XP_006304841.1	As006G137570, As008G196100, As006G129680, As006G125350
OG0000495	XP_006294189.1, XP_006294197.1, XP_006294227.2	As007G179430, As007G177930
OG0000496	XP_023636009.1	As011G256460, As011G256470, As002G041620, As001G004760, As001G012100, As004G090800, As001G012090, As007G177440
OG0000497	XP_006305364.1	As009G210870, As009G211010
OG0000498	XP_006280881.1	As002G045150
OG0000499	XP_006283965.1	As003G056720
OG0000499	XP_006297960.1	As011G246530
OG0000499	XP_006297957.1	As012G269540
OG0000500	XP_006282208.1	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000501	XP_006305314.1	As010G232220
OG0000504	XP_006288904.1, XP_006295241.1	As006G143860
OG0000504	XP_006298823.1	As002G037010, As002G034340
