Orthogroup	Capsella_rubella	Cardamine_glauca
OG0000040	XP_023641336.1, XP_023642658.1, XP_006296044.1	Cg004G137150
OG0000040	XP_006297884.1	Cg004G136640
OG0000042	XP_023640353.1	Cg008G310640, Cg008G309000
OG0000044	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1	Cg001G029670
OG0000045	XP_023633361.1	Cg003G091810
OG0000045	XP_023635342.1	Cg002G064420
OG0000046	XP_006286158.2	Cg001G022610
OG0000046	XP_023638604.1, XP_023638598.1, XP_006290694.2	Cg001G037990
OG0000046	XP_023643067.1	Cg007G266760
OG0000046	XP_023643066.1, XP_023643076.1	Cg007G266630
OG0000046	XP_023644283.1	Cg007G266640
OG0000048	XP_006296650.2	Cg004G119550
OG0000048	XP_023636997.1	Cg008G298370
OG0000052	XP_006304062.1	Cg006G242960
OG0000052	XP_023640868.1	Cg005G163550
OG0000052	XP_023640455.1, XP_023640454.1, XP_023640425.1	Cg003G084890
OG0000052	XP_023640424.1	Cg005G163540
OG0000052	XP_023639525.1	Cg005G187360
OG0000053	XP_006290464.1	Cg003G084420
OG0000055	XP_006301460.1	Cg007G248480
OG0000055	XP_006292456.1	Cg002G060080
OG0000055	XP_006302241.1	Cg007G248550
OG0000055	XP_006300465.1	Cg007G248380
OG0000055	XP_006302237.1	Cg007G248360
OG0000055	XP_006301193.1	Cg007G248540, Cg007G248530
OG0000057	XP_023641570.1	Cg004G133930
OG0000061	XP_023634808.1, XP_023638026.1	Cg003G083990, Cg008G318200
OG0000062	XP_023645325.1	Cg010G326150
OG0000064	XP_023634774.1	Cg001G000750
OG0000064	XP_006295567.2	Cg005G172820
OG0000064	XP_006281621.1	Cg008G322800
OG0000066	XP_006304375.1	Cg006G226080
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	Cg003G113360
OG0000067	XP_023633398.1, XP_023642606.1, XP_023637635.1, XP_006289558.2, XP_006286541.1	Cg008G283860, Cg008G284100, Cg008G284110, Cg008G284020, Cg008G283610
OG0000070	XP_023634145.1	Cg005G186370
OG0000071	XP_006301047.2	Cg005G184980
OG0000071	XP_023646042.1, XP_023644298.1	Cg008G307480, Cg003G105610
OG0000072	XP_023634490.1, XP_023637389.1, XP_023634624.1	Cg008G307960
OG0000073	XP_023634969.1	Cg004G150010
OG0000073	XP_023636248.1	Cg008G302430
OG0000074	XP_006304415.2	Cg006G222170, Cg006G222270, Cg006G222260, Cg006G222250
OG0000074	XP_023644784.1, XP_006303494.2	Cg006G222210
OG0000074	XP_006304618.2	Cg006G222280
OG0000074	XP_023644792.1	Cg006G222290
OG0000074	XP_023632781.1	Cg006G222160
OG0000074	XP_006306462.1	Cg006G222200
OG0000074	XP_006306513.2	Cg006G222190
OG0000074	XP_006304583.1	Cg006G222340
OG0000074	XP_023632777.1	Cg006G222180
OG0000075	XP_006287874.1, XP_006296766.1	Cg008G291500, Cg008G290800, Cg008G290770
OG0000075	XP_023633371.1	Cg004G148530
OG0000075	XP_006289118.1	Cg001G033430, Cg006G221290, Cg008G323300
OG0000076	XP_006291102.1	Cg002G057890
OG0000076	XP_006291114.1, XP_006291129.1	Cg002G054100
OG0000076	XP_006301891.2, XP_006301896.2	Cg007G272900
OG0000077	XP_006286716.1	Cg004G151030, Cg005G160440
OG0000078	XP_023634352.1	Cg002G071190
OG0000079	XP_006297834.2, XP_006297586.1	Cg004G118210
OG0000079	XP_006293285.1, XP_006290714.1	Cg002G047470
OG0000079	XP_023639082.1	Cg005G185620
OG0000079	XP_006292365.1	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	XP_023634933.1	Cg005G158270
OG0000080	XP_023640829.1	Cg005G177050, Cg005G176650
OG0000080	XP_006286287.2	Cg005G177060
OG0000083	XP_023644310.1	Cg008G322860
OG0000083	XP_006299852.1	Cg004G140430, Cg004G140410, Cg004G140440
OG0000083	XP_023639559.1, XP_006293700.1, XP_006293701.1	Cg005G190480
OG0000083	XP_006299638.1	Cg004G121150
OG0000084	XP_006295595.1	Cg005G189580
OG0000084	XP_006296376.2	Cg005G189500
OG0000087	XP_006287738.1	Cg008G303510
OG0000087	XP_006294210.1	Cg005G177380
OG0000087	XP_006292748.1, XP_006291122.1	Cg003G110470, Cg002G060160
OG0000087	XP_006289933.1	Cg008G292710
OG0000087	XP_006281513.1	Cg008G320640
OG0000087	XP_006283733.1	Cg001G020160
OG0000087	XP_006307490.1	Cg006G225960
OG0000087	XP_006302256.1	Cg007G276340
OG0000088	XP_023639002.1	Cg005G181240, Cg002G059450
OG0000088	XP_023636467.1, XP_023635698.1	Cg001G039390, Cg008G300920
OG0000088	XP_023644362.1	Cg003G090240, Cg003G095710
OG0000089	XP_006287952.1	Cg008G290150
OG0000089	XP_006297920.1	Cg004G135460
OG0000089	XP_006297921.1	Cg004G127880
OG0000089	XP_006291307.1	Cg003G107020
OG0000090	XP_006304273.1	Cg006G225800
OG0000090	XP_023637791.1	Cg008G317760, Cg011G329140
OG0000090	XP_006302938.1	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1	Cg001G005770
OG0000090	XP_006305612.2	Cg006G235770
OG0000093	XP_006292664.2	Cg002G047960
OG0000093	XP_023638587.1	Cg002G047970
OG0000093	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1	Cg004G145440, Cg004G145260
OG0000093	XP_006293093.1	Cg002G047940
OG0000093	XP_006292197.1	Cg002G048030
OG0000093	XP_006290426.1	Cg002G048040
OG0000096	XP_023643297.1	Cg007G252880
OG0000096	XP_006292432.2	Cg002G073910
OG0000096	XP_006293218.1, XP_006292790.1	Cg002G073940
OG0000096	XP_006292755.1	Cg002G073930
OG0000096	XP_006292566.2, XP_006300965.2, XP_006292626.2	Cg002G073840
OG0000096	XP_006280897.2	Cg003G082280
OG0000097	XP_006288252.1	Cg003G079780, Cg003G094240
OG0000097	XP_006289089.1	Cg003G079750, Cg003G094280
OG0000097	XP_006288348.1	Cg001G029830, Cg001G029870
OG0000097	XP_006288400.1	Cg003G079730, Cg003G094300
OG0000097	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1	Cg003G094290, Cg003G079740
OG0000098	XP_023644337.1	Cg007G253040, Cg007G249450
OG0000099	XP_006299358.1, XP_006301980.1, XP_023637514.1, XP_006301668.1	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	XP_006300517.1, XP_023643964.1	Cg007G249510
OG0000100	XP_006295777.2	Cg006G202960, Cg007G265000
OG0000100	XP_023638959.1	Cg008G316000
OG0000100	XP_023638089.1	Cg004G147730, Cg002G069740
OG0000104	XP_023645280.1	Cg006G238510
OG0000104	XP_006296547.2	Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930
OG0000104	XP_006296171.1	Cg005G177920
OG0000104	XP_023645616.1	Cg006G200560
OG0000104	XP_006299926.1	Cg004G138340
OG0000104	XP_006293405.1	Cg005G178070
OG0000106	XP_006297929.1	Cg004G135900, Cg004G134980, Cg004G134990
OG0000106	XP_006299978.1	Cg004G136130
OG0000107	XP_006300030.1, XP_006297457.1	Cg004G136910
OG0000107	XP_023642039.1, XP_006299064.2	Cg004G136920
OG0000108	XP_006305026.1	Cg008G306430
OG0000108	XP_006292655.1	Cg007G245680, Cg007G245670
OG0000110	XP_006291045.1	Cg002G047270
OG0000110	XP_006290900.1	Cg002G047280
OG0000110	XP_006291075.1	Cg002G047240
OG0000110	XP_006291049.1	Cg002G047300, Cg002G047310, Cg005G186820
OG0000110	XP_023639093.1, XP_023639092.1	Cg007G269260
OG0000111	XP_006291215.1	Cg002G051630
OG0000112	XP_006281753.1	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460
OG0000114	XP_006282379.2, XP_023640588.1, XP_023640573.1, XP_006279879.2	Cg008G318090
OG0000118	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1	Cg003G083280, Cg003G083300
OG0000120	XP_006301308.1, XP_006301329.1	Cg007G250010, Cg007G249930
OG0000120	XP_006284913.2	Cg001G027290
OG0000120	XP_006281901.1	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000122	XP_023633416.1	Cg003G086890, Cg003G103770
OG0000122	XP_023633528.1, XP_023633504.1	Cg003G103810
OG0000122	XP_006281709.1	Cg003G103790
OG0000123	XP_006306328.1, XP_006304016.1	Cg006G218510, Cg006G218490
OG0000123	XP_006292772.1	Cg006G232300
OG0000123	XP_023634253.1	Cg001G029000, Cg001G029020
OG0000124	XP_006285982.2	Cg008G309160
OG0000124	XP_023641922.1	Cg002G063920, Cg003G086460
OG0000125	XP_006292034.1	Cg002G052860
OG0000125	XP_006298831.2, XP_006286660.1	Cg008G283340
OG0000125	XP_006289049.1	Cg008G302630
OG0000125	XP_006281264.1	Cg003G107610
OG0000125	XP_006292010.1	Cg002G061230, Cg002G061270
OG0000126	XP_023640332.1	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	XP_006289415.1	Cg007G262300, Cg007G263860
OG0000127	XP_006300213.2	Cg004G124780
OG0000127	XP_023646069.1, XP_023637594.1	Cg007G262280
OG0000136	XP_006291706.2	Cg001G037100
OG0000137	XP_023635269.1	Cg001G041290
OG0000138	XP_023638093.1	Cg001G039000
OG0000138	XP_006282515.2	Cg008G324060
OG0000138	XP_006291108.1, XP_023639277.1, XP_023638690.1	Cg002G067580, Cg002G067290
OG0000139	XP_023634523.1	Cg005G182990
OG0000140	XP_023638993.1	Cg002G060210
OG0000140	XP_006279478.2	Cg003G106820
OG0000140	XP_023641991.1	Cg003G106800
OG0000140	XP_023640932.1, XP_023642636.1, XP_023640928.1	Cg003G106450
OG0000140	XP_006280067.1, XP_006280069.1	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	XP_023640128.1	Cg005G177670
OG0000142	XP_006294819.1	Cg005G176030
OG0000146	XP_006280761.2	Cg003G102630
OG0000146	XP_006280742.1	Cg003G102640
OG0000146	XP_006281729.1	Cg003G102600
OG0000146	XP_006280772.1	Cg003G098470, Cg003G098480
OG0000146	XP_023637930.1	Cg003G102620
OG0000146	XP_006281991.1	Cg003G102610
OG0000147	XP_006296920.1	Cg004G155250
OG0000147	XP_006282542.1	Cg001G010340
OG0000147	XP_006289260.2	Cg003G081980
OG0000147	XP_006282289.1	Cg003G104960
OG0000147	XP_023643729.1	Cg007G280860
OG0000147	XP_006279406.1	Cg004G146670
OG0000147	XP_006293643.2	Cg005G189880
OG0000149	XP_023639042.1	Cg003G107300, Cg003G107310
OG0000149	XP_023633454.1	Cg003G107330, Cg003G107340
OG0000149	XP_023638653.1	Cg003G082350, Cg003G107280
OG0000149	XP_006292697.1	Cg002G060920
OG0000150	XP_023638877.1, XP_006292836.2, XP_006292499.2	Cg002G064460
OG0000150	XP_006291315.2	Cg001G004220, Cg002G061890, Cg002G061810
OG0000150	XP_006296419.2, XP_006295986.2	Cg005G186200
OG0000150	XP_006293090.1, XP_023638900.1, XP_023639195.1	Cg002G061900
OG0000151	XP_006281266.1	Cg003G100170
OG0000151	XP_006284700.1	Cg001G012710
OG0000151	XP_006298742.1	Cg004G124340
OG0000151	XP_006298751.1	Cg004G152640
OG0000151	XP_006281239.2	Cg003G103430
OG0000151	XP_006302865.2, XP_006284706.1	Cg007G246070
OG0000152	XP_023632652.1	Cg006G206580
OG0000154	XP_006306285.1	Cg006G229860
OG0000154	XP_006297173.1	Cg004G128290
OG0000154	XP_006297174.1	Cg004G125060
OG0000154	XP_006287234.1	Cg008G283240
OG0000154	XP_006290203.1	Cg008G283230
OG0000155	XP_006286160.1	Cg001G013440
OG0000155	XP_023634855.1	Cg001G019650
OG0000155	XP_006300024.2	Cg004G127780
OG0000156	XP_006292819.2	Cg002G045690
OG0000156	XP_023640714.1	Cg005G160240
OG0000156	XP_023639945.1	Cg005G160250
OG0000157	XP_023642688.1	Cg004G141270
OG0000158	XP_006279441.2, XP_006282189.2	Cg001G008080
OG0000158	XP_006289701.2, XP_006289843.2	Cg005G184100
OG0000160	XP_006299187.2, XP_006296651.2, XP_006301503.2, XP_006296775.2, XP_006304881.2	Cg007G264990, Cg006G202970
OG0000160	XP_023639459.1, XP_023643350.1, XP_023644208.1	Cg003G091850
OG0000161	XP_023635333.1, XP_023645120.1	Cg003G109710, Cg003G109720, Cg003G109690
OG0000161	XP_023640860.1, XP_023640089.1	Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	XP_023644195.1	Cg007G262070, Cg007G264010
OG0000161	XP_023637621.1	Cg006G215310
OG0000161	XP_023644191.1	Cg007G261320
OG0000161	XP_023644193.1	Cg008G312840, Cg007G257200
OG0000161	XP_023644190.1	Cg007G257190
OG0000162	XP_006293283.1	Cg002G046140
OG0000162	XP_006294103.1	Cg005G160860
OG0000164	XP_023643272.1, XP_023635808.1	Cg008G307470
OG0000167	XP_023634123.1	Cg001G021130
OG0000167	XP_023633844.1	Cg001G021160
OG0000171	XP_006305640.2	Cg006G235360, Cg007G250530
OG0000171	XP_023635842.1	Cg008G294880
OG0000172	XP_006304853.2, XP_006292487.1	Cg002G052400
OG0000172	XP_006293105.1	Cg007G250100, Cg007G250140
OG0000172	XP_023639081.1	Cg002G060680, Cg002G060150
OG0000173	XP_023642043.1, XP_023641904.1, XP_023641912.1, XP_023633335.1	Cg003G091670
OG0000174	XP_023636043.1	Cg006G205480
OG0000175	XP_006293293.1	Cg002G055540
OG0000175	XP_006302850.1	Cg007G276430
OG0000175	XP_006305647.1	Cg006G225880
OG0000175	XP_006282726.1	Cg001G005230
OG0000175	XP_006296623.1	Cg004G153920
OG0000175	XP_023633909.1	Cg001G004130
OG0000176	XP_006306555.2	Cg006G213550, Cg006G213530, Cg006G213520
OG0000180	XP_023642292.1	Cg007G279310
OG0000181	XP_023636098.1	Cg004G121590
OG0000181	XP_023638057.1	Cg001G038210, Cg005G186330
OG0000184	XP_023640341.1	Cg006G215550
OG0000185	XP_023643336.1	Cg006G198800
OG0000189	XP_023637961.1	Cg001G002260, Cg001G002250
OG0000190	XP_006289433.1	Cg003G080590, Cg003G080580
OG0000190	XP_006286464.1	Cg006G210720
OG0000190	XP_006286371.1	Cg006G210710
OG0000190	XP_006286468.1	Cg003G087120, Cg003G087200
OG0000191	XP_023640409.1, XP_006295568.2	Cg005G168430
OG0000191	XP_006294410.1	Cg003G087540
OG0000191	XP_006299977.2, XP_006299373.1, XP_006299361.1	Cg004G153150, Cg004G153270
OG0000192	XP_006303161.1, XP_006283212.1	Cg006G224780
OG0000192	XP_006303693.1	Cg006G224800
OG0000192	XP_006303914.1	Cg006G224790
OG0000192	XP_006306853.1	Cg006G224760
OG0000193	XP_006300127.2	Cg004G138060
OG0000195	XP_006294957.1	Cg005G182280
OG0000195	XP_023641020.1	Cg002G049520, Cg005G164920
OG0000195	XP_006302967.1, XP_006284698.1	Cg001G036760, Cg007G265630
OG0000195	XP_006286601.1, XP_023639142.1	Cg002G064380, Cg008G301610
OG0000196	XP_006303722.1, XP_006305143.1	Cg006G202640
OG0000196	XP_006305980.1	Cg006G240790
OG0000196	XP_006305145.1	Cg006G202630
OG0000196	XP_023641964.1	Cg006G237980
OG0000197	XP_023638924.1, XP_006283424.1, XP_023634346.1	Cg001G041590
OG0000200	XP_023645782.1	Cg006G240250
OG0000200	XP_006300085.1	Cg003G084880, Cg004G143040, Cg004G143090
OG0000201	XP_006299457.1	Cg004G139100
OG0000201	XP_023642625.1	Cg004G139080
OG0000201	XP_023642639.1	Cg004G139110
OG0000202	XP_006301530.1	Cg004G134030
OG0000203	XP_006299314.2, XP_006289243.1, XP_006289137.1, XP_006286705.1	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1	Cg004G142490, Cg004G140470
OG0000204	XP_006297875.1	Cg004G138460
OG0000204	XP_023633756.1	Cg001G010180
OG0000207	XP_006300476.1	Cg007G279410
OG0000209	XP_023633824.1	Cg001G042590
OG0000210	XP_006299665.1	Cg004G144520
OG0000210	XP_006295600.1, XP_006296378.1	Cg005G173490
OG0000210	XP_006296229.1	Cg005G173520
OG0000210	XP_006292602.1	Cg005G173500
OG0000213	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1	Cg005G191730
OG0000214	XP_006286785.2	Cg003G078170
OG0000216	XP_006306137.1	Cg001G018790
OG0000216	XP_006285218.1, XP_006286276.1	Cg001G018760
OG0000217	XP_006300788.1	Cg007G251420
OG0000218	XP_006305966.2	Cg006G230920
OG0000218	XP_006306087.1	Cg006G230900, Cg006G230890
OG0000218	XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1	Cg002G072370
OG0000218	XP_006291995.1	Cg002G075340
OG0000219	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1	Cg007G266520, Cg007G266510
OG0000219	XP_006289962.1, XP_006289044.1, XP_006289259.1, XP_006289630.1	Cg001G014450
OG0000219	XP_006295440.2	Cg005G177170
OG0000219	XP_006293434.1	Cg005G177180
OG0000220	XP_006303240.1, XP_006293848.1	Cg005G192620
OG0000220	XP_006292443.2, XP_006282024.1	Cg003G103090
OG0000222	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1	Cg008G315660, Cg004G151260, Cg001G038580
OG0000224	XP_006301754.1	Cg007G278180, Cg007G278170
OG0000224	XP_006302386.1	Cg007G278160
OG0000224	XP_006299068.1	Cg001G008870, Cg001G017640
OG0000224	XP_006301004.1	Cg007G247160
OG0000226	XP_023640416.1	Cg004G156690
OG0000226	XP_006305431.1	Cg004G128760
OG0000226	XP_006305370.1, XP_023645963.1	Cg006G218020
OG0000228	XP_006301818.1	Cg007G271320
OG0000228	XP_006289231.1	Cg008G307350
OG0000228	XP_023644384.1	Cg007G271290
OG0000229	XP_006280936.1, XP_006293511.1	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000229	XP_006294905.1	Cg001G010780
OG0000229	XP_006304151.2, XP_006303339.1, XP_006304149.1	Cg007G261570
OG0000230	XP_006301576.1	Cg008G323410
OG0000230	XP_006301262.1	Cg007G276410
OG0000232	XP_006296962.1	Cg004G121460
OG0000234	XP_006292174.1	Cg002G062460
OG0000234	XP_006290668.1	Cg002G051400
OG0000234	XP_006292545.1	Cg002G051410
OG0000234	XP_006292248.1	Cg002G051420
OG0000234	XP_006295608.1	Cg005G166930
OG0000234	XP_006287124.2	Cg008G293710
OG0000235	XP_023633071.1, XP_023632600.1	Cg006G213560
OG0000235	XP_006304962.1	Cg006G202900, Cg006G202870, Cg006G202910, Cg006G202830
OG0000235	XP_023642703.1	Cg004G133010
OG0000236	XP_023642610.1	Cg004G139210
OG0000236	XP_006299722.2	Cg004G139220
OG0000236	XP_006289606.1	Cg003G086380
OG0000239	XP_006295734.1	Cg005G173640
OG0000240	XP_006290232.2, XP_006281727.1	Cg005G180190, Cg002G062910
OG0000240	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	Cg001G033750
OG0000240	XP_006301448.1, XP_006285195.1	Cg003G085370, Cg001G030000
OG0000242	XP_006297317.1	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670, Cg004G150020, Cg004G150680
OG0000242	XP_023645571.1	Cg006G231900
OG0000242	XP_006307291.2	Cg006G231890
OG0000242	XP_006307178.2	Cg006G231910
OG0000244	XP_006284545.1	Cg001G019150
OG0000244	XP_006289916.1	Cg003G093660, Cg003G080320
OG0000244	XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1	Cg001G019160
OG0000247	XP_006292033.1, XP_023633895.1, XP_023633900.1, XP_023633896.1, XP_006304794.1	Cg008G318840
OG0000248	XP_023636119.1, XP_023635737.1	Cg003G081350
OG0000248	XP_023637283.1	Cg003G081360
OG0000248	XP_023635820.1	Cg003G081340
OG0000248	XP_006302421.1	Cg007G252860
OG0000249	XP_006294087.1, XP_006294083.1	Cg005G169790
OG0000250	XP_006301801.2	Cg007G270460
OG0000250	XP_006301741.2	Cg007G270580
OG0000252	XP_023635829.1, XP_006295841.1, XP_023639230.1	Cg004G136500
OG0000254	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_023643302.1, XP_006302259.2, XP_023643256.1	Cg004G134710
OG0000254	XP_023639557.1	Cg005G190180
OG0000256	XP_006294980.1	Cg005G165640
OG0000257	XP_006300047.2	Cg004G143430, Cg004G143470, Cg004G143460
OG0000257	XP_006303618.1, XP_006303691.1, XP_006305982.2	Cg006G198470, Cg006G198480
OG0000257	XP_006284973.1, XP_006301076.1	Cg001G035030
OG0000257	XP_023642301.1	Cg004G126080
OG0000258	XP_006290948.1	Cg002G072350
OG0000258	XP_006290957.1, XP_006290955.1	Cg002G072340
OG0000258	XP_006282010.1	Cg003G104860
OG0000258	XP_006290953.1, XP_023638661.1	Cg002G072320
OG0000260	XP_023635990.1	Cg003G083550
OG0000264	XP_023636139.1, XP_006286807.1	Cg003G079060, Cg003G094880
OG0000265	XP_023635719.1	Cg005G179750, Cg005G186970
OG0000267	XP_023640926.1, XP_023644474.1, XP_006295737.1, XP_023640855.1, XP_006295478.1, XP_023640375.1, XP_023640377.1, XP_006296294.1	Cg005G177130, Cg005G177100, Cg005G177110, Cg005G177030, Cg005G177010, Cg005G177140, Cg005G177090, Cg005G177120
OG0000267	XP_006304517.1	Cg006G226540
OG0000267	XP_006296499.1	Cg005G193150
OG0000268	XP_006292510.2	Cg002G074810
OG0000268	XP_023643441.1	Cg007G248330
OG0000268	XP_006287367.1	Cg008G282710
OG0000268	XP_006292488.1	Cg002G052420
OG0000270	XP_006302919.1, XP_023644770.1	Cg006G226060
OG0000271	XP_006299908.2	Cg001G032910
OG0000271	XP_006289516.1	Cg003G079870
OG0000273	XP_006304877.1	Cg006G201170
OG0000274	XP_006281238.1	Cg003G107390
OG0000274	XP_006291980.1	Cg002G061020
OG0000274	XP_006292381.1	Cg002G061010
OG0000274	XP_023642855.1	Cg007G251180
OG0000274	XP_006295138.1	Cg005G177430
OG0000275	XP_006299261.1	Cg004G139010
OG0000275	XP_006299285.1	Cg004G138960
OG0000275	XP_006299133.1, XP_006298980.1, XP_006299022.1	Cg004G138980
OG0000275	XP_006299855.1	Cg004G138950, Cg004G138940
OG0000276	XP_006285657.1	Cg001G029710
OG0000277	XP_006286199.1	Cg001G025680, Cg001G025710
OG0000277	XP_006284824.1, XP_006284826.1, XP_006284827.1, XP_006284817.1	Cg001G025690, Cg001G025720
OG0000277	XP_006284819.1, XP_006284820.1	Cg001G025760, Cg001G025750
OG0000278	XP_023636104.1, XP_006288761.1	Cg003G105620
OG0000281	XP_006279141.1	Cg006G199670
OG0000281	XP_006286208.2	Cg006G220980
OG0000282	XP_006289542.2, XP_006289289.1	Cg008G288340
OG0000282	XP_006289949.1	Cg008G288360
OG0000282	XP_006289379.1	Cg008G288350, Cg008G323220
OG0000282	XP_006290020.1	Cg008G288380
OG0000282	XP_006286767.1	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	XP_006282331.1	Cg008G319010
OG0000283	XP_006281683.1	Cg008G318960, Cg008G318990, Cg008G318970
