Orthogroup	Capsella_rubella	Alyssum_gmelinii
OG0000028	XP_023634815.1, XP_023641328.1, XP_023644323.1, XP_023644233.1, XP_023642217.1, XP_023640355.1, XP_023640390.1, XP_023635785.1, XP_023637682.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000031	XP_006301297.1	Ag001G078560, Ag004G386130
OG0000031	XP_006306232.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_023635463.1	Ag002G111150, Ag002G107580
OG0000031	XP_006301814.1, XP_023643559.1, XP_006302132.1	Ag004G401670
OG0000033	XP_006283285.1	Ag006G547230, Ag006G549390
OG0000033	XP_023634692.1	Ag006G547260, Ag006G549410
OG0000033	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1	Ag006G543630, Ag006G543880
OG0000033	XP_023634856.1	Ag006G564890, Ag003G210460
OG0000033	XP_023634701.1, XP_006283273.1, XP_006283145.1	Ag006G548990
OG0000033	XP_023635576.1	Ag006G547380, Ag006G549570
OG0000033	XP_006287210.1	Ag002G130680, Ag002G130760
OG0000034	XP_023635220.1	Ag002G147590, Ag004G329060
OG0000034	XP_023636243.1	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930
OG0000035	XP_023632757.1	Ag007G589990
OG0000035	XP_023641959.1	Ag006G499210
OG0000035	XP_006289868.2, XP_023636083.1, XP_023643229.1, XP_023643230.1	Ag007G590010
OG0000035	XP_023640388.1	Ag005G405240, Ag002G183820
OG0000035	XP_023640387.1	Ag005G414840
OG0000035	XP_023640514.1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_023644496.1	Ag004G310880
OG0000036	XP_023636060.1	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000038	XP_006296301.2	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	XP_023632850.1, XP_023645557.1, XP_023632853.1	Ag001G003660
OG0000038	XP_023635765.1	Ag006G511550, Ag006G511600
OG0000038	XP_023643364.1, XP_023637669.1, XP_023633084.1, XP_023636130.1	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	XP_023635611.1	Ag003G279120
OG0000038	XP_023637684.1, XP_023637652.1	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	XP_023643361.1	Ag005G471060, Ag004G312700, Ag004G348120
OG0000038	XP_023642772.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	XP_023644219.1	Ag004G347330, Ag007G622120
OG0000040	XP_023632886.1, XP_023632793.1, XP_006303634.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	XP_006300177.2, XP_006297854.1, XP_006297862.1, XP_006298407.2	Ag002G192690, Ag002G188830
OG0000040	XP_006293126.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	XP_023641336.1, XP_023642658.1, XP_006296044.1	Ag005G446880, Ag005G447100, Ag005G447140
OG0000042	XP_023640353.1	Ag005G442270
OG0000045	XP_023635342.1	Ag002G197550, Ag008G703200
OG0000046	XP_006286158.2, XP_023635662.1	Ag006G575430
OG0000046	XP_023643067.1	Ag002G129690, Ag002G129740
OG0000047	XP_023634337.1	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180
OG0000047	XP_023638931.1	Ag007G614620
OG0000048	XP_006300074.1	Ag005G486480
OG0000048	XP_006298992.1	Ag005G486490
OG0000048	XP_006296650.2	Ag005G486620, Ag005G486520
OG0000050	XP_023634169.1	Ag007G641850
OG0000052	XP_006304062.1	Ag004G301370, Ag004G301320
OG0000052	XP_023640868.1	Ag002G194170
OG0000052	XP_023640424.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000052	XP_023639525.1	Ag002G194440, Ag002G194380
OG0000055	XP_006301460.1	Ag004G382900
OG0000055	XP_023643438.1, XP_006301193.1, XP_006301052.1, XP_006301411.1, XP_006302254.2	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	XP_006290241.2, XP_023637455.1, XP_023644542.1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	XP_023638967.1, XP_006282913.2	Ag002G121000, Ag006G542770
OG0000057	XP_023641570.1	Ag005G459920
OG0000057	XP_006300113.1, XP_006299228.1	Ag003G289060
OG0000059	XP_023644456.1	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	XP_023638041.1	Ag002G103440, Ag002G122810, Ag006G522950
OG0000061	XP_023634311.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000064	XP_023634774.1	Ag003G295980
OG0000066	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2	Ag003G225470
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	Ag002G125900
OG0000067	XP_006289556.2, XP_023637280.1	Ag005G407040, Ag005G407080, Ag005G407050
OG0000069	XP_023644311.1	Ag002G200250
OG0000071	XP_006301047.2	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000071	XP_023646042.1, XP_023644298.1	Ag004G389390, Ag004G339910
OG0000072	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1, XP_023633613.1	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	XP_006282434.2	Ag006G576040
OG0000073	XP_023636310.1	Ag003G212540
OG0000073	XP_023638542.1	Ag002G117280
OG0000073	XP_023638545.1, XP_023634755.1	Ag002G120540
OG0000074	XP_023632781.1	Ag005G402710
OG0000074	XP_006306553.1, XP_006304377.2	Ag003G241560, Ag003G242310
OG0000074	XP_006296266.1, XP_006306462.1	Ag004G378820
OG0000074	XP_006306513.2	Ag006G514000
OG0000075	XP_006287874.1, XP_006296766.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	XP_006289118.1	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000076	XP_006301891.2, XP_006301896.2, XP_023638056.1, XP_023639204.1, XP_006293172.2	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	XP_023639245.1, XP_023639087.1	Ag001G002030
OG0000077	XP_006282335.1, XP_023638987.1	Ag003G284880
OG0000077	XP_023634488.1	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	XP_006296170.1	Ag003G294450
OG0000077	XP_006286716.1	Ag003G215720, Ag003G290220, Ag006G569300
OG0000077	XP_023635517.1	Ag006G508210
OG0000077	XP_006285279.1	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	XP_006301199.1	Ag004G321630, Ag004G321620, Ag004G321600
OG0000077	XP_006283916.1	Ag002G148310
OG0000078	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1	Ag002G136430
OG0000079	XP_006291126.2	Ag001G089200
OG0000079	XP_006292365.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	XP_023640452.1	Ag004G375350, Ag007G650150
OG0000080	XP_023640829.1, XP_006286287.2	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	XP_023636904.1	Ag005G451860, Ag005G452050
OG0000082	XP_023642613.1	Ag004G385590
OG0000082	XP_023639594.1	Ag004G351970
OG0000084	XP_006295595.1, XP_006295861.1	Ag008G724370
OG0000084	XP_006295555.1, XP_006294228.1	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1	Ag008G709530
OG0000087	XP_006287738.1	Ag008G723440
OG0000087	XP_006294210.1	Ag007G593840
OG0000087	XP_006292748.1, XP_006291122.1	Ag008G728250, Ag001G052770
OG0000087	XP_006289933.1	Ag007G609260
OG0000087	XP_006281513.1	Ag002G127940
OG0000087	XP_006283733.1	Ag006G562620
OG0000087	XP_006302256.1	Ag003G224140
OG0000088	XP_023639002.1	Ag007G581970
OG0000088	XP_006279102.2, XP_023636467.1, XP_023635698.1	Ag008G717820
OG0000089	XP_006287952.1	Ag007G603320
OG0000089	XP_006297920.1	Ag005G453100, Ag001G021310
OG0000089	XP_006295821.1, XP_006295441.1	Ag002G193060
OG0000089	XP_006297921.1	Ag005G471710
OG0000089	XP_006282193.1, XP_006291307.1	Ag008G712440, Ag008G708620
OG0000090	XP_006304273.1	Ag004G333760
OG0000090	XP_006302938.1	Ag003G223190
OG0000090	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	XP_023643686.1, XP_023633323.1	Ag008G666220
OG0000093	XP_006292664.2	Ag001G087540
OG0000093	XP_023638587.1	Ag001G087410
OG0000093	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	XP_006292197.1	Ag001G083700, Ag001G087310
OG0000093	XP_006290426.1	Ag001G086700, Ag001G086880, Ag001G086860, Ag001G086840
OG0000096	XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	XP_006281971.1	Ag002G102560
OG0000096	XP_006281861.1	Ag002G103120
OG0000096	XP_006303212.2	Ag004G310490
OG0000097	XP_006288252.1	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	XP_023633387.1	Ag002G130340, Ag002G130310, Ag002G129030
OG0000097	XP_006288400.1	Ag002G128740
OG0000097	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1	Ag002G128960
OG0000097	XP_006288542.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000099	XP_023637360.1, XP_023637436.1, XP_006301961.2	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	XP_006300517.1	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920
OG0000099	XP_023643964.1	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000100	XP_006295777.2	Ag004G376980, Ag002G156660
OG0000100	XP_023638959.1	Ag003G219250, Ag002G132470, Ag004G384260, Ag008G659700
OG0000100	XP_006279197.2	Ag006G511060, Ag005G447890, Ag005G447820, Ag002G169660, Ag004G372650, Ag007G599450, Ag001G042170, Ag004G367770, Ag002G115440, Ag007G616750, Ag007G616790, Ag007G616760, Ag004G360540, Ag004G342380, Ag002G165560, Ag007G656360, Ag006G491540, Ag010G740030, Ag008G728470, Ag001G019470, Ag004G348390, Ag005G465130, Ag004G311540, Ag007G579500, Ag006G505390, Ag008G671960, Ag004G326810
OG0000100	XP_023640327.1, XP_023634261.1	Ag002G169920, Ag007G628580
OG0000100	XP_023633443.1	Ag008G659710
OG0000100	XP_006287598.2, XP_006301940.2	Ag003G260180, Ag006G507010, Ag007G587450, Ag007G628510
OG0000101	XP_006301994.2	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000101	XP_023643545.1	Ag004G389140
OG0000104	XP_023645280.1	Ag004G307220
OG0000104	XP_006296547.2	Ag007G594810
OG0000104	XP_023645616.1	Ag001G010320
OG0000104	XP_006299926.1	Ag005G441940
OG0000106	XP_006297893.1	Ag005G417510, Ag001G017220
OG0000106	XP_006301737.1	Ag004G383320
OG0000107	XP_006300030.1, XP_006297457.1	Ag005G446760
OG0000107	XP_006297444.1	Ag005G444180, Ag005G442930
OG0000107	XP_006299861.1	Ag005G446720
OG0000107	XP_023642039.1	Ag005G446740
OG0000107	XP_006299064.2	Ag005G446750
OG0000107	XP_006290930.1	Ag003G213880
OG0000107	XP_006289895.1, XP_006297460.1	Ag005G446670
OG0000108	XP_006305026.1	Ag005G459590, Ag008G727840
OG0000108	XP_023641898.1, XP_006297881.1	Ag003G269110, Ag003G269200
OG0000108	XP_006292655.1	Ag005G414040
OG0000110	XP_006291045.1	Ag001G090130
OG0000110	XP_006290900.1	Ag001G090120
OG0000110	XP_006291075.1	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	XP_006291049.1	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	XP_006282595.1	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	XP_023639093.1	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	XP_006283852.1, XP_023634364.1	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	XP_023637355.1	Ag008G729450
OG0000112	XP_006281753.1	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000
OG0000113	XP_006285182.1, XP_006284602.1	Ag003G210260
OG0000114	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1	Ag006G573480
OG0000119	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1	Ag001G026190
OG0000120	XP_006301308.1, XP_006301329.1	Ag004G373700, Ag001G094910
OG0000120	XP_006281901.1	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	XP_006296511.1, XP_023644285.1, XP_023644286.1	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	XP_023633416.1	Ag008G698890
OG0000122	XP_023633528.1, XP_023633504.1	Ag008G699060
OG0000122	XP_006281577.2	Ag008G698530
OG0000123	XP_006306328.1, XP_006304016.1	Ag007G583620
OG0000123	XP_006292772.1	Ag004G318570
OG0000123	XP_006306407.1	Ag006G564520
OG0000124	XP_023644493.1	Ag003G242000
OG0000124	XP_023641922.1	Ag006G527550, Ag008G658090
OG0000125	XP_006292034.1	Ag002G172470, Ag001G072990
OG0000125	XP_006298831.2, XP_006286660.1	Ag005G477020
OG0000125	XP_006289049.1	Ag008G713670
OG0000126	XP_023640332.1	Ag008G691850
OG0000127	XP_006287625.1	Ag008G679900, Ag004G381150
OG0000127	XP_006289415.1	Ag006G492230
OG0000127	XP_006300213.2	Ag005G477990
OG0000127	XP_023646069.1	Ag004G313210, Ag004G313190, Ag004G313250
OG0000131	XP_023640326.1	Ag003G256190
OG0000131	XP_023635195.1, XP_023634652.1, XP_023640905.1	Ag003G250970
OG0000136	XP_006302616.1	Ag004G358500
OG0000137	XP_023638979.1	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000137	XP_023644078.1	Ag006G528160, Ag001G057880
OG0000139	XP_023642220.1, XP_023645695.1	Ag007G630860, Ag002G148650
OG0000140	XP_023640932.1, XP_023642636.1, XP_023640928.1	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	XP_006280067.1, XP_006280069.1	Ag001G080460, Ag008G707780
OG0000142	XP_023640128.1	Ag007G594480
OG0000142	XP_023639769.1	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510
OG0000145	XP_023634435.1	Ag004G383900
OG0000146	XP_006281729.1	Ag008G695350
OG0000146	XP_006280772.1	Ag002G188250
OG0000146	XP_023637930.1, XP_006281726.2	Ag008G695470, Ag008G695460
OG0000146	XP_006281991.1	Ag008G695380
OG0000147	XP_006296920.1	Ag005G408700
OG0000147	XP_006282542.1	Ag003G261030
OG0000147	XP_006282289.1	Ag008G702420
OG0000147	XP_023643729.1	Ag003G209560
OG0000149	XP_023639042.1	Ag008G709300, Ag008G709340
OG0000149	XP_023633454.1	Ag008G709420
OG0000149	XP_023638653.1	Ag008G709330
OG0000150	XP_023638772.1	Ag007G607130
OG0000150	XP_023638877.1, XP_006292836.2, XP_006292499.2	Ag006G518460, Ag007G625710
OG0000150	XP_006291315.2	Ag001G092600
OG0000150	XP_023638901.1	Ag004G332580
OG0000150	XP_023633433.1, XP_006280698.1	Ag008G711310, Ag008G711350
OG0000151	XP_006281266.1	Ag008G685810
OG0000151	XP_006284700.1	Ag003G253050
OG0000151	XP_006298742.1	Ag005G478640
OG0000151	XP_006298751.1	Ag005G417580
OG0000151	XP_006281239.2	Ag008G698280
OG0000152	XP_023632652.1	Ag003G223230, Ag002G132980
OG0000154	XP_006306285.1	Ag004G324480
OG0000154	XP_006297173.1	Ag005G471090
OG0000154	XP_006297174.1	Ag005G477170
OG0000154	XP_006287234.1	Ag006G493360
OG0000154	XP_006290203.1	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	XP_023643783.1, XP_023634855.1	Ag006G564870
OG0000155	XP_006300024.2	Ag005G471860
OG0000156	XP_023639945.1	Ag002G201900
OG0000156	XP_006307271.1, XP_023641004.1	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880
OG0000156	XP_006293280.2	Ag001G093780
OG0000157	XP_006300909.1, XP_006301359.2, XP_006290202.1	Ag003G228360
OG0000157	XP_023634338.1, XP_023640365.1, XP_006290039.1	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	XP_023635458.1	Ag003G277110
OG0000158	XP_006286216.2, XP_006289701.2, XP_006289843.2	Ag005G476710
OG0000160	XP_023639459.1, XP_023643350.1, XP_023644208.1	Ag005G447810
OG0000161	XP_023644195.1, XP_023637621.1	Ag007G588370
OG0000161	XP_023644191.1	Ag007G588360
OG0000161	XP_023644190.1	Ag007G601560, Ag007G601540, Ag007G601790
OG0000162	XP_006292318.1	Ag001G075290
OG0000162	XP_006293283.1	Ag001G092930
OG0000162	XP_006293088.1	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570
OG0000162	XP_006302230.1	Ag008G712070
OG0000162	XP_006294103.1	Ag002G200850, Ag002G200800
OG0000164	XP_023633845.1	Ag003G293830
OG0000164	XP_023639572.1, XP_006285590.2	Ag005G487250, Ag003G293940
OG0000164	XP_023635206.1	Ag003G293740, Ag003G293690, Ag003G293790
OG0000167	XP_023634123.1	Ag006G570230
OG0000167	XP_023634326.1, XP_006282799.2, XP_023635153.1, XP_023644224.1	Ag006G570340
OG0000167	XP_023633844.1	Ag006G570320
OG0000171	XP_006305640.2	Ag004G371850
OG0000171	XP_023635842.1	Ag007G614710
OG0000172	XP_006304853.2, XP_006292487.1	Ag002G179650, Ag001G097540, Ag001G097520
OG0000172	XP_006291171.1	Ag001G097470
OG0000172	XP_006292673.2	Ag003G233750, Ag006G550460
OG0000172	XP_023639081.1	Ag001G071390, Ag001G071380, Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480, Ag001G089440, Ag001G071100
OG0000172	XP_023639085.1	Ag001G089420
OG0000175	XP_006293293.1	Ag001G067410
OG0000175	XP_006282726.1	Ag005G417590
OG0000176	XP_006281807.1	Ag007G580300, Ag005G449360
OG0000181	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1, XP_023636098.1, XP_023638057.1	Ag003G251860
OG0000184	XP_023640341.1	Ag001G075930
OG0000185	XP_023633812.1	Ag004G378920
OG0000187	XP_006283864.1	Ag003G270560
OG0000187	XP_023641259.1	Ag005G474090, Ag005G474080
OG0000189	XP_006284898.2, XP_023644326.1	Ag003G293390
OG0000189	XP_023641239.1	Ag005G482590, Ag005G482560
OG0000189	XP_023637961.1	Ag006G563600
OG0000190	XP_006289433.1	Ag002G140140
OG0000190	XP_006286464.1	Ag002G128880
OG0000190	XP_006286371.1	Ag002G128820
OG0000190	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1, XP_023635847.1, XP_006289234.1, XP_006286467.1, XP_006286468.1	Ag002G140040, Ag002G139950
OG0000191	XP_006299132.1	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420
OG0000191	XP_006299977.2, XP_006299373.1, XP_006299361.1	Ag005G457490, Ag005G457480
OG0000192	XP_006303161.1, XP_006283212.1, XP_006306845.1	Ag004G336350
OG0000192	XP_006303693.1	Ag004G336320
OG0000192	XP_006303914.1, XP_006306853.1	Ag004G336340, Ag004G336360, Ag004G336330
OG0000193	XP_023642627.1, XP_006299157.1, XP_023642656.1, XP_006299826.1	Ag004G342780
OG0000193	XP_006289486.2, XP_006285626.2, XP_006289372.1, XP_006286703.2	Ag005G442650, Ag005G443800, Ag005G442630
OG0000195	XP_023641020.1	Ag001G082920
OG0000195	XP_006302967.1, XP_006284698.1	Ag007G646090
OG0000195	XP_006286601.1, XP_023639142.1	Ag007G597730
OG0000196	XP_006303722.1, XP_006305143.1, XP_006305980.1	Ag004G304260, Ag004G304230
OG0000196	XP_006305145.1	Ag004G304250
OG0000196	XP_023641964.1	Ag004G304870
OG0000197	XP_023635498.1	Ag006G545700
OG0000201	XP_023641351.1, XP_006299457.1, XP_023642625.1	Ag005G439850
OG0000201	XP_006298376.1, XP_023641852.1	Ag005G439760
OG0000201	XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1	Ag005G439610
OG0000202	XP_006301530.1	Ag003G215780, Ag005G457800
OG0000203	XP_006289243.1, XP_006289137.1, XP_006286705.1	Ag004G387230, Ag004G392530, Ag005G485880
OG0000204	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1	Ag005G471780, Ag005G471790
OG0000204	XP_006296746.1	Ag005G437650
OG0000205	XP_006299871.1, XP_023642400.1, XP_006299319.1, XP_023638076.1, XP_023637223.1, XP_006304855.1, XP_023641930.1, XP_006293234.2, XP_023638052.1, XP_023641929.1, XP_023641928.1, XP_023641931.1	Ag005G439370
OG0000208	XP_006281509.2	Ag003G275160
OG0000208	XP_023635375.1	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610
OG0000208	XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1	Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540
OG0000209	XP_023642946.1	Ag004G399110, Ag004G398940
OG0000209	XP_023642945.1	Ag004G399460, Ag004G398960
OG0000209	XP_006300968.1, XP_023636837.1	Ag004G398990, Ag004G398790, Ag002G138750
OG0000209	XP_023634335.1, XP_023633580.1	Ag004G312510, Ag004G312520, Ag004G312530
OG0000209	XP_023633339.1	Ag004G312540
OG0000210	XP_006292794.1, XP_023638032.1	Ag003G280570, Ag003G273400
OG0000210	XP_006295600.1, XP_006296378.1	Ag007G588470
OG0000210	XP_006294455.1	Ag007G588480
OG0000213	XP_006301868.2	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530
OG0000213	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1	Ag003G288980
OG0000214	XP_006301794.1	Ag007G604980
OG0000214	XP_023636923.1	Ag006G510950, Ag003G222050
