Orthogroup	Capsella_rubella	Noccaea_praecox
OG0000033	XP_006283285.1	Np005G284050, Np005G284060
OG0000033	XP_023634692.1	Np005G284130
OG0000033	XP_006283297.1, XP_006301684.1, XP_006285944.1, XP_023634693.1, XP_023634678.1	Np005G283960, Np005G284080
OG0000033	XP_006283283.1	Np005G284140
OG0000033	XP_006284972.1	Np005G284150
OG0000035	XP_023641959.1	Np002G092640, Np006G364470
OG0000035	XP_023640388.1	Np006G356560
OG0000035	XP_023640514.1, XP_023632626.1, XP_023638840.1, XP_023638971.1	Np005G313520
OG0000038	XP_006296301.2	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	XP_023635765.1	Np007G415720
OG0000038	XP_023633418.1, XP_023633386.1	Np003G157800
OG0000038	XP_023633084.1	Np005G270740, Np005G270650, Np005G270700
OG0000038	XP_023643361.1	Np003G165810, Np005G318000
OG0000039	XP_023644219.1	Np002G110420, Np004G205120
OG0000040	XP_023632886.1, XP_023632793.1, XP_006303634.1	Np001G009070
OG0000040	XP_006305030.1, XP_006299109.2	Np004G224970, Np004G224940
OG0000040	XP_006298407.2	Np007G407000
OG0000042	XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1	Np006G335330, Np006G369470
OG0000042	XP_023640353.1	Np004G191660
OG0000043	XP_023634647.1	Np008G426930
OG0000043	XP_023640313.1, XP_023637997.1	Np002G102430
OG0000044	XP_006289233.2, XP_023636067.1, XP_023638196.1, XP_023640348.1, XP_023641942.1	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510
OG0000045	XP_023635342.1	Np002G098570, Np005G284990, Np007G389140
OG0000046	XP_006286236.1	Np005G314650
OG0000046	XP_006290703.1, XP_023638915.1	Np005G313240
OG0000046	XP_023644284.1	Np002G093730
OG0000046	XP_006286158.2	Np005G292150
OG0000046	XP_023635662.1	Np005G292140
OG0000046	XP_023638604.1, XP_023638598.1, XP_006290694.2	Np005G313330
OG0000047	XP_023645924.1	Np005G282680
OG0000048	XP_006296650.2	Np007G421470
OG0000048	XP_023636997.1	Np003G145420
OG0000050	XP_023634169.1	Np002G095340
OG0000050	XP_023633725.1	Np002G095350
OG0000050	XP_023633353.1	Np002G099150
OG0000052	XP_006304062.1	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	XP_023640424.1	Np003G173020
OG0000053	XP_006290464.1	Np001G008270, Np001G039230, Np003G166770
OG0000055	XP_006292456.1	Np001G046730
OG0000055	XP_023643438.1, XP_006301193.1, XP_006301052.1, XP_006301411.1, XP_006302254.2	Np002G119520, Np002G119220, Np002G119170
OG0000056	XP_006290241.2, XP_023637455.1, XP_023644542.1	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000057	XP_006286657.2	Np007G419120, Np007G419160, Np005G285180
OG0000057	XP_023642764.1, XP_023641561.1	Np007G375320
OG0000057	XP_023643291.1	Np007G398210, Np010G435080, Np007G401600
OG0000057	XP_006300113.1, XP_006299228.1	Np006G333600, Np006G333860, Np003G187520
OG0000058	XP_023643276.1	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510
OG0000059	XP_023637566.1, XP_023637460.1	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750
OG0000059	XP_023638041.1	Np005G284980, Np007G388310
OG0000062	XP_023645325.1	Np004G215200, Np004G229630
OG0000064	XP_023634774.1	Np005G260880
OG0000066	XP_006284727.1, XP_006302978.1, XP_006284722.1, XP_006288773.2	Np005G262320
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	Np003G136710
OG0000068	XP_023640381.1	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070
OG0000070	XP_023639630.1	Np007G399950
OG0000071	XP_006301047.2	Np001G008970, Np006G370520, Np003G157740
OG0000071	XP_023646042.1, XP_023644298.1	Np005G271980, Np004G200680, Np006G328540, Np001G013290
OG0000071	XP_023643263.1	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500
OG0000072	XP_023643495.1, XP_023633300.1, XP_023634490.1, XP_023637389.1, XP_023634624.1, XP_023641886.1, XP_023633619.1, XP_023633613.1	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000072	XP_023644486.1, XP_023637552.1	Np001G034150
OG0000074	XP_023632781.1	Np004G229890
OG0000074	XP_006306553.1, XP_006304377.2	Np004G230030
OG0000074	XP_006296266.1, XP_006306462.1	Np003G180910, Np003G184200
OG0000075	XP_006287874.1, XP_006296766.1	Np003G136640
OG0000075	XP_023633371.1, XP_006279039.2, XP_006305093.1	Np007G378600
OG0000076	XP_023638292.1	Np002G083960
OG0000076	XP_023638056.1, XP_023639204.1	Np007G423950
OG0000076	XP_023639245.1, XP_023639087.1	Np001G021860
OG0000077	XP_006286716.1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	XP_023635517.1	Np007G386290
OG0000077	XP_006285279.1	Np005G261710, Np006G360730
OG0000077	XP_006283916.1, XP_023635518.1	Np005G261720
OG0000078	XP_023634352.1	Np002G086990, Np002G097240, Np002G092810
OG0000079	XP_023639082.1	Np007G389360
OG0000080	XP_006290130.1, XP_023634933.1	Np006G334220
OG0000080	XP_023635299.1	Np002G124500, Np002G124510
OG0000080	XP_023633781.1	Np005G278660
OG0000080	XP_023640829.1	Np005G318150, Np005G318140
OG0000080	XP_006286287.2	Np006G328080
OG0000081	XP_023636904.1	Np003G176780, Np003G176800, Np003G176750
OG0000082	XP_023639594.1	Np005G302180
OG0000083	XP_006295969.1	Np007G418940
OG0000084	XP_006295595.1	Np006G364960, Np006G365020
OG0000084	XP_006296376.2	Np006G365030, Np006G365010, Np006G365440, Np006G366050
OG0000084	XP_006295555.1, XP_006294228.1	Np006G365060, Np006G365040
OG0000087	XP_006287738.1	Np001G010980
OG0000087	XP_006294210.1	Np006G350150, Np008G428160
OG0000087	XP_006292748.1, XP_006291122.1	Np005G287050, Np001G007020
OG0000087	XP_006289933.1	Np003G139100
OG0000087	XP_006281513.1	Np001G039930
OG0000087	XP_006283733.1	Np005G287110
OG0000087	XP_006302256.1	Np002G077440
OG0000088	XP_023639002.1	Np001G038910, Np001G038970
OG0000088	XP_006279102.2, XP_023636467.1, XP_023635698.1	Np003G148700, Np003G148740
OG0000088	XP_023644362.1	Np001G052870
OG0000089	XP_006287952.1	Np003G136030
OG0000089	XP_006297920.1	Np007G395030
OG0000089	XP_006297921.1	Np007G409340
OG0000089	XP_006282193.1	Np001G046210
OG0000090	XP_006304273.1	Np004G235330
OG0000090	XP_006302938.1	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1	Np007G385680, Np001G065320, Np001G065030
OG0000090	XP_006305612.2	Np007G389920
OG0000093	XP_006292664.2	Np001G063230
OG0000093	XP_023638587.1	Np001G063180
OG0000093	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	XP_006293093.1	Np005G317970
OG0000096	XP_023643297.1	Np002G112160
OG0000096	XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1	Np001G024770
OG0000096	XP_006281971.1	Np001G038620
OG0000096	XP_006281861.1	Np001G038140
OG0000097	XP_006288252.1	Np003G184990
OG0000097	XP_006288400.1	Np003G171600
OG0000097	XP_006285555.2, XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1	Np003G185030
OG0000098	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1	Np002G116580
OG0000099	XP_006300517.1	Np002G123570, Np004G227550, Np002G123550
OG0000099	XP_023643964.1	Np004G215640
OG0000100	XP_006295777.2	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190
OG0000100	XP_023638959.1	Np004G233090, Np003G158140, Np002G083340
OG0000100	XP_023640327.1, XP_023634261.1	Np002G096510, Np006G363460
OG0000100	XP_006282338.2	Np001G055900, Np002G095400, Np002G090410, Np006G338280, Np002G087790, Np005G308750, Np006G327840, Np004G233160, Np006G345130
OG0000100	XP_023633443.1	Np006G360420, Np005G260470
OG0000101	XP_023639256.1	Np002G122800
OG0000101	XP_006301994.2	Np002G123360
OG0000101	XP_023643962.1, XP_023643838.1	Np002G123180
OG0000104	XP_023645280.1	Np004G251930
OG0000104	XP_023639964.1	Np006G360060
OG0000104	XP_006296171.1	Np006G360100
OG0000104	XP_023645616.1	Np004G195160
OG0000104	XP_006299926.1	Np007G381330
OG0000104	XP_023640019.1, XP_006293405.1	Np006G360080
OG0000106	XP_006299978.1	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	XP_006297893.1	Np007G372640
OG0000107	XP_006300030.1, XP_006297457.1	Np007G398420
OG0000107	XP_006297444.1	Np005G313740
OG0000107	XP_006290930.1	Np007G380680
OG0000108	XP_006305026.1	Np001G011650, Np001G011550
OG0000108	XP_006300240.1	Np007G379350
OG0000108	XP_006292655.1	Np004G259470
OG0000110	XP_006291045.1	Np001G064490
OG0000110	XP_006290900.1	Np001G064470
OG0000110	XP_006291075.1	Np001G064520
OG0000110	XP_006282595.1	Np001G064450
OG0000110	XP_023639093.1	Np001G064540
OG0000111	XP_006283852.1, XP_023634364.1	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	XP_023637355.1	Np001G006030
OG0000111	XP_006291215.1	Np001G058370
OG0000112	XP_006303711.1, XP_006281753.1, XP_006282356.1, XP_006289168.1, XP_006295946.1	Np003G184320
OG0000113	XP_006282489.2	Np007G416190
OG0000116	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
OG0000118	XP_006289226.1, XP_006289953.1, XP_006289914.1	Np005G315460
OG0000118	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1	Np001G044480, Np005G313880
OG0000119	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000120	XP_006301308.1, XP_006301329.1	Np002G117060, Np002G116940
OG0000120	XP_006281901.1	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	XP_006296511.1, XP_023644285.1, XP_023644286.1	Np003G129250
OG0000122	XP_023633416.1	Np003G157760, Np003G157830, Np003G157840
OG0000122	XP_006281892.1	Np001G056320
OG0000122	XP_006306021.1	Np003G157790
OG0000122	XP_006281577.2	Np003G158000
OG0000123	XP_006303793.1	Np003G131420
OG0000123	XP_006292772.1	Np004G243210
OG0000124	XP_023641922.1	Np006G348530
OG0000125	XP_006292034.1	Np001G056500, Np006G337140
OG0000125	XP_006298831.2, XP_006286660.1	Np003G126800
OG0000125	XP_006289049.1	Np003G151060
OG0000125	XP_006292858.1, XP_006281264.1	Np003G152340
OG0000126	XP_023640331.1, XP_023640343.1, XP_023644467.1	Np003G176980, Np005G260240
OG0000126	XP_023640332.1	Np002G094910
OG0000127	XP_006289415.1	Np003G125840
OG0000127	XP_006300213.2	Np007G413700, Np001G046260, Np007G413710
OG0000127	XP_023646069.1	Np002G096200
OG0000131	XP_006301152.1	Np002G101800
OG0000131	XP_023640326.1, XP_023635195.1, XP_023634652.1, XP_023640905.1	Np003G174400
OG0000136	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2	Np002G086710
OG0000136	XP_006291706.2, XP_006285515.2	Np005G312640
OG0000136	XP_006284296.1	Np002G095000
OG0000137	XP_023638979.1	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	XP_023644078.1	Np007G398190
OG0000137	XP_023635269.1	Np005G318010
OG0000138	XP_023638093.1	Np002G085260
OG0000138	XP_023639004.1	Np001G018700
OG0000138	XP_006291108.1, XP_023639277.1, XP_023638690.1	Np002G085240, Np002G085270, Np002G085250
OG0000139	XP_023642220.1, XP_023645695.1	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690
OG0000139	XP_023634523.1	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	XP_006279478.2	Np003G153340
OG0000140	XP_023641991.1	Np003G153440
OG0000140	XP_023640932.1, XP_023642636.1, XP_023640928.1	Np003G153920
OG0000140	XP_006280067.1, XP_006280069.1	Np003G153430, Np007G424390, Np003G153390
OG0000146	XP_006280761.2	Np003G160050
OG0000146	XP_006280742.1	Np003G160040
OG0000146	XP_006281729.1	Np003G160230
OG0000146	XP_023637930.1, XP_006281726.2	Np003G160060, Np003G160140, Np003G160190
OG0000146	XP_006281991.1	Np003G160200
OG0000146	XP_023633411.1	Np003G159660
OG0000147	XP_006296920.1	Np007G373950
OG0000147	XP_006282542.1	Np005G273990
OG0000147	XP_006282289.1	Np003G156060
OG0000147	XP_023643729.1	Np002G071170
OG0000147	XP_006279360.1	Np001G043050
OG0000147	XP_006279406.1	Np007G389960
OG0000149	XP_023639042.1	Np003G152730
OG0000149	XP_023633454.1	Np003G152680
OG0000149	XP_006292697.1	Np001G046030
OG0000150	XP_006291315.2	Np001G049320
OG0000151	XP_006281266.1	Np003G164170
OG0000151	XP_006284700.1	Np005G277020
OG0000151	XP_006298751.1	Np007G376880
OG0000151	XP_006281239.2	Np003G158280
OG0000154	XP_006306285.1	Np004G240190
OG0000154	XP_006297173.1	Np007G408850
OG0000154	XP_006297174.1	Np007G413420
OG0000154	XP_006287234.1	Np003G126710
OG0000154	XP_006290203.1	Np003G126700, Np003G127150, Np002G112020
OG0000155	XP_006286160.1	Np004G218540
OG0000155	XP_023634855.1	Np005G287960
OG0000155	XP_006300024.2	Np007G409550
OG0000156	XP_006292819.2	Np001G066790
OG0000156	XP_023640163.1, XP_023640606.1	Np006G324150
OG0000156	XP_006307271.1, XP_023641004.1	Np006G324140
OG0000157	XP_006300909.1, XP_006301359.2, XP_006290202.1	Np002G078620
OG0000158	XP_023635458.1	Np002G081190
OG0000158	XP_006289701.2, XP_006289843.2	Np007G406120, Np001G028290, Np001G028380, Np001G028350
OG0000160	XP_023639459.1, XP_023643350.1, XP_023644208.1	Np002G095190
OG0000161	XP_023640860.1, XP_023640089.1	Np001G008600
OG0000161	XP_023644191.1	Np005G311810
OG0000161	XP_023644190.1	Np002G086610
OG0000162	XP_006293283.1	Np001G066230
OG0000162	XP_006302230.1	Np002G116280
OG0000162	XP_006294103.1	Np006G324990
OG0000164	XP_006285583.1, XP_006303757.2	Np005G275210
OG0000164	XP_006285590.2	Np005G261970
OG0000164	XP_023643272.1, XP_023635808.1	Np004G198520
OG0000167	XP_023634123.1	Np005G289610
OG0000167	XP_023634326.1, XP_006282799.2, XP_023635153.1, XP_023644224.1	Np004G243920, Np002G111260
OG0000167	XP_023633844.1	Np004G202230
OG0000169	XP_023643289.1	Np002G113130
OG0000171	XP_006305640.2	Np002G116080, Np004G248080
OG0000171	XP_023635842.1	Np003G141590
OG0000172	XP_006291171.1	Np001G064170
OG0000174	XP_023634620.1, XP_023640324.1, XP_023636043.1	Np004G217810
OG0000175	XP_006302850.1	Np002G077280
OG0000175	XP_006305647.1	Np004G235400
OG0000175	XP_006282726.1	Np007G376890
OG0000175	XP_023633909.1	Np005G267520
OG0000176	XP_006304655.2	Np006G334320
OG0000180	XP_006288439.1	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280
OG0000181	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240
OG0000184	XP_023640341.1	Np006G360300
OG0000186	XP_023640354.1	Np006G361310
OG0000187	XP_006283864.1	Np005G271420
OG0000189	XP_023633711.1, XP_006284898.2, XP_023644326.1	Np005G262130
OG0000189	XP_006289268.1, XP_023634627.1, XP_023637961.1	Np001G019990
OG0000190	XP_006286464.1	Np003G183500
OG0000190	XP_006286371.1	Np003G183510
OG0000190	XP_023635847.1, XP_006289234.1, XP_006286467.1	Np003G183410, Np003G183480
OG0000191	XP_006303714.1, XP_006292305.1, XP_006303731.1, XP_006303763.1	Np007G388820, Np003G178870
OG0000191	XP_023640409.1, XP_006295568.2	Np006G339030, Np006G337320
OG0000191	XP_006294410.1	Np005G291410
OG0000191	XP_006299132.1	Np007G391150, Np007G391080
OG0000193	XP_023634668.1	Np007G380740
OG0000193	XP_023642627.1	Np007G380880
OG0000193	XP_006299157.1	Np007G381040, Np007G381000
OG0000195	XP_006294957.1	Np006G361540
OG0000195	XP_006302967.1, XP_006284698.1	Np005G312480
OG0000196	XP_006303722.1, XP_006305143.1	Np004G214150, Np004G214340, Np003G165450
OG0000196	XP_006305980.1	Np004G254380
OG0000196	XP_006305145.1	Np003G165460
OG0000200	XP_006279047.1	Np004G254580
OG0000201	XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1	Np007G379560
OG0000204	XP_006297875.1	Np007G381450
OG0000205	XP_006299871.1, XP_023642400.1, XP_006299319.1, XP_023638076.1, XP_023637223.1, XP_006304855.1, XP_023641930.1, XP_006293234.2, XP_023638052.1, XP_023641929.1, XP_023641928.1, XP_023641931.1	Np004G252280
OG0000205	XP_023644508.1, XP_023644509.1	Np001G056450, Np004G200620, Np004G227010
OG0000206	XP_023634705.1	Np004G216740
OG0000209	XP_023642946.1, XP_023644381.1, XP_023642945.1	Np002G123960, Np002G123970
OG0000209	XP_023636837.1	Np002G124020
OG0000209	XP_023633824.1, XP_023634330.1, XP_023634335.1, XP_023633580.1, XP_006283196.1, XP_023633370.1, XP_023633339.1	Np002G123940, Np002G091400
OG0000210	XP_006295600.1, XP_006296378.1	Np006G357820
OG0000210	XP_006292602.1	Np004G205190
OG0000213	XP_023642299.1, XP_023641412.1	Np005G312500
OG0000214	XP_006301794.1	Np007G375860
OG0000214	XP_023636923.1, XP_023636108.1, XP_006289397.1, XP_006287235.1, XP_006289797.1, XP_023636924.1, XP_006282887.2, XP_006286785.2	Np003G186320, Np003G186260
OG0000216	XP_023634599.1, XP_006286096.1, XP_006285650.1	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080
OG0000216	XP_006285624.1	Np004G202700, Np005G274080, Np005G314870
OG0000216	XP_006306137.1, XP_006285218.1, XP_006286276.1	Np006G361190
OG0000216	XP_006283801.2	Np001G003750
OG0000218	XP_006305966.2	Np004G241490
OG0000218	XP_006306087.1	Np004G241460
OG0000218	XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1	Np005G283350
OG0000218	XP_006291995.1	Np001G027310
OG0000219	XP_023633471.1	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000219	XP_006281906.1	Np001G006200, Np001G008160, Np001G006180
OG0000220	XP_006292443.2, XP_006282024.1	Np003G158780
OG0000222	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420
OG0000224	XP_006291286.1, XP_006300513.1	Np002G096650
OG0000224	XP_006301062.1, XP_006301004.1	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	XP_006305710.2, XP_006304552.1, XP_023632576.1	Np004G212520
OG0000225	XP_006305771.1, XP_006304293.1	Np004G212510
OG0000225	XP_023632637.1	Np004G212550, Np004G212570, Np004G212500
OG0000226	XP_023641274.1, XP_006298152.1, XP_006305431.1, XP_006305370.1, XP_023645963.1	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	XP_006289231.1	Np004G230940
OG0000228	XP_023644384.1	Np002G084530
OG0000229	XP_006280936.1, XP_006293511.1	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	XP_006294905.1	Np005G309490
OG0000229	XP_006303339.1, XP_006304149.1	Np007G377500, Np007G377590, Np006G330770
OG0000230	XP_023643581.1, XP_006301653.1, XP_006300992.1	Np002G077370
OG0000230	XP_006303073.1, XP_006300924.1, XP_006303076.1, XP_006303070.1, XP_006303074.1, XP_023643400.1	Np001G017180, Np001G016820, Np002G077300
OG0000230	XP_006301262.1	Np002G077290
OG0000231	XP_006283372.1	Np003G174440
OG0000231	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1	Np004G203320
OG0000232	XP_006296962.1, XP_006296911.1, XP_023632678.1, XP_006296942.1, XP_006296914.1, XP_006286443.2	Np006G352410, Np006G352420
OG0000234	XP_006292545.1	Np001G058680
OG0000234	XP_006292248.1	Np001G058670
OG0000234	XP_006295608.1	Np006G333910
OG0000234	XP_006287124.2	Np003G140390
OG0000236	XP_023642610.1	Np007G382490
OG0000236	XP_006299722.2	Np007G382520, Np007G382570
OG0000236	XP_006289606.1	Np003G177320
OG0000240	XP_006290232.2, XP_006281727.1	Np003G187630
OG0000240	XP_006304782.2, XP_006279442.1	Np002G104290
OG0000242	XP_023645989.1	Np004G242740
OG0000242	XP_006307178.2	Np004G242760
OG0000244	XP_006284545.1	Np005G286400
OG0000244	XP_006289215.1	Np003G183740
OG0000247	XP_006284720.1	Np002G120130, Np002G120100, Np002G120120, Np002G120110
OG0000248	XP_006302421.1	Np002G112170
OG0000248	XP_006292358.1	Np001G048790
OG0000249	XP_006295641.1	Np006G338430, Np001G039620
OG0000249	XP_006294087.1, XP_006294083.1	Np003G177600, Np006G338400
OG0000250	XP_006301741.2	Np002G085780
OG0000250	XP_006284516.1, XP_023644302.1	Np002G086000
OG0000254	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_023643302.1, XP_006302259.2, XP_023643256.1	Np007G383010
OG0000254	XP_023639557.1	Np001G046190
OG0000256	XP_006281060.1, XP_023642516.1	Np004G200500, Np004G200520
OG0000257	XP_006300047.2, XP_006303618.1, XP_006303691.1, XP_006305982.2, XP_006284973.1, XP_006301076.1, XP_023642301.1	Np007G377760
OG0000258	XP_006290957.1, XP_006290955.1	Np001G022690
OG0000258	XP_006282010.1	Np003G156210
OG0000258	XP_006290953.1, XP_023638661.1	Np001G049130, Np001G022660, Np001G022680
OG0000260	XP_023643982.1	Np005G316660
OG0000261	XP_023641349.1	Np002G118890, Np001G020530, Np005G302370, Np002G107620, Np001G046080, Np005G305350, Np002G094330, Np005G297150, Np002G100940, Np006G343230, Np002G100610, Np008G425880, Np001G037380, Np002G102350, Np003G171500, Np004G229620, Np010G433380
OG0000264	XP_006286805.1, XP_006290182.1	Np003G185830
OG0000264	XP_023636139.1, XP_006286807.1	Np003G185810, Np003G185770, Np003G185800
