Orthogroup	Capsella_rubella	Cochlearia_excelsa
OG0000090	XP_023637735.1, XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1, XP_006295429.1, XP_023638023.1, XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1, XP_006305612.2	g10675
OG0000091	XP_023643686.1, XP_023633323.1	g3977
OG0000093	XP_006292664.2	g2360
OG0000093	XP_006292197.1	g18958
OG0000096	XP_023643297.1, XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1, XP_023638028.1, XP_006290453.2	g1538, g1535
OG0000096	XP_006281971.1	g18473
OG0000097	XP_006288252.1	g45186, g45201
OG0000097	XP_023633387.1	g45182
OG0000097	XP_006288400.1, XP_006285555.2, XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1	g40477, g40479, g40476, g40480, g1561
OG0000099	XP_023637360.1, XP_023637436.1, XP_006301961.2	g24889
OG0000100	XP_023638959.1	g17260, g37826
OG0000100	XP_023633443.1	g49149, g32974
OG0000100	XP_023636052.1	g38499
OG0000101	XP_023642309.1, XP_023639256.1	g13563
OG0000104	XP_023645280.1	g31072
OG0000104	XP_006299926.1	g6675
OG0000104	XP_006293405.1	g51119
OG0000106	XP_006289071.1, XP_006289116.1, XP_006301737.1, XP_006296370.1, XP_023640363.1, XP_006296007.1	g6393
OG0000107	XP_006300030.1, XP_006297457.1	g11936
OG0000107	XP_006299861.1	g6757
OG0000107	XP_006290930.1	g6693
OG0000108	XP_023641898.1, XP_006297881.1	g11756
OG0000110	XP_006291045.1	g2009
OG0000110	XP_006282595.1	g50627
OG0000110	XP_023639093.1	g2010
OG0000112	XP_006282356.1, XP_006289168.1	g1342
OG0000113	XP_006282489.2, XP_006285182.1, XP_006284602.1	g43820
OG0000113	XP_023639286.1	g11211
OG0000114	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1	g17433
OG0000114	XP_023643420.1, XP_023643303.1, XP_023643595.1, XP_023641389.1, XP_023638531.1, XP_023634080.1, XP_023634084.1, XP_023634083.1	g18420
OG0000118	XP_006289226.1, XP_006289953.1, XP_006289914.1	g14347, g14348, g14394, g45220, g45247
OG0000118	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000120	XP_006301308.1, XP_006301329.1	g40996
OG0000120	XP_006281901.1	g6424
OG0000120	XP_006296511.1, XP_023644285.1, XP_023644286.1	g32414, g29781
OG0000122	XP_006281577.2	g1066
OG0000123	XP_006285014.1, XP_023634253.1	g25912
OG0000125	XP_006292034.1	g19182
OG0000125	XP_006289049.1	g41348
OG0000125	XP_006292858.1, XP_006281264.1, XP_006292010.1	g2919, g1294, g28781
OG0000126	XP_023640331.1, XP_023640343.1, XP_023644467.1	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732
OG0000126	XP_023640332.1	g16084, g27841, g1792, g4332, g27839, g27662, g37157, g53925, g35446
OG0000128	XP_023644425.1	g31783, g53811, g31875
OG0000129	XP_023635716.1	g4526, g26706, g4684, g11032, g26785, g24533, g54350, g32853, g17644, g52103, g27870, g4667, g18265, g52232, g27388, g6863, g11123, g6327, g23862, g47169, g27185, g24485, g3423
OG0000131	XP_006301152.1	g34673, g32668, g49077, g28772
OG0000131	XP_023640326.1	g15992
OG0000136	XP_006291706.2, XP_006285515.2	g14687
OG0000136	XP_006284296.1	g25040, g25067
OG0000138	XP_023638093.1, XP_006282515.2	g46708
OG0000138	XP_023639004.1	g10345
OG0000138	XP_006291108.1, XP_023639277.1, XP_023638690.1	g10340
OG0000139	XP_023634523.1, XP_023634332.1, XP_023633969.1	g25175
OG0000140	XP_023641991.1	g1248
OG0000140	XP_023640932.1, XP_023642636.1, XP_023640928.1	g28714
OG0000140	XP_006280067.1, XP_006280069.1	g1252, g28702, g28701
OG0000142	XP_023639909.1, XP_023640029.1, XP_023639834.1	g40020
OG0000142	XP_023639968.1, XP_023639767.1, XP_023639879.1	g51131
OG0000142	XP_006294819.1	g51155, g51154, g51130, g51156
OG0000143	XP_023644612.1	g43612, g53735, g1831
OG0000143	XP_023643347.1	g3976
OG0000144	XP_023641182.1	g32634, g26627, g450
OG0000145	XP_023634435.1	g27099, g45420, g46953
OG0000146	XP_006280761.2	g1010
OG0000146	XP_006280742.1	g1011
OG0000147	XP_006296920.1	g5985
OG0000147	XP_006282542.1	g23426
OG0000147	XP_006282289.1	g1105
OG0000147	XP_023643729.1	g46563
OG0000147	XP_006279360.1	g11547
OG0000147	XP_006279406.1	g6339
OG0000147	XP_006293643.2	g50994
OG0000149	XP_023638432.1, XP_023638483.1	g36974
OG0000149	XP_023639042.1	g1676, g28755, g28754
OG0000149	XP_023633454.1	g1282
OG0000149	XP_023638653.1	g54232, g17375
OG0000149	XP_023638620.1	g1278
OG0000149	XP_006292697.1	g2888
OG0000150	XP_023638901.1	g11441, g11440
OG0000151	XP_006281266.1	g915, g28415
OG0000151	XP_006284700.1	g17072
OG0000151	XP_006298742.1	g7540
OG0000151	XP_006298751.1	g14078
OG0000151	XP_006281239.2	g28546
OG0000152	XP_023637477.1, XP_023641896.1	g15848
OG0000154	XP_006306285.1	g27332
OG0000154	XP_006297173.1	g12277
OG0000154	XP_006297174.1	g7492
OG0000154	XP_006287234.1	g54073, g45315, g5784
OG0000155	XP_006286160.1	g23645
OG0000155	XP_023634855.1	g47372
OG0000155	XP_006300024.2	g7340
OG0000156	XP_023640163.1, XP_023640606.1	g2802
OG0000156	XP_023640714.1	g52257
OG0000156	XP_006307271.1, XP_023641004.1	g52256
OG0000157	XP_006300909.1, XP_006301359.2, XP_006290202.1	g1395
OG0000160	XP_006296651.2, XP_006301503.2, XP_006296775.2	g16303, g13162, g13371
OG0000160	XP_006304881.2	g14782, g46745, g36801
OG0000160	XP_023644208.1	g7022, g9694
OG0000161	XP_023640860.1, XP_023640089.1	g392, g9880
OG0000161	XP_023637621.1	g24222, g24219
OG0000161	XP_023644191.1	g45103, g45101
OG0000161	XP_023644190.1	g45131
OG0000162	XP_006302230.1	g26821
OG0000164	XP_006303757.2	g23474
OG0000164	XP_023633845.1	g14196, g38017, g38015, g38013, g38019, g32493
OG0000167	XP_023634123.1	g24121
OG0000167	XP_023634326.1	g24122
OG0000169	XP_023640242.1	g46166
OG0000171	XP_006305640.2	g5177
OG0000171	XP_006302886.1	g44698
OG0000171	XP_023635842.1	g29297
OG0000173	XP_023641904.1	g4808
OG0000173	XP_023633335.1	g26535
OG0000174	XP_023636043.1	g26585, g53787
OG0000174	XP_023644465.1, XP_023634282.1, XP_023636047.1, XP_023644478.1, XP_023641994.1, XP_023634071.1, XP_023644460.1, XP_023644466.1, XP_023645651.1, XP_023640333.1, XP_023634058.1, XP_023634063.1	g3544
OG0000175	XP_006282726.1	g23036
OG0000175	XP_023633909.1	g47947
OG0000176	XP_006281807.1	g27714
OG0000184	XP_023640341.1	g53121, g53878, g53859
OG0000186	XP_023640354.1	g1666
OG0000187	XP_023634987.1	g35037
OG0000188	XP_023632588.1	g35585, g32834, g53191
OG0000188	XP_023634325.1	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406
OG0000188	XP_023638897.1	g34418, g16603, g52966, g34813
OG0000190	XP_006289433.1	g40442
OG0000190	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1	g45158
OG0000190	XP_023635847.1, XP_006289234.1, XP_006286467.1	g45173
OG0000191	XP_006303714.1, XP_006292305.1, XP_006303731.1, XP_006303763.1	g31359
OG0000195	XP_006294957.1	g40143
OG0000195	XP_006302967.1, XP_006284698.1	g18117
OG0000196	XP_006305980.1	g40674
OG0000196	XP_006305145.1	g27686
OG0000197	XP_023634346.1	g27764, g39817
OG0000201	XP_023641351.1, XP_006299457.1, XP_023642625.1	g6534, g11758
OG0000201	XP_023642639.1, XP_006299892.1	g17326, g17323, g17324, g17327, g17336, g17334, g17322, g17332
OG0000201	XP_023641851.1, XP_006299354.1, XP_023641352.1, XP_006298376.1, XP_023641852.1, XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1	g11846
OG0000202	XP_006299501.1	g27177
OG0000202	XP_023641894.1, XP_023641893.1	g10880
OG0000204	XP_006296746.1	g11805
OG0000204	XP_006297875.1	g36933
OG0000205	XP_023642400.1	g32507
OG0000205	XP_023644508.1, XP_023644509.1	g53988
OG0000206	XP_023641361.1, XP_023644322.1	g1573, g22730, g23072, g45047, g16729, g36171, g52105, g17791
OG0000206	XP_023634705.1	g2449, g32347, g27139, g38106, g44429, g37022, g13752, g51222, g23924, g6223
OG0000206	XP_023634331.1	g37934
OG0000206	XP_023640469.1	g11812, g6224
OG0000206	XP_023640397.1	g14640, g9978
OG0000208	XP_006281509.2	g24958, g18133
OG0000208	XP_023635375.1	g6217, g6207
OG0000209	XP_023644381.1	g40830
OG0000209	XP_023642945.1	g40827
OG0000209	XP_023633339.1	g32744
OG0000210	XP_006292602.1	g11480, g11479
OG0000213	XP_006301868.2	g46059, g46056
OG0000213	XP_023642299.1, XP_023641412.1	g7432
OG0000213	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1	g38464
OG0000214	XP_006301794.1	g36825, g36830
OG0000214	XP_023636923.1, XP_023636108.1	g1023, g25454, g25477
OG0000216	XP_006285624.1	g53737
OG0000216	XP_006306137.1, XP_006285218.1, XP_006286276.1	g47412
OG0000217	XP_006300342.1, XP_006300602.2, XP_006301589.1, XP_023643817.1, XP_023643476.1, XP_006300712.1	g31539, g1718
OG0000218	XP_006305966.2	g31564
OG0000218	XP_006306087.1	g49926
OG0000218	XP_006291995.1	g10793
OG0000219	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1	g28368
OG0000219	XP_006293434.1	g46873
OG0000219	XP_023633471.1	g311
OG0000219	XP_006281906.1	g18634
OG0000222	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204
OG0000224	XP_006302386.1	g46370
OG0000224	XP_006299068.1, XP_006291286.1, XP_006300513.1, XP_006301062.1, XP_006301004.1	g40852
OG0000225	XP_006305771.1, XP_006304293.1	g27682
OG0000226	XP_023641274.1, XP_006298152.1	g32332, g32334, g32337
OG0000226	XP_006305431.1, XP_006305370.1, XP_023645963.1	g11864
OG0000228	XP_006289231.1	g32057
OG0000229	XP_006294905.1	g47707
OG0000230	XP_006300992.1	g44430
OG0000230	XP_006301576.1	g46235
OG0000230	XP_006303073.1, XP_006300924.1, XP_006303076.1, XP_006303070.1, XP_006303074.1, XP_023643400.1	g19589, g44426
OG0000231	XP_006283372.1	g46733
OG0000231	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1	g18039
OG0000233	XP_023639098.1	g51845, g15624, g17762
OG0000234	XP_006290668.1	g19127
OG0000234	XP_006292545.1	g19128
OG0000234	XP_006292248.1	g2235
OG0000234	XP_006295608.1	g51765
OG0000234	XP_006287124.2	g29346
OG0000236	XP_006299722.2	g6598
OG0000236	XP_023644265.1	g11672
OG0000238	XP_023644448.1	g32627
OG0000238	XP_023644090.1	g22405, g22409, g22252, g25326
OG0000238	XP_023643898.1	g53046, g52809, g4078, g32889, g53047, g27354, g2143, g27482
OG0000239	XP_006296090.2	g39775
OG0000240	XP_006304782.2, XP_006279442.1	g24726
OG0000240	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2	g11360, g13978
OG0000240	XP_006301448.1, XP_006285195.1	g41655
OG0000242	XP_006297317.1	g14272, g6162
OG0000242	XP_023645571.1	g31494
OG0000242	XP_006307291.2	g31496, g31497, g31498, g31499
OG0000244	XP_006284545.1, XP_006289916.1, XP_006289300.1, XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1, XP_006289616.1, XP_006289215.1	g17320
OG0000247	XP_006284720.1	g28137
OG0000248	XP_023637283.1	g25664
OG0000248	XP_006302421.1	g41086, g41090, g41083
OG0000249	XP_006296366.1	g51603
OG0000249	XP_006294087.1, XP_006294083.1	g37185
OG0000254	XP_023639557.1	g1607
OG0000256	XP_006281060.1, XP_023642516.1	g51896, g51897
OG0000256	XP_006295453.1, XP_006295599.1, XP_006295455.1	g51887
OG0000257	XP_023642301.1	g48005
OG0000258	XP_006282010.1	g39309
OG0000258	XP_006292275.1, XP_006290954.1, XP_006290953.1, XP_023638661.1	g16641
OG0000260	XP_023643982.1	g46771
OG0000260	XP_006285264.2	g17690, g17692, g17691, g25934
OG0000261	XP_023641349.1	g53714, g14389
OG0000264	XP_006290182.1	g25493
OG0000264	XP_006289480.2	g40712
OG0000267	XP_006296499.1	g17092
OG0000268	XP_006292510.2	g1514
OG0000268	XP_006287367.1	g45297
OG0000268	XP_006292488.1	g19165
OG0000270	XP_006302919.1, XP_023644770.1	g27445, g31888, g50111
OG0000271	XP_006287939.1	g6508, g45178
OG0000271	XP_006289516.1	g25541
OG0000274	XP_006281238.1	g28758
OG0000274	XP_006291980.1	g2936, g2910
OG0000274	XP_006295138.1	g39974
OG0000276	XP_006289633.1	g17712, g53651
OG0000276	XP_006286226.1	g17631
OG0000277	XP_006286199.1, XP_006284824.1, XP_006284826.1, XP_006284827.1, XP_006284817.1	g47115
OG0000277	XP_006284821.1	g17643
OG0000278	XP_023636079.1, XP_023636078.1	g3407, g30889
OG0000278	XP_023636104.1, XP_006288761.1, XP_006280995.1	g10751, g26081, g26058
