Orthogroup	Capsella_rubella	Cardamine_amara
OG0000052	XP_023640455.1, XP_023640454.1, XP_023640425.1	evm.model.RL_8.803, evm.model.RL_8.802
OG0000052	XP_023640424.1	evm.model.RL_6.2368
OG0000055	XP_006301460.1	evm.model.RL_3.282
OG0000055	XP_006302241.1	evm.model.RL_3.286
OG0000055	XP_006302237.1	evm.model.RL_3.285
OG0000056	XP_023638967.1, XP_006282913.2	evm.model.RL_1.2423, evm.model.RL_1.2416
OG0000057	XP_006286657.2	evm.model.RL_4.2353
OG0000058	XP_023643276.1	evm.model.RL_1.1905
OG0000059	XP_023637566.1, XP_023637460.1	evm.model.RL_4.1269
OG0000059	XP_023638041.1	evm.model.RL_6.807
OG0000061	XP_023634808.1, XP_023638026.1	evm.model.RL_3.1126
OG0000062	XP_023645325.1	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000066	XP_006304375.1	evm.model.RL_5.1818
OG0000066	XP_006301260.2, XP_006304637.1, XP_006292533.1	evm.model.RL_8.2622
OG0000067	XP_023633398.1, XP_023642606.1, XP_023637635.1, XP_006289558.2, XP_006286541.1	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000069	XP_023644311.1	evm.model.RL_4.1093
OG0000070	XP_023634145.1	evm.model.RL_6.603, evm.model.RL_1.3315, evm.model.RL_2.703, evm.model.RL_3.747, evm.model.RL_3.813, evm.model.RL_8.1022
OG0000071	XP_006301047.2	evm.model.RL_1.2437
OG0000071	XP_023646042.1, XP_023644298.1	evm.model.RL_6.355, evm.model.RL_4.341
OG0000071	XP_023643263.1	evm.model.RL_6.3
OG0000072	XP_023641886.1, XP_023633619.1	evm.model.RL_2.737
OG0000072	XP_023633613.1	evm.model.RL_3.783
OG0000073	XP_006281533.1	evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	XP_023634969.1, XP_023636248.1	evm.model.RL_6.501
OG0000074	XP_006304583.1	evm.model.RL_5.3415
OG0000076	XP_006291102.1	evm.model.RL_7.1484
OG0000076	XP_006293230.1	evm.model.RL_8.1070
OG0000076	XP_023638056.1, XP_023639204.1	evm.model.RL_6.1653
OG0000077	XP_023633364.1, XP_006281848.1, XP_006281030.1, XP_006280653.1	evm.model.RL_4.914, evm.model.RL_4.878
OG0000077	XP_023634488.1	evm.model.RL_2.3382
OG0000077	XP_006286716.1	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145
OG0000077	XP_023635518.1	evm.model.RL_2.3381
OG0000078	XP_023642819.1, XP_023644458.1, XP_023644523.1, XP_023633346.1, XP_023633349.1, XP_023640339.1	evm.model.RL_7.1903
OG0000078	XP_023634352.1	evm.model.RL_3.798
OG0000079	XP_006290714.1	evm.model.RL_7.465
OG0000080	XP_023634933.1	evm.model.RL_2.499
OG0000080	XP_023645797.1, XP_006307356.2	evm.model.RL_5.2173
OG0000080	XP_023640829.1	evm.model.RL_6.1107
OG0000081	XP_023644303.1	evm.model.RL_5.1972
OG0000081	XP_023643266.1, XP_023643267.1	evm.model.RL_4.293
OG0000082	XP_023642613.1	evm.model.RL_7.1932
OG0000083	XP_006299852.1	evm.model.RL_1.2208
OG0000084	XP_006295595.1	evm.model.RL_6.313
OG0000086	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	XP_006287738.1	evm.model.RL_4.1345
OG0000087	XP_006294210.1	evm.model.RL_6.1057
OG0000087	XP_006292748.1, XP_006291122.1	evm.model.RL_7.1685
OG0000087	XP_006289933.1	evm.model.RL_4.2360
OG0000087	XP_006281513.1	evm.model.RL_4.428
OG0000087	XP_006283733.1	evm.model.RL_2.1599
OG0000087	XP_006307490.1	evm.model.RL_5.1831
OG0000087	XP_006302256.1	evm.model.RL_3.1990
OG0000088	XP_023640385.1, XP_006296540.2, XP_023639002.1, XP_023637739.1, XP_023639072.1	evm.model.RL_7.1629
OG0000088	XP_023644362.1	evm.model.RL_8.1137
OG0000089	XP_006287952.1	evm.model.RL_4.2603
OG0000089	XP_006297920.1	evm.model.RL_1.1790.1.687c87ee
OG0000089	XP_006295821.1, XP_006295441.1	evm.model.RL_6.2333
OG0000089	XP_006297921.1	evm.model.RL_1.1121
OG0000090	XP_006304273.1	evm.model.RL_5.1846
OG0000090	XP_023637791.1	evm.model.RL_4.706
OG0000090	XP_006302938.1	evm.model.RL_3.2006
OG0000090	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1	evm.model.RL_2.2972
OG0000090	XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1	evm.model.RL_7.2545
OG0000090	XP_006305612.2	evm.model.RL_5.885
OG0000093	XP_006292664.2	evm.model.RL_7.523
OG0000096	XP_023643297.1	evm.model.RL_3.612
OG0000096	XP_006292432.2	evm.model.RL_7.2530
OG0000096	XP_006293218.1, XP_006292790.1	evm.model.RL_7.2533
OG0000096	XP_023638028.1, XP_006290453.2	evm.model.RL_4.275
OG0000096	XP_006281971.1	evm.model.RL_4.362
OG0000096	XP_006280897.2	evm.model.RL_8.633, evm.model.RL_4.313, evm.model.RL_4.314, evm.model.RL_4.324, evm.model.RL_4.323
OG0000097	XP_006288252.1	evm.model.RL_8.394
OG0000097	XP_006289089.1	evm.model.RL_8.392
OG0000097	XP_006288348.1	evm.model.RL_2.828
OG0000097	XP_006288400.1	evm.model.RL_8.388
OG0000097	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1	evm.model.RL_8.395
OG0000098	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1	evm.model.RL_3.229
OG0000099	XP_006299358.1, XP_006301980.1, XP_023637514.1, XP_006301668.1	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000101	XP_023644343.1	evm.model.RL_3.664
OG0000104	XP_006296547.2	evm.model.RL_6.1005
OG0000104	XP_006296171.1	evm.model.RL_6.1006
OG0000104	XP_023645616.1	evm.model.RL_5.2109
OG0000104	XP_006299926.1	evm.model.RL_1.2055
OG0000106	XP_006299978.1	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	XP_006297893.1	evm.model.RL_7.1393, evm.model.RL_1.1896
OG0000107	XP_023642039.1, XP_006299064.2	evm.model.RL_1.1928
OG0000108	XP_006305026.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	XP_006292655.1	evm.model.RL_3.231
OG0000110	XP_006291250.1	evm.model.RL_7.771
OG0000110	XP_006290900.1	evm.model.RL_7.1925
OG0000110	XP_006291075.1	evm.model.RL_7.432
OG0000112	XP_006281753.1	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167
OG0000113	XP_006282489.2	evm.model.RL_4.208
OG0000113	XP_006285182.1, XP_006284602.1	evm.model.RL_2.149
OG0000114	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	XP_006282379.2, XP_023640588.1, XP_023640573.1, XP_006279879.2	evm.model.RL_4.611
OG0000115	XP_023634397.1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1	evm.model.RL_5.1553
OG0000118	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1	evm.model.RL_8.709, evm.model.RL_8.712
OG0000120	XP_006301308.1, XP_006301329.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	XP_006284913.2	evm.model.RL_2.990, evm.model.RL_2.937
OG0000120	XP_006281901.1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000122	XP_006307679.1	evm.model.RL_8.1715
OG0000122	XP_006281892.1	evm.model.RL_8.1713
OG0000123	XP_006303793.1	evm.model.RL_5.1209
OG0000123	XP_006292772.1	evm.model.RL_5.1211
OG0000124	XP_023644493.1	evm.model.RL_4.540
OG0000125	XP_006292034.1	evm.model.RL_7.1020
OG0000125	XP_006298831.2, XP_006286660.1	evm.model.RL_4.3281
OG0000125	XP_006289049.1	evm.model.RL_4.1435
OG0000125	XP_006281264.1	evm.model.RL_8.2069
OG0000125	XP_006292010.1	evm.model.RL_7.1764, evm.model.RL_7.1769
OG0000126	XP_023640331.1, XP_023640343.1, XP_023644467.1	evm.model.RL_1.2513
OG0000126	XP_023639622.1, XP_023644237.1, XP_023640332.1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	XP_006287625.1	evm.model.RL_4.3345
OG0000127	XP_006289415.1	evm.model.RL_4.3343
OG0000127	XP_006300213.2	evm.model.RL_1.822
OG0000127	XP_023637594.1	evm.model.RL_4.3344
OG0000128	XP_023644425.1	evm.model.RL_4.1217
OG0000131	XP_006301152.1	evm.model.RL_5.2318
OG0000135	XP_023634595.1	evm.model.RL_5.2429
OG0000136	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2	evm.model.RL_3.1028
OG0000136	XP_006291706.2	evm.model.RL_2.429
OG0000137	XP_023638979.1	evm.model.RL_7.1543
OG0000137	XP_023635269.1	evm.model.RL_2.50
OG0000139	XP_023634523.1	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	XP_023638993.1	evm.model.RL_7.1690
OG0000140	XP_023641991.1	evm.model.RL_8.2003
OG0000143	XP_023644612.1	evm.model.RL_8.1036
OG0000144	XP_023641182.1, XP_023637233.1, XP_006298993.2, XP_006288329.2	evm.model.RL_8.1451
OG0000145	XP_023637080.1	evm.model.RL_2.934
OG0000147	XP_006282542.1	evm.model.RL_2.2536
OG0000147	XP_006282289.1	evm.model.RL_8.1812
OG0000147	XP_023643729.1	evm.model.RL_3.2406
OG0000147	XP_006279406.1	evm.model.RL_1.2583
OG0000147	XP_006293643.2	evm.model.RL_6.348
OG0000149	XP_006292697.1	evm.model.RL_7.1739
OG0000150	XP_023638877.1, XP_006292836.2, XP_006292499.2, XP_006291315.2	evm.model.RL_7.1807
OG0000150	XP_023638901.1	evm.model.RL_7.1810
OG0000151	XP_006281266.1	evm.model.RL_8.1422
OG0000151	XP_006284700.1	evm.model.RL_2.2307
OG0000151	XP_006298742.1	evm.model.RL_1.777
OG0000151	XP_023641832.1	evm.model.RL_1.778
OG0000151	XP_006298751.1	evm.model.RL_1.2853
OG0000151	XP_006281239.2	evm.model.RL_8.1691
OG0000151	XP_006302865.2, XP_006284706.1	evm.model.RL_3.61
OG0000154	XP_006306285.1	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	XP_006297174.1	evm.model.RL_1.853
OG0000154	XP_006290203.1	evm.model.RL_2.489
OG0000155	XP_006286160.1	evm.model.RL_2.2243
OG0000155	XP_023640442.1	evm.model.RL_3.1179
OG0000156	XP_023640163.1, XP_023640606.1	evm.model.RL_6.2689
OG0000156	XP_023640714.1	evm.model.RL_4.1065
OG0000156	XP_023639945.1	evm.model.RL_6.2692
OG0000156	XP_006307271.1	evm.model.RL_8.1108, evm.model.RL_8.1107
OG0000156	XP_023641004.1	evm.model.RL_6.2691
OG0000157	XP_006300909.1, XP_006301359.2, XP_006290202.1	evm.model.RL_5.213
OG0000158	XP_006285768.2	evm.model.RL_2.3209, evm.model.RL_2.3204, evm.model.RL_2.3199
OG0000158	XP_023635458.1	evm.model.RL_4.1378
OG0000158	XP_006289701.2, XP_006289843.2	evm.model.RL_6.58
OG0000161	XP_023644191.1	evm.model.RL_3.891
OG0000161	XP_023644190.1	evm.model.RL_3.897
OG0000162	XP_006302230.1	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	XP_006294103.1	evm.model.RL_6.2628
OG0000164	XP_023633845.1	evm.model.RL_4.581, evm.model.RL_2.1488
OG0000167	XP_023634123.1	evm.model.RL_2.1517
OG0000167	XP_023633844.1	evm.model.RL_2.1514
OG0000169	XP_023640595.1	evm.model.RL_6.454
OG0000169	XP_023643289.1	evm.model.RL_3.574
OG0000171	XP_006305640.2	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461
OG0000171	XP_023635842.1	evm.model.RL_4.2162.1.687c86d7
OG0000172	XP_006291171.1	evm.model.RL_7.119
OG0000172	XP_006293105.1	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	XP_023639081.1	evm.model.RL_7.463, evm.model.RL_7.1680, evm.model.RL_7.1683, evm.model.RL_7.1679
OG0000173	XP_023642043.1, XP_023641904.1, XP_023641912.1, XP_023633335.1	evm.model.RL_5.288
OG0000174	XP_023634620.1, XP_023640324.1, XP_023636043.1	evm.model.RL_7.2138
OG0000175	XP_006293293.1	evm.model.RL_7.1254
OG0000175	XP_006302850.1	evm.model.RL_3.1995
OG0000175	XP_006305647.1	evm.model.RL_5.1839
OG0000175	XP_006282726.1	evm.model.RL_2.3025
OG0000175	XP_006296623.1	evm.model.RL_1.2964
OG0000175	XP_023633909.1	evm.model.RL_2.3122
OG0000176	XP_006306555.2	evm.model.RL_5.2855
OG0000180	XP_006288439.1	evm.model.RL_4.643
OG0000181	XP_023638057.1	evm.model.RL_6.478
OG0000186	XP_023640354.1	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	XP_023641259.1	evm.model.RL_1.1017
OG0000188	XP_023634325.1	evm.model.RL_1.2150, evm.model.RL_1.1078
OG0000189	XP_006289268.1, XP_023634627.1	evm.model.RL_5.2279, evm.model.RL_4.1578
OG0000190	XP_006289433.1	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	XP_006286464.1	evm.model.RL_8.473
OG0000190	XP_006286371.1	evm.model.RL_8.474.1.687c8557
OG0000190	XP_006286468.1	evm.model.RL_8.916
OG0000191	XP_006299132.1	evm.model.RL_1.1587
OG0000192	XP_006303161.1, XP_006283212.1, XP_006306845.1	evm.model.RL_5.3624
OG0000195	XP_006294957.1	evm.model.RL_6.761
OG0000195	XP_023641020.1	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	XP_006302967.1, XP_006284698.1	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000195	XP_006286601.1, XP_023639142.1	evm.model.RL_4.1537, evm.model.RL_7.1974
OG0000196	XP_006303722.1, XP_006305143.1	evm.model.RL_5.2252
OG0000196	XP_006305145.1	evm.model.RL_1.1858
OG0000197	XP_023635498.1	evm.model.RL_2.70
OG0000197	XP_023638924.1, XP_006283424.1, XP_023634346.1	evm.model.RL_2.911
OG0000200	XP_023645782.1	evm.model.RL_5.455
OG0000200	XP_006300085.1	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000201	XP_006299354.1	evm.model.RL_1.2115
OG0000204	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1, XP_006296746.1, XP_006297875.1, XP_023633756.1	evm.model.RL_1.2062
OG0000205	XP_023642400.1	evm.model.RL_8.836
OG0000207	XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1	evm.model.RL_3.2271
OG0000208	XP_006283573.1	evm.model.RL_2.3387
OG0000209	XP_023642946.1	evm.model.RL_3.57
OG0000209	XP_023644381.1	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	XP_023642945.1	evm.model.RL_7.2654
OG0000209	XP_023633824.1	evm.model.RL_2.160
OG0000209	XP_023634335.1, XP_023633580.1	evm.model.RL_2.161
OG0000213	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1	evm.model.RL_6.204
OG0000214	XP_006301794.1	evm.model.RL_7.215
OG0000214	XP_006286785.2	evm.model.RL_8.81, evm.model.RL_8.239
OG0000217	XP_006301589.1	evm.model.RL_7.1931
OG0000217	XP_006300757.2	evm.model.RL_3.511.1.687c84ba
OG0000217	XP_006300705.1	evm.model.RL_3.599
OG0000218	XP_006305966.2	evm.model.RL_5.1346
OG0000218	XP_006306087.1	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	XP_006291995.1	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1	evm.model.RL_3.1053
OG0000219	XP_006295440.2	evm.model.RL_6.1078
OG0000219	XP_006293434.1	evm.model.RL_6.1077
OG0000220	XP_006303240.1	evm.model.RL_3.318
OG0000224	XP_006301754.1	evm.model.RL_3.2157
OG0000224	XP_006302386.1	evm.model.RL_3.2156
OG0000225	XP_006305710.2, XP_006304552.1	evm.model.RL_5.2983
OG0000225	XP_006305771.1, XP_006304293.1	evm.model.RL_5.2981
OG0000225	XP_006305764.1, XP_006304484.1	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000228	XP_006301818.1	evm.model.RL_3.1491
OG0000228	XP_006289231.1	evm.model.RL_4.998
OG0000228	XP_023644384.1	evm.model.RL_3.1486
OG0000229	XP_006280936.1, XP_006293511.1	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	XP_006304151.2, XP_006303339.1, XP_006304149.1	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	XP_006283372.1	evm.model.RL_2.361
OG0000231	XP_023645946.1, XP_023643170.1, XP_023643807.1	evm.model.RL_3.1104
OG0000232	XP_006286443.2	evm.model.RL_5.1311
OG0000234	XP_006292174.1	evm.model.RL_7.1848
OG0000234	XP_006290668.1	evm.model.RL_7.860
OG0000234	XP_006292545.1	evm.model.RL_7.861
OG0000234	XP_006292248.1	evm.model.RL_7.862
OG0000234	XP_006295608.1	evm.model.RL_6.2046
OG0000234	XP_006287124.2	evm.model.RL_4.2267
OG0000238	XP_023638933.1	evm.model.RL_4.549
OG0000240	XP_006290232.2, XP_006281727.1	evm.model.RL_4.753
OG0000240	XP_006301448.1, XP_006285195.1	evm.model.RL_2.1026
OG0000242	XP_006297317.1	evm.model.RL_1.2752, evm.model.RL_1.2751
OG0000244	XP_006284545.1	evm.model.RL_2.1690
OG0000248	XP_023635820.1	evm.model.RL_8.548
OG0000248	XP_006292358.1	evm.model.RL_7.722
OG0000249	XP_006296366.1	evm.model.RL_6.1769
OG0000249	XP_006294087.1, XP_006294083.1	evm.model.RL_6.1770
OG0000252	XP_023635829.1, XP_006295841.1, XP_023639230.1	evm.model.RL_1.1880
OG0000256	XP_006281060.1, XP_023642516.1	evm.model.RL_2.275
OG0000256	XP_006294980.1	evm.model.RL_6.2167
OG0000257	XP_006300047.2	evm.model.RL_6.895
OG0000258	XP_006290957.1, XP_006290955.1	evm.model.RL_7.2389
OG0000258	XP_006290953.1, XP_023638661.1	evm.model.RL_7.2388
OG0000260	XP_023641923.1, XP_023633599.1	evm.model.RL_5.2925
OG0000260	XP_023643982.1	evm.model.RL_4.3199
OG0000260	XP_006285264.2	evm.model.RL_7.274
OG0000264	XP_006290182.1	evm.model.RL_8.323
OG0000264	XP_023636139.1, XP_006286807.1	evm.model.RL_8.324
OG0000265	XP_023635719.1	evm.model.RL_4.1725
OG0000266	XP_023645896.1	evm.model.RL_7.312, evm.model.RL_7.607, evm.model.RL_7.609, evm.model.RL_4.61, evm.model.RL_7.608
OG0000268	XP_006292510.2	evm.model.RL_7.2613
OG0000268	XP_023643441.1	evm.model.RL_3.272
OG0000268	XP_006287367.1	evm.model.RL_4.3350
OG0000268	XP_006292488.1	evm.model.RL_7.967
OG0000270	XP_006302919.1, XP_023644770.1	evm.model.RL_5.1819
OG0000271	XP_006299908.2, XP_006288300.1, XP_006288303.1	evm.model.RL_4.3215
OG0000271	XP_006306291.1	evm.model.RL_1.889
OG0000271	XP_006289516.1	evm.model.RL_4.3212
OG0000273	XP_006281771.1, XP_006307122.1, XP_006304613.1, XP_006304877.1	evm.model.RL_5.2635
OG0000274	XP_006281238.1	evm.model.RL_8.2049
OG0000274	XP_006291980.1	evm.model.RL_7.1747, evm.model.RL_7.1745
OG0000274	XP_023642855.1	evm.model.RL_3.504
OG0000274	XP_006295138.1	evm.model.RL_6.1051
OG0000275	XP_006299855.1	evm.model.RL_3.456, evm.model.RL_1.2114
OG0000278	XP_006292952.1, XP_023637248.1	evm.model.RL_8.184, evm.model.RL_8.181
OG0000278	XP_023636104.1, XP_006288761.1	evm.model.RL_8.1959
OG0000278	XP_006280995.1	evm.model.RL_8.1993
OG0000279	XP_023635807.1, XP_023639599.1, XP_023641906.1	evm.model.RL_6.568
OG0000281	XP_006286208.2	evm.model.RL_2.1747
OG0000282	XP_006289542.2, XP_006289289.1	evm.model.RL_4.2795
OG0000282	XP_006289379.1	evm.model.RL_4.226, evm.model.RL_4.2794
OG0000282	XP_006286767.1	evm.model.RL_4.2792
