Orthogroup	Cochlearia_excelsa	Rorippa_islandica
OG0000012	g3436	Roisl.0209s0518.1.p
OG0000014	g19791, g52909	Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p
OG0000014	g26674, g4300, g16405, g35809, g35692, g30259	Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p
OG0000014	g39175, g3068, g53260, g44812, g24010, g44192, g35833, g47228, g8005, g17573, g9319, g39176, g26698, g53409, g35837, g53673, g35518, g3069, g26725, g41542, g6234, g11588, g8003, g9317, g47231, g28023, g54113, g17572, g53675, g54116, g54241, g4887	Roisl.0185s0037.1.p, Roisl.0066s0434.1.p
OG0000014	g21528, g48055, g34423, g3243	Roisl.0082s0067.1.p
OG0000014	g3040, g14220, g34324, g32793, g24981, g53174	Roisl.0191s0716.1.p
OG0000014	g27317	Roisl.0214s0221.1.p
OG0000014	g2094	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p
OG0000014	g30067	Roisl.0071s0004.1.p
OG0000014	g20317	Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p
OG0000014	g35163, g51018	Roisl.0061s0004.1.p
OG0000014	g53893	Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p
OG0000014	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575	Roisl.0023s0108.1.p
OG0000014	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823	Roisl.0041s0069.1.p
OG0000014	g48054	Roisl.0214s0137.1.p
OG0000015	g53143, g40661, g34265, g35247, g53815, g14879	Roisl.0209s0111.1.p, Roisl.0066s0288.1.p
OG0000015	g35711	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	g53567	Roisl.0209s0284.1.p
OG0000015	g53814, g952, g32985, g12170, g24863, g14880	Roisl.0214s0740.1.p
OG0000015	g40286, g1778	Roisl.0053s0047.1.p
OG0000015	g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977	Roisl.0032s0105.1.p
OG0000016	g48491	Roisl.0053s0071.1.p
OG0000016	g26037	Roisl.0061s0009.1.p
OG0000016	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664, g20467, g34722, g30434, g30429, g21277, g25157	Roisl.0210s2086.1.p
OG0000016	g43401, g3658, g38750, g11415	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p
OG0000016	g4159, g25159, g15828, g15815, g15878	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p
OG0000016	g33102	Roisl.0055s0062.1.p, Roisl.0053s0143.1.p
OG0000016	g14572, g43981	Roisl.0189s0002.1.p, Roisl.0037s0021.1.p, Roisl.0210s2215.1.p
OG0000016	g26416, g24990	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p
OG0000016	g34721, g20468, g34715, g30435	Roisl.0011s0411.1.p, Roisl.0002s0269.1.p, Roisl.0200s0017.1.p
OG0000016	g33207	Roisl.0037s0080.1.p, Roisl.0102s0001.1.p
OG0000016	g15856	Roisl.0082s0082.1.p
OG0000016	g15924	Roisl.0065s0009.1.p, Roisl.0111s0013.1.p
OG0000016	g26036	Roisl.0188s0139.1.p, Roisl.0014s0105.1.p, Roisl.0022s0022.1.p, Roisl.0201s0019.1.p, Roisl.0184s0048.1.p, Roisl.0041s0040.1.p, Roisl.0014s0101.1.p, Roisl.0188s0073.1.p, Roisl.0066s0435.1.p, Roisl.0074s0171.1.p
OG0000016	g14663	Roisl.0041s0052.1.p, Roisl.0023s0004.1.p, Roisl.0078s0001.1.p, Roisl.0066s0442.1.p, Roisl.0036s0004.1.p, Roisl.0204s0001.1.p, Roisl.0058s0101.1.p, Roisl.0087s0001.1.p, Roisl.0022s0047.1.p, Roisl.0194s0030.1.p, Roisl.0053s0109.1.p, Roisl.0184s0040.1.p, Roisl.0021s0642.1.p, Roisl.0066s0152.1.p, Roisl.0040s0045.1.p, Roisl.0059s0003.1.p, Roisl.0184s0029.1.p, Roisl.0075s0211.1.p, Roisl.0022s0020.1.p, Roisl.0209s0130.1.p, Roisl.0188s0136.1.p
OG0000016	g42778	Roisl.0020s0190.1.p
OG0000018	g25254, g16179, g41562, g22550, g22233	Roisl.0194s0035.1.p, Roisl.0111s0039.1.p
OG0000020	g32689, g14805	Roisl.0179s0050.1.p
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p
OG0000020	g34543	Roisl.0037s0007.1.p, Roisl.0066s0087.1.p
OG0000020	g4186	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p, Roisl.0037s0008.1.p, Roisl.0211s0007.1.p, Roisl.0214s0109.1.p
OG0000020	g41994	Roisl.0188s0046.1.p
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p
OG0000021	g33125, g14567, g25750	Roisl.0014s0139.1.p
OG0000021	g33471	Roisl.0066s0257.1.p
OG0000022	g17118	Roisl.0022s0346.1.p
OG0000022	g5030	Roisl.0210s1365.1.p
OG0000022	g40889	Roisl.0010s0095.1.p, Roisl.0010s0161.1.p, Roisl.0010s0065.1.p
OG0000022	g45205, g45149, g24844	Roisl.0010s0088.1.p
OG0000022	g40888	Roisl.0010s0069.1.p
OG0000022	g40751	Roisl.0050s0030.1.p
OG0000022	g40752	Roisl.0050s0031.1.p
OG0000022	g13269	Roisl.0009s0109.1.p, Roisl.0074s0275.1.p
OG0000024	g43450	Roisl.0015s0178.1.p
OG0000024	g2269	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p
OG0000024	g28294	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	g17280, g46637, g25246, g50791	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	g36073, g28599	Roisl.0213s0871.1.p
OG0000027	g43193, g48946	Roisl.0213s0580.1.p
OG0000027	g48943	Roisl.0213s0584.1.p
OG0000027	g48949	Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000028	g24597, g39418	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p
OG0000030	g38367, g38376, g38372, g38380	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	g13799, g13797	Roisl.0046s0887.1.p
OG0000030	g13193, g13194	Roisl.0042s0059.1.p
OG0000030	g44631	Roisl.0021s0166.1.p, Roisl.0091s0622.1.p, Roisl.0074s0641.1.p
OG0000031	g42618	Roisl.0048s0016.1.p
OG0000031	g39351, g7244, g17718, g41293	Roisl.0020s0175.1.p, Roisl.0191s0693.1.p, Roisl.0020s0186.1.p, Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p, Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p, Roisl.0188s0032.1.p, Roisl.0036s0104.1.p, Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p
OG0000032	g8719, g35299	Roisl.0021s0539.1.p
OG0000032	g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781	Roisl.0184s0186.1.p
OG0000032	g49592	Roisl.0005s0192.1.p
OG0000032	g4129, g3254, g35284	Roisl.0029s0063.1.p
OG0000032	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006	Roisl.0188s0018.1.p
OG0000034	g23911	Roisl.0008s0068.1.p
OG0000034	g24014	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p, Roisl.0091s0190.1.p
OG0000034	g50699	Roisl.0191s0566.1.p
OG0000034	g23912	Roisl.0214s0905.1.p
OG0000035	g42054, g13304, g42055	Roisl.0214s0147.1.p
OG0000038	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000038	g14573, g41376	Roisl.0024s0539.1.p
OG0000040	g49152	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p
OG0000040	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p
OG0000040	g32821, g17388, g28310, g1466, g41711, g22786	Roisl.0209s0055.1.p
OG0000040	g12385	Roisl.0046s0436.1.p
OG0000041	g17744, g146, g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028, g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828, g41708, g839, g6204, g4882, g54105, g19084, g12227, g51517, g45168, g27877, g45435, g46801, g7668, g53419, g39804, g44227, g36235, g49353, g43914, g11652	Roisl.0046s0022.1.p
OG0000042	g8825	Roisl.0032s0094.1.p
OG0000042	g38829, g20859, g48552, g53555, g47921	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	g40103	Roisl.0058s0030.1.p
OG0000042	g31170	Roisl.0214s0122.1.p
OG0000042	g44909, g43791	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000042	g14857, g33113	Roisl.0032s0093.1.p
OG0000042	g6307, g53556	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p
OG0000042	g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339	Roisl.0028s0881.1.p
OG0000043	g38500	Roisl.0210s1685.1.p
OG0000043	g21290, g3846, g20451, g31368	Roisl.0214s0265.1.p
OG0000043	g49667	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p
OG0000043	g53399, g13162, g50196, g46746, g14780, g13371	Roisl.0080s0178.1.p
OG0000043	g52052, g38502, g20449	Roisl.0023s0085.1.p
OG0000043	g31229, g24493, g12585, g3844, g50586	Roisl.0013s0195.1.p
OG0000044	g18482	Roisl.0005s0150.1.p
OG0000044	g28154	Roisl.0079s0325.1.p, Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p, Roisl.0210s1498.1.p, Roisl.0005s0218.1.p, Roisl.0091s0682.1.p, Roisl.0091s0647.1.p, Roisl.0046s0833.1.p, Roisl.0002s0057.1.p
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490	Roisl.0210s2226.1.p
OG0000046	g3382, g2931	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	g26196, g11589	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000047	g20823	Roisl.0029s0050.1.p
OG0000047	g3147	Roisl.0066s0352.1.p
OG0000047	g29255	Roisl.0038s0004.1.p, Roisl.0214s0886.1.p
OG0000048	g51285	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	g39852, g39841	Roisl.0017s0510.1.p
OG0000048	g29294, g52069, g52073, g52064	Roisl.0028s0615.1.p
OG0000050	g32289, g4074, g19665	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	g51073	Roisl.0198s0058.1.p
OG0000050	g44252	Roisl.0214s0827.1.p
OG0000050	g30921, g53630, g4397, g10583	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p
OG0000050	g182	Roisl.0082s0464.1.p
OG0000051	g53934, g37450	Roisl.0189s0079.1.p
OG0000054	g53199	Roisl.0214s0230.1.p
OG0000054	g25225, g3036	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p
OG0000054	g34524, g34533, g30257	Roisl.0053s0423.1.p
OG0000054	g14843	Roisl.0055s0018.1.p, Roisl.0184s0210.1.p, Roisl.0210s2114.1.p
OG0000054	g32562	Roisl.0189s0042.1.p
OG0000055	g27361	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	g700	Roisl.0074s0202.1.p
OG0000056	g44206, g40901	Roisl.0209s0402.1.p
OG0000059	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347	Roisl.0019s0251.1.p
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	Roisl.0080s0272.1.p, Roisl.0209s0337.1.p, Roisl.0080s0305.1.p, Roisl.0091s1062.1.p, Roisl.0017s0101.1.p, Roisl.0046s1351.1.p, Roisl.0209s0295.1.p, Roisl.0082s0647.1.p
OG0000061	g23667	Roisl.0033s0004.1.p
OG0000065	g46719	Roisl.0024s0085.1.p
OG0000065	g44951	Roisl.0024s0082.1.p, Roisl.0024s0079.1.p
OG0000065	g18042	Roisl.0214s0743.1.p, Roisl.0024s0073.1.p
OG0000065	g46717	Roisl.0213s0852.1.p
OG0000066	g49660, g5416, g9719	Roisl.0210s0757.1.p
OG0000066	g29501, g45535	Roisl.0024s0428.1.p
OG0000066	g5393	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p
OG0000067	g12886	Roisl.0046s0696.1.p
OG0000068	g27956, g25385, g25390, g46783	Roisl.0034s0163.1.p, Roisl.0191s0458.1.p, Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p, Roisl.0011s0041.1.p, Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	g13531	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p, Roisl.0115s0002.1.p
OG0000069	g39973	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p
OG0000070	g10675	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	g50123	Roisl.0007s0115.1.p
OG0000070	g46242	Roisl.0004s0297.1.p
OG0000070	g44417	Roisl.0075s0011.1.p
OG0000073	g36963, g43389, g14644, g41342	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p
OG0000073	g51830	Roisl.0041s0046.1.p
OG0000073	g7180, g13794	Roisl.0210s1691.1.p, Roisl.0046s0358.1.p
OG0000074	g48940, g1489, g14333, g35046	Roisl.0054s0034.1.p
OG0000075	g1450	Roisl.0214s0076.1.p
OG0000075	g25975, g22716	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p
OG0000075	g46525	Roisl.0046s0019.1.p, Roisl.0001s0335.1.p
OG0000077	g18473	Roisl.0005s0349.1.p, Roisl.0012s0164.1.p, Roisl.0012s0354.1.p
OG0000077	g18408	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p
OG0000077	g1538, g1535	Roisl.0214s0808.1.p, Roisl.0005s0288.1.p, Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p, Roisl.0011s0230.1.p, Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p
OG0000077	g44008, g44007, g44009	Roisl.0214s0806.1.p
OG0000078	g4945	Roisl.0016s0323.1.p, Roisl.0016s0321.1.p, Roisl.0016s0324.1.p
