Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_NCBI
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	XP_020865814.1
OG0000015	g26256, g5557, g43592, g35813, g36776	XP_020890755.1, XP_020889910.1
OG0000018	g16177, g16042, g30020, g19811, g42269	XP_020876240.1
OG0000020	g32689, g14805	XP_002862745.2, XP_020874187.1
OG0000020	g4186	XP_020873825.1, XP_020878844.1, XP_020877054.1, XP_020869021.1, XP_020872420.1, XP_020884768.1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1
OG0000021	g33125, g14567, g25750	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1
OG0000022	g17118	XP_020873422.1
OG0000022	g5030	XP_020878202.1
OG0000022	g40889	XP_020889844.1, XP_002886462.1
OG0000022	g40888	XP_020890773.1
OG0000022	g40751	XP_020865918.1
OG0000022	g40752	XP_020890021.1
OG0000022	g13269	XP_002868609.1, XP_002883021.2
OG0000023	g14801, g15067	XP_020870611.1
OG0000023	g42217	XP_020875036.1
OG0000023	g52731, g52732	XP_020871051.1
OG0000023	g15121	XP_020881510.1, XP_020874804.1, XP_020872198.1
OG0000023	g3443, g34449, g34444	XP_020890011.1
OG0000024	g2269	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2
OG0000024	g28294	XP_002893654.2
OG0000025	g17280, g46637, g25246, g50791	XP_020877486.1, XP_020889652.1
OG0000026	g36073, g28599	XP_020879791.1
OG0000027	g25723	XP_002872592.1
OG0000027	g25717, g25713, g48941, g48949	XP_002872595.1
OG0000027	g40374	XP_020867640.1
OG0000030	g38367, g38376, g38372, g38380	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000030	g13799, g13797	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	g13193, g13194	XP_020889857.1
OG0000030	g44631	XP_020869589.1, XP_020885911.1, XP_020890322.1
OG0000031	g39351, g7244, g17718, g41293	XP_020872075.1, XP_020890956.1, XP_020882438.1, XP_020870253.1
OG0000034	g23911	XP_002869784.2
OG0000034	g24014	XP_020873360.1, XP_002867849.1
OG0000034	g23912	XP_020873356.1
OG0000034	g23905	XP_020872543.1
OG0000038	g41377, g32262, g25866	XP_020876468.1
OG0000038	g16819, g41305	XP_020880729.1
OG0000040	g49152	XP_020891386.1
OG0000040	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980	XP_020888726.1
OG0000040	g32821, g17388	XP_020872994.1, XP_020882425.1
OG0000040	g28310, g1466, g41711, g22786	XP_020870158.1
OG0000041	g147, g45167, g24813, g2502, g53420, g1493, g39805, g10790, g44228, g51916, g7666, g10267, g43788, g43772, g13437	XP_020876966.1
OG0000042	g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921	XP_020872945.1
OG0000042	g43790, g5736, g43774, g44909, g43791	XP_020876174.1
OG0000043	g53399, g13162, g50196, g46746, g14780, g13371	XP_020871723.1
OG0000044	g10944	XP_020886914.1
OG0000044	g18482	XP_020880043.1, XP_020867167.1
OG0000044	g28154	XP_002884747.1, XP_020890887.1, XP_002863747.1, XP_002873864.1, XP_020875361.1
OG0000046	g3382, g2931	XP_020871374.1, XP_020877131.1
OG0000046	g26196, g11589	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000047	g20823, g3147	XP_020883415.1
OG0000048	g29294, g52069, g52073, g52064	XP_002886496.1, XP_002886498.2
OG0000049	g25569	XP_020866728.1
OG0000049	g19299, g16644, g2521	XP_020870708.1
OG0000049	g7127	XP_020887816.1
OG0000050	g19665	XP_020880718.1, XP_002879393.2
OG0000051	g53934, g37450	XP_020883307.1
OG0000052	g1602, g3195	XP_020881407.1, XP_020881410.1, XP_020881406.1
OG0000052	g2410	XP_020880077.1
OG0000052	g44053	XP_020879880.1
OG0000055	g27361	XP_020889173.1
OG0000055	g700	XP_002885221.2, XP_020889148.1
OG0000055	g50182, g50184, g50186	XP_020883674.1, XP_020876181.1
OG0000056	g44206, g40901	XP_020880767.1
OG0000058	g3196	XP_020868066.1
OG0000058	g49100	XP_020883504.1
OG0000059	g1329	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	XP_020868758.1, XP_002866359.2, XP_020879701.1, XP_020884530.1, XP_002864647.1, XP_020880298.1, XP_002862282.2, XP_020868710.1, XP_020880172.1
OG0000061	g23668	XP_020874135.1
OG0000061	g13471	XP_020873461.1
OG0000065	g46719	XP_020865720.1
OG0000065	g18042	XP_020865823.1, XP_020865819.1
OG0000065	g46717	XP_020872917.1, XP_020872918.1
OG0000066	g31166, g49660, g5416, g9719, g156, g29501, g45535	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	g5393	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000067	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831	XP_020891542.1
OG0000067	g53765, g43703, g25474, g28245, g45296	XP_020874420.1
OG0000067	g5123, g51086	XP_020878809.1
OG0000067	g690, g27871, g37081, g11557	XP_020889209.1
OG0000067	g12885, g12881	XP_020886169.1
OG0000067	g7910, g3384, g17624, g3851	XP_020865924.1
OG0000068	g27956, g25385, g25390, g46783	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1, XP_020868524.1, XP_020877300.1, XP_020886482.1, XP_020871868.1, XP_002864221.1, XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1, XP_002871317.2
OG0000069	g13531	XP_020886063.1, XP_020871771.1, XP_020880445.1
OG0000069	g39973	XP_002878041.1
OG0000070	g10675	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000070	g50123	XP_020885789.1, XP_002890373.1, XP_002887052.2
OG0000070	g46242	XP_020891141.1
OG0000070	g44417	XP_002863814.1
OG0000074	g48940	XP_020874556.1
OG0000075	g25975, g22716	XP_002868917.2
OG0000077	g18473	XP_020884560.1
OG0000077	g18408	XP_020869035.1
OG0000077	g1538, g1535	XP_020891276.1, XP_020890791.1, XP_020880678.1, XP_020881582.1, XP_020881188.1
OG0000077	g44008, g44007, g44009	XP_020890121.1
OG0000078	g4945	XP_002884413.1, XP_020887050.1, XP_020887049.1
OG0000078	g4940, g4946, g29028, g29029	XP_020877805.1, XP_020877807.1
OG0000079	g53126	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	XP_020870247.1
OG0000081	g33350, g4665	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	g10536, g16647, g54167	XP_020869010.1
OG0000082	g54030, g36211	XP_020880759.1
OG0000082	g52877, g26306	XP_020867402.1, XP_020878439.1
OG0000082	g33411, g33412, g25297, g33414, g33413	XP_020875863.1, XP_020875624.1, XP_020887797.1
OG0000084	g25861	XP_020886029.1, XP_020876858.1
OG0000084	g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507	XP_020886073.1
OG0000084	g3736	XP_020876480.1
OG0000086	g14687	XP_002868825.1
OG0000086	g22657, g15074	XP_002868577.1
OG0000089	g9991	XP_020879374.1
OG0000089	g339, g2817, g9845	XP_020871804.1
OG0000089	g5316	XP_002873559.1
OG0000089	g11055, g40485	XP_002863588.1
OG0000089	g24042	XP_020872103.1
OG0000089	g46232	XP_020866480.1, XP_020890671.1
OG0000091	g46886	XP_002875847.2
OG0000091	g19510, g11453, g11030, g40516	XP_002880903.1
OG0000091	g28934, g28933	XP_020878730.1
OG0000095	g51024	XP_002880754.1, XP_020885291.1, XP_020884026.1, XP_020884025.1, XP_020884027.1, XP_002880752.2, XP_002878788.1, XP_020883521.1, XP_020884655.1, XP_002878787.2, XP_020885162.1, XP_002880755.1, XP_002880625.1, XP_002880565.1, XP_020884335.1
OG0000096	g6393	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1
OG0000096	g49764	XP_020888942.1
OG0000098	g11756	XP_020889445.1
OG0000100	g40795	XP_020891283.1
OG0000102	g40477, g40479, g40476, g40480, g1561	XP_002874844.1
OG0000102	g45186	XP_002874842.1
OG0000105	g11211	XP_020875322.1, XP_020870827.1, XP_020886025.1, XP_020868736.1
OG0000107	g6757	XP_020887921.1
OG0000107	g11936	XP_002883228.1
OG0000108	g37225, g38077, g2333, g51658	XP_002879684.1, XP_020880453.1, XP_020883890.1
OG0000108	g29544, g45521, g5448	XP_020876820.1
OG0000108	g13323	XP_020867828.1, XP_002883150.1
OG0000108	g11989	XP_002879968.1, XP_002879967.1
OG0000111	g14348, g14347, g14394, g45247, g45220, g37032, g50081	XP_002877840.1
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	XP_002876201.1
OG0000114	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000114	g15992	XP_020878269.1
OG0000115	g16651, g17473, g31783	XP_020889357.1
OG0000115	g45611, g31838	XP_020887611.1, XP_020887091.1
OG0000115	g26382	XP_020865849.1
OG0000115	g44894, g26973	XP_020883039.1
OG0000115	g53276	XP_020878880.1
OG0000115	g41206, g3584, g42122	XP_020878531.1
OG0000116	g27853	XP_002893409.1, XP_020871442.1, XP_020883597.1
OG0000116	g26228	XP_020885057.1
OG0000117	g27550, g27549	XP_020866886.1
OG0000118	g35294, g50762, g6146, g12640	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1
OG0000118	g12809	XP_020886515.1, XP_002885586.1, XP_020888654.1, XP_020887711.1
OG0000119	g11441, g11440	XP_020881724.1
OG0000120	g27841	XP_020871150.1
OG0000122	g1066	XP_002864448.2
OG0000123	g1342	XP_002864096.1
OG0000125	g51118	XP_020885175.1
OG0000125	g31072	XP_020870885.1
OG0000125	g18497	XP_020870264.1, XP_020870260.1, XP_020870269.1
OG0000125	g54244, g54237, g54238	XP_020870262.1
OG0000125	g6675	XP_020886058.1
OG0000125	g54236	XP_020870266.1, XP_020870268.1
OG0000126	g16332, g16059	XP_020882685.1
OG0000126	g8607, g29944, g38807, g43388	XP_020888411.1
OG0000126	g35916, g41273, g52652	XP_020875868.1
OG0000126	g11646	XP_020889780.1, XP_020866699.1, XP_020866698.1
OG0000126	g16333	XP_020871413.1
OG0000127	g41348	XP_002874101.1
OG0000127	g2919, g1294, g28781	XP_020872447.1, XP_002864658.2, XP_020880863.1, XP_002877451.1
OG0000127	g39998	XP_002879182.1
OG0000128	g2009	XP_020882191.1, XP_020880511.1, XP_020880525.1
OG0000128	g50627	XP_002870336.2
OG0000129	g45131	XP_020890882.1
OG0000129	g45103, g45101	XP_020890883.1
OG0000129	g9880	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1
OG0000132	g51066	XP_020878937.1, XP_020877053.1
OG0000134	g4924	XP_020882189.1
OG0000134	g18420	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1
OG0000137	g1011	XP_002866093.1
OG0000140	g47161	XP_020890721.1
OG0000148	g36469	XP_020889929.1
OG0000148	g6399	XP_020888855.1, XP_020877791.1
OG0000150	g26208, g43583	XP_020877517.1
OG0000150	g34628	XP_020866739.1
OG0000151	g19127	XP_020881605.1
OG0000151	g19128	XP_002878017.1
OG0000151	g51765	XP_002881649.1
OG0000151	g2235	XP_002878016.1
OG0000151	g2346	XP_020880621.1
OG0000151	g51633	XP_020884903.1
OG0000151	g29346	XP_002871574.1
OG0000153	g51155, g51154, g51130, g51156	XP_002881123.1
OG0000153	g40020	XP_020885362.1
OG0000153	g37875, g37876	XP_020866558.1
OG0000154	g36466, g36467	XP_020866593.1, XP_020879595.1, XP_020877958.1
OG0000154	g54212, g36163, g36472	XP_020867949.1
OG0000160	g5985	XP_020888881.1
OG0000160	g23426	XP_020872380.1
OG0000160	g1105	XP_020870964.1
OG0000160	g6339	XP_020889051.1
OG0000160	g11547	XP_020882578.1
OG0000160	g46563	XP_020890865.1
OG0000160	g50994	XP_020885195.1
OG0000162	g28290	XP_020888514.1
OG0000169	g53988	XP_020868436.1, XP_002894040.2, XP_020883080.1
OG0000170	g52257	XP_002882021.1
OG0000171	g915, g28415	XP_002865968.1
OG0000171	g14078	XP_020888018.1
OG0000171	g28546	XP_020891046.1
OG0000171	g7540	XP_020888570.1
OG0000171	g17072	XP_002867477.1
OG0000172	g4028	XP_020874182.1
OG0000174	g50178	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1
OG0000175	g45857	XP_020870037.1, XP_020890687.1
OG0000175	g29297	XP_002871626.1
OG0000176	g12860	XP_020888110.1
OG0000176	g7705	XP_020866346.1
OG0000177	g27488, g50732, g31972	XP_020869475.1
OG0000178	g40442	XP_002874799.1
OG0000178	g45158	XP_020877653.1
OG0000178	g45173	XP_002872697.1
OG0000179	g44052	XP_020868284.1
OG0000182	g27624	XP_020880330.1, XP_020880329.1
OG0000182	g11014, g40790	XP_020882443.1, XP_020882437.1
OG0000183	g18117	XP_002888498.1, XP_002870564.1
OG0000183	g40143	XP_002879035.1
OG0000184	g11846	XP_020886142.1, XP_002885573.2
OG0000185	g32332, g32334, g32337	XP_020886010.1
OG0000185	g11864	XP_002886961.1, XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1, XP_002876919.1, XP_020869863.1
OG0000187	g17092	XP_020882989.1, XP_002878566.1
OG0000189	g47947	XP_020873047.1
OG0000189	g18237	XP_020885855.1
OG0000189	g23036	XP_002869113.1
OG0000189	g50117	XP_002887616.1, XP_020870471.1
OG0000192	g17137	XP_020873611.1, XP_002877382.2
OG0000193	g27763	XP_002891353.1
OG0000197	g24122	XP_020872595.1, XP_020872600.1, XP_020872360.1, XP_020872593.1
OG0000197	g17408	XP_020872359.1
OG0000198	g25893	XP_002875203.1, XP_002875076.1
OG0000198	g10793	XP_002870338.1, XP_020881007.1
OG0000198	g31564	XP_002892838.1, XP_020869981.1
OG0000198	g49926	XP_020869449.1
OG0000200	g40675	XP_020870342.1
OG0000200	g40674	XP_020870343.1
OG0000200	g27686	XP_020870363.1
OG0000201	g53703	XP_020884701.1
OG0000203	g1974, g1973	XP_002878201.2
OG0000203	g18958	XP_002878203.1, XP_020880570.1
OG0000203	g2360	XP_020880586.1
OG0000206	g35086, g33126, g42102, g34033, g35102, g34084, g34087, g20497, g34767, g3404, g42813, g4067, g33222, g35385, g35794, g25891, g34753, g19921, g30249, g32910, g22189, g33355, g21397, g52519, g34572, g4095, g4107, g34575, g43643, g9242, g16173, g33127, g10333, g20498, g42717, g41929, g42958, g42647, g3612, g48979, g3617, g34594, g8693, g34396, g26693, g26442, g42223, g42237, g52660, g17013, g26014, g18657, g17536, g16355, g4493, g33202, g53588, g33173, g3985, g33137, g19788	XP_020882672.1
OG0000208	g21459, g33511, g33550	XP_002880818.2
OG0000209	g2157	XP_020868187.1
OG0000210	g26821	XP_020891301.1
OG0000214	g1573, g22730, g23072, g45047, g16729, g17791, g52105, g36171	XP_020881772.1
OG0000214	g37934	XP_020878601.1
OG0000214	g2449, g32347	XP_020868240.1
OG0000214	g37022	XP_020881499.1
OG0000215	g449	XP_020874119.1, XP_020871428.1, XP_020866215.1, XP_020884668.1, XP_002870431.1, XP_020880707.1, XP_002863144.2, XP_002893840.2
OG0000216	g25664	XP_002872655.2
OG0000216	g41090, g41083, g41086	XP_020865893.1
OG0000219	g27764, g39817	XP_020873172.1, XP_020873179.1
OG0000219	g18526, g7663	XP_020887839.1
OG0000221	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923	XP_020885596.1, XP_020870726.1
OG0000221	g41785, g6733, g14207, g32627, g45157, g4236, g53404, g41761, g48924	XP_020879909.1
OG0000225	g4045	XP_020889768.1
OG0000226	g17691, g17690, g17692	XP_020885838.1
OG0000229	g13978	XP_020884846.1, XP_002878902.1, XP_020884852.1
OG0000229	g26214	XP_002877248.2
OG0000229	g24726	XP_020866249.1, XP_020866248.1, XP_002875577.1
OG0000230	g2000	XP_020880534.1
OG0000233	g45483	XP_002873316.1
OG0000233	g29622	XP_020876210.1, XP_020876208.1
OG0000233	g45482	XP_002873315.1
OG0000233	g29623	XP_002873312.1, XP_020877613.1, XP_020876205.1
OG0000235	g40743	XP_002891517.1
OG0000235	g11302	XP_020868439.1, XP_002874400.1, XP_020889468.1, XP_020888012.1, XP_020865723.1, XP_020877183.1, XP_002870599.2, XP_002878138.2
OG0000236	g11672	XP_020886731.1
OG0000236	g13483	XP_020865699.1
OG0000237	g36933	XP_002885438.2
OG0000241	g17320	XP_020873759.1, XP_002867821.1, XP_020873797.1, XP_002867824.2, XP_002867822.1, XP_002872712.1, XP_020876627.1, XP_020876628.1, XP_002872711.1
OG0000242	g10112	XP_020879188.1
OG0000243	g27682	XP_020867502.1
OG0000244	g40712	XP_020876466.1
OG0000245	g15848	XP_020882908.1
OG0000246	g37185	XP_002881469.1
OG0000246	g51603	XP_020884151.1
OG0000247	g27759, g27721	XP_020869614.1
OG0000249	g32697	XP_020866080.1
OG0000249	g35682, g42542	XP_020884646.1
OG0000249	g16095, g42905, g32698	XP_002887885.2
OG0000249	g26699, g24901	XP_020886219.1
OG0000251	g16641	XP_002876964.1, XP_020882087.1
OG0000252	g46370	XP_002887689.1
OG0000253	g12277	XP_002884912.1
OG0000253	g7492	XP_002884737.1
OG0000253	g5784, g45315	XP_002873056.1
OG0000254	g47116, g47114, g17643	XP_020874808.1
OG0000254	g47117	XP_002870217.1
OG0000254	g47115	XP_002870222.1, XP_020872405.1, XP_002870219.1, XP_002870218.1
OG0000256	g10880	XP_002885791.1, XP_002885792.1
OG0000257	g46235	XP_002887614.1
OG0000259	g1607	XP_020866712.1, XP_020877604.1, XP_020877605.1, XP_002889545.2, XP_020883633.1, XP_020866820.1
OG0000260	g6207, g6217	XP_020872427.1, XP_002869292.1
OG0000261	g27439, g32776, g32770, g32783, g27211, g33024, g16512, g2016, g54006, g19601, g2848, g2831, g22889, g3698, g24204, g2864, g40878, g25185, g46830, g53056, g2687, g48307, g41286, g41287, g53381, g4211, g3691, g41532, g24315, g43508, g28621, g49342, g36842, g13078, g17814, g11397, g26832, g53535, g14667, g44305, g24421, g35902, g53717, g41585, g2934, g28029, g43857, g19051	XP_020877162.1
OG0000261	g26827	XP_020873582.1
OG0000262	g4737, g46874	XP_020890692.1, XP_020890360.1, XP_020890361.1
OG0000262	g24889	XP_002874589.2
OG0000263	g910, g3712	XP_020887742.1, XP_020880631.1
OG0000266	g28434, g45026	XP_020865980.1
OG0000267	g15120	XP_020877498.1, XP_020872630.1, XP_020875735.1, XP_020885869.1, XP_020872318.1
OG0000267	g52730	XP_020890931.1, XP_020872390.1, XP_020868795.1, XP_020872178.1, XP_020872998.1, XP_020891338.1
OG0000267	g42218, g42234	XP_020871360.1, XP_020874002.1, XP_020883547.1, XP_020866150.1, XP_020874940.1
OG0000269	g28758	XP_002864649.1
OG0000269	g2910, g2936	XP_020881938.1, XP_002877465.1
OG0000269	g39974	XP_020883555.1
OG0000270	g41044	XP_020890701.1
OG0000276	g34448, g33115	XP_020887762.1, XP_020881628.1, XP_020878929.1, XP_020879276.1, XP_020876981.1, XP_020890967.1
OG0000276	g15118, g44910	XP_020884761.1, XP_020873738.1, XP_020888557.1
OG0000276	g53562	XP_020876122.1, XP_020889950.1, XP_020879983.1
OG0000277	g50111, g27445, g31888	XP_020867393.1
OG0000278	g14307	XP_020875511.1, XP_002870549.2
OG0000278	g46809, g46812, g46827	XP_002870533.1, XP_002870532.1, XP_020875512.1, XP_020873117.1, XP_020875510.1
OG0000279	g11018, g11016, g11024	XP_020866105.1
OG0000279	g40527, g40528, g40529	XP_020885653.1
OG0000282	g47412	XP_020873572.1, XP_020873565.1
OG0000282	g53736	XP_020873528.1, XP_002869835.1, XP_002869836.1, XP_020873595.1, XP_020873496.1
OG0000283	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516	XP_020891714.1
OG0000285	g47372	XP_002867852.2
OG0000285	g23645	XP_020873274.1
OG0000285	g42046	XP_002886975.2, XP_020889997.1
OG0000286	g41270	XP_002867613.2
OG0000288	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167	XP_020890803.1, XP_002885850.1
OG0000289	g39783	XP_020885124.1
OG0000290	g40830	XP_020890819.1, XP_020890820.1
OG0000290	g32745	XP_020874288.1
OG0000291	g11641, g53214, g52576, g53200	XP_002883696.1, XP_020886867.1, XP_002883695.1
OG0000292	g32988, g18507, g30203, g20814, g438, g12785, g49225, g30202, g473, g12784, g27889, g9642	XP_020890626.1
OG0000294	g25697	XP_020879520.1
OG0000295	g37063	XP_020870420.1
OG0000296	g1252, g28701, g28702	XP_020874639.1, XP_002864614.1
OG0000296	g28714	XP_020871535.1, XP_020871085.1, XP_020871516.1, XP_020871467.1, XP_020871600.1, XP_020871468.1, XP_020871433.1, XP_020870866.1, XP_020879394.1
OG0000296	g1225	XP_020869658.1
OG0000298	g50713	XP_002880782.1
OG0000298	g32687	XP_002891050.1
OG0000304	g50554, g51887	XP_002878839.1, XP_020883542.1, XP_020885530.1
OG0000304	g50556	XP_002881722.1
OG0000304	g51897	XP_002863900.1, XP_002865643.1, XP_002885797.1
OG0000305	g53520, g51878	XP_002893940.1, XP_020885575.1, XP_020884760.1, XP_002874576.1
OG0000306	g13807, g46733	XP_020873122.1
OG0000307	g36491	XP_002894303.2, XP_002894304.2, XP_002891555.1
OG0000308	g39732	XP_020871984.1, XP_002865428.1, XP_020873300.1
OG0000313	g23784	XP_020882955.1, XP_002879861.1
OG0000314	g1672, g41968	XP_020879586.1
OG0000314	g28453, g9121, g30700, g27333	XP_020889577.1
OG0000318	g43847	XP_020886043.1, XP_020888758.1, XP_020890540.1
OG0000318	g49471	XP_002885626.2
OG0000320	g11617	XP_020875403.1
OG0000321	g54159	XP_020866713.1
OG0000321	g666	XP_002886753.1
OG0000322	g10751	XP_020871126.1, XP_020871462.1, XP_020865960.1
OG0000325	g26947, g49462	XP_002892239.1
OG0000325	g51329	XP_020883979.1
OG0000325	g30904	XP_002889523.1
OG0000328	g13376	XP_020886039.1
OG0000329	g24516, g24521	XP_002870302.1
OG0000330	g17997, g17998	XP_002887461.1, XP_002887460.1
OG0000330	g44587	XP_002887457.1
OG0000330	g31719	XP_002890238.1
OG0000331	g25429, g39522	XP_020877038.1
OG0000331	g26892	XP_020867795.1
OG0000331	g6947	XP_020889164.1
OG0000332	g24568, g44176	XP_020890048.1, XP_020890047.1, XP_020890049.1, XP_020890052.1, XP_002886541.2, XP_020890111.1, XP_020890044.1, XP_020890039.1, XP_020890057.1
OG0000335	g1956	XP_020879727.1
OG0000336	g31190, g27091, g27095, g31209	XP_002886727.1, XP_020870323.1, XP_002892517.1, XP_020868200.1
OG0000345	g29557, g39719	XP_020877760.1, XP_020868529.1, XP_002865409.1
OG0000345	g45514	XP_002873405.1
OG0000345	g26927, g49447, g30863	XP_002892204.1
OG0000346	g2365	XP_002876198.1
OG0000346	g10579	XP_002875312.1
OG0000347	g52289	XP_020885426.1
OG0000348	g50668	XP_020880367.1, XP_002863075.1, XP_002863942.1, XP_002863941.1, XP_002877094.1, XP_002877095.1
OG0000349	g1282	XP_020871256.1
OG0000349	g1278	XP_020871262.1, XP_020871260.1
OG0000350	g13403, g13402	XP_002877153.1, XP_020889498.1, XP_002883330.1, XP_002883331.1, XP_020886120.1
OG0000351	g12309	XP_020889440.1, XP_020887803.1
OG0000356	g50999	XP_020885753.1
