Orthogroup	Cochlearia_excelsa	Arabidopsis_arenosa
OG0000027	g40374	jg7537, jg7533, jg7530
OG0000027	g25720	jg7526
OG0000027	g23101	jg9025
OG0000030	g38367, g38376, g38372, g38380	jg30787, jg31203, jg31202, jg25536
OG0000030	g13799, g13797	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	g13193, g13194	jg2112
OG0000030	g44631	jg29499, jg25408, jg10900, jg11085
OG0000031	g42618, g43456	jg21055
OG0000032	g49592, g25930, g51375	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	g23911	jg10193, jg10203, jg10197
OG0000034	g24014	jg10426, jg10425
OG0000034	g50699	jg8138
OG0000034	g23912	jg10202, jg10195
OG0000034	g23905	jg10177
OG0000035	g42054	jg6998, jg7008, jg32675, jg6987
OG0000035	g42055	jg1581
OG0000036	g41663, g43194, g22574, g39945, g35836, g2951, g37862, g53162, g8562, g3621, g21982, g3535, g8184	jg21340
OG0000036	g612, g15222, g3806, g3520, g556, g34922, g3531, g27040, g9162, g15745, g21617, g8325, g3516, g20638, g14983, g12232, g48263, g3592, g52628, g32830, g26399, g49242, g15472, g15738, g52327, g52413, g26495, g23262, g5035, g15613, g13929, g52872, g38592, g14944, g21981, g24110, g3517, g12231, g53212, g8538, g53668, g20928, g9042, g50317, g53093, g15610, g41989, g54129, g35835, g9210, g24605, g18471, g33294, g20894, g30377, g47597, g34830, g30174, g22565, g35939, g14834, g20844, g16430, g22578, g8597, g17427, g52829, g20553, g35138, g35135, g43276, g3589, g25945, g8347, g15842, g33387, g42569, g33158, g33161, g48659, g35581, g33616, g15846, g3497, g22573, g22570, g53862	jg1519
OG0000038	g45065	jg17779
OG0000040	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980, g52948, g41631, g41632, g25133, g49021	jg17939
OG0000041	g11828	jg28661
OG0000041	g41708, g839, g6204	jg10344
OG0000042	g41465, g35926	jg33373
OG0000042	g31187	jg12236
OG0000042	g8527, g6175	jg6978
OG0000042	g44909, g43791	jg2222
OG0000042	g6340, g16111, g37181	jg17129
OG0000042	g53556	jg6977
OG0000042	g40104, g13786, g31186, g8826, g30544	jg33374, jg32294, jg32380
OG0000043	g18797	jg17159
OG0000044	g18482	jg20412, jg20415
OG0000044	g28154	jg6091, jg1752, jg21037, jg10924, jg21833
OG0000045	g43228, g49016, g33407, g15171, g8757, g20865, g48562, g15598, g53759, g36743, g48229, g53978, g16707, g17764, g42734, g24659, g53360, g16192, g26629, g3950, g43497, g48236, g52341, g20866, g33635, g43463, g3355, g52728, g14681, g48303, g52535, g42806, g42511, g33520, g3487, g34856, g9310, g16032, g34329, g14795, g43690, g52540, g3779, g42996, g26159, g42989, g4364, g14465, g24880, g33346, g14351, g42760, g52408, g48876, g53343, g20836, g8519, g9311, g34507, g26154, g16328, g3350, g15001, g42019, g26458, g35523, g22096, g52745, g48973, g15276, g3641, g54416, g42868, g8806, g33595, g15872, g16444, g19680, g30152, g9227, g52458, g8656, g43871, g24840, g48944, g14352, g42105, g8518, g15443, g30148, g33634, g16706, g16370, g20303, g30100, g16191, g50737, g4712, g43115, g16130, g48999, g21851, g34823, g34846, g19966, g43691, g48829, g8196, g8700, g35485, g42514, g15756, g30099, g7997, g14476, g3638, g32912, g33525, g4269, g8610, g38805, g26060, g8654, g26153, g26630, g38667, g43118, g15010, g19894, g15755, g15752, g29946, g34505, g19845, g34759, g30266, g33573, g9278, g14658, g22030, g22022, g9143, g14974, g42775, g7974, g48881, g26499, g52321, g7996, g24685, g33357, g52343, g25917, g43689, g9220, g16210, g14986, g16126, g53537, g48830, g29977, g8635, g4105, g14622, g48563, g8756, g48694, g34903, g25105, g3949, g15665, g43496, g34821, g15737, g53619, g42900, g9014, g22086, g52729, g4681, g53618, g3793, g22087, g19844, g9015, g33574, g9219, g34506, g15444, g52342, g4251, g8901, g42033, g34222, g30190, g25916, g33347, g53202, g3352, g22093, g16372, g36995, g20843, g7973, g14729, g29947, g9144, g22088, g14336, g22089, g20490, g42855, g42882, g54410, g33348, g35933, g4047, g8758, g14727, g14989, g42899, g53007, g19895, g48693, g51451, g24910, g43257, g53536, g49120, g42107, g30583, g16193, g42018, g53979, g8609, g16708, g35497, g42884, g54411, g8810, g42540, g49119, g42573, g52716, g21117, g33613, g16327, g30189, g8811, g43188, g20302, g48305, g16125, g19914, g34986, g42894, g52900, g49036, g30150, g52471, g36996, g14730, g54205, g52743, g35202, g42897, g42904, g14818, g16132, g53612, g14991, g34867, g15102, g15753, g21249, g43117, g26540, g52720, g8611, g24684, g52996, g33254, g33228, g14972, g14985, g34760, g26589	jg17429
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490	jg12140
OG0000046	g26196, g11589	jg1035, jg17283, jg1573, jg1834, jg309, jg32416
OG0000046	g33267	jg1555, jg21339
OG0000048	g51285	jg20748, jg20747
OG0000048	g39852, g39841	jg18210, jg18207
OG0000048	g29294, g52069, g52073, g52064	jg740
OG0000050	g32289	jg11604
OG0000050	g44060, g31395, g44252, g3	jg19949, jg4268
OG0000050	g182	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	g53934, g37450	jg19560
OG0000052	g1602, g3195	jg13389, jg13391
OG0000052	g19225	jg20913, jg15189
OG0000052	g2410	jg15039
OG0000052	g44053	jg14733
OG0000055	g27361	jg25886, jg26868
OG0000055	g50182, g50184, g50186	jg17788, jg8147
OG0000056	g40991, g44205	jg743
OG0000056	g44206, g40901	jg14491
OG0000058	g3196	jg16618
OG0000059	g43705, g16122	jg31675, jg32414
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	jg22905, jg29120, jg14371, jg21249, jg29139, jg22936, jg15309, jg14419, jg21260, jg17853
OG0000061	g50013	jg18012
OG0000061	g23667	jg18005
OG0000062	g44326, g2819, g44187	jg13871
OG0000063	g18404, g25742, g50268, g46262, g45401, g3397, g46693	jg32522
OG0000065	g46719	jg2192
OG0000065	g44951	jg2206
OG0000065	g18042	jg2209, jg2212, jg2195
OG0000065	g46717	jg12464, jg12463
OG0000066	g9719	jg4871
OG0000066	g29501, g45535	jg4870, jg29279
OG0000066	g5393	jg4927
OG0000067	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831	jg20815, jg24929, jg28031, jg1126, jg17679
OG0000067	g53765, g43703, g25474, g28245, g45296	jg32532
OG0000067	g7910, g3384, g17624, g3851	jg14037
OG0000068	g27956, g25385, g25390, g46783	jg4186, jg4261, jg4260, jg24839, jg24838, jg32039, jg24042, jg24037, jg24035, jg32043, jg22052, jg22033, jg22034, jg4088, jg4089, jg14390, jg14389, jg14204, jg4055, jg30520, jg4679, jg12213
OG0000069	g13531	jg16351
OG0000069	g34299	jg26489
OG0000069	g39973	jg15499
OG0000070	g10675	jg29403, jg28225, jg28226, jg13116, jg13115
OG0000070	g50123	jg16631, jg30544, jg4483
OG0000070	g46242	jg3251
OG0000070	g44417	jg21183
OG0000073	g10672, g13435, g10819, g24404, g53393	jg13268
OG0000073	g4931, g36963, g43389, g14644, g41342	jg32690
OG0000073	g37235, g35439	jg7434
OG0000073	g41469	jg30965
OG0000074	g14332, g15956, g53053, g36000	jg16959
OG0000075	g1450	jg21647
OG0000075	g25975, g22716	jg8428
OG0000075	g46525	jg32683, jg20353, jg933
OG0000077	g18473	jg20569, jg20644
OG0000077	g1538, g1535	jg1247, jg1261, jg13131, jg13128
OG0000077	g44008, g44007, g44009	jg902, jg1249
OG0000078	g4945	jg24239, jg24236, jg24237
OG0000078	g4940, g4946, g29028, g29029	jg5644, jg5634
OG0000079	g53126	jg7377
OG0000080	g50113, g4633, g53808	jg21120
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	jg17678, jg24928, jg28032, jg1125, jg20814, jg32127, jg1799
OG0000081	g33350, g4665	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	g25067, g25040	jg12259
OG0000086	g22657, g15074	jg12265, jg12276
OG0000086	g46768, g46769, g43995	jg12281
OG0000089	g9991	jg6235
OG0000089	g339, g2817, g9845	jg23223
OG0000089	g5316	jg5068
OG0000089	g11055, g40485	jg20749
OG0000089	g24042	jg10485
OG0000089	g46232	jg30528, jg3235
OG0000090	g43843	jg20882
OG0000091	g46886	jg14545, jg14558
OG0000091	g19510, g11453, g11030, g40516	jg17633
OG0000091	g28934, g28933	jg5910
OG0000092	g49146, g15729	jg1807
OG0000092	g17352, g17357, g1801, g17341, g25289	jg14356
OG0000092	g2109, g39323, g26668, g53726, g17664, g37838, g27054, g1402, g24886	jg32487
OG0000092	g52822, g25282	jg1461
OG0000092	g26535	jg26653
OG0000092	g10113	jg21355, jg7184
OG0000095	g51024	jg17272, jg16984, jg17289, jg16989, jg17288, jg17270, jg17392, jg16998, jg17271, jg1743, jg16988, jg17290, jg17390, jg16997, jg17005, jg20640, jg16996, jg16995, jg17274, jg17286, jg17001, jg16991, jg16900, jg16897, jg16899
OG0000096	g6393	jg26888, jg26886
OG0000096	g49764	jg6740, jg25958
OG0000098	g11756	jg27107
OG0000098	g41770	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987
OG0000098	g50862, g50863, g50857, g5925, g25316, g5924	jg6405, jg1132
OG0000100	g13564	jg1373
OG0000100	g40795	jg492
OG0000100	g13563	jg471
OG0000101	g30549, g95, g52423, g22352, g35512, g30702, g24593, g9123, g29976, g29966, g8633, g48832, g30667, g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818, g13419, g10196, g13591, g29817	jg27510
OG0000102	g40477, g40479, g40476, g40480, g1561	jg7815, jg7812, jg7813
OG0000102	g45186	jg7810
OG0000103	g25804, g34406, g16064, g52964, g34537, g43011	jg33027
OG0000105	g11211	jg14191, jg14194
OG0000105	g43820	jg12808, jg12802, jg12815
OG0000105	g14463	jg12426, jg508
OG0000107	g6757	jg26161
OG0000107	g11936	jg26159
OG0000108	g37225, g38077, g2333, g51658	jg18920, jg15311
OG0000108	g28730	jg25167
OG0000108	g29544, g45521, g5448	jg4799
OG0000108	g11989	jg19509, jg19508, jg33022, jg26012
OG0000109	g30198, g33477	jg27058, jg17336, jg17450, jg13895
OG0000110	g46791, g24881	jg9173
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	jg26895, jg27877, jg15265
OG0000114	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	g15992	jg6733
OG0000115	g16651, g17473, g31783	jg32874, jg29546
OG0000116	g27853	jg21091, jg22360, jg6813, jg6561
OG0000116	g26228	jg16608, jg16609
OG0000116	g37724, g5356, g4750, g32775, g32782, g18438	jg17285, jg32306, jg32304, jg2010
OG0000116	g43452	jg27190
OG0000117	g27550, g27549	jg30936
OG0000117	g50301	jg30930
OG0000118	g35294, g50762, g6146, g12640	jg19019, jg19043, jg19023, jg19021, jg19020, jg12773
OG0000118	g12809	jg24305, jg26630, jg26627, jg26631, jg26628, jg7233
OG0000118	g1395	jg26990
OG0000119	g11441, g11440	jg14325
OG0000122	g18088	jg21685
OG0000122	g1066	jg22485
OG0000123	g1342	jg21770
OG0000125	g51118	jg17896
OG0000125	g31072	jg29111
OG0000125	g18497	jg33352, jg33355
OG0000125	g54244, g54237, g54238	jg33347
OG0000125	g6675	jg26323
OG0000125	g54236	jg33349
OG0000126	g27940	jg27207
OG0000126	g16331	jg754
OG0000126	g8607, g29944, g38807, g43388	jg1156, jg1158
OG0000126	g53532, g24771, g30546	jg32822
OG0000126	g41907	jg27206, jg17305
OG0000126	g35916, g41273, g52652	jg10194, jg10477
OG0000127	g41348	jg6123
OG0000127	g19182	jg15301
OG0000127	g2919, g1294, g28781	jg22931, jg14378, jg14383
OG0000127	g39998	jg17851
OG0000128	g2010	jg15969
OG0000128	g2009	jg13485, jg15959, jg15960
OG0000128	g50627	jg11381
OG0000129	g45131	jg1820
OG0000129	g24222, g24219	jg1832
OG0000129	g45103, g45101	jg1847
OG0000129	g9880	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000132	g51066	jg7387, jg7388
OG0000134	g4924	jg20706
OG0000134	g18420	jg20992, jg20995, jg20998, jg20997, jg20999, jg4953, jg20994
OG0000136	g52239	jg13269
OG0000136	g24804, g17512, g42675	jg159
OG0000140	g47161	jg1149
OG0000140	g40049	jg6686
OG0000140	g49472, g35118	jg832
OG0000142	g18265, g4667, g6863, g52232, g27388, g11123, g52103, g23862, g47169, g27185, g24485, g24533, g54350, g17644, g6327, g3423, g4526, g11032, g4684, g26706, g1920, g26785, g32853, g5189, g2123, g47377, g4687, g53003, g43719, g43445, g16638, g52994, g16654, g5024, g43828, g52202, g45731, g5949, g35415, g44526, g3333	jg14912
OG0000143	g24947, g35918, g41958, g24857, g24997	jg11978
OG0000143	g42790	jg20945
OG0000148	g36469	jg461
OG0000148	g6399	jg5636
OG0000151	g19127	jg15449
OG0000151	g19128	jg15448
OG0000151	g51765	jg19118
OG0000151	g2235	jg15447
OG0000151	g2346	jg15282
OG0000151	g51633	jg18884
OG0000151	g29346	jg5170
OG0000152	g17907, g40836, g15958	jg22974
OG0000152	g26664, g36987, g44091, g17905, g11529, g42939, g14500, g48935, g14510, g14521, g36332, g14542, g48939	jg18640
OG0000153	g51155, g51154, g51130, g51156	jg18114
OG0000153	g51131, g40020	jg17932
OG0000153	g37875, g37876	jg29098
OG0000154	g36466, g36467	jg33217, jg33218, jg5696, jg5697
OG0000154	g54212, g36163, g36472	jg1392, jg1393, jg33212
OG0000157	g27714	jg31640
OG0000159	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132	jg17431, jg6891
OG0000160	g5985	jg28078
OG0000160	g23426	jg9392
OG0000160	g1105	jg22635
OG0000160	g6339	jg27288
OG0000160	g11547	jg13954
OG0000160	g46563	jg3697
OG0000160	g50994	jg16942
OG0000164	g33080, g33073, g33069, g14660, g26417	jg6848, jg11792, jg7487, jg11793
OG0000164	g15914	jg27251
OG0000164	g24992	jg26448, jg6518, jg6519
OG0000166	g46166	jg21554
OG0000169	g53988	jg32767, jg32768, jg32765
OG0000170	g52257	jg19951
OG0000171	g915, g28415	jg22050
OG0000171	g14078	jg27769
OG0000171	g28546	jg22463
OG0000171	g7540	jg24782
OG0000174	g50178	jg21576, jg27974, jg7024, jg9836, jg1719, jg13725
OG0000175	g32098, g27548, g50297	jg29462, jg30921
OG0000175	g29297	jg5289
OG0000175	g50814	jg16299
OG0000176	g7705	jg32422
OG0000177	g27488, g50732, g31972	jg3362
OG0000178	g40442	jg7702
OG0000178	g45158	jg7707
OG0000178	g45173	jg7705
OG0000179	g44052	jg1096
OG0000182	g27624	jg31826, jg16158, jg16157
OG0000182	g11014, g40790	jg15559
OG0000183	g18117	jg2098, jg12245
OG0000183	g40143	jg17567
OG0000184	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332	jg26416, jg26419
OG0000184	g11846	jg26421, jg26423, jg26420, jg26422, jg26417, jg26418
OG0000185	g32332, g32334, g32337	jg26094
OG0000185	g11864	jg29773, jg30591, jg31725, jg31727, jg31723, jg19265, jg23338
OG0000186	g14029	jg3970
OG0000187	g17092	jg16584
OG0000189	g23036	jg8854
OG0000189	g50117	jg3242, jg30537
OG0000192	g25906, g25905, g25909, g25912, g25904	jg647
OG0000192	g25911	jg29806
OG0000192	g17137	jg9826, jg14270
OG0000193	g27763	jg32770
OG0000196	g43806, g43821	jg12776
OG0000196	g43783, g53971, g43782, g43797, g53972, g23981	jg12778
OG0000197	g24122	jg10625, jg12243, jg10623
OG0000197	g17408	jg12242
OG0000198	g25893	jg12942
OG0000198	g10793	jg11388
OG0000198	g31564	jg29979
OG0000198	g49926	jg29981
OG0000200	g40675	jg28892
OG0000200	g32383	jg31430
OG0000200	g40674	jg28891
OG0000200	g27686	jg31559
OG0000201	g4655, g26600, g16293, g32898, g33199, g25229, g26102, g33200, g34779, g16144, g6202, g53346, g27732, g43307, g16269, g19533, g52369, g14957, g43031, g42816, g1483, g14787	jg32554
OG0000201	g15747	jg1346
OG0000201	g33170, g33166, g16294, g26599, g48282, g34930, g35561, g53946, g3184, g41190, g25228	jg24835
OG0000202	g1023, g25454, g25477	jg8000, jg7249
OG0000203	g1974, g1973	jg15846, jg15848
OG0000203	g18958	jg15851
OG0000203	g2360	jg15862
OG0000205	g11567	jg11810, jg11812, jg11730
OG0000206	g8618, g48844, g29953, g30349, g34591, g45346, g42202, g30177, g35498, g42663	jg23550
OG0000206	g35086, g33126, g42102, g34033, g35102, g34084, g34087, g20497, g34767, g3404, g42813, g4067, g33222, g35385, g35794, g25891, g34753, g19921, g30249, g32910, g22189, g33355, g21397, g52519, g34572, g4095, g4107, g34575, g43643, g9242, g16173, g33127, g10333, g20498, g42717, g41929, g42958, g42647	jg6893
OG0000208	g21459, g33511, g33550	jg21410
OG0000209	g2157	jg29693, jg29335
OG0000209	g5026	jg21051, jg1344
OG0000209	g12731	jg14429
OG0000210	g26821	jg2036
OG0000210	g1914	jg19860
OG0000211	g43500, g43665	jg23304
OG0000216	g25664	jg7640
OG0000216	g41090, g41083, g41086	jg1267
OG0000219	g27764, g39817	jg12633, jg12636
OG0000219	g18526, g7663	jg28098
OG0000221	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923	jg11559
OG0000222	g24943, g20945, g20027	jg11917
OG0000225	g4046	jg16693
OG0000225	g4045	jg2551
OG0000226	g17691, g17690, g17692	jg4069
OG0000226	g35947	jg13732
OG0000226	g45350	jg17320
OG0000226	g46771	jg4073
OG0000229	g13978	jg17464, jg1772
OG0000229	g26214	jg23298
OG0000229	g24726	jg32293
OG0000230	g2000	jg15921
OG0000233	g45483	jg4598
OG0000233	g29622	jg4599
OG0000233	g45482	jg4597
OG0000233	g29623	jg4604, jg4594
OG0000234	g45347	jg4032
OG0000235	g11302	jg31240, jg28105, jg28076, jg2205, jg15723, jg15658, jg11688
OG0000236	g6598	jg26494
OG0000237	g11805	jg26496
OG0000237	g36933	jg26333
OG0000238	g44676	jg2708
OG0000241	g17320	jg10370, jg10371, jg10373, jg10374, jg10376, jg10372, jg7736, jg7734, jg7735
OG0000242	g10112	jg6565
OG0000243	g27682	jg31473
OG0000244	g40712	jg7893
OG0000245	g4143, g22192, g30253	jg13815
OG0000246	g37185	jg18819
OG0000246	g51603	jg18816
OG0000247	g27759, g27721	jg31833
OG0000249	g32697, g35682, g42542, g16095, g42905, g32698	jg11991
OG0000250	g6508, g45178	jg7768
OG0000250	g5749	jg5927
OG0000250	g40469	jg7876
OG0000251	g16641	jg13320
OG0000251	g39309	jg13321
OG0000252	g46370	jg3420
OG0000253	g12277	jg25213
OG0000253	g7492	jg24871
OG0000253	g5784, g45315	jg3985
OG0000254	g47116, g47114, g17643	jg11135
OG0000254	g47115	jg11136, jg11137, jg11133, jg11132
OG0000255	g52606, g16443	jg1321
OG0000256	g10880	jg27019, jg27030, jg27031
OG0000257	g46235	jg3241
OG0000259	g1607	jg33082, jg33080, jg7439, jg28872, jg19336, jg1303
OG0000259	g6897	jg32916
OG0000260	g6207, g6217	jg8417, jg9182
OG0000260	g24958	jg12428
OG0000262	g4737, g46874	jg543
OG0000262	g24889	jg719, jg720, jg7296, jg454, jg455, jg458, jg453, jg457
OG0000263	g11496	jg19302
OG0000263	g910, g3712	jg17561
OG0000266	g28434, g45026	jg22091, jg22101
OG0000267	g34874	jg32731, jg13995
OG0000267	g52730	jg32346
OG0000267	g42218, g42234	jg11749, jg11798
OG0000269	g28758	jg22908
OG0000269	g2910, g2936	jg14405, jg14407
OG0000269	g39974	jg17967
OG0000270	g41044	jg29673, jg609, jg537
OG0000270	g40880	jg581
OG0000274	g47338, g33147, g14472, g44486, g21632, g42257, g21852, g21844, g36809, g10312	jg27362
OG0000274	g45298	jg13700
OG0000274	g14940	jg2060
OG0000275	g22735	jg1130
OG0000277	g18216, g23060, g18323	jg8879
OG0000277	g50111, g27445, g31888	jg30517
OG0000278	g14307	jg12172, jg12224
OG0000278	g46809, g46812, g46827	jg12188, jg12186, jg12174, jg10987, jg10984, jg12178, jg12175
OG0000279	g40527, g40528, g40529	jg17236
OG0000282	g47412	jg33448, jg10319, jg10323
OG0000282	g53736	jg10315, jg10316, jg10317, jg10273, jg10321, jg10322, jg10320, jg10266
OG0000283	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516	jg20347, jg6911
OG0000285	g47372	jg10428
OG0000285	g23645	jg9725
OG0000285	g42046	jg2004
OG0000286	g44985, g44982, g44984	jg25017, jg25016, jg25015
OG0000288	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167	jg10768, jg12948, jg10773, jg16953, jg32309, jg32082, jg21200, jg6957, jg1836, jg1038, jg17280, jg1037, jg17281
OG0000288	g24937	jg26083
OG0000289	g39775	jg27121, jg26837
OG0000289	g39783	jg17113, jg18387
OG0000290	g40828	jg419
OG0000290	g40830	jg415, jg413
OG0000291	g11641, g53214, g52576, g53200	jg27066, jg27067, jg27057
OG0000291	g51227	jg14552, jg14546
