Orthogroup	Cochlearia_excelsa	Arabidopsis_thaliana
OG0000061	g13471	AT4G27050.1
OG0000061	g23667	AT2G29910.6
OG0000065	g18042	AT1G67000.1, AT1G66930.2
OG0000065	g46717	AT5G39030.1, AT5G39020.1
OG0000066	g49660, g5416, g9719	AT3G27360.1
OG0000066	g29501, g45535	AT1G09200.1
OG0000066	g5393	AT5G10980.1
OG0000068	g27956, g25385, g25390, g46783	AT3G09160.1, AT5G53700.1, AT5G03495.1, AT5G03480.1
OG0000069	g13531	AT3G62850.1
OG0000069	g39973	AT5G39640.1
OG0000070	g10675	AT1G10230.1, AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	g50123	AT1G20140.1, AT2G25700.1
OG0000070	g46242	AT1G75950.1
OG0000070	g44417	AT5G42190.1
OG0000075	g25975, g22716	AT4G39580.1
OG0000077	g18473	AT5G44900.1
OG0000077	g18408	AT5G45220.1
OG0000077	g1538, g1535	AT1G57850.1, AT1G47370.1, AT2G03030.1, AT2G03300.1
OG0000077	g44008, g44007, g44009	AT1G60320.1, AT1G57830.1
OG0000078	g4945	AT3G03820.1, AT3G03850.1, AT3G03830.1, AT3G03840.1
OG0000079	g53126	AT2G07190.1
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	AT2G37125.1, AT1G48285.1
OG0000081	g584	AT4G07445.1
OG0000081	g33350, g4665	AT3G30165.1
OG0000089	g9991	AT5G23860.1
OG0000089	g339, g2817, g9845	AT5G62700.1, AT5G62690.1
OG0000089	g5316	AT5G12250.1
OG0000089	g11055, g40485	AT5G44340.1
OG0000089	g24042	AT4G20890.1
OG0000089	g46232	AT1G20010.1, AT1G75780.1
OG0000091	g46886	AT3G47570.1
OG0000091	g28934, g28933	AT5G20480.1
OG0000092	g32983	AT3G29765.1
OG0000092	g50000	AT3G30235.1
OG0000092	g26535	AT1G19260.1, AT4G09660.1
OG0000092	g4808	AT3G31402.1
OG0000095	g51024	AT1G64840.1, AT2G24250.1
OG0000096	g6393	AT3G25460.1
OG0000096	g49764	AT4G09870.1
OG0000100	g40795	AT1G63740.2
OG0000102	g45186	AT4G05460.1
OG0000105	g11211	AT5G38344.1, AT1G57630.1
OG0000105	g14267	AT4G04110.1
OG0000107	g6757	AT3G20140.1
OG0000107	g11936	AT4G15380.1, AT3G20080.1
OG0000107	g13346	AT4G15330.1
OG0000108	g37225, g38077, g2333, g51658	AT3G53750.1, AT2G37620.1
OG0000108	g29544, g45521, g5448	AT5G09810.1
OG0000108	g13323	AT3G18780.2
OG0000108	g11989	AT2G42170.1, AT2G42100.1
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	AT3G53330.1
OG0000114	g50797	AT1G36970.1, AT4G05555.1, AT3G31560.1
OG0000114	g32639, g15993, g24938, g6351, g14468, g28182, g27531	AT1G36230.1
OG0000115	g41206, g3584, g42122	AT1G34070.1
OG0000116	g27853	AT1G14800.1
OG0000117	g27550, g27549	AT1G23670.2
OG0000117	g50301	AT1G23590.1
OG0000118	g35294, g50762, g6146, g12640	AT4G33290.1, AT2G38590.1, AT5G41490.1, AT5G41500.1, AT5G41510.1
OG0000118	g12809	AT3G04250.1, AT3G25090.1, AT3G23685.1, AT3G23680.1
OG0000119	g11441, g11440	AT3G45540.1
OG0000121	g38498, g32974, g38499	AT2G01050.1
OG0000122	g18088	AT5G50270.1
OG0000123	g1342	AT5G51105.1
OG0000125	g31072	AT1G07560.1
OG0000125	g18497	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	g54244, g54237, g54238	AT1G51805.1
OG0000125	g6675	AT3G21340.1
OG0000125	g54236	AT1G51810.1
OG0000126	g27940	AT1G35150.1
OG0000126	g16332	AT3G29794.1
OG0000126	g41907	AT3G29638.1
OG0000126	g16333	AT2G19960.3
OG0000126	g30547	AT2G16040.1
OG0000127	g41348	AT5G22880.1
OG0000127	g19182	AT3G53650.1
OG0000127	g2919, g1294, g28781	AT5G59910.1, AT3G45980.1, AT3G46030.1
OG0000127	g39998	AT2G28720.1
OG0000128	g2010	AT3G59270.1
OG0000128	g2009	AT3G59200.1, AT3G59210.1
OG0000128	g50627	AT4G14103.2
OG0000129	g45131	AT1G65120.2
OG0000129	g45103, g45101	AT1G65200.1
OG0000129	g9880	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1
OG0000132	g51066	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1
OG0000134	g4924	AT5G44510.1
OG0000134	g18420	AT5G11250.2, AT3G04220.3
OG0000137	g1010	AT5G55370.1
OG0000137	g1011	AT5G55380.1
OG0000151	g19127	AT3G55110.1
OG0000151	g19128	AT3G55100.1
OG0000151	g51765	AT2G39350.1
OG0000151	g2235	AT3G55090.1
OG0000151	g2346	AT3G53510.1
OG0000151	g51633	AT2G37360.1
OG0000151	g29346	AT5G13580.1
OG0000153	g51155, g51154, g51130, g51156	AT2G30670.1
OG0000153	g51131, g40020	AT2G29310.1
OG0000153	g37875, g37876	AT1G07450.1
OG0000154	g36466, g36467	AT1G50830.1, AT5G18510.1
OG0000154	g54211	AT1G50760.1, AT1G50770.1
OG0000159	g35382, g43640, g42719, g19947	AT4G03728.1
OG0000160	g5985	AT2G18960.1
OG0000160	g23426	AT4G30190.2
OG0000160	g1105	AT5G57350.1
OG0000160	g6339	AT2G07560.1
OG0000160	g11547	AT3G42640.1
OG0000160	g46563	AT1G80660.1
OG0000160	g50994	AT2G24520.2
OG0000162	g28290	AT2G04830.1
OG0000162	g11479	AT2G03610.1
OG0000169	g53988	AT1G47340.1, AT1G47350.1, AT1G47300.1
OG0000170	g2799	AT1G33730.1
OG0000170	g52256	AT1G33720.1
OG0000170	g52257	AT2G45570.1
OG0000171	g915, g28415	AT5G53300.1
OG0000171	g14078	AT2G16740.1
OG0000171	g28546	AT5G56150.1
OG0000171	g7540	AT3G08700.1, AT3G08690.1
OG0000171	g17072	AT4G27960.2
OG0000172	g4028	AT4G05095.1
OG0000175	g45857	AT1G23490.1, AT1G70490.1
OG0000175	g5177	AT1G10630.1
OG0000175	g29297	AT5G14670.1
OG0000175	g37719	AT2G47170.1
OG0000176	g12860	AT3G05360.1
OG0000178	g40442	AT4G04490.1
OG0000178	g45158	AT4G04570.1
OG0000178	g45173	AT4G04540.1
OG0000182	g27624	AT3G61100.1, AT3G61090.1
OG0000183	g18117	AT1G66410.2, AT5G37780.3
OG0000183	g40143	AT2G27030.3
OG0000184	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332	AT3G22030.1, AT3G22053.1
OG0000184	g11846	AT3G22050.1, AT3G22020.1, AT3G22040.1
OG0000185	g32332, g32334, g32337	AT3G19520.3
OG0000185	g11864	AT1G19060.1, AT1G02770.1
OG0000186	g14029	AT2G13895.1
OG0000187	g17092	AT2G21680.1
OG0000189	g47947	AT4G35950.1
OG0000189	g18237	AT2G17800.1
OG0000189	g23036	AT4G35020.1
OG0000189	g50117	AT1G75840.1, AT1G20090.1
OG0000192	g25904	AT3G51210.1
OG0000192	g17137	AT4G26280.1, AT3G45080.1, AT3G45070.2, AT2G27570.1
OG0000193	g27763	AT1G47390.1
OG0000196	g43806, g43821, g2891	AT5G41540.1
OG0000197	g24122	AT5G37760.1
OG0000197	g17408	AT5G37750.1, AT5G37440.1
OG0000198	g25893	AT2G01520.1
OG0000198	g10793	AT4G14060.1, AT2G01530.1
OG0000198	g31564	AT1G14930.1, AT1G14940.1
OG0000198	g49926	AT1G14950.1
OG0000200	g40675	AT1G05550.3
OG0000200	g40674	AT1G05540.1
OG0000200	g27686	AT1G30170.1
OG0000202	g1023, g25454, g25477	AT4G01925.1, AT4G09690.1, AT4G11547.1
OG0000203	g1974, g1973	AT3G58250.1
OG0000203	g18958	AT3G58270.1
OG0000203	g2360	AT3G58360.1
OG0000209	g2157	AT1G12490.1, AT1G09650.1
OG0000215	g449	AT2G06265.1, AT2G07505.1
OG0000216	g25664	AT4G12370.1
OG0000216	g41090, g41083, g41086	AT1G57790.1
OG0000225	g4045	AT1G69630.1
OG0000226	g17691, g17690, g17692	AT3G26250.1, AT3G26240.1
OG0000229	g13978	AT5G28820.1
OG0000229	g26214	AT2G29880.1
OG0000229	g24726	AT5G27260.1, AT1G30140.1, AT5G35540.1
OG0000230	g2000	AT3G58900.4
OG0000233	g45483	AT5G07550.1
OG0000233	g29622	AT5G07571.1, AT5G07560.1
OG0000233	g45482	AT5G07540.1
OG0000233	g29623	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000235	g11302	AT1G24388.1, AT4G11700.1, AT3G57210.1
OG0000236	g11672	AT1G69650.1
OG0000237	g11805	AT3G22650.2
OG0000237	g36933	AT3G21410.1
OG0000239	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750	AT1G43145.1
OG0000241	g17320	AT4G21860.1, AT4G21850.1, AT4G21840.1, AT4G21830.1, AT4G04840.1, AT4G04800.1, AT4G04810.1, AT4G04830.1
OG0000242	g12521	AT5G27810.1
OG0000242	g10112	AT5G26630.1
OG0000243	g27682	AT1G29460.2, AT1G29500.1
OG0000246	g37185	AT2G36790.1, AT2G36800.1
OG0000246	g51603	AT2G36750.1
OG0000247	g27759, g27721	AT1G32030.1
OG0000249	g16095, g42905, g32698	AT1G43260.1
OG0000250	g40469	AT4G05320.2
OG0000251	g16641	AT3G26330.1, AT3G26320.1, AT2G02580.1
OG0000252	g46370	AT1G77520.1
OG0000253	g12277	AT3G12580.1
OG0000253	g7492	AT3G09440.1
OG0000253	g5784, g45315	AT5G02500.1
OG0000254	g47116, g47114, g17643	AT4G15680.1
OG0000254	g47115	AT4G15660.1, AT4G15670.1, AT4G15690.1, AT4G15700.1
OG0000255	g6529	AT1G42190.1
OG0000257	g46235	AT2G26020.1, AT2G26010.1, AT5G44430.1
OG0000259	g1607	AT1G49610.1, AT3G03360.1, AT1G57690.1
OG0000260	g6207, g6217	AT4G39500.2, AT4G32170.1
OG0000262	g24889	AT1G62170.2, AT2G14540.1
OG0000269	g28758	AT5G59720.1
OG0000269	g2910, g2936	AT3G46230.1
OG0000269	g39974	AT2G29500.1
OG0000270	g40880	AT1G63320.1, AT1G63330.1
OG0000277	g18216, g23060, g18323	AT4G38920.1
OG0000278	g14307	AT5G37400.2, AT5G37650.1
OG0000278	g38273, g38276	AT4G09440.1
OG0000278	g46809, g46812, g46827	AT5G37470.2, AT5G37460.1, AT5G37920.1, AT5G37430.1, AT5G37410.2, AT4G16530.1, AT5G37420.1
OG0000279	g40527, g40528, g40529	AT2G26030.4
OG0000282	g47412	AT4G22170.1
OG0000282	g53736	AT4G22180.1, AT4G22660.1, AT4G22165.1, AT4G14165.1
OG0000285	g47372	AT4G21380.1
OG0000285	g23645	AT4G27290.2
OG0000285	g42046	AT1G65800.1, AT1G65790.1
OG0000286	g44985, g44982, g44984	AT3G10750.1
OG0000288	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167	AT5G30520.1
OG0000289	g39783	AT2G25440.1
OG0000291	g11641, g53214, g52576, g53200	AT2G05510.1, AT2G05440.2
OG0000294	g25697	AT1G31000.1
OG0000296	g1252, g28701, g28702	AT5G59090.1, AT5G59120.1
OG0000296	g28714	AT5G58840.1, AT5G58820.1, AT5G58830.1
OG0000298	g41665	AT1G33600.1
OG0000298	g50713	AT2G26380.1
OG0000298	g32687	AT1G33590.2
OG0000303	g26634	AT5G28730.1
OG0000304	g50556	AT2G40440.1
OG0000304	g51897	AT5G48510.1, AT2G05330.1
OG0000305	g53520, g51878	AT1G43090.1, AT1G43100.1, AT1G43080.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT2G26620.1, AT4G13760.1, AT2G40310.1
OG0000306	g13807, g46733	AT5G38690.1
OG0000307	g36491	AT1G51240.1, AT1G51250.1, AT1G51230.1
OG0000308	g39732	AT5G43360.1
OG0000308	g11113, g11114	AT5G43370.1, AT5G43350.1
OG0000311	g20487	AT2G01021.1
OG0000312	g34672	AT2G07290.1
OG0000316	g7145, g7146, g12171, g12173, g12193	AT3G14680.1, AT3G14640.2
OG0000318	g43847	AT1G79680.1, AT1G69730.1
OG0000321	g54159	AT1G04820.1, AT1G50010.1
OG0000321	g41419	AT5G19770.1, AT5G19780.1
OG0000321	g666	AT1G64740.1
OG0000325	g26947, g49462	AT1G04750.1
OG0000325	g51329	AT2G33120.2
OG0000325	g30904	AT1G04760.1
OG0000329	g24516, g24521	AT4G14630.1
OG0000330	g17997, g17998	AT1G72920.1, AT1G72940.1, AT1G72900.1, AT1G72930.1, AT1G72910.1
OG0000330	g44587	AT1G72890.2
OG0000330	g31719	AT1G17615.1
OG0000331	g25429, g39522	AT4G01850.1
OG0000331	g26892	AT1G02500.1
OG0000331	g6947	AT3G17390.1
OG0000332	g24568, g44176	AT1G61500.3, AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61480.1, AT1G61490.1, AT1G61420.2, AT1G61460.1, AT1G61550.1
OG0000336	g31190, g27091, g27095, g31209	AT1G57660.1, AT1G57860.1, AT1G09690.1, AT1G09590.1
OG0000339	g17631	AT4G20235.1
OG0000345	g29557, g39719	AT5G09500.1, AT5G43640.1
OG0000345	g45514	AT5G09490.1
OG0000345	g26927, g49447, g30863	AT1G04270.1
OG0000346	g2365	AT3G53280.1
OG0000346	g10579	AT3G26200.1
OG0000348	g50668	AT3G28330.1, AT3G28280.1
OG0000349	g1278	AT5G59650.2
OG0000350	g13403, g13402	AT3G29050.2, AT3G21920.2, AT3G21930.1, AT3G21910.1, AT3G21900.2
OG0000351	g12309	AT2G15660.1
OG0000356	g50999	AT2G24650.1
OG0000357	g32419, g32420, g50521	AT1G29930.1, AT1G29920.1, AT1G29910.1
OG0000358	g36851, g36853, g36855, g36852, g36854	AT1G51490.1
OG0000358	g11643	AT1G51470.1, AT1G47600.1
OG0000359	g23616	AT4G27657.1
OG0000362	g35345, g4371	AT3G30730.2
OG0000362	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248	AT3G30739.1
OG0000363	g53411, g29745	AT3G44970.1
OG0000363	g27806	AT1G78490.1
OG0000365	g27592	AT1G26390.1
OG0000365	g24049	AT4G20800.1
OG0000365	g50367	AT1G26380.1, AT1G26410.1, AT1G26400.1, AT1G26420.1
OG0000367	g18012	AT5G35610.1
OG0000368	g11421	AT3G46690.1
OG0000368	g11422	AT3G46720.1
OG0000369	g4675, g4768, g6892, g51876	AT5G49490.1, AT5G49420.1, AT5G38620.1
OG0000370	g6467	AT3G23950.1, AT3G23970.1
OG0000371	g11614	AT1G43720.1
OG0000374	g11235	AT2G09388.1
OG0000376	g41000	AT1G60710.1
OG0000377	g47983	AT4G37370.1
OG0000377	g47982	AT1G66540.1, AT4G37360.1, AT4G37340.1
OG0000377	g22842	AT4G37330.1
OG0000379	g1514	AT2G02040.1
OG0000379	g19165	AT3G54140.1
OG0000380	g19547, g28753	AT1G35850.1, AT5G59280.1, AT1G21620.1
OG0000380	g28797, g28774, g28802	AT5G60180.1, AT5G60110.1
OG0000381	g43972, g18058, g26185	AT1G78635.1, AT1G78640.1
OG0000381	g23603	AT2G33720.1
OG0000382	g44023	AT4G02420.1, AT4G02410.1
OG0000382	g37230	AT2G37710.1
OG0000383	g11293, g11292, g11294	AT3G28550.1, AT3G54590.3, AT3G54580.1
OG0000384	g10911	AT5G46940.1, AT5G46970.1, AT5G46930.1
OG0000386	g50718	AT1G33950.1
OG0000386	g32707	AT1G33930.1
OG0000386	g32710	AT1G33910.1, AT1G33900.1, AT1G33890.1
OG0000388	g13288	AT3G17550.1
OG0000388	g34348, g35026, g34350, g28458, g28439, g35303	AT5G54210.1, AT1G20320.1
OG0000388	g6787	AT2G04930.1, AT3G19595.1
OG0000389	g43635, g1338, g1343	AT5G60610.1, AT5G56700.2, AT5G56690.1
OG0000390	g50242	AT1G22370.2
OG0000390	g27516	AT1G22360.1
OG0000391	g46059, g46056	AT1G73310.1, AT5G36180.1, AT1G73300.1, AT1G73280.1, AT1G73290.1, AT1G73270.1
OG0000391	g7432	AT3G10450.1
OG0000392	g47536	AT4G25300.1, AT4G25310.1
OG0000393	g46706	AT5G39130.1, AT5G39190.1, AT5G39160.1
OG0000394	g24279	AT1G28030.1
OG0000395	g31494	AT1G14080.1
OG0000395	g6162, g14272	AT2G15350.1, AT2G15370.1
OG0000395	g49902	AT2G15360.1
OG0000397	g36029, g3758, g12040	AT2G17310.1
OG0000398	g22154	AT5G17167.1
OG0000399	g25452	AT4G02080.1
OG0000399	g41120	AT1G56330.1
OG0000399	g31165	AT1G09180.1
OG0000402	g9658	AT5G66900.2
OG0000402	g9656	AT5G66890.1
OG0000404	g11863	AT1G23935.1
OG0000407	g36060, g14938, g43281, g11474, g7650	AT1G03300.1, AT1G26540.1, AT2G47230.2
OG0000409	g32362, g32361	AT2G27360.1
OG0000409	g27666	AT1G28610.2, AT1G31550.2, AT1G28600.1
OG0000409	g50490	AT1G28580.1, AT1G28570.1
OG0000411	g50674, g6276, g3083, g6257, g6259, g6273, g38385	AT3G42940.1, AT2G24285.2, AT2G24480.1, AT5G43200.1, AT3G28620.1, AT2G24460.1
OG0000412	g45737	AT5G16570.1
OG0000412	g46788	AT5G37600.1
OG0000412	g45009	AT1G66200.3
OG0000412	g6918, g13293	AT3G17820.1
OG0000413	g12223, g12228	AT3G13662.1
OG0000413	g27985	AT1G55210.1
OG0000414	g40900	AT1G62500.1
OG0000414	g13659	AT2G10940.1
OG0000414	g47091	AT4G15160.1
OG0000419	g51508	AT2G38255.1
OG0000420	g4802, g4813	AT5G12090.1
OG0000421	g39358	AT5G52640.1
OG0000423	g32550	AT1G42700.1
OG0000424	g28489	AT5G54640.1
OG0000424	g47623	AT4G27230.1
OG0000426	g3013, g7095	AT1G55947.1
OG0000426	g40973, g23602	AT2G16810.1
OG0000429	g18956	AT3G58440.1
OG0000429	g2032	AT3G58410.1, AT3G58340.1
OG0000430	g23976, g17311	AT4G21980.2
OG0000431	g1437	AT1G60130.1, AT1G60110.2, AT1G60095.1
OG0000432	g555	AT1G48820.1, AT1G48800.1
OG0000432	g24067	AT4G20230.2, AT1G66020.1, AT4G20200.1
OG0000433	g17099, g17097, g17100, g17096	AT4G27170.1, AT4G27140.1, AT4G27150.1, AT4G27160.1
OG0000434	g36218, g36226, g36221	AT5G38435.1, AT5G38440.1
OG0000436	g19572	AT3G46000.2
OG0000436	g41304	AT5G59880.1
OG0000436	g1293	AT5G59890.1
OG0000436	g19571	AT3G46010.2
OG0000439	g45982, g16494, g44625	AT1G71880.1
OG0000439	g13576	AT1G71890.1
OG0000439	g29695	AT5G06170.1, AT1G66570.1, AT2G14670.1, AT5G43610.1
OG0000440	g53832	AT4G39600.2
OG0000443	g23276	AT4G32390.1
OG0000443	g45564	AT5G11230.1
OG0000443	g598	AT5G25400.1
OG0000444	g51246	AT2G31390.1
OG0000444	g2023	AT3G59480.1
OG0000444	g49529	AT1G06020.1, AT1G06030.1
OG0000445	g502, g2678, g19442, g19454, g9989	AT5G23740.1
OG0000446	g1408	AT5G22590.1
OG0000446	g21423	AT5G22720.1
OG0000447	g51571	AT3G11510.1, AT2G36160.1, AT3G52580.1
OG0000448	g4323	AT3G28390.1, AT3G28360.1, AT3G28380.1, AT3G28415.2
OG0000448	g10425	AT3G28345.1
OG0000450	g2642	AT1G15890.1
OG0000451	g50836	AT1G60090.1, AT1G60270.1, AT1G60260.1, AT5G16580.1, AT1G45191.1
OG0000452	g45250	AT1G63200.1
OG0000457	g7774, g12606, g30872, g12810, g7765	AT3G04400.1, AT1G04480.1, AT2G33370.1
OG0000458	g50497	AT1G29090.1
OG0000459	g17375	AT4G20450.1
OG0000460	g12238	AT5G56540.1, AT4G26320.1, AT1G55330.1
OG0000463	g32899	AT1G35190.1
OG0000466	g32989, g31982	AT3G05685.1
OG0000468	g37276	AT2G30385.1
OG0000469	g1996, g10969, g40576, g47280, g17461	AT2G42740.1
OG0000472	g4134	AT1G36095.1, AT5G33406.1
OG0000473	g49273	AT1G02190.1
OG0000473	g30720, g1438	AT1G02205.3
OG0000473	g51663	AT2G37700.3
OG0000474	g49450	AT1G04300.3
OG0000474	g39721	AT5G43560.1
OG0000474	g50694	AT4G16045.1
OG0000474	g50021	AT5G52330.1
OG0000475	g40945	AT4G00390.1, AT1G61730.1
OG0000476	g37782, g4812, g4800, g4814	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27580.1, AT5G27944.1, AT5G26950.1, AT5G27070.1
OG0000477	g353	AT5G62540.1
OG0000477	g27266	AT1G14400.1
OG0000480	g40981	AT1G61070.1
OG0000480	g1517	AT2G02130.1
OG0000481	g44045	AT1G58360.1
OG0000481	g27100	AT1G10010.2
OG0000483	g10980, g10092	AT5G25980.2
OG0000483	g10089	AT5G26000.1
OG0000484	g47740	AT5G48070.1
OG0000484	g47741, g47742, g23417	AT4G30280.1, AT1G65310.2
OG0000485	g23902	AT4G23380.1
OG0000485	g17267	AT4G23350.1, AT4G23365.1, AT4G23355.1, AT4G23360.1
OG0000485	g23904	AT4G23373.1, AT4G23370.1
OG0000485	g24586, g23899, g23901	AT2G20170.1
OG0000486	g46992, g26157, g46989	AT1G18760.1, AT3G13228.1, AT1G18770.1
OG0000491	g19467	AT3G48300.2
OG0000491	g41553, g11391	AT3G48270.1
OG0000492	g19139, g11288	AT3G54700.1
OG0000492	g37303	AT2G38940.1
OG0000493	g16860	AT5G40070.1, AT5G41200.1, AT5G40220.1, AT5G40120.1, AT5G39810.1, AT5G39750.1, AT5G37415.1, AT5G38740.1
OG0000495	g17535	AT3G46190.2
OG0000495	g53091	AT1G58270.1
OG0000496	g2743	AT3G47760.3, AT3G47750.1, AT3G47770.2
OG0000496	g19502	AT3G47740.1
OG0000496	g2744	AT3G47780.1
OG0000497	g12212	AT1G72730.1
OG0000497	g27989	AT3G13920.5, AT1G54270.1
OG0000498	g6058	AT2G17590.1
OG0000498	g6063	AT2G17600.1
OG0000499	g6742	AT3G20360.1
OG0000500	g46747, g18097, g41800, g18041, g44922, g44926	AT5G38430.1, AT5G38420.1, AT5G38410.3
OG0000501	g50671, g32646	AT1G32940.1
OG0000501	g50679	AT1G32950.1, AT1G32960.1
OG0000501	g40318	AT4G10550.3
OG0000502	g46703, g46704	AT5G39280.1, AT5G39300.1, AT5G39270.1, AT5G39290.1
OG0000502	g37779	AT5G39310.1
OG0000506	g29645, g45471, g28728, g1183, g39280	AT2G17360.1, AT5G07090.1
OG0000509	g24336	AT2G03020.1, AT4G16540.1
OG0000509	g24334, g24335	AT4G16545.1, AT4G16555.1
OG0000510	g46683, g46681	AT5G40240.2
OG0000510	g18100	AT5G40230.1
OG0000513	g27109	AT1G53350.1
OG0000516	g44889, g42659, g42668, g4054, g53638, g3459, g26813	AT1G67623.1
OG0000517	g29147, g29148, g29150	AT5G17120.1, AT5G17150.1
OG0000518	g28418, g28417	AT5G53380.1
OG0000518	g5308	AT5G12420.1, AT5G16350.1
OG0000519	g8	AT5G65940.1
OG0000520	g51206	AT1G12663.1
OG0000520	g27193	AT1G12665.1
OG0000521	g185, g186	AT5G65080.2, AT5G65070.3
OG0000521	g9727	AT5G65050.3, AT5G65060.1, AT1G77080.8
OG0000522	g37317	AT2G39390.1
OG0000522	g13045, g12397, g7487	AT3G09500.1
OG0000523	g54035	AT5G27100.1
OG0000523	g54031	AT4G31710.2
OG0000524	g45181, g45202	AT4G11770.1, AT4G11750.1
OG0000525	g37492, g37493	AT2G43260.2
OG0000526	g29070	AT5G18720.1
OG0000529	g39835, g51257	AT2G24560.1
OG0000529	g51197, g37897	AT2G30220.1, AT2G30310.1
OG0000530	g41237, g890	AT5G52770.1, AT5G52760.1, AT5G52750.1
OG0000533	g14004	AT1G45616.1
OG0000534	g38274	AT5G35945.1, AT3G43410.1
OG0000534	g17931	AT1G78470.1
OG0000535	g2040	AT1G65870.1
OG0000536	g46832	AT5G37160.1
OG0000536	g46831	AT5G37165.1
OG0000536	g25662	AT5G37030.1
OG0000537	g12430	AT3G07820.1
OG0000537	g37940, g37932, g12429	AT3G07840.1
OG0000538	g10345	AT3G29635.1
OG0000539	g46875	AT2G29360.1
OG0000542	g31250	AT1G10430.1
OG0000542	g44098	AT1G59830.1
OG0000542	g49727	AT1G69960.1
OG0000544	g47326	AT4G19870.1
OG0000547	g52123, g37511	AT2G43590.1
OG0000549	g51327	AT2G33050.1
OG0000553	g11687	AT3G24830.1
