Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000027	g25723	Cg003G0758500
OG0000027	g40374	Cg003G0757800
OG0000030	g38367, g38376, g38372, g38380	Cg006G1982700, Cg001G0286900
OG0000030	g13799, g13797	Cg002G0532900
OG0000030	g44631	Cg006G2154000
OG0000031	g39351, g7244, g17718, g41293	Cg003G0842000
OG0000032	g41784, g34309, g35282, g25262	Cg007G2363000
OG0000032	g49592, g25930, g51375	Cg001G0339700
OG0000034	g23911	Cg001G0172000
OG0000034	g24014	Cg001G0190400, Cg001G0190500
OG0000034	g23912	Cg001G0172700
OG0000038	g2497	Cg007G2341500, Cg007G2278200
OG0000040	g49152	Cg008G2847500, Cg008G2862000
OG0000040	g3973, g3980	Cg007G2426000, Cg008G2852000, Cg008G2867800
OG0000041	g28504, g28412, g26640, g45389, g13756, g29232, g14427, g4881, g19458, g46776	Cg007G2434700
OG0000041	g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028	Cg006G2127000
OG0000042	g6307, g53556	Cg013G3025700
OG0000042	g40104, g13786, g31186, g8826, g30544	Cg007G2325300
OG0000043	g32581, g25935, g6093	Cg014G3034000
OG0000043	g53495, g823, g9695	Cg002G0640800
OG0000043	g34289	Cg003G0842100
OG0000043	g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242	Cg007G2421300, Cg006G1860500
OG0000043	g31229, g24493, g12585, g3844, g50586	Cg008G2905100
OG0000044	g18482	Cg008G2973900
OG0000044	g28154	Cg004G1380900, Cg013G3024300
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490	Cg003G0881700
OG0000046	g3382, g2931	Cg001G0284200
OG0000050	g32289	Cg005G1710800
OG0000050	g44252	Cg002G0525300, Cg008G2715000, Cg001G0215700
OG0000050	g30921, g53630, g4397, g10583	Cg006G1961200, Cg003G0717600
OG0000050	g182	Cg005G1737200
OG0000051	g53934, g37450	Cg005G1723400
OG0000052	g19225	Cg002G0501500
OG0000054	g15787, g35421	Cg008G2918900
OG0000054	g33648, g43042, g25738, g35108, g25116, g46983, g27937	Cg003G0830800
OG0000055	g700	Cg004G1239300
OG0000056	g44206, g40901	Cg002G0557700
OG0000058	g49100	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	Cg005G1558200, Cg002G0489100, Cg003G0990300, Cg002G0570000, Cg005G1647300, Cg003G0987300, Cg002G0566100, Cg006G2185800
OG0000061	g50013	Cg005G1634900
OG0000061	g23667	Cg005G1631000
OG0000063	g12636, g24835, g53004	Cg001G0313600
OG0000065	g18042	Cg007G2435800
OG0000065	g46717	Cg003G0889600
OG0000066	g5416	Cg008G2671100
OG0000066	g9719	Cg003G1045600
OG0000066	g29501, g45535	Cg008G2671000
OG0000066	g5393	Cg001G0018900, Cg008G2677200, Cg001G0018800
OG0000067	g38489, g40040, g14490, g12581, g53576	Cg006G1886600
OG0000068	g27956, g25385, g25390, g46783	Cg008G2597800, Cg002G0415500, Cg008G2596900, Cg004G1419400, Cg008G2928700, Cg002G0693300, Cg008G2602600, Cg008G2600100
OG0000069	g13531	Cg007G2571800, Cg001G0395000
OG0000070	g10675	Cg006G2161100, Cg002G0680500
OG0000070	g50123	Cg006G2064200
OG0000070	g46242	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	g44417	Cg008G2918500, Cg011G3015900
OG0000074	g25623, g25627, g44201	Cg008G2873100
OG0000074	g10989	Cg007G2575700
OG0000074	g43483, g50927, g53476, g50930, g43482	Cg007G2434800
OG0000075	g25975, g22716	Cg001G0013900
OG0000077	g18473	Cg008G2957400
OG0000077	g18408	Cg005G1775900, Cg003G0758200
OG0000077	g1538, g1535	Cg007G2324000, Cg002G0678300, Cg002G0679000, Cg002G0679200, Cg002G0679300
OG0000078	g4945	Cg004G1099800, Cg004G1099900
OG0000079	g53126	Cg010G2993500
OG0000080	g50113, g4633, g53808	Cg006G1882600
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	Cg003G0774600, Cg008G2921900
OG0000083	g1214, g6498, g34698, g18541, g2639, g36782, g37302, g49748, g24811, g27392, g2637, g49747, g10029, g51552, g41167, g16239, g27391, g24809, g10031, g50071, g1277, g22813, g23046, g2078, g43908, g41775, g32865, g39422, g31427, g53391, g4465, g28112, g2282, g41124, g37671, g46254, g31488, g46534, g47392, g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332, g2997, g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497, g43868, g51292, g28232, g45392, g2408, g135, g7916, g23429, g51381, g13593, g1215, g24810, g53918, g11358, g42931, g35240, g6238, g6313, g3724, g32856, g43081, g26018, g35239, g42930, g6323, g26027, g52571, g17747, g25833, g42932, g6324, g25834	Cg002G0678700
OG0000083	g10032, g1216, g41168, g51553, g29851, g2079, g31823	Cg005G1676000
OG0000084	g16020, g26091, g11688, g32213	Cg006G1901600
OG0000084	g34382, g53309	Cg007G2362900
OG0000084	g3226	Cg003G0875600
OG0000084	g14426	Cg014G3052300, Cg004G1424800, Cg005G1657000
OG0000086	g14687	Cg001G0342500
OG0000086	g46770, g46768, g46769, g43995	Cg001G0342600
OG0000089	g9991	Cg008G2794800
OG0000089	g339, g2817, g9845	Cg003G1017300
OG0000089	g5316	Cg008G2689500
OG0000089	g11055, g40485	Cg008G2943700
OG0000089	g24042	Cg001G0195600
OG0000089	g46232	Cg006G2065500, Cg007G2528700
OG0000091	g19510, g11453, g11030, g40516	Cg005G1672400
OG0000091	g28934, g28933	Cg001G0362300, Cg008G2769400
OG0000095	g51024	Cg005G1737700, Cg005G1737600, Cg005G1739100, Cg005G1739400
OG0000096	g6393	Cg001G0384700
OG0000098	g11756	Cg004G1351900
OG0000101	g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818	Cg007G2332400
OG0000102	g40477, g40479, g40476, g40480, g1561	Cg003G0864100, Cg003G0734300
OG0000102	g45186	Cg003G0863600, Cg003G0734800
OG0000105	g35258	Cg007G2331800
OG0000107	g6757	Cg004G1267700
OG0000107	g11936	Cg004G1267500
OG0000108	g37225, g38077, g2333, g51658	Cg005G1557400
OG0000108	g29544	Cg008G2664600
OG0000108	g13323	Cg004G1253800
OG0000109	g30198, g33477	Cg008G2837900
OG0000110	g46791, g24881	Cg002G0653700
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000115	g5236, g5604	Cg001G0196200
OG0000115	g16651, g17473, g31783	Cg006G1927900, Cg008G2910800
OG0000116	g48680, g15046, g14763, g43457, g1389, g17894	Cg008G2902500, Cg008G2949800, Cg008G2949700, Cg008G2902600, Cg001G0293300, Cg001G0282800
OG0000117	g27550, g27549	Cg006G2029700
OG0000117	g50301	Cg006G2030500
OG0000120	g27841	Cg002G0560700, Cg001G0267600, Cg008G2916400, Cg008G2816800, Cg007G2484100, Cg006G2020800, Cg004G1078700, Cg007G2342500
OG0000124	g51625, g52915, g53579	Cg001G0298900
OG0000125	g51118	Cg005G1644900
OG0000125	g31072	Cg006G2188500
OG0000125	g18497	Cg006G1817000, Cg006G1816500
OG0000125	g6675	Cg004G1281100
OG0000127	g41348	Cg008G2786000
OG0000127	g19182	Cg002G0489900
OG0000127	g2919, g1294, g28781	Cg003G0989900, Cg002G0569500, Cg002G0569100
OG0000127	g39998	Cg005G1647800
OG0000128	g2009	Cg002G0434700, Cg002G0434600
OG0000129	g45131	Cg007G2357000
OG0000129	g24222, g24219	Cg007G2393300, Cg007G2412500, Cg007G2396400
OG0000129	g45103, g45101	Cg007G2390100
OG0000129	g9880	Cg003G1010100, Cg003G1010200, Cg003G1010000, Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700, Cg003G0897000
OG0000134	g18420	Cg008G2920900
OG0000136	g6807	Cg008G2983700
OG0000137	g1010	Cg003G0942200
OG0000137	g1011	Cg003G0942300
OG0000140	g49472, g35118	Cg002G0686900
OG0000142	g1920, g26785, g32853	Cg005G1593500
OG0000143	g52356, g52620, g4139, g16474	Cg002G0608200
OG0000151	g19127	Cg002G0475200
OG0000151	g19128	Cg002G0475300
OG0000151	g51765	Cg005G1538800
OG0000151	g2235	Cg002G0475400
OG0000151	g2346	Cg002G0491600
OG0000151	g51633	Cg005G1560100
OG0000151	g29346	Cg008G2699500
OG0000153	g51155, g51154, g51130, g51156	Cg005G1625900
OG0000153	g37875, g37876	Cg006G2190200, Cg005G1640700
OG0000154	g36466, g36467	Cg006G1826100
OG0000155	g36320, g54169, g36224, g24260	Cg009G2989400
OG0000155	g37113, g6888, g3418, g43341, g44494	Cg004G1360400, Cg001G0323500
OG0000159	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132	Cg003G0778900, Cg005G1705200
OG0000160	g5985	Cg004G1426700
OG0000160	g23426	Cg001G0100800
OG0000160	g1105	Cg003G0963700
OG0000160	g6339	Cg004G1353700
OG0000160	g17885	Cg001G0307000
OG0000160	g46563	Cg007G2573400
OG0000160	g50994	Cg005G1742100
OG0000163	g43620	Cg007G2356000, Cg005G1702000
OG0000170	g52257	Cg005G1474000
OG0000171	g915, g28415	Cg003G0916500
OG0000171	g14078	Cg004G1402700
OG0000171	g28546	Cg003G0949800
OG0000171	g7540	Cg004G1146700
OG0000171	g17072	Cg001G0123300
OG0000174	g52379	Cg003G0887300, Cg005G1647500
OG0000174	g50178	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	g45857	Cg006G2031400, Cg007G2474600
OG0000175	g29297	Cg008G2710700
OG0000175	g50814	Cg002G0406800, Cg005G1457900
OG0000178	g40442	Cg003G0742900, Cg003G0743000
OG0000183	g18117	Cg001G0339800, Cg007G2426600
OG0000183	g40143	Cg005G1681400
OG0000185	g11864	Cg004G1440400, Cg003G1044200
OG0000187	g17092	Cg005G1772000
OG0000189	g47947	Cg001G0040600
OG0000189	g18237	Cg004G1414100
OG0000189	g50117	Cg007G2529500, Cg006G2064800
OG0000192	g25904	Cg006G1993900
OG0000192	g25911	Cg006G1994000
OG0000192	g17137	Cg006G2127500
OG0000193	g27763	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000196	g53972	Cg001G0387900, Cg001G0387800, Cg001G0388400
OG0000197	g24122	Cg001G0339500
OG0000198	g25893	Cg002G0692800
OG0000198	g31564	Cg006G2114000
OG0000198	g49926	Cg006G2113800, Cg006G2113700
OG0000199	g47707	Cg001G0105000
OG0000200	g40675	Cg006G2210500
OG0000200	g40674	Cg006G2210600
OG0000200	g27686	Cg006G1857600
OG0000201	g53703	Cg005G1716200
OG0000201	g35562	Cg005G1717000
OG0000203	g18958	Cg002G0442000
OG0000203	g2360	Cg002G0441400
OG0000205	g11567	Cg006G1892500
OG0000206	g14281, g41697, g42264, g18658, g48987, g34593, g15238	Cg003G0826800, Cg003G0827100
OG0000208	g33150, g21459, g33511, g33550	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	g2157, g5026	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	g12731	Cg008G2968000
OG0000209	g49840, g49834, g49829	Cg008G2772200
OG0000210	g1914	Cg005G1646200
OG0000216	g25664	Cg003G0750300, Cg003G0750200
OG0000216	g41090, g41083, g41086	Cg007G2323800
OG0000221	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923	Cg002G0658400
OG0000229	g13978	Cg001G0315200
OG0000229	g24726	Cg007G2409700
OG0000233	g45483	Cg008G2647600
OG0000233	g29622	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	g45482	Cg008G2647500
OG0000233	g29623	Cg008G2647300
OG0000235	g11302	Cg007G2571200, Cg007G2574000
OG0000236	g13483	Cg001G0272600, Cg004G1311000
OG0000237	g36933	Cg001G0099500, Cg004G1282100
OG0000238	g44677	Cg007G2478500
OG0000239	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750	Cg001G0354900, Cg008G2902200
OG0000241	g17320	Cg001G0185400, Cg001G0185500, Cg003G0857500, Cg003G0740200
OG0000242	g10112	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	g25493	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000246	g37185	Cg005G1566300
OG0000249	g32697	Cg006G1934400
OG0000249	g16095, g42905, g32698	Cg004G1366500, Cg002G0640600
OG0000250	g40469	Cg003G0735700
OG0000251	g16641	Cg002G0663800
OG0000252	g40852	Cg007G2272200
OG0000252	g46370	Cg007G2546100
OG0000253	g54073	Cg004G1153800
OG0000253	g12277	Cg004G1184700
OG0000253	g7492	Cg004G1154100
OG0000253	g5784, g45315	Cg008G2596600
OG0000254	g47115	Cg001G0250300, Cg001G0250200, Cg001G0250000, Cg001G0249500, Cg001G0249800, Cg001G0249400, Cg001G0249700
OG0000257	g46235	Cg008G2969000
OG0000262	g24889	Cg007G2264500, Cg007G2264400, Cg007G2264300, Cg007G2293500
OG0000265	g30948, g25301, g11542, g43509, g3110, g32825, g14672	Cg005G1655600
OG0000268	g35054	Cg006G1966300, Cg006G1965600
OG0000268	g44991	Cg008G2873000
OG0000269	g28758	Cg003G0987700
OG0000269	g2910, g2936	Cg002G0567300
OG0000269	g39974	Cg005G1638700
OG0000270	g33428	Cg001G0375300
OG0000274	g47338, g33147, g14472, g44486, g21632, g42257, g21852, g21844, g36809, g10312	Cg008G2846400, Cg003G0884300, Cg001G0366700, Cg008G2975700, Cg001G0331800
OG0000276	g34448, g33115	Cg005G1682300
OG0000276	g15118, g44910	Cg002G0614200
OG0000277	g18216, g23060, g18323	Cg001G0007500
OG0000277	g27445, g31888	Cg006G2066500
OG0000278	g14307	Cg001G0332400, Cg001G0336600
OG0000278	g46809, g46812, g46827	Cg001G0333000, Cg001G0333100, Cg001G0332700, Cg001G0332500, Cg001G0337400
OG0000282	g47412	Cg001G0182200, Cg001G0182000
OG0000282	g53736	Cg001G0182100
OG0000283	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516	Cg007G2481000, Cg004G1350900
OG0000283	g15621, g48271, g41887, g15633	Cg011G3015000
OG0000285	g47372	Cg001G0190700
OG0000285	g23645	Cg001G0130400
OG0000286	g41270	Cg006G1979100
OG0000286	g52037	Cg008G2943400
OG0000286	g49458	Cg001G0074700
OG0000288	g24937	Cg007G2410200, Cg001G0295100, Cg008G2916600
OG0000289	g39783	Cg013G3025500, Cg036G3082600, Cg004G1374500
OG0000291	g11641, g53214, g52576, g53200	Cg004G1343300, Cg004G1337600
OG0000294	g32720, g28307, g28263	Cg007G2421900
OG0000294	g25697	Cg008G2713400
OG0000296	g1252, g28701, g28702	Cg008G2982100, Cg003G0982000, Cg003G0887600
OG0000296	g28714	Cg003G0978500
OG0000296	g1225	Cg003G0978400
OG0000297	g25161, g25175, g30421, g30418, g30424, g30425, g21279, g20461	Cg001G0284800
OG0000298	g32687	Cg006G1935400
OG0000305	g53520, g51878	Cg005G1528100
OG0000308	g11113, g11114	Cg008G2928800, Cg008G2929000, Cg008G2928900
OG0000309	g849, g41323	Cg003G0994700
OG0000312	g34672, g49078, g28337, g53936, g25486, g44392, g14467, g35227, g34486	Cg001G0335800, Cg006G1899900
OG0000314	g1672	Cg006G1940900
OG0000314	g27333	Cg005G1640900
OG0000316	g12167, g12172	Cg007G2407200
OG0000318	g43847	Cg007G2568100, Cg007G2467300
OG0000318	g49471	Cg006G2217500
OG0000320	g39023, g15482, g22561, g11616, g38570, g21086	Cg007G2343200
OG0000320	g11617	Cg004G1332200
OG0000321	g54159	Cg004G1262800, Cg006G1832400
OG0000321	g41419	Cg008G2763000
OG0000321	g666	Cg007G2375700
OG0000322	g10751, g26081, g26058	Cg003G0970300
OG0000323	g44591	Cg007G2499000
OG0000325	g49462	Cg006G2219100
OG0000325	g30904	Cg006G2219000
OG0000325	g37954	Cg005G1602100
OG0000328	g13376	Cg004G1277600, Cg004G1277500
OG0000328	g13375	Cg004G1277300
OG0000330	g44587	Cg007G2499300
OG0000330	g31719	Cg006G2088700
OG0000331	g25429, g39522	Cg014G3041700, Cg003G0713900
OG0000331	g26892	Cg006G2241100
OG0000331	g6947	Cg004G1239000
OG0000332	g24568, g44176	Cg007G2289700, Cg007G2290000, Cg007G2289800, Cg007G2289200
OG0000334	g43888, g43360	Cg001G0215800
OG0000334	g4402	Cg003G0804200
OG0000336	g31190, g27091, g27095, g31209	Cg007G2325400, Cg007G2323200, Cg006G2167300, Cg006G2168200
OG0000344	g36278	Cg004G1369200
OG0000345	g29557, g39719	Cg008G2662100, Cg008G2933100
OG0000345	g26927, g49447, g30863	Cg006G2224300, Cg008G2662200
OG0000346	g2365	Cg002G0494100
OG0000346	g10579	Cg002G0665500
OG0000347	g52289	Cg005G1469700
OG0000348	g50668	Cg004G1340700
OG0000349	g1282	Cg003G0987000
OG0000351	g36126	Cg007G2413700
OG0000357	g32419, g32420, g50521	Cg006G1975000, Cg006G1975200, Cg006G1975100, Cg005G1588800
OG0000358	g54187	Cg006G1862900, Cg006G1862800, Cg006G1862100, Cg006G1862300, Cg006G1862600, Cg006G1862700, Cg006G1862500, Cg006G1862200, Cg006G1862400, Cg006G1820200, Cg006G1820000, Cg006G1820100
OG0000362	g35345, g4371	Cg005G1741300, Cg005G1741400
OG0000362	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248	Cg008G2879000, Cg001G0183800
OG0000363	g53411, g29745	Cg001G0254400, Cg001G0257200
OG0000363	g27806	Cg007G2555900
OG0000363	g50959	Cg005G1671900
OG0000364	g37360, g37362, g37913, g17870	Cg006G1922200, Cg001G0376100, Cg008G2746400
OG0000365	g27592	Cg006G2014900
OG0000365	g50367	Cg006G2015100
OG0000368	g11421	Cg002G0561500, Cg002G0561400
OG0000368	g11422	Cg002G0560400
