Orthogroup	Cochlearia_excelsa	Arabidopsis_lyrata_Rawat
OG0000005	g20023, g9605, g38749, g30982, g52986, g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983, g20377, g9593, g42395, g34569, g22532, g39129, g8465, g21266, g22559, g42483, g48250, g20618, g15722, g33484, g7968, g53646, g21207, g38606, g24932, g6068, g49093, g4528, g9435, g21333, g20416, g38961, g15299, g9433	AL3G44970
OG0000007	g4635	AL9U10810, AL8G24640
OG0000007	g9677	AL4G24120
OG0000007	g4033, g40546, g42738, g47006, g45886, g50470	AL5G15300
OG0000008	g35255, g34273, g25872	AL8G22780
OG0000008	g29630, g27680, g4391, g43762, g33124	AL8G21520, AL3G44870, AL6G46960, AL2G19610, AL5G20410, AL4G18090, AL1G45690, AL3G40710, AL5G24310, AL2G22310, AL4G13380, AL3G52160
OG0000008	g25873	AL877U10020, AL6G44830
OG0000009	g1267, g50707, g54239, g22012, g2983, g47996, g6090, g43671, g9847, g53582	AL251U10020, AL3G32130
OG0000009	g44250	AL8G14080
OG0000009	g2982	AL6G10570
OG0000009	g35969	AL8G42570
OG0000009	g43889, g48006	AL2G12600
OG0000009	g23664	AL4G10690
OG0000009	g42166	AL3G38620, AL3G49760, AL4G40870, AL5G22670, AL1G55360
OG0000009	g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251	AL8G14160
OG0000009	g39670, g22668, g25460, g181, g49313	AL7G37950
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	AL2G39630
OG0000009	g23979, g28647, g29131, g1512	AL1G62100
OG0000011	g6794, g51199, g2482, g2714, g11450, g46138, g50714	AL6G32670
OG0000011	g16592, g1020	AL8G22980
OG0000011	g48, g50936	AL7G52850
OG0000011	g24216, g17795	AL1G17050
OG0000011	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603	AL2G26450
OG0000011	g450, g26627, g32634	AL8G24370
OG0000011	g24975	AL2G23260
OG0000014	g21528, g48055, g34423, g3243	AL4G20510
OG0000014	g3040, g14220, g34324, g32793, g24981, g53174	AL8G19810, AL2G20440
OG0000014	g52403, g16010, g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575, g35661, g1379, g18846, g18000, g50963, g6129, g24133, g5069, g47267, g30755, g43741, g37171, g21529, g19673, g30054, g35755, g41485, g35087, g18651, g52427, g4943, g26611	AL9U11460
OG0000014	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823	AL8G23060
OG0000015	g36777, g35814, g10206, g17194, g42100	AL1G65620
OG0000015	g16594, g16764, g25817, g36021, g36346	AL5G11190
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	AL25U10010, AL6G22310, AL7G26200
OG0000015	g53814, g952, g32985, g12170, g24863, g14880	AL8G27740, AL429U10010, AL792U10020, AL1G20970
OG0000015	g26256, g5557, g43592, g35813, g36776	AL8G24680, AL1G15850
OG0000015	g43580, g47633, g11559, g47481, g16302, g12630, g40592, g47122	AL2G24310
OG0000015	g6105, g38798, g8683, g11560	AL1G29330, AL6G27260
OG0000016	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664	AL2G23610
OG0000016	g20467, g34722, g30434, g30429, g21277, g25157	AL5G12380, AL5G12270
OG0000020	g32689, g14805	AL189U10010, AL189U10020, AL3G44820, AL7G51100
OG0000020	g3669	AL5G20560
OG0000020	g4186	AL6G44340, AL6G44350, AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630, AL7G16690, AL7G11240, AL4G42290
OG0000020	g41994	AL4G19770
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	AL6G42400, AL3G43480, AL5G24330, AL3G37170, AL6G47300, AL5G41490, AL3G52170, AL2G40700, AL8G33160, AL4G18100, AL8G23170, AL4G13400
OG0000021	g33125, g14567, g25750, g33471	AL7G47350, AL7G51150
OG0000022	g5030	AL6G27650
OG0000022	g40889	AL2G12470, AL2G13120
OG0000022	g40888	AL2G13070
OG0000022	g40751	AL2G10190
OG0000022	g40752	AL2G10200
OG0000022	g13269	AL7G48260, AL3G29640
OG0000023	g15076	AL4G20380
OG0000023	g42233, g26587	AL7G45280, AL8G19630
OG0000023	g42217	AL1G65660
OG0000023	g52731, g52732	AL2G18620
OG0000023	g53561, g9298	AL7G44260
OG0000023	g15121, g32788, g15663, g15066, g14800	AL5G21700, AL7G45880
OG0000023	g3441	AL1G51090, AL1G55700, AL5G28690, AL7G32690, AL3G37740
OG0000023	g3443, g34449, g34444	AL2G19210
OG0000023	g34729	AL2G22450
OG0000024	g43450	AL4G16470
OG0000024	g2269	AL5G38280, AL5G39160, AL5G39170, AL5G23680
OG0000024	g28294	AL1G45210
OG0000025	g17280, g46637, g25246, g50791	AL6G41860
OG0000025	g14806, g32688	AL460U10010
OG0000027	g25723	AL6G45970
OG0000027	g25717, g25713, g48941, g48949	AL6G46000
OG0000027	g40374	AL1G66280
OG0000030	g38367, g38376, g38372, g38380	AL1G39630, AL1G35700, AL1G40180, AL1G40160, AL1G40170, AL3G27510
OG0000030	g13799, g13797	AL5G29320, AL5G29310, AL5G29340
OG0000030	g13193, g13194	AL2G23050
OG0000030	g44631	AL1G21870
OG0000031	g39351, g7244, g17718, g41293	AL3G43240, AL2G29770, AL1G56200, AL1G41870, AL5G21210
OG0000032	g15953, g5354, g4129, g3254, g35284	AL4G17980
OG0000032	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006	AL8G28430
OG0000034	g23911	AL7G30290
OG0000034	g24014	AL7G32680, AL7G32670
OG0000034	g23912	AL7G30310
OG0000035	g42055	AL1G64690
OG0000038	g52808, g4079	AL7G52690
OG0000038	g45065	AL3G42270, AL1G47700, AL6G40850, AL2G24190, AL2G32540, AL3G37700, AL7G41350
OG0000038	g646, g17068, g32641, g23586	AL6G51820, AL6G35520, AL1G48000
OG0000038	g32660, g28845, g7031, g2312	AL4G27640
OG0000038	g28846, g47102	AL4G12180, AL2G24020, AL5G19730, AL2G18440
OG0000038	g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434	AL2G20150
OG0000038	g28612, g6446	AL1G38790
OG0000038	g6725, g47748, g41947	AL3G17400
OG0000038	g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349	AL3G48900, AL9U10400
OG0000038	g28998	AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380
OG0000038	g22798	AL7G52520
OG0000038	g37935	AL6G30230, AL3G51220
OG0000040	g49152	AL2G11290, AL3G43050
OG0000040	g32821, g17388	AL1G59470, AL5G30010
OG0000040	g26735	AL1G40050
OG0000041	g6205	AL3G47420
OG0000041	g19447	AL1G48060
OG0000041	g37529, g2399, g11002, g36193, g23611	AL1G24610, AL5G28630, AL1G18250
OG0000041	g45305, g17752, g35246, g25631, g52028	AL6G32660
OG0000041	g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829	AL6G28140, AL2G16540
OG0000041	g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828	AL6G37950
OG0000041	g12227	AL4G11230
OG0000041	g45435	AL6G41090
OG0000041	g7668, g53419, g39804, g44227	AL1G48490
OG0000041	g49353, g43914, g11652	AL3G47410
OG0000041	g26642	nbis-gene-1560
OG0000042	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921, g40103, g31187, g8527, g6175, g31170	AL1G54660
OG0000042	g44909, g43791	AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000042	g40104, g13786, g31186, g8826, g30544	AL8G14180, AL1G42210
OG0000043	g32581, g25935, g6093	AL4G22400
OG0000043	g50828	AL3G52960
OG0000043	g38190	AL3G46620
OG0000043	g50147, g54117	AL5G24790
OG0000043	g53495, g823, g9695, g7844, g12264	AL1G50770
OG0000043	g16363, g43554	AL5G13730
OG0000043	g16434	AL5G16300
OG0000043	g34290, g36380, g26266	AL8G34940
OG0000043	g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701	AL1G48950, AL5G15500
OG0000043	g45898, g27089, g2884, g36624, g31230	AL7G45030
OG0000043	g25655, g25290, g45657	AL983U10010
OG0000043	g53399, g13162, g50196, g46746, g14780	AL8G31450, AL236U10040
OG0000043	g23535, g12602, g6014, g44990	AL2G30330
OG0000043	g52052, g38502, g20449	AL4G18980
OG0000043	g13019, g18797	AL1G50370
OG0000043	g41214, g17678	AL8G19930
OG0000044	g10944	AL8G18480
OG0000044	g18482	AL8G11840, AL8G11900
OG0000044	g28154	AL3G20910, AL2G19370, AL8G18470, AL7G37760
OG0000046	g3382, g2931	AL4G10770
OG0000046	g26196, g11589	AL4G20190, AL3G44690, AL6G40760
OG0000048	g29294, g52069, g52073, g52064	AL2G14000, AL2G14020
OG0000049	g28165, g5623, g29089	AL3G43320
OG0000049	g7125, g42059, g19431, g24864, g39276, g51171, g7126	AL4G20550
OG0000049	g20917, g29939, g20308, g28559, g25198, g14254, g2520	AL6G28120, AL3G49490
OG0000049	g19076, g35468, g5625	AL6G39930
OG0000049	g10538	AL5G16120, AL5G16140
OG0000049	g25569	AL1G54600, AL7G49500, AL2G19430
OG0000049	g2899	AL6G41720, AL8G13730
OG0000049	g53518, g52242, g24468, g36593, g41271, g17503, g18187, g32897, g36595, g17180	AL5G26070
OG0000049	g39408	AL53U10030
OG0000049	g10090	AL1G56420, AL5G15730, AL1G55420
OG0000049	g14278, g52663, g38089, g54294	AL1G21830
OG0000049	g50424, g6550, g19935, g291, g27200, g12230	AL27U10010
OG0000049	g54168	AL3G45700
OG0000049	g7127	AL1G47310
OG0000050	g32289	AL1G24220
OG0000050	g19665	AL4G27890
OG0000052	g1602, g3195	AL5G15910
OG0000052	g2410	AL5G31970
OG0000054	g30442, g52428	AL5G20230
OG0000054	g14381, g4607, g48037, g52357, g16667	AL2G17290
OG0000055	g27361	nbis-gene-725, AL3G41130
OG0000055	g700	AL3G30730, AL3G30470
OG0000055	g50182, g50184, g50186	AL4G21820, AL6G52510
OG0000056	g40991, g44205	AL2G14050
OG0000056	g44206, g40901	AL5G26170
OG0000058	g3196	AL5G26550, AL920U10010
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	AL1G18100, AL781U10020, AL4G23280, AL5G25220, AL5G34700, AL8G36210, AL5G24600, AL8G36540, AL1G17860
OG0000061	g23668	AL7G44920
OG0000061	g13471	AL7G25770
OG0000061	g50013	AL4G24650
OG0000063	g42271	AL5G31380
OG0000063	g19531, g26056, g44457, g37180	AL60U10040
OG0000063	g14674, g14670, g3225, g25089, g23755, g37179	AL6G44310
OG0000063	g45814	AL3G53440
OG0000063	g2810	AL236U10030
OG0000063	g53169, g14689, g12637, g17169, g30940, g52993, g53005, g39776, g7327, g45038	AL2G36550
OG0000063	g3107	AL169U10010
OG0000063	g18404, g25742, g50268, g46262, g45401, g3397, g46693	AL7G44340
OG0000063	g52815, g32214, g16019, g49776	AL7G43200
OG0000063	g34414, g40702	AL1G44840
OG0000063	g19357	AL6G34160
OG0000063	g2701, g43502, g42120, g25862	AL7G22190
OG0000065	g18042	AL2G25320, AL2G25210
OG0000065	g46717	AL7G51420
OG0000066	g31166, g49660, g5416, g9719	AL6G20900
OG0000066	g29501, g45535	AL6G20890
OG0000066	g5393	AL7G12340, AL6G21580, AL7G12350
OG0000067	g51242, g33370, g49161, g33482, g53764, g27953, g24768, g45363, g3853, g51127, g41217, g37480, g4319, g10848, g26115, g14016, g28468, g43700, g18660, g44830, g11964, g42772, g51326, g11374	AL5G32340
OG0000068	g27956, g25385, g25390, g46783	AL6G15310, AL6G14890, AL3G20260, AL3G20250, AL3G20240, AL1G25630, AL1G48230, AL3G11550, AL8G28020, AL8G27750, AL6G12890, AL3G38420, AL6G12880, AL6G12910, AL6G12860, AL5G24850, AL6G12550, AL6G18740
OG0000069	g13531	AL3G40410, AL8G35170, AL5G45620
OG0000069	g34297	AL1G10300, nbis-gene-18
OG0000069	g39973	AL5G36780
OG0000070	g10675	AL1G20940, AL3G47920, AL5G12840, AL5G12830
OG0000070	g50123	AL4G11370, AL1G32980, AL2G24470
OG0000070	g46242	AL2G35960
OG0000070	g44417	AL8G19640
OG0000073	g7180, g13794	nbis-gene-12
OG0000074	g1489	AL8G11830
OG0000075	g1450	AL8G23920
OG0000075	g25975, g22716	nbis-gene-1691
OG0000077	g18408	AL8G13900, AL8G13920
OG0000077	g1538, g1535	AL2G18750, AL5G12960, AL5G12970, AL5G12940
OG0000077	g44008, g44007, g44009	AL2G15700
OG0000078	g4945	AL3G13680, AL3G13710, AL3G13720
OG0000078	g4940, g4946, g29028, g29029	AL6G29220, AL6G29120
OG0000079	g53126	AL3G51940, AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020, AL1G30000, AL5G27080, AL8G14210
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	AL2G21910
OG0000081	g33350, g4665	AL1G31420, AL8G29100, AL8G26420, AL6G33330
OG0000083	g41345	AL9U10620
OG0000083	g188, g44332	AL6G26020
OG0000083	g11012, g10577, g10469, g41776, g400, g35186, g10139, g6497	AL3G43160
OG0000083	g28232, g45392, g2408	AL645U10010
OG0000083	g135	AL5G31070
OG0000083	g35239, g42930, g6323	AL2G11510
OG0000083	g26027, g52571, g17747, g25833, g42932, g6324	AL6G37350, AL6G45940, AL1G47930, AL4G15250, AL4G15260
OG0000084	g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507	AL3G40390
OG0000084	g53168	AL347U10020
OG0000084	g32908	AL6G44320
OG0000086	g14687	AL7G53090
OG0000086	g25067, g25040	nbis-gene-1912
OG0000086	g22657, g15074	AL7G49470
OG0000089	g9991	AL6G35120
OG0000089	g339, g2817, g9845	AL8G39670
OG0000089	g5316	AL6G23060
OG0000089	g11055, g40485	AL8G15560
OG0000089	g24042	AL7G33260
OG0000089	g46232	AL1G32740, AL2G35770
OG0000091	g46886	AL5G26810
OG0000091	g28934, g28933	AL6G32010
OG0000092	g32983	AL3G43310
OG0000092	g50635, g37373, g41537, g52822, g25282	AL3G40330
OG0000092	g26535	AL8G24810
OG0000095	g51024	AL4G18500, AL4G15500, AL4G18540, AL4G18560, AL4G18550, nbis-gene-1001, AL4G15620, AL4G15530, nbis-gene-975, nbis-gene-1002, AL4G15600, AL4G14530, AL4G18570, AL4G15550, AL4G18510, AL4G15660, AL4G14510, AL4G14520
OG0000096	g6393	AL3G41350, AL3G41330, AL3G41320, AL3G41340
OG0000096	g49764	AL3G31590
OG0000097	g42819	AL5G25560
OG0000098	g11756	nbis-gene-805
OG0000100	g40795	AL2G11380
OG0000100	g13563	AL2G11200
OG0000101	g36823, g16178, g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225, g35797, g4324, g3304, g41853, g48266, g6083, g12208, g35531, g53490, g35534, g11876, g17776, g52104, g1671, g31822, g37851, g37850, g28202, g42101, g45349, g35511, g17818	AL26U10050, AL3G41030
OG0000101	g13419	AL6G10700
OG0000101	g10196, g13591, g29817	AL1G60890
OG0000102	g40477, g40479, g40476, g40480, g1561	AL6G49090, AL320U10020
OG0000102	g45186	AL6G49050
OG0000103	g52896, g26137, g52968, g16605	AL5G15430
OG0000103	g4502, g33381, g30245, g53429, g35312, g35871, g24384, g11713, g11490, g627, g53857, g677, g11792, g4065, g18812, g4974, g1724, g36868, g22947, g53385, g35585, g53961, g25074, g41391, g174, g51854, g35452, g53324, g53804, g33380, g34405, g16452, g32834, g53191, g30244, g22182, g41865, g14562, g53428, g28957	AL8G17400, AL1G30370, AL8G10040, AL265U10010
OG0000103	g52805	AL2G18280, AL6G36380
OG0000106	g36881, g4591, g47125, g36375, g27012	AL6G40690
OG0000107	g6757	AL3G33810
OG0000107	g11936	AL3G33780
OG0000108	g37225, g38077, g2333, g51658	AL4G34190, AL4G34130, AL5G34730
OG0000108	g29544, g45521, g5448	AL6G20220
OG0000108	g13323	AL3G32160, AL1G56110
OG0000108	g11989	AL4G40470, AL4G40460
OG0000111	g14348, g14347, g14394, g45247, g45220, g37032, g50081	AL5G32600
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	AL5G34240, AL3G50380
OG0000114	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531	AL2G19090, AL2G20370, AL1G46930, AL8G13990, AL5G18470, AL5G18060, AL3G42080, AL4G18650, AL3G44910, nbis-gene-1272, nbis-gene-1271, AL1G50940
OG0000114	g15992	AL6G40550
OG0000115	g5236, g5604, g16651, g17473, g31783, g22741, g3371	AL7G53080
OG0000115	g53276	AL6G51530
OG0000116	g27853	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460
OG0000116	g26228	AL614U10020
OG0000116	g37724, g5356, g4750, g32775, g32782, g18438	nbis-gene-1246
OG0000116	g43452	AL6G43140
OG0000117	g27550, g27549	AL1G37420
OG0000117	g50301	AL1G37350
OG0000118	g35294, g50762, g6146, g12640	AL4G35640, AL4G35680, AL4G35660, AL4G35650, AL7G47920
OG0000118	g12809	AL685U10010, nbis-gene-652, AL3G38540, AL3G38550
OG0000121	g32974	AL2G20140
OG0000121	g38499	AL8G14910
OG0000122	g1066	AL8G31960
OG0000123	g1342	AL8G25360
OG0000125	g31072	AL1G17740
OG0000125	g18497	AL1G59870
OG0000125	g54244, g54237, g54238	AL1G59850
OG0000127	g41348	AL6G34020
OG0000127	g2919, g1294, g28781	AL189U10030, AL8G36480, AL5G24690, AL5G24750
OG0000127	g39998	AL4G23250
OG0000128	g2009	AL5G16810, AL164U10020, AL5G41080, AL5G41090
OG0000128	g50627	AL7G42310
OG0000129	g45131	AL2G19870
OG0000129	g45103, g45101	AL2G20180
OG0000129	g9880	AL1G60690, AL8G38710, AL8G38700, AL4G22760, AL4G22720, AL8G25830
OG0000132	g51066	AL6G44370, AL6G44360, AL6G44330
OG0000134	g4924	AL8G15310
OG0000134	g18420	AL8G17970, AL8G17980, AL20U10060, AL20U10050, AL20U10040, AL20U10020, AL6G21880
OG0000137	g1011	AL8G30930
OG0000137	g1009	AL8G30910
OG0000140	g47161	nbis-gene-927
OG0000143	g24947, g35918, g41958, g24857, g24997, g42790, g48961, g14200, g52356, g52620, g4139, g16474	AL3G54050
OG0000148	g36469	AL2G11100
OG0000148	g6399	AL3G17170, nbis-gene-1537
OG0000150	g34628	AL4G25960, AL4G15810
OG0000151	g19127	AL5G36230
OG0000151	g19128	AL5G36220
OG0000151	g51765	AL4G36690
OG0000151	g2235	AL5G36210
OG0000151	g2346	AL5G34430
OG0000151	g51633	AL4G33730
OG0000151	g29346	AL6G24190
OG0000152	g17907, g40836, g15958	AL4G16410, AL1G54360, AL3G43620
OG0000152	g44091, g17905, g11529	AL7G43390, AL5G12070
OG0000152	g14500, g48935, g14510, g14521, g36332, g14542	AL7G43490
OG0000152	g14543, g14512	AL5G19160
OG0000152	g52916, g14334	AL5G15080
OG0000152	g40584, g34322, g34333, g14397, g37855, g8931, g20629, g1371, g9158, g24560, g46859	AL6G46360, AL6G32700, AL1G56800
OG0000152	g44992	AL2G22110
OG0000152	g4677, g16585, g46635, g52312, g572, g39544, g37857, g1370	AL1G65830
OG0000152	g37414, g25624, g44199, g50733, g573	AL1G66640
OG0000152	g50570	AL279U10030
OG0000152	g14551, g36331, g48933, g14532, g42973, g23244, g43142, g48937, g53052	AL4G22930, AL177U10010
OG0000152	g44050, g4521, g17734, g32003, g4816, g16697, g10565, g1970, g40835, g10634, g10249, g1568, g51668, g28378, g27276, g40834, g10566, g40838, g17906, g28379, g10636, g16864, g1567, g39722, g40837, g27277, g10250, g10635, g28380, g5857, g12182, g6703, g11042, g1971, g17733, g4522, g16696, g44051, g32004, g5946, g28381, g10251, g4817	AL5G21970
OG0000152	g48283	AL5G39430, AL5G16500, AL5G42740, AL527U10010, AL3G15110, AL178U10020
OG0000153	g51155, g51154, g51130, g51156	AL4G25560
