Orthogroup	Cochlearia_excelsa	Alyssum_gmelinii
OG0000073	g4275, g38079, g25547	Ag015G2190800
OG0000074	g25623, g25627, g44201, g37854	Ag004G0773100, Ag004G0661200, Ag029G3097800
OG0000074	g48940	Ag025G2969700
OG0000074	g51667	Ag027G3035200
OG0000075	g25975, g22716	Ag021G2601300
OG0000076	g32307, g51190	Ag006G0792900, Ag025G2903400, Ag013G1628100, Ag013G1627300, Ag013G1626200, Ag006G0795200, Ag013G1628200, Ag013G1627800, Ag011G1200000
OG0000077	g18408	Ag033G3566700
OG0000077	g1538, g1535	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	g44008, g44007, g44009	Ag002G0173900
OG0000078	g4945	Ag014G1810600, Ag014G1809300, Ag014G1810300, Ag014G1810500, Ag014G1810400
OG0000079	g53126	Ag018G2444300, Ag022G2658800
OG0000080	g50113, g4633, g53808	Ag025G2955200, Ag031G3220300, Ag042G4408900, Ag025G2921000, Ag024G2850500, Ag007G0892400, Ag014G1963800, Ag013G1458800, Ag031G3395500, Ag011G1186400, Ag048G4623700
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	Ag034G4022300
OG0000081	g17431, g25472, g32592, g28656, g13832	Ag004G0723900
OG0000081	g33350, g4665	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000082	g51169, g7128, g31724	Ag014G1913600, Ag038G4146900
OG0000082	g2898, g6230, g11611, g54030, g36211, g52877, g26306	Ag066G5133800
OG0000082	g33411, g33412, g25297, g33414, g33413	Ag014G2015500
OG0000083	g37302, g49748	Ag011G1108800
OG0000083	g10032, g1216, g41168, g51553, g29851, g2079, g31823	Ag001G0043300
OG0000083	g14111, g41347, g2636	Ag050G4770200
OG0000084	g42707, g4476, g24837, g11486, g42576, g19530, g53855, g41781, g6971, g39474, g16020, g26091, g11688, g32213, g25861, g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507	Ag087G5426100
OG0000084	g14426	Ag010G1007700
OG0000086	g22657, g15074	Ag025G2922800
OG0000089	g9991	Ag004G0519800
OG0000089	g5316	Ag013G1488000
OG0000089	g11055, g40485	Ag016G2360800
OG0000089	g24042	Ag033G3591100
OG0000089	g46232	Ag048G4693300
OG0000090	g43843	Ag007G0888700
OG0000091	g19510	Ag039G4278700
OG0000091	g11030, g40516	Ag006G0816700
OG0000091	g28934, g28933	Ag004G0570300
OG0000095	g51024	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900, Ag039G4205200
OG0000096	g6393	Ag002G0154900
OG0000098	g11756	Ag011G1254000, Ag011G1253500
OG0000098	g41770	Ag013G1485800, Ag021G2621100, Ag004G0531500
OG0000100	g40795	Ag002G0112700, Ag063G5079400
OG0000101	g48266, g6083, g12208, g35531	Ag017G2433300, Ag013G1679700
OG0000102	g45186	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000102	g45182	Ag016G2368300
OG0000105	g11211	Ag014G1812600, Ag011G1082500, Ag011G1083100, Ag011G1082700, Ag011G1082400, Ag025G2901500
OG0000105	g17560	Ag050G4782400
OG0000105	g43820	Ag048G4578200
OG0000107	g6757	Ag014G2149500
OG0000107	g11936	Ag014G2149100
OG0000107	g17802, g17676, g17783	Ag048G4609500
OG0000108	g37225, g38077, g2333, g51658	Ag031G3385800, Ag039G4307100
OG0000108	g29544	Ag013G1537900
OG0000108	g13323	Ag014G2095200
OG0000108	g11989	Ag003G0396500
OG0000109	g30198, g33477	Ag029G3099600
OG0000115	g5236, g5604, g16651, g17473, g31783, g22741, g3371	Ag032G3465800
OG0000115	g24973	Ag033G3499700
OG0000116	g16087, g53769, g15634, g43756	Ag078G5379100
OG0000117	g27550, g27549	Ag019G2506600, Ag018G2460700
OG0000118	g35294, g50762, g6146, g12640	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000119	g11441, g11440	Ag034G3967000
OG0000120	g27841	Ag001G0032000
OG0000121	g38498, g32974, g38499	Ag039G4328200
OG0000122	g1066	Ag011G1267200, Ag004G0720700
OG0000124	g51625, g52915, g53579	Ag067G5193700
OG0000125	g51118	Ag013G1612600
OG0000125	g31072	Ag034G3743800
OG0000125	g18497	Ag001G0066100
OG0000125	g6675	Ag027G3062400
OG0000125	g54236	Ag001G0065900
OG0000127	g41348	Ag004G0605400
OG0000127	g19182	Ag031G3386800, Ag039G4310500
OG0000127	g41311, g2919, g1294, g28781, g39998	Ag013G1609800
OG0000128	g2010	Ag031G3245400, Ag031G3245300, Ag031G3245200
OG0000128	g2008	Ag031G3250200
OG0000128	g2009	Ag031G3247300, Ag031G3247200, Ag031G3247100, Ag031G3246800, Ag031G3247000, Ag031G3246900, Ag031G3246700
OG0000128	g50627	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	g45131	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000129	g24222, g24219	Ag013G1673500, Ag013G1673600
OG0000129	g392	Ag004G0491000
OG0000132	g51064, g35150, g34743	Ag048G4639100
OG0000134	g18420	Ag013G1506600, Ag033G3544500
OG0000136	g52239	Ag002G0180300
OG0000136	g6807	Ag014G2176200
OG0000140	g47161	Ag027G3064900
OG0000140	g40049	Ag002G0186700
OG0000140	g49472, g35118	Ag039G4233000
OG0000148	g6399	Ag013G1622400, Ag034G3735700
OG0000150	g34628	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	g19127	Ag031G3356400
OG0000151	g19128	Ag031G3356700
OG0000151	g51765	Ag039G4248200
OG0000151	g2235	Ag031G3356800
OG0000151	g2346	Ag031G3389200
OG0000151	g51633	Ag039G4314300
OG0000151	g29346	Ag013G1463800
OG0000152	g4677, g16585, g46635, g52312, g572, g39544, g37857, g1370	Ag048G4576400
OG0000153	g51155, g51154, g51130, g51156	Ag013G1616400
OG0000153	g37875, g37876	Ag013G1615400
OG0000154	g36466, g36467	Ag001G0045800
OG0000154	g36509, g54212, g36163, g36472	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000155	g36320, g54169, g36224, g24260	Ag083G5410000, Ag013G1376100, Ag034G3868600, Ag022G2729400, Ag031G3154900, Ag013G1368700, Ag016G2361100, Ag067G5183100
OG0000155	g37113, g6888, g3418, g43341, g44494	Ag004G0633600
OG0000155	g36035, g6461, g14233, g35550, g48286, g41606, g13909	Ag013G1584700
OG0000157	g27714	Ag013G1747900, Ag014G2127200
OG0000158	g51427	Ag014G2085500
OG0000160	g5985	Ag042G4405700
OG0000160	g23426	Ag068G5221600
OG0000160	g1105	Ag004G0692900
OG0000160	g17885	Ag007G0857500
OG0000160	g46563	Ag048G4572800
OG0000161	g27065, g39955, g42081	Ag015G2193300, Ag055G4906800
OG0000162	g11479	Ag011G1166800
OG0000163	g43620	Ag042G4391500, Ag038G4161600
OG0000164	g33080, g33073, g33069, g14660, g26417	Ag025G2923700, Ag048G4709500
OG0000164	g15914	Ag006G0821000
OG0000170	g2799	Ag003G0320400
OG0000170	g52256	Ag003G0319700, Ag003G0319800, Ag003G0320300, Ag003G0320600, Ag003G0320500, Ag003G0320200
OG0000171	g915, g28415	Ag020G2575200
OG0000171	g14078	Ag044G4495800
OG0000171	g28546	Ag004G0721800
OG0000171	g7540	Ag014G1883300
OG0000171	g17072	Ag010G1018000
OG0000172	g51256, g27772, g14066	Ag033G3608500, Ag022G2765300, Ag022G2757700, Ag004G0550900, Ag003G0373100, Ag004G0679600
OG0000174	g52379	Ag014G1989900, Ag018G2446300, Ag039G4332400, Ag034G3903300, Ag031G3411400, Ag027G3023200
OG0000174	g50178	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000175	g45857	Ag034G4063600
OG0000175	g29297	Ag013G1441100
OG0000175	g50814	Ag003G0294400, Ag012G1302600, Ag031G3188000
OG0000176	g12860	Ag014G1833000
OG0000177	g27488, g50732, g31972	Ag004G0483700
OG0000178	g40442	Ag066G5142800
OG0000178	g45158, g45173	Ag066G5144100, Ag066G5143400
OG0000183	g18117	Ag061G5037800
OG0000183	g761, g28899	Ag004G0583300
OG0000183	g2056, g38152	Ag039G4185200
OG0000183	g40143	Ag013G1588300
OG0000184	g11846	Ag027G3046100, Ag027G3046600, Ag027G3047400, Ag027G3046700, Ag027G3046000, Ag027G3047200, Ag027G3046800
OG0000185	g35799	Ag032G3424500, Ag032G3425100, Ag032G3424800, Ag034G4009900, Ag032G3424200, Ag029G3091400, Ag032G3424300, Ag029G3092200, Ag032G3424400, Ag029G3091800, Ag032G3424900, Ag032G3424600
OG0000189	g18237	Ag011G1112900
OG0000189	g23036	Ag044G4495700
OG0000189	g31900	Ag034G3975000
OG0000189	g46237, g50117	Ag048G4687900
OG0000193	g6133, g6386, g39569, g39573, g2100, g39563, g6136, g6130	Ag031G3245800, Ag011G1262700, Ag002G0190300, Ag014G2036500, Ag014G2036600
OG0000193	g27763	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900
OG0000197	g24122	Ag001G0061800, Ag032G3452100, Ag033G3647000, Ag033G3646800
OG0000197	g17408	Ag033G3647600, Ag033G3647500
OG0000198	g25893	Ag039G4275700
OG0000198	g31564, g49926	Ag034G3875600
OG0000200	g40675	Ag034G3715300, Ag034G3715100, Ag034G3715600
OG0000200	g40674	Ag034G3715200, Ag034G3715500
OG0000200	g27686	Ag034G3715400
OG0000202	g1023, g25454, g25477	Ag048G4676700
OG0000203	g1974, g1973	Ag031G3273700, Ag031G3272800, Ag031G3272600, Ag070G5235400
OG0000203	g18958	Ag031G3304300
OG0000203	g2360	Ag031G3270000
OG0000205	g43917	Ag031G3396600, Ag012G1335200
OG0000206	g8618, g48844, g29953, g30349, g34591, g45346, g42202, g30177, g35498, g42663	Ag003G0367500
