Orthogroup	Cochlearia_excelsa	Brassica_oleracea
OG0000014	g41787, g16664, g14840, g16137, g4531, g33603, g43765, g52317, g42680, g53952, g16014, g4520, g43535, g28146, g4183, g33671, g3907, g13559, g3037, g4016, g43958, g24884, g41846, g42731, g43003, g33273, g15788, g25117, g50988, g33041, g52875, g26143, g50962	XP_013624494.1
OG0000014	g39175, g3068, g53260, g44812, g24010, g44192, g35833, g47228, g8005, g17573, g9319, g39176, g26698, g53409, g35837, g53673, g35518, g3069, g26725, g41542, g6234, g11588, g8003, g9317, g47231, g28023, g54113, g17572, g53675, g54116, g54241, g4887	XP_013602381.1
OG0000014	g27317	XP_013632655.1
OG0000014	g45670	XP_013594557.1
OG0000014	g2094	XP_013607832.1
OG0000014	g16305, g42652	XP_013624744.1
OG0000014	g53893	XP_013594427.1
OG0000014	g18001, g43148, g43743	XP_013613442.1, XP_013613790.1, XP_013608098.1
OG0000014	g48054	XP_013616976.1
OG0000015	g35685, g35700, g28764, g6769, g3173	XP_013607754.1, XP_013632959.1, XP_013639368.1
OG0000015	g6782, g24538, g24405, g15726, g21108, g34944, g15605, g11217, g2750, g34949, g11475, g36461, g634, g23355	XP_013608212.1
OG0000015	g42908, g43716, g41967	XP_013614071.1
OG0000015	g31975	XP_013639551.1
OG0000015	g2748, g23354, g15603	XP_013614992.1
OG0000015	g43580, g47633, g11559, g47481, g16302	XP_013617465.1
OG0000015	g12630, g40592, g47122	XP_013613387.1
OG0000015	g6105	XP_013601199.1, XP_013633118.1
OG0000015	g40286, g1778	XP_013615586.1
OG0000016	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664	XP_013633483.1
OG0000016	g4159	XP_013639478.1
OG0000016	g15828, g15815, g15878	XP_013601287.1
OG0000016	g26416, g24990	XP_013624264.1
OG0000016	g14663	XP_013589577.1
OG0000018	g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876	XP_013632952.1
OG0000018	g15742, g16751, g34866, g35060, g48247, g27553, g3558, g48244, g34442, g30195, g42250, g52934, g48669, g26576, g4468, g22464, g30032, g30047, g52647, g6407, g26316, g53069, g8943, g53755, g49089, g19964, g3536, g26493, g26492, g3678, g26578, g43385	XP_013617848.1
OG0000018	g26234, g3502, g26941	XP_013594978.1
OG0000018	g22151, g4429, g25015, g53118, g3760, g25775, g17839	XP_013602970.1
OG0000018	g11598, g33221, g14706, g33225, g52456, g35650	XP_013639843.1
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003	XP_013589099.1
OG0000020	g33121, g41997	XP_013632836.1
OG0000020	g6214, g3359	XP_013585421.1
OG0000020	g4186	XP_013624038.1, XP_013608147.1
OG0000020	g41999, g23596, g2978, g27048, g42255, g42252, g11710, g15029, g14580	XP_013601210.1, XP_013617373.1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	XP_013608094.1, XP_013632801.1, XP_013599600.1, XP_013589650.1, XP_013633047.1, XP_013613761.1, XP_013639394.1, XP_013601657.1, XP_013615573.1, XP_013608056.1, XP_013583415.1, XP_013624628.1
OG0000021	g33125, g14567, g25750	XP_013594507.1, XP_013631302.1
OG0000022	g17118	XP_013590021.1
OG0000022	g5030	XP_013611057.1
OG0000022	g40889	XP_013606456.1
OG0000022	g40888	XP_013606166.1
OG0000022	g13269	XP_013635968.1, XP_013609571.1
OG0000023	g42216	XP_013588873.1
OG0000023	g42233, g26587	XP_013613579.1, XP_013639689.1
OG0000023	g52731	XP_013624598.1
OG0000023	g9298	XP_013632550.1
OG0000023	g15121	XP_013608042.1, XP_013608012.1, XP_013594286.1
OG0000023	g15066, g14800	XP_013601010.1
OG0000023	g44912, g15122	XP_013608082.1
OG0000023	g6328	XP_013617060.1
OG0000024	g43450	XP_013597425.1
OG0000024	g40788	XP_013592438.1
OG0000024	g2269	XP_013605203.1
OG0000024	g28294	XP_013624897.1
OG0000025	g14578, g6312	XP_013594300.1
OG0000025	g46637, g25246, g50791	XP_013617956.1
OG0000025	g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585	XP_013617323.1
OG0000025	g41992, g4231, g43283, g2973, g25191, g33391, g33119	XP_013624803.1, XP_013617279.1
OG0000025	g51053, g2954, g3058, g11709, g27047, g32656, g47798, g43478, g23597, g14579, g3360, g43692, g7899, g4344, g49586, g31803, g4274, g46948	XP_013589093.1, XP_013624057.1
OG0000025	g14806, g32688	XP_013613890.1, XP_013615021.1, XP_013631055.1, XP_013639470.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013622540.1, XP_013607923.1, XP_013617624.1, XP_013623937.1, XP_013589161.1, XP_013589474.1, XP_013624039.1, XP_013625401.1, XP_013633137.1, XP_013617519.1, XP_013589471.1, XP_013624655.1, XP_013624950.1, XP_013617179.1, XP_013594903.1, XP_013626805.1, XP_013632787.1, XP_013617500.1, XP_013633014.1, XP_013589304.1, XP_013589043.1, XP_013607489.1, XP_013601110.1, XP_013630835.1, XP_013607866.1, XP_013633381.1, XP_013617480.1
OG0000026	g28599	XP_013624845.1, XP_013617677.1, XP_013639735.1, XP_013614002.1, XP_013608308.1
OG0000027	g25723	XP_013608654.1
OG0000027	g25717, g25713, g48941, g48949	XP_013624060.1
OG0000027	g47441	XP_013631155.1
OG0000027	g40374	XP_013617506.1
OG0000027	g25720	XP_013608656.1
OG0000030	g38367, g38376, g38372, g38380	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	g13193, g13194	XP_013624262.1
OG0000030	g44631	XP_013614569.1
OG0000031	g42618	XP_013614946.1, XP_013601644.1
OG0000031	g39351, g7244, g17718, g41293	XP_013588971.1, XP_013632793.1, XP_013623955.1, XP_013615185.1, XP_013613786.1, XP_013631555.1, XP_013624635.1, XP_013589264.1, XP_013594915.1, XP_013624050.1, XP_013624104.1, XP_013633468.1, XP_013639518.1, XP_013607585.1, XP_013614124.1, XP_013616791.1, XP_013633480.1, XP_013616776.1, XP_013614852.1, XP_013607758.1, XP_013583385.1, XP_013639523.1, XP_013617600.1, XP_013613695.1, XP_013613933.1, XP_013634348.1, XP_013614917.1, XP_013633236.1, XP_013624976.1, XP_013624480.1, XP_013624130.1, XP_013594397.1, XP_013624165.1, XP_013624059.1, XP_013601571.1, XP_013594684.1, XP_013623894.1, XP_013616943.1, XP_013607912.1, XP_013607913.1, XP_013639448.1, XP_013632732.1, XP_013628576.1, XP_013615610.1, XP_013595052.1, XP_013623848.1, XP_013632735.1, XP_013608008.1, XP_013608007.1, XP_013583445.1
OG0000032	g35344, g3253	XP_013624359.1, XP_013624702.1
OG0000032	g35299	XP_013638158.1
OG0000032	g29531	XP_013630351.1, XP_013601247.1, XP_013624230.1, XP_013632617.1, XP_013614355.1
OG0000032	g25263, g35283, g34310	XP_013601246.1
OG0000032	g4129, g3254, g35284	XP_013629542.1, XP_013607685.1
OG0000032	g43260, g33493	XP_013617271.1, XP_013622638.1, XP_013589344.1, XP_013623591.1, XP_013617698.1, XP_013632386.1, XP_013632756.1, XP_013632536.1, XP_013632823.1, XP_013583287.1, XP_013583371.1, XP_013589401.1, XP_013617380.1, XP_013613951.1, XP_013639558.1, XP_013615052.1, XP_013607917.1, XP_013601347.1, XP_013624335.1, XP_013632824.1, XP_013632537.1, XP_013632603.1, XP_013589125.1, XP_013622631.1, XP_013617718.1, XP_013624707.1, XP_013633274.1, XP_013629391.1, XP_013594308.1, XP_013633024.1, XP_013594942.1, XP_013633360.1, XP_013588997.1, XP_013632755.1, XP_013607568.1, XP_013633130.1, XP_013614455.1, XP_013601087.1, XP_013594392.1, XP_013613949.1, XP_013633399.1, XP_013601358.1, XP_013639239.1, XP_013617183.1, XP_013614792.1
OG0000032	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852	XP_013624599.1, XP_013608349.1
OG0000032	g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006	XP_013594377.1
OG0000034	g23911	XP_013598717.1
OG0000034	g24014	XP_013594180.1, XP_013598071.1
OG0000034	g50699	XP_013611706.1, XP_013616655.1, XP_013606762.1
OG0000034	g23912	XP_013593131.1
OG0000034	g23905	XP_013598684.1, XP_013598676.1
OG0000037	g3475, g46296	XP_013594474.1
OG0000037	g32570, g32923, g29248, g13034, g49048, g27900	XP_013594512.1, XP_013634263.1
OG0000037	g16461, g51001, g39411, g13540, g43596, g19402, g36948, g4291, g43017, g48252, g20821, g53826, g52824, g3307, g35301, g29249, g17252, g53371, g26776, g25798, g25230, g52392, g43515, g52377, g23942, g15985, g41626, g3123, g26177, g10877, g13033, g52376, g22173, g43506, g52701, g43016, g46996, g4541, g53470, g18760, g32511, g33283, g24772, g32718, g14955, g53292, g3626, g33019, g43485, g22373, g32752, g43504, g53626, g41597, g3340, g33105, g32819, g42446, g52956, g4029, g8172, g26680, g41919, g7214, g4226, g53621, g32712, g1498, g42745, g30238, g9202, g53876	XP_013628220.1
OG0000037	g33025, g28223, g45161, g32925, g53506, g43598, g4290, g53623, g26098, g52826, g3339, g15807, g33280, g29253, g51892, g17442, g40615, g44945, g17253, g3180, g32922, g24199, g13885, g26768, g40614, g19403, g36207, g2577, g23371, g42782, g53291, g31365, g6962, g4621, g53869, g24198, g22174, g3474, g36947, g51893, g45164, g3740, g32978, g53250, g43236, g39940, g28210, g53508, g36730, g41618, g27901	XP_013624591.1
OG0000037	g42746, g53293	XP_013632869.1
OG0000037	g7213, g53871, g3476, g35300, g36731, g39939, g43484, g3122, g42447, g53622, g33284, g26681, g3179, g52391, g52375, g52825, g16753, g36949	XP_013608052.1, XP_013624574.1, XP_013629885.1, XP_013628340.1, XP_013607985.1, XP_013607927.1, XP_013624524.1, XP_013614064.1, XP_013613699.1, XP_013617453.1, XP_013639592.1, XP_013624604.1, XP_013624515.1, XP_013594343.1, XP_013632811.1, XP_013624592.1, XP_013624546.1, XP_013632745.1, XP_013639548.1
OG0000037	g44164, g18759, g41600, g3309, g45163, g23369, g53294, g41703, g43503, g40617, g27899, g7212, g4030, g36952, g53823, g43233, g35716, g33106, g30236, g25799, g3178, g32754	XP_013624615.1
OG0000037	g26769, g17790, g32713, g43517, g7012, g43234, g47417, g22008, g9203, g41620, g53872	XP_013627969.1
OG0000037	g52702	XP_013617478.1, XP_013601157.1, XP_013632750.1, XP_013594340.1, XP_013639713.1, XP_013589163.1
OG0000037	g24201, g51891	XP_013613701.1
OG0000038	g52808, g4079	XP_013607891.1, XP_013617372.1
OG0000038	g45065	XP_013639484.1, XP_013594584.1, XP_013617588.1, XP_013589056.1
OG0000038	g2497	XP_013608456.1, XP_013594420.1
OG0000038	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104	XP_013601144.1, YP_004927454.1
OG0000038	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866	XP_013608254.1
OG0000038	g37189, g19190, g1372	XP_013601627.1
OG0000038	g16819	XP_013601388.1, XP_013624388.1, XP_013634867.1, XP_013617172.1, XP_013615285.1
OG0000038	g41306	XP_013594540.1
OG0000039	g20963	XP_013594349.1, XP_013628062.1, XP_013624733.1
OG0000039	g29864	XP_013616886.1
OG0000039	g9477, g21185	XP_013609584.1
OG0000039	g15263, g21171, g20808	XP_013589456.1
OG0000039	g9408	XP_013617923.1
OG0000039	g21877, g20657, g30626	XP_013617127.1
OG0000039	g33991, g21539	XP_013607974.1, XP_013614900.1, XP_013615296.1, XP_013614545.1, XP_013613737.1, XP_013601526.1
OG0000039	g34037	XP_013615380.1
OG0000039	g33722, g43382	XP_013634328.1
OG0000039	g8379	XP_013608243.1, XP_013617407.1, XP_013632979.1, XP_013633001.1
OG0000039	g26569, g20644	XP_013632553.1
OG0000040	g49152	XP_013585161.1, XP_013614126.1, XP_013601180.1, XP_013639418.1, XP_013601552.1, XP_013616916.1, XP_013601670.1
OG0000040	g52948, g41631, g41632, g25133, g49021	XP_013624186.1, XP_013608414.1, XP_013589706.1, XP_013624696.1, XP_013632514.1, XP_013601198.1, XP_013617894.1, XP_013600988.1, XP_013632963.1, XP_013594938.1, XP_013601900.1, XP_013617173.1
OG0000040	g32821, g17388, g28310, g1466, g41711, g22786	XP_013639460.1
OG0000041	g147, g45167, g24813	XP_013626063.1
OG0000041	g43788, g43772, g13437	XP_013639502.1
OG0000041	g41708, g839, g6204	XP_013615307.1
OG0000041	g51517	XP_013616889.1
OG0000041	g45168, g27877	XP_013632541.1, XP_013614613.1, XP_013639828.1
OG0000041	g45435	XP_013624430.1
OG0000041	g46801	XP_013608404.1
OG0000041	g36235	XP_013601088.1
OG0000042	g8825	XP_013624485.1
OG0000042	g41465, g35926	XP_013632940.1, XP_013639621.1
OG0000042	g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921	XP_013630837.1
OG0000042	g44909, g43791	XP_013589127.1, XP_013624490.1
OG0000042	g6340, g16111, g37181	XP_013594980.1, XP_013624692.1
OG0000042	g6307, g53556	XP_013601612.1, XP_013639620.1
OG0000042	g54342, g16927, g32521	XP_013617264.1, XP_013639811.1, XP_013624086.1
OG0000042	g40104, g13786, g31186, g8826, g30544	XP_013639334.1, XP_013627371.1, XP_013613752.1, XP_013594900.1, XP_013589576.1, XP_013633166.1, XP_013595191.1, XP_013632400.1, XP_013584806.1, XP_013598956.1, XP_013607631.1, XP_013594825.1, XP_013633216.1
OG0000043	g49667	XP_013593469.1
OG0000043	g25656	XP_013639450.1
OG0000044	g10942	XP_013606145.1
OG0000044	g10944	XP_013624330.1
OG0000044	g18482	XP_013611210.1, XP_013619061.1
OG0000044	g28154	XP_013608422.1, XP_013599363.1, XP_013610918.1
OG0000045	g15276, g3641, g54416, g42868, g8806, g33595, g15872, g16444, g19680, g30152, g9227, g52458, g8656, g43871, g24840, g48944, g14352, g42105, g8518, g15443, g30148, g33634, g16706, g16370, g20303, g30100, g16191, g50737, g4712, g43115, g16130, g48999, g21851, g34823, g34846, g19966, g43691, g48829, g8196, g8700, g35485, g42514, g15756, g30099, g7997, g14476, g3638, g32912, g33525, g4269, g8610, g38805, g26060, g8654, g26153, g26630, g38667, g43118, g15010, g19894, g15755, g15752, g29946, g34505, g19845, g34759, g30266, g33573, g9278, g14658, g22030, g22022, g9143, g14974, g42775, g7974, g48881, g26499, g52321, g7996, g24685, g33357, g52343, g25917, g43689, g9220, g16210, g14986, g16126, g53537, g48830, g29977, g8635, g4105, g14622, g48563, g8756, g48694, g34903, g25105, g3949, g15665, g43496, g34821, g15737, g53619, g42900, g9014, g22086, g52729, g4681, g53618, g3793, g22087, g19844, g9015, g33574, g9219, g34506, g15444, g52342, g4251, g8901, g42033, g34222, g30190, g25916, g33347, g53202, g3352, g22093, g16372, g36995, g20843, g7973, g14729, g29947, g9144, g22088, g14336, g22089, g20490, g42855, g42882, g54410, g33348, g35933, g4047, g8758, g14727, g14989, g42899, g53007, g19895, g48693, g51451, g24910, g43257, g53536, g49120, g42107, g30583, g16193, g42018, g53979, g8609, g16708, g35497, g42884, g54411, g8810, g42540, g49119, g42573, g52716, g21117, g33613, g16327, g30189, g8811, g43188, g20302, g48305, g16125, g19914, g34986, g42894, g52900, g49036, g30150, g52471, g36996, g14730, g54205, g52743, g35202, g42897, g42904, g14818, g16132, g53612, g14991, g34867, g15102, g15753, g21249, g43117, g26540, g52720	XP_013594661.1
OG0000046	g36166, g26196, g11589, g33267	XP_013633177.1
