Orthogroup	Cochlearia_excelsa	Capsella_rubella
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581	XP_023644500.1, XP_023642646.1, XP_023644234.1, XP_023636041.1, XP_023633702.1, XP_023633829.1, XP_023644232.1
OG0000020	g4190, g3679, g33003	XP_023638851.1, XP_023638850.1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	XP_023634149.1, XP_023640318.1, XP_023634347.1, XP_023644512.1, XP_023636053.1, XP_006285455.2, XP_023638958.1, XP_023645856.1, XP_023634319.1
OG0000021	g33125, g14567, g25750	XP_023634431.1, XP_023644454.1, XP_023641962.1, XP_023641378.1, XP_023637243.1, XP_023642574.1
OG0000022	g17118	XP_006283550.1
OG0000022	g5030	XP_023636761.1
OG0000022	g40881, g40949, g40951, g40859, g40857, g6403, g40794	XP_006301297.1
OG0000022	g40889	XP_006301194.2, XP_006300860.1, XP_006302102.1
OG0000022	g40888	XP_006301814.1
OG0000022	g40751	XP_023643559.1
OG0000022	g40752	XP_006302132.1
OG0000022	g13269	XP_023635463.1, XP_006297483.1
OG0000023	g53561, g9298	XP_023633772.1
OG0000023	g44912, g15122	XP_023636237.1
OG0000024	g2269	XP_023633004.1, XP_023639207.1
OG0000025	g17280, g46637, g25246, g50791	XP_023636962.1
OG0000025	g4347, g33392, g34282, g46330, g15615, g19145, g14034, g6168, g23908, g35673, g4585	XP_023633701.1, XP_023644236.1
OG0000025	g14806, g32688	XP_023641784.1
OG0000027	g25723	XP_006287218.1
OG0000027	g25717, g25713, g48941, g48949	XP_023635866.1
OG0000027	g25720	XP_006287240.1
OG0000030	g38367, g38376, g38372, g38380	XP_006303634.1, XP_023632886.1, XP_023632793.1
OG0000030	g13799, g13797	XP_006293126.1
OG0000030	g44631	XP_006305030.1, XP_006299109.2
OG0000031	g39351, g7244, g17718, g41293	XP_023635342.1
OG0000032	g29531	XP_023634318.1
OG0000032	g49592, g25930, g51375	XP_023632591.1
OG0000034	g23911	XP_006283285.1
OG0000034	g24014	XP_023634856.1
OG0000034	g50699	XP_023637378.1
OG0000040	g28310, g1466, g41711, g22786	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1
OG0000042	g8825, g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921, g40103, g31187, g8527, g6175, g31170, g43790, g5736, g43774, g44909, g43791, g14857, g33113, g50559, g3768	XP_023634283.1
OG0000042	g6340, g16111, g37181	XP_023644481.1
OG0000043	g1398, g32975	XP_023644208.1
OG0000043	g7846, g12262, g36270	XP_023639459.1
OG0000043	g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657, g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242	XP_006299187.2
OG0000043	g35546, g43537, g43528, g43532	XP_006304881.2
OG0000044	g28154	XP_023636248.1, XP_023634969.1, XP_023636310.1, XP_006282434.2, XP_006296267.1, XP_023635630.1
OG0000046	g26196, g11589	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	g51286	XP_023641959.1
OG0000048	g29294, g52069, g52073, g52064	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000050	g44060, g31395, g44252, g3	XP_006299955.2
OG0000050	g182	XP_023643276.1
OG0000051	g53934, g37450	XP_023640424.1
OG0000052	g1602, g3195	XP_023638292.1
OG0000052	g10535	XP_023638056.1, XP_023639204.1
OG0000052	g19225	XP_006291114.1, XP_006291129.1
OG0000052	g2410	XP_006291090.1
OG0000054	g25225, g3036	XP_023640334.1
OG0000054	g34524, g34533, g30257	XP_023633331.1
OG0000054	g14337, g24011	XP_023634647.1
OG0000055	g27361	XP_006299228.1, XP_006300113.1
OG0000055	g700	XP_023641570.1
OG0000055	g50182, g50184, g50186	XP_006286657.2
OG0000056	g40991, g44205	XP_023643438.1
OG0000056	g44206, g40901	XP_006292456.1
OG0000059	g1329	XP_023633548.1, XP_023644244.1, XP_023634277.1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	XP_023638361.1, XP_006292099.1, XP_006295294.1, XP_006303455.1, XP_006292098.1, XP_006279505.1, XP_006303457.1
OG0000061	g23668	XP_006286287.2
OG0000061	g13471	XP_023633781.1
OG0000061	g23667	XP_023640829.1
OG0000062	g44326, g2819, g44187	XP_023634169.1
OG0000065	g46719	XP_023644442.1
OG0000065	g44951	XP_006279179.2
OG0000065	g18042	XP_023643067.1
OG0000065	g46717	XP_006286236.1
OG0000066	g31166, g49660, g5416, g9719, g156, g29501, g45535	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	g5393	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000067	g12885, g12881, g7910, g3384, g17624, g3851	XP_023634337.1
OG0000067	g3852, g51126, g3385, g51838	XP_023645924.1
OG0000068	g27956, g25385, g25390, g46783	XP_006289028.2, XP_006289556.2, XP_023637280.1, XP_023642606.1, XP_023633398.1, XP_006289558.2, XP_023637635.1, XP_006286541.1
OG0000069	g13531	XP_023642292.1
OG0000070	g10675	XP_006305612.2, XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	g50123	XP_006304273.1
OG0000070	g46242	XP_006302938.1
OG0000070	g44417	XP_023637791.1
OG0000073	g36963, g43389, g14644, g41342	XP_023644828.1
OG0000073	g37235, g35439	XP_023644313.1
OG0000074	g25623, g25627, g44201, g37854	XP_023641911.1
OG0000074	g14332, g15956, g53053, g36000	XP_023638088.1
OG0000074	g43483, g50927, g53476, g50930, g43482	XP_023634274.1, XP_023636038.1
OG0000074	g48940, g1489, g14333, g35046, g17909, g17916, g44092, g34969	XP_023636039.1
OG0000075	g25975, g22716	XP_006283916.1, XP_023635518.1
OG0000077	g18473	XP_006281971.1
OG0000077	g18408	XP_006280897.2
OG0000077	g1538, g1535	XP_023643297.1, XP_006290453.2, XP_023638028.1, XP_006292755.1, XP_006292566.2, XP_006292626.2, XP_006300965.2, XP_006290374.2, XP_023638325.1, XP_006292432.2, XP_006292790.1, XP_006293218.1
OG0000078	g4945	XP_006300074.1, XP_006296650.2, XP_006298876.1, XP_006298992.1, XP_006300092.1
OG0000079	g53126	XP_023644218.1, XP_023645325.1
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177	XP_023638026.1, XP_023634808.1, XP_023641960.1
OG0000081	g33350, g4665	XP_023634311.1
OG0000082	g20916, g29940, g10536, g16647, g54167	XP_023642613.1
OG0000083	g53464, g40253, g35242, g42933, g26028, g6325, g52570, g26019, g25832	XP_023633452.1
OG0000086	g14687	XP_006285515.2, XP_006291706.2
OG0000086	g25067, g25040	XP_006284296.1
OG0000087	g25531, g5305, g31776, g34341, g34346, g18288, g34545, g23636, g36497, g41668, g45060, g40100, g5122, g17501, g13963, g51935, g36251, g29771, g17477, g6514, g14241, g10640, g16978, g43097, g32177, g27557, g38233, g53944, g42634, g39612, g42940, g46881, g31065, g35089, g35075, g36355, g33056, g25309, g43203, g4616, g26839, g41296, g71, g11439, g12189, g22226, g3549, g30028, g30018, g42206, g44815, g38027, g41939, g45175, g40505, g3169, g54026, g36849, g32957, g32928, g3161, g13977, g29018, g22547, g42763, g51030, g4939, g47721, g41763, g36977, g42193, g39820, g32406, g17136, g36901, g35331, g25914, g51512, g25963, g25958, g52585, g41102, g35197, g51567, g35012, g43391, g25325, g52887, g2537, g31593, g50803, g27387, g25088, g53103, g25678, g53930, g48210, g34224, g16248, g30140, g11809, g42743, g4615, g36408, g23455, g54025, g34228, g36858, g54046, g25601, g24517, g1968, g24112, g42097, g41297, g51566, g70, g43652, g24113, g3086, g31979, g17773, g41731, g43491, g16487, g46292, g42226, g42241, g42207, g38441, g18608, g14079, g48508, g20088, g37556, g25306, g26840, g35076, g35090, g3215, g53835, g36272, g52913, g10247, g5096, g23412, g53102, g25962, g25957, g53418, g4285, g41471, g53645, g35023, g11668, g53101, g2536, g39580, g26705, g36856, g2535, g36902, g17231, g23456, g2970, g32981, g43655, g35347, g16116, g29019, g45059, g39581, g27558, g28838, g10639, g36499, g13962, g42759, g47720, g22548, g41938, g26174, g24518, g14083, g43223, g35198, g5307, g41669, g32178, g34547, g25530, g17500, g31777, g42941, g30019, g3548, g30029, g25913, g31980, g51511, g41298, g36857, g54045, g24111, g35091, g35077, g35332, g3574	XP_023639065.1
OG0000089	g9991	XP_006287738.1
OG0000089	g339, g2817, g9845	XP_006292748.1, XP_006291122.1
OG0000089	g5316	XP_006289933.1
OG0000089	g11055, g40485	XP_006281513.1
OG0000089	g24042	XP_006283733.1
OG0000089	g46232	XP_006307490.1, XP_006302256.1
OG0000091	g46886	XP_023637739.1
OG0000091	g28934, g28933	XP_023636467.1
OG0000092	g31108, g53648, g33297, g45424, g50000, g18063, g14574, g2109, g39323, g26668, g53726, g17664, g37838, g27054, g1402, g24886	XP_023642043.1
OG0000092	g26535	XP_023633335.1
OG0000092	g4808	XP_023641904.1
OG0000093	g21856, g15741, g53329, g26523, g42220, g53332, g26517, g42695, g10757, g9233, g42631, g21802, g9259, g30564, g42428, g5163, g34189, g20625, g20779, g9391, g20129, g21973, g20281, g8409, g34077, g8369, g42593, g21727, g8837, g8297, g2229, g33971, g34164, g9390, g42694, g38601, g39198, g21929, g10758, g8350, g42403, g20263, g34058, g33922, g20710, g34049, g21974, g42616, g42610, g34098, g34026, g34055, g21946, g22122, g47146, g34151, g8291, g42429, g16006, g20268, g34124, g20590, g25110, g20624, g20736, g30077, g49007, g20764, g34089, g33888, g20744, g33869, g5164, g37456, g34076, g22071, g21932, g38882, g27384, g37455, g34048, g34075, g39207, g33972, g21728, g21886, g21031, g8534, g30628, g52667, g9188, g50770, g8836, g30127, g26340, g21966, g53700, g33375, g52462, g30492, g8588, g49265, g33592, g8006, g52666, g19248, g19887, g9370, g39178, g38652, g25129, g21451, g8835, g42609, g8415, g53728, g42359, g30596, g20591, g34125, g42402, g38584, g21322, g8365, g19875, g30573, g30133, g33687, g20108, g20953, g8299, g8328, g42295, g20267, g22036, g20078, g20130, g3561, g30606, g38912, g8298, g22060, g21936, g38740, g38849, g20641, g20778, g20547, g8327, g34016, g22037, g25154, g20952, g21895, g8622, g26401, g53701, g19874, g39138, g38577, g30574, g30170, g24942, g20748, g4657, g22048, g39047, g38877, g30168, g8319, g34908, g49209, g42379, g48386, g4282, g42624, g26524, g22070, g9157, g8930, g34190, g21321, g33688, g19833, g21030, g9234, g20421, g42452, g42408, g53333, g26518, g48416, g22020, g20746, g38583, g30557, g22058, g38630, g42407, g21996, g20712, g20645, g20077, g24894, g8364, g21330, g22072, g30181, g38881, g30126, g42427, g19670, g34097, g34170, g21930, g8000	XP_023634031.1
OG0000095	g51024	XP_006294389.1, XP_006295399.1, XP_006295705.1, XP_006294284.1, XP_006295555.1, XP_006294228.1, XP_006294375.1, XP_006294370.2, XP_006294323.1, XP_006296376.2, XP_006295595.1, XP_006295861.1
OG0000098	g11756	XP_023641898.1, XP_006297881.1
OG0000100	g13564	XP_023641940.1
OG0000100	g13563	XP_023642309.1
OG0000102	g40477, g40479, g40476, g40480, g1561	XP_006285555.2
OG0000102	g45186	XP_006288252.1
OG0000102	g45182	XP_023633387.1
OG0000103	g4502, g33381, g30245, g53429, g35312, g35871	XP_023632588.1
OG0000105	g11211	XP_023639286.1
OG0000105	g43820	XP_006284602.1, XP_006285182.1, XP_006282489.2
OG0000107	g6757	XP_006299861.1
OG0000107	g11936	XP_006300030.1, XP_006297457.1
OG0000107	g17802, g17676, g17783	XP_006290930.1
OG0000108	g37225, g38077, g2333, g51658	XP_006291303.1, XP_006294425.1
OG0000108	g29544	XP_006287952.1
OG0000108	g13323	XP_006297920.1
OG0000108	g11989	XP_006295441.1, XP_006295821.1
OG0000110	g46791, g24881	XP_023634352.1
OG0000111	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000112	g38946, g38713, g52985	XP_023640634.1
OG0000114	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531	XP_006301152.1
OG0000114	g15992	XP_023640326.1
OG0000115	g53276	XP_023644425.1
OG0000117	g27550, g27549	XP_006306513.2
OG0000118	g35294, g50762, g6146, g12640	XP_006290039.1, XP_023640365.1, XP_023634338.1
OG0000118	g12809	XP_023642688.1
OG0000119	g11441, g11440	XP_023638901.1
OG0000120	g16084, g1792, g4332, g53925, g37157, g27662, g35446, g27841, g35883	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000121	g38499	XP_023636052.1
OG0000122	g18088	XP_023645912.1, XP_023633493.1
OG0000122	g1066	XP_023633416.1
OG0000123	g1342	XP_006282356.1, XP_006289168.1
OG0000125	g31072	XP_023645280.1
OG0000125	g18497	XP_023645225.1, XP_006306741.1
OG0000125	g6675	XP_023643521.1, XP_006299926.1
OG0000127	g41348	XP_006289049.1
OG0000127	g2919, g1294, g28781	XP_006281264.1, XP_006292858.1, XP_006292010.1
OG0000128	g2010	XP_023639093.1
OG0000128	g2009	XP_006291250.1, XP_006290900.1, XP_006291045.1
OG0000128	g50627	XP_006282595.1
OG0000129	g45131	XP_023644190.1
OG0000129	g24222, g24219	XP_023644195.1
OG0000129	g45103, g45101	XP_023644191.1
OG0000129	g9880	XP_023645120.1, XP_023635333.1, XP_023640860.1, XP_023640089.1
OG0000132	g51066	XP_023637355.1
OG0000132	g51064, g35150, g34743	XP_023634360.1
OG0000134	g18420	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1, XP_006286802.2
OG0000137	g1010	XP_006280761.2
OG0000137	g1011	XP_006280742.1
OG0000143	g24947, g35918, g41958, g24857, g24997	XP_023638858.1
OG0000143	g52356, g52620, g4139, g16474	XP_023644225.1
OG0000145	g26348, g8241, g18650, g34254, g33262	XP_023636068.1
OG0000148	g36469	XP_023644303.1
OG0000151	g19127	XP_006290668.1
OG0000151	g19128	XP_006292545.1
OG0000151	g51765	XP_006295608.1
OG0000151	g2235	XP_006292248.1
OG0000151	g2346	XP_006290640.1
OG0000151	g51633	XP_006295587.1
OG0000151	g29346	XP_006287124.2
OG0000153	g51155, g51154, g51130, g51156	XP_006294819.1
OG0000153	g40020	XP_023639834.1, XP_023639909.1, XP_023640029.1
OG0000153	g37875, g37876	XP_023639879.1, XP_023639769.1
OG0000154	g36466, g36467	XP_006306278.1, XP_023644539.1, XP_023635872.1
OG0000157	g27714	XP_006281807.1
OG0000160	g5985	XP_006296920.1
OG0000160	g23426	XP_006282542.1
OG0000160	g1105	XP_006282289.1
OG0000160	g6339	XP_006279406.1
OG0000160	g11547	XP_006279360.1
OG0000160	g46563	XP_023643729.1
OG0000160	g50994	XP_006293643.2
OG0000162	g11480	XP_006292602.1
OG0000169	g53988	XP_023644508.1, XP_023644509.1
OG0000170	g52256	XP_023641004.1, XP_006307271.1
OG0000170	g52257	XP_023640714.1
OG0000171	g915, g28415	XP_006281266.1
OG0000171	g14078	XP_006298751.1
OG0000171	g28546	XP_006281239.2
OG0000171	g7540	XP_023641832.1, XP_006298742.1
OG0000175	g32098, g27548, g50297, g44698	XP_006302886.1
OG0000175	g29297	XP_023635842.1
OG0000176	g12860	XP_006299638.1
OG0000178	g40442	XP_006289433.1
OG0000178	g45158	XP_006289092.1, XP_006289348.1, XP_023635846.1, XP_006287233.1
OG0000178	g45173	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000179	g31539, g1718	XP_023644030.1, XP_023643476.1, XP_006300712.1
OG0000183	g18117	XP_006302967.1, XP_006284698.1
OG0000183	g40143	XP_006294957.1
OG0000184	g11846	XP_023641352.1, XP_023641851.1, XP_006299354.1, XP_006298376.1, XP_023641852.1, XP_006299497.1, XP_023632990.1, XP_023642677.1, XP_006299827.1
OG0000185	g32332, g32334, g32337	XP_023641274.1, XP_006298152.1
OG0000185	g11864	XP_023640416.1
OG0000187	g17092	XP_006296499.1
OG0000189	g47947	XP_023633909.1
OG0000189	g18237	XP_006296623.1
OG0000189	g23036	XP_006282726.1
OG0000189	g50117	XP_006302850.1, XP_006305647.1
OG0000192	g17137	XP_006292772.1
OG0000193	g27763	XP_006304962.1
OG0000197	g24122	XP_023635153.1, XP_023644224.1, XP_006282799.2, XP_006285566.1
OG0000197	g17408	XP_023634326.1
OG0000198	g25893	XP_006291995.1
OG0000198	g31564	XP_006305966.2
OG0000198	g49926	XP_006306087.1
OG0000199	g47707	XP_006294905.1
OG0000200	g40674	XP_006305980.1
OG0000200	g27686	XP_006305145.1
OG0000201	g15624, g51845, g17762	XP_023639098.1
OG0000202	g1023, g25454, g25477	XP_023636108.1, XP_023636923.1
OG0000203	g18958	XP_006292197.1
OG0000203	g2360	XP_006292664.2
OG0000204	g53714, g14389	XP_023641349.1
OG0000205	g43917	XP_023639324.1
OG0000205	g11567	XP_023640324.1, XP_023636059.1, XP_023634278.1, XP_023644457.1, XP_023644466.1, XP_023644460.1, XP_023634071.1, XP_023641994.1, XP_023636047.1, XP_023644478.1, XP_023634282.1, XP_023644465.1, XP_023640333.1, XP_023645651.1, XP_023634063.1, XP_023634058.1, XP_023636043.1
OG0000208	g21459, g33511, g33550	XP_023644532.1
OG0000210	g26821	XP_006302230.1
OG0000214	g6224, g41308, g33055, g29003, g53538	XP_023640469.1
OG0000214	g13752, g9978, g14640, g51222	XP_023634705.1
OG0000214	g1573, g22730, g23072, g45047, g16729, g17791, g52105, g36171	XP_023641965.1, XP_023638865.1, XP_023639573.1, XP_023641361.1, XP_023644322.1
OG0000214	g37934	XP_023634331.1
OG0000214	g2449, g32347, g37022	XP_023638976.1
OG0000214	g45095	XP_023633773.1
OG0000215	g449	XP_006296786.1
OG0000216	g25664	XP_023637283.1
OG0000216	g41090, g41083, g41086	XP_006302421.1
OG0000219	g27764, g39817	XP_023634346.1
OG0000221	g32889, g53047, g4078, g27354, g2143, g52809, g53046, g27482	XP_023643898.1
OG0000221	g32627	XP_023644448.1
OG0000226	g17691, g17690, g17692	XP_006285264.2
OG0000229	g13978	XP_006289451.2, XP_023644307.1, XP_006282853.2, XP_006286342.2
OG0000229	g24726	XP_006279442.1, XP_006304782.2
OG0000233	g45483	XP_006290020.1
OG0000233	g29622	XP_006286767.1
OG0000233	g29623	XP_006289542.2, XP_006289289.1
OG0000234	g45347	XP_023635829.1
OG0000235	g40743	XP_006305118.1, XP_023644533.1
OG0000235	g11302	XP_006298477.2, XP_006298206.1, XP_006288183.1, XP_023636873.1, XP_006284259.1, XP_023634339.1, XP_023639113.1
OG0000236	g11672	XP_023644265.1
OG0000237	g11805	XP_006296746.1
OG0000237	g36933	XP_006297875.1
OG0000241	g17320	XP_006284545.1, XP_006279099.1, XP_023635292.1, XP_006279100.1, XP_006285919.1, XP_006279101.1, XP_006289300.1, XP_006289916.1, XP_006289616.1, XP_006289215.1
OG0000242	g10112	XP_006279117.1, XP_006286819.1, XP_006286567.1
OG0000243	g27682	XP_006304293.1, XP_006305771.1
OG0000244	g25493	XP_006290182.1
OG0000244	g40712	XP_006289480.2
OG0000245	g15848	XP_023637477.1, XP_023641896.1
OG0000246	g51604	XP_006295641.1
OG0000246	g37185	XP_006294087.1, XP_006294083.1
OG0000246	g51603	XP_006296366.1
OG0000250	g6508, g45178	XP_006287939.1
OG0000250	g40469	XP_006289516.1
OG0000251	g16641	XP_006290953.1, XP_023638661.1, XP_006290954.1, XP_006292275.1
OG0000252	g40852	XP_006300513.1, XP_006291286.1
OG0000252	g46370	XP_006302386.1
OG0000253	g12277	XP_006297173.1
OG0000253	g7492	XP_006297174.1
OG0000253	g5784, g45315	XP_006287234.1
OG0000254	g47116, g47114, g17643	XP_006284821.1
OG0000254	g47115	XP_006284819.1, XP_006284817.1, XP_006286199.1, XP_006284824.1, XP_006284827.1, XP_006284826.1
OG0000256	g10880	XP_006299941.1, XP_023641893.1, XP_023641894.1
OG0000259	g1607	XP_023643302.1
OG0000260	g6207, g6217	XP_023635375.1
OG0000260	g24958	XP_006281509.2
