Orthogroup	Cochlearia_excelsa	Eutrema_salsugineum
OG0000005	g42351, g9075	XP_024013060.1
OG0000005	g33923, g37457, g8422, g20735	XP_024004015.1, XP_024010544.1
OG0000005	g42313	XP_024010472.1
OG0000005	g16442	XP_024014001.1
OG0000005	g21798, g21724	XP_024015858.1
OG0000005	g15105	XP_024015023.1
OG0000005	g42483	XP_024010905.1
OG0000005	g38606	XP_024015845.1
OG0000007	g23854	XP_024006790.1
OG0000007	g4635	XP_024009204.1, XP_024014376.1, XP_024006867.1, XP_024007289.1, XP_024011309.1
OG0000007	g6208, g14489	XP_024006428.1
OG0000007	g40547, g4032, g24749, g15595	XP_024004804.1, XP_024006809.1, XP_024010444.1, XP_024014464.1, XP_024016297.1, XP_024010253.1, XP_024009329.1, XP_024006490.1
OG0000007	g42739	XP_024007931.1
OG0000007	g41913	XP_024016514.1, XP_024014672.1
OG0000007	g1504, g5172, g25855	XP_024006492.1, XP_024006841.1
OG0000007	g9677	XP_024014636.1, XP_024004080.1, XP_024013187.1
OG0000007	g40914	XP_024010848.1
OG0000007	g43721	XP_024014172.1
OG0000007	g5266	XP_024004788.1
OG0000007	g16483	XP_024010052.1, XP_024008043.1, XP_024004924.1, XP_024004856.1, XP_024004074.1, XP_024014006.1, XP_024012322.1, XP_024012910.1
OG0000007	g4033	XP_024004051.1
OG0000007	g47006, g45886, g50470	XP_024006097.1, XP_024011350.1, XP_024004963.1, XP_024013926.1, XP_024004117.1, XP_024013935.1, XP_024016848.1, XP_024013889.1, XP_024007769.1
OG0000007	g596, g49751	XP_024016122.1
OG0000007	g47000, g11663, g32442, g35394, g34804	XP_006397474.2, XP_024004398.1, XP_024011387.1, XP_024013912.1, XP_024004241.1, XP_024005863.1, XP_024004112.1
OG0000007	g40353, g47960	XP_024007214.1, XP_024006883.1
OG0000008	g36794	XP_024004796.1, XP_024004794.1, XP_024014490.1
OG0000008	g49591	XP_024009261.1
OG0000008	g5353, g35020, g27856, g27175, g1942	XP_024015912.1
OG0000008	g52586	XP_024004048.1
OG0000008	g26783	XP_024013171.1, XP_024010288.1, XP_024007970.1
OG0000008	g36094, g12608, g25554, g19408	XP_024014429.1, XP_024004767.1, XP_024016281.1, XP_024015907.1, XP_024010446.1, XP_024004910.1, XP_024006484.1, XP_024007711.1, XP_024006634.1, XP_024014150.1, XP_024011400.1, XP_024010291.1, XP_024006405.1
OG0000008	g27995	XP_024007971.1
OG0000008	g39484, g13991	XP_024010217.1, XP_024010377.1
OG0000009	g36085, g14872, g26760	XP_024014484.1, XP_024013044.1, XP_024009292.1
OG0000009	g32059, g53845	XP_024009307.1
OG0000009	g42166, g38135, g4, g54233, g32288, g9848, g3832, g54192, g31394, g30358, g44061, g36068, g44251	XP_024013918.1, XP_024007904.1
OG0000009	g5873, g10931, g10935, g19664, g30922, g53629, g19587	XP_024009751.1
OG0000009	g23979, g28647, g29131, g1512	XP_024011403.1, XP_024016212.1
OG0000011	g18071, g2721, g42559, g4725, g47538	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	g24975	XP_024013228.1
OG0000011	g2713, g18942	XP_024016750.1
OG0000011	g2720, g19256	XP_024006275.1
OG0000012	g24724	XP_024010329.1
OG0000012	g3436	XP_024011250.1, XP_024011270.1, XP_024013668.1, XP_024016101.1, XP_024013382.1, XP_024010432.1, XP_024006682.1, XP_024016577.1, XP_024004056.1, XP_024005228.1, XP_024015282.1, XP_024013555.1, XP_024014250.1, XP_024006510.1, XP_024004043.1, XP_024016298.1, XP_024008037.1, XP_024013925.1
OG0000012	g1458, g24832, g50752	XP_024009191.1
OG0000012	g26075	XP_024010196.1
OG0000014	g21528, g48055, g34423, g3243	XP_024006535.1
OG0000014	g45670	XP_024013115.1, XP_024014009.1, XP_024005602.1, XP_024005000.1, XP_024015955.1
OG0000014	g2094	XP_006408809.2
OG0000014	g30067	XP_024013164.1
OG0000014	g17636, g4255	XP_024015893.1, XP_024007899.1, XP_024010463.1
OG0000014	g35163, g51018	XP_024006470.1
OG0000014	g48054	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	g35711	XP_024006143.1
OG0000015	g39566, g3152, g14756, g32935	XP_024014590.1, XP_024006904.1
OG0000015	g53814, g952, g32985, g12170, g24863, g14880	XP_024012449.1
OG0000015	g43580, g47633, g11559, g47481, g16302	XP_024013064.1
OG0000015	g16377	XP_024007917.1
OG0000016	g20467, g34722, g30434, g30429, g21277, g25157	XP_024010588.1
OG0000016	g43401, g3658, g38750, g11415	XP_024013310.1
OG0000016	g4181, g6384, g33081, g33074	XP_024016295.1
OG0000016	g26416, g24990	XP_024010546.1
OG0000018	g4429, g25015, g53118, g3760, g25775, g17839	XP_024010601.1
OG0000020	g32689, g14805	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	g4190, g3679, g33003	XP_024005003.1
OG0000020	g3669	XP_024016132.1
OG0000020	g4186	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1
OG0000021	g33125, g14567, g25750	XP_024008232.1
OG0000022	g17118	XP_006413138.1
OG0000022	g5030	XP_006400202.2
OG0000022	g40881, g40949, g40951, g40859, g40857, g6403, g40794	XP_006391807.1
OG0000022	g40889	XP_006391833.2
OG0000022	g40888	XP_006391829.2
OG0000022	g40752	XP_006391605.2
OG0000022	g13269	XP_024014798.1, XP_024015415.1
OG0000023	g14801, g15067	XP_024013410.1, XP_024013199.1
OG0000023	g42233, g26587	XP_024004018.1, XP_024010417.1
OG0000023	g52731	XP_024009473.1
OG0000023	g15121	XP_024011315.1
OG0000023	g44912, g15122	XP_024009936.1, XP_024006513.1
OG0000023	g6328, g34729	XP_024016167.1
OG0000024	g43450	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	g40788	XP_006415394.1, XP_024007951.1, XP_006415341.2
OG0000024	g2269	XP_024004275.1, XP_006402766.1
OG0000025	g17280, g46637, g25246, g50791	XP_024007336.1, XP_024013062.1
OG0000025	g14806, g32688	XP_024013403.1, XP_024013306.1, XP_024009983.1, XP_024006433.1, XP_024014732.1, XP_024014743.1, XP_024007900.1, XP_024013980.1, XP_024010438.1, XP_024010204.1, XP_024015304.1, XP_024009430.1, XP_024010439.1
OG0000027	g43193, g48946	XP_024009838.1, XP_006396897.2
OG0000027	g25723	XP_006396896.1
OG0000027	g25717, g25713, g48941, g48949	XP_024010236.1
OG0000027	g23897	XP_006413557.1
OG0000027	g40374	XP_006396890.1
OG0000027	g25720	XP_006396908.2
OG0000030	g38367, g38376, g38372, g38380	XP_024008003.1
OG0000030	g13799, g13797	XP_024016186.1
OG0000030	g13193, g13194	XP_024010547.1, XP_024015244.1
OG0000031	g42618	XP_024016318.1
OG0000031	g43456	XP_024016250.1
OG0000031	g39351, g7244, g17718, g41293	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1, XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1, XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1, XP_024008024.1, XP_024014349.1, XP_024006862.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024008010.1, XP_024009300.1, XP_024006120.1, XP_024010326.1, XP_024007258.1, XP_024016215.1, XP_024004984.1, XP_024016257.1, XP_024006593.1, XP_024011224.1
OG0000032	g25263, g35283, g34310	XP_024009309.1
OG0000032	g15953, g5354	XP_024007954.1
OG0000032	g4129, g3254, g35284	XP_024004841.1, XP_024010402.1
OG0000032	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006	XP_024009276.1, XP_024004049.1
OG0000034	g23911	XP_024010975.1
OG0000034	g24014	XP_024005104.1
OG0000034	g23912	XP_006413576.1
OG0000035	g42054	XP_006393440.2
OG0000038	g45065	XP_024013061.1
OG0000038	g14210, g42047, g25209, g47747, g6734, g25615, g24420, g4774, g23626, g25696, g39882, g12326, g11412, g40957, g32434, g14573, g41376, g31882, g40136, g45253, g37419, g28612, g6446, g6725, g47748, g41947, g41005, g50686, g35996, g4260, g4263, g41786, g23625, g41377, g32262, g25866	XP_024006448.1
OG0000038	g23926, g16819, g41305	XP_024011196.1
OG0000039	g9223, g15181, g22026, g34002, g33956, g21740, g33876, g20120, g34152, g33727, g33838, g34031, g38975, g39098, g38955, g38688, g33899, g33968, g21746, g49214, g9168, g8928, g33853, g21580, g21835, g33794, g34108, g48467, g9412, g21180, g20963, g29864, g34128, g42509, g20355, g20323, g33964, g8497, g34589, g9477, g21185, g20350, g34603, g48204, g15023, g26485, g26483, g26490, g42473, g21581, g42500, g33728, g21834, g21908, g30648, g9167, g30662, g34030, g33969, g33880, g33754, g20336, g42479, g16186, g20806, g20799, g20600, g33875, g33942, g9567, g9467, g20562, g30106, g20969, g48132, g8937, g14739, g15252, g15616, g38605, g48353, g38935, g20566, g34601, g9410, g9534, g15154, g8442, g26561, g33734, g30591, g9307, g48220, g16204, g15893, g15843, g15896, g16200, g21102, g9330, g9097, g48186, g48133, g8399, g42629, g26556, g39032, g35389, g34862, g8902, g20398, g15147, g49183, g20264, g15163, g20939, g15263, g21171, g20808, g30058, g19679, g3538, g30024, g34069, g15290, g33828, g33832, g48859, g33774, g26506, g34577, g38840, g15451, g8891, g35369, g30672, g20400, g20339, g8985, g8963, g9150, g33805, g8966, g21244, g20504, g33808, g15372, g33840, g8969, g49250, g21044, g9535, g21091, g42907, g30644, g34888, g35388, g48113, g34154, g9222, g21215, g9264, g52758, g49246, g8843, g9556, g20444, g34039, g34131, g21540, g15466, g38559, g9194, g34045, g8458, g21870, g34113, g8981, g20527, g34004, g21752, g9254, g21611, g39030, g34126, g9248, g22003, g33850, g22025, g30631, g22027, g34181, g21699, g33966, g21680, g33992, g9199, g9408, g21877, g20657, g30626, g8288, g15136, g34194, g20574, g8449, g48415, g8953, g38980, g39170, g39173, g48500, g33991, g21539, g34037, g33722, g43382, g8379, g26569, g20644, g42305, g15284, g48417	XP_024006661.1
OG0000040	g49152	XP_024006069.1
OG0000040	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980	XP_024004874.1, XP_024006081.1, XP_024004163.1
OG0000040	g52948, g41631, g41632, g25133, g49021	XP_024009299.1
OG0000040	g28310, g1466, g41711, g22786	XP_024007589.1
OG0000041	g49411, g40677, g12224	XP_024004893.1
OG0000041	g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028, g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828, g41708, g839, g6204, g4882, g54105, g19084, g12227	XP_024011200.1
OG0000041	g51517, g45168, g27877	XP_024004768.1
OG0000041	g45435, g46801	XP_024011348.1
OG0000041	g7668, g53419, g39804, g44227	XP_024013542.1
OG0000042	g41465, g35926	XP_024009659.1
OG0000042	g6307, g53556	XP_024009944.1
OG0000042	g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339	XP_024016200.1
OG0000042	g40104, g13786, g31186, g8826, g30544	XP_024006466.1
OG0000043	g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434	XP_024014240.1
OG0000044	g10944	XP_024009991.1
OG0000044	g18482	XP_006398345.1
OG0000044	g28154	XP_024005671.1, XP_024009767.1
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490, g3382, g2931	XP_024015030.1
OG0000046	g33267	XP_024009726.1, XP_024010419.1
OG0000047	g20823, g3147	XP_024014421.1
OG0000047	g53822, g39938, g46293, g3737, g32568, g29256, g19401, g44942, g26771	XP_024011365.1
OG0000048	g51285	XP_024005913.1
OG0000048	g29294, g52069, g52073, g52064	XP_006407903.2
OG0000049	g24879, g26707, g4073, g28165, g5623, g29089, g25298, g2374, g7125, g42059, g19431, g24864, g39276, g51171, g7126, g6551, g27201, g20917, g29939, g20308, g28559, g25198, g14254, g2520	XP_024006537.1
OG0000049	g10090	XP_024009363.1
OG0000050	g44060, g31395	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2
OG0000050	g30921, g53630, g4397, g10583	XP_024004962.1, XP_024006598.1
OG0000050	g182	XP_024015913.1, XP_024007981.1
OG0000051	g37450	XP_024004184.1
OG0000052	g10535	XP_024007553.1
OG0000052	g2410	XP_024008507.1
OG0000054	g14843	XP_024010734.1, XP_024013111.1
OG0000054	g47268, g19674, g3543	XP_024010408.1, XP_024009470.1, XP_024013312.1, XP_024016521.1, XP_024013525.1, XP_024015866.1, XP_024010276.1
OG0000054	g33040	XP_024013449.1
OG0000054	g14337, g24011	XP_024009399.1
OG0000054	g30442, g52428	XP_024014412.1
OG0000054	g32562, g48023, g2616, g35754, g20877, g16232, g25038, g8779, g34409, g14810, g30055	XP_024016309.1
OG0000054	g34238	XP_024009765.1, XP_024010410.1
OG0000054	g13738, g11527	XP_024006543.1
OG0000054	g14381, g4607, g48037, g52357, g16667	XP_024010469.1
OG0000054	g32961	XP_024006482.1
OG0000054	g53889, g53885, g42037	XP_024013069.1
OG0000054	g49166, g4254	XP_024009580.1, XP_024007298.1, XP_024007316.1
OG0000054	g30404	XP_024010349.1
OG0000055	g700	XP_006398121.1, XP_006406735.1
OG0000056	g44206	XP_006405761.2
OG0000058	g3196	XP_024013600.1
OG0000058	g49100	XP_024009371.1, XP_024012609.1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	XP_006417762.1, XP_006418920.1, XP_006400894.1, XP_006410944.1, XP_006403660.1, XP_006400928.1, XP_006418982.1, XP_006409907.1
OG0000061	g41322	XP_006400395.1
OG0000061	g13471	XP_006413201.2, XP_006413190.1
OG0000062	g44326, g2819, g44187	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000063	g19357	XP_024009242.1
OG0000065	g18042	XP_006391458.1
OG0000065	g46717	XP_024014419.1
OG0000066	g31166, g49660, g5416, g9719, g156, g29501, g45535	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	g5393	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	g12885, g12881, g7910, g3384, g17624, g3851	XP_024014292.1
OG0000067	g3852, g51126, g3385, g51838	XP_024011136.1
OG0000068	g27956, g25385, g25390, g46783	XP_024014925.1, XP_024012324.1, XP_006413393.1, XP_006406656.1, XP_006399102.2
OG0000069	g13531	XP_006402374.1, XP_006404944.1
OG0000070	g10675	XP_006395735.1
OG0000070	g50123	XP_006416426.1
OG0000070	g46242	XP_006390250.1
OG0000074	g25623, g25627, g44201, g37854	XP_024016530.1
OG0000074	g43483	XP_024004866.1
OG0000074	g14513, g14502, g14522	XP_024016279.1, XP_024013158.1
OG0000074	g48940	XP_024016228.1
OG0000074	g1489, g14333	XP_024007928.1, XP_024006149.1
OG0000074	g35046	XP_024013371.1
OG0000074	g17909, g17916, g44092, g34969	XP_024004022.1, XP_024009402.1
OG0000074	g2403	XP_024006397.1
OG0000074	g51639, g51642, g52234	XP_024013961.1, XP_024006432.1
OG0000075	g1450	XP_024009720.1, XP_024009721.1
OG0000076	g32307, g51190	XP_024004083.1, XP_024004092.1, XP_006410127.1, XP_024010259.1, XP_024010258.1, XP_006397052.1, XP_024010257.1, XP_024010383.1, XP_006410067.1, XP_024004059.1, XP_024004093.1, XP_024004091.1, XP_006410069.1, XP_006410074.2, XP_006410076.1, XP_006410126.2, XP_024004081.1, XP_006410042.2, XP_006410043.2, XP_006410041.1
OG0000077	g18473	XP_024004738.1
OG0000077	g18408	XP_006398175.2
OG0000077	g1538, g1535	XP_006395717.2, XP_006395727.1, XP_006395720.2
OG0000077	g44008, g44007, g44009	XP_006392390.2
OG0000078	g4945	XP_006408252.2, XP_006408254.2, XP_006408256.1, XP_024014979.1, XP_006408255.1
OG0000078	g4944	XP_006400345.1
OG0000078	g29028, g29029	XP_006400352.1, XP_006400344.1
OG0000081	g45295, g49162, g32135, g50796, g11094, g25177, g51097, g11499, g17431, g25472, g32592, g28656, g13832, g15781, g11373, g584, g48347	XP_024014389.1, XP_024004223.1
OG0000081	g33350, g4665	XP_024014942.1, XP_024013908.1
OG0000082	g33411, g33412, g25297, g33414, g33413	XP_024013185.1
OG0000083	g53464, g40253, g35242, g42933, g26028, g6325, g52570	XP_024004878.1
OG0000083	g26019	XP_024016110.1
OG0000083	g25832	XP_024003644.1
OG0000083	g23574, g1440, g18218, g29209, g189, g44333, g12699, g45077, g7891, g50678, g45076, g29210, g46332, g12698, g17314, g37985, g4867, g188, g44332	XP_024004864.1
OG0000083	g26018, g35239, g42930, g6323	XP_024004079.1
OG0000083	g26027, g52571, g17747, g25833, g42932, g6324	XP_024009339.1, XP_024014050.1
OG0000083	g25834	XP_024009186.1
OG0000083	g36784, g49746, g18538, g35187, g6495, g14111, g41347, g2636	XP_024004889.1
OG0000086	g14687	XP_024014367.1
OG0000086	g25067, g25040	XP_006405821.2
OG0000086	g46770, g46768, g46769, g43995	XP_024014475.1, XP_006405815.1
OG0000089	g9991	XP_006404194.1, XP_006394642.1
OG0000089	g5316	XP_006399740.1
OG0000089	g11055, g40485	XP_006403108.1
OG0000089	g24042	XP_006413842.1
OG0000089	g46232	XP_006390273.1
OG0000090	g43843	XP_024004922.1, XP_024014456.1
OG0000091	g46886	XP_024011698.1
OG0000091	g19510	XP_006404361.1
OG0000091	g11030, g40516	XP_006398110.2, XP_006398111.1
OG0000091	g28934, g28933	XP_024011446.1
OG0000092	g2110	XP_006397382.1
OG0000092	g4808	XP_024004806.1, XP_024010671.1, XP_024010073.1
OG0000095	g51024	XP_006405024.2, XP_006405025.1, XP_006405019.2, XP_006405020.2, XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000096	g6393	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	g49764	XP_024004907.1, XP_024007223.1
OG0000098	g11756	XP_024009712.1, XP_006403292.2
OG0000101	g8998, g29945, g30548, g38806, g8608, g26310, g9084, g48831, g29967, g8634, g9122, g30668, g30701, g13421, g43704, g4261, g4265, g27334, g26222, g26225	XP_024007307.1
OG0000101	g12208, g35531	XP_024013940.1
OG0000101	g31822, g37851	XP_024010678.1, XP_024008063.1
OG0000102	g25521, g25536, g25522	XP_006403998.2
OG0000102	g45186	XP_006417793.2
OG0000102	g45182	XP_006396591.1
OG0000103	g30244, g22182	XP_024006500.1
OG0000103	g22183, g30246, g16455, g52963, g35453, g14262, g16606, g16453, g32833, g4421, g43835, g41891, g52967, g36311, g43664, g53386, g35584, g22946, g16547, g16540, g16523, g16532, g33382, g26138, g34261, g35243, g18813, g36312, g4975, g16267, g34417, g46725, g4503, g4417, g50768, g34515, g41866, g678, g41676, g26277, g16548, g16533, g16524, g33383, g41867, g53593, g52562, g35800, g53323, g52897, g4352, g4416, g52637, g679, g41675, g36864, g4976, g18814, g11793, g34529, g34527, g34536, g6183, g17356	XP_024005026.1
OG0000103	g52966, g15793, g16603, g34418, g34813	XP_024013314.1, XP_024014414.1, XP_024014220.1, XP_024009962.1, XP_024013198.1, XP_024006852.1
OG0000105	g11211	XP_024011529.1
OG0000105	g53975	XP_024014375.1
OG0000106	g36881, g4591, g47125, g36375, g27012	XP_024009972.1, XP_024010849.1
OG0000107	g6757	XP_024015177.1
