Orthogroup	Cochlearia_excelsa	Cardamine_hirsuta
OG0000092	g18063, g14574	CARHR286120
OG0000092	g39323, g26668, g53726	CARHR152920
OG0000092	g17664, g37838, g27054	CARHR180590
OG0000092	g1402, g24886	CARHR261190
OG0000092	g26535	CARHR293270
OG0000095	g51024	CARHR116960, CARHR117230, CARHR116990, CARHR116870, CARHR117030, CARHR118620, CARHR117020, CARHR116980, CARHR117870, CARHR117890, CARHR116700, CARHR116940, CARHR117880, CARHR117220, CARHR117860
OG0000096	g6393	CARHR084920
OG0000098	g41770	CARHR103960
OG0000098	g50862, g50863, g50857, g5925, g25316, g5924	CARHR000040, CARHR188170
OG0000100	g35259, g34277	CARHR047470, CARHR047430
OG0000100	g40795	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	g13563	CARHR047730, CARHR047100
OG0000101	g3304, g41853	CARHR287350
OG0000101	g31822, g37851	CARHR183060
OG0000101	g37850, g28202	CARHR099970, CARHR036950
OG0000102	g40477, g40479, g40476, g40480, g1561	CARHR252050
OG0000102	g45182	CARHR252130
OG0000105	g11211	CARHR077960, CARHR181190, CARHR228760, CARHR106060, CARHR104310
OG0000105	g14267	CARHR175270
OG0000105	g17560	CARHR222460
OG0000105	g43820	CARHR256490, CARHR256450, CARHR288500
OG0000105	g53975	CARHR108280, CARHR054220
OG0000105	g35258	CARHR047220
OG0000105	g14463	CARHR263770, CARHR047550
OG0000107	g6757	CARHR095660
OG0000107	g11936	CARHR095650
OG0000108	g37225, g38077, g2333, g51658	CARHR131960
OG0000108	g29544	CARHR203590
OG0000108	g13323	CARHR094190
OG0000111	g14348, g14347, g14394, g45247, g45220, g37032, g50081, g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578	CARHR148290
OG0000114	g50797	CARHR258830
OG0000114	g15992	CARHR118270
OG0000115	g16651, g17473, g31783	CARHR155450
OG0000116	g48680, g15046, g14763, g43457, g1389, g17894	CARHR217650
OG0000116	g43452	CARHR101930
OG0000118	g35294, g50762, g6146, g12640	CARHR101240, CARHR101220, CARHR133050, CARHR115930, CARHR115940, CARHR115970, CARHR133070, CARHR133060
OG0000118	g12809	CARHR099660, CARHR133040, CARHR180020
OG0000118	g1395	CARHR102680
OG0000119	g11441, g11440	CARHR059580, CARHR150110
OG0000119	g38299, g38298	CARHR114850
OG0000122	g1065	CARHR269760
OG0000122	g1066	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000124	g51625, g52915, g53579	CARHR259840
OG0000125	g51118	CARHR122140
OG0000125	g31072	CARHR007350
OG0000125	g18497	CARHR041970
OG0000125	g6675	CARHR097260
OG0000125	g54236	CARHR258870, CARHR041960
OG0000126	g27940	CARHR048790, CARHR257160
OG0000126	g24771, g30546	CARHR034350, CARHR144860
OG0000126	g41907	CARHR217430, CARHR184740
OG0000126	g1666	CARHR293480
OG0000126	g11646	CARHR252010, CARHR117440
OG0000127	g41348	CARHR190650
OG0000127	g19182	CARHR163570
OG0000127	g2919, g1294, g28781	CARHR273520, CARHR154340, CARHR154390
OG0000127	g39998	CARHR121850
OG0000128	g18900	CARHR169620
OG0000128	g2009	CARHR169580, CARHR169600
OG0000129	g45131	CARHR038520, CARHR038560
OG0000129	g24222, g24219	CARHR056680, CARHR056760, CARHR056690
OG0000129	g9880	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000132	g51066	CARHR256230
OG0000134	g18420	CARHR202050
OG0000136	g37683, g24093	CARHR253210
OG0000137	g1010	CARHR268710
OG0000137	g1011	CARHR268720
OG0000140	g24428	CARHR116590
OG0000141	g49817	CARHR220970, CARHR220990
OG0000143	g42790, g48961, g14200	CARHR116230, CARHR285000
OG0000143	g52356, g52620, g4139, g16474	CARHR181670, CARHR183500
OG0000148	g36469	CARHR040920
OG0000150	g34628	CARHR217380, CARHR294480
OG0000151	g19127	CARHR165130
OG0000151	g19128	CARHR165120
OG0000151	g51765	CARHR134140
OG0000151	g2235	CARHR165110
OG0000151	g2346	CARHR163410
OG0000151	g51633	CARHR132240
OG0000151	g29346	CARHR199860
OG0000153	g51155, g51154, g51130, g51156	CARHR124170, CARHR124160, CARHR124140
OG0000153	g37875, g37876	CARHR007210, CARHR007190, CARHR122550
OG0000154	g36466, g36467	CARHR040870, CARHR121480
OG0000154	g54212, g36163, g36472	CARHR040760, CARHR040790, CARHR041510
OG0000159	g43119	CARHR059430
OG0000159	g14659, g33594, g26152, g43872, g14817, g4106, g53756, g26059, g19681, g43464, g35132	CARHR184120
OG0000160	g5985	CARHR109500
OG0000160	g23426	CARHR238090
OG0000160	g1105	CARHR271150
OG0000160	g6339	CARHR104060
OG0000160	g11547	CARHR153650
OG0000160	g46563	CARHR073860
OG0000160	g50994	CARHR117520
OG0000162	g11480	CARHR162850
OG0000162	g28290	CARHR102790, CARHR102800, CARHR102820
OG0000162	g11479	CARHR145920
OG0000165	g28137	CARHR180370, CARHR180470
OG0000166	g46162	CARHR067330
OG0000166	g46166	CARHR067380
OG0000169	g32507	CARHR149530, CARHR116790
OG0000169	g53988	CARHR219990
OG0000170	g52256	CARHR140750
OG0000170	g52257	CARHR186310, CARHR140760
OG0000170	g37614, g37615	CARHR140770, CARHR103320
OG0000171	g915, g28415	CARHR266340
OG0000171	g14078	CARHR107000
OG0000171	g28546	CARHR269520
OG0000171	g7540	CARHR083000, CARHR082990
OG0000171	g17072	CARHR235660
OG0000174	g50178	CARHR292260, CARHR102990
OG0000175	g45857	CARHR023910
OG0000175	g29297	CARHR198650
OG0000175	g50814	CARHR142560
OG0000177	g36879	CARHR054130, CARHR287770
OG0000177	g27488, g50732, g31972	CARHR181970
OG0000178	g40442	CARHR253020
OG0000178	g45158	CARHR252970, CARHR263930
OG0000178	g45173	CARHR252960
OG0000179	g31539, g1718	CARHR123300
OG0000179	g44052	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010
OG0000183	g18117	CARHR215030, CARHR058380
OG0000183	g40143	CARHR119300
OG0000184	g17322, g17326, g17324, g17323, g17327, g17334, g17336, g17332	CARHR097880, CARHR097910
OG0000184	g11846	CARHR097890, CARHR097900
OG0000185	g11864	CARHR279920
OG0000186	g14029	CARHR211050
OG0000187	g17092	CARHR112670, CARHR112680
OG0000189	g47947	CARHR244350
OG0000189	g18237	CARHR108220
OG0000189	g50117	CARHR069390, CARHR020570
OG0000192	g25904	CARHR233830
OG0000192	g25911	CARHR014050
OG0000193	g27763	CARHR036380, CARHR036970
OG0000193	g39564, g2101	CARHR091810, CARHR031310
OG0000196	g43806, g43821, g2891	CARHR272920
OG0000196	g53971	CARHR291930
OG0000196	g43782, g43797	CARHR291950
OG0000196	g53972	CARHR288130, CARHR291940, CARHR213880
OG0000197	g24122	CARHR215070, CARHR051370, CARHR215060, CARHR215050, CARHR215370, CARHR226280, CARHR226370
OG0000198	g25893	CARHR144080
OG0000198	g31564	CARHR015470
OG0000198	g49926	CARHR015480
OG0000199	g47707	CARHR237670
OG0000200	g27686	CARHR028750, CARHR037140
OG0000203	g18958	CARHR168640
OG0000203	g2360	CARHR168730, CARHR168740
OG0000205	g11567	CARHR286250, CARHR105060, CARHR218440
OG0000209	g5026	CARHR035940, CARHR010330
OG0000209	g12731	CARHR014740, CARHR010320
OG0000210	g26821	CARHR057970
OG0000210	g1914	CARHR069160, CARHR059610
OG0000215	g449	CARHR033990, CARHR055980, CARHR108830
OG0000216	g25664	CARHR253870
OG0000216	g41090, g41083, g41086	CARHR054340
OG0000216	g41087	CARHR054360
OG0000219	g27764, g39817	CARHR065380
OG0000225	g4046	CARHR180390
OG0000225	g4045	CARHR141370
OG0000226	g17691, g17690, g17692	CARHR058450
OG0000229	g13978	CARHR062190
OG0000229	g26214, g10490, g22460, g24726	CARHR004570
OG0000230	g18915	CARHR169340
OG0000230	g2000	CARHR169400
OG0000233	g45483	CARHR205610
OG0000233	g29622	CARHR205600, CARHR205590, CARHR205580
OG0000235	g11302	CARHR073970, CARHR170750
OG0000236	g11672	CARHR062590, CARHR062610, CARHR102640
OG0000236	g13483	CARHR000080, CARHR100230
OG0000237	g11805	CARHR098530
OG0000237	g36933	CARHR238210, CARHR097380
OG0000238	g44677	CARHR064100, CARHR064090
OG0000239	g2261, g45344, g44563, g51060, g10741, g28476, g5898, g32750	CARHR113140
OG0000241	g17320	CARHR228610, CARHR252730, CARHR107520
OG0000242	g12521	CARHR183240
OG0000242	g10112	CARHR175670
OG0000243	g27682	CARHR028830
OG0000244	g25493	CARHR251320, CARHR252330, CARHR252290
OG0000246	g37185	CARHR131170, CARHR131180
OG0000246	g51603	CARHR131110
OG0000249	g34924, g34773, g26678	CARHR014080
OG0000251	g16641	CARHR147330, CARHR147340
OG0000252	g40852	CARHR048360, CARHR048350, CARHR048370
OG0000252	g46370	CARHR071040
OG0000253	g54073	CARHR083800, CARHR083820, CARHR083810
OG0000253	g12277	CARHR087080
OG0000253	g7492	CARHR083850
OG0000253	g5784, g45315	CARHR000060, CARHR229590, CARHR210880
OG0000254	g47117	CARHR290080
OG0000254	g47115	CARHR290060, CARHR290070, CARHR290100, CARHR290090
OG0000257	g19589	CARHR216400, CARHR216420
OG0000257	g46235	CARHR069250, CARHR069290, CARHR069270
OG0000259	g1607	CARHR135220, CARHR117790
OG0000259	g6897	CARHR093470, CARHR093450
OG0000260	g1632	CARHR149040
OG0000260	g24958	CARHR181000
OG0000262	g24889	CARHR051080, CARHR046940
OG0000265	g30948, g25301, g11542, g43509, g3110, g32825, g14672	CARHR033470, CARHR263710, CARHR257150, CARHR159730, CARHR113850
OG0000266	g28434, g45026	CARHR266780, CARHR224090, CARHR036480
OG0000268	g35054, g25240, g11530, g44991	CARHR181110
OG0000268	g53121, g53878, g53859, g50734	CARHR154180
OG0000269	g28758	CARHR273300
OG0000269	g39974	CARHR122830
OG0000270	g41044	CARHR046830, CARHR048520, CARHR048230, CARHR055280
OG0000270	g33428	CARHR051040
OG0000270	g40880	CARHR048470, CARHR048080, CARHR051150, CARHR055290, CARHR048540, CARHR048090, CARHR048780
OG0000275	g22735	CARHR246950
OG0000277	g18216, g23060, g18323	CARHR243020, CARHR247840
OG0000277	g50111, g27445, g31888	CARHR020400
OG0000278	g14307	CARHR215670, CARHR215220
OG0000278	g46809, g46812, g46827	CARHR215570, CARHR215560, CARHR215610, CARHR215640, CARHR215620, CARHR215650, CARHR215200
OG0000279	g40527, g40528, g40529	CARHR094510
OG0000282	g47412	CARHR229020, CARHR229730
OG0000282	g53736	CARHR229010, CARHR229580, CARHR229030, CARHR229040, CARHR229110, CARHR229050, CARHR229070, CARHR283650, CARHR229570
OG0000285	g47372	CARHR227980
OG0000285	g23645	CARHR234950
OG0000285	g17338	CARHR164950
OG0000286	g41270	CARHR232240
OG0000289	g39775	CARHR116010, CARHR127060
OG0000289	g39783	CARHR127090
OG0000291	g11641, g53214, g52576, g53200	CARHR103190, CARHR103130
OG0000294	g51379, g32720, g28307, g28263	CARHR058080
OG0000294	g25697	CARHR198380
OG0000295	g27709	CARHR223360
OG0000296	g1252, g28701, g28702	CARHR285460, CARHR285480
OG0000296	g28714	CARHR272760, CARHR053670, CARHR272770
OG0000296	g1225	CARHR272750
OG0000297	g30421, g30418, g30424, g30425, g21279, g20461	CARHR115150
OG0000298	g16334	CARHR033060
OG0000298	g16330	CARHR033080
OG0000298	g32687	CARHR033050
OG0000305	g53520, g51878	CARHR260510, CARHR135390
OG0000306	g13807, g46733	CARHR214120, CARHR262590
OG0000307	g24015, g31669, g11568	CARHR220080
OG0000307	g36491	CARHR041320
OG0000308	g39732	CARHR180250
OG0000308	g11113, g11114	CARHR180280
OG0000309	g849, g41323	CARHR274060
OG0000309	g28817	CARHR007730, CARHR204750
OG0000311	g20487	CARHR111770
OG0000312	g49078, g28337, g53936, g25486, g44392	CARHR119980
OG0000312	g14467, g35227	CARHR284410
OG0000313	g13846	CARHR111260
OG0000313	g23784	CARHR135320
OG0000314	g1672	CARHR213600
OG0000314	g6082, g4525, g37385	CARHR287660
OG0000314	g28453, g9121, g30700, g27333	CARHR006310
OG0000316	g12167, g12172	CARHR057270
OG0000318	g43847	CARHR073450, CARHR062770, CARHR062740, CARHR057010, CARHR016600, CARHR062730, CARHR062760
OG0000318	g49471	CARHR004290
OG0000321	g54159	CARHR095140, CARHR040120
OG0000321	g41419	CARHR193110, CARHR193130
OG0000321	g666	CARHR055410
OG0000322	g10751, g26081, g26058, g3407, g30889, g27502, g27505	CARHR259720
OG0000325	g26947, g49462	CARHR004130
OG0000325	g51329	CARHR127110
OG0000325	g30904	CARHR004140
OG0000329	g24516, g24521	CARHR220880
OG0000329	g37784, g53311, g37787, g53330, g53326, g53348, g53328, g46723	CARHR263560, CARHR263570
OG0000330	g44587	CARHR065880
OG0000331	g25429, g39522	CARHR249810
OG0000331	g26892	CARHR001810
OG0000331	g6947	CARHR092710
OG0000332	g24568, g44176	CARHR050960, CARHR050950, CARHR055150, CARHR050930, CARHR051060, CARHR050990, CARHR051100, CARHR051090, CARHR051110, CARHR051120, CARHR050970, CARHR050980, CARHR050860
OG0000335	g1956	CARHR169770, CARHR170010
OG0000336	g31190, g27091, g27095, g31209	CARHR054330, CARHR054520, CARHR009570, CARHR009660, CARHR183900
OG0000341	g53570, g31035	CARHR038710, CARHR038690, CARHR038330
OG0000341	g54095	CARHR038630
OG0000344	g36278	CARHR119930
OG0000345	g29557, g39719	CARHR203880, CARHR006290
OG0000345	g45514	CARHR203890
OG0000345	g26927, g49447, g30863	CARHR003600, CARHR203870
OG0000346	g2365	CARHR163180
OG0000346	g10579	CARHR147230
OG0000347	g52289	CARHR141230
OG0000348	g50668	CARHR286050, CARHR149600, CARHR292690
OG0000349	g1278	CARHR273130
OG0000349	g28755, g1676	CARHR273200, CARHR273170, CARHR273210, CARHR273220
OG0000350	g13403, g13402	CARHR097870
OG0000356	g50999	CARHR117270
OG0000357	g32419, g32420, g50521	CARHR128500, CARHR029510
OG0000358	g54187	CARHR041650, CARHR259760
OG0000358	g11643	CARHR041640
OG0000359	g23616	CARHR235380
OG0000362	g35345, g4371	CARHR056490
OG0000362	g43613, g4131, g4234, g3255, g33492, g25276, g43263, g20304, g3787, g16102, g4130, g35341, g25266, g43262, g41821, g36457, g12619, g25261, g25259, g43259, g33494, g3251, g25071, g9678, g35281, g34308, g9679, g35248	CARHR266430, CARHR150180
OG0000363	g27806	CARHR071990
OG0000363	g50959	CARHR119900
OG0000365	g27592	CARHR025550
OG0000365	g24049	CARHR227340
OG0000365	g50367	CARHR025540, CARHR025530
OG0000368	g11421	CARHR155090
OG0000368	g11422	CARHR154970
OG0000369	g4480, g4569, g4675, g4768, g6892, g51876, g6424	CARHR293630, CARHR283580, CARHR058390, CARHR059500, CARHR186430, CARHR116680
OG0000370	g6467	CARHR033610, CARHR100280, CARHR100270, CARHR288610, CARHR033580, CARHR288600, CARHR033590, CARHR288590, CARHR100310, CARHR288580
OG0000376	g41000	CARHR051700
OG0000377	g47983	CARHR245750
