Orthogroup	Cochlearia_excelsa	Raphanus_sativus
OG0000009	g9848	XP_018473658.1
OG0000009	g10580, g39986, g32058	XP_018479324.1, XP_018463676.1, XP_018474023.1
OG0000009	g11275, g53238, g41488, g4401, g4394, g44957	XP_018467418.1, XP_018443533.1, XP_018481184.1
OG0000009	g23979, g28647, g29131, g1512	XP_018459193.1
OG0000011	g18071, g2721, g42559, g4725, g47538	XP_018448673.1, XP_018475002.1
OG0000011	g16517, g46209, g52302, g50725, g9756, g40322, g40680, g46208, g46628, g28265, g45606, g286, g36844, g27603	XP_018463028.1, XP_018463180.1, XP_018448497.1, XP_018479701.1, XP_018482968.1
OG0000011	g450, g26627, g32634	XP_018444097.1
OG0000011	g24975	XP_018448643.1, XP_018436024.1
OG0000012	g4219, g9033, g16484, g37833	XP_018463968.1, XP_018477654.1
OG0000012	g26075	XP_018458558.1
OG0000014	g19791, g52909, g26674, g4300, g16405, g35809, g35692, g30259, g7994, g4606, g8736, g49794, g48035, g14367, g53110, g14694, g52347, g16258, g8788, g36341, g30447, g14547, g14537, g14496, g14517, g14826, g9281, g32574, g25814, g30464, g25793, g16617, g25898, g42953, g14379, g33305	XP_018487321.1
OG0000014	g53893	XP_018443681.1
OG0000014	g18001, g43148, g43743	XP_018461000.1
OG0000015	g40287, g1783, g27896	XP_018443665.1
OG0000015	g35685, g35700, g28764, g6769, g3173	XP_018435929.1
OG0000015	g35711, g1865, g12584, g7633, g12284, g26669, g5447, g48096, g4042, g4014, g39164, g21912, g30179, g14948, g12283, g35471, g16154, g26107, g17276, g2986, g25292, g34684, g35217, g7329, g39702	XP_018475313.1
OG0000015	g47632, g3363, g40591, g43089, g38797	XP_018459146.1
OG0000015	g40286, g1778	XP_018463612.1
OG0000016	g4159, g25159, g15828, g15815, g15878, g4181, g6384, g33081, g33074	XP_018466545.1, XP_018464905.1, XP_018465409.1, XP_018443351.1
OG0000016	g42778	XP_018467165.1
OG0000018	g16177, g16042, g30020, g19811, g42269	XP_018453711.1
OG0000018	g33163, g35707, g33621, g38595, g9170, g39203, g9232, g30079, g20922, g8680, g43303, g22450, g49080, g20884, g34255, g30334, g35739, g35715, g3557, g3800, g1406, g1731, g34303, g45124, g36592, g30241, g22178, g22177, g42074, g15587, g26133, g49000, g33242, g48916, g46455, g52653, g21880, g41722, g34939, g34229, g43876, g53716, g41538, g11427, g38783, g34799, g53178, g33713, g49263, g42960, g3085, g25310, g15011, g49060, g36788, g19945, g48662, g52301, g25141, g34307, g4841, g34516, g15876, g22231, g15499, g33620, g26661, g14696, g4267, g52726, g11575, g52999, g34386, g16152, g4546, g5989, g35625, g4708, g34558, g15594, g14708, g22069, g36940, g30064, g35434, g42919, g3581, g32708, g43865, g34852, g53011, g52932, g20839, g24984	XP_018467280.1
OG0000018	g33005, g53278, g19683, g22234, g51731, g34890, g3864, g10611, g28170, g22394, g33570, g53344, g35609, g51672, g49114, g49115, g30157, g43714, g28244, g43633, g17767, g35905, g2894, g43959, g41522, g3546, g48225, g53242, g30072	XP_018487785.1
OG0000018	g17238, g26234, g3502, g26941	XP_018448678.1
OG0000018	g22151, g4429, g25015, g53118, g3760, g25775, g17839	XP_018458644.1, XP_018474819.1
OG0000018	g35215, g26838	XP_018459885.1, XP_018464831.1
OG0000018	g11598, g33221, g14706, g33225, g52456, g35650	XP_018458866.1
OG0000020	g32689, g14805	XP_018439110.1
OG0000020	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003	XP_018448670.1, XP_018448669.1
OG0000020	g4186	XP_018460984.1, XP_018460983.1
OG0000020	g41999, g23596, g2978, g27048, g42255, g42252, g11710, g15029, g14580	XP_018463453.1
OG0000021	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331	XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000022	g17118	XP_018467852.1
OG0000022	g5030	XP_018446660.1
OG0000022	g40889	XP_018452507.1
OG0000022	g40888	XP_018456914.1, XP_018456330.1
OG0000022	g13269	XP_018478989.1, XP_018437843.1
OG0000023	g42233, g26587	XP_018453821.1, XP_018460031.1, XP_018458661.1, XP_018448717.1, XP_018458592.1
OG0000023	g42217, g52731, g52732	XP_018459711.1
OG0000023	g53561	XP_018443767.1
OG0000023	g9298	XP_018458912.1
OG0000023	g32788, g15663	XP_018475621.1
OG0000023	g44912, g15122	XP_018462951.1
OG0000023	g6328, g34729	XP_018480111.1
OG0000024	g43450	XP_018485466.1, XP_018482596.1
OG0000024	g43469	XP_018458976.1, XP_018467451.1
OG0000024	g40788	XP_018467712.1, XP_018467711.1
OG0000024	g2269	XP_018487153.1
OG0000024	g28294	XP_018448575.1, XP_018448576.1
OG0000025	g14578, g6312	XP_018464148.1, XP_018488093.1, XP_018487713.1
OG0000025	g17280, g46637, g25246, g50791	XP_018487947.1
OG0000025	g41992, g4231, g43283, g2973, g25191, g33391, g33119	XP_018436069.1, XP_018453740.1, XP_018448718.1, XP_018463452.1
OG0000025	g14806, g32688	XP_018435935.1, XP_018448760.1, XP_018471288.1, XP_018462638.1, XP_018443466.1, XP_018487867.1, XP_018463331.1, XP_018480029.1, XP_018487802.1, XP_018476186.1, XP_018475505.1, XP_018475511.1, XP_018435267.1
OG0000026	g28599	XP_018465470.1, XP_018487975.1, XP_018487976.1, XP_018448492.1, XP_018487480.1, XP_018440445.1, XP_018458044.1, XP_018462689.1, XP_018458371.1, XP_018479432.1, XP_018432616.1, XP_018489035.1, XP_018448499.1, XP_018463920.1
OG0000027	g25723	XP_018476504.1, XP_018476512.1, XP_018454315.1
OG0000027	g47441	XP_018478194.1, XP_018483533.1
OG0000027	g40374	XP_018454312.1
OG0000027	g25720	XP_018454316.1
OG0000028	g972, g12012	XP_018467289.1, XP_018480012.1
OG0000030	g38367, g38376, g38372, g38380	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	g13799, g13797	XP_018453970.1
OG0000030	g13193, g13194	XP_018488225.1
OG0000030	g44631	XP_018454017.1
OG0000031	g42618	XP_018459624.1
OG0000031	g39351, g7244, g17718, g41293	XP_018478951.1, XP_018466108.1, XP_018448402.1, XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1, XP_018461346.1, XP_018453981.1, XP_018458946.1, XP_018480196.1, XP_018479743.1, XP_018443765.1, XP_018474115.1, XP_018448786.1, XP_018479710.1, XP_018459816.1, XP_018465887.1, XP_018453952.1, XP_018466560.1, XP_018461533.1, XP_018453567.1, XP_018459998.1, XP_018475205.1, XP_018458923.1, XP_018458922.1, XP_018435841.1, XP_018487910.1, XP_018460440.1, XP_018467136.1, XP_018487892.1, XP_018459206.1, XP_018487780.1, XP_018473845.1, XP_018435693.1, XP_018443503.1, XP_018488048.1, XP_018459566.1, XP_018462082.1, XP_018458803.1, XP_018458802.1, XP_018464385.1, XP_018463234.1, XP_018470686.1, XP_018474238.1, XP_018461195.1, XP_018454095.1, XP_018465810.1, XP_018436319.1, XP_018435367.1, XP_018464700.1, XP_018435915.1, XP_018453434.1, XP_018467690.1, XP_018474461.1
OG0000032	g41784, g34309, g35282, g25262	XP_018459344.1
OG0000032	g35344, g3253	XP_018463603.1
OG0000032	g13754, g16096	XP_018487411.1
OG0000032	g29531	XP_018487719.1
OG0000032	g43754, g15954, g20915, g49592, g25930, g51375	XP_018482431.1
OG0000032	g15953, g5354	XP_018453806.1
OG0000032	g4129, g3254, g35284	XP_018465781.1, XP_018487698.1, XP_018487412.1
OG0000032	g43260, g33493	XP_018461054.1, XP_018461372.1, XP_018487881.1, XP_018435314.1, XP_018460966.1, XP_018460967.1, XP_018463613.1, XP_018460165.1, XP_018460166.1
OG0000032	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006	XP_018461981.1
OG0000034	g23911	XP_018468503.1
OG0000034	g24014	XP_018460842.1, XP_018460841.1, XP_018484117.1, XP_018484118.1
OG0000034	g50699	XP_018465156.1, XP_018456565.1, XP_018460473.1, XP_018455179.1
OG0000034	g23912	XP_018448921.1, XP_018448031.1
OG0000034	g23905	XP_018468505.1, XP_018467312.1
OG0000037	g7213, g53871, g3476, g35300, g36731, g39939, g43484, g3122, g42447, g53622, g33284, g26681, g3179, g52391, g52375, g52825, g16753, g36949	XP_018479626.1
OG0000038	g45065	XP_018480059.1
OG0000038	g2497	XP_018461383.1
OG0000038	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104	XP_018460335.1
OG0000038	g37189, g19190, g1372	XP_018473825.1, XP_018473822.1, XP_018459307.1
OG0000038	g23926, g16819, g41305	XP_018487887.1
OG0000038	g17792, g36174, g23490, g16728, g27674, g23073, g13751, g22731, g33053, g2447, g33047, g45986, g32349, g28998, g22798, g37935, g41306	XP_018435407.1
OG0000039	g20963	XP_018463371.1
OG0000039	g8953, g38980, g39170, g39173, g48500	XP_018459976.1
OG0000039	g34037, g33722, g43382, g8379	XP_018462025.1
OG0000039	g26569, g20644	XP_018459607.1
OG0000040	g49152	XP_018458169.1, XP_018474020.1, XP_018453898.1, XP_018467584.1
OG0000040	g52948, g41631, g41632, g25133, g49021	XP_018467788.1
OG0000040	g32821, g17388, g28310, g1466, g41711, g22786	XP_018460803.1, XP_018487809.1
OG0000041	g147, g45167, g24813	XP_018457107.1, XP_018457108.1
OG0000041	g2502, g53420, g1493, g39805, g10790, g44228, g51916, g7666, g10267	XP_018489919.1, XP_018475022.1
OG0000041	g19447	XP_018479944.1, XP_018479945.1
OG0000041	g51517, g45168, g27877	XP_018472294.1
OG0000041	g45435	XP_018448715.1
OG0000042	g8825	XP_018467507.1
OG0000042	g38829, g20859, g48552, g53555, g47921	XP_018459378.1
OG0000042	g6307, g53556	XP_018467598.1, XP_018463824.1
OG0000042	g40104, g13786, g31186, g8826, g30544	XP_018487979.1, XP_018464723.1, XP_018479566.1, XP_018436185.1, XP_018436037.1, XP_018487653.1, XP_018436040.1, XP_018475164.1, XP_018435669.1, XP_018462250.1, XP_018459297.1, XP_018480155.1, XP_018487654.1, XP_018472601.1, XP_018473860.1, XP_018467317.1
OG0000043	g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434	XP_018465687.1
OG0000043	g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657, g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242, g35546, g43537, g43528, g43532	XP_018460645.1, XP_018474025.1, XP_018435759.1
OG0000044	g10944	XP_018448890.1
OG0000044	g18482	XP_018441634.1
OG0000044	g28154	XP_018444272.1, XP_018449076.1, XP_018449081.1, XP_018460032.1, XP_018446476.1
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490, g3382, g2931	XP_018472630.1
OG0000046	g36166, g26196, g11589, g33267	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000047	g26172, g9204, g7013, g46294, g36204	XP_018479427.1, XP_018479426.1, XP_018462781.1, XP_018454077.1, XP_018459807.1, XP_018479622.1, XP_018477313.1, XP_018460720.1, XP_018467566.1, XP_018435405.1, XP_018458916.1, XP_018467233.1, XP_018463074.1
OG0000047	g20823, g3147	XP_018479492.1, XP_018458501.1
OG0000047	g13890, g6966, g4624, g32714, g53873, g44165	XP_018466684.1
OG0000047	g33013, g36953, g26773	XP_018453678.1
OG0000048	g51285	XP_018436807.1
OG0000048	g39852, g39841	XP_018467221.1, XP_018487960.1, XP_018443410.1, XP_018444815.1, XP_018442224.1
OG0000048	g3814, g51286	XP_018436322.1
OG0000048	g29294, g52069, g52073, g52064	XP_018453414.1
OG0000049	g20917, g29939, g20308, g28559, g25198, g14254, g2520	XP_018479358.1
OG0000049	g41705	XP_018466999.1
OG0000049	g19076, g35468	XP_018487786.1
OG0000049	g10538	XP_018467582.1
OG0000049	g53518, g52242, g24468, g36593, g41271, g17503, g18187, g32897, g36595, g17180	XP_018479887.1
OG0000049	g10090	XP_018453597.1
OG0000050	g32289, g4074	XP_018462198.1
OG0000050	g19665	XP_018487487.1
OG0000050	g44252	XP_018467601.1, XP_018488190.1, XP_018436128.1
OG0000050	g3	XP_018487633.1, XP_018443603.1, XP_018443602.1, XP_018459618.1
OG0000050	g182	XP_018479406.1, XP_018479867.1, XP_018448690.1, XP_018473761.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1
OG0000051	g37450	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	g10535	XP_018454118.1
OG0000052	g19225	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000052	g2410	XP_018433197.1, XP_018454367.1, XP_018454366.1
OG0000052	g11017	XP_018461352.1, XP_018478506.1, XP_018461349.1, XP_018461351.1, XP_018461348.1, XP_018477431.1
OG0000054	g53199	XP_018460118.1
OG0000054	g34524, g34533, g30257	XP_018487733.1
OG0000054	g14843	XP_018466277.1, XP_018487763.1
OG0000054	g36350, g15005	XP_018462240.1
OG0000054	g14381, g4607, g48037, g52357, g16667	XP_018453724.1
OG0000054	g49166, g4254	XP_018436134.1
OG0000055	g27361	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	g50182, g50184, g50186	XP_018489800.1, XP_018487552.1
OG0000055	g48153, g33340, g33319, g33329, g48170, g15766	XP_018435448.1, XP_018464098.1, XP_018440394.1
OG0000056	g44205	XP_018458632.1
OG0000056	g40901	XP_018456965.1
OG0000058	g3196	XP_018467931.1, XP_018487493.1
OG0000058	g33000, g41178, g43966, g49100	XP_018464202.1, XP_018477823.1, XP_018458662.1
OG0000059	g1329	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1
OG0000060	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647	XP_018490753.1, XP_018450800.1, XP_018478486.1, XP_018489416.1, XP_018474564.1, XP_018436511.1, XP_018437089.1, XP_018465956.1, XP_018439064.1, XP_018465955.1, XP_018434873.1, XP_018486629.1, XP_018466002.1, XP_018463191.1, XP_018473023.1, XP_018450799.1, XP_018450669.1, XP_018478406.1
OG0000061	g41322	XP_018463136.1, XP_018463514.1
OG0000061	g50013	XP_018467401.1
OG0000063	g31405	XP_018473954.1
OG0000063	g24215	XP_018463363.1, XP_018463353.1
OG0000063	g18404, g25742, g50268, g46262, g45401, g3397, g46693, g52815, g32214, g16019, g49776	XP_018487874.1
OG0000065	g17485	XP_018479733.1, XP_018460986.1
OG0000065	g44951	XP_018442725.1
OG0000065	g46717	XP_018435200.1, XP_018462982.1, XP_018481866.1, XP_018462609.1, XP_018479313.1, XP_018464676.1, XP_018481217.1
OG0000066	g31166, g49660, g5416, g9719, g156, g29501, g45535	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	g5393	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000067	g53765, g43703, g25474, g28245, g45296, g49160, g47659	XP_018448865.1
OG0000067	g12886	XP_018467522.1
OG0000067	g12885, g12881, g7910, g3384, g17624, g3851	XP_018436246.1, XP_018436236.1
OG0000067	g3852, g51126, g3385, g51838	XP_018465377.1, XP_018459048.1, XP_018479351.1
OG0000067	g1262, g51839, g3386, g46383, g48919	XP_018465047.1, XP_018466955.1, XP_018435862.1
OG0000068	g27956, g25385, g25390, g46783	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1, XP_018481460.1, XP_018464891.1, XP_018483168.1, XP_018482126.1, XP_018481938.1, XP_018443542.1, XP_018465698.1, XP_018482079.1, XP_018478114.1, XP_018478695.1, XP_018478694.1, XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018479852.1, XP_018451192.1, XP_018451190.1, XP_018433874.1, XP_018433854.1, XP_018433855.1, XP_018433875.1, XP_018452236.1
OG0000069	g13531	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000069	g1465, g1180, g34298	XP_018479217.1, XP_018479215.1, XP_018479201.1, XP_018465639.1, XP_018438799.1, XP_018484272.1, XP_018484259.1, XP_018461828.1, XP_018437258.1, XP_018475087.1, XP_018479296.1, XP_018479295.1, XP_018465128.1
OG0000070	g10675	XP_018439895.1, XP_018455246.1
OG0000070	g50123	XP_018435343.1
OG0000070	g46242	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000073	g4931	XP_018459767.1, XP_018461176.1, XP_018435690.1
OG0000073	g36963, g43389, g14644, g41342	XP_018487884.1
OG0000073	g37235, g35439	XP_018466035.1, XP_018479807.1, XP_018479806.1, XP_018464863.1, XP_018435628.1, XP_018435716.1, XP_018453603.1, XP_018479700.1, XP_018461244.1, XP_018448444.1, XP_018488025.1, XP_018459279.1, XP_018474107.1, XP_018461598.1, XP_018465876.1, XP_018453526.1, XP_018453814.1, XP_018448666.1, XP_018488029.1, XP_018448543.1, XP_018435276.1
OG0000073	g10624, g41852	XP_018454215.1, XP_018480096.1, XP_018488216.1, XP_018448680.1, XP_018479220.1, XP_018487835.1, XP_018448417.1
OG0000073	g41608	XP_018443374.1, XP_018460643.1
OG0000073	g51830	XP_018460808.1, XP_018487855.1, XP_018460517.1
OG0000073	g4275, g38079, g25547	XP_018479682.1
OG0000074	g25623, g25627, g44201, g37854	XP_018453670.1
OG0000074	g22865, g25239	XP_018487609.1
OG0000074	g43483	XP_018478850.1
OG0000074	g50927, g53476, g50930, g43482	XP_018435497.1
OG0000074	g14513, g14502, g14522	XP_018460750.1, XP_018435910.1
OG0000074	g48940	XP_018477791.1
OG0000074	g1489	XP_018473819.1
OG0000074	g14333	XP_018479581.1
OG0000074	g51667	XP_018463289.1
OG0000074	g51639, g51642, g52234	XP_018435955.1, XP_018435897.1
OG0000075	g1450	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000075	g25975, g22716	XP_018481197.1, XP_018459483.1
