Orthogroup	Rorippa_islandica	Raphanus_sativus
OG0000069	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p, Roisl.0115s0002.1.p	XP_018458214.1, XP_018435567.1, XP_018479283.1, XP_018458190.1
OG0000069	Roisl.0019s0342.1.p	XP_018467622.1
OG0000069	Roisl.0055s0038.1.p	XP_018475767.1, XP_018479965.1, XP_018479843.1
OG0000070	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	XP_018439895.1, XP_018455246.1
OG0000070	Roisl.0007s0115.1.p	XP_018435343.1
OG0000070	Roisl.0004s0297.1.p	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000073	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p	XP_018474076.1, XP_018443369.1, XP_018435645.1, XP_018466991.1, XP_018487884.1, XP_018487997.1, XP_018436409.1
OG0000073	Roisl.0041s0046.1.p	XP_018460808.1, XP_018487855.1, XP_018460517.1
OG0000073	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p, Roisl.0053s0105.1.p	XP_018479682.1
OG0000074	Roisl.0054s0034.1.p	XP_018477791.1, XP_018473819.1, XP_018479581.1
OG0000075	Roisl.0214s0076.1.p	XP_018467919.1, XP_018459482.1, XP_018471019.1, XP_018453598.1
OG0000075	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p	XP_018481197.1, XP_018459483.1
OG0000076	Roisl.0115s0707.1.p	XP_018480217.1
OG0000077	Roisl.0012s0354.1.p	XP_018455183.1
OG0000077	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p	XP_018473635.1, XP_018473636.1, XP_018483784.1
OG0000077	Roisl.0214s0808.1.p	XP_018438135.1
OG0000077	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p	XP_018435698.1
OG0000077	Roisl.0214s0806.1.p	XP_018468968.1
OG0000077	Roisl.0005s0364.1.p	XP_018455896.1, XP_018472848.1
