Orthogroup	Rorippa_islandica	Eutrema_salsugineum
OG0000012	Roisl.0011s0567.1.p, Roisl.0198s0021.1.p, Roisl.0082s0083.1.p	XP_024010254.1, XP_024009382.1, XP_024009379.1, XP_024004817.1, XP_024016208.1, XP_024013308.1, XP_024006882.1, XP_024015930.1, XP_024014989.1, XP_024006092.1, XP_024013538.1, XP_024013984.1, XP_024013319.1, XP_024007927.1, XP_024006840.1, XP_024006606.1, XP_024009011.1, XP_024010250.1, XP_024014667.1, XP_024007778.1, XP_024013297.1, XP_024004787.1, XP_024009476.1, XP_024014518.1, XP_024009301.1, XP_024004077.1, XP_024011119.1, XP_024009973.1, XP_024016528.1, XP_024010312.1, XP_024006271.1, XP_024011218.1, XP_024016237.1, XP_024016855.1, XP_024007215.1, XP_024011231.1
OG0000014	Roisl.0082s0067.1.p	XP_024006535.1
OG0000014	Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p	XP_006408809.2
OG0000014	Roisl.0071s0004.1.p	XP_024013164.1
OG0000014	Roisl.0061s0004.1.p	XP_024006470.1
OG0000014	Roisl.0214s0137.1.p	XP_024013196.1, XP_024005930.1, XP_024011382.1, XP_024011409.1
OG0000015	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p	XP_024006143.1
OG0000015	Roisl.0010s0007.1.p	XP_024009420.1
OG0000015	Roisl.0214s0740.1.p	XP_024012449.1
OG0000016	Roisl.0189s0040.1.p, Roisl.0012s0157.1.p, Roisl.0020s0151.1.p, Roisl.0209s0003.1.p	XP_024014539.1
OG0000016	Roisl.0210s2086.1.p	XP_024010588.1
OG0000016	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p	XP_024013310.1
OG0000016	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p	XP_024009219.1
OG0000016	Roisl.0214s0144.1.p, Roisl.0027s0150.1.p	XP_024015974.1, XP_024014531.1
OG0000016	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p	XP_024010546.1
OG0000020	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p	XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000021	Roisl.0198s0008.1.p	XP_024013384.1
OG0000021	Roisl.0014s0139.1.p	XP_024008232.1
OG0000022	Roisl.0022s0346.1.p	XP_006413138.1
OG0000022	Roisl.0210s1365.1.p	XP_006400202.2
OG0000022	Roisl.0010s0095.1.p, Roisl.0010s0161.1.p, Roisl.0010s0065.1.p	XP_006391833.2
OG0000022	Roisl.0008s0014.1.p, Roisl.0010s0121.1.p	XP_006391821.1, XP_006391819.1, XP_006391862.1, XP_006391806.1, XP_006391783.1, XP_006391822.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000022	Roisl.0028s0598.1.p, Roisl.0010s0069.1.p	XP_006391829.2
OG0000022	Roisl.0021s0361.1.p	XP_006417237.2
OG0000022	Roisl.0021s0350.1.p	XP_006417199.1, XP_006417205.1, XP_006417216.1
OG0000022	Roisl.0091s0926.1.p	XP_024008093.1
OG0000022	Roisl.0050s0031.1.p	XP_006391605.2
OG0000022	Roisl.0009s0109.1.p	XP_024014798.1
OG0000022	Roisl.0074s0275.1.p	XP_024015415.1
OG0000024	Roisl.0015s0178.1.p	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000024	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p	XP_006402766.1
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	XP_024007336.1
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	XP_024014962.1, XP_024010657.1, XP_024004987.1, XP_024006404.1, XP_024015864.1, XP_024007297.1, XP_024014500.1, XP_024012918.1
OG0000027	Roisl.0213s0580.1.p, Roisl.0213s0582.1.p	XP_024009838.1, XP_006396897.2
OG0000027	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p	XP_024010236.1
OG0000027	Roisl.0008s0130.1.p	XP_006413565.1
OG0000027	Roisl.0184s0126.1.p	XP_024013896.1
OG0000027	Roisl.0008s0079.1.p	XP_006413569.1
OG0000027	Roisl.0008s0069.1.p	XP_024004623.1
OG0000027	Roisl.0008s0076.1.p	XP_006413573.1
OG0000029	Roisl.0208s0029.1.p	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	Roisl.0046s0705.1.p	XP_024004858.1
OG0000029	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p	XP_024013922.1
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p	XP_006391637.1
OG0000030	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	XP_024008003.1
OG0000030	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p	XP_024009293.1
OG0000030	Roisl.0046s0887.1.p	XP_024016186.1
OG0000030	Roisl.0042s0059.1.p	XP_024010547.1, XP_024015244.1
OG0000031	Roisl.0023s0119.1.p	XP_024014022.1
OG0000031	Roisl.0048s0016.1.p	XP_024016318.1
OG0000031	Roisl.0055s0036.1.p	XP_024010150.1
OG0000031	Roisl.0184s0068.1.p, Roisl.0049s0004.1.p, Roisl.0062s0017.1.p, Roisl.0025s0030.1.p, Roisl.0009s0259.1.p, Roisl.0214s0052.1.p	XP_024013201.1
OG0000031	Roisl.0005s0331.1.p, Roisl.0066s0444.1.p, Roisl.0048s0034.1.p, Roisl.0208s0036.1.p, Roisl.0011s0471.1.p	XP_024015905.1, XP_024008086.1
OG0000031	Roisl.0020s0186.1.p	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1
OG0000031	Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p	XP_024010652.1, XP_024013936.1, XP_024010348.1, XP_024013381.1, XP_024010913.1, XP_024006569.1
OG0000031	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p	XP_024008010.1, XP_024009300.1, XP_024006120.1
OG0000032	Roisl.0029s0063.1.p	XP_024004841.1, XP_024010402.1
OG0000032	Roisl.0188s0018.1.p	XP_024009276.1, XP_024004049.1
OG0000034	Roisl.0008s0068.1.p	XP_006413571.1, XP_024010975.1
OG0000034	Roisl.0008s0077.1.p	XP_006413574.2
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p, Roisl.0091s0190.1.p	XP_024005104.1
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	XP_006413567.2
OG0000034	Roisl.0019s0659.1.p	XP_024004626.1
OG0000034	Roisl.0214s0905.1.p	XP_006413576.1
OG0000035	Roisl.0213s0218.1.p	XP_024010425.1, XP_024007977.1
OG0000035	Roisl.0038s0018.1.p, Roisl.0082s0037.1.p, Roisl.0213s0025.1.p	XP_024007976.1, XP_024016141.1
OG0000035	Roisl.0214s0147.1.p	XP_006393440.2
OG0000038	Roisl.0024s0539.1.p	XP_024006448.1
OG0000040	Roisl.0012s0376.1.p	XP_024006069.1
OG0000040	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p, Roisl.0209s0082.1.p, Roisl.0019s0385.1.p, Roisl.0046s0431.1.p	XP_024004874.1, XP_024006081.1, XP_024004163.1
OG0000040	Roisl.0209s0055.1.p	XP_024007589.1, XP_024006511.1, XP_024009938.1, XP_024007926.1, XP_024004988.1
OG0000040	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p	XP_024013326.1
OG0000041	Roisl.0046s0022.1.p	XP_024011200.1, XP_024004768.1, XP_024011348.1, XP_024013542.1
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p	XP_024009944.1, XP_024011303.1
OG0000042	Roisl.0028s0881.1.p	XP_024016200.1
OG0000043	Roisl.0209s0166.1.p, Roisl.0210s1685.1.p, Roisl.0214s0265.1.p, Roisl.0082s0570.1.p, Roisl.0066s0301.1.p	XP_024014240.1
OG0000044	Roisl.0005s0268.1.p	XP_006398339.2
OG0000044	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p, Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p	XP_024013343.1
OG0000044	Roisl.0005s0150.1.p	XP_006398345.1
OG0000044	Roisl.0005s0218.1.p, Roisl.0091s0682.1.p, Roisl.0091s0647.1.p	XP_024005671.1
OG0000046	Roisl.0210s2226.1.p, Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	XP_024015030.1
OG0000047	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p	XP_024014421.1
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	XP_024005913.1
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	XP_006391498.1, XP_006406621.1, XP_006406579.1, XP_006410338.1
OG0000048	Roisl.0006s0337.1.p	XP_006406533.1
OG0000048	Roisl.0028s0615.1.p	XP_006407903.2
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	XP_024004962.1, XP_024006598.1
OG0000050	Roisl.0082s0464.1.p	XP_024015913.1, XP_024007981.1
OG0000051	Roisl.0210s2097.1.p, Roisl.0082s0147.1.p	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	Roisl.0189s0079.1.p	XP_024004184.1
OG0000052	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p, Roisl.0011s0480.1.p	XP_024007553.1
OG0000054	Roisl.0055s0018.1.p, Roisl.0184s0210.1.p	XP_024010734.1, XP_024013111.1
OG0000054	Roisl.0189s0042.1.p	XP_024016309.1
OG0000054	Roisl.0209s0109.1.p, Roisl.0046s0256.1.p	XP_024007282.1, XP_024010278.1, XP_024004993.1, XP_024014049.1, XP_024013966.1, XP_024010381.1, XP_024015903.1, XP_024006435.1, XP_024004823.1, XP_024009187.1, XP_024010437.1, XP_024009578.1, XP_024007262.1
OG0000055	Roisl.0074s0202.1.p, Roisl.0053s0284.1.p	XP_006398121.1, XP_006406735.1
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p	XP_024016535.1
OG0000056	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p	XP_024016867.1
OG0000056	Roisl.0209s0402.1.p	XP_006405761.2
OG0000059	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p	XP_024010626.1, XP_024006533.1, XP_024013675.1, XP_024009487.1, XP_024006590.1, XP_024012732.1, XP_024004843.1, XP_024004842.1, XP_024004831.1, XP_024004845.1, XP_024014239.1, XP_024013302.1, XP_024010380.1, XP_024013968.1, XP_024014568.1, XP_024004801.1, XP_024016568.1, XP_024013967.1, XP_024006276.1
OG0000061	Roisl.0082s0253.1.p	XP_024015522.1
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	Roisl.0024s0067.1.p, Roisl.0024s0060.1.p	XP_024014567.1
OG0000065	Roisl.0024s0073.1.p	XP_006391458.1
OG0000065	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p	XP_024014561.1
OG0000065	Roisl.0213s0853.1.p, Roisl.0213s0852.1.p	XP_024014419.1
OG0000066	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	Roisl.0001s0457.1.p	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	Roisl.0214s0162.1.p	XP_024013907.1
OG0000068	Roisl.0034s0163.1.p	XP_024014925.1
OG0000069	Roisl.0115s0002.1.p	XP_006404944.1
OG0000069	Roisl.0017s0161.1.p	XP_024006439.1
OG0000069	Roisl.0055s0038.1.p	XP_024016442.1, XP_006390571.2
OG0000070	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	XP_006395735.1
OG0000070	Roisl.0007s0115.1.p	XP_006416426.1
OG0000070	Roisl.0004s0297.1.p	XP_006390250.1
OG0000074	Roisl.0054s0034.1.p	XP_024016228.1, XP_024006624.1, XP_024007928.1, XP_024006149.1, XP_024013371.1
OG0000075	Roisl.0214s0076.1.p	XP_024009720.1, XP_024009721.1
OG0000076	Roisl.0115s0707.1.p	XP_006411683.1
OG0000076	Roisl.0028s0782.1.p	XP_006410525.1
OG0000077	Roisl.0012s0354.1.p	XP_024004738.1
OG0000077	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p	XP_006398175.2
OG0000077	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p	XP_006395717.2, XP_006395727.1
OG0000077	Roisl.0011s0230.1.p, Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p	XP_006395720.2
OG0000077	Roisl.0214s0806.1.p	XP_006392390.2
OG0000078	Roisl.0016s0323.1.p	XP_006408252.2
OG0000078	Roisl.0016s0321.1.p	XP_006408254.2, XP_006408256.1
OG0000078	Roisl.0016s0324.1.p	XP_024014979.1
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	XP_024014942.1, XP_024013908.1
OG0000083	Roisl.0012s0356.1.p	XP_024004878.1
OG0000083	Roisl.0209s0532.1.p	XP_024004864.1, XP_024004079.1, XP_024009339.1, XP_024014050.1, XP_024006498.1, XP_024009186.1
OG0000086	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p	XP_024014367.1
OG0000086	Roisl.0032s0025.1.p	XP_006405821.2
OG0000086	Roisl.0032s0015.1.p	XP_024014475.1, XP_006405815.1
OG0000086	Roisl.0024s0030.1.p, Roisl.0209s0075.1.p	XP_006391405.1
OG0000089	Roisl.0210s2052.1.p	XP_006394642.1
OG0000089	Roisl.0209s0395.1.p	XP_006404433.1, XP_006404432.1
OG0000089	Roisl.0082s0748.1.p	XP_006410012.1
OG0000089	Roisl.0210s0950.1.p	XP_006399740.1
OG0000089	Roisl.0012s0263.1.p	XP_006403108.1
OG0000089	Roisl.0091s0246.1.p	XP_006413842.1
OG0000089	Roisl.0028s0886.1.p	XP_006410628.1
OG0000089	Roisl.0004s0314.1.p	XP_006390273.1
OG0000090	Roisl.0041s0056.1.p, Roisl.0184s0229.1.p	XP_024004922.1, XP_024014456.1
OG0000090	Roisl.0072s0004.1.p, Roisl.0082s0485.1.p	XP_024014096.1
OG0000090	Roisl.0020s0036.1.p	XP_024009890.1
OG0000091	Roisl.0209s0467.1.p	XP_024011698.1
OG0000091	Roisl.0209s0469.1.p	XP_024013782.1
OG0000091	Roisl.0209s0474.1.p	XP_006404364.1
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	XP_024011446.1
OG0000091	Roisl.0209s0428.1.p	XP_006404412.1
OG0000092	Roisl.0075s0014.1.p	XP_006397382.1
OG0000092	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p	XP_024004806.1, XP_024010671.1, XP_024010073.1
OG0000095	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p	XP_006405019.2
OG0000096	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000096	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p	XP_006408882.1, XP_024014982.1
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	XP_006395726.1
OG0000098	Roisl.0006s0130.1.p, Roisl.0066s0082.1.p	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p	XP_024014529.1
OG0000100	Roisl.0214s0561.1.p	XP_006404831.1
OG0000102	Roisl.0082s0310.1.p, Roisl.0214s0910.1.p	XP_006396592.1
OG0000102	Roisl.0082s0306.1.p	XP_006417793.2
OG0000105	Roisl.0016s0342.1.p, Roisl.0214s0835.1.p, Roisl.0210s0842.1.p, Roisl.0046s0013.1.p, Roisl.0045s0038.1.p, Roisl.0214s0850.1.p, Roisl.0213s0408.1.p	XP_024011529.1
OG0000105	Roisl.0009s0283.1.p	XP_006414517.2
OG0000107	Roisl.0115s0327.1.p	XP_024015177.1
OG0000108	Roisl.0017s0109.1.p	XP_006410952.1, XP_006403657.1
OG0000108	Roisl.0209s0353.1.p	XP_006400969.1, XP_006418890.1
OG0000108	Roisl.0074s0792.1.p	XP_006407369.1
OG0000108	Roisl.0210s0691.1.p	XP_006399464.1
OG0000108	Roisl.0074s0053.1.p	XP_006406564.1
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	XP_006405819.1
OG0000109	Roisl.0194s0008.1.p	XP_024016626.1, XP_006414991.2
OG0000110	Roisl.0023s0015.1.p	XP_024006349.1, XP_024013973.1
OG0000111	Roisl.0015s0039.1.p	XP_006405203.2, XP_006405200.2
OG0000111	Roisl.0184s0139.1.p, Roisl.0184s0142.1.p	XP_024009900.1, XP_006396340.2, XP_024009908.1, XP_006390706.1, XP_006414734.2
OG0000111	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p	XP_006391257.1, XP_006409739.1, XP_006409738.2, XP_006409778.1
OG0000112	Roisl.0075s0025.1.p	XP_024014712.1
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	XP_024013163.1, XP_024014535.1
OG0000114	Roisl.0024s0009.1.p, Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p, Roisl.0179s0081.1.p	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
OG0000114	Roisl.0053s0064.1.p	XP_024010573.1, XP_024007698.1, XP_024015859.1
