Orthogroup	Rorippa_islandica	Arabidopsis_thaliana
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	AT4G23310.1, AT4G23280.1, AT4G23270.3
OG0000034	Roisl.0214s0905.1.p	AT4G23130.2
OG0000035	Roisl.0213s0218.1.p	AT2G07240.1
OG0000035	Roisl.0038s0018.1.p, Roisl.0082s0037.1.p, Roisl.0213s0025.1.p, Roisl.0214s0147.1.p	AT4G04957.1
OG0000038	Roisl.0024s0539.1.p	AT4G23160.2
OG0000040	Roisl.0209s0055.1.p	AT3G25720.1, AT4G10613.1, AT1G60720.1, AT1G33710.1
OG0000044	Roisl.0005s0269.1.p	AT5G46500.1
OG0000044	Roisl.0214s0309.1.p	AT4G08450.1
OG0000044	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p	AT5G46470.1
OG0000044	Roisl.0210s2195.1.p	AT5G46450.1
OG0000044	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p	AT1G31540.2, AT5G46490.2
OG0000044	Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p	AT5G46520.2, AT5G46510.1
OG0000044	Roisl.0210s1498.1.p	AT5G17970.1
OG0000046	Roisl.0029s0014.1.p	AT3G31910.1, AT5G28810.1, AT2G10260.1, AT1G37020.1, AT5G45570.1, AT4G08430.1
OG0000048	Roisl.0017s0510.1.p	AT2G31470.1
OG0000048	Roisl.0074s0908.1.p	AT3G10990.1
OG0000051	Roisl.0028s0722.1.p	AT2G42455.1
OG0000051	Roisl.0189s0079.1.p	AT2G42480.1
OG0000052	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p	AT1G55030.2
OG0000052	Roisl.0011s0480.1.p	AT4G13965.1
OG0000052	Roisl.0046s0692.1.p	AT2G04230.1
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	AT3G19470.1, AT3G22770.1
OG0000055	Roisl.0074s0202.1.p	AT3G17620.1
OG0000055	Roisl.0053s0119.1.p	AT5G36200.1
OG0000055	Roisl.0074s0270.1.p	AT3G16740.1
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p	AT2G17830.1, AT5G42460.1
OG0000055	Roisl.0074s0210.1.p	AT3G17320.1
OG0000056	Roisl.0209s0766.1.p	AT1G61960.1
OG0000056	Roisl.0209s0593.1.p	AT1G62150.1
OG0000056	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p	AT1G62110.1
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	AT1G61980.1
OG0000056	Roisl.0209s0402.1.p	AT3G46950.1
OG0000060	Roisl.0046s1351.1.p	AT1G07660.1
OG0000060	Roisl.0209s0295.1.p	AT5G59690.1
OG0000061	Roisl.0045s0092.1.p	AT1G47920.1, AT1G48390.1
OG0000061	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p	AT2G29910.6
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p	AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1
OG0000064	Roisl.0214s0815.1.p	AT5G34908.1
OG0000065	Roisl.0024s0073.1.p	AT1G67000.1, AT1G66930.2
OG0000065	Roisl.0024s0063.1.p	AT1G66920.2
OG0000065	Roisl.0046s0034.1.p	AT5G38240.1
OG0000065	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p	AT5G38260.1
OG0000065	Roisl.0213s0852.1.p	AT5G39030.1
OG0000066	Roisl.0210s0757.1.p	AT3G27360.1
OG0000066	Roisl.0024s0428.1.p	AT1G09200.1
OG0000066	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p	AT5G10980.1
OG0000066	Roisl.0001s0456.1.p	AT4G40040.1
OG0000066	Roisl.0007s0395.1.p	AT1G19890.1
OG0000068	Roisl.0034s0163.1.p	AT3G09160.1
OG0000068	Roisl.0011s0041.1.p	AT5G53700.1
OG0000068	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p	AT5G03495.1, AT5G03480.1
OG0000069	Roisl.0115s0002.1.p	AT3G62850.1
OG0000069	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p	AT5G35640.1, AT1G01355.1
OG0000069	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p	AT5G39640.1
OG0000070	Roisl.0021s0078.1.p	AT1G10230.1
OG0000070	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000070	Roisl.0007s0115.1.p	AT1G20140.1, AT2G25700.1
OG0000070	Roisl.0004s0297.1.p	AT1G75950.1
OG0000070	Roisl.0075s0011.1.p	AT5G42190.1
OG0000075	Roisl.0001s0513.1.p	AT4G39580.1
OG0000075	Roisl.0001s0516.1.p	AT4G39560.1
OG0000075	Roisl.0006s0180.1.p	AT5G49000.2
OG0000076	Roisl.0115s0707.1.p	AT4G38940.1
OG0000077	Roisl.0012s0354.1.p	AT5G44900.1
OG0000077	Roisl.0005s0356.1.p	AT5G45220.1
OG0000077	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p	AT1G57670.1
OG0000077	Roisl.0214s0808.1.p	AT1G57850.1
OG0000077	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p	AT2G03030.1, AT2G03300.1
OG0000077	Roisl.0021s0004.1.p	AT1G09665.1
OG0000077	Roisl.0214s0806.1.p	AT1G60320.1, AT1G57830.1
OG0000078	Roisl.0016s0321.1.p	AT3G03820.1
OG0000078	Roisl.0016s0324.1.p	AT3G03850.1
OG0000078	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p	AT5G18050.1, AT5G18060.1
OG0000078	Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p	AT5G18020.1
OG0000079	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p	AT2G07190.1
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	AT3G30165.1
OG0000086	Roisl.0024s0148.1.p	AT5G62800.1
OG0000086	Roisl.0214s0709.1.p	AT5G37890.1
OG0000086	Roisl.0024s0029.1.p	AT1G66610.1
OG0000089	Roisl.0210s2052.1.p	AT5G23860.1
OG0000089	Roisl.0024s0139.1.p	AT5G62700.1, AT5G62690.1
OG0000089	Roisl.0082s0748.1.p	AT2G29550.1
OG0000089	Roisl.0210s0950.1.p	AT5G12250.1
OG0000089	Roisl.0012s0263.1.p	AT5G44340.1
OG0000089	Roisl.0091s0246.1.p	AT4G20890.1
OG0000089	Roisl.0007s0134.1.p	AT1G20010.1
OG0000089	Roisl.0004s0314.1.p	AT1G75780.1
OG0000091	Roisl.0214s0805.1.p	AT3G47580.1
OG0000091	Roisl.0209s0467.1.p	AT3G47570.1
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	AT5G20480.1
OG0000091	Roisl.0214s0193.1.p	AT5G39390.1
OG0000091	Roisl.0209s0428.1.p	AT3G47110.1
OG0000092	Roisl.0201s0004.1.p	AT3G30235.1
OG0000092	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p	AT1G19260.1, AT4G09660.1
OG0000092	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p	AT3G31402.1
OG0000095	Roisl.0027s0067.1.p, Roisl.0214s0005.1.p, Roisl.0214s0003.1.p, Roisl.0214s0031.1.p, Roisl.0214s0037.1.p	AT1G64840.1
OG0000095	Roisl.0004s0005.1.p	AT2G24250.1
OG0000096	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p	AT3G25460.1
OG0000096	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p	AT3G44120.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000096	Roisl.0074s0977.1.p	AT1G25141.1
OG0000096	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p	AT3G49980.2
OG0000098	Roisl.0040s0006.1.p	AT2G14290.1, AT2G14500.1
OG0000098	Roisl.0006s0130.1.p	AT1G27540.1, AT1G27580.1, AT1G27550.1
OG0000098	Roisl.0066s0082.1.p	AT2G24080.1
OG0000100	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p	AT1G56520.2, AT1G56510.1
OG0000100	Roisl.0214s0561.1.p	AT1G56540.1
OG0000100	Roisl.0214s0220.1.p	AT1G63740.2
OG0000100	Roisl.0010s0201.1.p	AT1G63880.1
OG0000102	Roisl.0082s0310.1.p, Roisl.0214s0910.1.p	AT5G52480.1
OG0000102	Roisl.0082s0306.1.p	AT4G05460.1
OG0000105	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p	AT5G38344.1
OG0000105	Roisl.0214s0850.1.p	AT1G57630.1
OG0000105	Roisl.0005s0168.1.p, Roisl.0005s0131.1.p, Roisl.0005s0149.1.p, Roisl.0005s0162.1.p	AT4G04110.1
OG0000107	Roisl.0115s0327.1.p	AT3G20140.1
OG0000107	Roisl.0115s0429.1.p	AT3G20960.2
OG0000107	Roisl.0115s0326.1.p	AT3G20110.1
OG0000108	Roisl.0017s0109.1.p	AT3G53750.1, AT2G37620.1
OG0000108	Roisl.0209s0353.1.p	AT3G46520.1
OG0000108	Roisl.0074s0792.1.p	AT3G12110.1
OG0000108	Roisl.0210s0691.1.p, Roisl.0037s0052.1.p, Roisl.0209s0106.1.p	AT5G09810.1
OG0000108	Roisl.0074s0053.1.p	AT3G18780.2
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	AT2G42170.1, AT2G42100.1
OG0000110	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p	AT1G36510.1, AT3G32260.1
OG0000111	Roisl.0015s0039.1.p	AT1G45063.1
OG0000111	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p	AT3G53330.1
OG0000111	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p	AT4G01380.1
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	AT1G36970.1, AT4G05555.1, AT3G31560.1, AT1G36230.1, AT2G07280.1
OG0000117	Roisl.0191s0190.1.p	AT1G23510.1
OG0000117	Roisl.0191s0191.1.p	AT1G23520.1
OG0000117	Roisl.0191s0199.1.p, Roisl.0191s0198.1.p	AT1G23600.1
OG0000117	Roisl.0191s0196.1.p	AT1G23570.2, AT1G23580.1
OG0000118	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p	AT2G38590.1
OG0000118	Roisl.0017s0203.1.p, Roisl.0017s0206.1.p	AT5G41490.1, AT5G41500.1, AT5G41510.1
OG0000118	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p	AT3G25090.1, AT3G23685.1
OG0000119	Roisl.0042s0129.1.p	AT2G22940.1
OG0000119	Roisl.0209s0264.1.p	AT3G43180.1
OG0000119	Roisl.0082s0489.1.p	AT2G26135.1, AT2G26130.1
OG0000119	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p	AT3G43750.1
OG0000119	Roisl.0209s0263.1.p	AT3G45560.1
OG0000119	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p	AT3G45480.1, AT3G45510.1
OG0000122	Roisl.0080s0685.1.p	AT5G56390.1
OG0000123	Roisl.0021s0620.1.p	AT5G36657.1
OG0000123	Roisl.0080s0166.1.p, Roisl.0080s0162.1.p, Roisl.0209s0054.1.p, Roisl.0210s1558.1.p, Roisl.0209s0060.1.p	AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1
OG0000123	Roisl.0080s0163.1.p	AT3G42565.1
OG0000125	Roisl.0082s0684.1.p, Roisl.0082s0683.1.p	AT2G29000.1
OG0000125	Roisl.0091s1034.1.p	AT1G07560.1
OG0000125	Roisl.0013s0044.1.p	AT1G49100.1
OG0000125	Roisl.0006s0236.1.p	AT1G51820.1, AT1G51850.2, AT1G51830.2
OG0000125	Roisl.0213s0753.1.p	AT1G51805.1
OG0000125	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p	AT3G21340.1
OG0000126	Roisl.0014s0012.1.p	AT1G35150.1
OG0000126	Roisl.0184s0211.1.p	AT3G29638.1
OG0000126	Roisl.0075s0113.1.p	AT2G19960.3
OG0000127	Roisl.0210s1950.1.p	AT5G22880.1
OG0000127	Roisl.0046s1343.1.p	AT3G53650.1
OG0000127	Roisl.0034s0161.1.p	AT5G02570.1
OG0000127	Roisl.0079s0305.1.p	AT3G09480.1
OG0000127	Roisl.0080s0276.1.p	AT5G59910.1
OG0000127	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p	AT3G46030.1
OG0000127	Roisl.0082s0645.1.p	AT2G28720.1
OG0000128	Roisl.0019s0649.1.p	AT3G59270.1
OG0000128	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p	AT3G59200.1
OG0000128	Roisl.0018s0038.1.p	AT3G59210.1
OG0000128	Roisl.0018s0034.1.p	AT4G14096.1
OG0000129	Roisl.0021s0622.1.p	AT1G65120.2
OG0000129	Roisl.0194s0004.1.p	AT1G65130.1
OG0000129	Roisl.0022s0002.1.p, Roisl.0022s0001.1.p	AT1G65200.1
OG0000129	Roisl.0080s0056.1.p, Roisl.0080s0057.1.p	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2
OG0000129	Roisl.0204s0037.1.p, Roisl.0204s0045.1.p	AT2G27630.1, AT2G27650.1
OG0000129	Roisl.0189s0223.1.p	AT5G51530.1
OG0000129	Roisl.0021s0625.1.p	AT1G65110.2
OG0000130	Roisl.0027s0125.1.p	AT4G03292.1, AT2G02650.1, AT4G09775.1
OG0000130	Roisl.0012s0041.1.p, Roisl.0032s0030.1.p, Roisl.0189s0078.1.p	AT3G09510.1, AT2G13980.1, AT5G26617.1
OG0000130	Roisl.0080s0678.1.p	AT3G25270.1, AT2G04420.1, AT1G50160.1
OG0000132	Roisl.0046s1480.1.p	AT3G54910.1
OG0000134	Roisl.0214s0845.1.p	AT1G57650.1
OG0000134	Roisl.0045s0039.1.p	AT1G65850.2
OG0000134	Roisl.0046s0012.1.p	AT5G38340.1, AT5G38350.1
OG0000134	Roisl.0027s0026.1.p, Roisl.0027s0027.1.p	AT3G25505.1
OG0000134	Roisl.0004s0001.1.p	AT5G44510.1
OG0000134	Roisl.0195s0021.1.p	AT3G04220.3
OG0000137	Roisl.0080s0797.1.p, Roisl.0080s0796.1.p	AT5G55370.1
OG0000137	Roisl.0080s0795.1.p	AT5G55380.1
OG0000137	Roisl.0080s0798.1.p	AT5G55360.1
OG0000137	Roisl.0080s0799.1.p	AT5G55350.1
OG0000137	Roisl.0080s0800.1.p	AT5G55340.1
OG0000138	Roisl.0214s0533.1.p	AT3G62440.1
OG0000138	Roisl.0018s0009.1.p	AT3G58980.1
OG0000138	Roisl.0018s0007.1.p	AT3G58960.1
OG0000138	Roisl.0046s1395.1.p	AT3G62430.1, AT3G54160.1
OG0000141	Roisl.0021s0319.1.p	AT1G12280.1
OG0000141	Roisl.0010s0063.1.p, Roisl.0010s0064.1.p	AT5G63020.1
OG0000148	Roisl.0013s0175.1.p	AT1G47765.1
OG0000148	Roisl.0006s0146.1.p	AT1G50870.1
OG0000148	Roisl.0013s0141.1.p	AT1G47730.1
OG0000151	Roisl.0046s1506.1.p	AT3G55110.1
OG0000151	Roisl.0046s1505.1.p	AT3G55100.1
OG0000151	Roisl.0017s0307.1.p	AT2G39350.1
OG0000151	Roisl.0046s1504.1.p	AT3G55090.1
OG0000151	Roisl.0046s1329.1.p	AT3G53510.1
OG0000151	Roisl.0017s0076.1.p	AT2G37360.1
OG0000151	Roisl.0210s1053.1.p	AT5G13580.1
OG0000153	Roisl.0209s0522.1.p, Roisl.0082s0712.1.p	AT2G29330.1
OG0000153	Roisl.0033s0089.1.p	AT2G30670.1
OG0000153	Roisl.0082s0717.1.p, Roisl.0082s0715.1.p	AT2G29310.1
OG0000153	Roisl.0082s0714.1.p	AT2G29300.2, AT2G29320.1
OG0000153	Roisl.0091s1018.1.p	AT1G07450.1
OG0000154	Roisl.0006s0138.1.p	AT5G18510.1
OG0000154	Roisl.0006s0139.1.p	AT1G50770.1
OG0000157	Roisl.0213s0342.1.p, Roisl.0213s0344.1.p	AT1G30790.1
OG0000158	Roisl.0020s0089.1.p	AT4G36840.1
OG0000160	Roisl.0066s0007.1.p	AT2G18960.1
OG0000160	Roisl.0003s0027.1.p	AT4G30190.2
OG0000160	Roisl.0080s0566.1.p	AT5G57350.1
OG0000160	Roisl.0214s0132.1.p	AT2G07560.1
OG0000160	Roisl.0185s0093.1.p	AT3G42640.1
OG0000160	Roisl.0115s0111.1.p	AT1G80660.1
OG0000160	Roisl.0051s0034.1.p	AT2G24520.2
OG0000162	Roisl.0028s0711.1.p	AT2G33200.1
OG0000162	Roisl.0028s0709.1.p	AT2G33190.1
OG0000162	Roisl.0028s0513.1.p	AT2G03560.1, AT5G38270.1
OG0000162	Roisl.0213s0743.1.p	AT2G04810.1, AT2G04840.1
OG0000165	Roisl.0013s0197.1.p	AT2G15010.1
OG0000166	Roisl.0023s0081.1.p	AT1G54470.1
OG0000166	Roisl.0204s0086.1.p	AT1G74180.1
OG0000167	Roisl.0115s0454.1.p	AT3G21170.1
OG0000167	Roisl.0053s0365.1.p	AT3G23260.1
OG0000170	Roisl.0035s0196.1.p	AT2G45580.1
OG0000170	Roisl.0018s0217.1.p	AT3G61040.1
OG0000170	Roisl.0194s0036.1.p, Roisl.0035s0201.1.p	AT1G33730.1
OG0000170	Roisl.0035s0199.1.p	AT1G33720.1
OG0000170	Roisl.0035s0198.1.p	AT2G45570.1
OG0000170	Roisl.0035s0200.1.p	AT2G45560.1
OG0000170	Roisl.0023s0104.1.p, Roisl.0028s0023.1.p	AT2G45550.1
OG0000171	Roisl.0031s0104.1.p	AT5G53300.1
OG0000171	Roisl.0050s0073.1.p	AT5G41700.4, AT1G64230.4
OG0000171	Roisl.0066s0281.1.p	AT2G16740.1
OG0000171	Roisl.0080s0713.1.p	AT5G56150.1
OG0000171	Roisl.0079s0226.1.p	AT3G08700.1
OG0000171	Roisl.0079s0225.1.p	AT3G08690.1
OG0000171	Roisl.0022s0465.1.p	AT4G27960.2
OG0000172	Roisl.0046s1356.1.p	AT4G05095.1, AT3G25727.1
OG0000173	Roisl.0053s0207.1.p	AT3G24610.1
OG0000173	Roisl.0041s0073.1.p	AT2G14288.1
OG0000175	Roisl.0019s0487.1.p, Roisl.0191s0187.1.p	AT1G23490.1, AT1G70490.1
OG0000175	Roisl.0210s1168.1.p	AT5G14670.1
OG0000176	Roisl.0039s0061.1.p	AT3G05360.1
OG0000176	Roisl.0005s0278.1.p	AT1G71390.2
OG0000177	Roisl.0049s0035.1.p	AT3G25490.1
OG0000177	Roisl.0007s0001.1.p	AT1G21210.1
OG0000177	Roisl.0049s0036.1.p	AT1G21270.1
OG0000178	Roisl.0082s0204.1.p	AT4G04490.1
OG0000178	Roisl.0082s0206.1.p	AT4G04510.2
OG0000178	Roisl.0082s0205.1.p	AT4G04500.1
OG0000178	Roisl.0082s0207.1.p	AT4G04570.1
OG0000178	Roisl.0082s0209.1.p, Roisl.0082s0208.1.p	AT4G04540.1
OG0000179	Roisl.0208s0031.1.p	AT1G59124.2, AT1G58807.1, AT1G59218.1, AT1G58848.1, AT1G58602.1
OG0000182	Roisl.0046s1327.1.p	AT3G61100.1, AT3G61090.1
OG0000183	Roisl.0024s0013.1.p, Roisl.0064s0038.1.p	AT1G66410.2, AT5G37780.3
OG0000183	Roisl.0028s0511.1.p, Roisl.0026s0219.1.p	AT3G56800.1
OG0000183	Roisl.0209s0513.1.p	AT2G27030.3
OG0000185	Roisl.0213s0109.1.p	AT1G02770.1
OG0000185	Roisl.0074s0700.1.p	AT1G23970.2, AT1G23950.2
OG0000185	Roisl.0213s0120.1.p, Roisl.0213s0122.1.p	AT1G27860.1, AT1G28500.1
OG0000186	Roisl.0034s0137.1.p	AT1G53340.2
OG0000186	Roisl.0080s0756.1.p	AT5G46660.1
OG0000186	Roisl.0011s0430.1.p	AT3G26550.1
OG0000186	Roisl.0011s0158.1.p	AT2G02690.1, AT2G02700.1, AT2G02680.1
OG0000187	Roisl.0082s0109.1.p, Roisl.0011s0578.1.p	AT2G21680.1
OG0000187	Roisl.0007s0183.1.p	AT1G19460.1, AT1G19470.1
OG0000187	Roisl.0082s0775.1.p, Roisl.0082s0772.1.p, Roisl.0033s0001.1.p, Roisl.0082s0770.1.p, Roisl.0020s0168.1.p, Roisl.0082s0774.1.p	AT2G29780.1, AT2G29770.1, AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1
OG0000188	Roisl.0074s0934.1.p	AT3G10790.1
OG0000189	Roisl.0046s1079.1.p	AT3G51300.1
OG0000189	Roisl.0066s0143.1.p	AT2G17800.1
OG0000189	Roisl.0004s0308.1.p	AT1G75840.1
OG0000189	Roisl.0007s0123.1.p	AT1G20090.1
OG0000192	Roisl.0021s0466.1.p	AT3G51210.1
OG0000192	Roisl.0021s0463.1.p	AT5G43690.1
OG0000192	Roisl.0021s0465.1.p	AT3G45080.1, AT3G45070.2, AT2G27570.1
OG0000193	Roisl.0013s0218.1.p	AT1G47390.1
OG0000193	Roisl.0209s0180.1.p	AT1G32430.1
OG0000195	Roisl.0209s0387.1.p	AT3G46810.1, AT3G46800.1
OG0000195	Roisl.0046s0760.1.p	AT3G48400.1
OG0000195	Roisl.0210s1898.1.p	AT5G22355.1
OG0000196	Roisl.0009s0078.1.p, Roisl.0009s0045.1.p, Roisl.0066s0322.1.p, Roisl.0009s0048.1.p	AT5G41540.1
OG0000196	Roisl.0009s0050.1.p, Roisl.0009s0051.1.p, Roisl.0009s0073.1.p, Roisl.0009s0076.1.p, Roisl.0009s0071.1.p, Roisl.0009s0040.1.p	AT5G41750.1, AT5G41740.2, AT5G41550.1
OG0000197	Roisl.0064s0036.1.p	AT5G37760.1
OG0000197	Roisl.0091s0346.1.p	AT4G19570.1
OG0000197	Roisl.0091s0344.1.p, Roisl.0091s0343.1.p	AT5G62780.1
OG0000198	Roisl.0011s0049.1.p	AT2G01520.1
OG0000198	Roisl.0007s0637.1.p	AT1G14950.1
OG0000199	Roisl.0091s0010.1.p, Roisl.0019s0834.1.p, Roisl.0024s0042.1.p, Roisl.0001s0510.1.p	AT1G51670.1, AT1G48180.1
