Orthogroup	Rorippa_islandica	Arabidopsis_arenosa
OG0000022	Roisl.0009s0109.1.p	jg12744
OG0000022	Roisl.0074s0275.1.p	jg25741
OG0000024	Roisl.0015s0178.1.p	jg17071
OG0000024	Roisl.0066s0178.1.p	jg31710
OG0000024	Roisl.0213s0369.1.p	jg31705
OG0000024	Roisl.0213s0506.1.p	jg31856, jg31855
OG0000024	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p	jg31708
OG0000024	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p	jg27402, jg18984
OG0000024	Roisl.0213s0367.1.p	jg31665, jg31668
OG0000024	Roisl.0026s0135.1.p	jg14278
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	jg21506, jg20543, jg32153, jg27936, jg1637, jg14016, jg1257
OG0000026	Roisl.0213s0871.1.p	jg6878
OG0000027	Roisl.0213s0582.1.p	jg7517, jg7516
OG0000027	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p	jg7523
OG0000027	Roisl.0008s0130.1.p	jg10174
OG0000027	Roisl.0184s0130.1.p	jg10184
OG0000027	Roisl.0184s0131.1.p	jg10183
OG0000027	Roisl.0008s0071.1.p	jg10189
OG0000027	Roisl.0214s0896.1.p	jg10205
OG0000027	Roisl.0008s0079.1.p	jg10191
OG0000027	Roisl.0008s0069.1.p	jg10192
OG0000027	Roisl.0008s0076.1.p	jg10199
OG0000028	Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p	jg22442
OG0000028	Roisl.0075s0121.1.p	jg22443, jg22441
OG0000028	Roisl.0001s0017.1.p, Roisl.0001s0010.1.p	jg8944, jg8946
OG0000028	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p	jg22236
OG0000028	Roisl.0053s0335.1.p	jg23436, jg23431
OG0000028	Roisl.0008s0342.1.p	jg8750
OG0000028	Roisl.0053s0333.1.p	jg23433, jg23437
OG0000028	Roisl.0053s0334.1.p	jg23430
OG0000028	Roisl.0091s1124.1.p	jg14606
OG0000028	Roisl.0053s0416.1.p, Roisl.0053s0421.1.p, Roisl.0214s0405.1.p	jg29584
OG0000029	Roisl.0208s0029.1.p	jg6737, jg11997
OG0000029	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p	jg21311
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p	jg26153, jg26152
OG0000030	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p	jg2274
OG0000030	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p	jg30787
OG0000030	Roisl.0213s0186.1.p	jg31203, jg31202
OG0000030	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	jg25536
OG0000030	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p	jg25377, jg1071
OG0000030	Roisl.0046s0887.1.p	jg1537, jg14799, jg17824, jg14802, jg14804
OG0000030	Roisl.0042s0059.1.p	jg2112
OG0000030	Roisl.0021s0166.1.p	jg29499
OG0000030	Roisl.0046s0886.1.p	jg25272
OG0000030	Roisl.0074s0618.1.p	jg738, jg25360
OG0000031	Roisl.0023s0119.1.p	jg21124
OG0000031	Roisl.0204s0033.1.p, Roisl.0027s0121.1.p, Roisl.0048s0016.1.p	jg21055
OG0000032	Roisl.0005s0192.1.p	jg27281, jg13794, jg27158, jg18577, jg19520, jg25717
OG0000034	Roisl.0008s0068.1.p	jg10193, jg10203, jg10197
OG0000034	Roisl.0214s0895.1.p	jg10204
OG0000034	Roisl.0008s0077.1.p	jg10200
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p	jg10426
OG0000034	Roisl.0091s0190.1.p	jg10425
OG0000034	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p	jg10207
OG0000034	Roisl.0008s0074.1.p	jg10186
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	jg10175, jg10176
OG0000034	Roisl.0019s0659.1.p	jg10198
OG0000034	Roisl.0214s0905.1.p	jg10202, jg10195, jg10208
OG0000035	Roisl.0213s0218.1.p	jg32621, jg13872
OG0000035	Roisl.0082s0037.1.p	jg32484
OG0000035	Roisl.0213s0025.1.p	jg7027
OG0000035	Roisl.0214s0147.1.p	jg6998, jg7008, jg32675, jg6987, jg1581
OG0000038	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p	jg27503
OG0000040	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p, Roisl.0209s0082.1.p, Roisl.0019s0385.1.p, Roisl.0046s0431.1.p	jg17939
OG0000040	Roisl.0020s0088.1.p, Roisl.0179s0100.1.p, Roisl.0058s0100.1.p, Roisl.0209s0494.1.p, Roisl.0214s0186.1.p	jg26952
OG0000041	Roisl.0046s0022.1.p	jg28661, jg10344
OG0000042	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p	jg11609
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	jg2222
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p	jg6977
OG0000044	Roisl.0005s0130.1.p, Roisl.0005s0269.1.p	jg20418
OG0000044	Roisl.0214s0309.1.p	jg7084, jg7157
OG0000044	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p	jg20420
OG0000044	Roisl.0210s2195.1.p	jg13687, jg20423
OG0000044	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p	jg20416
OG0000044	Roisl.0005s0150.1.p	jg20415
OG0000046	Roisl.0210s2226.1.p	jg12140
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	jg13501, jg20886
OG0000046	Roisl.0029s0014.1.p	jg29315, jg17523, jg14196
OG0000046	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	jg1035, jg17283, jg1573, jg1834, jg309, jg32416
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p, Roisl.0017s0418.1.p, Roisl.0082s0583.1.p, Roisl.0012s0264.1.p	jg20748, jg20747
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	jg18309, jg18271
OG0000048	Roisl.0006s0337.1.p	jg33607
OG0000048	Roisl.0017s0510.1.p	jg18210, jg18207
OG0000048	Roisl.0074s0908.1.p	jg25048
OG0000048	Roisl.0028s0615.1.p	jg740
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	jg11604, jg13853, jg14086
OG0000050	Roisl.0214s0827.1.p	jg19949, jg4268
OG0000050	Roisl.0082s0464.1.p	jg1167, jg27469, jg7250, jg20411, jg7021, jg12231, jg18866, jg13112, jg13499, jg21057, jg8024, jg14182, jg14025, jg21900, jg21898, jg13958, jg1166, jg11079
OG0000051	Roisl.0082s0147.1.p	jg497
OG0000051	Roisl.0028s0722.1.p	jg19551, jg19550, jg907, jg19552, jg19554, jg18423
OG0000051	Roisl.0189s0079.1.p	jg19560
OG0000052	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p	jg1458, jg1459, jg1457
OG0000052	Roisl.0011s0480.1.p	jg13394, jg13392, jg13393
OG0000052	Roisl.0046s0692.1.p	jg14762
OG0000052	Roisl.0011s0479.1.p	jg20319
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	jg25886, jg26868
OG0000055	Roisl.0053s0284.1.p	jg12073
OG0000055	Roisl.0053s0119.1.p	jg12035
OG0000055	Roisl.0074s0270.1.p	jg25759, jg25744
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p	jg27919
OG0000055	Roisl.0074s0210.1.p	jg25830
OG0000056	Roisl.0209s0766.1.p	jg748
OG0000056	Roisl.0209s0593.1.p	jg721
OG0000056	Roisl.0019s0013.1.p, Roisl.0209s0606.1.p, Roisl.0209s0600.1.p	jg726
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	jg745
OG0000056	Roisl.0209s0402.1.p	jg14491
OG0000059	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p	jg1077, jg4817, jg25268, jg5943, jg32839, jg11480, jg33384, jg28178
OG0000059	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p	jg27640, jg13837
OG0000060	Roisl.0080s0305.1.p	jg22936
OG0000061	Roisl.0045s0092.1.p	jg32915, jg32919, jg32548, jg32845, jg32861, jg32993
OG0000061	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p	jg18005
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p	jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	Roisl.0024s0085.1.p	jg2192, jg2154, jg2152
OG0000065	Roisl.0024s0082.1.p	jg2206
OG0000065	Roisl.0024s0073.1.p	jg2209, jg2212, jg2195
OG0000065	Roisl.0024s0063.1.p	jg2188, jg2193
OG0000065	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p	jg6601
OG0000065	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p	jg12337
OG0000065	Roisl.0046s0032.1.p	jg12331
OG0000065	Roisl.0213s0852.1.p	jg12464
OG0000066	Roisl.0210s0757.1.p	jg13471, jg4871
OG0000066	Roisl.0024s0428.1.p	jg29279
OG0000066	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p	jg4927
OG0000066	Roisl.0007s0395.1.p	jg30515
OG0000067	Roisl.0214s0162.1.p	jg14038
OG0000068	Roisl.0034s0163.1.p	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000068	Roisl.0191s0458.1.p	jg32039, jg24042, jg24037, jg24035
OG0000068	Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p	jg32043
OG0000068	Roisl.0011s0041.1.p	jg22052, jg22033, jg22034
OG0000068	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p	jg4088, jg4089, jg14390, jg14389, jg14204, jg4055
OG0000069	Roisl.0115s0002.1.p	jg16351
OG0000069	Roisl.0213s0875.1.p	jg15319
OG0000069	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p	jg28492
OG0000069	Roisl.0013s0226.1.p	jg14067
OG0000069	Roisl.0046s1591.1.p	jg15499
OG0000069	Roisl.0074s0568.1.p	jg16809
OG0000070	Roisl.0021s0078.1.p	jg29403
OG0000070	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	jg28225, jg28226, jg13116, jg13115
OG0000070	Roisl.0007s0115.1.p	jg16631, jg30544, jg4483
OG0000070	Roisl.0004s0297.1.p	jg3251
OG0000070	Roisl.0075s0011.1.p	jg21183
OG0000073	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p	jg32690
OG0000075	Roisl.0214s0076.1.p	jg21647
OG0000075	Roisl.0001s0513.1.p	jg8428
OG0000075	Roisl.0001s0516.1.p	jg8426
OG0000075	Roisl.0006s0180.1.p	jg21500, jg21501, jg21503
OG0000075	Roisl.0046s0019.1.p	jg32683, jg20353
OG0000075	Roisl.0001s0335.1.p	jg933
OG0000076	Roisl.0115s0707.1.p	jg8362
OG0000076	Roisl.0028s0782.1.p	jg18482
OG0000077	Roisl.0012s0354.1.p	jg20644
OG0000077	Roisl.0024s0105.1.p	jg2240
OG0000077	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p	jg1310
OG0000077	Roisl.0214s0808.1.p	jg1247
OG0000077	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p	jg13128
OG0000077	Roisl.0021s0004.1.p	jg29337
OG0000077	Roisl.0214s0806.1.p	jg902, jg1249
OG0000078	Roisl.0016s0324.1.p	jg24239
OG0000078	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p	jg5641, jg5643
OG0000078	Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p	jg5648
OG0000079	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p	jg7377
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	Roisl.0024s0148.1.p	jg23234
OG0000086	Roisl.0032s0025.1.p	jg12259
OG0000086	Roisl.0214s0709.1.p	jg12260
OG0000086	Roisl.0032s0015.1.p	jg12281
OG0000086	Roisl.0024s0029.1.p	jg2126, jg2127
OG0000089	Roisl.0210s2052.1.p	jg6235
OG0000089	Roisl.0024s0139.1.p	jg23223
OG0000089	Roisl.0082s0748.1.p	jg17972
OG0000089	Roisl.0210s0950.1.p	jg5068
OG0000089	Roisl.0012s0263.1.p	jg20749
OG0000089	Roisl.0091s0246.1.p	jg10485
OG0000089	Roisl.0028s0886.1.p	jg18593
OG0000089	Roisl.0007s0134.1.p	jg30528
OG0000089	Roisl.0004s0314.1.p	jg3235
OG0000090	Roisl.0184s0229.1.p	jg20882
OG0000090	Roisl.0204s0185.1.p, Roisl.0188s0033.1.p	jg17424
OG0000091	Roisl.0209s0425.1.p, Roisl.0214s0805.1.p	jg14507
OG0000091	Roisl.0209s0467.1.p	jg14545, jg14558
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	jg5910
OG0000091	Roisl.0214s0193.1.p	jg21695
OG0000091	Roisl.0209s0470.1.p	jg14562
OG0000091	Roisl.0209s0421.1.p	jg27525
OG0000092	Roisl.0066s0386.1.p	jg1807
OG0000092	Roisl.0214s0403.1.p, Roisl.0195s0026.1.p, Roisl.0046s1255.1.p	jg14356
OG0000092	Roisl.0213s0052.1.p	jg17518
OG0000092	Roisl.0066s0385.1.p, Roisl.0204s0106.1.p	jg32487
OG0000092	Roisl.0210s0404.1.p	jg1461, jg26673
OG0000092	Roisl.0066s0112.1.p, Roisl.0091s0376.1.p	jg2228
OG0000092	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p	jg26653
OG0000092	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p	jg21355, jg7184
OG0000095	Roisl.0214s0042.1.p	jg16989, jg17288
OG0000095	Roisl.0214s0037.1.p	jg16997
OG0000095	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p	jg16995, jg17274, jg17286, jg17001, jg16991
OG0000095	Roisl.0004s0005.1.p	jg16900, jg16897, jg16899
OG0000096	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p	jg26888, jg26886
OG0000096	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg25966, jg12059, jg25964, jg25967, jg26027, jg26030, jg26079, jg27891
OG0000096	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p	jg25957
OG0000096	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p	jg27435
OG0000096	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p	jg14860
OG0000097	Roisl.0023s0058.1.p, Roisl.0027s0058.1.p, Roisl.0184s0001.1.p, Roisl.0075s0145.1.p, Roisl.0185s0004.1.p, Roisl.0063s0044.1.p	jg11451, jg27712, jg11787
OG0000097	Roisl.0041s0023.1.p, Roisl.0020s0014.1.p	jg11932, jg7619, jg7052, jg7054, jg27619, jg27677, jg21182, jg1858, jg13878, jg7238, jg7202
OG0000097	Roisl.0045s0012.1.p, Roisl.0081s0001.1.p	jg11589
OG0000097	Roisl.0043s0036.1.p, Roisl.0012s0401.1.p, Roisl.0058s0018.1.p	jg21181
OG0000097	Roisl.0027s0139.1.p, Roisl.0014s0145.1.p, Roisl.0189s0105.1.p, Roisl.0064s0025.1.p, Roisl.0038s0046.1.p	jg13803
OG0000098	Roisl.0038s0014.1.p	jg27461, jg27465, jg16874, jg31283, jg17594, jg11987
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	jg2306
OG0000098	Roisl.0040s0006.1.p	jg27471, jg27452
OG0000098	Roisl.0006s0130.1.p	jg17595, jg31284
OG0000098	Roisl.0066s0082.1.p	jg16872
OG0000098	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p	jg27222, jg27460, jg27464, jg17593, jg16875
OG0000100	Roisl.0050s0110.1.p	jg1373
OG0000100	Roisl.0008s0047.1.p, Roisl.0008s0045.1.p, Roisl.0021s0634.1.p	jg1405
OG0000100	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p	jg1396
OG0000100	Roisl.0214s0561.1.p	jg1380, jg1381
OG0000100	Roisl.0214s0639.1.p	jg1001
OG0000100	Roisl.0214s0220.1.p	jg492
OG0000100	Roisl.0209s0720.1.p, Roisl.0209s0070.1.p	jg471
OG0000100	Roisl.0010s0201.1.p	jg475
OG0000101	Roisl.0062s0015.1.p, Roisl.0209s0004.1.p, Roisl.0115s0296.1.p, Roisl.0188s0009.1.p	jg27510
OG0000102	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p	jg7815, jg7812, jg7813
OG0000102	Roisl.0214s0910.1.p	jg11552
OG0000102	Roisl.0082s0308.1.p	jg7819
OG0000102	Roisl.0082s0306.1.p	jg7810
OG0000105	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p	jg14191, jg14194
OG0000105	Roisl.0009s0041.1.p	jg12802, jg12815
OG0000105	Roisl.0009s0283.1.p, Roisl.0006s0566.1.p	jg12094
OG0000106	Roisl.0046s0419.1.p	jg727
OG0000107	Roisl.0115s0327.1.p	jg26161
OG0000107	Roisl.0115s0324.1.p	jg26158
OG0000108	Roisl.0017s0109.1.p	jg18920, jg15311
OG0000108	Roisl.0209s0353.1.p	jg14433, jg22870
OG0000108	Roisl.0210s0691.1.p, Roisl.0037s0052.1.p, Roisl.0209s0106.1.p	jg4799
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	jg19509, jg19508
OG0000110	Roisl.0040s0028.1.p	jg9173
OG0000111	Roisl.0015s0039.1.p	jg7195, jg7197, jg7196, jg7198
OG0000111	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p	jg26895, jg27877, jg15265
OG0000111	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p	jg13696, jg13695, jg13697, jg3144
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	Roisl.0024s0009.1.p, Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p, Roisl.0179s0081.1.p	jg6733
OG0000117	Roisl.0191s0189.1.p	jg30922
OG0000117	Roisl.0191s0191.1.p	jg30923, jg30924
OG0000117	Roisl.0191s0196.1.p	jg30929
OG0000118	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p	jg19043
OG0000118	Roisl.0012s0130.1.p	jg19023, jg19021, jg19020
OG0000118	Roisl.0017s0203.1.p, Roisl.0017s0206.1.p	jg12773
OG0000118	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p	jg26630, jg26627, jg26631, jg26628
OG0000118	Roisl.0006s0120.1.p, Roisl.0210s2038.1.p	jg24304
OG0000118	Roisl.0025s0059.1.p	jg26990
OG0000119	Roisl.0080s0250.1.p	jg22962
OG0000119	Roisl.0082s0489.1.p	jg17260, jg17259, jg17257
OG0000119	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p	jg14055
OG0000119	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p	jg14315, jg14316
OG0000122	Roisl.0080s0689.1.p	jg22486
OG0000122	Roisl.0080s0694.1.p	jg22505
OG0000122	Roisl.0080s0684.1.p	jg22508
OG0000123	Roisl.0080s0163.1.p	jg16607
OG0000125	Roisl.0082s0689.1.p	jg17897
OG0000125	Roisl.0091s1034.1.p	jg29111
OG0000125	Roisl.0013s0044.1.p	jg33004
OG0000125	Roisl.0006s0236.1.p	jg33352, jg33355
OG0000125	Roisl.0006s0238.1.p, Roisl.0006s0239.1.p	jg33354
OG0000125	Roisl.0213s0753.1.p	jg33347
OG0000125	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p	jg26323
OG0000126	Roisl.0014s0012.1.p	jg27207
OG0000126	Roisl.0021s0393.1.p, Roisl.0208s0044.1.p, Roisl.0208s0042.1.p, Roisl.0020s0136.1.p	jg17369, jg17588
OG0000126	Roisl.0021s0394.1.p	jg1156, jg1158
OG0000126	Roisl.0082s0286.1.p, Roisl.0020s0135.1.p	jg32822
OG0000126	Roisl.0184s0211.1.p	jg27206, jg17305
OG0000127	Roisl.0091s1058.1.p	jg29136
OG0000127	Roisl.0210s1950.1.p	jg6123
OG0000127	Roisl.0046s1343.1.p	jg15301
OG0000127	Roisl.0034s0161.1.p	jg3993
OG0000127	Roisl.0079s0305.1.p	jg24874
OG0000127	Roisl.0080s0276.1.p	jg22931
OG0000127	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p	jg14383
