Orthogroup	Rorippa_islandica	Alyssum_gmelinii
OG0000026	Roisl.0213s0871.1.p	Ag063G5074400, Ag063G5074600, Ag020G2577200, Ag030G3131700, Ag002G0272200, Ag055G4904800, Ag003G0347700, Ag014G2059100, Ag016G2402300, Ag016G2403500, Ag053G4869800, Ag287G5488300, Ag015G2272200, Ag023G2829200, Ag013G1736700, Ag015G2272100, Ag016G2403600, Ag025G2906900, Ag031G3406200, Ag063G5074500, Ag063G5074300, Ag016G2402400
OG0000027	Roisl.0213s0580.1.p, Roisl.0213s0582.1.p	Ag021G2619200
OG0000027	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p	Ag021G2619900
OG0000027	Roisl.0008s0130.1.p	Ag077G5324400
OG0000027	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p	Ag077G5325900
OG0000027	Roisl.0214s0896.1.p	Ag093G5459600
OG0000027	Roisl.0008s0069.1.p	Ag093G5459100, Ag033G3498600, Ag002G0200100, Ag077G5325600
OG0000027	Roisl.0012s0193.1.p, Roisl.0008s0072.1.p	Ag033G3496400
OG0000029	Roisl.0208s0029.1.p	Ag002G0180900, Ag022G2648100
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p, Roisl.0019s0830.1.p, Roisl.0019s0831.1.p, Roisl.0115s0300.1.p	Ag014G2144800, Ag014G2145600, Ag014G2146200, Ag014G2146400, Ag014G2146900, Ag014G2147100, Ag014G2147000, Ag014G2146700, Ag014G2145800, Ag014G2145100, Ag014G2144300, Ag014G2147700
OG0000030	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	Ag014G1952600, Ag014G1958800, Ag014G1958700, Ag014G1965000, Ag042G4396900, Ag042G4397700, Ag042G4398200, Ag014G1952300, Ag014G1952400
OG0000030	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p, Roisl.0046s0887.1.p, Roisl.0042s0059.1.p	Ag014G2099300, Ag027G3062200, Ag014G1975300
OG0000030	Roisl.0074s0641.1.p	Ag014G1840000
OG0000030	Roisl.0046s0886.1.p	Ag013G1357800
OG0000030	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p	Ag014G1839700, Ag014G1840100
OG0000031	Roisl.0055s0036.1.p	Ag018G2463100
OG0000031	Roisl.0006s0260.1.p, Roisl.0189s0047.1.p, Roisl.0047s0054.1.p, Roisl.0189s0150.1.p, Roisl.0209s0447.1.p	Ag012G1296200, Ag030G3133700
OG0000031	Roisl.0188s0032.1.p, Roisl.0036s0104.1.p	Ag011G1132700, Ag003G0359800
OG0000031	Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p	Ag028G3081200, Ag048G4605200, Ag023G2817900
OG0000032	Roisl.0021s0539.1.p	Ag037G4132500
OG0000032	Roisl.0005s0192.1.p	Ag005G0786000
OG0000032	Roisl.0029s0063.1.p	Ag011G1160200, Ag011G1160300, Ag011G1160400
OG0000034	Roisl.0008s0068.1.p	Ag093G5459200, Ag033G3498700
OG0000034	Roisl.0214s0895.1.p	Ag093G5459500, Ag033G3498900
OG0000034	Roisl.0008s0077.1.p	Ag033G3477100, Ag052G4847100
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p, Roisl.0091s0190.1.p	Ag048G4579800
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	Ag033G3496000, Ag077G5324500
OG0000034	Roisl.0214s0905.1.p	Ag033G3500200, Ag093G5460400
OG0000035	Roisl.0213s0218.1.p	Ag061G5042200, Ag007G0851700, Ag007G0851600, Ag015G2256800, Ag031G3385600
OG0000035	Roisl.0214s0147.1.p	Ag093G5463700
OG0000040	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p	Ag031G3415700
OG0000040	Roisl.0020s0088.1.p, Roisl.0179s0100.1.p, Roisl.0058s0100.1.p, Roisl.0209s0494.1.p, Roisl.0214s0186.1.p	Ag039G4283900
OG0000040	Roisl.0012s0087.1.p	Ag038G4173200
OG0000042	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p	Ag046G4535300, Ag066G5171000, Ag024G2870100
OG0000042	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p	Ag007G0876900, Ag096G5474100
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	Ag015G2214400, Ag011G1070600
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p, Roisl.0028s0881.1.p	Ag023G2817300, Ag039G4253700, Ag002G0154100
OG0000043	Roisl.0080s0178.1.p	Ag022G2736700, Ag016G2284200
OG0000043	Roisl.0013s0195.1.p	Ag019G2521200
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	Ag019G2498100
OG0000046	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	Ag004G0691700
OG0000048	Roisl.0214s0362.1.p	Ag039G4227200, Ag039G4227400, Ag039G4227300
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	Ag013G1657300, Ag013G1657200, Ag013G1657100, Ag013G1657000, Ag013G1657400, Ag013G1658600, Ag013G1658500, Ag013G1651500, Ag013G1657700, Ag022G2632300
OG0000048	Roisl.0017s0510.1.p	Ag034G3744100, Ag013G1648400, Ag016G2390700, Ag013G1573400, Ag013G1573000, Ag013G1626000, Ag013G1648500, Ag013G1647900
OG0000048	Roisl.0028s0615.1.p	Ag032G3445200, Ag048G4573000, Ag013G1577300, Ag013G1657800
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	Ag002G0166000, Ag019G2535000, Ag013G1454200, Ag002G0129500, Ag014G1805000, Ag002G0202200, Ag015G2221900, Ag015G2264900, Ag025G2919100, Ag014G2113900, Ag004G0548900
OG0000050	Roisl.0214s0827.1.p	Ag016G2298800, Ag034G3860900, Ag015G2213900, Ag020G2565400, Ag003G0365400, Ag022G2666500, Ag013G1429800, Ag023G2797800, Ag078G5357100, Ag088G5430600, Ag006G0803400, Ag034G3970700, Ag066G5153700
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	Ag031G3328800, Ag019G2527600, Ag020G2554600
OG0000050	Roisl.0082s0464.1.p	Ag027G3020100, Ag013G1440200, Ag022G2649500, Ag066G5147200, Ag001G0043200, Ag024G2885900
OG0000051	Roisl.0028s0722.1.p	Ag003G0387400, Ag003G0387300, Ag003G0387500, Ag003G0387800, Ag003G0387600, Ag003G0387700
OG0000051	Roisl.0189s0079.1.p	Ag003G0385200, Ag003G0384600, Ag003G0385100, Ag003G0385000, Ag003G0384900
OG0000052	Roisl.0011s0479.1.p	Ag032G3434200, Ag032G3433000
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	Ag034G4065400
OG0000055	Roisl.0074s0202.1.p, Roisl.0053s0284.1.p	Ag014G2041700
OG0000055	Roisl.0053s0119.1.p	Ag014G2041600
OG0000056	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p	Ag011G1149600, Ag011G1148500
OG0000056	Roisl.0209s0402.1.p	Ag002G0180000
OG0000060	Roisl.0091s1062.1.p	Ag034G3744900
OG0000060	Roisl.0082s0647.1.p	Ag016G2302600, Ag013G1610000
OG0000061	Roisl.0045s0092.1.p	Ag025G2916200, Ag025G2916400, Ag025G2916000, Ag025G2915500, Ag025G2917200, Ag025G2915700, Ag025G2913000, Ag002G0098300
OG0000065	Roisl.0024s0064.1.p, Roisl.0024s0067.1.p, Roisl.0024s0060.1.p, Roisl.0024s0071.1.p, Roisl.0024s0082.1.p, Roisl.0024s0079.1.p, Roisl.0214s0743.1.p, Roisl.0024s0073.1.p	Ag016G2372900, Ag016G2372400
OG0000065	Roisl.0024s0076.1.p	Ag016G2372600
OG0000066	Roisl.0210s0757.1.p	Ag004G0438400
OG0000066	Roisl.0210s0756.1.p	Ag034G3765900
OG0000066	Roisl.0024s0428.1.p	Ag034G3780100
OG0000066	Roisl.0210s0812.1.p	Ag013G1513800
OG0000066	Roisl.0001s0457.1.p	Ag048G4702700
OG0000067	Roisl.0214s0162.1.p	Ag013G1533100
OG0000067	Roisl.0046s0696.1.p	Ag031G3254900
OG0000068	Roisl.0034s0163.1.p	Ag011G1073300, Ag011G1073200, Ag014G1989500, Ag011G1073900
OG0000069	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p	Ag048G4643500
OG0000069	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p	Ag048G4574700, Ag048G4708100, Ag034G3920200, Ag048G4553800, Ag048G4563500
OG0000069	Roisl.0115s0002.1.p	Ag048G4644300, Ag048G4643100
OG0000069	Roisl.0019s0342.1.p	Ag031G3335200, Ag031G3335500, Ag031G3335400
OG0000070	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	Ag039G4215000
OG0000070	Roisl.0007s0115.1.p	Ag034G3976800
OG0000070	Roisl.0004s0297.1.p	Ag048G4685000
OG0000073	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p	Ag077G5319300
OG0000073	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p	Ag065G5125300
OG0000074	Roisl.0054s0034.1.p	Ag025G2969700
OG0000075	Roisl.0001s0515.1.p	Ag021G2601300
OG0000075	Roisl.0001s0516.1.p	Ag011G1119800, Ag011G1120100, Ag011G1120000
OG0000076	Roisl.0115s0707.1.p	Ag011G1037000
OG0000076	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p, Roisl.0005s0285.1.p	Ag013G1400700
OG0000077	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p	Ag033G3566700
OG0000077	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p	Ag034G3937600, Ag034G3937000, Ag001G0019700, Ag025G2944900
OG0000077	Roisl.0214s0806.1.p	Ag002G0173900
OG0000077	Roisl.0005s0364.1.p	Ag006G0838600
OG0000078	Roisl.0016s0321.1.p	Ag014G1810600
OG0000078	Roisl.0016s0324.1.p	Ag014G1809300, Ag014G1810300
OG0000079	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p	Ag018G2444300, Ag022G2658800
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	Ag019G2512100, Ag066G5159500, Ag002G0249600, Ag043G4447600, Ag014G2017300
OG0000081	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p, Roisl.0046s0697.1.p	Ag013G1532900, Ag015G2210200, Ag033G3619800, Ag034G3937400, Ag066G5128300, Ag050G4763200, Ag033G3590000, Ag011G1174500
OG0000082	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p	Ag061G5051200
OG0000082	Roisl.0020s0102.1.p	Ag014G1913600, Ag038G4146900
OG0000083	Roisl.0209s0532.1.p	Ag011G1108800
OG0000084	Roisl.0064s0015.1.p, Roisl.0214s0736.1.p	Ag087G5426100
OG0000089	Roisl.0210s2052.1.p	Ag004G0519800
OG0000089	Roisl.0209s0395.1.p	Ag055G4906500, Ag004G0479400
OG0000089	Roisl.0082s0748.1.p	Ag013G1621300
OG0000089	Roisl.0210s0950.1.p	Ag013G1488000
OG0000089	Roisl.0012s0263.1.p	Ag016G2360800
OG0000089	Roisl.0091s0246.1.p	Ag033G3591100
OG0000089	Roisl.0028s0886.1.p	Ag023G2824600
OG0000089	Roisl.0004s0314.1.p	Ag048G4693300
OG0000090	Roisl.0184s0229.1.p	Ag062G5054300, Ag007G0888700
OG0000090	Roisl.0020s0036.1.p	Ag021G2604300
OG0000090	Roisl.0036s0108.1.p, Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p, Roisl.0214s0234.1.p, Roisl.0214s0277.1.p, Roisl.0209s0077.1.p, Roisl.0111s0002.1.p	Ag013G1764600, Ag056G4937000, Ag003G0343600, Ag068G5212400, Ag002G0264300, Ag048G4621900, Ag019G2531000, Ag006G0823200, Ag013G1384300
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	Ag004G0570300
OG0000091	Roisl.0209s0428.1.p	Ag014G2119500, Ag014G2119400, Ag014G2119100
OG0000095	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000096	Roisl.0204s0041.1.p, Roisl.0204s0039.1.p, Roisl.0204s0044.1.p, Roisl.0001s0531.1.p, Roisl.0074s0979.1.p, Roisl.0028s0613.1.p	Ag002G0154900
OG0000096	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p	Ag002G0165500
OG0000098	Roisl.0038s0014.1.p	Ag013G1485800, Ag021G2621100, Ag004G0531500
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	Ag040G4345100
OG0000098	Roisl.0006s0130.1.p	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	Roisl.0214s0220.1.p	Ag002G0112700, Ag063G5079400
OG0000100	Roisl.0209s0720.1.p	Ag063G5086400, Ag002G0116500
OG0000102	Roisl.0082s0308.1.p	Ag016G2370600
OG0000102	Roisl.0082s0306.1.p	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	Roisl.0016s0342.1.p	Ag014G1812600
OG0000105	Roisl.0214s0835.1.p	Ag011G1082500, Ag011G1083100
OG0000105	Roisl.0210s0842.1.p	Ag011G1082700
OG0000105	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p, Roisl.0214s0850.1.p	Ag011G1082400
OG0000105	Roisl.0213s0408.1.p	Ag025G2901500
OG0000105	Roisl.0005s0131.1.p	Ag016G2303900
OG0000105	Roisl.0005s0149.1.p, Roisl.0005s0162.1.p	Ag016G2287900
OG0000105	Roisl.0005s0217.1.p	Ag050G4782400
OG0000105	Roisl.0009s0041.1.p	Ag048G4578200
OG0000105	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p	Ag002G0105300, Ag002G0104800, Ag063G5087100, Ag025G2961900
OG0000105	Roisl.0006s0566.1.p	Ag048G4614100
OG0000106	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900
OG0000107	Roisl.0115s0327.1.p	Ag014G2149500
OG0000107	Roisl.0115s0429.1.p	Ag014G2150100
OG0000107	Roisl.0115s0326.1.p	Ag014G2149200
OG0000108	Roisl.0017s0109.1.p	Ag031G3385800, Ag039G4307100
OG0000108	Roisl.0209s0353.1.p, Roisl.0080s0345.1.p	Ag004G0614200, Ag004G0644200
OG0000108	Roisl.0074s0792.1.p	Ag014G1944700
OG0000108	Roisl.0210s0691.1.p	Ag013G1537900
OG0000108	Roisl.0074s0053.1.p	Ag014G2095200
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	Ag003G0396500
OG0000110	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p	Ag001G0067200, Ag060G5005400, Ag010G1016200
OG0000117	Roisl.0191s0190.1.p	Ag088G5442700
OG0000117	Roisl.0191s0196.1.p	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000118	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p, Roisl.0012s0130.1.p, Roisl.0023s0087.1.p, Roisl.0023s0086.1.p, Roisl.0017s0203.1.p, Roisl.0017s0206.1.p	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000119	Roisl.0042s0129.1.p	Ag031G3224800
OG0000119	Roisl.0209s0264.1.p	Ag048G4660700, Ag013G1597500
OG0000119	Roisl.0080s0250.1.p	Ag004G0623100, Ag004G0623400
OG0000119	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p	Ag019G2548800, Ag013G1361500
OG0000122	Roisl.0080s0684.1.p	Ag004G0718500
OG0000124	Roisl.0191s0300.1.p	Ag075G5298000, Ag056G4938600
OG0000124	Roisl.0011s0204.1.p	Ag005G0788500, Ag031G3394500, Ag067G5193700
OG0000125	Roisl.0082s0689.1.p	Ag013G1613200
OG0000125	Roisl.0082s0678.1.p	Ag013G1613100, Ag013G1613000
OG0000125	Roisl.0091s1034.1.p	Ag034G3743800
OG0000125	Roisl.0013s0044.1.p	Ag001G0065100
OG0000125	Roisl.0006s0236.1.p	Ag001G0066100
OG0000125	Roisl.0006s0238.1.p, Roisl.0006s0239.1.p	Ag001G0065800
OG0000125	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p	Ag027G3062400
OG0000127	Roisl.0091s1058.1.p	Ag034G3746600
OG0000127	Roisl.0210s1950.1.p	Ag004G0605400
OG0000127	Roisl.0046s1343.1.p	Ag031G3386800, Ag039G4310500
OG0000127	Roisl.0080s0276.1.p, Roisl.0209s0299.1.p, Roisl.0209s0304.1.p, Roisl.0082s0645.1.p	Ag013G1609800
OG0000128	Roisl.0019s0650.1.p	Ag031G3351100
