Orthogroup	Rorippa_islandica	Camelina_sativa
OG0000003	Roisl.0058s0052.1.p	XP_019089122.1, XP_010436801.1, XP_010424388.1, XP_010445682.1, XP_010422568.1, XP_010445926.1
OG0000003	Roisl.0047s0023.1.p, Roisl.0213s0678.1.p, Roisl.0005s0145.1.p, Roisl.0214s0184.1.p, Roisl.0188s0028.1.p, Roisl.0004s0406.1.p, Roisl.0053s0433.1.p, Roisl.0037s0060.1.p, Roisl.0184s0058.1.p	XP_010475217.1
OG0000003	Roisl.0189s0026.1.p	XP_010496100.1, XP_010474339.1
OG0000003	Roisl.0046s0266.1.p, Roisl.0013s0148.1.p, Roisl.0184s0125.1.p, Roisl.0191s0324.1.p, Roisl.0184s0019.1.p, Roisl.0041s0045.1.p, Roisl.0209s0112.1.p, Roisl.0111s0003.1.p, Roisl.0056s0038.1.p, Roisl.0213s0675.1.p, Roisl.0058s0002.1.p, Roisl.0012s0115.1.p, Roisl.0213s0710.1.p, Roisl.0213s0711.1.p, Roisl.0014s0059.1.p, Roisl.0213s0758.1.p	XP_010418675.1
OG0000003	Roisl.0015s0133.1.p, Roisl.0017s0491.1.p, Roisl.0179s0077.1.p, Roisl.0058s0001.1.p	XP_019087435.1
OG0000003	Roisl.0061s0013.1.p, Roisl.0066s0222.1.p, Roisl.0023s0114.1.p, Roisl.0214s0241.1.p	XP_010436867.1
OG0000003	Roisl.0198s0065.1.p	XP_019089103.1
OG0000003	Roisl.0179s0091.1.p, Roisl.0214s0894.1.p	XP_010468560.1, XP_010446081.1
OG0000004	Roisl.0022s0436.1.p	XP_019096757.1
OG0000005	Roisl.0194s0060.1.p	XP_010430868.1, XP_010495615.1, XP_019094583.1
OG0000005	Roisl.0015s0193.1.p	XP_019100832.1
OG0000005	Roisl.0027s0145.1.p	XP_010485073.1
OG0000005	Roisl.0083s0019.1.p	XP_019086296.1
OG0000005	Roisl.0048s0032.1.p	XP_010468621.1
OG0000005	Roisl.0082s0003.1.p, Roisl.0194s0063.1.p	XP_010470568.1
OG0000005	Roisl.0033s0009.1.p	XP_010412456.1
OG0000007	Roisl.0064s0008.1.p	XP_019099816.1, XP_010463256.1
OG0000008	Roisl.0082s0661.1.p	XP_019085413.1
OG0000008	Roisl.0029s0057.1.p, Roisl.0043s0001.1.p	XP_019084270.1
OG0000008	Roisl.0075s0191.1.p	XP_019097485.1
OG0000008	Roisl.0025s0028.1.p	XP_010490195.1
OG0000008	Roisl.0072s0014.1.p	XP_019089099.1
OG0000008	Roisl.0053s0439.1.p	XP_010419054.1, XP_019093233.1, XP_010490230.2, XP_010468775.1, XP_019095563.1, XP_010419092.1
OG0000008	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p	XP_010462780.1
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p	XP_010484838.1, XP_010425247.1, XP_010480908.1, XP_010451894.1
OG0000008	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p	XP_010423670.1, XP_010507012.1
OG0000008	Roisl.0210s2153.1.p	XP_010424538.1, XP_019096484.1
OG0000008	Roisl.0014s0141.1.p	XP_019087817.1, XP_010495527.1
OG0000008	Roisl.0189s0008.1.p	XP_019087530.1, XP_010419093.1, XP_019096488.1, XP_010419095.1
OG0000008	Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	XP_010431254.1, XP_010507402.1
OG0000008	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p	XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010456943.1, XP_010424377.2
OG0000008	Roisl.0022s0261.1.p	XP_010445494.1, XP_019087202.1
OG0000008	Roisl.0053s0125.1.p	XP_010495176.1, XP_010497048.1
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p	XP_019097389.1, XP_019092334.1
OG0000008	Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p	XP_010480870.1
OG0000008	Roisl.0189s0101.1.p	XP_019084336.1
OG0000009	Roisl.0008s0348.1.p	XP_010462909.1, XP_010507589.1
OG0000011	Roisl.0201s0003.1.p	XP_010516924.1
OG0000011	Roisl.0019s0018.1.p	XP_010451589.1, XP_019094549.1, XP_010496057.1, XP_010495781.2, XP_010501777.1
OG0000012	Roisl.0013s0173.1.p, Roisl.0046s1019.1.p	XP_010464671.1, XP_010500083.1, XP_010517357.1, XP_010446274.1, XP_010474320.1, XP_010418947.1, XP_010451621.1, XP_010436204.1, XP_010445208.1, XP_010463434.1
OG0000012	Roisl.0011s0567.1.p	XP_010456918.1, XP_010489976.1, XP_019087426.1, XP_019097606.1, XP_010507182.1, XP_019094134.1, XP_010473919.1, XP_010462803.1, XP_019100981.1, XP_010513730.1
OG0000012	Roisl.0198s0021.1.p, Roisl.0082s0083.1.p	XP_010467672.1
OG0000014	Roisl.0191s0716.1.p	XP_019097536.1
OG0000014	Roisl.0066s0054.1.p, Roisl.0028s0694.1.p, Roisl.0082s0210.1.p, Roisl.0020s0166.1.p	XP_010418861.1
OG0000014	Roisl.0204s0102.1.p	XP_019089193.1, XP_019090108.1
OG0000014	Roisl.0111s0029.1.p	XP_019096531.1, XP_019095899.1
OG0000014	Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p	XP_010496850.1, XP_010507594.1
OG0000014	Roisl.0071s0004.1.p	XP_019089243.1, XP_019085515.1, XP_019089188.1, XP_019085407.1
OG0000014	Roisl.0214s0137.1.p	XP_019086291.1
OG0000014	Roisl.0002s0076.1.p, Roisl.0029s0003.1.p, Roisl.0040s0055.1.p, Roisl.0055s0017.1.p, Roisl.0194s0041.1.p	XP_019087584.1
OG0000015	Roisl.0209s0284.1.p	XP_010420917.1, XP_019089071.1, XP_010462823.1, XP_019101915.1, XP_010490066.1, XP_010472228.1, XP_010490468.1, XP_010445504.1, XP_010481162.1
OG0000015	Roisl.0010s0007.1.p	XP_010451702.1, XP_010497067.1, XP_010495723.1, XP_010430713.1, XP_010424221.1, XP_010497070.1, XP_019101930.1, XP_010481012.1, XP_010513208.1
OG0000015	Roisl.0214s0740.1.p	XP_010427798.1
OG0000015	Roisl.0082s0057.1.p	XP_019089569.1
OG0000016	Roisl.0092s0004.1.p, Roisl.0032s0061.1.p	XP_019085513.1
OG0000016	Roisl.0082s0070.1.p, Roisl.0010s0034.1.p, Roisl.0184s0188.1.p, Roisl.0014s0103.1.p, Roisl.0087s0003.1.p, Roisl.0191s0682.1.p, Roisl.0029s0058.1.p, Roisl.0189s0040.1.p, Roisl.0012s0157.1.p, Roisl.0020s0151.1.p, Roisl.0209s0003.1.p	XP_010456869.1
OG0000016	Roisl.0210s2086.1.p	XP_019097501.1
OG0000016	Roisl.0019s0044.1.p, Roisl.0179s0005.1.p, Roisl.0037s0076.1.p, Roisl.0047s0042.1.p, Roisl.0075s0022.1.p	XP_010418804.1
OG0000016	Roisl.0040s0014.1.p	XP_019087427.1
OG0000016	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p	XP_019097468.1, XP_019089192.1
OG0000016	Roisl.0214s0473.1.p, Roisl.0066s0456.1.p, Roisl.0010s0020.1.p	XP_019101837.1
OG0000016	Roisl.0055s0062.1.p, Roisl.0053s0143.1.p, Roisl.0209s0129.1.p	XP_010424453.1
OG0000016	Roisl.0188s0048.1.p	XP_019096474.1
OG0000016	Roisl.0011s0411.1.p, Roisl.0002s0269.1.p, Roisl.0200s0017.1.p	XP_019097363.1, XP_019085865.1, XP_010469984.1, XP_010513482.1, XP_010468558.1, XP_010474070.1, XP_010513601.1, XP_019085545.1, XP_010497062.1, XP_010507110.1, XP_010451811.1, XP_019091133.1, XP_010463173.1, XP_019085455.1, XP_010495970.1, XP_019082522.1, XP_010451699.1, XP_010456761.1, XP_010430902.1, XP_019092388.1
OG0000016	Roisl.0027s0071.1.p, Roisl.0009s0001.1.p, Roisl.0071s0005.1.p, Roisl.0003s0100.1.p, Roisl.0062s0008.1.p, Roisl.0053s0114.1.p, Roisl.0058s0049.1.p, Roisl.0191s0698.1.p, Roisl.0198s0070.1.p, Roisl.0184s0069.1.p	XP_019082595.1
OG0000016	Roisl.0082s0082.1.p, Roisl.0065s0009.1.p, Roisl.0111s0013.1.p, Roisl.0188s0139.1.p, Roisl.0014s0105.1.p, Roisl.0022s0022.1.p, Roisl.0201s0019.1.p, Roisl.0184s0048.1.p, Roisl.0041s0040.1.p, Roisl.0014s0101.1.p, Roisl.0188s0073.1.p, Roisl.0066s0435.1.p, Roisl.0074s0171.1.p, Roisl.0209s0020.1.p, Roisl.0210s2085.1.p, Roisl.0014s0097.1.p, Roisl.0037s0046.1.p, Roisl.0015s0198.1.p, Roisl.0008s0038.1.p, Roisl.0055s0054.1.p, Roisl.0021s0633.1.p, Roisl.0045s0102.1.p	XP_019084262.1
OG0000016	Roisl.0041s0052.1.p, Roisl.0023s0004.1.p	XP_019097509.1
OG0000016	Roisl.0078s0001.1.p	XP_010424427.1
OG0000016	Roisl.0066s0442.1.p	XP_010445609.1
OG0000016	Roisl.0036s0004.1.p	XP_010445482.1
OG0000016	Roisl.0213s0002.1.p	XP_019096116.1, XP_019092317.1
OG0000020	Roisl.0179s0050.1.p	XP_019084343.1
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	Roisl.0037s0007.1.p, Roisl.0066s0087.1.p	XP_010499860.1
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p, Roisl.0037s0008.1.p, Roisl.0211s0007.1.p, Roisl.0214s0109.1.p	XP_019082585.1
OG0000020	Roisl.0188s0046.1.p	XP_010511936.1
OG0000021	Roisl.0082s0017.1.p	XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1
OG0000021	Roisl.0179s0097.1.p	XP_010484789.1
OG0000021	Roisl.0198s0008.1.p	XP_010431203.2, XP_019096510.1, XP_019100928.1
OG0000021	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p	XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1
OG0000021	Roisl.0066s0388.1.p	XP_010484820.1, XP_010496602.2
OG0000021	Roisl.0014s0139.1.p	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000022	Roisl.0022s0346.1.p	XP_010438694.1, XP_010448208.1, XP_010433436.1
OG0000022	Roisl.0210s1365.1.p	XP_010453827.1, XP_019084725.1, XP_010492576.1
OG0000022	Roisl.0010s0095.1.p	XP_019082759.1, XP_019087557.1
OG0000022	Roisl.0010s0065.1.p	XP_010473491.1, XP_010418269.1, XP_010430336.1
OG0000022	Roisl.0010s0092.1.p	XP_010419464.1
OG0000022	Roisl.0010s0088.1.p	XP_019082760.1, XP_019085675.1
OG0000022	Roisl.0008s0013.1.p	XP_010431725.1, XP_010431724.1, XP_010419467.1, XP_010418350.1, XP_019082755.1, XP_019087757.1, XP_010419472.1, XP_010430432.1
OG0000022	Roisl.0010s0069.1.p	XP_010474584.1, XP_019085228.1, XP_010419465.1
OG0000022	Roisl.0021s0368.1.p	XP_010501563.1
OG0000022	Roisl.0021s0361.1.p	XP_010458700.1
OG0000022	Roisl.0050s0030.1.p	XP_010418533.1, XP_019085324.1
OG0000022	Roisl.0050s0031.1.p	XP_010418529.1, XP_010430597.1
OG0000022	Roisl.0009s0109.1.p	XP_010447152.1, XP_010436064.1
OG0000022	Roisl.0074s0275.1.p	XP_019096254.1, XP_010504570.1, XP_010465692.1
OG0000024	Roisl.0066s0178.1.p	XP_010478551.1
OG0000024	Roisl.0213s0506.1.p	XP_010480848.1, XP_010478732.1, XP_010463094.1
OG0000024	Roisl.0204s0165.1.p, Roisl.0204s0164.1.p	XP_010463028.1, XP_019094489.1
OG0000024	Roisl.0213s0367.1.p	XP_010501685.1
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	XP_010438543.1, XP_010496538.1
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	XP_010495239.1, XP_010495240.1, XP_010507228.1
OG0000027	Roisl.0213s0582.1.p	XP_010434897.1, XP_010455557.1, XP_010455558.1
OG0000027	Roisl.0008s0130.1.p	XP_010439188.2, XP_010433919.1
OG0000027	Roisl.0184s0130.1.p	XP_019087868.1, XP_019089322.1
OG0000027	Roisl.0008s0071.1.p	XP_010433921.1, XP_010448734.2, XP_019087877.1, XP_019087876.1
OG0000027	Roisl.0184s0126.1.p	XP_019086460.1
OG0000027	Roisl.0184s0128.1.p, Roisl.0184s0127.1.p	XP_019086469.1, XP_010439191.1
OG0000027	Roisl.0184s0129.1.p	XP_010442801.1
OG0000027	Roisl.0008s0080.1.p	XP_010427119.1, XP_010514748.1, XP_010503063.1
OG0000027	Roisl.0214s0896.1.p	XP_010418084.1, XP_010439216.1
OG0000027	Roisl.0008s0069.1.p	XP_010439208.1, XP_010433929.1, XP_010448752.1
OG0000027	Roisl.0008s0076.1.p	XP_019087878.1
OG0000027	Roisl.0012s0193.1.p	XP_010439207.1
OG0000027	Roisl.0008s0072.1.p	XP_010451240.1, XP_010445190.1
OG0000028	Roisl.0080s0376.1.p	XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1
OG0000028	Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p	XP_010446183.1
OG0000028	Roisl.0075s0121.1.p	XP_019095667.1
OG0000028	Roisl.0210s1185.1.p	XP_010456475.1
OG0000028	Roisl.0008s0342.1.p	XP_010446868.1
OG0000030	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p	XP_010424523.1, XP_010487966.1, XP_019092251.1, XP_010463131.1, XP_010481059.1
OG0000030	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p	XP_010419044.1
OG0000030	Roisl.0115s0300.1.p	XP_019100742.1, XP_010489955.2
OG0000030	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p	XP_010462898.1
OG0000030	Roisl.0213s0186.1.p	XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	XP_010506941.1, XP_010481243.1
OG0000030	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p	XP_019093261.1
OG0000030	Roisl.0046s0887.1.p	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	Roisl.0042s0059.1.p	XP_019096352.1
OG0000030	Roisl.0021s0166.1.p	XP_010480422.1
OG0000030	Roisl.0091s0622.1.p	XP_010419250.2
OG0000030	Roisl.0074s0641.1.p	XP_010412587.1
OG0000030	Roisl.0046s0886.1.p	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000030	Roisl.0074s0618.1.p	XP_010501254.1, XP_019096650.1, XP_010465220.1, XP_019096368.1
OG0000031	Roisl.0023s0119.1.p	XP_019082588.1
OG0000031	Roisl.0006s0260.1.p, Roisl.0189s0047.1.p, Roisl.0047s0054.1.p, Roisl.0189s0150.1.p, Roisl.0209s0447.1.p	XP_019091421.1
OG0000031	Roisl.0020s0186.1.p	XP_010444656.1, XP_010424185.1, XP_010513198.1
OG0000031	Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p	XP_010421785.1
OG0000032	Roisl.0021s0539.1.p	XP_010419309.1
OG0000032	Roisl.0029s0063.1.p	XP_010484862.1
OG0000034	Roisl.0008s0068.1.p	XP_010433941.1, XP_010439209.1, XP_010448753.1
OG0000034	Roisl.0214s0895.1.p	XP_010418085.1, XP_010439218.1, XP_010448756.1
OG0000034	Roisl.0008s0077.1.p	XP_010439226.1, XP_010439227.1
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p	XP_019089519.1, XP_010434185.1
OG0000034	Roisl.0091s0190.1.p	XP_019088150.1, XP_019089518.1
OG0000034	Roisl.0191s0566.1.p	XP_010467326.1
OG0000034	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p	XP_019087864.1, XP_010448760.1, XP_010448759.1, XP_010433935.1
OG0000034	Roisl.0008s0074.1.p	XP_010439201.1, XP_019089065.1, XP_010448744.1
OG0000034	Roisl.0008s0129.1.p, Roisl.0008s0131.1.p	XP_010439190.1, XP_019089061.1, XP_019086461.1, XP_019087860.1, XP_010451231.2, XP_010448725.1, XP_010448726.1
OG0000034	Roisl.0214s0904.1.p	XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1
OG0000034	Roisl.0019s0659.1.p	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000034	Roisl.0214s0905.1.p	XP_010433930.1, XP_019087874.1, XP_010448768.1
OG0000038	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p	XP_019087591.1
OG0000038	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p	XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1
OG0000038	Roisl.0024s0539.1.p	XP_019090156.1, XP_019096519.1
OG0000040	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p	XP_010474284.1
OG0000040	Roisl.0012s0376.1.p	XP_010490455.1
OG0000040	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p	XP_019090150.1, XP_019089979.1
OG0000040	Roisl.0209s0055.1.p	XP_019085383.1, XP_019085329.1, XP_019082992.1, XP_019084027.1, XP_019100690.1, XP_019099950.1, XP_019088174.1, XP_019094516.1, XP_019095793.1, XP_019102288.1, XP_019101895.1, XP_010480899.1, XP_010490346.1, XP_010445623.1
OG0000040	Roisl.0012s0087.1.p	XP_019094451.1
OG0000041	Roisl.0046s0022.1.p	XP_019091156.1, XP_019093231.1, XP_019096492.1, XP_010412906.1, XP_019099748.1, XP_019086118.1, XP_019086485.1, XP_019086302.1, XP_019096323.1, XP_010436786.1, XP_019087653.1, XP_019099719.1, XP_019099720.1, XP_019095626.1, XP_019087375.1, XP_019085432.1, XP_019099649.1, XP_019096533.1, XP_019097420.1, XP_010497182.1, XP_010493723.1, XP_019099586.1, XP_019097449.1, XP_019099623.1, XP_019082639.1, XP_019093253.1, XP_019094507.1, XP_019086255.1, XP_019085066.1, XP_019086308.1, XP_019090126.1, XP_019097488.1, XP_019100800.1, XP_019086528.1, XP_019095528.1, XP_019084189.1
OG0000042	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p	XP_010445645.1, XP_010462855.1
OG0000042	Roisl.0032s0094.1.p	XP_010460219.1
OG0000042	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p	XP_010424457.1
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	XP_010513423.1, XP_010473769.1, XP_010513486.1
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p	XP_019101232.1, XP_010468709.1
OG0000043	Roisl.0210s1685.1.p	XP_010423930.1
OG0000043	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p	XP_010462654.1
OG0000044	Roisl.0005s0268.1.p	XP_010494828.1
OG0000044	Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p	XP_010496021.1
OG0000044	Roisl.0005s0150.1.p	XP_019096918.1
OG0000044	Roisl.0046s0833.1.p	XP_019086569.1, XP_010449698.1
OG0000044	Roisl.0002s0057.1.p	XP_010434750.1, XP_010440077.1, XP_010440087.1
OG0000044	Roisl.0005s0176.1.p	XP_010482397.1
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	XP_019091484.1
OG0000046	Roisl.0029s0014.1.p	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1
OG0000046	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1
OG0000047	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p	XP_010462614.1, XP_010430681.1, XP_010489839.1
OG0000047	Roisl.0038s0004.1.p, Roisl.0214s0886.1.p	XP_010424166.1, XP_010424066.1, XP_010445555.1, XP_010445888.1
OG0000048	Roisl.0214s0362.1.p	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	XP_010480341.1
OG0000048	Roisl.0017s0418.1.p, Roisl.0082s0583.1.p	XP_010513134.1, XP_010418702.1
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	XP_010418692.1, XP_010513136.1, XP_019082534.1, XP_010510111.2, XP_019099592.1, XP_010430751.1
OG0000048	Roisl.0017s0510.1.p	XP_019083013.1, XP_019083016.1, XP_019093684.1, XP_019100809.1, XP_010513158.1, XP_019082540.1, XP_010414120.1, XP_019098434.1, XP_010507693.2, XP_010512904.1, XP_019101431.1
OG0000048	Roisl.0074s0908.1.p	XP_019082535.1
OG0000048	Roisl.0028s0615.1.p	XP_010431681.1, XP_019082751.1, XP_010431684.1, XP_010431683.1, XP_010419453.1
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	XP_010412420.1, XP_010495728.1, XP_019097515.1, XP_010430899.1
OG0000050	Roisl.0082s0464.1.p	XP_010463383.1
OG0000051	Roisl.0082s0147.1.p	XP_010419487.1, XP_010474608.1, XP_019085682.1
OG0000051	Roisl.0028s0722.1.p	XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1, XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	Roisl.0189s0079.1.p	XP_019100718.1, XP_019102056.1
OG0000052	Roisl.0011s0477.1.p, Roisl.0209s0363.1.p	XP_010425425.1, XP_019100094.1
OG0000052	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p	XP_019100897.1, XP_010418932.1, XP_010418929.2
OG0000052	Roisl.0011s0480.1.p	XP_010502644.1, XP_019101817.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_010440300.1, XP_019085462.1, XP_019085408.1
OG0000052	Roisl.0046s0692.1.p	XP_010515239.1, XP_010503551.1, XP_010426408.1
OG0000052	Roisl.0011s0479.1.p	XP_010418931.1
OG0000054	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p	XP_010419074.1, XP_019087585.1, XP_019091106.1, XP_010513461.1, XP_010474092.1, XP_019098333.1, XP_019085464.1, XP_010501846.1
OG0000054	Roisl.0053s0423.1.p	XP_019093378.1
