Orthogroup	Rorippa_islandica	Cardamine_hirsuta
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p	CARHR118910, CARHR216990, CARHR111800
OG0000011	Roisl.0008s0052.1.p	CARHR218510
OG0000012	Roisl.0031s0101.1.p, Roisl.0213s0834.1.p	CARHR130420
OG0000012	Roisl.0013s0173.1.p, Roisl.0046s1019.1.p	CARHR032710
OG0000012	Roisl.0214s0631.1.p	CARHR256470
OG0000014	Roisl.0214s0137.1.p	CARHR287490
OG0000015	Roisl.0209s0284.1.p	CARHR258200, CARHR258330
OG0000015	Roisl.0214s0740.1.p, Roisl.0082s0057.1.p, Roisl.0006s0132.1.p, Roisl.0053s0047.1.p, Roisl.0032s0105.1.p	CARHR110600
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	CARHR113350, CARHR034150, CARHR049310
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p	CARHR213120
OG0000021	Roisl.0082s0017.1.p	CARHR146600
OG0000022	Roisl.0022s0346.1.p	CARHR234420
OG0000022	Roisl.0210s1365.1.p	CARHR196550
OG0000022	Roisl.0010s0089.1.p, Roisl.0010s0086.1.p	CARHR048190
OG0000022	Roisl.0010s0095.1.p	CARHR051050, CARHR048810
OG0000022	Roisl.0010s0161.1.p	CARHR047980
OG0000022	Roisl.0010s0065.1.p	CARHR049170
OG0000022	Roisl.0010s0092.1.p	CARHR048480, CARHR048800
OG0000022	Roisl.0010s0088.1.p	CARHR048840
OG0000022	Roisl.0008s0013.1.p	CARHR048440, CARHR047970
OG0000022	Roisl.0008s0014.1.p	CARHR048820
OG0000022	Roisl.0010s0121.1.p	CARHR051020, CARHR048770
OG0000022	Roisl.0028s0598.1.p	CARHR048220
OG0000022	Roisl.0010s0069.1.p	CARHR049120
OG0000022	Roisl.0021s0361.1.p	CARHR013000
OG0000022	Roisl.0021s0350.1.p	CARHR012910
OG0000022	Roisl.0050s0030.1.p	CARHR046360
OG0000022	Roisl.0050s0031.1.p	CARHR046370
OG0000022	Roisl.0009s0109.1.p	CARHR213210
OG0000022	Roisl.0074s0275.1.p	CARHR091960
OG0000024	Roisl.0213s0506.1.p	CARHR113190
OG0000024	Roisl.0204s0165.1.p, Roisl.0204s0164.1.p	CARHR112760
OG0000024	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p	CARHR031540
OG0000024	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p	CARHR062310
OG0000024	Roisl.0026s0117.1.p	CARHR168020
OG0000024	Roisl.0026s0135.1.p	CARHR167830
OG0000024	Roisl.0011s0535.1.p	CARHR148710
OG0000024	Roisl.0011s0534.1.p	CARHR030440
OG0000024	Roisl.0006s0183.1.p	CARHR030410, CARHR045190
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	CARHR288360
OG0000026	Roisl.0213s0871.1.p	CARHR104160
OG0000027	Roisl.0213s0580.1.p	CARHR264010, CARHR255080
OG0000027	Roisl.0213s0582.1.p	CARHR255070
OG0000027	Roisl.0213s0590.1.p	CARHR255010
OG0000027	Roisl.0213s0588.1.p	CARHR254990
OG0000027	Roisl.0008s0130.1.p	CARHR057450
OG0000027	Roisl.0008s0132.1.p	CARHR230660
OG0000027	Roisl.0184s0130.1.p	CARHR230470, CARHR230480
OG0000027	Roisl.0184s0131.1.p	CARHR230460, CARHR230450
OG0000027	Roisl.0184s0126.1.p	CARHR230500
OG0000027	Roisl.0008s0080.1.p	CARHR230410
OG0000027	Roisl.0008s0079.1.p	CARHR230400, CARHR230390
OG0000027	Roisl.0008s0069.1.p	CARHR230300
OG0000027	Roisl.0008s0070.1.p	CARHR230280, CARHR230310
OG0000027	Roisl.0008s0076.1.p	CARHR055330
OG0000028	Roisl.0080s0376.1.p	CARHR285330
OG0000028	Roisl.0075s0121.1.p	CARHR220000
OG0000028	Roisl.0210s1185.1.p	CARHR289310
OG0000028	Roisl.0001s0017.1.p, Roisl.0001s0010.1.p	CARHR242640, CARHR242590
OG0000028	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p	CARHR269260
OG0000028	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p	CARHR267690
OG0000028	Roisl.0008s0342.1.p	CARHR242050
OG0000028	Roisl.0001s0209.1.p	CARHR242060
OG0000028	Roisl.0024s0660.1.p	CARHR281120
OG0000029	Roisl.0046s0705.1.p	CARHR056480, CARHR153130
OG0000029	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p	CARHR116610, CARHR153140
OG0000030	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p	CARHR060010, CARHR059990
OG0000030	Roisl.0115s0300.1.p	CARHR134370
OG0000030	Roisl.0046s0733.1.p	CARHR162370
OG0000030	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	CARHR260760, CARHR260790
OG0000030	Roisl.0046s0887.1.p	CARHR158520, CARHR158510, CARHR158530
OG0000030	Roisl.0091s0621.1.p	CARHR223800
OG0000030	Roisl.0046s0886.1.p	CARHR088860, CARHR095910, CARHR026350
OG0000030	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p	CARHR154640
OG0000032	Roisl.0021s0539.1.p, Roisl.0184s0186.1.p	CARHR158150, CARHR057520, CARHR108030, CARHR217640
OG0000032	Roisl.0005s0192.1.p	CARHR258320, CARHR152520, CARHR154280, CARHR217870, CARHR103550
OG0000034	Roisl.0008s0068.1.p	CARHR230270, CARHR230290
OG0000034	Roisl.0008s0077.1.p	CARHR055320
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p	CARHR228050
OG0000034	Roisl.0091s0191.1.p	CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	Roisl.0091s0190.1.p	CARHR289950
OG0000034	Roisl.0191s0566.1.p	CARHR106160
OG0000034	Roisl.0213s0592.1.p	CARHR255000
OG0000034	Roisl.0008s0074.1.p	CARHR230320
OG0000034	Roisl.0214s0905.1.p	CARHR230230, CARHR230200
OG0000035	Roisl.0213s0218.1.p	CARHR034500, CARHR120350, CARHR104490
OG0000035	Roisl.0038s0018.1.p	CARHR216710
OG0000035	Roisl.0082s0037.1.p	CARHR153260, CARHR182390
OG0000038	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p	CARHR187570
OG0000038	Roisl.0024s0539.1.p	CARHR259820
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	CARHR116060, CARHR260310
OG0000043	Roisl.0023s0085.1.p	CARHR181910, CARHR111550, CARHR213150
OG0000044	Roisl.0005s0130.1.p	CARHR289560, CARHR289640, CARHR175800, CARHR175810
OG0000044	Roisl.0005s0269.1.p	CARHR175170, CARHR175250
OG0000044	Roisl.0049s0007.1.p	CARHR175090
OG0000044	Roisl.0005s0161.1.p	CARHR292230
OG0000044	Roisl.0005s0268.1.p	CARHR175060
OG0000044	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p	CARHR175260
OG0000044	Roisl.0005s0126.1.p, Roisl.0005s0170.1.p, Roisl.0005s0128.1.p, Roisl.0005s0129.1.p	CARHR174840
OG0000044	Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p	CARHR116330
OG0000044	Roisl.0210s1498.1.p	CARHR195110
OG0000044	Roisl.0005s0218.1.p	CARHR222980, CARHR290490
OG0000044	Roisl.0091s0682.1.p, Roisl.0091s0647.1.p	CARHR223500
OG0000044	Roisl.0002s0057.1.p	CARHR222470
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330, CARHR116100, CARHR183570, CARHR057390, CARHR107370, CARHR152970
OG0000046	Roisl.0029s0014.1.p	CARHR159290
OG0000046	Roisl.0005s0329.1.p	CARHR286710
OG0000046	Roisl.0015s0173.1.p	CARHR217190
OG0000047	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p	CARHR257880
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	CARHR054750
OG0000048	Roisl.0006s0337.1.p	CARHR042940
OG0000048	Roisl.0017s0510.1.p	CARHR125110
OG0000048	Roisl.0028s0615.1.p	CARHR126110
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	CARHR154060
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	CARHR071180, CARHR153550
OG0000051	Roisl.0028s0722.1.p	CARHR127280
OG0000051	Roisl.0020s0125.1.p, Roisl.0020s0130.1.p, Roisl.0020s0124.1.p	CARHR256260
OG0000051	Roisl.0189s0079.1.p	CARHR137550, CARHR137540
OG0000052	Roisl.0011s0477.1.p, Roisl.0209s0363.1.p	CARHR148030
OG0000052	Roisl.0011s0478.1.p	CARHR148020
OG0000052	Roisl.0019s0256.1.p	CARHR065210
OG0000052	Roisl.0019s0270.1.p	CARHR065340
OG0000052	Roisl.0011s0480.1.p	CARHR150860
OG0000052	Roisl.0046s0692.1.p	CARHR157840
OG0000052	Roisl.0011s0479.1.p	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000054	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p	CARHR218450
OG0000054	Roisl.0189s0042.1.p, Roisl.0209s0109.1.p, Roisl.0046s0256.1.p	CARHR153240
OG0000055	Roisl.0053s0213.1.p	CARHR100810
OG0000055	Roisl.0001s0543.1.p	CARHR107470, CARHR177430
OG0000055	Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	CARHR192030
OG0000055	Roisl.0115s0560.1.p	CARHR096180, CARHR096160
OG0000055	Roisl.0074s0202.1.p	CARHR092560, CARHR092720
OG0000055	Roisl.0053s0284.1.p	CARHR108270
OG0000055	Roisl.0074s0270.1.p	CARHR092150, CARHR092000
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p	CARHR108730
OG0000055	Roisl.0028s0608.1.p	CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	Roisl.0074s0210.1.p	CARHR092630, CARHR092620, CARHR213520
OG0000056	Roisl.0209s0766.1.p	CARHR050320
OG0000056	Roisl.0209s0767.1.p, Roisl.0209s0613.1.p, Roisl.0209s0764.1.p	CARHR050310
OG0000056	Roisl.0019s0009.1.p	CARHR050060
OG0000056	Roisl.0209s0621.1.p	CARHR050220
OG0000056	Roisl.0209s0593.1.p	CARHR049970
OG0000056	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p	CARHR049990, CARHR050000
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	CARHR050280, CARHR049980, CARHR050290
OG0000056	Roisl.0209s0402.1.p	CARHR155600
OG0000059	Roisl.0019s0251.1.p	CARHR044830
OG0000059	Roisl.0209s0123.1.p	CARHR286550
OG0000059	Roisl.0214s0002.1.p	CARHR102470, CARHR152130
OG0000060	Roisl.0080s0272.1.p	CARHR007630, CARHR121870
OG0000060	Roisl.0046s1351.1.p	CARHR154290
OG0000060	Roisl.0209s0295.1.p	CARHR163630
OG0000060	Roisl.0082s0647.1.p	CARHR154770
OG0000061	Roisl.0045s0092.1.p	CARHR228580
OG0000061	Roisl.0082s0253.1.p	CARHR252580
OG0000061	Roisl.0210s2205.1.p	CARHR215660
OG0000061	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p	CARHR123070
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p	CARHR054420, CARHR289730, CARHR289690
OG0000065	Roisl.0024s0085.1.p	CARHR059090, CARHR059230, CARHR059320, CARHR124320
OG0000065	Roisl.0024s0067.1.p	CARHR059130
OG0000065	Roisl.0024s0060.1.p	CARHR059070
OG0000065	Roisl.0024s0073.1.p	CARHR059270, CARHR059250
OG0000065	Roisl.0024s0063.1.p	CARHR059080
OG0000065	Roisl.0024s0076.1.p	CARHR059360, CARHR263420
OG0000065	Roisl.0024s0070.1.p	CARHR059200
OG0000065	Roisl.0046s0031.1.p	CARHR214380
OG0000065	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p	CARHR214430
OG0000065	Roisl.0046s0034.1.p	CARHR214400
OG0000065	Roisl.0213s0852.1.p	CARHR263400
OG0000066	Roisl.0210s0757.1.p	CARHR279310
OG0000066	Roisl.0024s0428.1.p	CARHR279320, CARHR202900
OG0000066	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p	CARHR058350, CARHR096450
OG0000066	Roisl.0004s0335.1.p	CARHR069000
OG0000066	Roisl.0001s0457.1.p	CARHR202310
OG0000068	Roisl.0034s0163.1.p	CARHR210960
OG0000068	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p	CARHR210190
OG0000069	Roisl.0035s0070.1.p, Roisl.0115s0262.1.p	CARHR264470
OG0000069	Roisl.0091s1149.1.p	CARHR179320, CARHR005970, CARHR007830
OG0000069	Roisl.0019s0342.1.p	CARHR070150
OG0000070	Roisl.0021s0078.1.p	CARHR010350
OG0000070	Roisl.0011s0203.1.p	CARHR145510
OG0000070	Roisl.0011s0205.1.p	CARHR145520
OG0000070	Roisl.0007s0115.1.p	CARHR020650
OG0000070	Roisl.0004s0297.1.p	CARHR069500
OG0000070	Roisl.0075s0011.1.p	CARHR284690
OG0000075	Roisl.0214s0076.1.p, Roisl.0001s0517.1.p	CARHR247180
OG0000075	Roisl.0001s0515.1.p	CARHR247150
OG0000075	Roisl.0002s0267.1.p, Roisl.0002s0266.1.p	CARHR221070
OG0000075	Roisl.0001s0513.1.p	CARHR247140
OG0000075	Roisl.0001s0516.1.p	CARHR247160
OG0000075	Roisl.0006s0180.1.p	CARHR286190, CARHR286200, CARHR286160, CARHR285960
OG0000075	Roisl.0046s1458.1.p	CARHR105240
OG0000075	Roisl.0046s0019.1.p	CARHR164670, CARHR164660, CARHR174400
OG0000076	Roisl.0115s0707.1.p	CARHR247830
OG0000076	Roisl.0028s0782.1.p	CARHR127180
OG0000076	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p	CARHR176370
OG0000077	Roisl.0005s0349.1.p, Roisl.0012s0164.1.p	CARHR177040
OG0000077	Roisl.0005s0357.1.p	CARHR177280
OG0000077	Roisl.0005s0358.1.p, Roisl.0005s0330.1.p	CARHR112190
OG0000077	Roisl.0213s0591.1.p	CARHR254940
OG0000077	Roisl.0213s0589.1.p	CARHR177080
OG0000077	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p	CARHR054510
OG0000077	Roisl.0005s0288.1.p	CARHR176420
OG0000077	Roisl.0011s0224.1.p	CARHR145630
OG0000077	Roisl.0011s0230.1.p	CARHR145650
OG0000077	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p	CARHR145640
OG0000077	Roisl.0021s0004.1.p	CARHR009640
OG0000078	Roisl.0016s0323.1.p	CARHR077930
OG0000078	Roisl.0016s0321.1.p	CARHR077950
OG0000078	Roisl.0016s0324.1.p	CARHR077940
OG0000078	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p, Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p	CARHR180710
OG0000079	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p	CARHR151670, CARHR119610
OG0000079	Roisl.0091s0481.1.p, Roisl.0058s0024.1.p	CARHR256350
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	CARHR264280
OG0000081	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p	CARHR258030
OG0000086	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p	CARHR214810
OG0000086	Roisl.0024s0148.1.p	CARHR276580
OG0000086	Roisl.0032s0025.1.p	CARHR272990
OG0000086	Roisl.0214s0709.1.p	CARHR214830
OG0000086	Roisl.0032s0024.1.p	CARHR214840
OG0000086	Roisl.0032s0015.1.p	CARHR214790, CARHR214760
OG0000086	Roisl.0024s0029.1.p	CARHR058600
OG0000086	Roisl.0024s0030.1.p, Roisl.0209s0075.1.p	CARHR058690
OG0000089	Roisl.0210s2052.1.p	CARHR189700
OG0000089	Roisl.0209s0395.1.p	CARHR155480
OG0000089	Roisl.0082s0748.1.p	CARHR122890
OG0000089	Roisl.0210s0950.1.p	CARHR200860
OG0000089	Roisl.0012s0263.1.p	CARHR178800
OG0000089	Roisl.0091s0246.1.p	CARHR227450
OG0000089	Roisl.0028s0886.1.p	CARHR128920
OG0000089	Roisl.0007s0134.1.p	CARHR020480
OG0000089	Roisl.0004s0314.1.p	CARHR069200
OG0000090	Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p	CARHR116840
OG0000090	Roisl.0214s0234.1.p, Roisl.0214s0277.1.p, Roisl.0209s0077.1.p	CARHR259920
OG0000091	Roisl.0209s0425.1.p	CARHR155740
OG0000091	Roisl.0209s0469.1.p	CARHR156270
OG0000091	Roisl.0209s0420.1.p	CARHR155710, CARHR155700
OG0000091	Roisl.0209s0418.1.p	CARHR156220, CARHR156240
OG0000091	Roisl.0209s0427.1.p	CARHR155720
OG0000091	Roisl.0210s1772.1.p	CARHR192340
OG0000091	Roisl.0210s1773.1.p	CARHR192330
OG0000091	Roisl.0214s0193.1.p	CARHR262970
OG0000092	Roisl.0023s0051.1.p, Roisl.0066s0339.1.p	CARHR216170
OG0000092	Roisl.0066s0386.1.p	CARHR225740
OG0000092	Roisl.0214s0403.1.p, Roisl.0195s0026.1.p, Roisl.0046s1255.1.p	CARHR292670, CARHR261170, CARHR286110
OG0000092	Roisl.0075s0014.1.p	CARHR150900
OG0000092	Roisl.0023s0050.1.p	CARHR257050
OG0000092	Roisl.0213s0052.1.p	CARHR035170
OG0000092	Roisl.0082s0460.1.p	CARHR035160
OG0000092	Roisl.0201s0004.1.p	CARHR150890
OG0000092	Roisl.0214s0045.1.p, Roisl.0012s0243.1.p	CARHR286120
OG0000092	Roisl.0066s0385.1.p, Roisl.0204s0106.1.p	CARHR152920
OG0000092	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p	CARHR293270
OG0000095	Roisl.0214s0044.1.p	CARHR117030
OG0000095	Roisl.0214s0043.1.p	CARHR118620
OG0000095	Roisl.0214s0042.1.p	CARHR117020
OG0000095	Roisl.0214s0031.1.p	CARHR116980, CARHR117870, CARHR117890
OG0000095	Roisl.0214s0037.1.p	CARHR116940
OG0000095	Roisl.0004s0005.1.p	CARHR117860
OG0000096	Roisl.0204s0041.1.p	CARHR120290
OG0000096	Roisl.0204s0039.1.p, Roisl.0204s0044.1.p	CARHR120300
OG0000096	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p	CARHR084920
OG0000096	Roisl.0028s0613.1.p	CARHR248580
OG0000096	Roisl.0074s0096.1.p	CARHR093690
OG0000096	Roisl.0028s0009.1.p	CARHR094810, CARHR094850
OG0000096	Roisl.0028s0010.1.p	CARHR094860, CARHR094840
OG0000096	Roisl.0074s0977.1.p	CARHR101790
OG0000096	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p	CARHR159080
OG0000098	Roisl.0038s0014.1.p	CARHR103960
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	CARHR046250
OG0000098	Roisl.0006s0130.1.p	CARHR174970
OG0000098	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p	CARHR253270
OG0000098	Roisl.0082s0469.1.p	CARHR188180
OG0000100	Roisl.0050s0117.1.p	CARHR047180
OG0000100	Roisl.0209s0693.1.p	CARHR050870
OG0000100	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p	CARHR055030
OG0000100	Roisl.0214s0220.1.p	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	Roisl.0209s0720.1.p	CARHR051270, CARHR051280, CARHR051250
OG0000100	Roisl.0209s0070.1.p	CARHR047730
OG0000100	Roisl.0010s0201.1.p	CARHR047140
OG0000100	Roisl.0050s0114.1.p	CARHR047270, CARHR047210, CARHR149280, CARHR047170, CARHR047230
OG0000102	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p	CARHR252050
OG0000102	Roisl.0082s0310.1.p	CARHR252110, CARHR252090
OG0000105	Roisl.0016s0342.1.p, Roisl.0214s0835.1.p	CARHR077960
OG0000105	Roisl.0210s0842.1.p	CARHR181190, CARHR228760
OG0000105	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p	CARHR106060
OG0000105	Roisl.0005s0168.1.p	CARHR175270
OG0000105	Roisl.0005s0149.1.p	CARHR175110
OG0000105	Roisl.0005s0162.1.p	CARHR175150
OG0000105	Roisl.0005s0217.1.p	CARHR222460
OG0000105	Roisl.0009s0041.1.p	CARHR288500
OG0000105	Roisl.0050s0109.1.p	CARHR047220
OG0000105	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p	CARHR215710
OG0000105	Roisl.0008s0046.1.p	CARHR149270, CARHR047160
OG0000105	Roisl.0009s0283.1.p	CARHR175180, CARHR153990, CARHR256480
OG0000106	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p	CARHR183910
OG0000107	Roisl.0115s0327.1.p	CARHR095660
OG0000107	Roisl.0115s0324.1.p	CARHR095640
OG0000107	Roisl.0115s0323.1.p	CARHR095620
OG0000107	Roisl.0115s0429.1.p	CARHR096820, CARHR096830
OG0000108	Roisl.0017s0109.1.p	CARHR131960
OG0000108	Roisl.0209s0353.1.p	CARHR285740
OG0000108	Roisl.0080s0345.1.p	CARHR155270
OG0000108	Roisl.0074s0792.1.p	CARHR086670
OG0000108	Roisl.0210s0691.1.p	CARHR203590
OG0000108	Roisl.0074s0053.1.p	CARHR094190
OG0000110	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p	CARHR151660
OG0000111	Roisl.0046s1166.1.p	CARHR155540, CARHR161910, CARHR161710, CARHR161740
OG0000111	Roisl.0091s0649.1.p	CARHR161700, CARHR161720
OG0000111	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p, Roisl.0210s2207.1.p, Roisl.0013s0027.1.p	CARHR148290
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	CARHR258830, CARHR283860
OG0000114	Roisl.0024s0009.1.p	CARHR118270
OG0000114	Roisl.0179s0081.1.p	CARHR287300
OG0000117	Roisl.0191s0190.1.p	CARHR023940
OG0000117	Roisl.0191s0191.1.p	CARHR023950
OG0000118	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p	CARHR101240, CARHR101220
OG0000118	Roisl.0012s0130.1.p	CARHR133050
OG0000118	Roisl.0023s0087.1.p, Roisl.0023s0086.1.p	CARHR115930, CARHR115940, CARHR115970
OG0000118	Roisl.0017s0203.1.p	CARHR133070
OG0000118	Roisl.0017s0206.1.p	CARHR133060
OG0000118	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p	CARHR099660
OG0000118	Roisl.0006s0120.1.p	CARHR078400
OG0000118	Roisl.0210s2038.1.p	CARHR189820
OG0000118	Roisl.0025s0059.1.p	CARHR102680
