Orthogroup	Rorippa_islandica	Capsella_rubella
OG0000040	Roisl.0209s0055.1.p	XP_023644222.1, XP_023644534.1, XP_023640572.1, XP_023639239.1, XP_023634852.1, XP_023643349.1, XP_023644573.1, XP_023643216.1, XP_023641303.1, XP_023638978.1, XP_023642459.1, XP_023632551.1, XP_023638973.1, XP_023644566.1, XP_023634840.1, XP_023636105.1, XP_023633811.1
OG0000040	Roisl.0012s0087.1.p	XP_023640353.1
OG0000042	Roisl.0204s0126.1.p, Roisl.0012s0194.1.p, Roisl.0032s0094.1.p, Roisl.0009s0193.1.p, Roisl.0025s0036.1.p, Roisl.0022s0501.1.p, Roisl.0058s0030.1.p, Roisl.0214s0122.1.p, Roisl.0209s0062.1.p, Roisl.0035s0107.1.p, Roisl.0012s0035.1.p, Roisl.0032s0093.1.p	XP_023634283.1
OG0000044	Roisl.0005s0268.1.p	XP_023634755.1
OG0000044	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p	XP_006282385.2
OG0000044	Roisl.0046s0833.1.p	XP_006296267.1
OG0000044	Roisl.0005s0176.1.p	XP_023633381.1
OG0000046	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	XP_023641942.1, XP_023640348.1, XP_023636067.1, XP_006289233.2, XP_023638196.1
OG0000048	Roisl.0214s0362.1.p	XP_023640388.1
OG0000048	Roisl.0017s0418.1.p, Roisl.0082s0583.1.p	XP_023640387.1
OG0000048	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p	XP_023640514.1
OG0000048	Roisl.0028s0615.1.p	XP_023643230.1, XP_023643229.1, XP_023636083.1, XP_006289868.2
OG0000050	Roisl.0214s0827.1.p	XP_006299955.2
OG0000050	Roisl.0082s0464.1.p	XP_023643276.1
OG0000051	Roisl.0189s0079.1.p	XP_023640424.1
OG0000052	Roisl.0011s0477.1.p, Roisl.0209s0363.1.p	XP_023639087.1
OG0000052	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p	XP_006301891.2, XP_006301896.2
OG0000052	Roisl.0011s0480.1.p	XP_006293172.2
OG0000052	Roisl.0046s0692.1.p	XP_006291102.1
OG0000054	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p	XP_023640334.1
OG0000054	Roisl.0053s0423.1.p	XP_023633331.1
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	XP_006299228.1, XP_006300113.1
OG0000055	Roisl.0074s0202.1.p	XP_023641570.1
OG0000055	Roisl.0053s0119.1.p	XP_006292584.2
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p	XP_023641561.1
OG0000055	Roisl.0074s0210.1.p	XP_006299379.1
OG0000056	Roisl.0209s0766.1.p	XP_006302241.1
OG0000056	Roisl.0209s0593.1.p	XP_006302237.1
OG0000056	Roisl.0019s0013.1.p	XP_006300465.1
OG0000056	Roisl.0209s0606.1.p, Roisl.0209s0600.1.p	XP_006302243.1
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	XP_006301193.1
OG0000056	Roisl.0209s0402.1.p	XP_006292456.1
OG0000059	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p	XP_023636099.1, XP_006290464.1
OG0000061	Roisl.0045s0092.1.p	XP_006307356.2, XP_023645797.1
OG0000061	Roisl.0210s2205.1.p	XP_023634933.1
OG0000061	Roisl.0033s0004.1.p	XP_023640829.1
OG0000064	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000064	Roisl.0214s0826.1.p	XP_006301107.1
OG0000065	Roisl.0024s0085.1.p	XP_023644442.1
OG0000065	Roisl.0024s0067.1.p, Roisl.0024s0060.1.p	XP_023644283.1
OG0000065	Roisl.0024s0079.1.p	XP_006279179.2
OG0000065	Roisl.0024s0073.1.p	XP_023643067.1
OG0000065	Roisl.0024s0063.1.p	XP_006300887.1
OG0000065	Roisl.0024s0070.1.p	XP_023644284.1
OG0000065	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p	XP_023637822.1
OG0000065	Roisl.0046s0034.1.p	XP_006290268.1
OG0000065	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p	XP_023638915.1
OG0000065	Roisl.0213s0852.1.p	XP_006286236.1
OG0000066	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000066	Roisl.0001s0457.1.p	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	Roisl.0007s0395.1.p	XP_006304375.1
OG0000068	Roisl.0034s0163.1.p	XP_006289028.2, XP_006289556.2, XP_023637280.1
OG0000068	Roisl.0191s0458.1.p	XP_023642606.1
OG0000068	Roisl.0011s0041.1.p	XP_023633398.1
OG0000068	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p	XP_006289558.2, XP_023637635.1, XP_006286541.1
OG0000069	Roisl.0209s0754.1.p	XP_023642292.1
OG0000069	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p	XP_006304155.1
OG0000069	Roisl.0074s0568.1.p	XP_023645826.1
OG0000069	Roisl.0055s0038.1.p	XP_006288439.1
OG0000070	Roisl.0021s0078.1.p	XP_006305612.2
OG0000070	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	Roisl.0007s0115.1.p	XP_006304273.1
OG0000070	Roisl.0004s0297.1.p	XP_006302938.1
OG0000070	Roisl.0075s0011.1.p	XP_023637791.1
OG0000073	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p	XP_023644828.1
OG0000074	Roisl.0054s0034.1.p	XP_023636039.1
OG0000075	Roisl.0001s0515.1.p	XP_006283916.1
OG0000075	Roisl.0001s0513.1.p	XP_023635518.1
OG0000075	Roisl.0001s0516.1.p	XP_023634488.1
OG0000075	Roisl.0006s0180.1.p	XP_023633364.1, XP_006281030.1, XP_006280653.1, XP_006281848.1
OG0000075	Roisl.0046s1458.1.p	XP_006282335.1, XP_023638987.1
OG0000076	Roisl.0115s0707.1.p	XP_023634774.1
OG0000076	Roisl.0028s0782.1.p	XP_006295567.2
OG0000076	Roisl.0005s0285.1.p	XP_006281621.1
OG0000077	Roisl.0012s0354.1.p	XP_006281971.1
OG0000077	Roisl.0005s0356.1.p	XP_006280897.2
OG0000077	Roisl.0214s0808.1.p	XP_023643297.1
OG0000077	Roisl.0011s0224.1.p	XP_006300965.2
OG0000077	Roisl.0011s0218.1.p	XP_006290374.2, XP_023638325.1
OG0000077	Roisl.0011s0230.1.p	XP_006292432.2
OG0000077	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p	XP_006292790.1, XP_006293218.1
OG0000077	Roisl.0005s0364.1.p	XP_006281861.1
OG0000078	Roisl.0016s0321.1.p	XP_006300074.1
OG0000078	Roisl.0016s0324.1.p	XP_006296650.2
OG0000078	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p	XP_006289130.1, XP_006290038.2
OG0000079	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p	XP_023644218.1, XP_023645325.1
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	XP_023634311.1
OG0000082	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p	XP_023639594.1
OG0000083	Roisl.0012s0356.1.p	XP_023633452.1
OG0000086	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p	XP_006291706.2
OG0000086	Roisl.0024s0148.1.p	XP_023633444.1
OG0000086	Roisl.0032s0025.1.p	XP_006284296.1
OG0000086	Roisl.0214s0709.1.p	XP_006284253.1, XP_006288380.2
OG0000086	Roisl.0032s0024.1.p	XP_006301558.1
OG0000086	Roisl.0024s0029.1.p	XP_006302255.2
OG0000086	Roisl.0024s0030.1.p, Roisl.0209s0075.1.p	XP_023644279.1
OG0000089	Roisl.0210s2052.1.p	XP_006287738.1
OG0000089	Roisl.0024s0139.1.p, Roisl.0209s0395.1.p	XP_006292748.1, XP_006291122.1
OG0000089	Roisl.0082s0748.1.p	XP_006294210.1
OG0000089	Roisl.0210s0950.1.p	XP_006289933.1
OG0000089	Roisl.0012s0263.1.p	XP_006281513.1
OG0000089	Roisl.0091s0246.1.p	XP_006283733.1
OG0000089	Roisl.0007s0134.1.p	XP_006307490.1
OG0000089	Roisl.0004s0314.1.p	XP_006302256.1
OG0000091	Roisl.0209s0467.1.p	XP_023637739.1
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	XP_023636467.1
OG0000091	Roisl.0214s0193.1.p	XP_023644362.1
OG0000092	Roisl.0082s0460.1.p, Roisl.0201s0004.1.p, Roisl.0214s0045.1.p, Roisl.0012s0243.1.p, Roisl.0066s0385.1.p, Roisl.0204s0106.1.p	XP_023642043.1
OG0000092	Roisl.0056s0047.1.p, Roisl.0056s0055.1.p, Roisl.0115s0570.1.p	XP_023633335.1
OG0000092	Roisl.0004s0347.1.p, Roisl.0015s0053.1.p, Roisl.0191s0468.1.p, Roisl.0032s0098.1.p	XP_023641904.1
OG0000095	Roisl.0214s0044.1.p	XP_006295555.1
OG0000095	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p	XP_006296376.2
OG0000095	Roisl.0004s0005.1.p	XP_006295595.1, XP_006295861.1
OG0000096	Roisl.0028s0613.1.p	XP_006301737.1
OG0000096	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p	XP_006297893.1, XP_006299978.1
OG0000096	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p	XP_006297929.1
OG0000096	Roisl.0029s0028.1.p, Roisl.0046s0939.1.p, Roisl.0046s0941.1.p, Roisl.0046s0938.1.p, Roisl.0046s0937.1.p	XP_023638935.1
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	XP_006292655.1
OG0000098	Roisl.0040s0006.1.p	XP_006300240.1
OG0000098	Roisl.0006s0130.1.p	XP_006305026.1
OG0000098	Roisl.0046s0209.1.p	XP_023635773.1
OG0000100	Roisl.0050s0110.1.p, Roisl.0008s0047.1.p, Roisl.0008s0045.1.p, Roisl.0021s0634.1.p	XP_023641940.1
OG0000100	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p	XP_006301098.2, XP_023643317.1, XP_023643319.1, XP_023643315.1
OG0000100	Roisl.0214s0561.1.p	XP_023644343.1
OG0000100	Roisl.0214s0639.1.p	XP_006301998.2
OG0000100	Roisl.0209s0070.1.p	XP_023642309.1
OG0000100	Roisl.0010s0201.1.p	XP_023643246.1
OG0000102	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p	XP_006285555.2
OG0000102	Roisl.0082s0310.1.p	XP_023634256.1
OG0000102	Roisl.0214s0910.1.p	XP_006288348.1
OG0000102	Roisl.0082s0306.1.p	XP_006288252.1
OG0000105	Roisl.0046s0013.1.p, Roisl.0045s0038.1.p	XP_023639286.1
OG0000105	Roisl.0009s0041.1.p	XP_006284602.1, XP_006285182.1
OG0000105	Roisl.0009s0049.1.p	XP_006282489.2
OG0000105	Roisl.0008s0044.1.p, Roisl.0021s0632.1.p	XP_023639256.1
OG0000106	Roisl.0021s0082.1.p, Roisl.0046s1283.1.p, Roisl.0082s0473.1.p	XP_023646042.1, XP_023644298.1
OG0000107	Roisl.0115s0327.1.p	XP_006299861.1
OG0000107	Roisl.0115s0326.1.p	XP_006299064.2
OG0000108	Roisl.0017s0109.1.p	XP_006291303.1, XP_006294425.1
OG0000108	Roisl.0209s0353.1.p	XP_006282193.1, XP_006291307.1
OG0000108	Roisl.0074s0792.1.p	XP_006297921.1
OG0000108	Roisl.0210s0691.1.p	XP_006287952.1
OG0000108	Roisl.0074s0053.1.p	XP_006297920.1
OG0000108	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p	XP_006295441.1, XP_006295821.1
OG0000109	Roisl.0194s0008.1.p	XP_023644486.1, XP_023637552.1
OG0000110	Roisl.0040s0028.1.p	XP_023634352.1
OG0000110	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000111	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000112	Roisl.0075s0025.1.p	XP_023640634.1
OG0000114	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p	XP_006301152.1
OG0000114	Roisl.0024s0009.1.p	XP_023640326.1
OG0000114	Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p	XP_023634652.1, XP_023640905.1, XP_023635195.1
OG0000117	Roisl.0191s0189.1.p	XP_006303770.1
OG0000117	Roisl.0191s0191.1.p	XP_006304583.1
OG0000117	Roisl.0191s0199.1.p, Roisl.0191s0198.1.p	XP_006304415.2
OG0000117	Roisl.0191s0196.1.p	XP_006304618.2, XP_023644792.1
OG0000118	Roisl.0012s0130.1.p	XP_006290039.1, XP_023640365.1
OG0000118	Roisl.0017s0203.1.p, Roisl.0017s0206.1.p	XP_023634338.1
OG0000118	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p	XP_023642688.1
OG0000119	Roisl.0080s0250.1.p	XP_023633433.1, XP_006280698.1
OG0000119	Roisl.0082s0489.1.p	XP_006296419.2, XP_006295986.2
OG0000119	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	Roisl.0209s0263.1.p	XP_006291315.2
OG0000119	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p	XP_006293090.1, XP_023639195.1
OG0000121	Roisl.0066s0357.1.p	XP_023638959.1
OG0000122	Roisl.0080s0688.1.p	XP_006281892.1
OG0000122	Roisl.0080s0685.1.p	XP_006281709.1
OG0000122	Roisl.0080s0689.1.p	XP_023645912.1, XP_023633493.1
OG0000122	Roisl.0080s0694.1.p, Roisl.0080s0684.1.p	XP_023633416.1
OG0000123	Roisl.0021s0620.1.p	XP_006295946.1
OG0000125	Roisl.0082s0689.1.p	XP_006296171.1
OG0000125	Roisl.0082s0678.1.p	XP_006296547.2
OG0000125	Roisl.0091s1034.1.p	XP_023645280.1
OG0000125	Roisl.0013s0044.1.p	XP_023645616.1
OG0000125	Roisl.0006s0236.1.p	XP_023645225.1, XP_006306741.1
OG0000125	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p	XP_006299926.1
OG0000126	Roisl.0021s0393.1.p, Roisl.0208s0044.1.p, Roisl.0208s0042.1.p, Roisl.0020s0136.1.p	XP_023640354.1
OG0000127	Roisl.0210s1950.1.p	XP_006289049.1
OG0000127	Roisl.0034s0161.1.p	XP_006286660.1
OG0000127	Roisl.0079s0305.1.p	XP_006298831.2
OG0000127	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p	XP_006292010.1
OG0000128	Roisl.0019s0649.1.p	XP_023639092.1
OG0000128	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p	XP_006290900.1
OG0000128	Roisl.0018s0038.1.p	XP_006291045.1
OG0000129	Roisl.0021s0622.1.p	XP_023644190.1
OG0000129	Roisl.0020s0184.1.p	XP_023644195.1
OG0000129	Roisl.0022s0002.1.p, Roisl.0022s0001.1.p	XP_023644191.1
OG0000129	Roisl.0080s0056.1.p, Roisl.0080s0057.1.p	XP_023645120.1, XP_023635333.1
OG0000129	Roisl.0204s0037.1.p, Roisl.0204s0045.1.p	XP_023640860.1, XP_023640089.1
OG0000129	Roisl.0021s0625.1.p	XP_023644193.1
OG0000132	Roisl.0046s1480.1.p	XP_006291215.1
OG0000134	Roisl.0214s0845.1.p	XP_023643303.1, XP_023643420.1
OG0000134	Roisl.0046s0012.1.p	XP_023638531.1, XP_023634083.1, XP_023634084.1, XP_023634080.1
OG0000134	Roisl.0027s0026.1.p, Roisl.0027s0027.1.p	XP_023641389.1
OG0000134	Roisl.0004s0001.1.p	XP_023640358.1
OG0000134	Roisl.0214s0290.1.p	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1
OG0000134	Roisl.0091s0127.1.p	XP_006286802.2
OG0000137	Roisl.0080s0797.1.p, Roisl.0080s0796.1.p	XP_006280761.2
OG0000137	Roisl.0080s0795.1.p	XP_006280742.1
OG0000137	Roisl.0080s0798.1.p	XP_023637930.1, XP_006281726.2
OG0000137	Roisl.0080s0799.1.p	XP_006281991.1
OG0000137	Roisl.0080s0800.1.p	XP_006281729.1
OG0000138	Roisl.0214s0533.1.p	XP_006293105.1
OG0000138	Roisl.0018s0009.1.p	XP_023639085.1
OG0000138	Roisl.0018s0007.1.p, Roisl.0053s0042.1.p	XP_006292673.2
