Orthogroup	Rorippa_islandica	Cochlearia_excelsa
OG0000005	Roisl.0082s0055.1.p, Roisl.0072s0015.1.p, Roisl.0083s0019.1.p, Roisl.0048s0032.1.p, Roisl.0015s0171.1.p, Roisl.0185s0098.1.p, Roisl.0040s0024.1.p, Roisl.0082s0029.1.p, Roisl.0210s2094.1.p, Roisl.0210s2173.1.p, Roisl.0023s0063.1.p, Roisl.0075s0018.1.p	g20095, g15381
OG0000005	Roisl.0082s0003.1.p, Roisl.0194s0063.1.p	g33923, g37457, g8422, g20735
OG0000005	Roisl.0201s0014.1.p, Roisl.0087s0005.1.p, Roisl.0014s0007.1.p, Roisl.0087s0007.1.p	g15105
OG0000005	Roisl.0195s0029.1.p	g33817
OG0000005	Roisl.0010s0028.1.p	g38749, g30982, g52986, g15294, g38775, g42420, g20721, g39054, g25312, g15593, g33983
OG0000005	Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p	g20377, g9593
OG0000005	Roisl.0210s2163.1.p, Roisl.0083s0041.1.p	g42395
OG0000005	Roisl.0206s0002.1.p	g34569, g22532, g39129, g8465, g21266
OG0000005	Roisl.0075s0007.1.p	g22559
OG0000005	Roisl.0185s0041.1.p	g42483
OG0000005	Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p	g38606
OG0000005	Roisl.0061s0007.1.p	g24932, g6068, g49093, g4528, g9435
OG0000005	Roisl.0033s0009.1.p	g51377, g36656, g52100, g46847, g12379, g32106
OG0000007	Roisl.0064s0008.1.p	g47006, g45886, g50470
OG0000008	Roisl.0082s0661.1.p	g5353, g35020, g27856, g27175, g1942
OG0000008	Roisl.0036s0059.1.p	g52586
OG0000008	Roisl.0014s0140.1.p, Roisl.0025s0028.1.p, Roisl.0072s0014.1.p, Roisl.0053s0439.1.p	g26783
OG0000008	Roisl.0066s0187.1.p, Roisl.0066s0390.1.p, Roisl.0050s0011.1.p	g29630, g27680, g4391, g43762, g33124
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p	g27995
OG0000008	Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p	g37068, g26784, g43729
OG0000008	Roisl.0014s0141.1.p	g4483
OG0000008	Roisl.0027s0062.1.p, Roisl.0058s0016.1.p	g11343
OG0000008	Roisl.0022s0261.1.p	g33123
OG0000008	Roisl.0014s0136.1.p, Roisl.0214s0127.1.p, Roisl.0179s0096.1.p, Roisl.0033s0081.1.p, Roisl.0005s0371.1.p, Roisl.0020s0039.1.p, Roisl.0189s0101.1.p	g39484, g13991
OG0000011	Roisl.0008s0052.1.p	g6794, g51199, g2482, g2714, g11450, g46138, g50714
OG0000011	Roisl.0204s0130.1.p	g19902, g18315
OG0000012	Roisl.0214s0631.1.p	g6006, g41912
OG0000012	Roisl.0209s0518.1.p	g3436
OG0000014	Roisl.0071s0016.1.p, Roisl.0036s0113.1.p, Roisl.0214s0188.1.p, Roisl.0012s0102.1.p	g19791, g52909
OG0000014	Roisl.0053s0340.1.p, Roisl.0209s0503.1.p, Roisl.0194s0016.1.p	g26674, g4300, g16405, g35809, g35692, g30259
OG0000014	Roisl.0185s0037.1.p, Roisl.0066s0434.1.p	g39175, g3068, g53260, g44812, g24010, g44192, g35833, g47228, g8005, g17573, g9319, g39176, g26698, g53409, g35837, g53673, g35518, g3069, g26725, g41542, g6234, g11588, g8003, g9317, g47231, g28023, g54113, g17572, g53675, g54116, g54241, g4887
OG0000014	Roisl.0082s0067.1.p	g21528, g48055, g34423, g3243
OG0000014	Roisl.0191s0716.1.p	g3040, g14220, g34324, g32793, g24981, g53174
OG0000014	Roisl.0214s0221.1.p	g27317
OG0000014	Roisl.0111s0029.1.p, Roisl.0050s0113.1.p, Roisl.0050s0122.1.p, Roisl.0209s0681.1.p, Roisl.0184s0043.1.p, Roisl.0066s0348.1.p, Roisl.0202s0002.1.p, Roisl.0066s0452.1.p, Roisl.0087s0027.1.p, Roisl.0075s0232.1.p, Roisl.0204s0101.1.p, Roisl.0179s0033.1.p, Roisl.0045s0064.1.p, Roisl.0040s0043.1.p, Roisl.0184s0044.1.p, Roisl.0184s0162.1.p, Roisl.0056s0049.1.p, Roisl.0191s0708.1.p, Roisl.0188s0121.1.p, Roisl.0075s0002.1.p	g2094
OG0000014	Roisl.0071s0004.1.p	g30067
OG0000014	Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p	g20317
OG0000014	Roisl.0061s0004.1.p	g35163, g51018
OG0000014	Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p	g53893
OG0000014	Roisl.0023s0108.1.p	g15648, g3344, g15533, g22676, g53459, g25144, g49032, g52662, g35616, g50919, g33646, g12078, g52545, g35669, g14831, g24737, g46898, g25054, g45988, g53995, g27320, g24931, g24782, g1434, g42927, g51017, g13624, g47253, g45228, g14612, g43201, g43093, g53227, g6177, g4257, g35984, g2095, g18595, g15004, g12644, g53953, g25610, g41826, g14315, g1435, g44036, g3444, g18386, g3924, g43038, g24783, g17330, g10083, g17957, g20318, g43877, g52305, g16685, g26742, g25224, g30068, g14080, g18103, g11525, g41336, g53461, g3729, g3878, g27931, g21347, g33516, g21561, g43841, g4698, g24841, g19968, g35457, g4281, g36237, g44064, g30053, g15860, g25878, g50939, g3050, g24630, g27919, g25736, g49808, g40898, g44711, g46753, g17634, g18274, g13740, g37170, g42723, g50987, g11187, g34943, g32917, g16004, g14815, g35744, g35846, g14356, g16078, g16306, g53882, g35355, g4138, g22487, g22288, g42653, g21439, g21148, g30713, g42688, g52575
OG0000014	Roisl.0041s0069.1.p	g36351, g14316, g41825, g44037, g25611, g18847, g24842, g45989, g27951, g4696, g41767, g15819, g19859, g30542, g32573, g14586, g26651, g3784, g17508, g35072, g19854, g17344, g52328, g4565, g8823
OG0000014	Roisl.0214s0137.1.p	g48054
OG0000015	Roisl.0209s0111.1.p, Roisl.0066s0288.1.p	g53143, g40661, g34265, g35247, g53815, g14879
OG0000015	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p	g35711
OG0000015	Roisl.0209s0284.1.p	g53567
OG0000015	Roisl.0214s0740.1.p	g53814, g952, g32985, g12170, g24863, g14880
OG0000015	Roisl.0053s0047.1.p	g40286, g1778
OG0000015	Roisl.0032s0105.1.p	g23998, g2048, g25181, g50053, g44770, g53467, g40288, g5196, g37977
OG0000016	Roisl.0053s0071.1.p	g48491
OG0000016	Roisl.0061s0009.1.p	g26037
OG0000016	Roisl.0210s2086.1.p	g26414, g33049, g43980, g16018, g33075, g33082, g6383, g33103, g41983, g4182, g14664, g20467, g34722, g30434, g30429, g21277, g25157
OG0000016	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p	g43401, g3658, g38750, g11415
OG0000016	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p	g4159, g25159, g15828, g15815, g15878
OG0000016	Roisl.0055s0062.1.p, Roisl.0053s0143.1.p	g33102
OG0000016	Roisl.0189s0002.1.p, Roisl.0037s0021.1.p, Roisl.0210s2215.1.p	g14572, g43981
OG0000016	Roisl.0188s0048.1.p, Roisl.0209s0119.1.p	g26416, g24990
OG0000016	Roisl.0011s0411.1.p, Roisl.0002s0269.1.p, Roisl.0200s0017.1.p	g34721, g20468, g34715, g30435
OG0000016	Roisl.0037s0080.1.p, Roisl.0102s0001.1.p	g33207
OG0000016	Roisl.0082s0082.1.p	g15856
OG0000016	Roisl.0065s0009.1.p, Roisl.0111s0013.1.p	g15924
OG0000016	Roisl.0188s0139.1.p, Roisl.0014s0105.1.p, Roisl.0022s0022.1.p, Roisl.0201s0019.1.p, Roisl.0184s0048.1.p, Roisl.0041s0040.1.p, Roisl.0014s0101.1.p, Roisl.0188s0073.1.p, Roisl.0066s0435.1.p, Roisl.0074s0171.1.p	g26036
OG0000016	Roisl.0041s0052.1.p, Roisl.0023s0004.1.p, Roisl.0078s0001.1.p, Roisl.0066s0442.1.p, Roisl.0036s0004.1.p, Roisl.0204s0001.1.p, Roisl.0058s0101.1.p, Roisl.0087s0001.1.p, Roisl.0022s0047.1.p, Roisl.0194s0030.1.p, Roisl.0053s0109.1.p, Roisl.0184s0040.1.p, Roisl.0021s0642.1.p, Roisl.0066s0152.1.p, Roisl.0040s0045.1.p, Roisl.0059s0003.1.p, Roisl.0184s0029.1.p, Roisl.0075s0211.1.p, Roisl.0022s0020.1.p, Roisl.0209s0130.1.p, Roisl.0188s0136.1.p	g14663
OG0000016	Roisl.0020s0190.1.p	g42778
OG0000018	Roisl.0194s0035.1.p, Roisl.0111s0039.1.p	g25254, g16179, g41562, g22550, g22233
OG0000020	Roisl.0179s0050.1.p	g32689, g14805
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	g33390, g4583, g39315, g14557, g17020, g24610, g21115, g9914, g35675, g23910, g6802, g46328, g31759, g51013, g17279, g1555, g19143, g35267, g34284, g46224, g6170, g31341, g4158, g25001, g4232, g46949, g53154, g2974, g49408, g25430, g25192, g31804, g43284, g49587, g36899, g2975, g3672, g27829, g32994, g1556, g34853, g4345, g51012, g19142, g14558, g53153, g29187, g49407, g42003, g43352, g14036, g52007, g15607, g14750, g7898, g33120, g4343, g3057, g52970, g51052, g47797, g32655, g44074, g50650, g43479, g2953, g41998, g23595, g2979, g33121, g41997, g6214, g3359, g14581
OG0000020	Roisl.0037s0007.1.p, Roisl.0066s0087.1.p	g34543
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p, Roisl.0037s0008.1.p, Roisl.0211s0007.1.p, Roisl.0214s0109.1.p	g4186
OG0000020	Roisl.0188s0046.1.p	g41994
OG0000021	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p	g43760, g4386, g34956, g53077, g43442, g33130, g45148, g29629, g14568, g25751, g49590, g27681, g2213, g37069, g2331
OG0000021	Roisl.0014s0139.1.p	g33125, g14567, g25750
OG0000021	Roisl.0066s0257.1.p	g33471
OG0000022	Roisl.0022s0346.1.p	g17118
OG0000022	Roisl.0210s1365.1.p	g5030
OG0000022	Roisl.0010s0095.1.p, Roisl.0010s0161.1.p, Roisl.0010s0065.1.p	g40889
OG0000022	Roisl.0010s0088.1.p	g45205, g45149, g24844
OG0000022	Roisl.0010s0069.1.p	g40888
OG0000022	Roisl.0050s0030.1.p	g40751
OG0000022	Roisl.0050s0031.1.p	g40752
OG0000022	Roisl.0009s0109.1.p, Roisl.0074s0275.1.p	g13269
OG0000024	Roisl.0015s0178.1.p	g43450
OG0000024	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p	g2269
OG0000024	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p	g28294
OG0000025	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p	g17280, g46637, g25246, g50791
OG0000026	Roisl.0213s0871.1.p	g36073, g28599
OG0000027	Roisl.0213s0580.1.p	g43193, g48946
OG0000027	Roisl.0213s0584.1.p	g48943
OG0000027	Roisl.0213s0588.1.p, Roisl.0213s0583.1.p	g48949
OG0000028	Roisl.0052s0006.1.p, Roisl.0052s0007.1.p	g24597, g39418
OG0000030	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p, Roisl.0213s0186.1.p, Roisl.0053s0027.1.p, Roisl.0060s0006.1.p	g38367, g38376, g38372, g38380
OG0000030	Roisl.0046s0887.1.p	g13799, g13797
OG0000030	Roisl.0042s0059.1.p	g13193, g13194
OG0000030	Roisl.0021s0166.1.p, Roisl.0091s0622.1.p, Roisl.0074s0641.1.p	g44631
OG0000031	Roisl.0048s0016.1.p	g42618
OG0000031	Roisl.0020s0175.1.p, Roisl.0191s0693.1.p, Roisl.0020s0186.1.p, Roisl.0210s2075.1.p, Roisl.0213s0679.1.p, Roisl.0209s0419.1.p, Roisl.0082s0631.1.p, Roisl.0014s0099.1.p, Roisl.0056s0037.1.p, Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p, Roisl.0188s0032.1.p, Roisl.0036s0104.1.p, Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p	g39351, g7244, g17718, g41293
OG0000032	Roisl.0021s0539.1.p	g8719, g35299
OG0000032	Roisl.0184s0186.1.p	g5355, g32774, g16031, g31992, g27854, g8229, g4385, g15955, g34339, g35327, g35065, g32781
OG0000032	Roisl.0005s0192.1.p	g49592
OG0000032	Roisl.0029s0063.1.p	g4129, g3254, g35284
OG0000032	Roisl.0188s0018.1.p	g4751, g15963, g26227, g35298, g34338, g27173, g8228, g4384, g32773, g27855, g31991, g16029, g32780, g16316, g32772, g4383, g14852, g3939, g41695, g1941, g27176, g14853, g35021, g16600, g4006
OG0000034	Roisl.0008s0068.1.p	g23911
OG0000034	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p, Roisl.0091s0190.1.p	g24014
OG0000034	Roisl.0191s0566.1.p	g50699
OG0000034	Roisl.0214s0905.1.p	g23912
OG0000035	Roisl.0214s0147.1.p	g42054, g13304, g42055
OG0000038	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p	g15804, g27140, g23925, g51223, g44428, g9976, g51224, g38104
OG0000038	Roisl.0024s0539.1.p	g14573, g41376
OG0000040	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p	g49152
OG0000040	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p	g17325, g27760, g45782, g40051, g35119, g45600, g54029, g3973, g3980
OG0000040	Roisl.0209s0055.1.p	g32821, g17388, g28310, g1466, g41711, g22786
OG0000040	Roisl.0046s0436.1.p	g12385
OG0000041	Roisl.0046s0022.1.p	g17744, g146, g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028, g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828, g41708, g839, g6204, g4882, g54105, g19084, g12227, g51517, g45168, g27877, g45435, g46801, g7668, g53419, g39804, g44227, g36235, g49353, g43914, g11652
OG0000042	Roisl.0032s0094.1.p	g8825
OG0000042	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p	g38829, g20859, g48552, g53555, g47921
OG0000042	Roisl.0058s0030.1.p	g40103
OG0000042	Roisl.0214s0122.1.p	g31170
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	g44909, g43791
OG0000042	Roisl.0032s0093.1.p	g14857, g33113
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p	g6307, g53556
OG0000042	Roisl.0028s0881.1.p	g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339
OG0000043	Roisl.0210s1685.1.p	g38500
OG0000043	Roisl.0214s0265.1.p	g21290, g3846, g20451, g31368
OG0000043	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p	g49667
OG0000043	Roisl.0080s0178.1.p	g53399, g13162, g50196, g46746, g14780, g13371
OG0000043	Roisl.0023s0085.1.p	g52052, g38502, g20449
OG0000043	Roisl.0013s0195.1.p	g31229, g24493, g12585, g3844, g50586
OG0000044	Roisl.0005s0150.1.p	g18482
OG0000044	Roisl.0079s0325.1.p, Roisl.0023s0042.1.p, Roisl.0013s0028.1.p, Roisl.0023s0041.1.p, Roisl.0023s0044.1.p, Roisl.0023s0043.1.p, Roisl.0210s1498.1.p, Roisl.0005s0218.1.p, Roisl.0091s0682.1.p, Roisl.0091s0647.1.p, Roisl.0046s0833.1.p, Roisl.0002s0057.1.p	g28154
OG0000046	Roisl.0210s2226.1.p	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490
OG0000046	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	g3382, g2931
OG0000046	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	g26196, g11589
OG0000047	Roisl.0029s0050.1.p	g20823
OG0000047	Roisl.0066s0352.1.p	g3147
OG0000047	Roisl.0038s0004.1.p, Roisl.0214s0886.1.p	g29255
OG0000048	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p	g51285
OG0000048	Roisl.0017s0510.1.p	g39852, g39841
OG0000048	Roisl.0028s0615.1.p	g29294, g52069, g52073, g52064
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	g32289, g4074, g19665
OG0000050	Roisl.0198s0058.1.p	g51073
OG0000050	Roisl.0214s0827.1.p	g44252
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	g30921, g53630, g4397, g10583
OG0000050	Roisl.0082s0464.1.p	g182
OG0000051	Roisl.0189s0079.1.p	g53934, g37450
OG0000054	Roisl.0214s0230.1.p	g53199
OG0000054	Roisl.0191s0715.1.p, Roisl.0058s0107.1.p	g25225, g3036
OG0000054	Roisl.0053s0423.1.p	g34524, g34533, g30257
OG0000054	Roisl.0055s0018.1.p, Roisl.0184s0210.1.p, Roisl.0210s2114.1.p	g14843
OG0000054	Roisl.0189s0042.1.p	g32562
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	g27361
OG0000055	Roisl.0074s0202.1.p	g700
OG0000056	Roisl.0209s0402.1.p	g44206, g40901
OG0000059	Roisl.0019s0251.1.p	g2480, g46139, g19260, g24166, g14493, g2184, g16902, g51200, g2153, g3380, g49418, g1735, g51079, g36530, g42562, g2712, g50347
OG0000060	Roisl.0080s0272.1.p, Roisl.0209s0337.1.p, Roisl.0080s0305.1.p, Roisl.0091s1062.1.p, Roisl.0017s0101.1.p, Roisl.0046s1351.1.p, Roisl.0209s0295.1.p, Roisl.0082s0647.1.p	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	Roisl.0033s0004.1.p	g23667
OG0000065	Roisl.0024s0085.1.p	g46719
OG0000065	Roisl.0024s0082.1.p, Roisl.0024s0079.1.p	g44951
OG0000065	Roisl.0214s0743.1.p, Roisl.0024s0073.1.p	g18042
OG0000065	Roisl.0213s0852.1.p	g46717
OG0000066	Roisl.0210s0757.1.p	g49660, g5416, g9719
OG0000066	Roisl.0024s0428.1.p	g29501, g45535
OG0000066	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p	g5393
OG0000067	Roisl.0046s0696.1.p	g12886
OG0000068	Roisl.0034s0163.1.p, Roisl.0191s0458.1.p, Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p, Roisl.0011s0041.1.p, Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p	g27956, g25385, g25390, g46783
OG0000069	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p, Roisl.0115s0002.1.p	g13531
OG0000069	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p	g39973
OG0000070	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	g10675
OG0000070	Roisl.0007s0115.1.p	g50123
OG0000070	Roisl.0004s0297.1.p	g46242
OG0000070	Roisl.0075s0011.1.p	g44417
OG0000073	Roisl.0045s0095.1.p, Roisl.0005s0073.1.p	g36963, g43389, g14644, g41342
OG0000073	Roisl.0041s0046.1.p	g51830
OG0000073	Roisl.0210s1691.1.p, Roisl.0046s0358.1.p	g7180, g13794
OG0000074	Roisl.0054s0034.1.p	g48940, g1489, g14333, g35046
OG0000075	Roisl.0214s0076.1.p	g1450
OG0000075	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p	g25975, g22716
OG0000075	Roisl.0046s0019.1.p, Roisl.0001s0335.1.p	g46525
OG0000077	Roisl.0005s0349.1.p, Roisl.0012s0164.1.p, Roisl.0012s0354.1.p	g18473
OG0000077	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p	g18408
OG0000077	Roisl.0214s0808.1.p, Roisl.0005s0288.1.p, Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p, Roisl.0011s0230.1.p, Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p	g1538, g1535
OG0000077	Roisl.0214s0806.1.p	g44008, g44007, g44009
OG0000078	Roisl.0016s0323.1.p, Roisl.0016s0321.1.p, Roisl.0016s0324.1.p	g4945
