Orthogroup	Rorippa_islandica	Noccaea_praecox
OG0000005	Roisl.0027s0129.1.p, Roisl.0211s0001.1.p, Roisl.0010s0029.1.p, Roisl.0082s0007.1.p, Roisl.0209s0534.1.p, Roisl.0213s0012.1.p, Roisl.0210s2163.1.p, Roisl.0083s0041.1.p, Roisl.0179s0032.1.p, Roisl.0206s0002.1.p, Roisl.0075s0007.1.p, Roisl.0185s0041.1.p, Roisl.0061s0001.1.p, Roisl.0077s0002.1.p, Roisl.0087s0026.1.p, Roisl.0184s0028.1.p, Roisl.0061s0007.1.p	Np003G1685100
OG0000005	Roisl.0033s0009.1.p	Np001G0487100
OG0000007	Roisl.0064s0008.1.p	Np003G1457500
OG0000008	Roisl.0025s0028.1.p	Np005G2918600
OG0000008	Roisl.0053s0439.1.p	Np002G1026800
OG0000008	Roisl.0213s0742.1.p, Roisl.0188s0051.1.p, Roisl.0066s0428.1.p, Roisl.0066s0426.1.p, Roisl.0008s0018.1.p, Roisl.0210s2153.1.p, Roisl.0082s0006.1.p, Roisl.0014s0141.1.p, Roisl.0214s0198.1.p, Roisl.0189s0008.1.p	Np002G0964800
OG0000008	Roisl.0036s0056.1.p, Roisl.0053s0438.1.p	Np007G4064200
OG0000008	Roisl.0046s1128.1.p, Roisl.0046s1132.1.p, Roisl.0046s1119.1.p	Np001G0535300
OG0000012	Roisl.0007s0348.1.p, Roisl.0005s0302.1.p, Roisl.0074s0629.1.p, Roisl.0080s0608.1.p, Roisl.0115s0531.1.p, Roisl.0032s0103.1.p, Roisl.0006s0203.1.p, Roisl.0020s0178.1.p, Roisl.0024s0027.1.p, Roisl.0091s0798.1.p, Roisl.0189s0072.1.p, Roisl.0027s0111.1.p, Roisl.0028s0041.1.p, Roisl.0210s1889.1.p, Roisl.0091s0194.1.p, Roisl.0204s0043.1.p, Roisl.0056s0007.1.p	Np005G2960400, Np001G0263300, Np005G2658400
OG0000012	Roisl.0209s0518.1.p	Np002G0797700, Np008G4276800
OG0000014	Roisl.0071s0004.1.p, Roisl.0184s0094.1.p, Roisl.0029s0055.1.p, Roisl.0009s0284.1.p, Roisl.0053s0435.1.p	Np004G2216700
OG0000014	Roisl.0061s0004.1.p, Roisl.0214s0420.1.p, Roisl.0058s0048.1.p, Roisl.0020s0183.1.p, Roisl.0012s0051.1.p, Roisl.0214s0915.1.p, Roisl.0179s0062.1.p, Roisl.0082s0454.1.p, Roisl.0064s0002.1.p, Roisl.0185s0078.1.p, Roisl.0213s0587.1.p, Roisl.0066s0172.1.p, Roisl.0082s0607.1.p, Roisl.0009s0256.1.p, Roisl.0019s0087.1.p, Roisl.0053s0039.1.p, Roisl.0009s0006.1.p, Roisl.0209s0538.1.p, Roisl.0058s0116.1.p, Roisl.0051s0028.1.p, Roisl.0213s0759.1.p, Roisl.0188s0034.1.p, Roisl.0214s0180.1.p, Roisl.0023s0031.1.p, Roisl.0184s0053.1.p, Roisl.0053s0422.1.p, Roisl.0189s0189.1.p, Roisl.0210s2165.1.p, Roisl.0038s0010.1.p, Roisl.0214s0038.1.p	Np001G0275400, Np002G0982600
OG0000014	Roisl.0023s0108.1.p	Np006G3489900, Np006G3464500, Np005G2970200, Np006G3463500, Np001G0305700, Np005G2967900
OG0000014	Roisl.0041s0069.1.p	Np009G4305300
OG0000015	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p	Np001G0295000
OG0000015	Roisl.0209s0284.1.p	Np005G2743900
OG0000015	Roisl.0010s0007.1.p	Np008G4270200
OG0000015	Roisl.0006s0026.1.p	Np008G4270300
OG0000016	Roisl.0184s0146.1.p, Roisl.0189s0034.1.p	Np006G3462000
OG0000016	Roisl.0210s2086.1.p	Np002G0990700, Np002G0970700, Np006G3586500, Np007G3998400
OG0000016	Roisl.0019s0044.1.p, Roisl.0179s0005.1.p, Roisl.0037s0076.1.p, Roisl.0047s0042.1.p, Roisl.0075s0022.1.p	Np003G1678900
OG0000016	Roisl.0009s0324.1.p, Roisl.0184s0133.1.p, Roisl.0204s0170.1.p, Roisl.0053s0102.1.p, Roisl.0082s0045.1.p, Roisl.0027s0126.1.p, Roisl.0025s0053.1.p, Roisl.0185s0001.1.p, Roisl.0083s0043.1.p, Roisl.0013s0157.1.p, Roisl.0036s0052.1.p, Roisl.0082s0681.1.p, Roisl.0010s0008.1.p, Roisl.0005s0354.1.p, Roisl.0037s0069.1.p, Roisl.0194s0053.1.p, Roisl.0058s0120.1.p, Roisl.0061s0017.1.p, Roisl.0048s0026.1.p, Roisl.0077s0005.1.p, Roisl.0066s0425.1.p, Roisl.0020s0043.1.p, Roisl.0012s0048.1.p, Roisl.0051s0040.1.p, Roisl.0005s0088.1.p, Roisl.0185s0095.1.p, Roisl.0006s0338.1.p, Roisl.0188s0029.1.p, Roisl.0191s0511.1.p	Np002G1062400
OG0000016	Roisl.0194s0033.1.p, Roisl.0041s0054.1.p, Roisl.0008s0066.1.p, Roisl.0058s0044.1.p, Roisl.0022s0059.1.p, Roisl.0040s0052.1.p, Roisl.0204s0171.1.p, Roisl.0019s0073.1.p, Roisl.0184s0004.1.p, Roisl.0036s0123.1.p, Roisl.0078s0009.1.p, Roisl.0066s0254.1.p, Roisl.0214s0169.1.p, Roisl.0077s0006.1.p, Roisl.0027s0132.1.p, Roisl.0058s0096.1.p, Roisl.0082s0477.1.p	Np002G0970600
OG0000016	Roisl.0056s0002.1.p, Roisl.0204s0078.1.p, Roisl.0014s0045.1.p, Roisl.0022s0004.1.p, Roisl.0051s0024.1.p, Roisl.0191s0695.1.p, Roisl.0037s0070.1.p, Roisl.0014s0081.1.p, Roisl.0191s0696.1.p, Roisl.0198s0069.1.p, Roisl.0045s0104.1.p, Roisl.0188s0113.1.p, Roisl.0066s0455.1.p, Roisl.0209s0113.1.p, Roisl.0010s0006.1.p, Roisl.0010s0033.1.p, Roisl.0021s0629.1.p, Roisl.0012s0009.1.p, Roisl.0047s0071.1.p, Roisl.0194s0081.1.p, Roisl.0195s0028.1.p, Roisl.0204s0103.1.p, Roisl.0066s0451.1.p, Roisl.0053s0073.1.p, Roisl.0031s0054.1.p, Roisl.0209s0492.1.p, Roisl.0056s0030.1.p, Roisl.0040s0030.1.p, Roisl.0184s0052.1.p, Roisl.0209s0071.1.p, Roisl.0082s0458.1.p, Roisl.0014s0005.1.p, Roisl.0066s0372.1.p, Roisl.0193s0008.1.p, Roisl.0204s0174.1.p, Roisl.0214s0125.1.p, Roisl.0053s0030.1.p, Roisl.0058s0118.1.p, Roisl.0031s0021.1.p, Roisl.0082s0455.1.p, Roisl.0013s0158.1.p, Roisl.0019s0071.1.p, Roisl.0041s0049.1.p, Roisl.0040s0015.1.p, Roisl.0082s0453.1.p	Np006G3533200
OG0000016	Roisl.0037s0053.1.p, Roisl.0037s0074.1.p, Roisl.0056s0025.1.p, Roisl.0075s0107.1.p, Roisl.0189s0090.1.p, Roisl.0201s0011.1.p, Roisl.0210s2149.1.p, Roisl.0194s0080.1.p	Np002G1106400, Np002G0990200
OG0000016	Roisl.0214s0061.1.p, Roisl.0031s0055.1.p, Roisl.0213s0004.1.p, Roisl.0194s0052.1.p	Np002G0990500
OG0000016	Roisl.0209s0119.1.p	Np007G3999600
OG0000016	Roisl.0065s0009.1.p, Roisl.0111s0013.1.p	Np002G1015800
OG0000016	Roisl.0209s0020.1.p, Roisl.0210s2085.1.p	Np002G1086100
OG0000016	Roisl.0014s0097.1.p, Roisl.0037s0046.1.p, Roisl.0015s0198.1.p, Roisl.0008s0038.1.p, Roisl.0055s0054.1.p, Roisl.0021s0633.1.p, Roisl.0045s0102.1.p	Np004G2184400
OG0000016	Roisl.0204s0001.1.p, Roisl.0058s0101.1.p, Roisl.0087s0001.1.p, Roisl.0022s0047.1.p, Roisl.0194s0030.1.p, Roisl.0053s0109.1.p, Roisl.0184s0040.1.p, Roisl.0021s0642.1.p, Roisl.0066s0152.1.p, Roisl.0040s0045.1.p	Np002G1003300
OG0000016	Roisl.0059s0003.1.p, Roisl.0184s0029.1.p, Roisl.0075s0211.1.p, Roisl.0022s0020.1.p, Roisl.0209s0130.1.p, Roisl.0188s0136.1.p	Np001G0355900
OG0000016	Roisl.0087s0018.1.p, Roisl.0021s0624.1.p, Roisl.0191s0694.1.p	Np002G0990600
OG0000016	Roisl.0020s0190.1.p	Np008G4282100
OG0000020	Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p	Np005G2821900, Np005G2821200
OG0000020	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p	Np003G1713100
OG0000021	Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	Roisl.0009s0109.1.p	Np005G3189900
OG0000024	Roisl.0015s0178.1.p	Np004G1980700, Np004G1980500
OG0000024	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p, Roisl.0213s0367.1.p	Np004G2150800
OG0000024	Roisl.0026s0117.1.p, Roisl.0026s0135.1.p	Np001G0579500, Np001G0579400
OG0000024	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p	Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	Roisl.0213s0858.1.p, Roisl.0022s0006.1.p	Np003G1727000
OG0000026	Roisl.0213s0871.1.p	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	Roisl.0213s0580.1.p, Roisl.0213s0582.1.p	Np003G1806500
OG0000027	Roisl.0184s0129.1.p	Np005G2839100
OG0000027	Roisl.0214s0896.1.p	Np005G2841300
OG0000027	Roisl.0008s0076.1.p	Np005G2840800
OG0000027	Roisl.0012s0193.1.p, Roisl.0008s0072.1.p	Np005G2840200
OG0000028	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p	Np003G1643200
OG0000028	Roisl.0008s0342.1.p	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	Roisl.0091s1124.1.p	Np001G0479800, Np001G0480000
OG0000028	Roisl.0024s0660.1.p	Np007G3822800, Np007G3818000, Np007G3823400
OG0000029	Roisl.0046s0705.1.p	Np003G1680700, Np003G1751100
OG0000030	Roisl.0213s0186.1.p	Np001G0090700
OG0000030	Roisl.0021s0166.1.p, Roisl.0091s0622.1.p, Roisl.0074s0641.1.p	Np004G2249500, Np004G2249800
OG0000030	Roisl.0046s0886.1.p	Np004G2250000
OG0000030	Roisl.0074s0618.1.p	Np007G4070000
OG0000031	Roisl.0020s0186.1.p	Np002G0985700
OG0000031	Roisl.0020s0022.1.p, Roisl.0184s0020.1.p, Roisl.0204s0107.1.p	Np006G3345400
OG0000032	Roisl.0021s0539.1.p	Np004G2267500
OG0000032	Roisl.0005s0192.1.p	Np002G1024100
OG0000034	Roisl.0008s0068.1.p	Np005G2840700, Np005G2840600
OG0000034	Roisl.0214s0895.1.p	Np005G2841400
OG0000034	Roisl.0008s0077.1.p	Np005G2839700, Np005G2840900
OG0000034	Roisl.0214s0904.1.p	Np005G2841600
OG0000034	Roisl.0019s0659.1.p	Np005G2841500
OG0000034	Roisl.0214s0905.1.p	Np005G2841700
OG0000035	Roisl.0213s0218.1.p	Np004G2088100, Np005G3165600
OG0000035	Roisl.0038s0018.1.p	Np005G2830800, Np002G1134400, Np004G2299800
OG0000035	Roisl.0214s0147.1.p	Np002G0910400
OG0000038	Roisl.0046s1475.1.p, Roisl.0209s0432.1.p, Roisl.0046s1474.1.p, Roisl.0055s0039.1.p, Roisl.0024s0539.1.p	Np007G3978400
OG0000040	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p	Np001G0278000
OG0000040	Roisl.0209s0055.1.p	Np003G1817100, Np006G3694800, Np006G3353400
OG0000040	Roisl.0008s0099.1.p, Roisl.0188s0108.1.p	Np004G1916700, Np002G0779200
OG0000041	Roisl.0046s0022.1.p	Np002G1205400, Np004G2543000
OG0000042	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p	Np004G2161100, Np002G0961400
OG0000042	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p	Np003G1737100
OG0000042	Roisl.0028s0881.1.p	Np002G0963100
OG0000043	Roisl.0213s0162.1.p	Np003G1577100
OG0000043	Roisl.0214s0265.1.p	Np005G2957000
OG0000043	Roisl.0082s0570.1.p, Roisl.0066s0301.1.p	Np002G0951900
OG0000043	Roisl.0013s0195.1.p	Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100
OG0000046	Roisl.0210s2226.1.p, Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p	Np004G2388700, Np001G0160700
OG0000046	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000047	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p, Roisl.0038s0004.1.p, Roisl.0214s0886.1.p	Np002G1005500
OG0000048	Roisl.0214s0362.1.p	Np006G3565700
OG0000050	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	Roisl.0214s0827.1.p	Np002G0988200
OG0000050	Roisl.0020s0012.1.p, Roisl.0214s0245.1.p	Np001G0129000, Np001G0129100, Np001G0128800, Np004G2259400, Np004G2435300
OG0000050	Roisl.0082s0464.1.p	Np004G1970300, Np005G2648800, Np001G0275100, Np006G3520500, Np001G0383800, Np003G1895000, Np008G4280900
OG0000051	Roisl.0210s2097.1.p	Np002G1163000
OG0000051	Roisl.0082s0147.1.p	Np002G1229200
OG0000051	Roisl.0028s0722.1.p	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	Roisl.0189s0079.1.p	Np003G1730300
OG0000052	Roisl.0011s0479.1.p	Np007G4239500
OG0000055	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	Roisl.0074s0202.1.p, Roisl.0053s0284.1.p	Np007G3923100, Np007G3922500
OG0000055	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p	Np007G3753300
OG0000056	Roisl.0209s0767.1.p	Np002G1194100
OG0000056	Roisl.0209s0613.1.p, Roisl.0209s0764.1.p	Np002G0830700
OG0000056	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	Roisl.0209s0402.1.p	Np005G3136000, Np001G0467300
OG0000059	Roisl.0019s0251.1.p	Np001G0402100, Np005G3113000, Np006G3274400
OG0000059	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p	Np003G1667800, Np001G0392300, Np001G0082700
OG0000060	Roisl.0209s0337.1.p	Np004G2515700, Np006G3598500
OG0000060	Roisl.0091s1062.1.p	Np001G0456200
OG0000060	Roisl.0017s0101.1.p	Np006G3370300
OG0000061	Roisl.0002s0176.1.p, Roisl.0210s2205.1.p	Np006G3342300
OG0000061	Roisl.0033s0004.1.p	Np002G1245500
OG0000065	Roisl.0024s0070.1.p	Np002G0937300
OG0000065	Roisl.0213s0853.1.p	Np005G3132500
OG0000065	Roisl.0213s0852.1.p	Np005G3146600
OG0000066	Roisl.0024s0428.1.p	Np004G2500100, Np003G1367200
OG0000066	Roisl.0001s0457.1.p	Np007G3771600
OG0000068	Roisl.0034s0163.1.p	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000069	Roisl.0115s0002.1.p	Np006G3706900, Np006G3707500
OG0000069	Roisl.0213s0875.1.p	Np007G3833600
OG0000069	Roisl.0017s0161.1.p	Np002G1204500, Np002G1174500, Np004G2201300
OG0000069	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	Roisl.0074s0568.1.p	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000069	Roisl.0055s0038.1.p	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800, Np005G2912900, Np005G2946700, Np005G2913400
OG0000070	Roisl.0021s0078.1.p, Roisl.0011s0203.1.p, Roisl.0011s0205.1.p	Np007G3899300, Np001G0248800
OG0000070	Roisl.0007s0115.1.p	Np004G2353400
OG0000070	Roisl.0004s0297.1.p	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000074	Roisl.0054s0034.1.p	Np001G0425700, Np002G0733000
OG0000075	Roisl.0214s0076.1.p	Np006G3607400, Np003G1743500, Np003G1743600, Np003G1743200
OG0000075	Roisl.0001s0515.1.p, Roisl.0002s0267.1.p, Roisl.0002s0266.1.p, Roisl.0001s0513.1.p	Np005G2617300
OG0000075	Roisl.0046s0019.1.p	Np004G2247300
OG0000076	Roisl.0115s0707.1.p	Np005G2608900
OG0000077	Roisl.0012s0354.1.p	Np001G0386200
OG0000077	Roisl.0024s0105.1.p	Np002G0927000
OG0000077	Roisl.0005s0356.1.p, Roisl.0005s0357.1.p, Roisl.0005s0358.1.p, Roisl.0005s0330.1.p, Roisl.0213s0591.1.p, Roisl.0213s0589.1.p	Np001G0381300
OG0000077	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p	Np002G1125900
OG0000077	Roisl.0214s0840.1.p	Np002G1120200
OG0000077	Roisl.0214s0808.1.p	Np002G1121700
OG0000077	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p	Np001G0247700
OG0000077	Roisl.0214s0806.1.p	Np002G1126100
OG0000077	Roisl.0005s0364.1.p	Np001G0381400
OG0000078	Roisl.0016s0324.1.p	Np007G4214700
OG0000079	Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p	Np004G2152100, Np004G2296400
OG0000079	Roisl.0214s0213.1.p, Roisl.0211s0009.1.p	Np004G2253500
OG0000079	Roisl.0091s0481.1.p, Roisl.0058s0024.1.p	Np004G2253600
OG0000081	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p	Np005G2602400
OG0000082	Roisl.0028s0038.1.p, Roisl.0056s0001.1.p, Roisl.0020s0081.1.p, Roisl.0214s0040.1.p	Np006G3323100
OG0000083	Roisl.0209s0532.1.p	Np010G4344800, Np003G1476800
OG0000084	Roisl.0189s0055.1.p	Np007G3915500
OG0000086	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p	Np005G3126500
OG0000086	Roisl.0032s0025.1.p	Np002G0950000
OG0000086	Roisl.0214s0709.1.p	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	Roisl.0032s0015.1.p	Np005G3127100
OG0000089	Roisl.0210s2052.1.p	Np001G0109800
OG0000089	Roisl.0024s0139.1.p	Np005G2870600
OG0000089	Roisl.0209s0395.1.p	Np001G0070200
OG0000089	Roisl.0082s0748.1.p	Np006G3501600, Np008G4281600
OG0000089	Roisl.0210s0950.1.p	Np003G1391100
OG0000089	Roisl.0012s0263.1.p	Np001G0399300
OG0000089	Roisl.0091s0246.1.p	Np005G2871200
OG0000089	Roisl.0004s0314.1.p	Np002G0774400
OG0000090	Roisl.0072s0004.1.p, Roisl.0082s0485.1.p	Np004G2177700, Np003G1831100
OG0000090	Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p	Np005G2971200, Np007G4113900, Np006G3546200, Np003G1792600, Np004G1961100, Np002G0878100, Np007G3883300
OG0000090	Roisl.0053s0434.1.p, Roisl.0115s0613.1.p, Roisl.0013s0212.1.p, Roisl.0005s0146.1.p, Roisl.0213s0677.1.p, Roisl.0055s0040.1.p, Roisl.0184s0124.1.p, Roisl.0209s0078.1.p, Roisl.0188s0027.1.p, Roisl.0210s2141.1.p, Roisl.0189s0077.1.p, Roisl.0048s0025.1.p, Roisl.0214s0266.1.p, Roisl.0037s0059.1.p, Roisl.0189s0230.1.p, Roisl.0029s0078.1.p, Roisl.0209s0509.1.p, Roisl.0214s0183.1.p, Roisl.0045s0052.1.p	Np004G2304300
OG0000091	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p	Np003G1487100
OG0000091	Roisl.0214s0193.1.p	Np001G0528700
OG0000095	Roisl.0214s0044.1.p, Roisl.0214s0043.1.p	Np006G3650500, Np006G3650700
OG0000095	Roisl.0214s0042.1.p	Np006G3649600
OG0000095	Roisl.0027s0067.1.p, Roisl.0214s0005.1.p, Roisl.0214s0003.1.p, Roisl.0214s0031.1.p, Roisl.0214s0037.1.p	Np006G3660300
OG0000095	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p, Roisl.0023s0040.1.p, Roisl.0004s0005.1.p	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	Roisl.0074s0977.1.p	Np007G3726500
OG0000098	Roisl.0038s0014.1.p	Np005G3053200, Np001G0115600
OG0000098	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p	Np004G2594800
OG0000098	Roisl.0040s0006.1.p	Np007G3793600
OG0000098	Roisl.0006s0130.1.p, Roisl.0066s0082.1.p	Np001G0116500, Np001G0115500
OG0000098	Roisl.0038s0015.1.p, Roisl.0038s0016.1.p	Np002G0990300, Np002G0990900, Np002G0990400
OG0000100	Roisl.0050s0110.1.p, Roisl.0008s0047.1.p, Roisl.0008s0045.1.p, Roisl.0021s0634.1.p	Np002G1237300
OG0000100	Roisl.0214s0639.1.p	Np004G2064500
OG0000100	Roisl.0214s0220.1.p	Np002G1231900
OG0000101	Roisl.0062s0015.1.p, Roisl.0209s0004.1.p, Roisl.0115s0296.1.p, Roisl.0188s0009.1.p	Np003G1683400
OG0000102	Roisl.0082s0310.1.p, Roisl.0214s0910.1.p	Np003G1850200
OG0000102	Roisl.0082s0308.1.p	Np003G1795300
OG0000102	Roisl.0082s0306.1.p	Np003G1849500, Np003G1850000
OG0000105	Roisl.0005s0168.1.p	Np002G0893200
OG0000105	Roisl.0050s0109.1.p	Np002G1232000
OG0000105	Roisl.0006s0566.1.p	Np003G1459200
OG0000106	Roisl.0046s0419.1.p	Np001G0133000
