Orthogroup	Euclidium_syriacum	Brassica_napus
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	XP_013728940.1, XP_013709795.2, XP_048599654.1, XP_013713504.1, XP_013658645.2, XP_022569213.1, XP_048605927.1, XP_013718672.1, XP_013700236.1, XP_022566666.1, XP_022557495.1, XP_048623614.1
OG0000005	ESY11_g53352_DN1_SP0_c0.t1	XP_048601578.1
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	XP_013709207.1, XP_048632395.1, XP_013739370.1, XP_048608217.1, XP_013679168.1, XP_013694314.1, XP_048629182.1, XP_013699903.1, XP_013739523.2, XP_048621886.1, XP_013751838.3, XP_048605509.1, XP_013726320.2, XP_048599635.1, XP_013700020.1, XP_048635088.1, XP_022569889.1, XP_013657892.1
OG0000007	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1	XP_013689641.1
OG0000007	ESY9_g43741_DN1_SP0_c0.t1	XP_013658605.2
OG0000007	ESY5_g3140_DN1_SP0_c0.t1	XP_013713348.1, XP_013713792.1
OG0000007	ESY14_g19959_DN1_SP0_c0.t1	XP_048603717.1
OG0000007	ESY2_g36604_DN3_SP0_c0.t1	XP_048609270.1
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	XP_013669482.2, XP_048637624.1, XP_048624133.1, XP_013650931.1, XP_013679317.2, XP_048611547.1, XP_013674098.1, XP_048604662.1, XP_048606193.1, XP_048599926.1, XP_048608923.1, XP_048637623.1, XP_022549744.1, XP_013694951.1, XP_022569685.1, XP_013674205.2, XP_048634083.1, XP_048606175.1, XP_048611825.1, XP_048620110.1, XP_013704630.2, XP_048632995.1, XP_048634091.1, XP_013658983.1, XP_048598085.1, XP_013658904.1, XP_048605398.1, XP_013713691.1, XP_013699864.2, XP_013673581.2, XP_048624114.1, XP_013689634.1, XP_013723992.2, XP_013694206.1, XP_048623693.1, XP_048624136.1, XP_048605578.1, XP_048627392.1, XP_048606192.1, XP_013731064.2, XP_048608898.1, XP_048627245.1, XP_048596526.1, XP_013658564.2, XP_013668733.2, XP_013659695.2, XP_013694544.2, XP_048632958.1, XP_013660781.1, XP_048604778.1, XP_048615950.1, XP_013649395.2, XP_048624140.1, XP_048624246.1, XP_013709372.2, XP_022553380.1, XP_048634063.1, XP_048615667.1, XP_013654036.3, XP_013654011.2, XP_013646207.2, XP_048591502.1, XP_048613428.1, XP_048591447.1, XP_048605541.1, XP_013678969.2, XP_048596342.1, XP_048621839.1, XP_022549722.2, XP_013658576.2, XP_013745771.2, XP_013690321.2, XP_048599593.1, XP_048599664.1, XP_013726547.1
OG0000007	ESY6_g47093_DN2_SP0_c0.t1	XP_013688737.1, XP_013688835.1, XP_048637520.1, XP_048628012.1, XP_048635094.1, XP_022565607.2
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	XP_013709535.2, XP_048596271.1, XP_048627958.1, XP_048605305.1, XP_048602208.1, XP_048637614.1, XP_048637817.1, XP_048622563.1, XP_048599589.1, XP_022547630.2, XP_013679543.2, XP_013705001.2, XP_048620224.1, XP_048628475.1, XP_048590797.1, XP_048605193.1, XP_048602098.1, XP_013729777.3, XP_048614654.1, XP_048613386.1, XP_013726652.1, XP_048634180.1, XP_048615675.1, XP_048627521.1, XP_048600989.1, XP_013649895.1, XP_048593291.1, XP_048637651.1, XP_048634041.1, XP_048599181.1, XP_048607915.1, XP_048607904.1, XP_013717411.2, XP_013691111.2, XP_013722649.1, XP_048633127.1, XP_048599584.1, XP_048603850.1, XP_048614138.1, XP_022548693.2, XP_022557716.2, XP_048612002.1, XP_048612005.1, XP_048630290.1, XP_048637523.1, XP_048605750.1, XP_048630899.1, XP_048612699.1, XP_048611975.1, XP_048622867.1, XP_022549239.1, XP_048615069.1, XP_048622956.1, XP_048621207.1, XP_048605224.1, XP_048622188.1, XP_022574272.2, XP_048593363.1, XP_048623066.1, XP_022565168.1, XP_048619957.1, XP_048628045.1, XP_048605317.1, XP_048630259.1, XP_048623705.1, XP_048635054.1, XP_013665093.3, XP_048608588.1, XP_048609223.1, XP_048605194.1, XP_048604578.1, XP_048619954.1, XP_022560005.2, XP_048596270.1, XP_048614935.1, XP_048613237.1, XP_022557626.1, XP_048605325.1, XP_013732053.2, XP_048615501.1, XP_048619150.1, XP_048619082.1, XP_022565564.1, XP_048606775.1, XP_048634035.1, XP_048605571.1, XP_048616724.1, XP_048607397.1, XP_048606349.1, XP_013668737.2, XP_048592900.1, XP_048615136.1, XP_048628393.1, XP_048604232.1, XP_048634791.1, XP_013673836.1, XP_048592068.1, XP_048634097.1, XP_048613323.1, XP_048608334.1, XP_048606350.1, XP_048601609.1, XP_048622948.1, XP_048605748.1, XP_048594969.1, XP_048622433.1, XP_048616725.1, XP_048606607.1, XP_048606670.1, XP_048614737.1, XP_048612049.1, XP_048620060.1, XP_013751877.2, XP_048603863.1, XP_048623691.1, XP_048626080.1, XP_048604782.1, XP_048622536.1, XP_048631227.1, XP_048602312.1, XP_048615107.1, XP_048625201.1, XP_048628471.1, XP_048637540.1, XP_022567851.2, XP_048615493.1, XP_048619151.1, XP_022565888.1, XP_048619083.1, XP_048597022.1, XP_013658616.2, XP_048623802.1, XP_048627537.1
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	XP_013700535.1, XP_013700318.1, XP_048615689.1, XP_013673894.2, XP_048620109.1, XP_013713592.1, XP_048603843.1, XP_048603078.1, XP_048617046.1, XP_048626973.1, XP_048600408.1, XP_048605631.1, XP_048622706.1, XP_013651736.2, XP_013665254.2, XP_013673830.1, XP_048636982.1, XP_048605032.1, XP_048604687.1, XP_048605139.1, XP_048605122.1, XP_048617118.1, XP_048609588.1, XP_013694773.1, XP_048605773.1, XP_013669126.1, XP_013657861.1, XP_013680128.1, XP_048623792.1, XP_048627540.1, XP_048627019.1, XP_013654293.1, XP_013719470.1, XP_048628567.1, XP_013673938.1, XP_048599702.1, XP_048623790.1, XP_013657845.1, XP_013674358.1, XP_048611696.1, XP_013731674.1, XP_048620209.1, XP_048622591.1, XP_048613189.1, XP_013680096.1, XP_048599805.1, XP_048590782.1, XP_013695068.1, XP_048611913.1, XP_013709233.2, XP_013700181.2, XP_013715874.2, XP_048623780.1, XP_048622700.1, XP_048611935.1, XP_048604998.1, XP_048604852.1, XP_048611575.1, XP_048626950.1, XP_013745730.1, XP_013689885.1, XP_013709546.1, XP_048623897.1, XP_013658724.1, XP_048599858.1, XP_048626494.1, XP_048637553.1, XP_048613190.1, XP_048595147.1, XP_048611591.1, XP_013695057.1, XP_048622786.1, XP_048605855.1, XP_048596261.1, XP_048619839.1, XP_048599844.1, XP_048605676.1, XP_013705952.3, XP_048599685.1, XP_048605016.1, XP_048613311.1, XP_048605019.1, XP_048608870.1, XP_013689149.2, XP_048604885.1, XP_048599929.1, XP_048613405.1, XP_013721758.1, XP_048611835.1, XP_013689890.1, XP_048627565.1, XP_048598108.1, XP_013720996.1, XP_013654288.1, XP_013688904.1, XP_048611534.1, XP_048599780.1, XP_013700321.1, XP_013651348.2, XP_013694077.1, XP_022575826.1, XP_013689893.1, XP_048613103.1, XP_013669278.1, XP_013728369.1, XP_048619878.1, XP_048605061.1, XP_013730694.1, XP_048622616.1, XP_022570400.1, XP_048599566.1, XP_013699867.2, XP_013665415.1, XP_048599565.1, XP_013704069.1, XP_013650512.1, XP_013651123.1, XP_013699897.1, XP_013729113.2, XP_048608937.1, XP_048619944.1, XP_013699883.2, XP_013654290.1, XP_022558217.1, XP_048611650.1, XP_048605932.1, XP_013699887.1, XP_013645659.1, XP_022566330.1
OG0000015	ESY13_g56759_DN1_SP0_c0.t1	XP_048614634.1
OG0000015	ESY13_g57357_DN1_SP0_c0.t1	XP_048622603.1
OG0000015	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1	XP_022553445.1, XP_048611374.1
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	XP_048627782.1, XP_048595751.1, XP_048607541.1
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	XP_048616944.1
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	XP_048595752.1, XP_048605580.1
OG0000017	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1	XP_048592801.1, XP_048620235.1, XP_048599118.1, XP_048594622.1, XP_022546269.2, XP_013715010.1
OG0000017	ESY5_g674_DN3_SP0_c68.t1	XP_048615612.1, XP_048610757.1, XP_022559532.2
OG0000017	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1	XP_048603682.1
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_048605770.1, XP_048596272.1, XP_048599222.1, XP_048605670.1, XP_013723218.1, XP_013688917.1, XP_013651116.2, XP_048633126.1, XP_013729972.2, XP_048605202.1, XP_048611582.1, XP_013700193.2, XP_048637481.1, XP_048594395.1, XP_048634308.1, XP_048610225.1, XP_048610582.1, XP_048599165.1, XP_048593225.1, XP_022567697.1, XP_013664995.2, XP_048627957.1, XP_048633984.1, XP_048612571.1, XP_048599180.1, XP_013723386.1, XP_048620905.1, XP_048596639.1, XP_022565086.2, XP_048615837.1, XP_048623681.1, XP_013694986.1, XP_013651110.1, XP_048604736.1, XP_013724413.2, XP_048621801.1, XP_048621797.1, XP_048619956.1, XP_048619958.1, XP_048633112.1, XP_048623936.1, XP_013669249.1
OG0000019	ESY24_g33175_DN3_SP0_c2.t1	XP_048621485.1
OG0000019	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1	XP_013704389.3, XP_013717169.2, XP_022547619.1, XP_022547620.1
OG0000020	ESY3_g28065_DN2_SP0_c0.t1	XP_048605650.1
OG0000021	ESY9_g45027_DN2_SP0_c0.t1	XP_048615773.1, XP_048620188.1, XP_022552080.1, XP_013694633.1
OG0000021	ESY10_g13998_DN2_SP0_c0.t1	XP_022553574.1
OG0000021	ESY8_g60366_DN2_SP0_c0.t1	XP_048596309.1, XP_048626541.1
OG0000021	ESY4_g24688_DN1_SP0_c0.t1	XP_048622704.1
OG0000021	ESY9_g43535_DN3_SP0_c0.t1	XP_013727601.1, XP_048620920.1
OG0000021	ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2
OG0000023	ESY7_g17001_DN1_SP0_c0.t1, ESY9_g42607_DN2_SP0_c68.t1, ESY9_g42764_DN3_SP0_c0.t1	XP_048605876.1
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	XP_013669076.1, XP_013669544.1, XP_013713480.1, XP_013689097.2, XP_048608673.1, XP_013728666.1, XP_048613420.1, XP_048605024.1, XP_048613449.1, XP_048605856.1, XP_048623912.1, XP_048599793.1, XP_048599838.1, XP_048605606.1, XP_048615618.1, XP_048623904.1, XP_048611507.1, XP_048605123.1, XP_048611627.1, XP_013650414.1, XP_013669256.2, XP_048605083.1, XP_013669031.1, XP_013709009.2, XP_013651066.1, XP_013651401.2, XP_022568629.1, XP_048605658.1, XP_048615606.1, XP_013732458.2, XP_048611612.1, XP_013699736.1, XP_048599752.1, XP_013651153.1, XP_048623779.1, XP_048611621.1, XP_048613345.1, XP_048623915.1, XP_048604991.1, XP_048611565.1, XP_013689192.1, XP_013751200.1, XP_048622634.1, XP_048605648.1, XP_048622898.1, XP_048611836.1, XP_013689892.2, XP_013650453.1, XP_048623902.1, XP_048613349.1, XP_048619937.1, XP_048624080.1, XP_048624013.1, XP_048623970.1, XP_048611471.1, XP_048605851.1, XP_013669564.2, XP_048620139.1, XP_048605025.1, XP_048623990.1, XP_048611730.1, XP_048622724.1, XP_048617117.1, XP_048622615.1, XP_048617119.1, XP_048611557.1
OG0000025	ESY3_g32269_DN2_SP0_c54.t1	XP_048603142.1
OG0000025	ESY3_g32495_DN3_SP0_c95.t1	XP_048637460.1, XP_048596622.1, XP_048637461.1, XP_022561441.2, XP_013705737.2, XP_048594642.1, XP_013713555.1, XP_013665745.2
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	XP_013660801.2, XP_013693183.2, XP_013688792.2, XP_022575800.1, XP_013689982.1, XP_048604113.1, XP_048605402.1, XP_013694923.1, XP_022565088.1, XP_013694081.2, XP_048599629.1, XP_048611708.1, XP_013700163.2, XP_022560041.2, XP_048623977.1, XP_048619887.1, XP_013716236.1, XP_048604696.1, XP_048604608.1, XP_048615510.1, XP_013690069.1, XP_013679158.1, XP_048613434.1, XP_022570698.1, XP_048622697.1, XP_048593382.1, XP_013650782.2, XP_048633038.1, XP_013654050.2, XP_013656470.2, XP_048621728.1, XP_013709768.2, XP_013676571.2, XP_048605928.1, XP_013650482.2, XP_013725579.1, XP_022569794.1, XP_013678944.3, XP_048618333.1, XP_013649960.1, XP_013708922.1, XP_013701765.1, XP_048607574.1, XP_022559746.2, XP_013665567.3, XP_048600036.1, XP_048600035.1, XP_013718697.2, XP_013726689.1, XP_013645721.1, XP_013673982.1, XP_022544275.2, XP_022546075.2, XP_013742091.2, XP_013642305.2, XP_013748306.2, XP_048604834.1, XP_013745200.2, XP_022570115.1, XP_048591410.1, XP_048629058.1, XP_048609175.1, XP_013695840.2, XP_013689267.2, XP_013689142.2, XP_022565688.2, XP_013704163.2, XP_048633191.1, XP_048596374.1, XP_013694198.1, XP_013655249.2, XP_013709327.2, XP_022568227.1, XP_048619935.1, XP_048624252.1, XP_048613225.1, XP_048605392.1, XP_048608748.1
OG0000027	ESY1_g12041_DN3_SP0_c0.t1, ESY7_g16494_DN2_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY12_g51878_DN2_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1	XP_048618819.1
OG0000028	ESY6_g48344_DN1_SP0_c0.t1, ESY1_g6329_DN2_SP0_c0.t1	XP_013665034.1
OG0000028	ESY5_g1247_DN2_SP0_c0.t1	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2, XP_013726546.1, XP_048638265.1, XP_013688983.1, XP_022558343.1, XP_013706275.2, XP_013650677.1, XP_013705054.1, XP_013729440.1, XP_013668860.2, XP_022548807.2, XP_013646182.2, XP_048623697.1, XP_013651197.1
OG0000028	ESY10_g14733_DN2_SP0_c0.t1	XP_048622652.1
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	XP_022573237.1, XP_048595129.1, XP_013705057.2, XP_048622978.1, XP_013664351.1, XP_048611771.1, XP_048627924.1, XP_048627923.1, XP_048611772.1, XP_048613515.1, XP_013745291.1, XP_013738737.2, XP_048620192.1, XP_048632518.1, XP_048621879.1, XP_048615827.1, XP_048613466.1, XP_048632854.1, XP_013655251.2, XP_013679244.2, XP_022565176.2, XP_048609574.1, XP_048601956.1, XP_048624719.1, XP_048634081.1, XP_048606316.1, XP_048596000.1, XP_048605707.1, XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1, XP_048624916.1, XP_048604271.1, XP_048630615.1, XP_048615843.1, XP_048637599.1, XP_048593648.1, XP_048607162.1, XP_048623050.1, XP_022551038.1, XP_048635815.1, XP_048611551.1, XP_048635103.1, XP_022558100.2, XP_048591075.1, XP_048638384.1, XP_048596031.1, XP_013738696.2, XP_048634928.1, XP_048632933.1, XP_048591471.1, XP_048596550.1, XP_048634105.1, XP_048623704.1, XP_013650865.2, XP_048609092.1, XP_048594955.1, XP_048615335.1, XP_048634156.1, XP_013721193.1, XP_048608517.1, XP_048613259.1, XP_048627705.1, XP_048634162.1, XP_048637574.1, XP_048591545.1, XP_013689748.1, XP_013719196.1, XP_048593383.1
OG0000030	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	XP_013673703.1
OG0000035	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	XP_013751269.1
OG0000035	ESY8_g58361_DN2_SP0_c0.t1	XP_048636739.1
OG0000035	ESY8_g58364_DN2_SP0_c0.t1	XP_048634349.1, XP_048611991.1, XP_013747176.2, XP_048610025.1, XP_013723850.2, XP_013747222.2, XP_048635821.1, XP_048613549.1, XP_013645362.1, XP_048611994.1, XP_048634354.1, XP_013746089.2, XP_013696206.2, XP_013747225.2, XP_013723835.2, XP_048612494.1, XP_013666043.2, XP_013747220.2, XP_022574418.2, XP_013723790.1, XP_013723791.2, XP_048634353.1, XP_048633807.1
OG0000035	ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	XP_048634166.1
OG0000035	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1, ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1	XP_048611992.1, XP_048634350.1
OG0000035	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1	XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	ESY15_g65727_DN2_SP0_c85.t1	XP_048604916.1, XP_048611480.1, XP_048605348.1, XP_048604985.1
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	XP_048611515.1, XP_048605853.1, XP_013729534.2, XP_048600422.1, XP_048633129.1, XP_013645251.1, XP_048605902.1, XP_048611485.1, XP_013751552.2, XP_048609075.1, XP_048593395.1, XP_013674415.1, XP_048618200.1, XP_048635028.1, XP_013751422.1, XP_013699701.2, XP_013729639.1, XP_048605097.1, XP_048613413.1, XP_048611981.1, XP_022565052.1, XP_013729035.1, XP_048615589.1, XP_048615587.1, XP_048632934.1, XP_048603180.1, XP_048609838.1, XP_048622908.1, XP_013665475.1, XP_022568279.2
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	XP_022547515.1, XP_013689407.1, XP_013674918.2
OG0000038	ESY1_g11096_DN3_SP0_c0.t1	XP_048620565.1, XP_022547368.1, XP_013746550.1, XP_048610886.1
OG0000038	ESY2_g34741_DN3_SP0_c0.t1	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1
OG0000040	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1	XP_013701833.2, XP_022560216.2, XP_048591590.1
OG0000040	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1	XP_048600575.1
OG0000040	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1	XP_048596338.1
OG0000040	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1, XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1
OG0000040	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1	XP_048600581.1, XP_048600574.1, XP_048600570.1
OG0000040	ESY11_g54853_DN3_SP0_c0.t1	XP_013679817.1, XP_013717097.2, XP_013679818.1
OG0000040	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1, ESY3_g29344_DN3_SP0_c0.t1	XP_013706039.1, XP_013675588.2, XP_013719126.2, XP_013716736.2, XP_048611111.1, XP_013747379.2
OG0000041	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	XP_048605013.1, XP_022565661.2, XP_048614815.1
OG0000042	ESY4_g25086_DN1_SP0_c0.t1	XP_048596317.1
OG0000042	ESY5_g2557_DN3_SP0_c0.t1	XP_048620148.1, XP_013673772.1, XP_013688861.2
OG0000042	ESY9_g43776_DN1_SP0_c0.t1	XP_013674220.1
OG0000042	ESY8_g60365_DN2_SP0_c0.t1	XP_013653696.1, XP_013673846.1
OG0000042	ESY21_g55833_DN2_SP0_c0.t1	XP_048629753.1
OG0000044	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1	XP_013653957.2, XP_048610024.1
