Orthogroup	Euclidium_syriacum	Cardamine_amara
OG0000007	ESY7_g16535_DN2_SP0_c0.t1	evm.model.RL_2.1094, evm.model.RL_5.2474, evm.model.RL_8.1027, evm.model.RL_5.2316, evm.model.RL_1.2701, evm.model.RL_2.506
OG0000007	ESY16_g61843_DN2_SP0_c0.t1, ESY17_g39043_DN1_SP0_c0.t1	evm.model.RL_2.508
OG0000007	ESY9_g44627_DN1_SP0_c0.t1, ESY3_g30327_DN1_SP0_c0.t1, ESY3_g29102_DN2_SP0_c0.t1, ESY1_g10755_DN1_SP0_c14.t1, ESY11_g54832_DN1_SP0_c0.t1, ESY3_g28926_DN2_SP0_c0.t1, ESY2_g37456_DN1_SP0_c0.t1, ESY7_g16181_DN1_SP0_c0.t1, ESY8_g59126_DN2_SP0_c0.t1, ESY1_g5706_DN2_SP0_c0.t1, ESY4_g25005_DN1_SP0_c0.t1	evm.model.RL_3.2011
OG0000007	ESY2_g36604_DN3_SP0_c0.t1	evm.model.RL_4.333, evm.model.RL_4.870, evm.model.RL_4.1691, evm.model.RL_7.1568, evm.model.RL_5.674, evm.model.RL_4.1223
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	evm.model.RL_1.2700, evm.model.RL_2.507, evm.model.RL_2.539, evm.model.RL_4.2369, evm.model.RL_4.557, evm.model.RL_2.1095, evm.model.RL_2.2279, evm.model.RL_4.1690, evm.model.RL_7.1569, evm.model.RL_2.556
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	evm.model.RL_7.2148, evm.model.RL_2.761, evm.model.RL_4.1914, evm.model.RL_7.1211
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	evm.model.RL_4.165
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	evm.model.RL_6.758, evm.model.RL_3.807, evm.model.RL_3.1357, evm.model.RL_4.820, evm.model.RL_2.791, evm.model.RL_6.523, evm.model.RL_4.704, evm.model.RL_2.641, evm.model.RL_5.2507, evm.model.RL_2.759, evm.model.RL_7.1969, evm.model.RL_3.1358, evm.model.RL_3.673, evm.model.RL_6.609, evm.model.RL_4.752, evm.model.RL_5.2591, evm.model.RL_7.2034, evm.model.RL_2.725, evm.model.RL_2.397, evm.model.RL_6.796
OG0000015	ESY13_g57357_DN1_SP0_c0.t1	evm.model.RL_4.1006
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	evm.model.RL_1.3215
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	evm.model.RL_8.879
OG0000017	ESY15_g65203_DN3_SP0_c0.t1	evm.model.RL_7.1888
OG0000017	ESY1_g8955_DN2_SP0_c0.t1, ESY14_g20322_DN1_SP0_c0.t1, ESY13_g57019_DN3_SP0_c0.t1, ESY6_g47831_DN2_SP0_c0.t1, ESY4_g22920_DN3_SP0_c0.t1	evm.model.RL_2.1821
OG0000017	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1	evm.model.RL_6.717
OG0000017	ESY5_g674_DN3_SP0_c68.t1	evm.model.RL_7.1516
OG0000017	ESY11_g52417_DN3_SP0_c0.t1, ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1	evm.model.RL_3.2130
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	evm.model.RL_4.1915, evm.model.RL_6.190
OG0000018	ESY9_g43986_DN3_SP0_c0.t1	evm.model.RL_7.1872
OG0000019	ESY24_g33175_DN3_SP0_c2.t1	evm.model.RL_7.2531
OG0000020	ESY15_g65701_DN1_SP0_c88.t1	evm.model.RL_7.2127
OG0000020	ESY3_g28065_DN2_SP0_c0.t1	evm.model.RL_8.1178
OG0000021	ESY9_g45027_DN2_SP0_c0.t1	evm.model.RL_7.92, evm.model.RL_2.444
OG0000021	ESY10_g13998_DN2_SP0_c0.t1	evm.model.RL_5.2428
OG0000021	ESY8_g60366_DN2_SP0_c0.t1	evm.model.RL_3.587
OG0000021	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	evm.model.RL_4.3275, evm.model.RL_5.2792
OG0000023	ESY23_g74_DN3_SP0_c34.t1	evm.model.RL_2.1839
OG0000023	ESY9_g42764_DN3_SP0_c0.t1	evm.model.RL_2.1841
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	evm.model.RL_7.2066, evm.model.RL_8.1089, evm.model.RL_5.2480
OG0000025	ESY4_g25969_DN1_SP0_c10.t1	evm.model.RL_8.1529
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710, evm.model.RL_1.193, evm.model.RL_1.2571, evm.model.RL_5.679, evm.model.RL_7.315
OG0000028	ESY6_g48344_DN1_SP0_c0.t1	evm.model.RL_7.2004, evm.model.RL_7.2001, evm.model.RL_7.2002, evm.model.RL_7.4, evm.model.RL_5.3115
OG0000028	ESY5_g1247_DN2_SP0_c0.t1, ESY10_g13703_DN2_SP0_c0.t1, ESY10_g14733_DN2_SP0_c0.t1	evm.model.RL_4.1689
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	evm.model.RL_8.656, evm.model.RL_4.797, evm.model.RL_2.306, evm.model.RL_5.2382, evm.model.RL_1.2704
OG0000036	ESY15_g65727_DN2_SP0_c85.t1	evm.model.RL_1.2959, evm.model.RL_5.2564
OG0000036	ESY13_g56710_DN1_SP0_c0.t1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	evm.model.RL_8.830, evm.model.RL_2.914, evm.model.RL_1.2680, evm.model.RL_5.891, evm.model.RL_1.63, evm.model.RL_4.2891, evm.model.RL_5.3695, evm.model.RL_3.518
OG0000038	ESY9_g42631_DN2_SP0_c0.t1	evm.model.RL_7.1446
OG0000040	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	evm.model.RL_7.2097
OG0000040	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1	evm.model.RL_2.1272
OG0000040	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	evm.model.RL_3.1121
OG0000042	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1	evm.model.RL_7.1372
OG0000042	ESY9_g43776_DN1_SP0_c0.t1	evm.model.RL_3.1047
OG0000042	ESY8_g60365_DN2_SP0_c0.t1, ESY21_g55833_DN2_SP0_c0.t1	evm.model.RL_7.1972
OG0000044	ESY5_g2589_DN3_SP0_c0.t1	evm.model.RL_3.633, evm.model.RL_7.2338
OG0000045	ESY5_g789_DN1_SP0_c0.t1	evm.model.RL_6.267
OG0000046	ESY4_g26383_DN3_SP0_c53.t1	evm.model.RL_2.391
OG0000046	ESY4_g25771_DN2_SP0_c0.t1	evm.model.RL_2.393
OG0000047	ESY3_g28898_DN3_SP0_c0.t1	evm.model.RL_6.2868, evm.model.RL_2.1217, evm.model.RL_7.1965, evm.model.RL_1.2799, evm.model.RL_1.325, evm.model.RL_5.3533, evm.model.RL_5.3697, evm.model.RL_2.1891, evm.model.RL_4.1421
OG0000049	ESY8_g61336_DN1_SP0_c0.t1	evm.model.RL_4.948
OG0000052	ESY5_g5128_DN3_SP0_c0.t1	evm.model.RL_5.167
OG0000052	ESY12_g51256_DN3_SP0_c0.t1	evm.model.RL_8.2684
OG0000052	ESY12_g51336_DN3_SP0_c0.t1	evm.model.RL_6.1412
OG0000052	ESY12_g51338_DN3_SP0_c0.t1	evm.model.RL_8.803, evm.model.RL_8.802
OG0000052	ESY5_g2706_DN3_SP0_c11.t1	evm.model.RL_6.2368
OG0000054	ESY5_g2306_DN3_SP0_c0.t1	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	ESY22_g40958_DN3_SP0_c0.t1, ESY19_g41846_DN3_SP0_c0.t1, ESY18_g63621_DN3_SP0_c0.t1	evm.model.RL_1.2395
OG0000055	ESY2_g33771_DN2_SP0_c0.t1	evm.model.RL_3.286
OG0000055	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1	evm.model.RL_3.285
OG0000056	ESY4_g23383_DN2_SP0_c0.t1	evm.model.RL_2.634
OG0000056	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1	evm.model.RL_8.1064, evm.model.RL_7.2479
OG0000056	ESY9_g44874_DN3_SP0_c0.t1	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000057	ESY2_g35556_DN3_SP0_c0.t1	evm.model.RL_4.2353
OG0000057	ESY3_g30252_DN1_SP0_c0.t1	evm.model.RL_1.2359
OG0000058	ESY3_g27061_DN1_SP0_c0.t1	evm.model.RL_6.526
OG0000058	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1	evm.model.RL_2.1104, evm.model.RL_1.2538, evm.model.RL_6.525, evm.model.RL_2.462, evm.model.RL_7.2216
OG0000059	ESY6_g46614_DN1_SP0_c0.t1, ESY7_g19118_DN1_SP0_c62.t1	evm.model.RL_2.445
OG0000061	ESY1_g9171_DN3_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1	evm.model.RL_6.2867
OG0000061	ESY17_g40277_DN2_SP0_c0.t1	evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	ESY8_g59723_DN2_SP0_c0.t1	evm.model.RL_6.781, evm.model.RL_6.779, evm.model.RL_6.456, evm.model.RL_7.2113, evm.model.RL_2.991, evm.model.RL_6.777, evm.model.RL_1.3086, evm.model.RL_2.842, evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000063	ESY6_g48808_DN3_SP0_c0.t1	evm.model.RL_6.1828
OG0000063	ESY8_g58878_DN3_SP0_c0.t1	evm.model.RL_5.633
OG0000064	ESY2_g34030_DN3_SP0_c0.t1	evm.model.RL_5.1832
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	evm.model.RL_2.692, evm.model.RL_1.2797, evm.model.RL_5.2499, evm.model.RL_3.795, evm.model.RL_3.818, evm.model.RL_3.821, evm.model.RL_6.665, evm.model.RL_3.831, evm.model.RL_8.1007, evm.model.RL_2.698, evm.model.RL_3.820, evm.model.RL_1.2651, evm.model.RL_6.669, evm.model.RL_8.1014, evm.model.RL_8.1010, evm.model.RL_2.690, evm.model.RL_6.632, evm.model.RL_3.828, evm.model.RL_2.702, evm.model.RL_4.719, evm.model.RL_7.2023, evm.model.RL_6.638, evm.model.RL_4.727, evm.model.RL_2.685, evm.model.RL_5.2501, evm.model.RL_8.2425, evm.model.RL_6.602, evm.model.RL_6.620, evm.model.RL_3.887, evm.model.RL_6.658, evm.model.RL_3.830, evm.model.RL_3.822, evm.model.RL_6.659, evm.model.RL_4.717, evm.model.RL_2.695, evm.model.RL_5.2490, evm.model.RL_3.832, evm.model.RL_3.819, evm.model.RL_3.833, evm.model.RL_3.826, evm.model.RL_3.824, evm.model.RL_8.1017, evm.model.RL_4.716, evm.model.RL_8.1009, evm.model.RL_3.812, evm.model.RL_3.796, evm.model.RL_3.835, evm.model.RL_2.691, evm.model.RL_8.1016, evm.model.RL_1.2631, evm.model.RL_1.2658, evm.model.RL_2.687, evm.model.RL_3.811, evm.model.RL_8.1015, evm.model.RL_6.667, evm.model.RL_3.825, evm.model.RL_6.664, evm.model.RL_6.673, evm.model.RL_4.722, evm.model.RL_6.666, evm.model.RL_8.1005, evm.model.RL_5.2500, evm.model.RL_6.703, evm.model.RL_1.2636, evm.model.RL_1.2795, evm.model.RL_1.2649, evm.model.RL_1.2645, evm.model.RL_2.699, evm.model.RL_5.2502, evm.model.RL_6.702, evm.model.RL_6.616, evm.model.RL_6.601, evm.model.RL_6.619, evm.model.RL_2.694, evm.model.RL_4.715, evm.model.RL_6.675, evm.model.RL_8.1006, evm.model.RL_1.2647, evm.model.RL_6.648, evm.model.RL_6.692
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	evm.model.RL_3.1975
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	evm.model.RL_5.1818
OG0000066	ESY7_g18023_DN3_SP0_c0.t1	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	evm.model.RL_8.2622
OG0000067	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1	evm.model.RL_7.2627
OG0000067	ESY6_g50195_DN3_SP0_c0.t1	evm.model.RL_4.3219, evm.model.RL_4.3254, evm.model.RL_4.3204, evm.model.RL_4.1919, evm.model.RL_4.3196, evm.model.RL_7.1445.4.687c84b9
OG0000067	ESY2_g35389_DN2_SP0_c0.t1	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	ESY4_g26580_DN3_SP0_c0.t1	evm.model.RL_8.289
OG0000069	ESY4_g22225_DN3_SP0_c0.t1	evm.model.RL_1.2285
OG0000069	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1	evm.model.RL_4.1093
OG0000070	ESY1_g9010_DN1_SP0_c0.t1	evm.model.RL_6.573, evm.model.RL_2.704, evm.model.RL_8.1000
OG0000070	ESY40_g12601_DN2_SP0_c0.t1	evm.model.RL_1.2601, evm.model.RL_6.604
OG0000070	ESY1_g8220_DN1_SP0_c0.t1	evm.model.RL_2.731
OG0000071	ESY4_g24957_DN2_SP0_c25.t1	evm.model.RL_4.341
OG0000072	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783
OG0000074	ESY5_g2024_DN3_SP0_c0.t1	evm.model.RL_5.3415
OG0000076	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	evm.model.RL_6.1653
OG0000077	ESY4_g26388_DN2_SP0_c0.t1	evm.model.RL_2.1487
OG0000077	ESY11_g54274_DN2_SP0_c0.t1	evm.model.RL_6.2241
OG0000077	ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1	evm.model.RL_6.145
OG0000078	ESY3_g27675_DN3_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	evm.model.RL_7.1903
OG0000078	ESY9_g43985_DN3_SP0_c0.t1	evm.model.RL_3.798
OG0000080	ESY10_g14355_DN2_SP0_c0.t1	evm.model.RL_6.1107
OG0000081	ESY3_g32181_DN3_SP0_c0.t1	evm.model.RL_6.922
OG0000082	ESY15_g65451_DN1_SP0_c66.t1	evm.model.RL_7.1932
OG0000082	ESY11_g54332_DN2_SP0_c0.t1	evm.model.RL_8.732
OG0000082	ESY4_g23899_DN1_SP0_c0.t1	evm.model.RL_7.2714
OG0000084	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1	evm.model.RL_6.376
OG0000086	ESY16_g62560_DN2_SP0_c0.t1	evm.model.RL_8.2048, evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	evm.model.RL_4.1345
OG0000087	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	evm.model.RL_6.1057
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	evm.model.RL_4.2360
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	evm.model.RL_4.428
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	evm.model.RL_2.1599
OG0000087	ESY5_g3995_DN3_SP3_c0.t1	evm.model.RL_5.1831
OG0000087	ESY2_g34829_DN3_SP8_c0.t1	evm.model.RL_3.1990
OG0000090	ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1	evm.model.RL_2.2972
OG0000090	ESY3_g32095_DN2_SP0_c41.t1	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000090	ESY10_g14297_DN3_SP0_c35.t1	evm.model.RL_5.885
OG0000091	ESY13_g56077_DN3_SP0_c0.t1	evm.model.RL_6.574
OG0000093	ESY1_g11462_DN3_SP0_c0.t1	evm.model.RL_7.523
OG0000093	ESY1_g11463_DN3_SP0_c0.t1	evm.model.RL_7.525
OG0000093	ESY1_g11516_DN3_SP0_c0.t1, ESY1_g11493_DN3_SP0_c41.t1	evm.model.RL_7.532
OG0000096	ESY7_g18827_DN2_SP0_c0.t1	evm.model.RL_7.2530
OG0000097	ESY7_g16525_DN2_SP0_c0.t1	evm.model.RL_8.394
OG0000097	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1	evm.model.RL_8.388
OG0000098	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1	evm.model.RL_3.229
OG0000098	ESY6_g49767_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1	evm.model.RL_8.2377
OG0000099	ESY2_g33425_DN2_SP0_c0.t1, ESY10_g15600_DN1_SP0_c0.t1	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	ESY10_g15601_DN1_SP0_c0.t1	evm.model.RL_3.85
OG0000101	ESY1_g11939_DN1_SP0_c0.t1	evm.model.RL_3.344, evm.model.RL_3.339, evm.model.RL_3.99, evm.model.RL_3.653, evm.model.RL_3.113, evm.model.RL_2.338, evm.model.RL_3.742, evm.model.RL_3.662, evm.model.RL_3.664
OG0000102	ESY17_g40075_DN1_SP0_c10.t1	evm.model.RL_2.452
OG0000104	ESY8_g58838_DN3_SP0_c18.t1	evm.model.RL_6.1005
OG0000104	ESY8_g58834_DN3_SP0_c19.t1	evm.model.RL_6.1006
OG0000104	ESY2_g37202_DN3_SP0_c14.t1	evm.model.RL_5.2109
OG0000105	ESY4_g23717_DN1_SP0_c0.t1, ESY5_g2179_DN2_SP0_c0.t1	evm.model.RL_1.2669
OG0000105	ESY49_g12647_DN2_SP0_c0.t1	evm.model.RL_6.453
OG0000106	ESY6_g49250_DN3_SP0_c0.t1	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	ESY6_g49252_DN1_SP0_c0.t1	evm.model.RL_7.1393
OG0000106	ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1	evm.model.RL_1.1896
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	evm.model.RL_1.1927, evm.model.RL_1.1928, evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	ESY7_g18472_DN3_SP0_c0.t1	evm.model.RL_1.3010
OG0000109	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	evm.model.RL_1.2215, evm.model.RL_4.1270, evm.model.RL_6.809, evm.model.RL_1.2946
OG0000109	ESY15_g64509_DN2_SP0_c0.t1	evm.model.RL_1.2214
OG0000110	ESY1_g11254_DN1_SP0_c0.t1	evm.model.RL_7.433
OG0000111	ESY20_g12773_DN2_SP0_c0.t1	evm.model.RL_8.2409
OG0000112	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167
OG0000113	ESY5_g2214_DN1_SP0_c94.t1	evm.model.RL_3.98, evm.model.RL_3.159.1.687c84ba
OG0000113	ESY16_g61595_DN1_SP0_c0.t1	evm.model.RL_4.149, evm.model.RL_3.996
OG0000113	ESY7_g16449_DN1_SP0_c0.t1	evm.model.RL_4.346
OG0000113	ESY6_g49439_DN2_SP0_c0.t1	evm.model.RL_4.610, evm.model.RL_4.608
OG0000115	ESY11_g54524_DN2_SP0_c0.t1	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1	evm.model.RL_5.1553
OG0000117	ESY9_g44313_DN1_SP0_c0.t1	evm.model.RL_3.358
OG0000119	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1	evm.model.RL_5.2397
OG0000120	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	ESY6_g48203_DN3_SP0_c0.t1	evm.model.RL_5.2721
OG0000124	ESY23_g219_DN2_SP0_c0.t1	evm.model.RL_4.540
OG0000125	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	evm.model.RL_4.1435
OG0000125	ESY5_g4488_DN3_SP0_c0.t1	evm.model.RL_5.630
OG0000125	ESY6_g48851_DN3_SP0_c0.t1	evm.model.RL_8.2069
OG0000125	ESY8_g58880_DN2_SP0_c0.t1	evm.model.RL_6.979
OG0000126	ESY1_g8024_DN2_SP0_c0.t1, ESY1_g9129_DN3_SP0_c0.t1	evm.model.RL_1.2513
OG0000126	ESY7_g16268_DN1_SP0_c0.t1, ESY5_g1991_DN1_SP0_c0.t1, ESY16_g62513_DN1_SP0_c0.t1, ESY1_g9428_DN3_SP0_c0.t1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	ESY3_g30869_DN3_SP0_c0.t1, ESY3_g30864_DN3_SP0_c0.t1	evm.model.RL_1.823
OG0000127	ESY7_g19561_DN3_SP0_c0.t1	evm.model.RL_4.3343
OG0000127	ESY3_g30856_DN3_SP0_c0.t1, ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1, ESY8_g58391_DN3_SP0_c0.t1	evm.model.RL_1.822
OG0000130	ESY3_g27873_DN2_SP0_c0.t1	evm.model.RL_8.1018, evm.model.RL_6.662, evm.model.RL_2.682, evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707, evm.model.RL_2.726
