Orthogroup	Euclidium_syriacum	Noccaea_praecox
OG0000058	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1	Np001G038390, Np006G352050, Np005G294870
OG0000058	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410
OG0000058	ESY10_g14358_DN2_SP0_c0.t1	Np006G359650
OG0000058	ESY10_g14330_DN1_SP0_c0.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY1_g8607_DN1_SP0_c0.t1	Np001G034450
OG0000061	ESY1_g11506_DN2_SP0_c0.t1, ESY9_g43347_DN2_SP0_c0.t1, ESY9_g45318_DN3_SP0_c0.t1, ESY5_g1202_DN3_SP0_c0.t1, ESY1_g8230_DN3_SP0_c0.t1	Np005G260230
OG0000062	ESY8_g59723_DN2_SP0_c0.t1	Np004G215190, Np007G396290, Np004G225350, Np003G166860, Np003G173970, Np003G170000, Np004G205130, Np004G215200, Np004G229630
OG0000063	ESY5_g4491_DN3_SP0_c0.t1	Np006G337020
OG0000063	ESY5_g4464_DN2_SP0_c0.t1	Np003G152670, Np004G251810
OG0000063	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1	Np005G306870
OG0000063	ESY6_g48809_DN3_SP0_c0.t1	Np003G152310
OG0000064	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1	Np005G260880
OG0000064	ESY2_g33369_DN2_SP0_c0.t1	Np001G036990
OG0000064	ESY2_g34030_DN3_SP0_c0.t1	Np004G235840
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	Np008G425980, Np003G168940, Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530, Np008G428560, Np008G428010
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	Np005G262320
OG0000066	ESY7_g18023_DN3_SP0_c0.t1	Np003G136700
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	Np003G136710
OG0000067	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	ESY2_g35387_DN3_SP0_c0.t1	Np003G134720, Np001G055610
OG0000067	ESY2_g35389_DN2_SP0_c0.t1	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140
OG0000068	ESY9_g44160_DN2_SP0_c0.t1	Np004G231130, Np004G230610, Np005G282940, Np004G225640, Np002G089430, Np002G107610, Np007G393060, Np004G208790, Np004G229970
OG0000068	ESY10_g13892_DN3_SP0_c0.t1	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000
OG0000069	ESY4_g24685_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1, ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1, ESY5_g3765_DN2_SP0_c0.t1, ESY4_g22225_DN3_SP0_c0.t1	Np003G152400
OG0000069	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1	Np001G024920, Np005G293790
OG0000070	ESY1_g9010_DN1_SP0_c0.t1	Np002G101130, Np009G431140
OG0000070	ESY1_g8220_DN1_SP0_c0.t1	Np002G099060
OG0000071	ESY3_g29783_DN3_SP0_c6.t1	Np003G163260
OG0000071	ESY4_g24957_DN2_SP0_c25.t1	Np001G013290
OG0000072	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000072	ESY9_g44457_DN2_SP0_c0.t1	Np001G034150
OG0000074	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1	Np004G230020
OG0000074	ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1	Np004G229960
OG0000074	ESY11_g54934_DN3_SP0_c0.t1	Np003G180910, Np003G184200
OG0000075	ESY7_g18015_DN2_SP0_c0.t1	Np003G136640
OG0000075	ESY7_g17448_DN2_SP0_c0.t1, ESY5_g3636_DN2_SP0_c0.t1, ESY1_g12309_DN1_SP0_c0.t1, ESY2_g34553_DN3_SP0_c0.t1, ESY1_g10852_DN3_SP0_c0.t1, ESY1_g10851_DN1_SP0_c0.t1, ESY2_g33446_DN1_SP0_c0.t1, ESY7_g18509_DN3_SP0_c0.t1, ESY10_g14596_DN3_SP0_c0.t1, ESY1_g10447_DN3_SP0_c0.t1	Np007G378600
OG0000075	ESY3_g31328_DN1_SP0_c0.t1	Np004G233640
OG0000076	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	Np007G423950
OG0000077	ESY4_g26050_DN2_SP0_c0.t1, ESY4_g26064_DN2_SP0_c0.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY1_g11598_DN2_SP0_c38.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY4_g26388_DN2_SP0_c0.t1, ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1, ESY1_g11905_DN1_SP0_c0.t1, ESY1_g11906_DN1_SP0_c0.t1	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	ESY12_g52268_DN2_SP0_c19.t1	Np007G386290
OG0000077	ESY5_g3131_DN2_SP0_c0.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY8_g60740_DN3_SP0_c0.t1	Np005G261720
OG0000078	ESY13_g56185_DN2_SP0_c0.t1	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000078	ESY9_g43985_DN3_SP0_c0.t1	Np002G086990, Np002G097240, Np002G092810
OG0000080	ESY3_g29585_DN1_SP0_c98.t1	Np003G179540, Np002G124540
OG0000080	ESY10_g14355_DN2_SP0_c0.t1	Np005G318150, Np005G318140
OG0000081	ESY3_g32181_DN3_SP0_c0.t1	Np001G010770
OG0000082	ESY11_g54439_DN1_SP0_c0.t1, ESY16_g62439_DN1_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY6_g48122_DN1_SP0_c0.t1, ESY11_g53255_DN2_SP0_c0.t1, ESY14_g19850_DN1_SP0_c100.t1	Np005G302180
OG0000084	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	Np006G365060, Np006G365040
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	Np001G010980
OG0000087	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Np006G350150, Np008G428160
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	Np003G139100
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	Np001G039930
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	Np005G287110
OG0000087	ESY2_g34829_DN3_SP8_c0.t1	Np002G077440
OG0000090	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1	Np007G385680, Np001G065320, Np001G065030
OG0000090	ESY10_g14297_DN3_SP0_c35.t1	Np007G389920
OG0000091	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1	Np003G165480
OG0000093	ESY1_g11462_DN3_SP0_c0.t1	Np001G063230
OG0000093	ESY1_g11458_DN3_SP0_c0.t1, ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1	Np001G005730
OG0000093	ESY16_g61546_DN3_SP0_c0.t1	Np005G317970
OG0000093	ESY1_g11459_DN3_SP0_c0.t1	Np001G063220
OG0000096	ESY7_g18827_DN2_SP0_c0.t1	Np001G024770
OG0000096	ESY7_g16698_DN1_SP0_c0.t1	Np002G112530
OG0000097	ESY7_g16525_DN2_SP0_c0.t1	Np003G184990
OG0000097	ESY7_g16536_DN3_SP0_c0.t1	Np003G185010
OG0000097	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1	Np003G171600
OG0000098	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1	Np002G116580
OG0000099	ESY2_g33425_DN2_SP0_c0.t1	Np002G123560, Np004G228320
OG0000099	ESY2_g33422_DN3_SP0_c0.t1	Np002G112400
OG0000099	ESY10_g15601_DN1_SP0_c0.t1	Np002G123530, Np004G215470
OG0000099	ESY2_g37232_DN2_SP0_c27.t1	Np007G403720
OG0000101	ESY1_g11939_DN1_SP0_c0.t1	Np002G123720, Np002G111340, Np002G122780, Np002G122800, Np002G123360, Np004G206440, Np002G123180
OG0000102	ESY17_g40075_DN1_SP0_c10.t1	Np006G343540, Np006G343550, Np005G313300, Np007G377750, Np002G095410, Np001G022480
OG0000104	ESY8_g58834_DN3_SP0_c19.t1	Np006G360100
OG0000104	ESY2_g37202_DN3_SP0_c14.t1	Np004G195160
OG0000106	ESY6_g49250_DN3_SP0_c0.t1	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	ESY6_g49252_DN1_SP0_c0.t1	Np007G372640
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	Np007G398440, Np007G418450, Np007G398420, Np005G313740, Np007G380680, Np005G305610
OG0000108	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1	Np001G011650, Np001G011550
OG0000108	ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1	Np007G379350
OG0000108	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1	Np007G389900
OG0000108	ESY11_g53834_DN2_SP0_c0.t1	Np004G259470
OG0000108	ESY7_g18472_DN3_SP0_c0.t1	Np001G011560
OG0000109	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320
OG0000111	ESY20_g12773_DN2_SP0_c0.t1	Np001G006010
OG0000111	ESY6_g48238_DN1_SP0_c0.t1	Np006G327310, Np005G313700, Np005G313670, Np005G313690
OG0000112	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	Np003G184320
OG0000113	ESY5_g2214_DN1_SP0_c94.t1	Np002G122980
OG0000113	ESY5_g1810_DN2_SP0_c0.t1	Np002G111010, Np002G123030, Np002G123100
OG0000113	ESY16_g61595_DN1_SP0_c0.t1	Np002G089300, Np002G089320
OG0000116	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260
