Orthogroup	Euclidium_syriacum	Cochlearia_excelsa
OG0000005	ESY1_g10225_DN1_SP0_c0.t1	g43359
OG0000005	ESY6_g47698_DN2_SP0_c100.t1, ESY12_g51083_DN2_SP0_c0.t1	g4402, g11774, g4396, g43360
OG0000007	ESY24_g32948_DN2_SP0_c0.t1	g26700
OG0000007	ESY9_g43741_DN1_SP0_c0.t1	g13385
OG0000007	ESY8_g61001_DN1_SP0_c0.t1	g6388, g1660
OG0000007	ESY5_g3140_DN1_SP0_c0.t1	g37890, g14958
OG0000007	ESY14_g19959_DN1_SP0_c0.t1	g45448, g22659
OG0000007	ESY2_g36604_DN3_SP0_c0.t1	g18049, g47718
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	g43300, g1361, g29234, g6389, g10755, g37592, g7470, g24558, g2149, g17871, g39292, g41809, g47712, g41811, g1664, g4630, g31899, g1393, g32529, g4407, g31989, g13935, g14625, g51108, g47070, g1710, g16965, g1635, g23387, g43826, g49581, g17148, g14904, g12767, g557, g47735, g14365, g14626, g1711, g39880, g3316
OG0000007	ESY6_g47093_DN2_SP0_c0.t1	g34710, g46576, g2379, g24559, g25323, g24433, g4497, g26082, g34709, g48927, g4482, g23875
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	g25872, g27813, g43261, g7452, g29339, g52586, g27856, g27175, g5353, g35020, g35285, g25873, g34273, g35255, g15060, g7761, g14796, g24450, g27833, g3220, g44274, g26783, g43762, g4391, g33124, g29630, g27680, g33467, g33453, g26784, g43729, g37068, g49593, g27995, g25554, g12608, g36094, g19408, g36794, g4483, g11343, g33123, g13991, g39484, g4392, g49591
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	g21395
OG0000012	ESY11_g53222_DN2_SP0_c100.t1	g34756
OG0000013	ESY10_g14513_DN2_SP0_c0.t1	g43620, g32917, g24858, g11577, g16510
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	g11188, g45668, g27319, g14200, g48961, g52620, g48035, g4139, g16474, g52356, g24947, g35918, g53893, g41958, g13558
OG0000015	ESY13_g56759_DN1_SP0_c0.t1	g42099
OG0000015	ESY13_g57357_DN1_SP0_c0.t1	g53814, g16594, g16764, g14880, g952, g32985, g12170, g24863, g35813, g36776, g26230, g26256, g43592, g5557
OG0000015	ESY5_g676_DN2_SP0_c0.t1	g27727
OG0000015	ESY4_g23838_DN1_SP0_c0.t1	g24865
OG0000015	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1	g1783, g40287, g27896, g24000, g1778, g40286
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	g3313, g42908, g24843, g26998, g48095, g12672, g5446, g26670, g41116, g47966, g53567
OG0000015	ESY4_g23101_DN1_SP0_c72.t1	g15605, g11217, g21108, g34944, g2750, g34949, g11475
OG0000015	ESY6_g46006_DN2_SP0_c14.t1	g3775, g53218, g3753, g42134
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	g43716, g41967
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	g28764, g14677, g6769, g4758, g26125, g35711, g35700
OG0000015	ESY11_g53315_DN2_SP0_c0.t1	g2048, g25181, g44770, g50053, g53467, g40288, g37977, g5196
OG0000015	ESY4_g23102_DN1_SP0_c100.t1	g35684
OG0000015	ESY3_g28799_DN2_SP0_c0.t1	g38534, g41117
OG0000017	ESY1_g7308_DN3_SP0_c0.t1, ESY18_g63484_DN3_SP0_c0.t1	g3669, g48346, g48867
OG0000017	ESY4_g22336_DN1_SP0_c100.t1	g8266
OG0000017	ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1, ESY1_g8955_DN2_SP0_c0.t1, ESY14_g20322_DN1_SP0_c0.t1, ESY13_g57019_DN3_SP0_c0.t1, ESY6_g47831_DN2_SP0_c0.t1, ESY4_g22920_DN3_SP0_c0.t1	g18079, g4346, g43594, g39831, g34285
OG0000017	ESY13_g56796_DN1_SP0_c0.t1	g14580, g11710, g15029
OG0000017	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1	g14557, g17020, g39315
OG0000017	ESY5_g674_DN3_SP0_c68.t1	g41997, g33121, g3359, g6214
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	g2213, g49590, g14568, g25751, g34956, g53077, g43442, g33130, g45148, g29629, g43760, g4386, g2331, g37069
OG0000018	ESY9_g43986_DN3_SP0_c0.t1	g14567, g33125, g25750
OG0000019	ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1	g36529, g42561, g14492, g51080, g41576
OG0000019	ESY5_g2565_DN1_SP0_c0.t1, ESY5_g2564_DN2_SP0_c0.t1	g52671, g24908, g42560
OG0000019	ESY12_g51066_DN2_SP0_c0.t1	g2482, g2714, g46138, g11450, g50714, g6794, g51199
OG0000019	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1	g6080, g43707, g18316, g27825, g2481, g24975
OG0000019	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1	g18942, g2713, g2720, g19256
OG0000020	ESY5_g4084_DN3_SP0_c0.t1	g43754
OG0000020	ESY11_g52738_DN2_SP0_c0.t1	g8719
OG0000020	ESY22_g40386_DN3_SP0_c42.t1	g15954
OG0000020	ESY3_g28065_DN2_SP0_c0.t1	g8229, g5355, g32774, g16031, g35327, g35065, g34339, g4385, g27854, g31992, g15955
OG0000021	ESY9_g45027_DN2_SP0_c0.t1, ESY10_g13998_DN2_SP0_c0.t1	g14063
OG0000021	ESY4_g24688_DN1_SP0_c0.t1	g34726
OG0000021	ESY9_g43535_DN3_SP0_c0.t1	g3713, g24107
OG0000023	ESY23_g71_DN1_SP0_c28.t1	g23101
OG0000023	ESY9_g42764_DN3_SP0_c0.t1	g48949
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	g50024, g36077, g45320, g32515, g36076
OG0000025	ESY3_g32495_DN3_SP0_c95.t1	g972
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	g17281, g33392, g4347, g50791, g25246, g46637, g33118, g14806, g32688, g27047, g51053, g47798, g4344, g43478, g23597, g14579, g3360, g43692, g7899, g2954, g49586, g31803, g4274, g32656, g11709, g44075, g3058, g46225, g1554, g17019, g6169, g23909, g34283, g6803, g35674, g46329, g52008, g14035, g43351, g35266, g9915, g25002, g31760, g21114, g4157, g14556, g51014, g34854, g39311, g31342, g29188, g6804, g35673, g23908, g6168, g46330, g19145, g15615, g14034, g4585, g1553, g34282, g43477, g2977, g7900, g49409, g28254, g23598, g14578, g6312, g46948, g36898, g25431, g17280, g25191, g41992, g4231, g43283, g2973, g33119, g33391
OG0000027	ESY1_g12041_DN3_SP0_c0.t1, ESY7_g16494_DN2_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY12_g51878_DN2_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1	g43450
OG0000027	ESY12_g51217_DN2_SP0_c0.t1	g43467, g53087
OG0000027	ESY4_g26389_DN2_SP0_c0.t1	g22601
OG0000027	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	g43469
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	g52423, g22352, g48832, g8633, g29966, g24593, g30702, g9123, g29976, g30667, g13591, g10196, g30250, g22190, g28453, g13421, g8998, g26310, g29945, g30548, g38806, g8608, g9084, g30701, g9122, g48831, g29967, g8634, g30668, g16178, g36823, g26225, g26222, g43704, g4265, g4261, g27334, g29817, g13419, g27333, g46975, g4927, g46312, g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083, g35531, g12208, g41968, g49276, g4525, g37385, g6082, g45349, g35511, g42101, g17818, g37850, g28202, g31822, g37851, g1671, g52104, g17776, g26120, g17775, g52907, g95, g30549, g9121, g30700, g1672
OG0000030	ESY3_g28214_DN2_SP0_c7.t1	g6306
OG0000030	ESY4_g21739_DN1_SP0_c0.t1	g40103
OG0000030	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	g6175, g48553, g8527
OG0000030	ESY17_g39785_DN1_SP0_c100.t1	g50559, g3768
OG0000030	ESY11_g52866_DN2_SP0_c100.t1, ESY11_g53669_DN2_SP0_c100.t1	g53555
OG0000034	ESY4_g23032_DN3_SP0_c100.t1	g53562, g44911, g15119
OG0000034	ESY4_g21983_DN1_SP0_c100.t1	g33115, g34448
OG0000035	ESY8_g58361_DN2_SP0_c0.t1	g51285, g3815
OG0000035	ESY7_g17294_DN2_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	g3814
OG0000036	ESY15_g65727_DN2_SP0_c85.t1	g3196
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	g35468, g25569, g43400, g53061, g34996, g53063, g50424, g6550, g19935, g2521, g10538, g19299, g16644, g54168, g2899, g31725, g19076, g53465, g53974, g1800, g24922, g25438, g41976, g18240, g17503, g24468, g52242, g18188, g53518, g36593, g41271, g18187, g32897, g36595, g17180, g36210, g53935, g11610, g27572, g24879, g28165, g5623, g29089, g26707, g24763, g47054, g2374, g50425, g35466, g39276, g7126, g51171, g24864, g7125, g42059, g19431, g4073, g23617, g39408, g20917, g29939, g20308, g28559, g25198, g14254, g2520, g10090, g6551, g27201, g54294, g38089, g14278, g52663, g1250, g13609, g5625, g41705, g2497, g11495
OG0000038	ESY9_g42631_DN2_SP0_c0.t1	g24239
OG0000038	ESY2_g34741_DN3_SP0_c0.t1	g49458
OG0000038	ESY7_g16554_DN2_SP0_c0.t1	g41272
OG0000040	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	g38367, g38376, g38372, g38380
OG0000040	ESY3_g30317_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1	g44631
OG0000040	ESY11_g54853_DN3_SP0_c0.t1, ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	g13193, g13194
OG0000040	ESY3_g29392_DN3_SP0_c0.t1	g13797, g13799
OG0000041	ESY8_g58625_DN1_SP0_c0.t1	g28599
OG0000041	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	g36073
OG0000042	ESY4_g25086_DN1_SP0_c0.t1	g26735
OG0000042	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1	g12385
OG0000042	ESY5_g2557_DN3_SP0_c0.t1	g41631, g25133, g41632, g52948, g49021
OG0000042	ESY8_g60365_DN2_SP0_c0.t1	g49152
OG0000044	ESY15_g65758_DN2_SP0_c100.t1	g11589, g26196
OG0000044	ESY5_g2589_DN3_SP0_c0.t1	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446
OG0000045	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1	g7244, g39351, g17718, g41293
OG0000045	ESY5_g789_DN1_SP0_c0.t1	g42618
OG0000046	ESY1_g11993_DN3_SP0_c13.t1	g46717
OG0000047	ESY3_g28898_DN3_SP0_c0.t1	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362, g37081, g690, g27871, g33349, g4664, g12900, g12885, g12881, g4320, g7910, g17624, g3384, g3851, g14490, g12581, g40040, g11557, g17625, g1600, g9048, g38613, g25950, g51908, g51086, g3105, g35778, g4908, g50533, g4057, g45362, g11965, g14017, g40648, g36233, g53480, g48919, g51839, g3386, g1262, g46383, g37253, g10849, g36778, g1473, g49160, g47659, g43703, g25474, g28245, g53765, g45296, g42772, g51126, g3852, g51838, g24768, g27953, g51326, g51242, g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964, g28467, g53576
OG0000049	ESY14_g19727_DN2_SP0_c0.t1	g45167, g147, g24813
OG0000049	ESY21_g55401_DN3_SP0_c0.t1	g16671
OG0000049	ESY8_g61336_DN1_SP0_c0.t1	g46641, g45389, g28412, g26640, g14427, g29232, g13756, g19458, g4881, g46776
OG0000049	ESY6_g47885_DN2_SP0_c0.t1	g53733, g3343, g42873, g8818, g42836, g11677, g42842, g54418
OG0000050	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1	g44326, g2819, g44187
OG0000052	ESY5_g2706_DN3_SP0_c11.t1	g37450
OG0000053	ESY11_g53896_DN3_SP0_c0.t1, ESY1_g9125_DN2_SP0_c0.t1	g43705, g16122
OG0000053	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139
OG0000054	ESY18_g63621_DN3_SP0_c0.t1	g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130
OG0000055	ESY3_g31686_DN3_SP0_c0.t1	g44206
OG0000057	ESY6_g49094_DN1_SP0_c0.t1, ESY2_g35556_DN3_SP0_c0.t1, ESY16_g61658_DN1_SP0_c0.t1	g50182, g50184, g50186
OG0000057	ESY2_g35826_DN2_SP0_c0.t1	g27361, g5648
OG0000058	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1	g50156, g182, g51073, g5874, g10583, g53630, g30921, g4397
OG0000058	ESY6_g47477_DN1_SP0_c0.t1	g11773, g19588
OG0000059	ESY6_g46614_DN1_SP0_c0.t1, ESY7_g19118_DN1_SP0_c62.t1	g6571
OG0000059	ESY3_g28764_DN2_SP0_c0.t1, ESY18_g63060_DN1_SP0_c0.t1	g43390
OG0000061	ESY4_g22453_DN2_SP0_c7.t1, ESY3_g29563_DN2_SP0_c0.t1	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584
OG0000061	ESY1_g11506_DN2_SP0_c0.t1, ESY9_g43347_DN2_SP0_c0.t1, ESY9_g45318_DN3_SP0_c0.t1, ESY5_g1202_DN3_SP0_c0.t1, ESY1_g8230_DN3_SP0_c0.t1	g4665, g33350
OG0000061	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	g1261, g46382, g48920, g25951, g1599, g17623, g48295, g35530, g34935
OG0000062	ESY8_g59723_DN2_SP0_c0.t1	g11497, g4632, g50114, g32823, g13726, g11246, g41835
OG0000063	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1, ESY6_g48809_DN3_SP0_c0.t1	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000064	ESY4_g26372_DN3_SP0_c0.t1	g51190, g32307
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	g20963, g34002, g9410, g20566, g34601, g15147, g49183, g9097, g9330, g21102, g48353, g38605, g21237, g20503, g3890, g30656, g20961, g8443, g43174, g26242, g26207, g20336, g21055, g39103, g12628
OG0000066	ESY2_g36068_DN3_SP8_c0.t1, ESY2_g34934_DN2_SP0_c58.t1	g5393
OG0000066	ESY7_g18023_DN3_SP0_c0.t1	g45535, g29501, g9719
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	g156
OG0000067	ESY2_g35389_DN2_SP0_c0.t1	g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	ESY4_g26580_DN3_SP0_c0.t1	g51830, g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393, g24808, g44257, g26746, g10624, g41852, g37235, g35439, g4931
OG0000069	ESY4_g22224_DN1_SP0_c0.t1	g13794
OG0000069	ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1	g4275, g25547, g38079
OG0000070	ESY40_g12601_DN2_SP0_c0.t1	g48491
OG0000070	ESY1_g8220_DN1_SP0_c0.t1	g42778, g26415, g20785
OG0000072	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	g33477, g30198
OG0000074	ESY11_g54277_DN1_SP0_c0.t1	g27549, g27550
OG0000075	ESY5_g3745_DN1_SP0_c33.t1, ESY5_g3568_DN2_SP0_c0.t1, ESY5_g3637_DN2_SP0_c0.t1	g5026
OG0000075	ESY3_g31328_DN1_SP0_c0.t1	g49834, g49840, g49829
OG0000076	ESY1_g10445_DN3_SP0_c0.t1	g19225
OG0000076	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	g10535
OG0000077	ESY4_g26050_DN2_SP0_c0.t1	g46525
OG0000077	ESY5_g3131_DN2_SP0_c0.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY8_g60740_DN3_SP0_c0.t1	g25975, g22716
OG0000078	ESY24_g33069_DN3_SP0_c0.t1, ESY3_g27675_DN3_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	g32727, g44450, g24957
OG0000078	ESY14_g21238_DN3_SP0_c0.t1	g14794, g15059
OG0000078	ESY9_g43985_DN3_SP0_c0.t1	g46791, g24881
OG0000081	ESY7_g17094_DN2_SP0_c0.t1	g18040
OG0000082	ESY15_g65451_DN1_SP0_c66.t1	g54167, g10536, g16647
OG0000082	ESY1_g5765_DN3_SP0_c0.t1, ESY11_g54439_DN1_SP0_c0.t1, ESY16_g62439_DN1_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY6_g48122_DN1_SP0_c0.t1, ESY11_g53255_DN2_SP0_c0.t1, ESY14_g19850_DN1_SP0_c100.t1	g17872, g19303
OG0000082	ESY4_g23899_DN1_SP0_c0.t1	g26708, g39275
OG0000082	ESY4_g24411_DN1_SP0_c0.t1	g7127, g18239
OG0000085	ESY3_g29295_DN1_SP0_c68.t1	g50685, g15804
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	g9991
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	g5316
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	g40485, g11055
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	g17371, g24042
OG0000087	ESY5_g3995_DN3_SP3_c0.t1, ESY2_g34829_DN3_SP8_c0.t1	g46232
OG0000090	ESY1_g11932_DN3_SP0_c0.t1, ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1, ESY3_g32095_DN2_SP0_c41.t1, ESY10_g14297_DN3_SP0_c35.t1	g10675
OG0000093	ESY1_g11462_DN3_SP0_c0.t1	g2360
OG0000096	ESY7_g18827_DN2_SP0_c0.t1	g1538, g1535
OG0000097	ESY7_g16525_DN2_SP0_c0.t1	g45186, g45201
OG0000097	ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1	g45182
OG0000097	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1	g40477, g40479, g40476, g40480, g1561
OG0000098	ESY2_g33434_DN2_SP0_c0.t1	g24753
OG0000098	ESY5_g3820_DN1_SP0_c0.t1	g49817
OG0000099	ESY2_g33426_DN3_SP0_c0.t1, ESY2_g33422_DN3_SP0_c0.t1	g46874, g4737
OG0000101	ESY1_g11939_DN1_SP0_c0.t1	g13564, g13563, g40795, g35259, g34277
