Orthogroup	Euclidium_syriacum	Odontarrhena_muralis
OG0000007	ESY9_g44627_DN1_SP0_c0.t1, ESY3_g30327_DN1_SP0_c0.t1, ESY3_g29102_DN2_SP0_c0.t1, ESY1_g10755_DN1_SP0_c14.t1, ESY11_g54832_DN1_SP0_c0.t1, ESY3_g28926_DN2_SP0_c0.t1, ESY2_g37456_DN1_SP0_c0.t1, ESY7_g16181_DN1_SP0_c0.t1, ESY8_g59126_DN2_SP0_c0.t1, ESY1_g5706_DN2_SP0_c0.t1, ESY4_g25005_DN1_SP0_c0.t1	Om006G249530
OG0000007	ESY10_g14344_DN2_SP0_c0.t1, ESY2_g38089_DN1_SP0_c0.t1	Om001G011630
OG0000007	ESY5_g3140_DN1_SP0_c0.t1	Om002G079510
OG0000007	ESY2_g36604_DN3_SP0_c0.t1	Om006G244810, Om006G267880, Om011G365910, Om003G114390
OG0000007	ESY19_g41595_DN1_SP0_c0.t1	Om008G342300, Om006G268350, Om007G297600, Om005G190610, Om004G164520, Om006G258000, Om008G348570, Om007G299940, Om006G268360, Om002G076040
OG0000007	ESY6_g47093_DN2_SP0_c0.t1	Om003G110160, Om007G308670, Om005G224350, Om003G091350, Om006G248820, Om006G248770
OG0000008	ESY15_g64840_DN3_SP0_c0.t1	Om007G307170, Om007G308850, Om009G364060, Om007G284450, Om008G361640, Om007G313430, Om007G306510, Om004G146620, Om001G020680, Om009G364160, Om009G364180, Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880, Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680
OG0000012	ESY8_g61320_DN3_SP0_c0.t1	Om004G146180
OG0000013	ESY8_g60272_DN2_SP0_c0.t1	Om008G346820, Om005G224220, Om008G350670, Om002G088760, Om001G031100, Om003G113450, Om006G258780, Om001G020870, Om002G089030, Om003G108850, Om006G268640
OG0000015	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1	Om008G350280
OG0000015	ESY3_g29490_DN1_SP0_c0.t1	Om006G271980
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	Om003G105790, Om004G154560
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Om007G305020
OG0000015	ESY11_g53315_DN2_SP0_c0.t1	Om006G270800
OG0000017	ESY15_g65203_DN3_SP0_c0.t1	Om004G148090
OG0000017	ESY1_g7621_DN3_SP0_c100.t1, ESY6_g46672_DN3_SP0_c94.t1	Om003G110750, Om007G302050, Om004G150950, Om009G363620, Om007G307580, Om008G344670, Om002G080330, Om001G016040
OG0000017	ESY5_g674_DN3_SP0_c68.t1	Om003G101880, Om004G153720
OG0000018	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	Om008G335480, Om007G284460, Om008G361630
OG0000019	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1	Om004G154810, Om003G104700, Om002G077910
OG0000020	ESY15_g65701_DN1_SP0_c88.t1	Om007G308530, Om007G308500
OG0000021	ESY9_g45027_DN2_SP0_c0.t1, ESY10_g13998_DN2_SP0_c0.t1	Om005G226540, Om001G020790
OG0000021	ESY7_g19226_DN2_SP0_c46.t1	Om008G331340
OG0000021	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1	Om001G020780, Om001G006810, Om002G059070
OG0000024	ESY6_g47516_DN2_SP0_c0.t1	Om010G364470, Om004G152890, Om005G222510, Om006G264560, Om007G307780, Om002G075540, Om006G244060, Om005G218640, Om003G113030, Om004G148120, Om007G304370, Om007G308040, Om004G155450, Om002G078360, Om007G308800, Om007G309530, Om004G152880, Om007G309380, Om005G222500, Om010G364430, Om007G304730, Om008G342080, Om001G017150, Om001G030080, Om007G305000
OG0000026	ESY1_g10661_DN2_SP0_c99.t1	Om002G080990, Om005G219100, Om002G081000, Om002G080320
OG0000027	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	Om007G316890
OG0000028	ESY6_g48344_DN1_SP0_c0.t1	Om001G022770
OG0000028	ESY5_g1247_DN2_SP0_c0.t1	Om003G104120, Om007G318240
OG0000028	ESY10_g14733_DN2_SP0_c0.t1	Om007G308810, Om003G104130
OG0000029	ESY13_g57677_DN1_SP0_c0.t1	Om006G261190, Om008G343780, Om005G216790, Om005G225700, Om001G013080, Om001G020560, Om002G078670, Om007G309080, Om007G298320, Om004G147450, Om006G262550, Om004G151510, Om003G119560, Om007G298330
OG0000030	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	Om004G153710
OG0000030	ESY17_g39786_DN2_SP0_c77.t1	Om005G215420
OG0000034	ESY4_g23032_DN3_SP0_c100.t1	Om010G364590, Om008G356530, Om001G014760
OG0000034	ESY4_g21983_DN1_SP0_c100.t1	Om008G348960, Om006G264160
OG0000035	ESY8_g58364_DN2_SP0_c0.t1, ESY7_g17294_DN2_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1, ESY3_g32505_DN1_SP0_c0.t1	Om006G273920, Om002G042810
OG0000035	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1, ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g10653_DN1_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	Om002G060840
OG0000035	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1	Om004G132400, Om008G334460, Om007G279790
OG0000035	ESY1_g12294_DN3_SP0_c0.t1	Om003G126360
OG0000037	ESY21_g55396_DN1_SP0_c0.t1	Om008G355590, Om001G018180, Om005G188070, Om003G121840, Om001G014920, Om002G074010, Om006G267090
OG0000038	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1	Om005G196570, Om004G131590
OG0000038	ESY9_g42631_DN2_SP0_c0.t1, ESY7_g19381_DN3_SP0_c0.t1, ESY20_g12878_DN3_SP0_c0.t1, ESY1_g11096_DN3_SP0_c0.t1	Om006G262290
OG0000038	ESY2_g34741_DN3_SP0_c0.t1	Om001G029210
OG0000040	ESY5_g3960_DN3_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1	Om007G309130
OG0000040	ESY3_g29392_DN3_SP0_c0.t1	Om008G328570
OG0000040	ESY3_g29344_DN3_SP0_c0.t1	Om002G067320
OG0000041	ESY8_g58625_DN1_SP0_c0.t1	Om007G301270, Om004G141670, Om009G364080, Om007G307140
OG0000041	ESY13_g56165_DN1_SP0_c0.t1	Om001G021310
OG0000041	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	Om002G075010, Om001G018420
OG0000044	ESY5_g2589_DN3_SP0_c0.t1	Om007G314900
OG0000045	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1	Om003G112290
OG0000045	ESY23_g31_DN2_SP0_c0.t1, ESY5_g789_DN1_SP0_c0.t1	Om001G031280
OG0000046	ESY1_g11993_DN3_SP0_c13.t1	Om006G241220
OG0000047	ESY3_g28898_DN3_SP0_c0.t1	Om006G238470, Om006G268590, Om001G028180, Om007G295630, Om002G077780, Om005G225040, Om001G020530, Om002G043900, Om002G074710, Om003G111370, Om003G113410, Om007G295670, Om002G084660, Om008G332290, Om006G263590, Om004G160120, Om007G314310, Om002G071890, Om005G222620
OG0000050	ESY1_g11365_DN3_SP0_c59.t1, ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1	Om007G308990
OG0000050	ESY17_g40168_DN2_SP0_c0.t1	Om002G076710, Om007G299220, Om002G077490
OG0000050	ESY14_g20664_DN3_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1	Om006G268560
OG0000050	ESY1_g9427_DN1_SP0_c0.t1, ESY1_g8354_DN1_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY9_g44156_DN3_SP0_c0.t1, ESY6_g47209_DN3_SP0_c0.t1, ESY3_g28537_DN2_SP0_c0.t1	Om008G341390, Om005G201890, Om005G219290
OG0000052	ESY5_g5128_DN3_SP0_c0.t1	Om005G180640
OG0000052	ESY5_g5127_DN3_SP0_c0.t1	Om008G354070, Om008G326640
OG0000052	ESY12_g51256_DN3_SP0_c0.t1	Om008G326600
OG0000052	ESY12_g51336_DN3_SP0_c0.t1	Om008G326650
OG0000052	ESY5_g2706_DN3_SP0_c11.t1	Om008G326590
OG0000052	ESY5_g2705_DN3_SP0_c0.t1	Om008G326540
OG0000053	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	ESY18_g63621_DN3_SP0_c0.t1	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320
OG0000055	ESY2_g33665_DN2_SP0_c0.t1	Om001G031910
OG0000055	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	ESY2_g37912_DN2_SP0_c0.t1	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	ESY4_g23383_DN2_SP0_c0.t1	Om008G340700
OG0000056	ESY9_g44874_DN3_SP0_c0.t1	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000058	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1	Om006G269070, Om006G268950, Om004G151670
OG0000058	ESY6_g47475_DN2_SP0_c0.t1, ESY3_g28012_DN1_SP0_c0.t1, ESY9_g45113_DN2_SP0_c0.t1	Om006G270860, Om002G082880
OG0000058	ESY11_g53171_DN2_SP0_c0.t1	Om006G270870
OG0000058	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000058	ESY10_g14358_DN2_SP0_c0.t1, ESY9_g45116_DN2_SP0_c0.t1, ESY4_g21923_DN3_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY16_g61681_DN2_SP0_c0.t1	Om002G075570
OG0000061	ESY4_g22453_DN2_SP0_c7.t1, ESY3_g29563_DN2_SP0_c0.t1	Om003G100910
OG0000061	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	Om006G263600
OG0000061	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1	Om005G223660, Om006G249810, Om002G076700, Om003G106600, Om008G345470, Om008G347220
OG0000061	ESY3_g28672_DN3_SP0_c0.t1, ESY6_g48601_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1	Om006G268200, Om007G301100, Om002G047100, Om002G043890, Om005G177780, Om008G328920, Om003G114550, Om005G191460, Om007G312950, Om003G111810, Om008G353280, Om006G242410
OG0000061	ESY17_g40277_DN2_SP0_c0.t1	Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	ESY8_g59723_DN2_SP0_c0.t1	Om002G057790, Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490
OG0000063	ESY6_g48808_DN3_SP0_c0.t1	Om006G254290
OG0000063	ESY1_g11058_DN3_SP0_c0.t1	Om005G185480
OG0000063	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1	Om005G185660
OG0000063	ESY6_g48809_DN3_SP0_c0.t1	Om007G283280
OG0000064	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1	Om001G041080
OG0000064	ESY4_g25261_DN2_SP0_c0.t1	Om008G354180, Om008G354110, Om008G354140, Om008G354160, Om003G121290, Om003G121300
OG0000064	ESY4_g26296_DN3_SP0_c0.t1, ESY4_g26223_DN1_SP0_c0.t1, ESY1_g12221_DN1_SP0_c0.t1	Om004G157800
OG0000064	ESY2_g34030_DN3_SP0_c0.t1	Om001G033560
OG0000065	ESY17_g39007_DN1_SP0_c0.t1	Om006G267840, Om005G217710, Om004G149910, Om001G017300, Om005G217720, Om006G268440, Om005G217730, Om001G017390, Om007G310090, Om006G252300, Om006G263980, Om007G310120, Om004G155340, Om007G307990, Om006G265440, Om002G078380, Om005G203450, Om007G309700, Om010G364600, Om010G364610
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	Om004G164550
OG0000066	ESY7_g18023_DN3_SP0_c0.t1	Om008G337830, Om006G231860
OG0000066	ESY7_g18022_DN3_SP0_c0.t1	Om004G165570
OG0000067	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1	Om001G023220
OG0000068	ESY9_g44160_DN2_SP0_c0.t1	Om006G264170, Om007G304230, Om004G149200, Om004G147110, Om002G079150, Om007G308160, Om005G212100
OG0000068	ESY10_g13892_DN3_SP0_c0.t1	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940
OG0000069	ESY4_g26580_DN3_SP0_c0.t1	Om005G212060, Om005G223000
OG0000069	ESY4_g24685_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1, ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1	Om005G212160
OG0000070	ESY1_g9010_DN1_SP0_c0.t1	Om008G344650
OG0000071	ESY22_g40814_DN2_SP0_c0.t1, ESY3_g29783_DN3_SP0_c6.t1	Om008G360280, Om004G166900
OG0000071	ESY4_g24957_DN2_SP0_c25.t1	Om001G039370
OG0000072	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	ESY9_g44457_DN2_SP0_c0.t1	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000074	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1	Om004G144240
OG0000074	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1	Om004G144060
OG0000074	ESY11_g54934_DN3_SP0_c0.t1	Om004G144100
OG0000074	ESY11_g54277_DN1_SP0_c0.t1	Om004G144220, Om004G144230
OG0000074	ESY5_g2024_DN3_SP0_c0.t1	Om004G143840
OG0000075	ESY3_g31328_DN1_SP0_c0.t1	Om008G342390, Om001G025890, Om001G025920
OG0000076	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	Om006G242520
OG0000077	ESY4_g26259_DN2_SP0_c32.t1	Om001G040170
OG0000077	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1	Om001G039420
OG0000077	ESY12_g52268_DN2_SP0_c19.t1	Om001G033890
OG0000077	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1	Om005G195310
OG0000078	ESY13_g56185_DN2_SP0_c0.t1	Om007G305480, Om008G337420, Om004G148580, Om008G342420, Om007G305860
OG0000078	ESY11_g52951_DN3_SP0_c0.t1, ESY4_g21794_DN3_SP0_c0.t1, ESY4_g23139_DN3_SP0_c0.t1, ESY1_g9594_DN2_SP0_c0.t1, ESY22_g40730_DN3_SP0_c0.t1	Om007G309170
OG0000078	ESY14_g21238_DN3_SP0_c0.t1	Om005G215800
OG0000080	ESY10_g14355_DN2_SP0_c0.t1	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	ESY2_g37390_DN1_SP0_c0.t1, ESY8_g58410_DN2_SP0_c0.t1	Om003G096480, Om003G096490
OG0000081	ESY5_g4001_DN3_SP0_c14.t1, ESY6_g48422_DN3_SP0_c0.t1	Om003G118960, Om005G227240
OG0000082	ESY21_g55671_DN3_SP0_c0.t1	Om006G274800
OG0000082	ESY21_g55672_DN3_SP0_c0.t1	Om006G275030
OG0000084	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	ESY16_g62560_DN2_SP0_c0.t1	Om004G163220
OG0000087	ESY6_g50131_DN3_SP8_c0.t1	Om006G238380
OG0000087	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Om007G282390
OG0000087	ESY7_g18326_DN3_SP8_c0.t1	Om004G162490
OG0000087	ESY7_g16559_DN3_SP8_c0.t1	Om008G355890
OG0000087	ESY9_g43361_DN3_SP8_c0.t1	Om001G006430
OG0000087	ESY2_g34829_DN3_SP8_c0.t1	Om004G137360
OG0000090	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1	Om003G098630, Om003G099040
OG0000090	ESY1_g11986_DN3_SP0_c85.t1, ESY16_g62121_DN3_SP0_c87.t1, ESY2_g38808_DN1_SP0_c0.t1	Om003G124490, Om003G124410, Om003G124460
OG0000090	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1	Om002G055690, Om003G124430
OG0000090	ESY3_g32095_DN2_SP0_c41.t1	Om006G274160
OG0000091	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1	Om006G264850
OG0000093	ESY1_g11462_DN3_SP0_c0.t1	Om003G122050
OG0000093	ESY1_g11458_DN3_SP0_c0.t1	Om001G033140
OG0000093	ESY1_g11463_DN3_SP0_c0.t1	Om003G122020
OG0000093	ESY1_g11516_DN3_SP0_c0.t1	Om003G121760
OG0000096	ESY7_g18827_DN2_SP0_c0.t1	Om007G301150, Om003G093070, Om006G274060
OG0000097	ESY7_g16525_DN2_SP0_c0.t1	Om008G355550, Om008G355560
OG0000097	ESY7_g16536_DN3_SP0_c0.t1	Om008G355570
OG0000097	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1	Om008G355700
OG0000098	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1	Om001G001780
OG0000098	ESY5_g3820_DN1_SP0_c0.t1	Om005G191670
OG0000098	ESY5_g3778_DN2_SP0_c0.t1	Om005G191560
OG0000098	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	Om005G191920, Om005G192380
OG0000099	ESY2_g33426_DN3_SP0_c0.t1, ESY2_g33422_DN3_SP0_c0.t1	Om005G227510
OG0000101	ESY1_g11939_DN1_SP0_c0.t1	Om005G227020, Om005G227120, Om005G227680, Om005G227700, Om005G227110, Om005G226820, Om005G226700, Om005G227060, Om005G227690
OG0000104	ESY8_g58838_DN3_SP0_c18.t1	Om007G283030
OG0000104	ESY8_g58834_DN3_SP0_c19.t1	Om007G283020
OG0000104	ESY2_g37202_DN3_SP0_c14.t1	Om003G095420
OG0000106	ESY3_g29685_DN2_SP0_c0.t1	Om002G065280, Om002G066780
OG0000106	ESY3_g31121_DN3_SP0_c0.t1	Om005G222030
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	Om002G051530, Om002G051540, Om004G133060, Om002G067730, Om002G067740, Om004G133090, Om001G020080, Om002G067770, Om002G067720, Om007G309010
OG0000108	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1	Om003G100270, Om003G100260
OG0000108	ESY5_g5060_DN3_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	ESY11_g53834_DN2_SP0_c0.t1	Om006G273810
OG0000109	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	Om007G296220
OG0000109	ESY4_g22477_DN2_SP0_c0.t1, ESY15_g64509_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1	Om007G303510
OG0000111	ESY20_g12773_DN2_SP0_c0.t1	Om006G259270
OG0000112	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060, Om005G189180
OG0000113	ESY5_g2214_DN1_SP0_c94.t1	Om005G227040, Om005G227030
OG0000113	ESY16_g61595_DN1_SP0_c0.t1	Om008G360430, Om008G360410, Om008G360750
OG0000113	ESY7_g16449_DN1_SP0_c0.t1	Om001G037540
OG0000113	ESY3_g32130_DN3_SP0_c69.t1	Om001G037890, Om001G037740, Om002G045700
OG0000113	ESY6_g49439_DN2_SP0_c0.t1	Om001G034170, Om002G081270
OG0000117	ESY6_g47811_DN1_SP0_c0.t1	Om002G088690
