Orthogroup	Euclidium_syriacum	Cardamine_hirsuta
OG0000097	ESY7_g16536_DN3_SP0_c0.t1	CARHR252090, CARHR252110
OG0000097	ESY7_g16539_DN1_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY7_g16537_DN2_SP0_c0.t1	CARHR252130
OG0000097	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1	CARHR252050
OG0000098	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300
OG0000098	ESY2_g33434_DN2_SP0_c0.t1	CARHR052120
OG0000098	ESY2_g33748_DN3_SP0_c0.t1, ESY1_g9661_DN1_SP0_c0.t1, ESY2_g33879_DN2_SP0_c0.t1, ESY2_g33904_DN2_SP0_c0.t1, ESY10_g14055_DN1_SP0_c0.t1, ESY2_g33433_DN1_SP0_c0.t1	CARHR052090
OG0000098	ESY5_g3820_DN1_SP0_c0.t1	CARHR220990, CARHR220970
OG0000098	ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1	CARHR255820
OG0000098	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	CARHR013070
OG0000099	ESY2_g33425_DN2_SP0_c0.t1	CARHR046920
OG0000099	ESY10_g15600_DN1_SP0_c0.t1	CARHR046960, CARHR051260
OG0000099	ESY10_g15601_DN1_SP0_c0.t1	CARHR046950
OG0000101	ESY1_g11939_DN1_SP0_c0.t1	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230, CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270, CARHR047080, CARHR047140, CARHR050870, CARHR047100, CARHR047710, CARHR047510, CARHR047730, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430, CARHR055030, CARHR047060, CARHR047180, CARHR047460, CARHR047540, CARHR149290
OG0000104	ESY8_g58838_DN3_SP0_c18.t1	CARHR122230
OG0000104	ESY8_g58834_DN3_SP0_c19.t1	CARHR122240
OG0000104	ESY2_g37202_DN3_SP0_c14.t1	CARHR039100
OG0000106	ESY6_g49250_DN3_SP0_c0.t1	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860
OG0000106	ESY6_g49252_DN1_SP0_c0.t1	CARHR159090
OG0000106	ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1	CARHR095220, CARHR092810, CARHR120380
OG0000106	ESY3_g31121_DN3_SP0_c0.t1	CARHR248580
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	CARHR119260, CARHR119250, CARHR095610, CARHR095650, CARHR095640, CARHR095620, CARHR055760, CARHR095660, CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680
OG0000108	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1	CARHR174970
OG0000108	ESY7_g18472_DN3_SP0_c0.t1	CARHR000040, CARHR188170
OG0000108	ESY11_g54688_DN1_SP0_c0.t1	CARHR103960
OG0000110	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11245_DN1_SP0_c0.t1	CARHR104610, CARHR169590
OG0000110	ESY1_g11254_DN1_SP0_c0.t1	CARHR169620, CARHR103650
OG0000111	ESY20_g12773_DN2_SP0_c0.t1	CARHR221770
OG0000111	ESY4_g26288_DN3_SP0_c84.t1	CARHR213990, CARHR214010
OG0000112	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680
OG0000113	ESY5_g2214_DN1_SP0_c94.t1	CARHR047480, CARHR047200, CARHR047160, CARHR047260, CARHR262020, CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050
OG0000113	ESY16_g61595_DN1_SP0_c0.t1	CARHR175310, CARHR289490, CARHR175790, CARHR175830, CARHR174830, CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210, CARHR222460
OG0000113	ESY7_g16449_DN1_SP0_c0.t1	CARHR175270
OG0000113	ESY6_g49439_DN2_SP0_c0.t1	CARHR228760, CARHR181190, CARHR151550
OG0000113	ESY3_g32066_DN2_SP0_c100.t1	CARHR104310
OG0000115	ESY11_g54524_DN2_SP0_c0.t1	CARHR059960, CARHR284490
OG0000118	ESY8_g60792_DN2_SP0_c0.t1, ESY20_g12840_DN2_SP0_c0.t1	CARHR161720
OG0000119	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1	CARHR115250, CARHR292260, CARHR102990
OG0000120	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1	CARHR285170
OG0000120	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1	CARHR208650
OG0000122	ESY2_g36290_DN3_SP0_c0.t1	CARHR033430, CARHR033520
OG0000122	ESY2_g33718_DN3_SP0_c0.t1	CARHR269910, CARHR269890
OG0000122	ESY6_g48203_DN3_SP0_c0.t1	CARHR031770
OG0000122	ESY4_g25959_DN3_SP0_c0.t1	CARHR036540
OG0000122	ESY2_g33719_DN1_SP0_c0.t1	CARHR269900, CARHR031760, CARHR036560, CARHR031790
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	CARHR269920
OG0000124	ESY23_g219_DN2_SP0_c0.t1	CARHR183660, CARHR183650, CARHR043800, CARHR123710
OG0000125	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	CARHR190650
OG0000125	ESY5_g4488_DN3_SP0_c0.t1	CARHR007600
OG0000125	ESY6_g48851_DN3_SP0_c0.t1	CARHR273520
OG0000125	ESY8_g58880_DN2_SP0_c0.t1	CARHR121850
OG0000127	ESY6_g49639_DN1_SP0_c0.t1	CARHR107120
OG0000127	ESY3_g30869_DN3_SP0_c0.t1, ESY3_g30864_DN3_SP0_c0.t1	CARHR083500
OG0000127	ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1	CARHR083490
OG0000127	ESY3_g28267_DN3_SP0_c0.t1, ESY3_g30868_DN3_SP0_c0.t1	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000130	ESY3_g27873_DN2_SP0_c0.t1	CARHR288220, CARHR294480, CARHR217380
OG0000131	ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	CARHR283860
OG0000131	ESY10_g13678_DN3_SP0_c0.t1, ESY1_g8939_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1	CARHR287300
OG0000132	ESY1_g8384_DN3_SP0_c0.t1, ESY1_g7078_DN3_SP0_c0.t1, ESY13_g57119_DN3_SP0_c0.t1, ESY12_g51236_DN3_SP0_c0.t1	CARHR217650
OG0000132	ESY8_g59869_DN2_SP0_c0.t1, ESY6_g46511_DN2_SP0_c13.t1	CARHR101930
OG0000136	ESY2_g35232_DN2_SP0_c0.t1	CARHR058600
OG0000136	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	CARHR214760, CARHR214790
OG0000138	ESY6_g49113_DN1_SP0_c0.t1	CARHR113950
OG0000138	ESY1_g12082_DN3_SP0_c0.t1	CARHR174950
OG0000138	ESY2_g35116_DN3_SP0_c0.t1	CARHR274880, CARHR274890, CARHR274860
OG0000138	ESY2_g35115_DN3_SP0_c0.t1	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980
OG0000140	ESY1_g8242_DN3_SP0_c10.t1	CARHR155420, CARHR285530, CARHR285410, CARHR272760, CARHR272770, CARHR053670, CARHR272750, CARHR285460, CARHR285480
OG0000142	ESY18_g63267_DN3_SP0_c0.t1	CARHR122610, CARHR122560, CARHR122550, CARHR122540, CARHR122600, CARHR122570, CARHR122580, CARHR119640, CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140
OG0000146	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1	CARHR268710
OG0000147	ESY4_g24538_DN3_SP0_c0.t1	CARHR238090
OG0000147	ESY6_g48428_DN3_SP8_c0.t1	CARHR271150
OG0000147	ESY2_g36615_DN3_SP8_c6.t1	CARHR073860
OG0000147	ESY19_g42179_DN3_SP8_c0.t1	CARHR153650
OG0000147	ESY8_g59421_DN3_SP7_c0.t1	CARHR117520
OG0000149	ESY2_g37243_DN3_SP0_c7.t1	CARHR154800, CARHR154790, CARHR154820
