Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_hirsuta
OG0000028	XP_020871166.1	CARHR220000
OG0000028	XP_020886436.1	CARHR100780
OG0000028	XP_020873863.1, XP_020875058.1, XP_020872452.1	CARHR242640, CARHR242590
OG0000028	XP_020891737.1, XP_020891655.1	CARHR030080
OG0000028	XP_002864330.1	CARHR269260
OG0000028	XP_002864331.1	CARHR269250
OG0000028	XP_002864388.2, XP_020872014.1	CARHR268630
OG0000028	XP_020873006.1	CARHR267660
OG0000028	XP_020875061.1	CARHR242050
OG0000028	XP_020880460.1, XP_020880469.1, XP_020880478.1	CARHR267700
OG0000029	XP_020888389.1	CARHR056480, CARHR153130
OG0000029	XP_020874443.1	CARHR116610, CARHR153140
OG0000030	XP_002893415.1	CARHR025790
OG0000030	XP_002890504.1	CARHR162370
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	CARHR158520, CARHR158510, CARHR158530
OG0000030	XP_020888486.1	CARHR088860, CARHR095910, CARHR026350
OG0000030	XP_002877463.1	CARHR154640
OG0000034	XP_002869784.2	CARHR230270, CARHR230290
OG0000034	XP_020873360.1	CARHR228050, CARHR228010, CARHR228060, CARHR228080, CARHR228070
OG0000034	XP_002867849.1	CARHR289950
OG0000034	XP_002872597.2	CARHR255000
OG0000034	XP_020873845.1	CARHR230320
OG0000034	XP_020873356.1, XP_020873366.1	CARHR230230, CARHR230200
OG0000034	XP_020872543.1	CARHR230540, CARHR230590, CARHR230570, CARHR230620, CARHR230650
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	CARHR120350
OG0000042	XP_020876174.1	CARHR154720, CARHR116060, CARHR260310
OG0000044	XP_020880050.1, XP_020868157.1	CARHR223510
OG0000044	XP_002865185.1	CARHR175060
OG0000044	XP_020881042.1	CARHR175260
OG0000044	XP_020886914.1	CARHR116350
OG0000044	XP_002873864.1	CARHR195110
OG0000046	XP_020871374.1, XP_020877131.1	CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR104690, CARHR258020, CARHR150330
OG0000046	XP_020885942.1	CARHR116100, CARHR183570, CARHR057390, CARHR107370
OG0000046	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1	CARHR159290
OG0000046	XP_020866165.1	CARHR150320
OG0000046	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1	CARHR273180, CARHR286710, CARHR217190
OG0000047	XP_020883415.1	CARHR257880
OG0000048	XP_002894465.2	CARHR261660, CARHR042940
OG0000048	XP_002886496.1, XP_002886498.2	CARHR126110
OG0000051	XP_020868191.1	CARHR002800
OG0000051	XP_002881850.2	CARHR137510
OG0000051	XP_020883122.1	CARHR137530
OG0000051	XP_020884766.1, XP_020885237.1, XP_020890130.1	CARHR127280
OG0000051	XP_020883307.1	CARHR137550, CARHR137540
OG0000051	XP_020883311.1	CARHR260850
OG0000052	XP_020882260.1	CARHR148060
OG0000052	XP_002894621.2	CARHR065210, CARHR065340
OG0000052	XP_020881195.1, XP_020881409.1	CARHR150860
OG0000052	XP_020881215.1, XP_020881213.1	CARHR162550
OG0000052	XP_020881212.1	CARHR162560
OG0000052	XP_020881214.1	CARHR162510
OG0000052	XP_020882208.1	CARHR157840
OG0000052	XP_020886942.1	CARHR148050, CARHR278920, CARHR148010, CARHR065350
OG0000055	XP_020889173.1	CARHR100810, CARHR107470, CARHR177430, CARHR192030
OG0000055	XP_020889148.1	CARHR092560, CARHR092720
OG0000055	XP_002862289.1	CARHR107830, CARHR149830, CARHR108270
OG0000055	XP_020889167.1	CARHR092150, CARHR092000
OG0000055	XP_020883674.1	CARHR149840
OG0000055	XP_020886503.1, XP_020887842.1	CARHR111010
OG0000055	XP_020886512.1	CARHR108730, CARHR108330, CARHR108320, CARHR107820, CARHR108260, CARHR135370
OG0000055	XP_020889170.1	CARHR092630, CARHR092620, CARHR213520
OG0000056	XP_002886488.1	CARHR049970
OG0000056	XP_020865627.1	CARHR049990, CARHR050000
OG0000056	XP_002888053.1	CARHR050280, CARHR049980, CARHR050290
OG0000056	XP_020891223.1	CARHR050160
OG0000056	XP_020880767.1	CARHR155600
OG0000059	XP_020889554.1, XP_020890752.1, XP_020876125.1	CARHR293330, CARHR148640, CARHR151940, CARHR118340
OG0000059	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1	CARHR286550, CARHR102470, CARHR152130
OG0000061	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	CARHR228580
OG0000061	XP_020867733.1	CARHR270010
OG0000061	XP_020879494.1	CARHR039590
OG0000061	XP_020886448.1, XP_020870001.1	CARHR123140
OG0000061	XP_020891333.1, XP_020888256.1	CARHR151510, CARHR219570
OG0000064	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	CARHR054420, CARHR289730, CARHR289690
OG0000065	XP_020865720.1	CARHR059090
OG0000065	XP_020865823.1, XP_020865819.1	CARHR059270, CARHR059250
OG0000065	XP_020865822.1, XP_020865825.1	CARHR059080
OG0000065	XP_020865724.1	CARHR059360, CARHR263420
OG0000065	XP_020876931.1	CARHR214430
OG0000065	XP_020872917.1	CARHR263400
OG0000065	XP_020872918.1	CARHR263410
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	CARHR202910, CARHR279310, CARHR279320, CARHR202900, CARHR009160
OG0000066	XP_020891413.1, XP_020877536.1	CARHR068990
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	CARHR202310
OG0000068	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1	CARHR210190
OG0000068	XP_002871317.2	CARHR064230
OG0000070	XP_020867590.1	CARHR010350
OG0000070	XP_002883942.1, XP_002875195.1, XP_002875194.1	CARHR145510, CARHR145520, CARHR286680, CARHR145480, CARHR145500
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	CARHR020650
OG0000070	XP_020891141.1	CARHR069500
OG0000070	XP_002863814.1	CARHR284690
OG0000070	XP_002867118.1	CARHR052170, CARHR288810
OG0000072	XP_020891370.1, XP_002865523.2	CARHR153090
OG0000072	XP_020876164.1, XP_020889278.1	CARHR049910, CARHR219260, CARHR119870, CARHR260200
OG0000075	XP_002868913.1	CARHR247180
OG0000075	XP_002868917.2	CARHR247140
OG0000075	XP_020874617.1	CARHR247160
OG0000075	XP_020875017.1, XP_002863944.2	CARHR286190, CARHR286200, CARHR286160
OG0000075	XP_020875009.1, XP_020871408.1	CARHR285960
OG0000076	XP_020872718.1	CARHR247830
OG0000076	XP_020884728.1	CARHR127180
OG0000077	XP_002894680.1	CARHR054510
OG0000077	XP_020881582.1, XP_020881188.1	CARHR145640
OG0000077	XP_020868196.1	CARHR009640
OG0000078	XP_002884413.1	CARHR077950
OG0000078	XP_002871799.1, XP_020877812.1, XP_002873872.1, XP_002873870.1, XP_020877813.1	CARHR194990, CARHR195030, CARHR195060, CARHR195010
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	CARHR180710, CARHR151670, CARHR119610
OG0000081	XP_020870247.1	CARHR217030
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	CARHR264280
OG0000086	XP_002868825.1	CARHR214810
OG0000086	XP_002864819.1	CARHR276580
OG0000086	XP_002870579.2	CARHR214830
OG0000086	XP_002868826.1	CARHR214840
OG0000086	XP_002868577.1	CARHR214870
OG0000086	XP_020865653.1	CARHR058600
OG0000089	XP_020879374.1	CARHR189700
OG0000089	XP_020880680.1	CARHR155480
OG0000089	XP_020883550.1	CARHR122890
OG0000089	XP_002873559.1	CARHR200860
OG0000089	XP_002863588.1	CARHR178800
OG0000089	XP_020872103.1	CARHR227450
OG0000089	XP_002881356.1	CARHR128920
OG0000089	XP_020866480.1	CARHR020480
OG0000089	XP_020890671.1	CARHR069200
OG0000091	XP_002875849.2	CARHR156270
OG0000091	XP_020881857.1, XP_020881860.1	CARHR156220, CARHR156240
OG0000091	XP_020878730.1	CARHR192340, CARHR192330
OG0000091	XP_002864053.1	CARHR262970
OG0000092	XP_020879516.1	CARHR257050
OG0000095	XP_020885291.1, XP_020884026.1	CARHR116960, CARHR117230, CARHR116990
OG0000095	XP_020884027.1	CARHR117020
OG0000095	XP_020884655.1	CARHR116980, CARHR117870, CARHR117890, CARHR116700
OG0000095	XP_002878787.2	CARHR116940
OG0000095	XP_020885162.1	CARHR117220
OG0000095	XP_002880565.1, XP_020884335.1	CARHR117860
OG0000096	XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1	CARHR084920
OG0000096	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	CARHR093690
OG0000096	XP_020889406.1	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000096	XP_002872691.1	CARHR159090, CARHR101800, CARHR101790
OG0000098	XP_020865728.1	CARHR046250
OG0000098	XP_002893476.1, XP_020869068.1	CARHR174970
OG0000100	XP_020867631.1	CARHR055030
OG0000100	XP_020891283.1	CARHR047580, CARHR047440, CARHR261260, CARHR047450
OG0000100	XP_020890033.1	CARHR047060
OG0000100	XP_020891540.1	CARHR051270, CARHR051280, CARHR051250
OG0000102	XP_002874844.1	CARHR252050, CARHR252070, CARHR252100
OG0000102	XP_020876795.1	CARHR252110, CARHR252090
OG0000102	XP_002865915.2	CARHR252060
OG0000105	XP_020875322.1	CARHR181190, CARHR228760
OG0000106	XP_020871478.1, XP_020889746.1	CARHR055550
OG0000107	XP_020887921.1	CARHR095660
OG0000107	XP_002883228.1	CARHR095650
OG0000107	XP_002883226.2	CARHR095610
OG0000107	XP_020888430.1	CARHR096820, CARHR096830
OG0000107	XP_020886789.1	CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000108	XP_020882238.1, XP_020871933.1	CARHR285740
OG0000108	XP_020888275.1	CARHR086670
OG0000108	XP_020876820.1	CARHR203590
OG0000108	XP_020867828.1, XP_002883150.1	CARHR094190
OG0000110	XP_020870662.1	CARHR151660
OG0000111	XP_002877840.1, XP_002876201.1, XP_002875482.1, XP_020865753.1	CARHR148290
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	CARHR258830, CARHR283860
OG0000114	XP_020878269.1	CARHR118270
OG0000115	XP_020889357.1	CARHR155450
OG0000117	XP_020869256.1	CARHR023950
OG0000117	XP_020866884.1	CARHR024070
OG0000117	XP_002893302.1	CARHR024100
OG0000118	XP_020882923.1	CARHR101240, CARHR101220
OG0000118	XP_020882845.1, XP_020882847.1, XP_020885096.1	CARHR133050
OG0000118	XP_020875172.1	CARHR133070, CARHR133060
OG0000118	XP_002885586.1, XP_020888654.1	CARHR099660
OG0000119	XP_020882357.1	CARHR150070, CARHR118170
OG0000119	XP_020881724.1	CARHR059580, CARHR150110
OG0000119	XP_002878927.2, XP_020885607.1, XP_002878925.2	CARHR114860
OG0000119	XP_002875622.2	CARHR256190, CARHR263010
OG0000119	XP_020876007.1	CARHR143200, CARHR207890
OG0000119	XP_002877410.2, XP_020881729.1	CARHR150200
OG0000122	XP_020866960.1	CARHR269920
OG0000122	XP_020871241.1	CARHR269730
OG0000122	XP_002864448.2	CARHR129080, CARHR031770, CARHR269910, CARHR269890
OG0000122	XP_020865748.1	CARHR269930
OG0000123	XP_002884106.1	CARHR283690, CARHR187420, CARHR274650, CARHR274680, CARHR016560, CARHR042770
OG0000123	XP_002878578.1	CARHR274670
OG0000124	XP_020875630.1	CARHR261370
OG0000125	XP_020883008.1, XP_020885175.1	CARHR122140
OG0000125	XP_020885247.1	CARHR122190
OG0000125	XP_020870885.1	CARHR007350
OG0000125	XP_020866497.1	CARHR039100
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	CARHR041970
OG0000125	XP_020886046.1	CARHR102140
OG0000125	XP_020886058.1	CARHR097260
OG0000125	XP_020870266.1	CARHR258870
OG0000125	XP_020870268.1	CARHR041960
OG0000126	XP_020885553.1	CARHR103200
OG0000127	XP_020868538.1	CARHR007600
OG0000127	XP_002874101.1	CARHR190650
OG0000127	XP_002873061.1	CARHR210790
OG0000127	XP_020872447.1, XP_002864658.2	CARHR273520
OG0000127	XP_002877451.1	CARHR154340, CARHR154390
OG0000127	XP_002879182.1	CARHR121850
OG0000128	XP_020879745.1	CARHR061850
OG0000128	XP_020879609.1	CARHR169630
OG0000128	XP_020879607.1	CARHR123020, CARHR061840
OG0000128	XP_020880511.1	CARHR169580
OG0000128	XP_020880525.1	CARHR169600
OG0000128	XP_020880503.1	CARHR169570
OG0000129	XP_020890882.1	CARHR038520, CARHR038560, CARHR056630
OG0000129	XP_020890886.1	CARHR056640
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1	CARHR275720, CARHR275710
OG0000129	XP_020885823.1, XP_002879145.1	CARHR120250, CARHR120240, CARHR120610
OG0000129	XP_020884859.1	CARHR275730
OG0000129	XP_020890885.1	CARHR038530, CARHR038540, CARHR056610
OG0000130	XP_020866264.1, XP_020866430.1, XP_020875826.1, XP_020881874.1, XP_020870431.1, XP_020890790.1, XP_020888401.1	CARHR158410, CARHR153220, CARHR117340, CARHR057000
OG0000130	XP_002865522.1, XP_020866113.1, XP_020881817.1, XP_020873128.1	CARHR038370, CARHR217450
OG0000132	XP_020880888.1	CARHR164880
OG0000132	XP_020882481.1, XP_020882467.1	CARHR277270
OG0000132	XP_020871481.1, XP_020883459.1	CARHR277260
OG0000132	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	CARHR214020
OG0000134	XP_002892003.1, XP_020866269.1, XP_020870825.1	CARHR054550, CARHR054640, CARHR054580
OG0000134	XP_020865886.1	CARHR106050
OG0000134	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1	CARHR202050
OG0000137	XP_002866093.1	CARHR268720
OG0000137	XP_020870474.1	CARHR268700
OG0000137	XP_002866092.1	CARHR268690
OG0000137	XP_020872008.1	CARHR268680
OG0000138	XP_020880953.1, XP_020865702.1	CARHR052000
OG0000138	XP_020880550.1	CARHR169360
OG0000138	XP_020880529.1	CARHR169320
OG0000138	XP_020881910.1, XP_020880545.1	CARHR169390
OG0000140	XP_020890722.1	CARHR146770
OG0000141	XP_020869968.1	CARHR012600
OG0000141	XP_020867361.1	CARHR012590
OG0000141	XP_020867542.1	CARHR012520
OG0000141	XP_020874215.1	CARHR220850
OG0000141	XP_002889921.2	CARHR013070
OG0000141	XP_020891221.1	CARHR048830, CARHR049260
OG0000148	XP_002894068.1	CARHR037410
OG0000148	XP_020866202.1	CARHR040900
OG0000148	XP_020889929.1	CARHR040920
OG0000148	XP_020868378.1, XP_020868376.1	CARHR037710, CARHR037720, CARHR037850
OG0000150	XP_020889706.1, XP_020866739.1	CARHR217380, CARHR294480
OG0000151	XP_020881605.1	CARHR165130
OG0000151	XP_002878017.1	CARHR165120
OG0000151	XP_002881649.1	CARHR134140
OG0000151	XP_002878016.1	CARHR165110
OG0000151	XP_020880621.1	CARHR163410
OG0000151	XP_020884903.1	CARHR132240
OG0000151	XP_002871574.1	CARHR199860
OG0000153	XP_002881123.1	CARHR124170, CARHR124160
OG0000153	XP_020885353.1	CARHR122600, CARHR122610
OG0000153	XP_020866558.1	CARHR007190
OG0000154	XP_020866593.1	CARHR040870
OG0000154	XP_020879595.1, XP_020877958.1	CARHR121480
OG0000154	XP_020874310.1	CARHR290670
OG0000154	XP_020866511.1	CARHR040880, CARHR041470
OG0000154	XP_020867950.1, XP_020867947.1, XP_020867946.1, XP_020866200.1	CARHR041490, CARHR040850
OG0000154	XP_020867949.1	CARHR040760, CARHR040790, CARHR041510
OG0000157	XP_020866091.1	CARHR144020
OG0000157	XP_020889806.1	CARHR029970
OG0000158	XP_002869017.2	CARHR245230
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	CARHR210870
OG0000160	XP_020888881.1	CARHR109500
OG0000160	XP_020872380.1	CARHR238090
OG0000160	XP_020870964.1	CARHR271150
OG0000160	XP_020889051.1	CARHR104060
OG0000160	XP_020882578.1	CARHR153650
OG0000160	XP_020890865.1	CARHR073860
OG0000160	XP_020885195.1	CARHR117520
OG0000161	XP_002892325.1	CARHR059960, CARHR284490
OG0000162	XP_002879435.1	CARHR127170
OG0000162	XP_002875217.1	CARHR145910, CARHR145930
OG0000162	XP_020888514.1	CARHR102790, CARHR102800, CARHR102820
OG0000162	XP_002883663.1, XP_020887605.1	CARHR102810, CARHR103310
OG0000162	XP_002879439.1, XP_002879438.1	CARHR127190
OG0000165	XP_002883872.1, XP_020866166.1	CARHR085710, CARHR085700, CARHR085180
OG0000166	XP_020885127.1	CARHR115420
OG0000167	XP_002883624.2	CARHR096990
OG0000167	XP_020888465.1, XP_020886358.1, XP_020886753.1	CARHR097030
OG0000167	XP_020889511.1	CARHR099220
OG0000169	XP_002877168.1	CARHR042890, CARHR042510, CARHR043190, CARHR260050
OG0000169	XP_020868436.1, XP_002894040.2	CARHR219990
OG0000170	XP_002882022.1	CARHR140800
OG0000170	XP_020882337.1	CARHR171350
OG0000170	XP_002882021.1	CARHR186310, CARHR140760
OG0000170	XP_002882020.2	CARHR140780, CARHR140790, CARHR140740
OG0000171	XP_002865968.1	CARHR266340
OG0000171	XP_020874812.1, XP_002887912.1	CARHR046700
OG0000171	XP_020888018.1	CARHR107000
OG0000171	XP_020891046.1	CARHR269520
OG0000171	XP_020888570.1	CARHR082990
OG0000171	XP_002867477.1	CARHR235660
OG0000173	XP_002868934.1	CARHR246590
OG0000173	XP_002866926.1	CARHR246290, CARHR146050
OG0000174	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1	CARHR292260, CARHR102990
OG0000174	XP_020876483.1	CARHR115250
OG0000175	XP_020870037.1, XP_020890687.1	CARHR023910
OG0000175	XP_002892585.1	CARHR010800
OG0000175	XP_002871626.1	CARHR198650
OG0000176	XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1	CARHR118040
OG0000176	XP_020889939.1	CARHR176300
OG0000176	XP_020865931.1, XP_020872871.1	CARHR291350, CARHR291370
OG0000177	XP_020869474.1	CARHR021660
OG0000177	XP_020869475.1	CARHR181970
OG0000177	XP_020869473.1	CARHR059110
OG0000178	XP_002874799.1	CARHR253020
OG0000178	XP_002872696.1	CARHR250370
OG0000178	XP_020877648.1	CARHR250360
OG0000178	XP_020877653.1	CARHR252970, CARHR263930
OG0000178	XP_002872697.1	CARHR252960
OG0000179	XP_020868284.1	CARHR284060, CARHR284130, CARHR283910, CARHR284020, CARHR283760, CARHR284100, CARHR283900, CARHR053500, CARHR284050, CARHR284010
OG0000179	XP_002886692.2	CARHR284070
OG0000179	XP_020890288.1	CARHR283730
OG0000182	XP_020882675.1, XP_020881705.1, XP_020881706.1	CARHR167770
OG0000182	XP_020870979.1	CARHR166230
OG0000183	XP_002888498.1, XP_002870564.1	CARHR215030, CARHR058380
OG0000183	XP_002879035.1	CARHR119300
OG0000184	XP_020886142.1	CARHR097900
OG0000185	XP_002876919.1	CARHR279920
OG0000185	XP_020871016.1, XP_020867770.1	CARHR087540, CARHR087530
OG0000185	XP_020866285.1	CARHR160040, CARHR160050
OG0000185	XP_002890779.1	CARHR028040
OG0000186	XP_020881811.1	CARHR147550, CARHR269160
OG0000186	XP_020884619.1, XP_020882765.1	CARHR113370
OG0000186	XP_020891314.1	CARHR050630
OG0000187	XP_020882989.1, XP_002878566.1	CARHR112670, CARHR112680
OG0000187	XP_020869806.1	CARHR020040
OG0000188	XP_020874302.1	CARHR078890
OG0000188	XP_020879451.1, XP_020879478.1, XP_002873533.1	CARHR201470
OG0000189	XP_002876081.1	CARHR160880
OG0000189	XP_020873047.1	CARHR244350
OG0000189	XP_020885855.1	CARHR108220
OG0000189	XP_002887616.1	CARHR069390
OG0000189	XP_020870471.1	CARHR020570
OG0000192	XP_020890702.1	CARHR049240
OG0000193	XP_002885152.1	CARHR031320, CARHR091800, CARHR036940
OG0000193	XP_020888709.1, XP_020887386.1, XP_002865715.1, XP_002885153.1	CARHR091790
OG0000193	XP_002891353.1	CARHR036380, CARHR036970
OG0000193	XP_020866445.1, XP_020869780.1, XP_020869845.1	CARHR031880
OG0000195	XP_020877989.1	CARHR191180
OG0000195	XP_020884059.1	CARHR273570
OG0000196	XP_020872249.1, XP_020883783.1, XP_020874890.1	CARHR272910, CARHR213580, CARHR272900, CARHR287600, CARHR287570, CARHR212840, CARHR289150
OG0000196	XP_002868590.1	CARHR262360
OG0000197	XP_020872600.1, XP_020872360.1	CARHR215060, CARHR215050, CARHR215370
OG0000197	XP_020872593.1	CARHR226280, CARHR226370
OG0000198	XP_002875203.1, XP_002875076.1	CARHR144080
OG0000198	XP_002892838.1, XP_020869981.1	CARHR015470
OG0000198	XP_020869449.1	CARHR015480
OG0000198	XP_020882067.1	CARHR147290
OG0000199	XP_002891651.2, XP_002891717.1, XP_020868387.1	CARHR063270, CARHR063300, CARHR163030, CARHR063260, CARHR063690, CARHR063700, CARHR263650
OG0000199	XP_020874321.1	CARHR251110, CARHR215270
OG0000200	XP_020867608.1	CARHR203250
OG0000200	XP_020870363.1	CARHR028750, CARHR037140
OG0000200	XP_020870362.1	CARHR037150
OG0000202	XP_020879031.1	CARHR250390, CARHR248840, CARHR250050, CARHR250400
OG0000203	XP_002878203.1, XP_020880570.1	CARHR168640
OG0000203	XP_020880616.1	CARHR168590, CARHR259860
OG0000203	XP_020880586.1	CARHR168740
OG0000203	XP_020880589.1	CARHR168770
OG0000203	XP_020880584.1	CARHR168690
OG0000208	XP_020876154.1	CARHR183230
OG0000209	XP_002871416.1	CARHR202500
OG0000209	XP_020883217.1	CARHR125670, CARHR125660, CARHR124000
OG0000209	XP_020867374.1	CARHR008650
OG0000210	XP_020884580.1	CARHR140170
OG0000210	XP_020865963.1	CARHR059620
OG0000210	XP_020891301.1	CARHR057970
OG0000210	XP_020879924.1	CARHR170850
OG0000215	XP_020874119.1, XP_020871428.1	CARHR033990
OG0000215	XP_020866215.1, XP_020884668.1	CARHR055980, CARHR108830
OG0000215	XP_002863102.2, XP_002878830.2, XP_020890798.1	CARHR284710
OG0000216	XP_020877703.1	CARHR253820, CARHR253860, CARHR253850
OG0000216	XP_002872655.2	CARHR253870
OG0000216	XP_002874641.2	CARHR253840
OG0000216	XP_020865893.1	CARHR054340
OG0000216	XP_002876368.2	CARHR166590
OG0000219	XP_020873116.1, XP_020873172.1, XP_020873179.1	CARHR065380
OG0000219	XP_020880727.1	CARHR272960
OG0000219	XP_020872035.1	CARHR123890
OG0000225	XP_020890466.1	CARHR072290
OG0000225	XP_020889768.1	CARHR072270, CARHR141370
OG0000225	XP_020890452.1	CARHR201930, CARHR072280
OG0000226	XP_020881126.1	CARHR118070, CARHR209970
OG0000226	XP_020877252.1	CARHR256020
OG0000227	XP_020886550.1	CARHR080100
OG0000227	XP_020886582.1	CARHR105470
OG0000227	XP_020877841.1	CARHR039350
OG0000227	XP_020888649.1	CARHR105540
OG0000227	XP_020888528.1	CARHR105520
OG0000227	XP_020890178.1	CARHR105480
OG0000229	XP_020884846.1, XP_002878902.1, XP_020884852.1	CARHR062190
OG0000229	XP_002877248.2, XP_020866249.1, XP_020866248.1, XP_002875577.1	CARHR004570
OG0000230	XP_020880546.1, XP_020880539.1	CARHR186450, CARHR286030
OG0000230	XP_020880534.1	CARHR169400
OG0000233	XP_002873316.1	CARHR205610
OG0000233	XP_020876210.1, XP_020876208.1	CARHR205600, CARHR205590, CARHR205580
OG0000234	XP_002871007.2	CARHR135510, CARHR049800
OG0000234	XP_002871005.2	CARHR095190
OG0000234	XP_020876636.1, XP_020879255.1, XP_002883924.1, XP_002891659.1	CARHR100580, CARHR100650, CARHR100570
OG0000234	XP_002871008.2	CARHR210300
