Orthogroup	Arabidopsis_lyrata_NCBI	Alyssum_gmelinii
OG0000091	XP_020880184.1	Ag014G2119500, Ag014G2119400, Ag014G2119100
OG0000095	XP_020884025.1	Ag016G2362700, Ag016G2305100, Ag024G2851600, Ag006G0800000, Ag016G2308200, Ag006G0799900
OG0000095	XP_020885162.1	Ag039G4205200
OG0000096	XP_020884689.1, XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1, XP_020871755.1	Ag002G0154900
OG0000096	XP_002872691.1	Ag002G0165500
OG0000098	XP_002883751.1, XP_002883752.1, XP_020887764.1, XP_020889445.1	Ag011G1254000, Ag011G1253500
OG0000098	XP_020865728.1	Ag040G4345100
OG0000098	XP_002893476.1, XP_020869068.1	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000100	XP_020891283.1	Ag002G0112700, Ag063G5079400
OG0000100	XP_020891540.1	Ag063G5086400, Ag002G0116500
OG0000102	XP_020876465.1	Ag016G2365600
OG0000102	XP_002863972.2, XP_002874850.1	Ag016G2365900, Ag016G2370500, Ag016G2369900
OG0000102	XP_002874852.1	Ag016G2370600
OG0000102	XP_002874842.1	Ag016G2392700, Ag016G2377000, Ag016G2370800
OG0000105	XP_020875322.1	Ag011G1082700
OG0000105	XP_020870827.1, XP_020886025.1, XP_020868736.1	Ag011G1082400
OG0000107	XP_020887921.1	Ag014G2149500
OG0000107	XP_002883228.1	Ag014G2149100
OG0000107	XP_020888430.1, XP_020886789.1, XP_002870246.2	Ag014G2150100
OG0000107	XP_020887923.1	Ag014G2149200
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	Ag031G3385800, Ag039G4307100
OG0000108	XP_020882238.1, XP_020871933.1	Ag004G0614200, Ag004G0644200
OG0000108	XP_020888275.1	Ag014G1944700
OG0000108	XP_020876820.1	Ag052G4856100, Ag013G1537900
OG0000108	XP_020867828.1, XP_002883150.1	Ag014G2095200
OG0000108	XP_002879968.1, XP_002879967.1	Ag003G0396500
OG0000109	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020866785.1, XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	Ag029G3099600
OG0000110	XP_020870662.1	Ag001G0067200, Ag060G5005400, Ag010G1016200
OG0000115	XP_020889357.1, XP_020866238.1	Ag032G3465800
OG0000117	XP_020866886.1	Ag019G2506600, Ag018G2460700
OG0000117	XP_002893298.1	Ag018G2454400, Ag018G2459300
OG0000117	XP_020869910.1	Ag018G2459400
OG0000117	XP_002893302.1	Ag088G5431700
OG0000117	XP_002893290.1, XP_002893291.1	Ag022G2713800, Ag018G2459500, Ag018G2459700, Ag078G5340800, Ag011G1218200, Ag033G3621900, Ag078G5340900
OG0000118	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1	Ag078G5395500, Ag034G4070400, Ag002G0250500
OG0000118	XP_020891300.1, XP_002888470.1, XP_020877537.1	Ag072G5253200
OG0000119	XP_020882357.1	Ag048G4660700, Ag013G1597500
OG0000119	XP_020886449.1	Ag016G2397300, Ag004G0623300
OG0000119	XP_020881724.1	Ag034G3967000
OG0000119	XP_002875622.2	Ag019G2548800, Ag013G1361500
OG0000119	XP_020881834.1, XP_020876007.1	Ag031G3224900
OG0000119	XP_020881738.1	Ag013G1505800
OG0000122	XP_002864448.2	Ag011G1267200
OG0000122	XP_020865748.1	Ag004G0718500
OG0000125	XP_020885175.1	Ag013G1612600
OG0000125	XP_020870885.1	Ag034G3743800
OG0000125	XP_020866497.1	Ag001G0065100
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	Ag001G0066100
OG0000125	XP_020886058.1	Ag027G3062400
OG0000125	XP_020870266.1, XP_020870268.1	Ag001G0065900
OG0000127	XP_020868538.1	Ag034G3746600
OG0000127	XP_002874101.1	Ag004G0605400
OG0000127	XP_020872447.1, XP_002864658.2, XP_020880863.1, XP_002877451.1, XP_002879182.1	Ag013G1609800
OG0000128	XP_020879609.1	Ag031G3245700, Ag031G3245600
OG0000128	XP_020880511.1	Ag031G3246800, Ag031G3247000, Ag031G3246900
OG0000128	XP_020880525.1	Ag031G3246700
OG0000128	XP_020891638.1, XP_002870336.2, XP_020880503.1	Ag031G3249200, Ag031G3249100, Ag031G3248800, Ag031G3351900, Ag031G3350800, Ag031G3350000, Ag031G3350700, Ag002G0204500, Ag031G3349900
OG0000129	XP_020890882.1	Ag013G1553100, Ag013G1550500, Ag013G1552900, Ag016G2401500, Ag013G1550300
OG0000130	XP_002878891.2	Ag074G5269900
OG0000130	XP_020866161.1	Ag018G2457000
OG0000132	XP_020882481.1, XP_020882467.1	Ag004G0468600, Ag004G0468500
OG0000132	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	Ag039G4243000, Ag039G4243200, Ag039G4241900
OG0000134	XP_002873501.1	Ag013G1506600
OG0000137	XP_020881826.1	Ag004G0743100
OG0000137	XP_020870474.1	Ag004G0742000
OG0000137	XP_002866092.1	Ag004G0742300
OG0000137	XP_020872008.1	Ag004G0742500, Ag004G0742600
OG0000137	XP_020871354.1	Ag039G4193200
OG0000138	XP_020880550.1	Ag031G3253900
OG0000138	XP_020880529.1	Ag033G3506400, Ag078G5363200
OG0000138	XP_020880551.1	Ag031G3319900, Ag031G3319600, Ag031G3253400, Ag031G3253300, Ag003G0293800
OG0000138	XP_020881910.1, XP_020880545.1	Ag031G3253700, Ag031G3403500
OG0000138	XP_020880319.1	Ag031G3182800
OG0000138	XP_020889594.1, XP_020880950.1, XP_002876243.1	Ag031G3182200, Ag031G3182000, Ag039G4256800
OG0000140	XP_020890721.1	Ag027G3064900
OG0000140	XP_020890722.1	Ag038G4173300, Ag022G2672800, Ag033G3478700
OG0000140	XP_020890690.1	Ag011G1144500
OG0000148	XP_020877791.1	Ag013G1622400, Ag034G3735700
OG0000150	XP_020866739.1	Ag002G0131000, Ag068G5224900, Ag025G2934900
OG0000151	XP_020881605.1	Ag031G3356400
OG0000151	XP_002878017.1	Ag031G3356700
OG0000151	XP_002881649.1	Ag039G4248200
OG0000151	XP_002878016.1	Ag031G3356800
OG0000151	XP_020880621.1	Ag031G3389200
OG0000151	XP_020884903.1	Ag039G4314300
OG0000151	XP_002871574.1	Ag013G1463800
OG0000153	XP_020885350.1	Ag013G1617600, Ag013G1618100
OG0000153	XP_002881123.1	Ag013G1616400
OG0000154	XP_020866593.1, XP_020879595.1, XP_020877958.1	Ag001G0045800
OG0000154	XP_020874310.1	Ag053G4872200
OG0000154	XP_020866511.1	Ag001G0045900
OG0000154	XP_020867948.1, XP_020867950.1, XP_020867947.1, XP_020867946.1, XP_020866200.1, XP_020867949.1	Ag001G0045400, Ag001G0045500, Ag001G0045200, Ag001G0045100, Ag001G0045300, Ag001G0049100, Ag002G0262200
OG0000157	XP_020866682.1	Ag013G1573100, Ag013G1573300, Ag013G1572900, Ag013G1573200, Ag013G1510300, Ag013G1510500, Ag013G1510800, Ag013G1510100, Ag013G1750400, Ag013G1750900, Ag013G1750300, Ag013G1751200, Ag013G1750800, Ag013G1744300, Ag007G0933400, Ag022G2711500, Ag022G2708900, Ag013G1473500
OG0000158	XP_002869017.2	Ag011G1092000
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	Ag014G2168100, Ag027G3073200, Ag027G3072400
OG0000158	XP_002879471.2, XP_020883421.1, XP_020877947.1, XP_002894673.1, XP_002868325.2	Ag014G1900800
OG0000160	XP_020888881.1	Ag042G4405700
OG0000160	XP_020872380.1	Ag068G5221600
OG0000160	XP_020870964.1	Ag004G0692900
OG0000160	XP_020890865.1	Ag048G4572800
OG0000161	XP_002892325.1	Ag015G2193300, Ag055G4906800
OG0000162	XP_002863691.1	Ag013G1672500
OG0000162	XP_020881030.1, XP_020880682.1, XP_002873553.1, XP_020881771.1, XP_002875217.1, XP_020874590.1, XP_020875337.1, XP_002893105.1	Ag011G1165200, Ag011G1165400, Ag011G1163300, Ag011G1163400, Ag011G1167300, Ag011G1167100, Ag011G1166900, Ag011G1222300
OG0000162	XP_002883663.1, XP_020887605.1	Ag014G2098100
OG0000162	XP_002879439.1, XP_002879438.1	Ag013G1672600
OG0000164	XP_020875554.1	Ag060G5011600, Ag086G5422700
OG0000165	XP_002883872.1	Ag014G1928400
OG0000166	XP_020865593.1	Ag078G5376600
OG0000167	XP_020886745.1, XP_020889511.1	Ag003G0383500, Ag003G0383700
OG0000170	XP_020882337.1	Ag031G3214400
OG0000170	XP_002878356.2	Ag031G3214600
OG0000170	XP_002882020.2	Ag003G0320000
OG0000171	XP_002865968.1	Ag020G2575200
OG0000171	XP_002887912.1	Ag024G2869500
OG0000171	XP_020888018.1	Ag044G4495800
OG0000171	XP_020891046.1	Ag004G0721800
OG0000171	XP_020888570.1	Ag014G1883300
OG0000171	XP_002867477.1	Ag010G1018000
OG0000173	XP_002868934.1	Ag011G1059500
OG0000173	XP_020886346.1	Ag014G1845700, Ag014G1846300, Ag014G1846000
OG0000173	XP_002866926.1	Ag068G5224200, Ag068G5224000, Ag011G1085700
OG0000173	XP_020872385.1, XP_020874945.1	Ag033G3597600
OG0000174	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1	Ag064G5095900, Ag013G1514400, Ag004G0425200, Ag042G4401700, Ag072G5254600, Ag039G4257400, Ag014G1813500, Ag011G1172800
OG0000175	XP_020870037.1, XP_020890687.1	Ag034G4063600
OG0000175	XP_002871626.1	Ag013G1441100
OG0000176	XP_020888844.1, XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1	Ag014G1823200, Ag014G1822800, Ag014G1822900, Ag014G1823300, Ag014G1822700
OG0000176	XP_020888110.1	Ag014G1833000
OG0000177	XP_020869470.1, XP_020869469.1, XP_020869472.1, XP_020869364.1, XP_002890432.1	Ag034G3998900, Ag034G3998500, Ag034G3998600
OG0000177	XP_020869475.1	Ag004G0483700
OG0000178	XP_002874799.1	Ag066G5142800
OG0000178	XP_002872696.1	Ag016G2366900, Ag016G2366600
OG0000178	XP_020877648.1	Ag016G2366000, Ag016G2366700
OG0000178	XP_020877653.1, XP_002872697.1, XP_002893865.1	Ag066G5144100, Ag066G5143400
OG0000182	XP_020882675.1, XP_020881705.1, XP_020881706.1, XP_020880843.1, XP_020881703.1	Ag013G1406700
OG0000183	XP_002888498.1, XP_002870564.1	Ag061G5037800
OG0000183	XP_002879909.1, XP_002878109.1	Ag031G3311200
OG0000183	XP_020877395.1, XP_002879035.1, XP_020880310.1	Ag013G1588300
OG0000184	XP_020885996.1, XP_020886141.1	Ag027G3048100
OG0000184	XP_002885573.2	Ag027G3047200, Ag027G3046800
OG0000185	XP_020871016.1, XP_020867770.1, XP_020866285.1, XP_002890779.1	Ag032G3420100
OG0000186	XP_020891309.1	Ag039G4226500
OG0000186	XP_020891314.1	Ag031G3213700
OG0000187	XP_020883121.1, XP_020885184.1, XP_020884986.1, XP_020885024.1, XP_020885006.1, XP_020885032.1, XP_002879220.1	Ag034G3783000
OG0000188	XP_020874302.1	Ag042G4412300
OG0000188	XP_020879451.1, XP_020879478.1, XP_002873533.1, XP_002884435.1	Ag063G5067000, Ag002G0125500, Ag014G1815800
OG0000188	XP_020888830.1	Ag014G1820500, Ag014G1820600, Ag011G1195700
OG0000188	XP_002882369.2, XP_002882368.1	Ag042G4428600, Ag042G4412400, Ag014G1989600
OG0000189	XP_020885855.1	Ag011G1112900
OG0000189	XP_002869113.1	Ag044G4495700
OG0000189	XP_002887616.1, XP_020870471.1	Ag048G4687900
OG0000193	XP_002891354.1, XP_002885152.1	Ag014G2033900
OG0000193	XP_020888709.1, XP_020887386.1, XP_002865715.1, XP_002885153.1	Ag014G2035100, Ag014G2034500, Ag014G2034300, Ag014G2034200
OG0000193	XP_002891353.1	Ag014G2096100, Ag014G2096200, Ag014G2036800, Ag034G3813900
OG0000195	XP_020884059.1	Ag004G0630200
