Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat
OG0000007	XP_020887609.1, XP_020874852.1	AL4G15130, AL1G41850, AL7G40730, AL6G17970
OG0000008	XP_020871586.1	AL6G25540, AL39U10050, AL6G49380, AL226U10010, AL8G21160, AL8G41980
OG0000008	XP_020882642.1, XP_020879664.1	AL5G20470
OG0000008	XP_020876690.1, XP_020867861.1	AL6G44830
OG0000008	XP_020881885.1, XP_020881611.1	AL5G32180
OG0000008	XP_020881699.1	AL5G32140
OG0000008	XP_020881700.1	AL5G32150
OG0000009	XP_020887659.1	AL251U10020, AL3G32130, AL1G49730
OG0000009	XP_020884776.1	AL6G10570
OG0000009	XP_020877155.1, XP_020876055.1	AL2G39630
OG0000009	XP_020876464.1	AL9U10020
OG0000009	XP_020882780.1	AL4G46120, AL8G23160
OG0000009	XP_020867197.1	AL1G62100
OG0000011	XP_020878850.1	AL6G32670
OG0000011	XP_020878589.1, XP_020869090.1	AL8G22980
OG0000011	XP_020890706.1	AL2G13960
OG0000011	XP_020886056.1, XP_020881816.1, XP_020874677.1	AL7G34180
OG0000011	XP_020887011.1	AL8G40930
OG0000011	XP_020872379.1, XP_020877201.1, XP_020879405.1	AL1G50520
OG0000011	XP_020871455.1	AL5G34620, AL5G17780
OG0000011	XP_020881858.1, XP_020888576.1, XP_020887134.1, XP_020887782.1, XP_020889569.1	AL1G17050
OG0000011	XP_020889856.1	AL8G24370
OG0000011	XP_020877678.1	AL6G47490
OG0000011	XP_020875848.1	AL2G23260
OG0000011	XP_020875471.1, XP_020876980.1, XP_002888416.2	AL2G22330
OG0000012	XP_020871500.1	AL8G15640, AL3G37530
OG0000012	XP_020891087.1	AL2G23040, AL5G42550, AL1G61200, AL3G31820, AL5G24930, AL4G33280
OG0000012	XP_020886262.1	AL7G32640, AL2G22620, AL1G46320, AL5G10860, AL5G20750, AL3G52610, AL4G29050
OG0000012	XP_020889836.1	AL2G22540
OG0000014	XP_020871367.1	AL8G23060
OG0000015	XP_020870556.1	AL7G47990, AL2G21990, AL5G11720, AL615U10010, AL1G54160
OG0000015	XP_020865814.1	AL25U10010, AL6G22310, AL7G26200
OG0000015	XP_020890755.1, XP_020889910.1	AL8G24680, AL1G15850
OG0000020	XP_002862745.2	AL189U10010, AL189U10020
OG0000020	XP_020874187.1	AL3G44820, AL7G51100
OG0000020	XP_020879010.1	AL6G40580
OG0000020	XP_020874114.1	AL7G44020
OG0000020	XP_002883754.2	AL3G44050, AL460U10020
OG0000020	XP_020877054.1	AL6G44350
OG0000020	XP_020869021.1	AL1G18490, AL5G20700, AL4G18270, AL4G19490, AL5G11530, AL6G46630
OG0000020	XP_020872420.1, XP_020884768.1	AL7G16690, AL7G11240, AL4G42290
OG0000021	XP_020872717.1, XP_020874922.1, XP_020879645.1	AL39U10070
OG0000021	XP_020889705.1, XP_020876177.1, XP_020889912.1, XP_020882641.1, XP_020879663.1, XP_020876808.1, XP_020879537.1, XP_020888861.1	AL8G31610, AL7G45200, AL2G25080, AL5G20460
OG0000021	XP_020872277.1, XP_020871456.1, XP_020872555.1, XP_020886835.1	AL4G19440
OG0000021	XP_020887754.1	AL3G43480
OG0000021	XP_020885800.1, XP_020871592.1, XP_020879735.1	AL5G24330
OG0000021	XP_020879721.1, XP_020887591.1	AL3G37170, AL6G47300
OG0000021	XP_020885208.1	AL4G20340
OG0000021	XP_020885137.1	AL4G18810
OG0000021	XP_020886953.1	AL564U10010
OG0000021	XP_020886960.1, XP_020890910.1	AL8G21810, AL2G20290, AL3G16850
OG0000021	XP_020885657.1	AL9U11790, AL4G19170
OG0000021	XP_020879723.1, XP_020874134.1, XP_020871964.1, XP_020874896.1, XP_020872412.1	AL7G47350, AL7G51150
OG0000022	XP_020878202.1	AL6G27650
OG0000022	XP_020865991.1	AL2G12810
OG0000022	XP_020890510.1	AL2G13140
OG0000022	XP_020865986.1	AL2G12820
OG0000022	XP_002886463.2	AL2G13170
OG0000022	XP_020865982.1	AL2G12830
OG0000022	XP_020889844.1	AL2G12470
OG0000022	XP_002886462.1	AL2G13120
OG0000022	XP_020891718.1	AL2G13280
OG0000022	XP_020865792.1	AL2G11830
OG0000022	XP_020865844.1	AL2G13150
OG0000022	XP_020890513.1	AL2G13130
OG0000022	XP_020865987.1	AL2G12780
OG0000022	XP_020865810.1	AL2G11490
OG0000022	XP_020890773.1	AL2G13070
OG0000022	XP_020869316.1	AL1G24070
OG0000022	XP_002885504.2	AL3G36780
OG0000022	XP_020869509.1	AL1G24190
OG0000022	XP_020868327.1	AL1G23970
OG0000022	XP_020870640.1, XP_020868325.1	AL1G24080
OG0000022	XP_020869508.1	AL1G23630, AL1G24180
OG0000022	XP_020870927.1	AL1G23620
OG0000022	XP_020869233.1	AL1G16610
OG0000022	XP_020865918.1	AL2G10190
OG0000022	XP_020890021.1	AL2G10200
OG0000022	XP_002868609.1	AL7G48260
OG0000022	XP_002883021.2	AL3G29640
OG0000023	XP_020885333.1	AL5G19710, AL8G19910, AL1G56220
OG0000023	XP_020875036.1	AL1G65660
OG0000023	XP_020871051.1	AL2G18620
OG0000023	XP_020874097.1	AL8G19620
OG0000023	XP_020881510.1, XP_020874804.1, XP_020872198.1	AL5G21700, AL7G45880
OG0000023	XP_020890011.1	AL2G19210
OG0000023	XP_020866256.1	AL1G66070
OG0000024	XP_020869784.1	AL1G45240
OG0000024	XP_020870297.1	AL1G45470
OG0000024	XP_020870502.1	AL1G45480
OG0000024	XP_020866340.1	AL1G45490
OG0000024	XP_002890925.2	AL1G45520
OG0000024	XP_020866486.1	AL1G45280
OG0000024	XP_020866487.1	AL1G45290
OG0000024	XP_002893661.2	AL1G45300
OG0000024	XP_020869388.1	AL1G45270
OG0000024	XP_020866666.1	AL1G45540
OG0000024	XP_002890932.2	AL1G45590
OG0000024	XP_002890929.1	nbis-gene-188
OG0000024	XP_020866416.1	AL1G45230
OG0000024	XP_002890930.2, XP_002890933.2	AL1G45570, AL1G45600
OG0000024	XP_002888578.2	nbis-gene-553
OG0000024	XP_020883507.1	AL4G14930
OG0000024	XP_020883506.1	nbis-gene-966
OG0000024	XP_002890934.2	AL1G45610
OG0000024	XP_002890931.2	AL1G45580
OG0000024	XP_020866341.1	AL1G45510
OG0000024	XP_020866613.1	AL1G47320
OG0000024	XP_002893705.2	AL1G46270
OG0000024	XP_002893704.2	AL1G46260
OG0000024	XP_002890926.2	AL1G45530
OG0000024	XP_002893706.2	AL1G46280
OG0000024	XP_020888987.1	AL3G45420
OG0000024	XP_020881113.1	AL5G38280
OG0000024	XP_020879759.1	AL5G39160
OG0000024	XP_020879758.1	AL5G39170
OG0000024	XP_002875716.2	AL5G23680
OG0000024	XP_002893654.2	AL1G45210
OG0000025	XP_020881073.1, XP_020879655.1	AL5G11540
OG0000025	XP_020877486.1	AL6G41860
OG0000025	XP_020876192.1	AL460U10010
OG0000027	XP_020878446.1	nbis-gene-1639
OG0000027	XP_020878445.1	AL6G45930
OG0000027	XP_002872592.1	AL6G45970
OG0000027	XP_002872595.1	AL6G46000
OG0000027	XP_020878438.1	AL6G45910
OG0000027	XP_020873367.1	AL7G30160
OG0000027	XP_020873341.1	AL7G30170
OG0000027	XP_020873352.1	AL7G30270
OG0000027	XP_020867640.1	AL1G66280
OG0000027	XP_002872599.2	AL6G46070
OG0000027	XP_002867727.1	AL7G30280
OG0000027	XP_020873349.1	AL7G30260
OG0000028	XP_020885754.1	AL594U10010
OG0000028	XP_020874778.1	AL7G42840
OG0000028	XP_020891737.1, XP_020891655.1	AL2G24370
OG0000028	XP_020878158.1	AL6G19150
OG0000028	XP_002864330.1	AL8G29750
OG0000028	XP_002864331.1	AL8G29760
OG0000028	XP_002864388.2	AL8G30820
OG0000028	XP_020872014.1	AL236U10020
OG0000028	XP_020877991.1	AL8G29780
OG0000028	XP_020867900.1	AL5G44140
OG0000028	XP_020865869.1	nbis-gene-2112
OG0000028	XP_020865879.1	nbis-gene-2113
OG0000028	XP_020877806.1	AL8G29920
OG0000028	XP_020878007.1	AL8G28780
OG0000028	XP_020880469.1, XP_020880478.1	AL8G29950
OG0000029	XP_020888389.1	AL3G41570
OG0000029	XP_020874443.1	nbis-gene-1243
OG0000030	XP_020871692.1	AL3G33700
OG0000030	XP_020871677.1	AL275U10020, AL3G33320
OG0000030	XP_020888510.1	AL3G33690
OG0000030	XP_002885337.1	AL3G33370
OG0000030	XP_002893415.1	AL1G39630
OG0000030	XP_002890504.1	AL1G35700
OG0000030	XP_002893432.1	AL1G40160
OG0000030	XP_020866580.1	AL1G40170
OG0000030	XP_002868173.1	AL7G39300
OG0000030	XP_020879678.1	AL5G29320
OG0000030	XP_020881930.1	AL5G29310
OG0000030	XP_020880910.1	AL5G29340
OG0000030	XP_020889857.1	AL2G23050
OG0000030	XP_020869589.1	AL1G21870
OG0000030	XP_020888486.1	AL3G24770
OG0000030	XP_002884990.1	AL3G25930
OG0000030	XP_002884981.1	AL3G25710
OG0000030	XP_002884979.1	AL3G25690
OG0000030	XP_002877463.1	AL5G24990
OG0000031	XP_020872075.1	AL3G43240
OG0000031	XP_020870253.1	AL1G56200
OG0000034	XP_002869784.2	AL7G30290
OG0000034	XP_020873482.1	AL7G30320
OG0000034	XP_020873361.1	AL7G30330
OG0000034	XP_020873360.1	AL7G32680
OG0000034	XP_002867849.1	AL7G32670
OG0000034	XP_002872597.2	AL6G46030
OG0000034	XP_020873368.1	AL7G30340
OG0000034	XP_002877439.2	AL5G24540
OG0000034	XP_020873356.1	AL7G30310
OG0000034	XP_020873366.1	AL7G30350
OG0000035	XP_020887746.1, XP_020877165.1	AL3G42660, AL4G33750, AL7G46520, AL6G43970
OG0000035	XP_020883624.1	AL4G18470
OG0000035	XP_020883599.1	AL2G19330, AL4G18050, AL1G57000
OG0000035	XP_020884365.1, XP_020876202.1, XP_020876425.1	AL6G49460
OG0000038	XP_020873505.1	AL2G17230, AL4G20860
OG0000038	XP_020879598.1	AL5G23080
OG0000040	XP_020891386.1	AL2G11290
OG0000040	XP_020872994.1	AL1G59470
OG0000040	XP_020882425.1	AL5G30010
OG0000040	XP_020890764.1, XP_020881671.1	AL677U10010
OG0000040	XP_020884682.1, XP_020887780.1	AL364U10020
OG0000042	XP_020872945.1	AL1G54660
OG0000042	XP_020876174.1	AL2G36380, AL7G36770, AL6G22280, AL6G40680, AL8G39990, AL3G35100, AL4G45380, AL3G44120, AL9U11580, AL2G38670, AL103U10010, AL8G23430, AL4G17850
OG0000043	XP_020871723.1	AL8G31450, AL236U10040
OG0000044	XP_002885921.1	AL3G46070
OG0000044	XP_020877446.1	AL6G42230
OG0000044	XP_002865187.1	AL8G11930
OG0000044	XP_002865185.1	AL8G11910
OG0000044	XP_020879725.1	AL5G18720
OG0000044	XP_020881036.1	AL8G11950
OG0000044	XP_020878609.1	AL8G12190
OG0000044	XP_002865186.1	AL8G11920
OG0000044	XP_020886914.1	AL8G18480
OG0000044	XP_020880043.1	AL8G11840
OG0000044	XP_020867167.1	AL8G11900
OG0000044	XP_002884747.1	AL3G20910
OG0000044	XP_020890887.1	AL2G19370
OG0000044	XP_002863747.1	AL8G18470
OG0000044	XP_020875361.1	AL7G37760
OG0000046	XP_020871374.1, XP_020877131.1	AL4G10770
OG0000046	XP_020885942.1	AL5G16920, AL7G43910, AL3G42580
OG0000046	XP_002883785.1	AL8G24550, AL3G45110, AL3G45080
OG0000046	XP_020880655.1	AL6G44180
OG0000046	XP_020876919.1	AL3G43290
OG0000046	XP_002893924.2	AL1G51180
OG0000046	XP_020870337.1	AL4G17640
OG0000046	XP_020887727.1	AL3G40680
OG0000046	XP_020867102.1	AL1G60090
OG0000046	XP_020874078.1	AL7G41120
OG0000046	XP_020866165.1	AL1G53510
OG0000046	XP_020872615.1	AL4G20190, AL3G44690
OG0000046	XP_020878672.1	AL6G40760
OG0000048	XP_002864982.2	AL8G43560
OG0000048	XP_002881223.2	AL4G27770
OG0000048	XP_002879361.2	AL4G27390
OG0000048	XP_002894465.2	AL1G62520
OG0000048	XP_002886496.1	AL2G14000
OG0000048	XP_002886498.2	AL2G14020
OG0000049	XP_020866728.1	AL1G54600, AL7G49500, AL2G19430
OG0000049	XP_020887816.1	AL1G47310
OG0000050	XP_020880718.1, XP_002879393.2	AL4G27890
OG0000051	XP_020868191.1	AL1G20340
OG0000051	XP_002881850.2	AL4G40940
OG0000051	XP_002886390.1	AL2G11470
OG0000051	XP_002882601.1	AL3G20080
OG0000051	XP_020883122.1	AL4G40960
OG0000051	XP_020884766.1	AL4G40920
OG0000051	XP_020885237.1	AL4G40910
OG0000051	XP_020890130.1	AL2G15770
OG0000051	XP_002881853.1	AL4G41000
OG0000051	XP_020883310.1	AL4G41010
OG0000051	XP_020883311.1	AL4G41020
OG0000052	XP_020882518.1	AL5G15900
OG0000052	XP_020881407.1	AL5G15910
OG0000052	XP_002894621.2	AL1G65610
OG0000052	XP_020880077.1	AL5G31970
OG0000052	XP_020882208.1	AL5G28950
OG0000052	XP_020879878.1	AL5G28550
OG0000052	XP_020876149.1, XP_020879879.1	AL5G28540
OG0000055	XP_020889173.1	nbis-gene-725
OG0000055	XP_002883536.1	AL3G40140
OG0000055	XP_020888450.1	AL3G40130
OG0000055	XP_020888382.1	AL3G33990
OG0000055	XP_020888884.1	AL3G34120
OG0000055	XP_002885221.2	AL3G30730
OG0000055	XP_020889148.1	AL3G30470
OG0000055	XP_002862289.1	AL769U10010
OG0000055	XP_020877906.1	AL3G29740
OG0000055	XP_020889167.1	AL3G29670
OG0000055	XP_020883674.1	AL4G21820
OG0000055	XP_020876181.1	AL6G52510
OG0000055	XP_020886503.1	AL3G53160
OG0000055	XP_020887842.1	AL3G53140
OG0000055	XP_020886512.1	AL3G50860
OG0000055	XP_020889170.1	AL3G30370
OG0000056	XP_002886466.1	AL2G13390
OG0000056	XP_020890707.1	AL2G13990
OG0000056	XP_002886488.1	AL2G13770
OG0000056	XP_020865627.1	AL2G13820
OG0000056	XP_020890625.1	AL2G13790
OG0000056	XP_002888056.1	AL2G14110
OG0000056	XP_020891225.1	AL2G14090
OG0000056	XP_002888053.1	AL2G14070
OG0000056	XP_020891223.1	AL2G14080
OG0000056	XP_020880767.1	AL5G26170
OG0000058	XP_020868066.1	AL5G26550, AL920U10010
OG0000058	XP_020877514.1	AL3G30200, AL1G60100
OG0000059	XP_020878851.1	AL8G40920
OG0000059	XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1	AL7G34190
OG0000059	XP_020875483.1	AL5G34630
OG0000061	XP_020868372.1	AL1G55000
OG0000061	XP_020870753.1	AL1G54370
OG0000061	XP_020869081.1	AL1G25040
OG0000061	XP_020868711.1	AL1G25030
OG0000061	XP_020867733.1	AL1G54400
OG0000061	XP_002871528.2	AL6G23340
OG0000061	XP_020878246.1	AL6G23310
OG0000061	XP_020879494.1	nbis-gene-1510
OG0000061	XP_020874135.1	AL7G44920
OG0000061	XP_020873461.1	AL7G25770
OG0000061	XP_020877006.1	AL6G16510
OG0000061	XP_020874913.1	AL7G46170
OG0000061	XP_020870702.1	AL1G53180
OG0000061	XP_020886448.1	AL3G24690
OG0000061	XP_020870001.1	AL1G35400
OG0000064	XP_020865905.1	AL2G18870
OG0000064	XP_020865795.1, XP_020869663.1	nbis-gene-342
OG0000064	XP_002886749.1, XP_002886745.1	nbis-gene-435, nbis-gene-439
OG0000064	XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1	nbis-gene-434, nbis-gene-1420, nbis-gene-436
OG0000064	XP_002886750.1	nbis-gene-440
OG0000064	XP_020891452.1, XP_002886747.1	nbis-gene-437
OG0000064	XP_002862360.1	nbis-gene-1419
OG0000064	XP_002862386.1	nbis-gene-1176
OG0000064	XP_002863710.1	nbis-gene-2026
OG0000064	XP_002862438.1	nbis-gene-926
OG0000064	XP_002862385.1	nbis-gene-1175
OG0000064	XP_002863711.1, XP_020879695.1	nbis-gene-2028, nbis-gene-2027
OG0000064	XP_002863799.1	nbis-gene-2044
OG0000064	XP_020885190.1	nbis-gene-1
OG0000064	XP_002863708.1, XP_002863709.1	nbis-gene-2024, nbis-gene-2025
OG0000064	XP_002863706.1, XP_002863707.1	nbis-gene-2023
OG0000065	XP_020865823.1	AL2G25320
OG0000065	XP_020865819.1	AL2G25210
OG0000065	XP_020865821.1	AL2G25190
OG0000065	XP_002888564.2	AL2G25250, AL2G25260
OG0000065	XP_020865822.1	AL2G25180
OG0000065	XP_020865825.1	AL2G25200
OG0000065	XP_020873883.1	AL7G52590
OG0000065	XP_020872918.1	AL7G51420
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	AL6G20900, AL5G16700, AL1G66190, AL1G19680, AL6G20890
OG0000066	XP_020891413.1, XP_020877536.1	AL2G35590, AL6G41640
OG0000066	XP_020891414.1, XP_020886001.1	AL2G35580
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	AL6G21580
OG0000066	XP_020869687.1	AL1G32620
OG0000067	XP_020876559.1	AL1G31430
OG0000068	XP_020876030.1	AL6G15310
OG0000068	XP_020876026.1	AL6G14890
OG0000068	XP_020889396.1	AL3G20260
OG0000068	XP_020889441.1	AL3G20250, AL3G20240
OG0000068	XP_020868524.1	AL1G48230
OG0000068	XP_020886482.1	AL3G11550
OG0000068	XP_020871868.1	AL8G28020
OG0000068	XP_002864221.1	AL8G27750
OG0000068	XP_002883446.1	AL3G38420
OG0000068	XP_002873094.1	AL6G12880
OG0000068	XP_002871038.2	AL6G12910
OG0000068	XP_020879355.1	AL6G12860
OG0000068	XP_020881372.1	AL5G24850
OG0000068	XP_002871317.2	AL6G18740
OG0000069	XP_020886063.1	AL3G40410
OG0000069	XP_020871771.1	AL8G35170
OG0000069	XP_020880445.1	AL5G45620
OG0000069	XP_002883980.2	AL3G48630
OG0000069	XP_002893663.2	AL1G45330
OG0000069	XP_020868842.1	AL1G16270
OG0000069	XP_020870187.1	AL1G11090
OG0000069	XP_002877300.2	AL5G21850
OG0000069	XP_020881960.1	AL5G23770
OG0000069	XP_002878041.1	AL5G36780
OG0000069	XP_020882733.1	AL4G13470
OG0000069	XP_020887402.1	AL3G38360
OG0000070	XP_020867590.1	AL1G20940
OG0000070	XP_002883942.1	AL3G47920
OG0000070	XP_002875195.1	AL5G12840
OG0000070	XP_002875194.1	AL5G12830
OG0000070	XP_020885789.1	AL4G11370
OG0000070	XP_002890373.1	AL1G32980
OG0000070	XP_002887052.2	AL2G24470
OG0000070	XP_020891141.1	AL2G35960
OG0000070	XP_002863814.1	AL8G19640
OG0000070	XP_002878309.1	AL5G42190
OG0000070	XP_002867118.1	AL7G16760
OG0000072	XP_020891370.1	AL8G19360
OG0000072	XP_002865523.2	AL8G19010
OG0000072	XP_020889278.1	AL3G47230
OG0000073	XP_020866212.1, XP_020881839.1	AL5G25100
OG0000075	XP_002868913.1	AL7G11590
OG0000075	XP_002891313.1	AL1G52750
OG0000075	XP_002891316.2	AL1G52780
OG0000075	XP_002868917.2	nbis-gene-1691
OG0000075	XP_002868914.1	AL7G11600
OG0000075	XP_002874784.1	AL6G47530
OG0000075	XP_020874617.1	AL7G11690
OG0000075	XP_020875017.1	AL34U10100
OG0000075	XP_002863944.2	AL8G22340
OG0000075	XP_020875009.1	AL34U10110
OG0000075	XP_020871408.1	AL34U10130, AL8G22350
OG0000075	XP_020890734.1	AL2G16730
OG0000075	XP_020865611.1	AL2G16030
OG0000076	XP_020872718.1	AL7G10840
OG0000076	XP_020884728.1	AL4G29500
OG0000076	XP_002886268.1	AL3G53220
OG0000076	XP_020887308.1	AL8G13050
OG0000077	XP_020891534.1	AL2G25710
OG0000077	XP_020869035.1	AL8G13900
OG0000077	XP_002894680.1	AL1G67300
OG0000077	XP_020890791.1	AL2G18750
OG0000077	XP_020880678.1	AL5G12960
OG0000077	XP_020881582.1	AL5G12970
OG0000077	XP_020881188.1	AL5G12940
OG0000077	XP_020868196.1	AL1G20220
OG0000077	XP_020890121.1	AL2G15700
OG0000077	XP_002863849.1	nbis-gene-2073, AL8G20320
OG0000078	XP_002884413.1	AL3G13680
OG0000078	XP_020887050.1	AL3G13710
OG0000078	XP_020887049.1	AL3G13720
OG0000078	XP_020877805.1	AL6G29220
OG0000078	XP_020877807.1	AL6G29120
OG0000078	XP_002871799.1	AL6G29270
OG0000078	XP_020877812.1	AL6G29210
OG0000078	XP_002873872.1	AL6G29240
OG0000078	XP_002873870.1	AL6G29180
OG0000078	XP_020877813.1	AL6G29190
OG0000079	XP_020866196.1, XP_020866590.1	AL3G51940
OG0000079	XP_020884659.1, XP_020866719.1	AL1G57050, AL5G16890, AL1G58560, AL1G58670, AL4G20020
OG0000079	XP_020869681.1	AL1G30000
OG0000079	XP_020880717.1, XP_020866201.1, XP_020881865.1	AL5G27080
OG0000079	XP_020878083.1	AL8G14210
OG0000080	XP_020866750.1	nbis-gene-244
OG0000081	XP_020870247.1	AL2G21910
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1	AL1G31420, AL8G29100
OG0000081	XP_002874062.1	AL8G26420, AL6G33330
OG0000084	XP_020886073.1	AL3G40390
OG0000084	XP_020874751.1	AL4G40730
OG0000084	XP_020876480.1	AL60U10030
OG0000086	XP_002868825.1	AL7G53090
OG0000086	XP_002864819.1	AL8G39760
OG0000086	XP_002870581.1	AL7G46870
OG0000086	XP_002870579.2	AL7G46850
OG0000086	XP_020872358.1	nbis-gene-1913
OG0000086	XP_002868822.1	AL7G53060
OG0000086	XP_002868826.1	AL7G53100
OG0000086	XP_002868577.1	AL7G49470, AL7G47450
OG0000086	XP_020874198.1	AL7G53110
OG0000086	XP_020865653.1	AL2G24580
OG0000086	XP_020889890.1	AL2G24590
OG0000086	XP_020889891.1	AL2G24600
OG0000089	XP_020879374.1	AL6G35120
OG0000089	XP_020871804.1	AL8G39670
OG0000089	XP_020880680.1	AL5G25960
OG0000089	XP_020883550.1	AL4G24260
OG0000089	XP_002873559.1	AL6G23060
OG0000089	XP_002863588.1	AL8G15560
OG0000089	XP_020872103.1	AL7G33260
OG0000089	XP_002881356.1	AL4G30750
OG0000089	XP_020866480.1	AL1G32740
OG0000089	XP_020890671.1	AL2G35770
OG0000091	XP_002877545.1	AL5G26360
OG0000091	XP_020880186.1	AL5G26350
OG0000091	XP_002875847.2	AL5G26810
OG0000091	XP_002875849.2	AL5G26820
OG0000091	XP_020880709.1	AL5G26870
OG0000091	XP_020881827.1	AL5G23250
OG0000091	XP_020881857.1, XP_020881860.1	AL5G26340, AL5G26330
OG0000091	XP_020878730.1	AL6G32010
OG0000091	XP_002864053.1	AL8G24400
OG0000091	XP_020880184.1	AL5G26370
OG0000091	XP_020881863.1	AL5G26860
OG0000091	XP_020886823.1	AL3G46650
OG0000095	XP_002880754.1	AL4G18500
OG0000095	XP_020885291.1	AL4G15500
OG0000095	XP_020884026.1	AL4G18540
OG0000095	XP_020884025.1	AL4G18560
OG0000095	XP_020884027.1	AL4G18550
OG0000095	XP_002880752.2	nbis-gene-1001
OG0000095	XP_002878788.1	AL4G15620
OG0000095	XP_020883521.1	AL4G15530
OG0000095	XP_020884655.1	nbis-gene-1002
OG0000095	XP_002878787.2	AL4G15600
OG0000095	XP_020885162.1	AL4G15550
OG0000095	XP_002880755.1	AL4G18510
OG0000095	XP_002880625.1	AL4G15660
OG0000095	XP_002880565.1	AL4G14510
OG0000095	XP_020884335.1	AL4G14520
OG0000096	XP_020884689.1	AL4G22680
OG0000096	XP_002885709.2	AL3G41350
OG0000096	XP_020888916.1	AL3G41330
OG0000096	XP_002885705.1	AL3G41320
OG0000096	XP_002885707.1	AL3G41340
OG0000096	XP_020871755.1	nbis-gene-1973
OG0000096	XP_002885251.1	AL3G31600
OG0000096	XP_020886661.1	AL3G31620
OG0000096	XP_020889300.1	AL3G31610
OG0000096	XP_020865803.1	AL439U10010
OG0000096	XP_020886742.1	AL3G32310
OG0000096	XP_002883180.1	AL3G32820
OG0000096	XP_002884070.2	AL3G50560
OG0000096	XP_020889406.1	AL3G31580
OG0000096	XP_002872691.1	AL3G22030
OG0000096	XP_020888942.1	AL3G31590
OG0000097	XP_020866184.1	AL3G45200, AL1G53250, AL1G56270
OG0000098	XP_002883751.1	AL3G44020
OG0000098	XP_002883752.1	AL3G44030
OG0000098	XP_020887764.1	AL3G44060
OG0000098	XP_020889445.1	nbis-gene-805
OG0000098	XP_020865728.1	AL2G26330
OG0000098	XP_002883835.2	nbis-gene-844
OG0000098	XP_002893476.1	AL1G41020, AL1G41000, AL1G41010
OG0000098	XP_020869068.1	AL1G40990
OG0000098	XP_020885549.1	AL4G14170
OG0000098	XP_020876145.1	AL6G44880
OG0000098	XP_020879189.1	AL6G37020
OG0000098	XP_002874257.1	AL6G37130
OG0000100	XP_020890843.1	AL2G11240
OG0000100	XP_020867631.1	AL1G66260
OG0000100	XP_020867629.1	AL1G66350
