Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_thaliana
OG0000154	XP_020867946.1	AT1G50820.2
OG0000157	XP_020869575.1, XP_020870755.1	AT1G30790.1
OG0000157	XP_020866682.1, XP_002893779.1, XP_020870907.1	AT1G32660.1
OG0000160	XP_020888881.1	AT2G18960.1
OG0000160	XP_020872380.1	AT4G30190.2
OG0000160	XP_020870964.1	AT5G57350.1
OG0000160	XP_020889051.1	AT2G07560.1
OG0000160	XP_020882578.1	AT3G42640.1
OG0000160	XP_020890865.1	AT1G80660.1
OG0000160	XP_020885195.1	AT2G24520.2
OG0000162	XP_002879436.2	AT2G33200.1
OG0000162	XP_002879435.1	AT2G33190.1
OG0000162	XP_020880682.1	AT2G03560.1
OG0000162	XP_020874590.1, XP_020875337.1, XP_002893105.1	AT5G38270.1
OG0000162	XP_020888514.1	AT2G04830.1
OG0000162	XP_002883663.1	AT2G04810.1
OG0000162	XP_020887605.1	AT2G04840.1
OG0000165	XP_002883872.1	AT2G15010.1
OG0000165	XP_002870492.1	AT5G36910.1
OG0000166	XP_020882873.1	AT2G25470.3
OG0000166	XP_020865592.1	AT1G74190.1
OG0000167	XP_020876857.1	AT4G10190.1
OG0000167	XP_020888465.1, XP_020886358.1	AT3G21170.1
OG0000167	XP_020889511.1	AT3G23260.1
OG0000169	XP_020887101.1	AT2G16450.1, AT2G15640.1
OG0000169	XP_002876844.2, XP_002876846.1, XP_020879732.1, XP_002876845.1, XP_002876847.2	AT2G02660.1, AT2G02890.1
OG0000169	XP_020868436.1	AT1G47340.1
OG0000169	XP_020883080.1	AT1G47300.1
OG0000170	XP_002882022.1	AT2G45580.1
OG0000170	XP_020882337.1	AT3G61040.1
OG0000170	XP_002882021.1	AT2G45570.1
OG0000170	XP_002882020.2	AT2G45560.1
OG0000171	XP_002865968.1	AT5G53300.1
OG0000171	XP_020874812.1	AT5G41700.4
OG0000171	XP_002887912.1	AT1G64230.4
OG0000171	XP_020888018.1	AT2G16740.1
OG0000171	XP_020891046.1	AT5G56150.1
OG0000171	XP_020888570.1	AT3G08690.1
OG0000171	XP_002867477.1	AT4G27960.2
OG0000172	XP_020874182.1	AT2G02520.1, AT4G05095.1, AT3G25727.1
OG0000172	XP_020866176.1	AT5G16486.1
OG0000172	XP_020890770.1	AT5G28615.1, AT4G04650.1
OG0000172	XP_020881656.1, XP_020876232.1	AT1G43730.1
OG0000173	XP_020886346.1	AT3G24610.1
OG0000174	XP_020876483.1	AT5G33393.1
OG0000175	XP_020870037.1, XP_020890687.1	AT1G23490.1, AT1G70490.1
OG0000175	XP_002871626.1	AT5G14670.1
OG0000175	XP_020883923.1	AT3G62290.1
OG0000176	XP_020888844.1	AT3G05370.1
OG0000176	XP_020888110.1	AT3G05360.1
OG0000176	XP_020889939.1	AT1G71390.2
OG0000176	XP_020865931.1, XP_020872871.1	AT1G71400.1
OG0000177	XP_020869470.1, XP_020869469.1	AT1G21240.1
OG0000177	XP_020869472.1	AT1G21250.1
OG0000177	XP_020869364.1, XP_002890432.1	AT1G21230.1
OG0000177	XP_020889073.1	AT3G25490.1
OG0000177	XP_020869473.1	AT1G21270.1
OG0000178	XP_002874799.1	AT4G04490.1
OG0000178	XP_002872696.1	AT4G04510.2
OG0000178	XP_020877648.1	AT4G04500.1
OG0000178	XP_020877653.1	AT4G04570.1
OG0000178	XP_002872697.1	AT4G04540.1
OG0000179	XP_020891727.1	AT1G58390.1
OG0000179	XP_020889719.1	AT1G59124.2, AT1G58807.1, AT1G59218.1, AT1G58848.1, AT1G58602.1
OG0000182	XP_020880330.1	AT3G61100.1
OG0000182	XP_020880329.1	AT3G61090.1
OG0000183	XP_002888498.1, XP_002870564.1	AT1G66410.2, AT5G37780.3
OG0000183	XP_020877395.1	AT5G21274.1
OG0000183	XP_002879035.1	AT2G27030.3
OG0000184	XP_020885996.1	AT3G21980.1
OG0000184	XP_002885573.2	AT3G22040.1
OG0000185	XP_020886010.1	AT3G19520.3
OG0000185	XP_020870626.1	AT1G19060.1
OG0000185	XP_002891127.1, XP_002891130.1	AT1G02770.1
OG0000185	XP_020871016.1, XP_020867770.1	AT1G23970.2, AT1G23950.2
OG0000185	XP_020866285.1	AT1G23960.1
OG0000185	XP_002890779.1	AT1G27860.1, AT1G28500.1
OG0000186	XP_020879077.1	AT1G53340.2
OG0000186	XP_020881811.1	AT5G46660.1
OG0000186	XP_020882021.1	AT3G26550.1
OG0000186	XP_020891309.1	AT1G61840.1
OG0000186	XP_020882765.1	AT2G40050.1
OG0000187	XP_020882989.1	AT2G21680.1
OG0000187	XP_020869806.1	AT1G19460.1, AT1G19470.1
OG0000187	XP_020883121.1	AT2G29780.1
OG0000187	XP_020885184.1	AT2G29770.1
OG0000187	XP_020884986.1	AT2G29600.1
OG0000187	XP_020885024.1, XP_020885006.1	AT2G29800.1
OG0000187	XP_020885032.1	AT2G29830.1, AT2G29820.1
