Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_arenosa
OG0000022	XP_020891718.1	jg663
OG0000022	XP_020891198.1	jg481
OG0000022	XP_020865792.1	jg538
OG0000022	XP_020865844.1	jg612
OG0000022	XP_020890513.1	jg610
OG0000022	XP_020865987.1	jg611
OG0000022	XP_020890773.1	jg638
OG0000022	XP_002885504.2	jg26478
OG0000022	XP_020869509.1	jg29724
OG0000022	XP_020868327.1	jg29708, jg29704
OG0000022	XP_020870640.1, XP_020868325.1	jg29712
OG0000022	XP_020869508.1	jg29722, jg29734
OG0000022	XP_020870927.1	jg29678, jg29676
OG0000022	XP_020865918.1	jg372
OG0000022	XP_002868609.1	jg12744
OG0000022	XP_002883021.2	jg25741
OG0000023	XP_020890011.1	jg1550, jg27237, jg27744
OG0000023	XP_020888454.1	jg7019, jg10010, jg11895, jg12128, jg11974, jg21172, jg31034, jg12143, jg17365, jg32719, jg31024, jg26946
OG0000023	XP_020866256.1	jg12319
OG0000024	XP_020870297.1	jg31700
OG0000024	XP_020870502.1	jg31701
OG0000024	XP_020866340.1	jg31702, jg31695
OG0000024	XP_002890925.2	jg31706
OG0000024	XP_020869389.1	jg31676
OG0000024	XP_020869783.1	jg31674
OG0000024	XP_020866486.1	jg31678
OG0000024	XP_020866487.1, XP_002893661.2	jg31679
OG0000024	XP_020869388.1	jg31677
OG0000024	XP_020866666.1	jg31709
OG0000024	XP_002890932.2, XP_002890929.1	jg31713
OG0000024	XP_002890930.2, XP_002890933.2	jg31714
OG0000024	XP_002888578.2	jg2233
OG0000024	XP_020883507.1	jg16933
OG0000024	XP_020883506.1	jg16932
OG0000024	XP_002890934.2	jg31715
OG0000024	XP_020866341.1	jg31705
OG0000024	XP_020866613.1	jg31953, jg31952
OG0000024	XP_002893705.2	jg31856
OG0000024	XP_002893704.2	jg31855
OG0000024	XP_002890926.2	jg31708
OG0000024	XP_002893706.2	jg31857
OG0000024	XP_020888987.1	jg27402
OG0000024	XP_020881113.1	jg15696
OG0000024	XP_020879759.1	jg15770
OG0000024	XP_020879758.1	jg15771
OG0000024	XP_002875716.2	jg14278
OG0000025	XP_020881073.1, XP_020879655.1	jg7349, jg6966, jg1482, jg14688, jg1903, jg6980
OG0000025	XP_020876192.1	jg27352
OG0000026	XP_020879791.1	jg6878
OG0000027	XP_020878446.1	jg7518, jg7519
OG0000027	XP_020878445.1	jg7517
OG0000027	XP_002872592.1	jg7521
OG0000027	XP_020877175.1, XP_002872595.1	jg7523
OG0000027	XP_020873345.1	jg10189
OG0000027	XP_020878447.1, XP_020878438.1	jg7515
OG0000027	XP_020873367.1	jg10181
OG0000027	XP_020873352.1	jg10191
OG0000027	XP_020867640.1	jg7537, jg7533, jg7530
OG0000027	XP_002867727.1	jg10192
OG0000027	XP_020873349.1	jg10190
OG0000028	XP_020885754.1	jg22446
OG0000028	XP_020874777.1	jg11446
OG0000028	XP_020871166.1	jg22443, jg22441
OG0000028	XP_020886436.1	jg22952
OG0000028	XP_020873863.1	jg8944
OG0000028	XP_020875058.1, XP_020872452.1	jg8946
OG0000028	XP_002864330.1	jg22236
OG0000028	XP_002864331.1	jg22237
OG0000028	XP_020872014.1	jg22427, jg22428
OG0000028	XP_020877991.1	jg22247
OG0000028	XP_020873006.1	jg22219, jg12583, jg12582
OG0000028	XP_020867892.1	jg23436, jg23431
OG0000028	XP_020875061.1	jg8750
OG0000028	XP_020871243.1	jg23433, jg23437
OG0000028	XP_020867900.1	jg23430
OG0000028	XP_020865869.1	jg22006
OG0000028	XP_020865879.1	jg22007
OG0000028	XP_020877806.1	jg22259
OG0000028	XP_020880460.1	jg22278, jg22269
OG0000028	XP_020880469.1, XP_020880478.1	jg22270, jg22279, jg22262
OG0000029	XP_020869142.1, XP_020881896.1	jg33138, jg30060, jg20837
OG0000029	XP_020871888.1	jg1780, jg13951
OG0000029	XP_020874443.1	jg21311, jg32932, jg1778
OG0000030	XP_020871692.1	jg26153
OG0000030	XP_020871677.1, XP_020888510.1	jg26152
OG0000030	XP_002890504.1	jg30787
OG0000030	XP_002893432.1, XP_020866580.1	jg31202
OG0000030	XP_002868173.1	jg11086
OG0000030	XP_020879678.1	jg14799
OG0000030	XP_020881930.1	jg17824
OG0000030	XP_020880910.1	jg14802
OG0000030	XP_020889857.1	jg2112
OG0000030	XP_020869589.1	jg29499
OG0000030	XP_020885911.1	jg10900
OG0000030	XP_020888486.1	jg25272
OG0000030	XP_002884981.1	jg738
OG0000030	XP_002884979.1	jg25360
OG0000034	XP_002869784.2	jg10193
OG0000034	XP_020873361.1	jg10206
OG0000034	XP_020873360.1	jg10426
OG0000034	XP_002867849.1	jg10425
OG0000034	XP_020873368.1	jg10207
OG0000034	XP_020873845.1	jg10186
OG0000034	XP_020873356.1	jg10202, jg10195
OG0000034	XP_020873366.1	jg10208
OG0000034	XP_020872543.1	jg10177
OG0000035	XP_020875318.1	jg32621
OG0000035	XP_020870256.1, XP_020884941.1, XP_020875756.1	jg13872
OG0000035	XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1	jg13873
OG0000035	XP_020883599.1	jg13724
OG0000035	XP_020884365.1, XP_020876202.1, XP_020876425.1	jg27423, jg13741, jg10108, jg1332, jg28701, jg17048, jg13502
OG0000038	XP_020873505.1	jg27503
OG0000040	XP_020888726.1	jg17939
OG0000042	XP_020876174.1	jg26487, jg900, jg2222
OG0000044	XP_020880050.1, XP_020868157.1	jg21834
OG0000044	XP_020877446.1	jg7084, jg7157
OG0000044	XP_002865187.1	jg20417
OG0000044	XP_020881042.1	jg20420
OG0000044	XP_020879725.1	jg13687, jg20423
OG0000044	XP_020881036.1	jg20419
OG0000044	XP_020878609.1	jg20443
OG0000044	XP_002865186.1	jg20416
OG0000044	XP_020880043.1	jg20412
OG0000044	XP_020867167.1	jg20415
OG0000044	XP_020890887.1	jg1752
OG0000044	XP_002863747.1	jg21037
OG0000044	XP_020875361.1	jg10924
OG0000046	XP_020885942.1	jg13501, jg20886
OG0000046	XP_002883785.1	jg29315
OG0000046	XP_020880655.1	jg17523
OG0000046	XP_020882740.1, XP_002893924.2, XP_020870337.1	jg14196
OG0000046	XP_020872615.1, XP_020878672.1, XP_020882823.1	jg1035
OG0000046	XP_020877149.1	jg17283
OG0000046	XP_020879796.1, XP_020872313.1	jg1573
OG0000046	XP_020883604.1	jg1834
OG0000046	XP_020876127.1	jg309
OG0000048	XP_002864982.2	jg23606
OG0000048	XP_002881223.2	jg18309
OG0000048	XP_002879361.2	jg18271
OG0000048	XP_002894465.2	jg33607
OG0000048	XP_020886243.1	jg25048
OG0000048	XP_002886496.1, XP_002886498.2	jg740
OG0000051	XP_020868191.1	jg29349
OG0000051	XP_020885498.1	jg19557
OG0000051	XP_002881850.2	jg19555
OG0000051	XP_002886390.1	jg497
OG0000051	XP_002882601.1	jg24823
OG0000051	XP_020883122.1	jg19558
OG0000051	XP_020884766.1	jg19551
OG0000051	XP_020885237.1	jg19550
OG0000051	XP_020890130.1	jg907
OG0000051	XP_020883307.1	jg19560
OG0000051	XP_002881853.1	jg19561
OG0000051	XP_020883310.1	jg19562
OG0000051	XP_020883308.1	jg19563
OG0000051	XP_020883311.1	jg19564
OG0000052	XP_020882518.1	jg13388
OG0000052	XP_020882260.1	jg13373
OG0000052	XP_020881407.1	jg13389
OG0000052	XP_020881410.1, XP_020881406.1	jg13391
OG0000052	XP_002894621.2	jg1458, jg1459
OG0000052	XP_020881195.1	jg13394
OG0000052	XP_020881409.1	jg13393
OG0000052	XP_020881215.1	jg15188
OG0000052	XP_020881213.1	jg15190
OG0000052	XP_020881212.1	jg15192
OG0000052	XP_020881214.1	jg15191
OG0000052	XP_020880077.1	jg15039
OG0000052	XP_020882208.1	jg14762
OG0000052	XP_020879880.1	jg14733
OG0000052	XP_020879882.1	jg14732
OG0000052	XP_020879883.1	jg14734
OG0000052	XP_020879991.1	jg14739
OG0000052	XP_020879878.1	jg14731, jg14730
OG0000052	XP_020876149.1, XP_020879879.1	jg14729
OG0000052	XP_020886942.1	jg20319
OG0000052	XP_020879992.1	jg21516
OG0000055	XP_020889173.1	jg25886
OG0000055	XP_002883536.1	jg26785
OG0000055	XP_020886775.1, XP_020888382.1, XP_020888884.1	jg26196, jg26181
OG0000055	XP_002862289.1	jg12073
OG0000055	XP_020877906.1	jg25753
OG0000055	XP_020889167.1	jg25759, jg25744
OG0000055	XP_020883674.1	jg17788
OG0000055	XP_020876181.1	jg8147
OG0000055	XP_020886503.1	jg28057
OG0000055	XP_020887842.1	jg28058
OG0000055	XP_020886512.1	jg27919
OG0000055	XP_020889170.1	jg25830
OG0000056	XP_002886466.1	jg674
OG0000056	XP_020890707.1	jg739
OG0000056	XP_002886488.1	jg721
OG0000056	XP_020865627.1	jg726
OG0000056	XP_020891225.1	jg747
OG0000056	XP_002888053.1	jg745
OG0000056	XP_020891223.1	jg746
OG0000056	XP_020880767.1	jg14491
OG0000058	XP_020868066.1	jg16618
OG0000058	XP_020877514.1	jg17522, jg31083, jg21000
OG0000059	XP_020878851.1	jg1077
OG0000059	XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1	jg4817, jg25268, jg5943, jg32839, jg11480, jg33384
OG0000059	XP_020875483.1	jg27640, jg13837
OG0000061	XP_020868372.1	jg32915
OG0000061	XP_020870753.1	jg32548, jg32845, jg32861
OG0000061	XP_020869081.1, XP_020868711.1	jg32993
OG0000061	XP_020867733.1	jg32859, jg32550, jg32843, jg32866, jg32855
OG0000061	XP_002871528.2	jg5088
OG0000061	XP_020878246.1, XP_020879494.1	jg32841, jg32864, jg32857, jg32551
OG0000061	XP_020874913.1	jg12190
OG0000061	XP_020886448.1	jg25262
OG0000061	XP_020884191.1	jg18014
OG0000061	XP_020885088.1	jg18016, jg18020
OG0000061	XP_020891333.1	jg375
OG0000061	XP_020888256.1	jg20934
OG0000062	XP_020871212.1, XP_020876453.1	jg21178
OG0000062	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	jg32622
OG0000064	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276
OG0000064	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1	jg20985
OG0000064	XP_002863799.1	jg20983
OG0000064	XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	jg20980, jg20974, jg20975, jg20973
OG0000065	XP_020865720.1	jg2192
OG0000065	XP_020865823.1	jg2209, jg2212
OG0000065	XP_020865819.1	jg2195
OG0000065	XP_020865822.1	jg2188
OG0000065	XP_020865825.1	jg2193
OG0000065	XP_020876931.1	jg6601
OG0000065	XP_020873881.1	jg12330
OG0000065	XP_020873883.1	jg12337
OG0000065	XP_002868795.2	jg12331
OG0000065	XP_020872917.1	jg12464
OG0000065	XP_020872918.1	jg12463
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	jg1404, jg13471, jg4871, jg4870, jg29279
OG0000066	XP_020891413.1, XP_020877536.1	jg3219, jg3220
OG0000066	XP_020891414.1, XP_020886001.1	jg27126
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	jg4927
OG0000066	XP_020869687.1	jg30515
OG0000067	XP_020891542.1	jg20815, jg24929, jg28031, jg1126, jg17679
OG0000067	XP_020874420.1	jg32532
OG0000067	XP_020876559.1	jg6462, jg31439, jg5264
OG0000067	XP_020865924.1	jg14037
OG0000068	XP_020876030.1, XP_020876026.1	jg4261, jg4260
OG0000068	XP_020889396.1	jg24839
OG0000068	XP_020889441.1	jg24838
OG0000068	XP_020868524.1	jg32039
OG0000068	XP_020877300.1	jg24042
OG0000068	XP_020886482.1	jg24037, jg24035
OG0000068	XP_020871868.1	jg22052
OG0000068	XP_002864221.1	jg22033, jg22034
OG0000068	XP_020879355.1	jg4089
OG0000068	XP_020881372.1	jg14390, jg14389
OG0000068	XP_002871317.2	jg4679
OG0000069	XP_020880445.1	jg16351
OG0000069	XP_002883980.2	jg28153, jg28151
OG0000069	XP_002893663.2	jg15319
OG0000069	XP_020867217.1, XP_020868842.1	jg28979
OG0000069	XP_020870187.1	jg28492
OG0000069	XP_002877300.2	jg14067
OG0000069	XP_002878041.1	jg15499
OG0000069	XP_020882733.1	jg16809
OG0000070	XP_020867590.1	jg29403
OG0000070	XP_002883942.1	jg28225, jg28226
OG0000070	XP_002875195.1	jg13116
OG0000070	XP_002875194.1	jg13115
OG0000070	XP_020885789.1	jg16631, jg30544
OG0000070	XP_002887052.2	jg4483
OG0000070	XP_020891141.1	jg3251
OG0000070	XP_002863814.1	jg21183
OG0000070	XP_002878309.1	jg16054
OG0000070	XP_002867118.1	jg8905
OG0000072	XP_020891370.1	jg12160
OG0000072	XP_002865523.2	jg21424, jg13720, jg16912
OG0000072	XP_020876164.1	jg7100, jg12084, jg27349
OG0000072	XP_020889278.1	jg7332, jg11849
OG0000072	XP_020891624.1	jg20178
OG0000073	XP_020866212.1, XP_020881839.1	jg1433, jg11779, jg26607
OG0000075	XP_002868913.1	jg8424, jg8422
OG0000075	XP_002891313.1	jg32682
OG0000075	XP_002891316.2	jg32692
OG0000075	XP_020875509.1	jg8427
OG0000075	XP_002868917.2	jg8428
OG0000075	XP_002868914.1	jg8425
OG0000075	XP_002874784.1	jg7663
OG0000075	XP_020874617.1	jg8426
OG0000075	XP_020875017.1, XP_002863944.2	jg21500
OG0000075	XP_020875009.1	jg21503
OG0000075	XP_020890734.1	jg1000
OG0000075	XP_020865611.1	jg934
OG0000076	XP_020872718.1	jg8362
OG0000076	XP_020884728.1	jg18482
OG0000077	XP_020884560.1	jg20644
OG0000077	XP_020891534.1	jg2240
OG0000077	XP_002894680.1	jg1310
OG0000077	XP_020891276.1	jg1247
OG0000077	XP_020890791.1	jg1261
OG0000077	XP_020881582.1, XP_020881188.1	jg13128
OG0000077	XP_020868196.1	jg29337
OG0000077	XP_020890121.1	jg902
OG0000078	XP_020887050.1	jg24236
OG0000078	XP_020887049.1	jg24237
OG0000078	XP_020877805.1	jg5644
OG0000078	XP_020877807.1	jg5634
OG0000078	XP_020877812.1, XP_002873872.1	jg5643
OG0000078	XP_002873870.1	jg5648
OG0000078	XP_020877813.1	jg5639
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	jg7377
OG0000080	XP_020866750.1	jg6819
OG0000081	XP_020870247.1	jg17678
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1	jg5265
OG0000081	XP_002874062.1	jg31440, jg25892, jg12998
OG0000081	XP_020882894.1	jg14036, jg6463
OG0000086	XP_002864819.1	jg23234
OG0000086	XP_002870581.1	jg12273, jg12262
OG0000086	XP_002870579.2	jg12260
OG0000086	XP_020872358.1, XP_002868822.1, XP_002868821.2	jg12270
OG0000086	XP_002868577.1	jg12265, jg12276
OG0000086	XP_020874198.1	jg12266, jg12277
OG0000086	XP_020865653.1	jg2126, jg2127
OG0000086	XP_020889890.1	jg2128
OG0000086	XP_020889891.1	jg2129
OG0000089	XP_020879374.1	jg6235
OG0000089	XP_020871804.1	jg23223
OG0000089	XP_020883550.1	jg17972
OG0000089	XP_002873559.1	jg5068
OG0000089	XP_002863588.1	jg20749
OG0000089	XP_020872103.1	jg10485
OG0000089	XP_002881356.1	jg18593
OG0000089	XP_020866480.1	jg30528
OG0000089	XP_020890671.1	jg3235
OG0000091	XP_002877545.1, XP_020880186.1	jg14507
OG0000091	XP_002875847.2	jg14558
OG0000091	XP_020880709.1	jg14563
OG0000091	XP_002880903.1	jg17633
OG0000091	XP_020881827.1	jg14230, jg14231
OG0000091	XP_020878730.1	jg5910
OG0000091	XP_002864053.1	jg21695
OG0000091	XP_020881863.1	jg14562
OG0000091	XP_020886823.1	jg27525
OG0000095	XP_002880754.1	jg17272
OG0000095	XP_020885291.1	jg16984
OG0000095	XP_020884025.1	jg17289
OG0000095	XP_020884027.1	jg16989, jg17288
OG0000095	XP_002878788.1	jg17270, jg17392, jg16998, jg17271
OG0000095	XP_020883521.1	jg16988
OG0000095	XP_002878787.2	jg16997
OG0000095	XP_020885162.1	jg16996
OG0000095	XP_002880755.1	jg16995, jg17274
OG0000095	XP_002880625.1	jg17286, jg17001, jg16991
OG0000095	XP_002880565.1	jg16897
OG0000095	XP_020884335.1	jg16899
OG0000096	XP_020884689.1	jg17691
OG0000096	XP_002885709.2	jg26888
OG0000096	XP_002885707.1	jg26886
OG0000096	XP_002885251.1	jg25959, jg6741
OG0000096	XP_020886661.1	jg26029, jg25961, jg6747
OG0000096	XP_020889300.1	jg25960, jg6746
OG0000096	XP_020865803.1	jg25966, jg12059, jg25964, jg25967
OG0000096	XP_020886742.1	jg26027, jg26030
OG0000096	XP_002883180.1	jg26079
OG0000096	XP_002884070.2	jg27891
OG0000096	XP_020889406.1	jg25957
OG0000096	XP_002872691.1	jg27435
OG0000096	XP_020888942.1	jg6740, jg25958
OG0000097	XP_020866184.1	jg17571
OG0000098	XP_002883751.1	jg27221
OG0000098	XP_002883752.1	jg27229
OG0000098	XP_020887764.1	jg27264
OG0000098	XP_020889445.1	jg27107
OG0000098	XP_020865728.1	jg2306
OG0000098	XP_002883835.2	jg27471
OG0000098	XP_002893476.1	jg17595
OG0000098	XP_020869068.1	jg31284
OG0000098	XP_020885549.1	jg16872
OG0000098	XP_020876145.1	jg7433
OG0000098	XP_020879189.1	jg6403
OG0000098	XP_002874257.1	jg6402, jg6418
OG0000100	XP_020867631.1	jg1396
OG0000100	XP_020867629.1	jg1380, jg1381
OG0000100	XP_002886645.1	jg1001
OG0000100	XP_020891283.1	jg492
OG0000100	XP_020875192.1	jg11338
OG0000100	XP_020890033.1	jg777
OG0000100	XP_002886080.1	jg27782
OG0000100	XP_020891540.1, XP_002886379.1	jg471
OG0000101	XP_020883425.1	jg27510
OG0000102	XP_020876465.1	jg7820
OG0000102	XP_002874669.1, XP_020877173.1, XP_020876443.1, XP_002862572.1	jg7814
OG0000102	XP_002874844.1	jg7815, jg7812, jg7813
OG0000102	XP_002863972.2	jg21543
OG0000102	XP_002874850.1	jg7817
OG0000102	XP_002865915.2	jg7818, jg11552
OG0000102	XP_002874852.1	jg7819
OG0000102	XP_002874842.1	jg7810
OG0000106	XP_020871478.1	jg17558
OG0000106	XP_020889746.1	jg25723
OG0000107	XP_020887921.1	jg26161
OG0000107	XP_002883228.1	jg26159
OG0000107	XP_002883226.2	jg26157
OG0000107	XP_020886789.1	jg26163
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	jg15311
OG0000108	XP_020882238.1, XP_020871933.1	jg14433, jg22870
OG0000108	XP_020876820.1	jg4799
OG0000108	XP_002879968.1	jg19509
OG0000108	XP_002879967.1	jg19508
OG0000109	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1	jg17478
OG0000109	XP_020866785.1	jg1859
OG0000109	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1	jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	XP_002866863.2	jg25795, jg13800
OG0000111	XP_002874511.1, XP_002874510.1	jg7195, jg7197, jg7196
OG0000111	XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1	jg7198
OG0000111	XP_002876201.1	jg26895
OG0000111	XP_002875482.1	jg13696, jg13695, jg13697
OG0000111	XP_020865753.1	jg3144
OG0000114	XP_020885335.1	jg16945, jg14091
OG0000114	XP_020881794.1	jg21201, jg6956, jg16952, jg32081, jg32308
OG0000114	XP_020882022.1	jg13973
OG0000114	XP_020878269.1, XP_020886207.1	jg6733
OG0000115	XP_020889357.1	jg29546
OG0000116	XP_020885057.1	jg16608, jg16609
OG0000117	XP_020866886.1	jg30936
OG0000117	XP_020870031.1	jg30922
OG0000117	XP_020869256.1	jg30923, jg30924
OG0000117	XP_002893298.1	jg30934
OG0000117	XP_020869910.1	jg30937
OG0000117	XP_020866884.1	jg30935
OG0000117	XP_002893302.1	jg30938
OG0000117	XP_002893291.1	jg30929
OG0000118	XP_002881592.1	jg19019
OG0000118	XP_020882923.1	jg19043
OG0000118	XP_020882845.1	jg19023
OG0000118	XP_020882847.1	jg19021
OG0000118	XP_020885096.1	jg19020
OG0000118	XP_020875172.1	jg12773
OG0000118	XP_002888470.1	jg2031
OG0000118	XP_020877537.1	jg7426
OG0000118	XP_020888665.1	jg24182
OG0000118	XP_020886930.1	jg26523
OG0000118	XP_020886515.1	jg24305
OG0000118	XP_002885586.1	jg26627
OG0000118	XP_020888654.1	jg26631
OG0000119	XP_020881724.1	jg14325
OG0000119	XP_020881732.1	jg14319
OG0000119	XP_002878927.2	jg17260
OG0000119	XP_020885607.1	jg17259
OG0000119	XP_002878925.2	jg17257
OG0000119	XP_002875622.2	jg14055
OG0000119	XP_020881725.1	jg14324
OG0000119	XP_020876007.1	jg4290
OG0000119	XP_020881747.1	jg14313
OG0000119	XP_002877410.2	jg14315
OG0000119	XP_020881729.1	jg14316
OG0000119	XP_020881738.1	jg14330, jg14326, jg14002
OG0000119	XP_020881737.1	jg14327
OG0000119	XP_020881735.1	jg14314
OG0000122	XP_020879776.1	jg22487
OG0000122	XP_020866883.1	jg22509
OG0000122	XP_020871241.1	jg22486
OG0000122	XP_002864448.2	jg22485
OG0000122	XP_020865748.1	jg22508
OG0000123	XP_002864096.1	jg21770
OG0000123	XP_002863574.1	jg20712
OG0000123	XP_020882864.1	jg23040
OG0000123	XP_020868841.1	jg29450
OG0000123	XP_002879068.2	jg17599
OG0000123	XP_002864712.1	jg27950, jg23041
OG0000123	XP_002878578.1	jg16607
OG0000124	XP_020875630.1	jg12674
OG0000125	XP_020885175.1	jg17896
OG0000125	XP_020885247.1	jg17890, jg17891, jg17887
OG0000125	XP_020870885.1	jg29111
OG0000125	XP_020866497.1	jg33004
OG0000125	XP_020870264.1	jg33352
OG0000125	XP_020870260.1	jg33355
OG0000125	XP_020870262.1	jg33347
OG0000125	XP_020886058.1	jg26323
OG0000125	XP_020870266.1	jg33349
OG0000126	XP_020885553.1	jg17588
OG0000126	XP_020888411.1	jg1156, jg1158
OG0000126	XP_020872581.1	jg32822
OG0000126	XP_020875868.1	jg10194, jg10477
OG0000127	XP_020868538.1	jg29136
OG0000127	XP_002874101.1	jg6123
OG0000127	XP_002873061.1	jg3993
OG0000127	XP_020887259.1	jg24874
OG0000127	XP_020880339.1	jg21256
OG0000127	XP_020872447.1, XP_002864658.2	jg22931
OG0000127	XP_020880863.1	jg14378
OG0000127	XP_002877451.1	jg14383
OG0000127	XP_002879182.1	jg17851
OG0000128	XP_020879608.1	jg15964
OG0000128	XP_020879609.1	jg15966
OG0000128	XP_020879607.1	jg15965
OG0000128	XP_020882191.1	jg13485
OG0000128	XP_020880511.1	jg15959
OG0000128	XP_020880525.1	jg15960
OG0000128	XP_020891638.1	jg1161
OG0000128	XP_002870336.2	jg11381
OG0000129	XP_020890882.1	jg1820
OG0000129	XP_020890886.1	jg1822, jg1705, jg1715
OG0000129	XP_020890883.1	jg1847
OG0000129	XP_020867988.1	jg33436, jg33435
OG0000129	XP_002864761.1	jg23141
OG0000129	XP_020871006.1	jg23140
OG0000129	XP_020885823.1	jg17685, jg17683
OG0000129	XP_002879145.1	jg17687
OG0000129	XP_020889363.1	jg21823
OG0000129	XP_020890885.1	jg1819
OG0000130	XP_002878891.2	jg32651, jg20179
OG0000130	XP_020866161.1	jg27275
OG0000132	XP_020880888.1	jg15428
OG0000132	XP_020878937.1	jg7387
OG0000132	XP_020877053.1	jg7388
OG0000132	XP_020882481.1, XP_020882467.1	jg23313
OG0000132	XP_020871481.1, XP_020883459.1	jg23312
OG0000132	XP_020871248.1, XP_020872039.1	jg12398
OG0000132	XP_020873181.1	jg12393
OG0000132	XP_020875462.1	jg12395
OG0000134	XP_020866269.1	jg1329, jg1326, jg1330, jg1324, jg1320, jg1317, jg1319
OG0000134	XP_020865886.1	jg2013
