Orthogroup	Arabidopsis_lyrata_NCBI	Cochlearia_excelsa
OG0000049	XP_020870708.1	g19299, g16644, g2521
OG0000049	XP_020887816.1	g7127
OG0000050	XP_020880718.1, XP_002879393.2	g19665
OG0000051	XP_020883307.1	g53934, g37450
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	g1602, g3195
OG0000052	XP_020880077.1	g2410
OG0000052	XP_020879880.1	g44053
OG0000055	XP_020889173.1	g27361
OG0000055	XP_002885221.2, XP_020889148.1	g700
OG0000055	XP_020883674.1, XP_020876181.1	g50182, g50184, g50186
OG0000056	XP_020880767.1	g44206, g40901
OG0000058	XP_020868066.1	g3196
OG0000058	XP_020883504.1	g49100
OG0000059	XP_020889554.1, XP_020890752.1, XP_020876125.1	g1329
OG0000060	XP_020868758.1, XP_002866359.2, XP_020879701.1, XP_020884530.1, XP_002864647.1, XP_020880298.1, XP_002862282.2, XP_020868710.1, XP_020880172.1	g37221, g2918, g28784, g49595, g27015, g1296, g28756, g31080, g39226, g51647
OG0000061	XP_020874135.1	g23668
OG0000061	XP_020873461.1	g13471
OG0000065	XP_020865720.1	g46719
OG0000065	XP_020865823.1, XP_020865819.1	g18042
OG0000065	XP_020872917.1, XP_020872918.1	g46717
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	g31166, g49660, g5416, g9719, g156, g29501, g45535
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	g5393
OG0000067	XP_020891542.1	g51362, g36935, g14554, g2942, g25473, g27561, g41540, g28657, g32593, g13831
OG0000067	XP_020874420.1	g53765, g43703, g25474, g28245, g45296
OG0000067	XP_020878809.1	g5123, g51086
OG0000067	XP_020889209.1	g690, g27871, g37081, g11557
OG0000067	XP_020886169.1	g12885, g12881
OG0000067	XP_020865924.1	g7910, g3384, g17624, g3851
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1, XP_020868524.1, XP_020877300.1, XP_020886482.1, XP_020871868.1, XP_002864221.1, XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1, XP_002871317.2	g27956, g25385, g25390, g46783
OG0000069	XP_020886063.1, XP_020871771.1, XP_020880445.1	g13531
OG0000069	XP_002878041.1	g39973
OG0000070	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1	g10675
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	g50123
OG0000070	XP_020891141.1	g46242
OG0000070	XP_002863814.1	g44417
OG0000074	XP_020874556.1	g48940
OG0000075	XP_002868917.2	g25975, g22716
OG0000077	XP_020884560.1	g18473
OG0000077	XP_020869035.1	g18408
OG0000077	XP_020891276.1, XP_020890791.1, XP_020880678.1, XP_020881582.1, XP_020881188.1	g1538, g1535
OG0000077	XP_020890121.1	g44008, g44007, g44009
OG0000078	XP_002884413.1, XP_020887050.1, XP_020887049.1	g4945
OG0000078	XP_020877805.1, XP_020877807.1	g4940, g4946, g29028, g29029
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	g53126
OG0000081	XP_020870247.1	g45295, g49162, g32135, g50796, g11094, g25177
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	g33350, g4665
OG0000082	XP_020869010.1	g10536, g16647, g54167
OG0000082	XP_020880759.1	g54030, g36211
OG0000082	XP_020867402.1, XP_020878439.1	g52877, g26306
OG0000082	XP_020875863.1, XP_020875624.1, XP_020887797.1	g33411, g33412, g25297, g33414, g33413
OG0000084	XP_020886029.1, XP_020876858.1	g25861
OG0000084	XP_020886073.1	g25746, g4175, g24845, g45402, g3396, g51983, g46692, g16507
OG0000084	XP_020876480.1	g3736
OG0000086	XP_002868825.1	g14687
OG0000086	XP_002868577.1	g22657, g15074
OG0000089	XP_020879374.1	g9991
OG0000089	XP_020871804.1	g339, g2817, g9845
OG0000089	XP_002873559.1	g5316
OG0000089	XP_002863588.1	g11055, g40485
OG0000089	XP_020872103.1	g24042
OG0000089	XP_020866480.1, XP_020890671.1	g46232
OG0000091	XP_002875847.2	g46886
OG0000091	XP_002880903.1	g19510, g11453, g11030, g40516
OG0000091	XP_020878730.1	g28934, g28933
OG0000095	XP_002880754.1, XP_020885291.1, XP_020884026.1, XP_020884025.1, XP_020884027.1, XP_002880752.2, XP_002878788.1, XP_020883521.1, XP_020884655.1, XP_002878787.2, XP_020885162.1, XP_002880755.1, XP_002880625.1, XP_002880565.1, XP_020884335.1	g51024
OG0000096	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1	g6393
OG0000096	XP_020888942.1	g49764
OG0000098	XP_020889445.1	g11756
OG0000100	XP_020891283.1	g40795
OG0000102	XP_002874844.1	g40477, g40479, g40476, g40480, g1561
OG0000102	XP_002874842.1	g45186
OG0000105	XP_020875322.1, XP_020870827.1, XP_020886025.1, XP_020868736.1	g11211
OG0000107	XP_020887921.1	g6757
OG0000107	XP_002883228.1	g11936
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	g37225, g38077, g2333, g51658
OG0000108	XP_020876820.1	g29544, g45521, g5448
OG0000108	XP_020867828.1, XP_002883150.1	g13323
OG0000108	XP_002879968.1, XP_002879967.1	g11989
OG0000111	XP_002877840.1	g14348, g14347, g14394, g45247, g45220, g37032, g50081
OG0000111	XP_002876201.1	g11628, g45028, g45096, g45031, g36890, g45092, g45097, g11625, g45033, g17566, g17551, g17567, g17750, g24578
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	g50797, g32639, g15993, g24938, g6351, g14468, g28182, g27531
OG0000114	XP_020878269.1	g15992
OG0000115	XP_020889357.1	g16651, g17473, g31783
OG0000115	XP_020887611.1, XP_020887091.1	g45611, g31838
OG0000115	XP_020865849.1	g26382
OG0000115	XP_020883039.1	g44894, g26973
OG0000115	XP_020878880.1	g53276
OG0000115	XP_020878531.1	g41206, g3584, g42122
OG0000116	XP_002893409.1, XP_020871442.1, XP_020883597.1	g27853
OG0000116	XP_020885057.1	g26228
OG0000117	XP_020866886.1	g27550, g27549
OG0000118	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1	g35294, g50762, g6146, g12640
OG0000118	XP_020886515.1, XP_002885586.1, XP_020888654.1, XP_020887711.1	g12809
OG0000119	XP_020881724.1	g11441, g11440
OG0000120	XP_020871150.1	g27841
OG0000122	XP_002864448.2	g1066
OG0000123	XP_002864096.1	g1342
OG0000125	XP_020885175.1	g51118
OG0000125	XP_020870885.1	g31072
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	g18497
OG0000125	XP_020870262.1	g54244, g54237, g54238
OG0000125	XP_020886058.1	g6675
OG0000125	XP_020870266.1, XP_020870268.1	g54236
OG0000126	XP_020882685.1	g16332, g16059
OG0000126	XP_020888411.1	g8607, g29944, g38807, g43388
OG0000126	XP_020875868.1	g35916, g41273, g52652
OG0000126	XP_020889780.1, XP_020866699.1, XP_020866698.1	g11646
OG0000126	XP_020871413.1	g16333
OG0000127	XP_002874101.1	g41348
OG0000127	XP_020872447.1, XP_002864658.2, XP_020880863.1, XP_002877451.1	g2919, g1294, g28781
OG0000127	XP_002879182.1	g39998
OG0000128	XP_020882191.1, XP_020880511.1, XP_020880525.1	g2009
OG0000128	XP_002870336.2	g50627
OG0000129	XP_020890882.1	g45131
OG0000129	XP_020890883.1	g45103, g45101
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1	g9880
OG0000132	XP_020878937.1, XP_020877053.1	g51066
OG0000134	XP_020882189.1	g4924
OG0000134	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1	g18420
OG0000137	XP_002866093.1	g1011
OG0000140	XP_020890721.1	g47161
OG0000148	XP_020889929.1	g36469
OG0000148	XP_020888855.1, XP_020877791.1	g6399
OG0000150	XP_020877517.1	g26208, g43583
OG0000150	XP_020866739.1	g34628
OG0000151	XP_020881605.1	g19127
OG0000151	XP_002878017.1	g19128
OG0000151	XP_002881649.1	g51765
OG0000151	XP_002878016.1	g2235
OG0000151	XP_020880621.1	g2346
OG0000151	XP_020884903.1	g51633
OG0000151	XP_002871574.1	g29346
OG0000153	XP_002881123.1	g51155, g51154, g51130, g51156
OG0000153	XP_020885362.1	g40020
OG0000153	XP_020866558.1	g37875, g37876
OG0000154	XP_020866593.1, XP_020879595.1, XP_020877958.1	g36466, g36467
OG0000154	XP_020867949.1	g54212, g36163, g36472
OG0000160	XP_020888881.1	g5985
OG0000160	XP_020872380.1	g23426
OG0000160	XP_020870964.1	g1105
OG0000160	XP_020889051.1	g6339
OG0000160	XP_020882578.1	g11547
OG0000160	XP_020890865.1	g46563
OG0000160	XP_020885195.1	g50994
OG0000162	XP_020888514.1	g28290
OG0000169	XP_020868436.1, XP_002894040.2, XP_020883080.1	g53988
OG0000170	XP_002882021.1	g52257
OG0000171	XP_002865968.1	g915, g28415
OG0000171	XP_020888018.1	g14078
OG0000171	XP_020891046.1	g28546
OG0000171	XP_020888570.1	g7540
OG0000171	XP_002867477.1	g17072
OG0000172	XP_020874182.1	g4028
OG0000174	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1	g50178
OG0000175	XP_020870037.1, XP_020890687.1	g45857
OG0000175	XP_002871626.1	g29297
OG0000176	XP_020888110.1	g12860
OG0000176	XP_020866346.1	g7705
OG0000177	XP_020869475.1	g27488, g50732, g31972
OG0000178	XP_002874799.1	g40442
OG0000178	XP_020877653.1	g45158
OG0000178	XP_002872697.1	g45173
OG0000179	XP_020868284.1	g44052
OG0000182	XP_020880330.1, XP_020880329.1	g27624
OG0000182	XP_020882443.1, XP_020882437.1	g11014, g40790
OG0000183	XP_002888498.1, XP_002870564.1	g18117
OG0000183	XP_002879035.1	g40143
OG0000184	XP_020886142.1, XP_002885573.2	g11846
OG0000185	XP_020886010.1	g32332, g32334, g32337
OG0000185	XP_002886961.1, XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1, XP_002876919.1, XP_020869863.1	g11864
OG0000187	XP_020882989.1, XP_002878566.1	g17092
OG0000189	XP_020873047.1	g47947
OG0000189	XP_020885855.1	g18237
OG0000189	XP_002869113.1	g23036
OG0000189	XP_002887616.1, XP_020870471.1	g50117
OG0000192	XP_020873611.1, XP_002877382.2	g17137
OG0000193	XP_002891353.1	g27763
OG0000197	XP_020872595.1, XP_020872600.1, XP_020872360.1, XP_020872593.1	g24122
OG0000197	XP_020872359.1	g17408
OG0000198	XP_002875203.1, XP_002875076.1	g25893
OG0000198	XP_002870338.1, XP_020881007.1	g10793
OG0000198	XP_002892838.1, XP_020869981.1	g31564
OG0000198	XP_020869449.1	g49926
OG0000200	XP_020870342.1	g40675
OG0000200	XP_020870343.1	g40674
OG0000200	XP_020870363.1	g27686
OG0000201	XP_020884701.1	g53703
OG0000203	XP_002878201.2	g1974, g1973
OG0000203	XP_002878203.1, XP_020880570.1	g18958
OG0000203	XP_020880586.1	g2360
OG0000206	XP_020882672.1	g35086, g33126, g42102, g34033, g35102, g34084, g34087, g20497, g34767, g3404, g42813, g4067, g33222, g35385, g35794, g25891, g34753, g19921, g30249, g32910, g22189, g33355, g21397, g52519, g34572, g4095, g4107, g34575, g43643, g9242, g16173, g33127, g10333, g20498, g42717, g41929, g42958, g42647, g3612, g48979, g3617, g34594, g8693, g34396, g26693, g26442, g42223, g42237, g52660, g17013, g26014, g18657, g17536, g16355, g4493, g33202, g53588, g33173, g3985, g33137, g19788
OG0000208	XP_002880818.2	g21459, g33511, g33550
OG0000209	XP_020868187.1	g2157
OG0000210	XP_020891301.1	g26821
OG0000214	XP_020881772.1	g1573, g22730, g23072, g45047, g16729, g17791, g52105, g36171
OG0000214	XP_020878601.1	g37934
OG0000214	XP_020868240.1	g2449, g32347
OG0000214	XP_020881499.1	g37022
OG0000215	XP_020874119.1, XP_020871428.1, XP_020866215.1, XP_020884668.1, XP_002870431.1, XP_020880707.1, XP_002863144.2, XP_002893840.2	g449
OG0000216	XP_002872655.2	g25664
OG0000216	XP_020865893.1	g41090, g41083, g41086
OG0000219	XP_020873172.1, XP_020873179.1	g27764, g39817
OG0000219	XP_020887839.1	g18526, g7663
OG0000221	XP_020885596.1, XP_020870726.1	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923
OG0000221	XP_020879909.1	g41785, g6733, g14207, g32627, g45157, g4236, g53404, g41761, g48924
OG0000225	XP_020889768.1	g4045
OG0000226	XP_020885838.1	g17691, g17690, g17692
OG0000229	XP_020884846.1, XP_002878902.1, XP_020884852.1	g13978
OG0000229	XP_002877248.2	g26214
OG0000229	XP_020866249.1, XP_020866248.1, XP_002875577.1	g24726
OG0000230	XP_020880534.1	g2000
OG0000233	XP_002873316.1	g45483
OG0000233	XP_020876210.1, XP_020876208.1	g29622
OG0000233	XP_002873315.1	g45482
OG0000233	XP_002873312.1, XP_020877613.1, XP_020876205.1	g29623
OG0000235	XP_002891517.1	g40743
OG0000235	XP_020868439.1, XP_002874400.1, XP_020889468.1, XP_020888012.1, XP_020865723.1, XP_020877183.1, XP_002870599.2, XP_002878138.2	g11302
OG0000236	XP_020886731.1	g11672
OG0000236	XP_020865699.1	g13483
OG0000237	XP_002885438.2	g36933
OG0000241	XP_020873759.1, XP_002867821.1, XP_020873797.1, XP_002867824.2, XP_002867822.1, XP_002872712.1, XP_020876627.1, XP_020876628.1, XP_002872711.1	g17320
OG0000242	XP_020879188.1	g10112
OG0000243	XP_020867502.1	g27682
OG0000244	XP_020876466.1	g40712
OG0000245	XP_020882908.1	g15848
OG0000246	XP_002881469.1	g37185
OG0000246	XP_020884151.1	g51603
OG0000247	XP_020869614.1	g27759, g27721
OG0000249	XP_020866080.1	g32697
OG0000249	XP_020884646.1	g35682, g42542
OG0000249	XP_002887885.2	g16095, g42905, g32698
OG0000249	XP_020886219.1	g26699, g24901
OG0000251	XP_002876964.1, XP_020882087.1	g16641
OG0000252	XP_002887689.1	g46370
OG0000253	XP_002884912.1	g12277
OG0000253	XP_002884737.1	g7492
OG0000253	XP_002873056.1	g5784, g45315
OG0000254	XP_020874808.1	g47116, g47114, g17643
OG0000254	XP_002870217.1	g47117
OG0000254	XP_002870222.1, XP_020872405.1, XP_002870219.1, XP_002870218.1	g47115
OG0000256	XP_002885791.1, XP_002885792.1	g10880
OG0000257	XP_002887614.1	g46235
OG0000259	XP_020866712.1, XP_020877604.1, XP_020877605.1, XP_002889545.2, XP_020883633.1, XP_020866820.1	g1607
OG0000260	XP_020872427.1, XP_002869292.1	g6207, g6217
OG0000261	XP_020877162.1	g27439, g32776, g32770, g32783, g27211, g33024, g16512, g2016, g54006, g19601, g2848, g2831, g22889, g3698, g24204, g2864, g40878, g25185, g46830, g53056, g2687, g48307, g41286, g41287, g53381, g4211, g3691, g41532, g24315, g43508, g28621, g49342, g36842, g13078, g17814, g11397, g26832, g53535, g14667, g44305, g24421, g35902, g53717, g41585, g2934, g28029, g43857, g19051
OG0000261	XP_020873582.1	g26827
OG0000262	XP_020890692.1, XP_020890360.1, XP_020890361.1	g4737, g46874
OG0000262	XP_002874589.2	g24889
OG0000263	XP_020887742.1, XP_020880631.1	g910, g3712
OG0000266	XP_020865980.1	g28434, g45026
OG0000267	XP_020877498.1, XP_020872630.1, XP_020875735.1, XP_020885869.1, XP_020872318.1	g15120
OG0000267	XP_020890931.1, XP_020872390.1, XP_020868795.1, XP_020872178.1, XP_020872998.1, XP_020891338.1	g52730
OG0000267	XP_020871360.1, XP_020874002.1, XP_020883547.1, XP_020866150.1, XP_020874940.1	g42218, g42234
OG0000269	XP_002864649.1	g28758
OG0000269	XP_020881938.1, XP_002877465.1	g2910, g2936
OG0000269	XP_020883555.1	g39974
OG0000270	XP_020890701.1	g41044
OG0000276	XP_020887762.1, XP_020881628.1, XP_020878929.1, XP_020879276.1, XP_020876981.1, XP_020890967.1	g34448, g33115
OG0000276	XP_020884761.1, XP_020873738.1, XP_020888557.1	g15118, g44910
OG0000276	XP_020876122.1, XP_020889950.1, XP_020879983.1	g53562
OG0000277	XP_020867393.1	g50111, g27445, g31888
OG0000278	XP_020875511.1, XP_002870549.2	g14307
OG0000278	XP_002870533.1, XP_002870532.1, XP_020875512.1, XP_020873117.1, XP_020875510.1	g46809, g46812, g46827
OG0000279	XP_020866105.1	g11018, g11016, g11024
OG0000279	XP_020885653.1	g40527, g40528, g40529
OG0000282	XP_020873572.1, XP_020873565.1	g47412
OG0000282	XP_020873528.1, XP_002869835.1, XP_002869836.1, XP_020873595.1, XP_020873496.1	g53736
OG0000283	XP_020891714.1	g22201, g30263, g20011, g19891, g2550, g43075, g53035, g26096, g3992, g52989, g16553, g53516
OG0000285	XP_002867852.2	g47372
OG0000285	XP_020873274.1	g23645
OG0000285	XP_002886975.2, XP_020889997.1	g42046
OG0000286	XP_002867613.2	g41270
OG0000288	XP_020890803.1, XP_002885850.1	g54300, g26198, g32873, g23186, g32999, g49511, g22605, g3280, g3645, g4167
OG0000289	XP_020885124.1	g39783
OG0000290	XP_020890819.1, XP_020890820.1	g40830
OG0000290	XP_020874288.1	g32745
OG0000291	XP_002883696.1, XP_020886867.1, XP_002883695.1	g11641, g53214, g52576, g53200
OG0000292	XP_020890626.1	g32988, g18507, g30203, g20814, g438, g12785, g49225, g30202, g473, g12784, g27889, g9642
OG0000294	XP_020879520.1	g25697
OG0000295	XP_020870420.1	g37063
OG0000296	XP_020874639.1, XP_002864614.1	g1252, g28701, g28702
OG0000296	XP_020871535.1, XP_020871085.1, XP_020871516.1, XP_020871467.1, XP_020871600.1, XP_020871468.1, XP_020871433.1, XP_020870866.1, XP_020879394.1	g28714
OG0000296	XP_020869658.1	g1225
OG0000298	XP_002880782.1	g50713
OG0000298	XP_002891050.1	g32687
OG0000304	XP_002878839.1, XP_020883542.1, XP_020885530.1	g50554, g51887
OG0000304	XP_002881722.1	g50556
OG0000304	XP_002863900.1, XP_002865643.1, XP_002885797.1	g51897
OG0000305	XP_002893940.1, XP_020885575.1, XP_020884760.1, XP_002874576.1	g53520, g51878
OG0000306	XP_020873122.1	g13807, g46733
OG0000307	XP_002894303.2, XP_002894304.2, XP_002891555.1	g36491
OG0000308	XP_020871984.1, XP_002865428.1, XP_020873300.1	g39732
OG0000313	XP_020882955.1, XP_002879861.1	g23784
OG0000314	XP_020879586.1	g1672, g41968
OG0000314	XP_020889577.1	g28453, g9121, g30700, g27333
OG0000318	XP_020886043.1, XP_020888758.1, XP_020890540.1	g43847
OG0000318	XP_002885626.2	g49471
OG0000320	XP_020875403.1	g11617
OG0000321	XP_020866713.1	g54159
OG0000321	XP_002886753.1	g666
OG0000322	XP_020871126.1, XP_020871462.1, XP_020865960.1	g10751
OG0000325	XP_002892239.1	g26947, g49462
OG0000325	XP_020883979.1	g51329
OG0000325	XP_002889523.1	g30904
OG0000328	XP_020886039.1	g13376
OG0000329	XP_002870302.1	g24516, g24521
OG0000330	XP_002887461.1, XP_002887460.1	g17997, g17998
OG0000330	XP_002887457.1	g44587
OG0000330	XP_002890238.1	g31719
OG0000331	XP_020877038.1	g25429, g39522
OG0000331	XP_020867795.1	g26892
OG0000331	XP_020889164.1	g6947
OG0000332	XP_020890048.1, XP_020890047.1, XP_020890049.1, XP_020890052.1, XP_002886541.2, XP_020890111.1, XP_020890044.1, XP_020890039.1, XP_020890057.1	g24568, g44176
OG0000335	XP_020879727.1	g1956
OG0000336	XP_002886727.1, XP_020870323.1, XP_002892517.1, XP_020868200.1	g31190, g27091, g27095, g31209
OG0000345	XP_020877760.1, XP_020868529.1, XP_002865409.1	g29557, g39719
OG0000345	XP_002873405.1	g45514
OG0000345	XP_002892204.1	g26927, g49447, g30863
OG0000346	XP_002876198.1	g2365
OG0000346	XP_002875312.1	g10579
OG0000347	XP_020885426.1	g52289
OG0000348	XP_020880367.1, XP_002863075.1, XP_002863942.1, XP_002863941.1, XP_002877094.1, XP_002877095.1	g50668
OG0000349	XP_020871256.1	g1282
OG0000349	XP_020871262.1, XP_020871260.1	g1278
OG0000350	XP_002877153.1, XP_020889498.1, XP_002883330.1, XP_002883331.1, XP_020886120.1	g13403, g13402
OG0000351	XP_020889440.1, XP_020887803.1	g12309
OG0000356	XP_020885753.1	g50999
