Orthogroup	Arabidopsis_lyrata_NCBI	Rorippa_islandica
OG0000022	XP_002883021.2	Roisl.0074s0275.1.p
OG0000024	XP_020866341.1	Roisl.0213s0369.1.p
OG0000024	XP_002893705.2, XP_002893704.2	Roisl.0213s0506.1.p
OG0000024	XP_002890926.2	Roisl.0213s0508.1.p, Roisl.0213s0507.1.p
OG0000024	XP_020888987.1	Roisl.0213s0365.1.p, Roisl.0213s0382.1.p, Roisl.0213s0370.1.p, Roisl.0213s0366.1.p
OG0000024	XP_002875716.2	Roisl.0026s0135.1.p
OG0000024	XP_002893654.2	Roisl.0011s0535.1.p, Roisl.0011s0534.1.p, Roisl.0006s0183.1.p
OG0000025	XP_020877486.1	Roisl.0002s0230.1.p, Roisl.0062s0001.1.p, Roisl.0020s0076.1.p
OG0000026	XP_020879791.1	Roisl.0213s0871.1.p
OG0000027	XP_020878445.1	Roisl.0213s0582.1.p
OG0000027	XP_002872595.1	Roisl.0213s0590.1.p, Roisl.0213s0588.1.p, Roisl.0213s0583.1.p
OG0000027	XP_020873345.1	Roisl.0008s0071.1.p
OG0000027	XP_020873341.1	Roisl.0184s0126.1.p
OG0000027	XP_020873352.1	Roisl.0008s0079.1.p
OG0000027	XP_002867727.1	Roisl.0008s0069.1.p
OG0000028	XP_020874778.1	Roisl.0080s0376.1.p
OG0000028	XP_020871166.1	Roisl.0075s0121.1.p
OG0000028	XP_020873863.1, XP_020875058.1, XP_020872452.1	Roisl.0001s0017.1.p, Roisl.0001s0010.1.p
OG0000028	XP_002864330.1	Roisl.0080s0746.1.p, Roisl.0080s0747.1.p
OG0000028	XP_020867892.1	Roisl.0053s0335.1.p
OG0000028	XP_020875061.1	Roisl.0008s0342.1.p
OG0000028	XP_020871243.1, XP_020880825.1	Roisl.0053s0333.1.p
OG0000028	XP_020867900.1	Roisl.0053s0334.1.p
OG0000029	XP_020888389.1	Roisl.0046s0705.1.p
OG0000029	XP_020874443.1	Roisl.0210s0592.1.p, Roisl.0046s0704.1.p
OG0000030	XP_020871692.1, XP_020871677.1, XP_020888510.1	Roisl.0115s0348.1.p, Roisl.0115s0350.1.p, Roisl.0115s0351.1.p
OG0000030	XP_002885337.1	Roisl.0115s0300.1.p
OG0000030	XP_002890504.1	Roisl.0056s0019.1.p, Roisl.0046s0733.1.p
OG0000030	XP_002893432.1, XP_020866580.1	Roisl.0213s0186.1.p
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	Roisl.0046s0887.1.p
OG0000030	XP_020889857.1	Roisl.0042s0059.1.p
OG0000030	XP_020869589.1	Roisl.0021s0166.1.p
OG0000030	XP_020888486.1	Roisl.0046s0886.1.p
OG0000030	XP_002884990.1, XP_002884981.1, XP_002884979.1	Roisl.0074s0618.1.p
OG0000030	XP_002877463.1	Roisl.0209s0322.1.p, Roisl.0209s0320.1.p, Roisl.0209s0318.1.p
OG0000031	XP_020872075.1	Roisl.0020s0186.1.p
OG0000031	XP_020890956.1, XP_020882438.1	Roisl.0046s0265.1.p, Roisl.0027s0005.1.p, Roisl.0066s0373.1.p, Roisl.0036s0003.1.p
OG0000034	XP_002869784.2	Roisl.0008s0068.1.p
OG0000034	XP_020873360.1	Roisl.0091s0192.1.p, Roisl.0091s0193.1.p, Roisl.0091s0191.1.p
OG0000034	XP_002867849.1	Roisl.0091s0190.1.p
OG0000034	XP_002872597.2	Roisl.0213s0592.1.p
OG0000034	XP_020873368.1	Roisl.0214s0897.1.p, Roisl.0214s0900.1.p, Roisl.0214s0898.1.p
OG0000034	XP_020873845.1	Roisl.0008s0074.1.p
OG0000034	XP_020873356.1, XP_020873366.1	Roisl.0214s0905.1.p
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	Roisl.0213s0218.1.p
OG0000035	XP_020883624.1	Roisl.0213s0025.1.p
OG0000040	XP_020891386.1	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p
OG0000040	XP_020888726.1	Roisl.0008s0082.1.p, Roisl.0189s0061.1.p, Roisl.0189s0088.1.p, Roisl.0006s0287.1.p, Roisl.0082s0467.1.p
OG0000040	XP_020872994.1, XP_020882425.1, XP_020870158.1, XP_020873020.1, XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1	Roisl.0209s0055.1.p
OG0000042	XP_020872945.1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	XP_020876174.1	Roisl.0035s0107.1.p, Roisl.0012s0035.1.p
OG0000043	XP_020871723.1	Roisl.0080s0178.1.p
OG0000044	XP_020877446.1	Roisl.0214s0309.1.p
OG0000044	XP_002865185.1	Roisl.0005s0268.1.p
OG0000044	XP_020881042.1	Roisl.0055s0047.1.p, Roisl.0055s0046.1.p, Roisl.0012s0357.1.p
OG0000044	XP_020879725.1	Roisl.0210s2195.1.p
OG0000044	XP_002865186.1	Roisl.0005s0157.1.p, Roisl.0005s0158.1.p, Roisl.0005s0160.1.p
OG0000044	XP_020867167.1	Roisl.0005s0150.1.p
OG0000044	XP_002884747.1	Roisl.0079s0325.1.p
OG0000044	XP_002873864.1	Roisl.0210s1498.1.p
OG0000046	XP_020871374.1, XP_020877131.1, XP_020885942.1	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1	Roisl.0029s0014.1.p
OG0000046	XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1	Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000047	XP_020883415.1	Roisl.0029s0050.1.p, Roisl.0066s0352.1.p
OG0000048	XP_002881223.2, XP_002879361.2	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	XP_002894465.2	Roisl.0006s0337.1.p
OG0000048	XP_020886243.1	Roisl.0074s0908.1.p
OG0000048	XP_002886496.1, XP_002886498.2	Roisl.0028s0615.1.p
OG0000050	XP_020880718.1, XP_002879393.2	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000051	XP_002886390.1	Roisl.0082s0147.1.p
OG0000051	XP_020884766.1, XP_020885237.1, XP_020890130.1	Roisl.0028s0722.1.p
OG0000051	XP_020883307.1	Roisl.0189s0079.1.p
OG0000052	XP_002894621.2	Roisl.0019s0256.1.p, Roisl.0019s0270.1.p
OG0000052	XP_020881195.1, XP_020881409.1	Roisl.0011s0480.1.p
OG0000052	XP_020882208.1	Roisl.0046s0692.1.p
OG0000052	XP_020886942.1	Roisl.0011s0479.1.p
OG0000055	XP_020889173.1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	XP_020889148.1	Roisl.0074s0202.1.p
OG0000055	XP_002862289.1	Roisl.0053s0284.1.p
OG0000055	XP_020889167.1	Roisl.0074s0270.1.p
OG0000055	XP_020886512.1	Roisl.0066s0141.1.p, Roisl.0066s0140.1.p, Roisl.0028s0608.1.p
OG0000055	XP_020889170.1	Roisl.0074s0210.1.p
OG0000056	XP_002886488.1	Roisl.0209s0593.1.p
OG0000056	XP_020865627.1	Roisl.0019s0013.1.p, Roisl.0209s0606.1.p, Roisl.0209s0600.1.p
OG0000056	XP_002888053.1	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	XP_020880767.1	Roisl.0209s0402.1.p
OG0000059	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1	Roisl.0209s0123.1.p, Roisl.0214s0002.1.p
OG0000059	XP_020875483.1, XP_020876486.1	Roisl.0019s0008.1.p, Roisl.0027s0012.1.p, Roisl.0214s0427.1.p, Roisl.0018s0107.1.p, Roisl.0010s0148.1.p, Roisl.0214s0190.1.p
OG0000061	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	Roisl.0045s0092.1.p
OG0000064	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p
OG0000065	XP_020865720.1	Roisl.0024s0085.1.p
OG0000065	XP_020865823.1, XP_020865819.1	Roisl.0024s0073.1.p
OG0000065	XP_020865822.1, XP_020865825.1	Roisl.0024s0063.1.p
OG0000065	XP_020865724.1	Roisl.0024s0076.1.p
OG0000065	XP_020876931.1	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p
OG0000065	XP_020873883.1	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	XP_002868795.2	Roisl.0046s0032.1.p
OG0000065	XP_020872917.1	Roisl.0213s0852.1.p
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	Roisl.0001s0457.1.p
OG0000066	XP_020869687.1	Roisl.0007s0395.1.p
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1	Roisl.0034s0163.1.p
OG0000068	XP_020868524.1, XP_020877300.1, XP_020886482.1	Roisl.0191s0458.1.p
OG0000068	XP_020871868.1, XP_002864221.1	Roisl.0011s0041.1.p
OG0000068	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1	Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	XP_020886063.1, XP_020871771.1	Roisl.0209s0754.1.p
OG0000069	XP_020880445.1	Roisl.0115s0002.1.p
OG0000069	XP_002893663.2	Roisl.0213s0875.1.p
OG0000069	XP_020870187.1	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p
OG0000069	XP_002877300.2, XP_020881960.1	Roisl.0013s0226.1.p
OG0000069	XP_002878041.1	Roisl.0046s1591.1.p
OG0000069	XP_020882733.1	Roisl.0074s0568.1.p
OG0000069	XP_020887402.1	Roisl.0055s0038.1.p
OG0000070	XP_020867590.1	Roisl.0021s0078.1.p
OG0000070	XP_002883942.1, XP_002875195.1, XP_002875194.1	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	Roisl.0007s0115.1.p
OG0000070	XP_020891141.1	Roisl.0004s0297.1.p
OG0000070	XP_002863814.1	Roisl.0075s0011.1.p
OG0000074	XP_020874556.1	Roisl.0054s0034.1.p
OG0000075	XP_002868917.2	Roisl.0001s0513.1.p
OG0000075	XP_020874617.1	Roisl.0001s0516.1.p
OG0000075	XP_020875017.1, XP_002863944.2, XP_020875009.1, XP_020871408.1	Roisl.0006s0180.1.p
OG0000076	XP_020872718.1	Roisl.0115s0707.1.p
OG0000076	XP_020884728.1	Roisl.0028s0782.1.p
OG0000076	XP_020887308.1	Roisl.0005s0285.1.p
OG0000077	XP_020884560.1	Roisl.0012s0354.1.p
OG0000077	XP_020891534.1	Roisl.0024s0105.1.p
OG0000077	XP_020869035.1	Roisl.0005s0356.1.p
OG0000077	XP_002894680.1	Roisl.0214s0841.1.p, Roisl.0214s0839.1.p
OG0000077	XP_020891276.1	Roisl.0214s0808.1.p
OG0000077	XP_020881582.1, XP_020881188.1	Roisl.0214s0216.1.p, Roisl.0011s0228.1.p, Roisl.0011s0225.1.p, Roisl.0011s0220.1.p, Roisl.0011s0216.1.p, Roisl.0011s0221.1.p, Roisl.0011s0226.1.p, Roisl.0011s0219.1.p
OG0000077	XP_020868196.1	Roisl.0021s0004.1.p
OG0000077	XP_020890121.1	Roisl.0214s0806.1.p
OG0000078	XP_002884413.1	Roisl.0016s0321.1.p
OG0000078	XP_002871799.1, XP_020877812.1, XP_002873872.1	Roisl.0210s1509.1.p, Roisl.0210s1512.1.p, Roisl.0210s1510.1.p
OG0000078	XP_002873870.1	Roisl.0210s1507.1.p, Roisl.0210s1503.1.p, Roisl.0210s1513.1.p
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000086	XP_002868825.1	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p
OG0000086	XP_002864819.1	Roisl.0024s0148.1.p
OG0000086	XP_002870579.2	Roisl.0214s0709.1.p
OG0000086	XP_002868826.1	Roisl.0032s0024.1.p
OG0000086	XP_020865653.1	Roisl.0024s0029.1.p
OG0000089	XP_020879374.1	Roisl.0210s2052.1.p
OG0000089	XP_020871804.1	Roisl.0024s0139.1.p
OG0000089	XP_020880680.1	Roisl.0209s0395.1.p
OG0000089	XP_020883550.1	Roisl.0082s0748.1.p
OG0000089	XP_002873559.1	Roisl.0210s0950.1.p
OG0000089	XP_002863588.1	Roisl.0012s0263.1.p
OG0000089	XP_020872103.1	Roisl.0091s0246.1.p
OG0000089	XP_002881356.1	Roisl.0028s0886.1.p
OG0000089	XP_020866480.1	Roisl.0007s0134.1.p
OG0000089	XP_020890671.1	Roisl.0004s0314.1.p
OG0000090	XP_020866042.1	Roisl.0185s0052.1.p, Roisl.0046s0056.1.p, Roisl.0083s0014.1.p, Roisl.0213s0386.1.p, Roisl.0214s0614.1.p, Roisl.0028s0652.1.p, Roisl.0055s0065.1.p, Roisl.0184s0150.1.p
OG0000091	XP_020880186.1	Roisl.0214s0805.1.p
OG0000091	XP_002875847.2	Roisl.0209s0467.1.p
OG0000091	XP_002875849.2	Roisl.0209s0469.1.p
OG0000091	XP_020881857.1, XP_020881860.1	Roisl.0209s0418.1.p, Roisl.0209s0473.1.p
OG0000091	XP_020878730.1	Roisl.0070s0019.1.p, Roisl.0210s1772.1.p, Roisl.0210s1773.1.p
OG0000091	XP_002864053.1	Roisl.0214s0193.1.p
OG0000091	XP_020880184.1	Roisl.0209s0428.1.p
OG0000091	XP_020886823.1	Roisl.0209s0421.1.p
OG0000092	XP_020879516.1	Roisl.0023s0050.1.p
OG0000095	XP_020884027.1	Roisl.0214s0042.1.p
OG0000095	XP_020884655.1	Roisl.0214s0031.1.p
OG0000095	XP_002878787.2	Roisl.0214s0037.1.p
OG0000095	XP_002880755.1, XP_002880625.1	Roisl.0053s0054.1.p, Roisl.0214s0035.1.p
OG0000095	XP_002880565.1, XP_020884335.1	Roisl.0004s0005.1.p
OG0000096	XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1	Roisl.0001s0531.1.p, Roisl.0074s0979.1.p
OG0000096	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	Roisl.0074s0097.1.p, Roisl.0074s0096.1.p, Roisl.0021s0565.1.p
OG0000096	XP_020889406.1	Roisl.0028s0009.1.p, Roisl.0028s0010.1.p
OG0000096	XP_002872691.1	Roisl.0074s0977.1.p, Roisl.0204s0040.1.p
OG0000098	XP_020865728.1	Roisl.0050s0022.1.p, Roisl.0050s0026.1.p, Roisl.0050s0027.1.p
OG0000098	XP_002883835.2	Roisl.0040s0006.1.p
OG0000098	XP_002893476.1, XP_020869068.1	Roisl.0006s0130.1.p
OG0000098	XP_020885549.1	Roisl.0066s0082.1.p
OG0000100	XP_020867631.1	Roisl.0008s0042.1.p, Roisl.0008s0041.1.p, Roisl.0008s0048.1.p
OG0000100	XP_020867629.1	Roisl.0214s0561.1.p
OG0000100	XP_002886645.1	Roisl.0214s0639.1.p
OG0000100	XP_020891283.1	Roisl.0214s0220.1.p
OG0000100	XP_020891540.1	Roisl.0209s0720.1.p
OG0000101	XP_020883425.1	Roisl.0062s0015.1.p, Roisl.0209s0004.1.p, Roisl.0115s0296.1.p, Roisl.0188s0009.1.p
OG0000102	XP_002874844.1	Roisl.0082s0311.1.p, Roisl.0082s0312.1.p
OG0000102	XP_020876795.1	Roisl.0082s0310.1.p
OG0000102	XP_002865915.2	Roisl.0214s0910.1.p
OG0000102	XP_002874852.1	Roisl.0082s0308.1.p
OG0000102	XP_002874842.1	Roisl.0082s0306.1.p
OG0000105	XP_020875322.1	Roisl.0210s0842.1.p
OG0000105	XP_020870827.1, XP_020886025.1, XP_020868736.1	Roisl.0214s0850.1.p
OG0000107	XP_020887921.1	Roisl.0115s0327.1.p
OG0000107	XP_020888430.1	Roisl.0115s0429.1.p
OG0000107	XP_020887923.1	Roisl.0115s0326.1.p
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	Roisl.0017s0109.1.p
OG0000108	XP_020882238.1, XP_020871933.1	Roisl.0209s0353.1.p
OG0000108	XP_020888275.1	Roisl.0074s0792.1.p
OG0000108	XP_020876820.1	Roisl.0210s0691.1.p, Roisl.0037s0052.1.p, Roisl.0209s0106.1.p
OG0000108	XP_020867828.1, XP_002883150.1	Roisl.0074s0053.1.p
OG0000108	XP_002879968.1, XP_002879967.1	Roisl.0028s0385.1.p, Roisl.0028s0408.1.p
OG0000109	XP_020882760.1	Roisl.0194s0008.1.p
OG0000110	XP_020870662.1	Roisl.0023s0016.1.p, Roisl.0184s0022.1.p
OG0000111	XP_002874511.1, XP_002874510.1, XP_002862417.1, XP_002874973.1, XP_002874975.1, XP_002862418.1	Roisl.0015s0039.1.p
OG0000111	XP_002876201.1	Roisl.0009s0044.1.p, Roisl.0057s0030.1.p, Roisl.0057s0027.1.p
OG0000111	XP_002875482.1, XP_020865753.1	Roisl.0210s2207.1.p, Roisl.0013s0027.1.p
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	Roisl.0195s0034.1.p, Roisl.0082s0484.1.p
OG0000114	XP_020878269.1	Roisl.0024s0009.1.p
OG0000114	XP_020886207.1	Roisl.0053s0310.1.p, Roisl.0209s0095.1.p, Roisl.0006s0143.1.p, Roisl.0059s0001.1.p, Roisl.0184s0082.1.p, Roisl.0059s0002.1.p, Roisl.0184s0098.1.p, Roisl.0056s0052.1.p
OG0000117	XP_020870031.1	Roisl.0191s0189.1.p
OG0000117	XP_020869256.1	Roisl.0191s0191.1.p
OG0000117	XP_002893290.1, XP_002893291.1	Roisl.0191s0196.1.p
OG0000118	XP_020882923.1	Roisl.0053s0176.1.p, Roisl.0053s0177.1.p, Roisl.0053s0178.1.p
OG0000118	XP_020882845.1, XP_020882847.1, XP_020885096.1	Roisl.0012s0130.1.p
OG0000118	XP_020875172.1	Roisl.0017s0203.1.p, Roisl.0017s0206.1.p
OG0000118	XP_002885586.1, XP_020888654.1	Roisl.0053s0217.1.p, Roisl.0053s0316.1.p
OG0000119	XP_020882357.1	Roisl.0209s0264.1.p
OG0000119	XP_002878927.2, XP_020885607.1, XP_002878925.2	Roisl.0082s0489.1.p
OG0000119	XP_002875622.2	Roisl.0208s0010.1.p, Roisl.0021s0512.1.p
OG0000119	XP_002877410.2, XP_020881729.1	Roisl.0209s0256.1.p, Roisl.0209s0258.1.p
OG0000122	XP_020881529.1	Roisl.0080s0687.1.p
OG0000122	XP_020866960.1	Roisl.0080s0685.1.p
OG0000122	XP_020871241.1	Roisl.0080s0689.1.p
OG0000122	XP_020865748.1	Roisl.0080s0684.1.p
OG0000123	XP_002884106.1	Roisl.0080s0166.1.p, Roisl.0080s0162.1.p, Roisl.0209s0054.1.p, Roisl.0210s1558.1.p, Roisl.0209s0060.1.p
OG0000123	XP_002878578.1	Roisl.0080s0163.1.p
OG0000125	XP_020870885.1	Roisl.0091s1034.1.p
OG0000125	XP_020866497.1	Roisl.0013s0044.1.p
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	Roisl.0006s0236.1.p
OG0000125	XP_020870262.1	Roisl.0213s0753.1.p
OG0000125	XP_020886058.1	Roisl.0115s0481.1.p, Roisl.0115s0480.1.p
OG0000126	XP_020885553.1, XP_020888446.1	Roisl.0021s0393.1.p, Roisl.0208s0044.1.p, Roisl.0208s0042.1.p, Roisl.0020s0136.1.p
OG0000126	XP_020871399.1	Roisl.0072s0008.1.p, Roisl.0189s0203.1.p
OG0000126	XP_020888411.1	Roisl.0021s0394.1.p
OG0000126	XP_020889780.1, XP_020866699.1, XP_020866698.1	Roisl.0213s0712.1.p
OG0000126	XP_020871413.1	Roisl.0075s0113.1.p
OG0000127	XP_020868538.1	Roisl.0091s1058.1.p
OG0000127	XP_002874101.1	Roisl.0210s1950.1.p
OG0000127	XP_002873061.1	Roisl.0034s0161.1.p
OG0000127	XP_020887259.1	Roisl.0079s0305.1.p
OG0000127	XP_002877451.1	Roisl.0209s0299.1.p, Roisl.0209s0304.1.p
OG0000127	XP_002879182.1	Roisl.0082s0645.1.p
OG0000128	XP_020879745.1	Roisl.0019s0649.1.p
OG0000128	XP_020880511.1	Roisl.0018s0036.1.p, Roisl.0018s0037.1.p
OG0000128	XP_020880525.1	Roisl.0018s0038.1.p
OG0000128	XP_020880503.1	Roisl.0018s0034.1.p
OG0000129	XP_020890882.1	Roisl.0021s0622.1.p
OG0000129	XP_020890886.1	Roisl.0194s0004.1.p
OG0000129	XP_020890883.1	Roisl.0022s0002.1.p, Roisl.0022s0001.1.p
OG0000129	XP_020890880.1	Roisl.0204s0176.1.p
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1	Roisl.0080s0056.1.p, Roisl.0080s0057.1.p
OG0000129	XP_020885823.1, XP_002879145.1	Roisl.0204s0037.1.p, Roisl.0204s0045.1.p
OG0000129	XP_020889363.1	Roisl.0189s0223.1.p
