Orthogroup	Arabidopsis_lyrata_NCBI	Brassica_rapa
OG0000029	XP_020874443.1	XP_009150036.1
OG0000030	XP_020871692.1, XP_020871677.1, XP_020888510.1	XP_033144643.1, XP_033142641.1
OG0000030	XP_002885337.1	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	XP_002868173.1	XP_009108389.1
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	XP_033148474.1
OG0000030	XP_020889857.1	XP_033143643.1
OG0000030	XP_020888486.1	XP_018510426.1
OG0000030	XP_002884990.1, XP_002884981.1, XP_002884979.1	XP_033130762.1, XP_033145302.1, XP_033146117.1, XP_009123103.2, XP_009141585.2
OG0000031	XP_020872075.1	XP_009144745.1
OG0000031	XP_020870253.1	XP_009150829.1
OG0000034	XP_002869784.2	XP_009137321.1, XP_009136929.1
OG0000034	XP_020873360.1	XP_009137188.1
OG0000034	XP_002867849.1	XP_009134716.1
OG0000034	XP_020873356.1	XP_009137317.1
OG0000034	XP_020873366.1	XP_009108599.1
OG0000034	XP_020872543.1	XP_033143795.1
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000038	XP_020873505.1	XP_033136961.1
OG0000038	XP_020876468.1	XP_018509951.1, XP_009102769.1
OG0000040	XP_020891386.1	XP_033148631.1
OG0000040	XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1	XP_033131826.1, XP_009107588.1, XP_033134026.1, XP_009148789.1
OG0000042	XP_020872945.1	XP_033129992.1
OG0000042	XP_020876174.1	XP_009108258.2
OG0000044	XP_020881042.1	XP_033136809.1
OG0000044	XP_020881036.1	XP_009105239.1
OG0000044	XP_020878609.1, XP_002865186.1	XP_018512047.1, XP_009134864.2
OG0000044	XP_020867167.1	XP_009128863.1
OG0000044	XP_002884747.1, XP_020890887.1	XP_009123255.2
OG0000047	XP_020883415.1	XP_033134290.1
OG0000048	XP_002881223.2, XP_002879361.2	XP_009123149.2
OG0000048	XP_020886243.1	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000050	XP_020880718.1, XP_002879393.2	XP_009142124.1
OG0000051	XP_020868191.1	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	XP_020885498.1	XP_009142066.1, XP_018513039.2
OG0000051	XP_002886390.1, XP_002882601.1	XP_018514205.1, XP_009113199.1
OG0000051	XP_020883307.1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	XP_020882518.1, XP_020882260.1	XP_009152006.1
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	XP_033138197.1
OG0000052	XP_002894621.2, XP_020881195.1, XP_020881409.1	XP_033139477.1, XP_033135650.1
OG0000052	XP_020881215.1, XP_020881213.1	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	XP_020880077.1	XP_009114878.1
OG0000052	XP_020876149.1, XP_020879879.1	XP_033129401.1
OG0000052	XP_020879992.1	XP_033146405.1
OG0000055	XP_020889173.1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	XP_002862289.1	XP_033143242.1
OG0000055	XP_020877906.1	XP_033139674.1
OG0000055	XP_020883674.1, XP_020876181.1	XP_009134817.1
OG0000055	XP_020886503.1, XP_020887842.1	XP_033128815.1
OG0000056	XP_020890625.1, XP_002888056.1	XP_033135545.1
OG0000056	XP_020880767.1	XP_009112692.1, XP_009113075.1, XP_009149950.1
OG0000058	XP_020868066.1	XP_033147285.1, XP_009114424.1
OG0000058	XP_020883504.1	XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1
OG0000059	XP_020889554.1, XP_020890752.1, XP_020876125.1	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000059	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1	XP_009150163.1, XP_033139086.1, XP_033134279.1, XP_033132002.1, XP_033139374.1
OG0000059	XP_020875483.1, XP_020876486.1	XP_009150809.1, XP_009124471.1, XP_033143409.1, XP_033134211.1, XP_033133426.1, XP_009101327.1
OG0000060	XP_020884530.1	XP_009148029.2
OG0000060	XP_002864647.1, XP_020880298.1	XP_009131981.1
OG0000060	XP_002862282.2	XP_009110918.2
OG0000061	XP_020867733.1	XP_009133988.1
OG0000061	XP_020879494.1	XP_033137465.1
OG0000061	XP_020870702.1	XP_033145824.1, XP_009140814.1
OG0000061	XP_020888256.1	XP_033134438.1
OG0000062	XP_020871212.1, XP_020876453.1	XP_018509055.1
OG0000064	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1
OG0000065	XP_020876931.1	XP_009125065.1
OG0000065	XP_020873883.1	XP_009140044.1
OG0000065	XP_002868795.2	XP_009140168.2
OG0000065	XP_020872917.1, XP_020872918.1	XP_009140101.2, XP_009151130.2
OG0000066	XP_002894648.1	XP_009129719.2
OG0000066	XP_020876762.1	XP_009114048.1
OG0000066	XP_020875248.1	XP_009125263.1, XP_009131189.1, XP_009130061.1
OG0000066	XP_020876760.1	XP_018511751.1
OG0000067	XP_020874420.1	XP_018508435.1
OG0000067	XP_020876559.1	XP_009127952.2
OG0000067	XP_020865924.1	XP_018508607.1
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000069	XP_020886063.1, XP_020871771.1, XP_020880445.1	XP_018512413.1, XP_009105410.1
OG0000069	XP_002878041.1	XP_033146576.1
OG0000069	XP_020887402.1	XP_009142475.1
OG0000070	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1	XP_009123589.1, XP_033136464.1
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	XP_009149503.1
OG0000070	XP_020891141.1	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000072	XP_020891624.1	XP_009119460.3, XP_033138069.1, XP_009111623.2
OG0000074	XP_020874556.1	XP_009119511.1, XP_033131958.1
OG0000075	XP_002868917.2	XP_009101862.1
OG0000076	XP_020872718.1	XP_009101919.1
OG0000076	XP_002886268.1	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2
OG0000077	XP_020869035.1	XP_033139970.1
OG0000077	XP_020891276.1	XP_033134075.1
OG0000077	XP_020890791.1	XP_033136168.1, XP_033134192.1
OG0000077	XP_020880678.1	XP_033141183.1
OG0000077	XP_020890121.1, XP_002863849.1	XP_009148269.1
OG0000078	XP_002871799.1, XP_020877812.1, XP_002873872.1, XP_002873870.1, XP_020877813.1	XP_009126231.2, XP_009131624.1, XP_009121025.2, XP_009131630.2, XP_009126229.1, XP_009131627.1
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000082	XP_020880759.1	XP_033131405.1, XP_009110495.1
OG0000086	XP_020872358.1, XP_002868822.1, XP_002868821.2	XP_009140166.1
OG0000086	XP_002868577.1	XP_009139752.1
OG0000086	XP_020889890.1, XP_020889891.1	XP_009132807.1
OG0000089	XP_020879374.1	XP_009150907.1
OG0000089	XP_020871804.1	XP_009150241.1, XP_009151388.1
OG0000089	XP_020880680.1	XP_009150568.2, XP_009149954.2
OG0000089	XP_020883550.1	XP_009144365.1, XP_009141007.2
OG0000089	XP_002873559.1	XP_009121863.1
OG0000089	XP_002863588.1	XP_009113926.1, XP_009101721.2
OG0000089	XP_020872103.1	XP_009123590.1
OG0000089	XP_020890671.1	XP_009106234.1
OG0000090	XP_020866042.1	XP_033128016.1, XP_033136189.1
OG0000090	XP_020868126.1	XP_009139876.1, XP_009138593.2, XP_033141256.1, XP_033148504.1
OG0000091	XP_002875847.2	XP_009119422.1
OG0000091	XP_002880903.1	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_033142283.1, XP_009116363.1
OG0000091	XP_020881827.1	XP_009144708.1, XP_018509698.1, XP_009140909.1, XP_009140910.1
OG0000091	XP_020878730.1	XP_009131797.1, XP_009120802.1
OG0000091	XP_002864053.1	XP_009143939.1, XP_033147614.1
OG0000091	XP_020880184.1	XP_018508112.1
OG0000095	XP_020884025.1	XP_009134223.1, XP_009140586.1
OG0000095	XP_020884027.1	XP_033145266.1, XP_033145760.1
OG0000095	XP_020883521.1, XP_020884655.1, XP_002878787.2	XP_033146353.1, XP_033146352.1
OG0000095	XP_020885162.1	XP_033145265.1
OG0000095	XP_002880755.1, XP_002880625.1	XP_033145267.1, XP_033145730.1
OG0000096	XP_020866895.1, XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1	XP_009136113.1
OG0000096	XP_020871755.1	XP_033130152.1
OG0000098	XP_020865728.1	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000098	XP_002893476.1, XP_020869068.1, XP_020885549.1	XP_009150964.1, XP_009130073.1
OG0000100	XP_002886645.1	XP_009113265.2
OG0000100	XP_002887938.1, XP_020891283.1	XP_018509586.1
OG0000100	XP_020891541.1	XP_018513710.2
OG0000100	XP_020891540.1	XP_033135321.1
OG0000100	XP_002886379.1	XP_033135318.1
OG0000102	XP_002863972.2, XP_002874850.1	XP_009140229.1
OG0000102	XP_020876795.1, XP_002865915.2	XP_009121666.1
OG0000102	XP_002874842.1	XP_009134336.2, XP_009110937.1, XP_033135887.1
OG0000107	XP_020887921.1	XP_018514730.2
OG0000107	XP_002883228.1	XP_009140112.1, XP_033142636.1
OG0000107	XP_002883226.2	XP_033147102.1
OG0000107	XP_020888430.1, XP_020886789.1, XP_002870246.2	XP_009111243.1
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	XP_009133195.1, XP_009141678.2
OG0000108	XP_020888275.1	XP_009146646.1
OG0000108	XP_020876820.1	XP_033138402.1, XP_009131124.2, XP_009125344.2
OG0000108	XP_020867828.1, XP_002883150.1	XP_018513774.1
OG0000109	XP_020882760.1	XP_018511390.2, XP_033129946.1, XP_033140615.1, XP_033134038.1
OG0000109	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1
OG0000110	XP_020870662.1	XP_033134264.1, XP_033148525.1, XP_033147962.1, XP_018511583.2, XP_018512883.1, XP_033145191.1, XP_033134317.1
OG0000110	XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2	XP_033147814.1
OG0000111	XP_002875482.1	XP_009102969.1, XP_009104069.1, XP_009121559.1, XP_009119630.1, XP_009116825.1
OG0000111	XP_020865753.1	XP_033128640.1, XP_033129028.1, XP_033146399.1, XP_033146035.1, XP_009133886.1
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	XP_033145921.1
OG0000115	XP_020889357.1	XP_009133161.1
OG0000115	XP_020887611.1, XP_020887091.1	XP_009102138.1
OG0000116	XP_002893409.1, XP_020871442.1, XP_020883597.1	XP_033143201.1, XP_009115039.1, XP_009137034.2, XP_033132498.1, XP_033135118.1, XP_033134167.1, XP_009134460.2, XP_009122979.1, XP_033135204.1, XP_033137857.1, XP_018510163.1, XP_018509848.2, XP_018511518.1, XP_018512844.2, XP_033134594.1
OG0000116	XP_020885057.1	XP_009115537.1
OG0000117	XP_020866886.1	XP_009115511.1
OG0000117	XP_020870031.1	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000117	XP_002893302.1	XP_033130333.1
OG0000117	XP_002893290.1, XP_002893291.1	XP_033132544.1, XP_033132543.1, XP_009110093.1, XP_033132540.1, XP_009112003.1
OG0000118	XP_020869283.1, XP_002881592.1, XP_020882923.1, XP_020882845.1, XP_020882847.1, XP_020885096.1, XP_020875172.1	XP_009113644.3, XP_009115539.2, XP_033135170.1, XP_033135169.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000118	XP_020887711.1	XP_033143226.1
OG0000119	XP_020882357.1	XP_033138816.1
OG0000119	XP_020881724.1	XP_033139673.1
OG0000119	XP_002878927.2, XP_020885607.1, XP_002878925.2, XP_002875622.2, XP_020881725.1, XP_020881834.1, XP_020876007.1, XP_020881747.1, XP_002877410.2, XP_020881729.1, XP_020881748.1	XP_009140726.1
OG0000119	XP_020881738.1	XP_009102480.1
OG0000119	XP_020881735.1	XP_033131888.1
OG0000122	XP_002864448.2	XP_033142107.1
OG0000122	XP_020865748.1	XP_033139821.1
OG0000123	XP_002864096.1	XP_009132628.1, XP_033142284.1
OG0000124	XP_020875630.1	XP_033145235.1
OG0000125	XP_020870885.1	XP_009118428.1
OG0000125	XP_020866497.1	XP_033146903.1
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	XP_009144873.1
OG0000125	XP_020886058.1	XP_009135746.2, XP_018514690.2
OG0000126	XP_020885553.1	XP_033134231.1
OG0000126	XP_020888446.1	XP_033132090.1
OG0000126	XP_020888411.1	XP_033148740.1
OG0000126	XP_020875868.1	XP_033148158.1
OG0000126	XP_020871413.1	XP_033141534.1
OG0000127	XP_002874101.1	XP_009120626.1, XP_009131894.1
OG0000127	XP_020885803.1	XP_009103877.2
OG0000127	XP_020872447.1, XP_002864658.2, XP_020880863.1	XP_009120513.1
OG0000127	XP_002879182.1	XP_009133865.1, XP_009140934.1, XP_009103710.2
OG0000128	XP_020879745.1	XP_009104190.1
OG0000128	XP_020880511.1	XP_009116587.1, XP_018508692.1
OG0000128	XP_020880525.1	XP_009104193.2
OG0000129	XP_020890882.1	XP_033146831.1, XP_033146830.1
OG0000129	XP_020890883.1	XP_009127389.1
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1	XP_009130179.2, XP_009130183.1
OG0000130	XP_002878891.2	XP_033138416.1
OG0000130	XP_002884887.2	XP_009107043.1, XP_033130441.1
OG0000132	XP_020880888.1	XP_009116244.2, XP_009116245.1, XP_009116184.2, XP_033137144.1, XP_018510613.1
OG0000132	XP_020882481.1, XP_020882467.1	XP_033136550.1
OG0000132	XP_020871481.1, XP_020883459.1	XP_033141227.1
OG0000132	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	XP_009144883.2
OG0000134	XP_002892003.1, XP_020866269.1, XP_020870825.1	XP_018508210.2
OG0000134	XP_020883481.1	XP_033130500.1
OG0000134	XP_002873501.1	XP_033142785.1, XP_033142547.1, XP_009113973.2, XP_033142504.1
OG0000137	XP_002866093.1	XP_009111746.1, XP_009127005.1
OG0000137	XP_020881826.1	XP_009132394.1
OG0000137	XP_020881819.1	XP_018510146.1
OG0000137	XP_020870474.1	XP_033138715.1
OG0000137	XP_002866092.1	XP_009132393.1
OG0000137	XP_020872008.1	XP_009132642.1, XP_009120051.1
OG0000138	XP_020880592.1, XP_020880551.1	XP_018514807.1
OG0000138	XP_020881910.1, XP_020880545.1	XP_033146362.1
OG0000140	XP_020883678.1	XP_009114858.1
OG0000140	XP_020890690.1	XP_018513794.1, XP_009111975.1, XP_033143251.1, XP_033133624.1, XP_033142267.1
OG0000141	XP_020869968.1	XP_033135443.1
OG0000141	XP_020867361.1	XP_018510931.2
OG0000141	XP_020867542.1, XP_020874215.1	XP_009110666.1
OG0000141	XP_002889921.2	XP_009118092.2, XP_033134902.1
OG0000144	XP_020875124.1	XP_018512694.1, XP_009136015.2, XP_033134344.1, XP_033134061.1, XP_033145313.1, XP_009108029.2, XP_033143216.1, XP_033141131.1, XP_033132198.1, XP_033139997.1, XP_033143264.1, XP_033143308.1, XP_033134271.1, XP_033138779.1, XP_009121247.2, XP_033128204.1, XP_033148594.1, XP_009140408.1, XP_009115950.1, XP_018512879.2, XP_009144130.2, XP_009103777.2, XP_033148590.1, XP_033145709.1, XP_033131876.1, XP_033131872.1, XP_009149576.1, XP_033131981.1, XP_033141234.1, XP_033143039.1, XP_033132224.1, XP_009107600.1, XP_009137109.2, XP_009121333.2, XP_033143088.1, XP_033135941.1, XP_009145568.2, XP_009132243.2, XP_009137728.2
OG0000148	XP_020886427.1	XP_033136081.1, XP_009145753.1, XP_009113058.1, XP_009124318.1
OG0000148	XP_002894068.1	XP_033144403.1, XP_009132885.2
OG0000148	XP_020888855.1	XP_033129328.1
OG0000148	XP_020877791.1	XP_033135481.1, XP_033133852.1
OG0000150	XP_020866739.1	XP_033139048.1, XP_033139149.1, XP_033139478.1, XP_033139494.1, XP_033139194.1, XP_033139164.1, XP_033138880.1, XP_033139010.1, XP_033139244.1, XP_033138885.1
OG0000151	XP_020881605.1	XP_009116212.1, XP_009103951.1, XP_033146519.1
OG0000151	XP_002878017.1	XP_009139199.2
