Orthogroup	Arabidopsis_lyrata_NCBI	Noccaea_praecox
OG0000021	XP_020887754.1, XP_020885800.1, XP_020871592.1, XP_020879735.1, XP_020879721.1, XP_020887591.1, XP_020885208.1, XP_020885137.1, XP_020886953.1, XP_020886960.1, XP_020890910.1, XP_020885657.1	Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000022	XP_020869508.1, XP_020870927.1	Np004G2449100
OG0000022	XP_002868609.1	Np005G3189900
OG0000023	XP_020870611.1	Np002G1065700, Np005G3185500
OG0000023	XP_020871051.1	Np002G1180000
OG0000023	XP_020874097.1	Np002G1103400
OG0000023	XP_020888558.1, XP_020874042.1, XP_020875073.1	Np006G3415100
OG0000023	XP_020866256.1	Np007G4040200
OG0000024	XP_020888987.1	Np004G2150800
OG0000024	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2	Np001G0579500, Np001G0579400
OG0000024	XP_002893654.2	Np004G2148800, Np004G2148600, Np005G2717400
OG0000025	XP_020889652.1	Np006G3544700
OG0000026	XP_020879791.1	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400, Np002G0982000, Np002G0982200, Np004G2241900, Np002G1073000, Np002G1127100, Np004G2249100, Np002G1005400, Np001G0243300, Np002G0966100, Np004G2247000, Np001G0260700, Np002G1000900, Np004G2249200, Np006G3466700, Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	XP_020878445.1	Np003G1806500
OG0000027	XP_020873349.1	Np005G2838800
OG0000028	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1	Np003G1643200
OG0000028	XP_020877991.1, XP_020873006.1	Np003G1814100, Np006G3583400, Np006G3684500, Np006G3583600, Np006G3583100, Np003G1813800, Np003G1813300
OG0000028	XP_020875061.1	Np006G3533600, Np006G3532900, Np006G3474900, Np006G3473800, Np006G3703700, Np006G3698600, Np003G1462900, Np006G3474200, Np006G3698100, Np006G3696700
OG0000028	XP_020865869.1, XP_020865879.1, XP_020877806.1, XP_020878007.1, XP_020880460.1, XP_020880469.1, XP_020880478.1	Np003G1604900
OG0000029	XP_020888389.1	Np003G1680700, Np003G1751100
OG0000029	XP_020874443.1	Np006G3568700, Np002G1054100, Np003G1452300, Np003G1751000
OG0000030	XP_002893432.1, XP_020866580.1	Np001G0090700
OG0000030	XP_020869589.1, XP_020885911.1, XP_020890322.1	Np004G2249500, Np004G2249800
OG0000030	XP_020888486.1	Np004G2250000
OG0000030	XP_002884990.1, XP_002884981.1, XP_002884979.1	Np007G4070000
OG0000031	XP_020870253.1	Np005G2850000
OG0000034	XP_002869784.2	Np005G2840700, Np005G2840600
OG0000034	XP_020873356.1	Np005G2841700
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	Np004G2088100, Np005G3165600
OG0000035	XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1	Np005G2829500, Np004G2306200, Np004G2311400
OG0000035	XP_020870265.1, XP_020886028.1	Np007G3930700
OG0000038	XP_020871977.1, XP_020873505.1, XP_020879598.1, XP_020876468.1, XP_020880729.1	Np007G3978400
OG0000040	XP_020888726.1	Np001G0278000
OG0000040	XP_020877174.1, XP_020890764.1, XP_020881671.1, XP_020871402.1	Np006G3694800, Np006G3353400
OG0000042	XP_020876174.1	Np004G2161100, Np002G0961400
OG0000046	XP_020871374.1, XP_020877131.1, XP_020885942.1	Np004G2388700, Np001G0160700
OG0000046	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000047	XP_020883415.1	Np002G1005500
OG0000049	XP_020887816.1	Np002G1103100
OG0000051	XP_020868191.1	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	XP_020885498.1	Np006G3285300, Np006G3285400
OG0000051	XP_002886390.1	Np002G1229200
OG0000051	XP_002882601.1	Np002G1168000, Np002G1055900, Np002G1071800
OG0000051	XP_020884766.1, XP_020885237.1, XP_020890130.1	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	XP_020883307.1	Np003G1730300
OG0000051	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1	Np006G3284800, Np006G3284200, Np006G3284000
OG0000052	XP_020882518.1, XP_020882260.1	Np001G0218600
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	Np002G0839600
OG0000052	XP_020886942.1	Np007G4239500
OG0000055	XP_020889173.1	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	XP_002885221.2, XP_020889148.1, XP_002862289.1	Np007G3923100, Np007G3922500
OG0000055	XP_020883674.1	Np005G2851900
OG0000055	XP_020886512.1	Np007G3753300
OG0000056	XP_020890625.1, XP_002888056.1	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	XP_020891225.1, XP_002888053.1, XP_020891223.1	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	XP_020880767.1	Np005G3136000, Np001G0467300
OG0000058	XP_020868066.1	Np004G2334500
OG0000058	XP_020883504.1	Np006G3504600
OG0000059	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1	Np006G3486400, Np005G2888900, Np005G3047300, Np007G3954600, Np003G1666900, Np003G1673900, Np005G2877500
OG0000059	XP_020875483.1, XP_020876486.1	Np003G1667800, Np001G0392300, Np001G0082700
OG0000060	XP_020868758.1, XP_002866359.2, XP_020879701.1, XP_020884530.1, XP_002864647.1, XP_020880298.1, XP_002862282.2, XP_020868710.1, XP_020880172.1	Np003G1523200
OG0000061	XP_020879494.1	Np003G1795500
OG0000061	XP_020873461.1	Np005G2786700
OG0000061	XP_020877006.1, XP_020874913.1	Np006G3342300
OG0000061	XP_020891333.1, XP_020888256.1	Np002G1245100, Np002G1245200
OG0000062	XP_020871212.1, XP_020876453.1	Np002G1076000, Np003G1765200, Np002G0953500, Np002G0958500
OG0000062	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	Np002G0991500
OG0000065	XP_020872917.1, XP_020872918.1	Np005G3146600
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	Np004G2505200, Np003G1367100, Np001G0031500, Np004G2500100, Np003G1367200
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	Np007G3771600
OG0000067	XP_020874420.1	Np005G2826900
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	XP_002871317.2	Np006G3221500, Np006G3241700, Np006G3215500, Np005G2816600, Np006G3215800
OG0000069	XP_020880445.1	Np006G3706900, Np006G3707500
OG0000069	XP_002883980.2, XP_002893663.2, XP_020867217.1, XP_020868842.1	Np007G3833600
OG0000069	XP_020870187.1	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	XP_020882733.1	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000069	XP_020887402.1	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800
OG0000070	XP_020867590.1, XP_002883942.1, XP_002875195.1, XP_002875194.1	Np007G3899300, Np001G0248800
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	Np004G2353400
OG0000070	XP_020891141.1	Np001G0364300, Np001G0366000, Np001G0526100, Np001G0525900, Np002G0771400
OG0000070	XP_002878309.1	Np004G1988500
OG0000072	XP_020876164.1, XP_020889278.1	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	XP_020891624.1	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000073	XP_020866212.1, XP_020881839.1	Np003G1524100
OG0000074	XP_020874556.1	Np001G0425700, Np002G0733000
OG0000075	XP_002868917.2	Np005G2617300
OG0000076	XP_020872718.1	Np005G2608900
OG0000077	XP_020891534.1	Np002G0927000
OG0000077	XP_020869035.1	Np001G0381300
OG0000077	XP_002894680.1	Np002G1125900
OG0000077	XP_020891276.1	Np002G1121700
OG0000077	XP_020880678.1	Np001G0247700
OG0000078	XP_020887050.1	Np007G4214700
OG0000078	XP_020877805.1, XP_020877807.1	Np003G1454400
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500
OG0000080	XP_020866750.1	Np002G1104300
OG0000081	XP_020870247.1	Np004G2188400, Np004G2195900, Np004G2188800, Np007G3988300
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	Np005G2602400
OG0000082	XP_020880759.1	Np001G0452000
OG0000082	XP_020878439.1	Np005G2743400
OG0000084	XP_020874751.1, XP_020876480.1	Np007G3915500
OG0000086	XP_002868825.1	Np005G3126500
OG0000086	XP_002870579.2	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	XP_020889890.1, XP_020889891.1	Np002G0867100
OG0000089	XP_020879374.1	Np001G0109800
OG0000089	XP_020871804.1	Np005G2870600
OG0000089	XP_020880680.1	Np001G0070200
OG0000089	XP_020883550.1	Np006G3501600, Np008G4281600
OG0000089	XP_002873559.1	Np003G1391100
OG0000089	XP_002863588.1	Np001G0399300
OG0000089	XP_020872103.1	Np005G2871200
OG0000089	XP_020890671.1	Np002G0774400
OG0000090	XP_020868126.1	Np006G3523700
OG0000091	XP_002880903.1	Np001G0389100, Np001G0389700
OG0000091	XP_020878730.1	Np003G1487100
OG0000091	XP_002864053.1	Np001G0528700
OG0000095	XP_020884025.1	Np006G3650500, Np006G3650700
OG0000095	XP_020884027.1	Np006G3649600
OG0000095	XP_020883521.1, XP_020884655.1, XP_002878787.2	Np006G3660300
OG0000095	XP_020885162.1	Np006G3650300
OG0000095	XP_002880755.1, XP_002880625.1, XP_002880565.1, XP_020884335.1	Np006G3650400, Np006G3654500, Np006G3650200, Np006G3660600
OG0000096	XP_020889406.1	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	XP_002872691.1	Np007G3726500
OG0000098	XP_002883751.1, XP_002883752.1, XP_020887764.1, XP_020889445.1	Np007G3899100
OG0000098	XP_020865728.1	Np004G2594800
OG0000098	XP_002883835.2	Np007G3793600
OG0000098	XP_002893476.1, XP_020869068.1, XP_020885549.1	Np001G0116500, Np001G0115500
OG0000100	XP_020890843.1	Np002G1233700
OG0000100	XP_002886645.1	Np004G2064500
OG0000100	XP_002887938.1, XP_020891283.1, XP_020891541.1, XP_020875192.1, XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1	Np002G1231900
OG0000101	XP_020883425.1	Np003G1683400
OG0000102	XP_020876465.1	Np003G1716100
OG0000102	XP_002874844.1	Np003G1850400
OG0000102	XP_020876795.1, XP_002865915.2	Np003G1850200
OG0000102	XP_002874852.1	Np003G1795300
OG0000102	XP_002874842.1	Np003G1849500, Np003G1850000
OG0000106	XP_020871478.1, XP_020889746.1	Np001G0513300, Np003G1588100, Np005G2609700, Np005G2802400, Np003G1396400, Np005G3054500, Np006G3285100, Np004G1932400, Np002G1206600, Np002G0931500, Np004G2006800, Np006G3285600, Np006G3356100, Np002G0934000, Np001G0450200, Np001G0254300, Np001G0468300, Np003G1838400, Np002G1216700, Np001G0108100, Np004G2551200, Np004G1924900, Np003G1364100, Np004G1973500, Np001G0080600
OG0000107	XP_002863839.1, XP_002870247.1	Np005G3056200
OG0000107	XP_002883228.1	Np007G3984300
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	Np001G0565800
OG0000108	XP_020888275.1	Np007G4093400
OG0000108	XP_020876820.1	Np003G1360400
OG0000108	XP_020867828.1, XP_002883150.1	Np007G3950400
OG0000109	XP_020882760.1	Np001G0341500
OG0000109	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020866785.1, XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000111	XP_002875482.1	Np005G3154700
OG0000111	XP_020865753.1	Np005G3138900, Np001G0444800
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	Np002G1018000
OG0000116	XP_002893409.1, XP_020871442.1, XP_020883597.1	Np002G1124800
OG0000117	XP_002893298.1	Np004G2300400
OG0000117	XP_002893302.1	Np004G2300300
OG0000117	XP_002893290.1, XP_002893291.1	Np004G2300200
OG0000118	XP_020891300.1, XP_002888470.1, XP_020877537.1	Np002G0786200
OG0000118	XP_020888665.1, XP_002885502.1, XP_020886930.1	Np004G1992500, Np006G3383100
OG0000119	XP_020881834.1, XP_020876007.1	Np001G0493200
OG0000122	XP_020865748.1	Np003G1578500
OG0000123	XP_002864096.1	Np003G1843300
OG0000124	XP_020875630.1	Np005G3180200
OG0000125	XP_020870885.1	Np004G2519400
OG0000125	XP_020866497.1	Np004G1951700
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	Np004G1951500
OG0000125	XP_020870262.1	Np004G1951600
OG0000125	XP_020886058.1	Np007G3813400
OG0000126	XP_020885553.1	Np006G3613200
OG0000126	XP_020888411.1	Np002G0902700
OG0000126	XP_020872581.1	Np007G3882700
OG0000126	XP_020871413.1	Np004G2191600
OG0000127	XP_002874101.1	Np003G1510700
OG0000127	XP_020885803.1	Np006G3371500
OG0000127	XP_020872447.1, XP_002864658.2, XP_020880863.1	Np003G1523500
OG0000127	XP_002879182.1	Np006G3598300
OG0000128	XP_020880511.1	Np001G0644700
OG0000128	XP_020880525.1	Np001G0644900
OG0000128	XP_020891638.1, XP_002870336.2, XP_020880503.1	Np001G0644500
OG0000129	XP_020890882.1	Np002G0866100
OG0000129	XP_020890883.1	Np005G3118200
OG0000129	XP_020884859.1	Np001G0064000, Np001G0063300
OG0000130	XP_002878891.2	Np006G3485400
OG0000132	XP_020880888.1	Np001G0583700
OG0000132	XP_020871481.1, XP_020883459.1	Np001G0060300
OG0000132	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	Np005G3117900, Np005G3137200, Np005G3137300, Np005G3137400
OG0000134	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1, XP_002873501.1	Np003G1378400
OG0000137	XP_002866093.1	Np003G1600500
OG0000137	XP_020872432.1, XP_020871893.1	Np003G1602200
OG0000137	XP_002891107.2	Np003G1596700
OG0000137	XP_020870474.1	Np003G1602000, Np003G1601500, Np003G1600700
OG0000137	XP_002866092.1	Np003G1602100
OG0000137	XP_020872008.1	Np003G1602400
OG0000140	XP_020890722.1	Np001G0509300, Np001G0524900
OG0000141	XP_020891049.1, XP_020891221.1	Np002G1165900
OG0000148	XP_020868378.1, XP_020868376.1	Np004G1960900, Np004G1960800
OG0000148	XP_020888855.1	Np001G0107700
OG0000150	XP_020889706.1, XP_020866739.1	Np002G1102100, Np006G3465100, Np005G2952600
OG0000151	XP_002878017.1	Np001G0586800
OG0000151	XP_002881649.1	Np006G3339200
OG0000151	XP_002878016.1	Np001G0586700
OG0000151	XP_020880621.1	Np001G0563500
OG0000151	XP_020884903.1	Np006G3374700
OG0000151	XP_002871574.1	Np003G1404000
OG0000153	XP_020866558.1	Np004G2521100
OG0000154	XP_020879595.1, XP_020877958.1	Np004G1998200
OG0000154	XP_020867950.1, XP_020867947.1	Np004G1963300
OG0000154	XP_020866200.1	Np004G1963200
OG0000157	XP_020889806.1	Np006G3350500, Np003G1450700
OG0000157	XP_020866682.1	Np005G3104600, Np005G3104800, Np005G3107600
OG0000158	XP_020873114.1	Np005G2867000, Np005G2866500
OG0000158	XP_002869017.2	Np001G0700500
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	Np003G1292700
OG0000158	XP_020883421.1	Np005G2956600
OG0000158	XP_020877947.1	Np001G0283500, Np001G0283800, Np001G0282900, Np007G4061200
OG0000158	XP_002894673.1, XP_002868325.2	Np004G2036800, Np004G2174600, Np004G1934200
OG0000160	XP_020888881.1	Np007G3739600
OG0000160	XP_020872380.1	Np005G2740000
OG0000160	XP_020870964.1	Np003G1560700
OG0000160	XP_020889051.1	Np007G3899700
OG0000160	XP_020882578.1	Np001G0430500
OG0000160	XP_020890865.1	Np002G0711700
OG0000162	XP_002863691.1	Np006G3577700
OG0000162	XP_020888514.1	Np007G3727700
OG0000162	XP_002883663.1, XP_020887605.1	Np001G0244800
OG0000162	XP_002879439.1, XP_002879438.1	Np006G3578300
OG0000164	XP_020875554.1	Np003G1679900, Np005G3087000, Np006G3688300, Np004G2138100, Np003G1793900
OG0000165	XP_002883872.1	Np002G1201100, Np002G1201400, Np002G1201300, Np002G1201200
OG0000165	XP_002870492.1	Np003G1813000, Np003G1781700, Np003G1822600, Np003G1800900, Np003G1781600, Np003G1801300, Np003G1801500, Np007G4108400
OG0000166	XP_020885127.1	Np007G3748700
OG0000167	XP_020888465.1, XP_020886358.1, XP_020886753.1	Np007G3808900
OG0000167	XP_020886949.1, XP_020886948.1	Np007G3810100, Np007G3810500
OG0000169	XP_020868436.1, XP_002894040.2	Np004G2006300, Np004G2270200, Np001G0564500
OG0000169	XP_020883080.1	Np004G2270300
OG0000170	XP_002878356.2	Np001G0667900
OG0000171	XP_002865968.1	Np003G1641800
OG0000171	XP_002887912.1	Np002G1239200
OG0000171	XP_020888018.1	Np007G3768900
OG0000171	XP_020891046.1	Np003G1582900
OG0000171	XP_002867477.1	Np005G2770300
OG0000172	XP_020874182.1	Np003G1644100, Np006G3712300, Np004G1991300, Np004G1900300
OG0000173	XP_002868934.1	Np005G2621400
OG0000173	XP_002866926.1, XP_020872385.1, XP_020874945.1	Np001G0199900
OG0000174	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1	Np002G1029900
OG0000175	XP_002871626.1	Np003G1416000
OG0000176	XP_020883479.1, XP_020883055.1, XP_020882682.1, XP_020882656.1	Np007G4189400
OG0000176	XP_020891687.1	Np002G0837300, Np002G0837100
OG0000177	XP_020877970.1, XP_020869475.1	Np002G0868200, Np007G3897800, Np002G0760200
OG0000178	XP_002874799.1	Np003G1833700
OG0000178	XP_002872696.1	Np003G1835100
OG0000178	XP_020877648.1	Np003G1835200
OG0000178	XP_002872697.1	Np003G1834900, Np003G1834200
OG0000182	XP_020880330.1, XP_020880329.1	Np001G0465800, Np003G1776200
OG0000182	XP_020870824.1	Np002G0821500
OG0000182	XP_020880890.1	Np003G1557500, Np007G3723300
OG0000183	XP_002888498.1, XP_002870564.1	Np005G3124900
OG0000183	XP_020877395.1, XP_002879035.1	Np006G3615500
OG0000184	XP_020885996.1, XP_020886141.1	Np007G3824400, Np007G3829200
OG0000184	XP_002885573.2	Np007G3795700
OG0000185	XP_002886961.1	Np001G0633400, Np001G0633500, Np004G2438100, Np004G2439800, Np004G2439100
OG0000185	XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1, XP_002876919.1, XP_020869863.1	Np001G0026600, Np001G0030000, Np001G0688200
OG0000188	XP_020874302.1	Np007G4202700
OG0000188	XP_002884435.1	Np007G4208500
OG0000188	XP_020888830.1	Np007G4202800, Np004G1955500
OG0000188	XP_002882369.2, XP_002882368.1	Np001G0338100
OG0000189	XP_020873047.1	Np005G2675300
OG0000189	XP_002869113.1	Np007G3769000
OG0000189	XP_002887616.1	Np002G0772800
OG0000189	XP_020870471.1	Np004G2354100
OG0000192	XP_020873611.1	Np005G2794900
OG0000192	XP_002877382.2	Np004G2432200
OG0000193	XP_002885152.1	Np007G3913400
OG0000195	XP_020874961.1	Np007G3730700
OG0000197	XP_020872595.1	Np004G2439300, Np002G1112700
OG0000197	XP_020872593.1	Np005G2896400, Np001G0033100
OG0000197	XP_020872359.1	Np005G2896800
OG0000197	XP_002869981.2	Np004G2022400
OG0000198	XP_002870338.1, XP_020881007.1	Np001G0273200, Np001G0273100
OG0000198	XP_020869542.1, XP_002890920.1	Np006G3633600, Np003G1742600
OG0000198	XP_002892838.1, XP_020869981.1	Np004G2415000
OG0000198	XP_020869449.1	Np004G2414700
OG0000198	XP_020882067.1	Np005G2833600
OG0000199	XP_002891717.1	Np007G3776000, Np007G3775100, Np006G3307800
OG0000199	XP_020874321.1, XP_020877798.1, XP_002871796.1, XP_020874322.1, XP_020874320.1	Np004G2471000, Np004G2469700, Np004G2471600, Np004G2469900, Np004G2460000
OG0000200	XP_020870342.1	Np004G2544000
OG0000200	XP_020870343.1	Np004G2543900
OG0000200	XP_020870363.1	Np004G2143200, Np004G2141700, Np003G1654700
OG0000200	XP_020870362.1, XP_020870365.1	Np004G2141600, Np004G2143500
OG0000202	XP_020879031.1, XP_020876211.1, XP_020889753.1, XP_020877177.1, XP_020876186.1, XP_020877218.1	Np007G3890500
OG0000202	XP_020891504.1	Np007G3758700
OG0000203	XP_020880616.1	Np005G3179800
OG0000203	XP_020880586.1	Np001G0632300
OG0000203	XP_020880584.1	Np001G0631800
OG0000209	XP_002871416.1	Np003G1366500
OG0000210	XP_020882964.1, XP_020884580.1	Np006G3250000
OG0000210	XP_020891301.1	Np002G1162900
OG0000210	XP_020884667.1	Np006G3639200
OG0000211	XP_020866913.1	Np007G4123400
OG0000214	XP_020881499.1	Np004G2167500
OG0000215	XP_020874119.1, XP_020871428.1, XP_020866215.1, XP_020884668.1, XP_002870431.1, XP_020880707.1, XP_002863144.2, XP_002893840.2	Np007G4021500, Np002G1038000
OG0000215	XP_020869481.1	Np002G0864000
OG0000216	XP_020865893.1	Np002G1121800
OG0000216	XP_002876368.2	Np001G0606300, Np001G0606400
OG0000218	XP_020877744.1, XP_020872551.1, XP_020882165.1, XP_020881105.1	Np001G0082600, Np005G2949200, Np005G2921000, Np002G0962900, Np002G0922800
OG0000219	XP_020872035.1	Np001G0161000
OG0000219	XP_020887839.1	Np002G0871700
OG0000224	XP_020876947.1	Np002G1042200, Np004G2182200, Np002G1208000, Np002G0965300, Np009G4293100
OG0000225	XP_020890466.1	Np002G0730800
OG0000225	XP_020889768.1	Np002G0730400
OG0000227	XP_020886550.1, XP_020887062.1, XP_020888212.1, XP_020886582.1, XP_020877841.1	Np006G3524200, Np006G3524300
OG0000229	XP_002877248.2	Np006G3473000
OG0000229	XP_020866248.1, XP_002875577.1	Np002G1043000
OG0000230	XP_020880534.1	Np001G0641400
OG0000230	XP_020875151.1	Np001G0642200
OG0000233	XP_002873316.1	Np003G1335200, Np003G1335300
OG0000233	XP_020876210.1, XP_020876208.1	Np003G1335400
OG0000233	XP_002873315.1	Np003G1335100
OG0000233	XP_002873312.1, XP_020877613.1, XP_020876205.1	Np003G1334700, Np003G1334800, Np003G1334900, Np005G2911800
OG0000235	XP_020877394.1	Np003G1886600, Np003G1804500
OG0000235	XP_020885592.1, XP_020883752.1, XP_002862453.1, XP_002891517.1	Np005G3142900
OG0000235	XP_020868439.1, XP_002874400.1	Np005G3191700, Np005G3191200
OG0000236	XP_020886731.1	Np002G0865900, Np002G0866200, Np002G0866000
OG0000236	XP_020865699.1	Np007G3825000
OG0000236	XP_020878466.1, XP_020876131.1	Np003G1773300
OG0000237	XP_020881383.1	Np006G3664800, Np005G3024700
OG0000237	XP_002885438.2	Np007G3814600
OG0000238	XP_020872592.1, XP_002888798.1	Np002G0845300
OG0000238	XP_002872296.1, XP_002874413.1	Np004G2309500
OG0000241	XP_020873759.1	Np005G2864100
OG0000241	XP_002872711.1	Np003G1837500
OG0000242	XP_020871231.1	Np007G4179600
OG0000242	XP_020879188.1	Np001G0141900
