Orthogroup	Arabidopsis_lyrata_NCBI	Arabis_alpina
OG0000028	XP_020885754.1, XP_020874777.1, XP_020875627.1, XP_020874778.1, XP_020871166.1, XP_020886436.1	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	XP_020867892.1, XP_020875061.1, XP_020871243.1, XP_020880825.1, XP_020867900.1	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000028	XP_020865869.1, XP_020865879.1, XP_020877806.1, XP_020878007.1, XP_020880460.1, XP_020880469.1, XP_020880478.1	Aa_G553200.h1.t1
OG0000029	XP_020869142.1, XP_020881896.1, XP_020874317.1, XP_020879925.1, XP_020871888.1	Aa_G248570.h1.t1
OG0000029	XP_020874443.1	Aa_G288600.h1.t1, Aa_G637980.h1.t1, Aa_G988890.h1.t1
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	XP_020888486.1	Aa_G152820.h1.t1
OG0000034	XP_002869784.2	Aa_G782810.h1.t1, Aa_G619140.h1.t1
OG0000034	XP_020873360.1	Aa_G58870.h2.t1, Aa_G58870.h1.t1, Aa_G58900.h1.t1, Aa_G58880.h1.t1, Aa_G58910.h1.t1, Aa_G317980.h1.t1
OG0000034	XP_002867849.1	Aa_G58920.h1.t1
OG0000034	XP_002872597.2	Aa_G522590.h1.t1
OG0000034	XP_002877439.2	Aa_G191750.h1.t1, Aa_G92790.h1.t1, Aa_G92810.h1.t1
OG0000034	XP_020873356.1, XP_020873366.1	Aa_G191690.h1.t1
OG0000034	XP_020872543.1	Aa_G92800.h1.t1
OG0000035	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	XP_020883599.1, XP_020884365.1, XP_020876202.1, XP_020876425.1	Aa_G246010.h1.t1
OG0000042	XP_020872945.1	Aa_G834810.h1.t1
OG0000044	XP_020868157.1	Aa_G639660.h1.t1
OG0000044	XP_020879725.1	Aa_G89780.h1.t1, Aa_G403300.h1.t1, Aa_G208070.h1.t1
OG0000044	XP_020886914.1	Aa_G208060.h1.t1
OG0000044	XP_020880043.1, XP_020867167.1	Aa_G313590.h1.t1
OG0000044	XP_002884747.1, XP_020890887.1, XP_002863747.1	Aa_G33030.h1.t1
OG0000047	XP_020883415.1	Aa_G631350.h1.t1
OG0000048	XP_002881223.2, XP_002879361.2	Aa_G154560.h1.t1
OG0000048	XP_002894465.2	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000048	XP_020886243.1	Aa_G312310.h1.t1
OG0000050	XP_020880718.1, XP_002879393.2	Aa_G560070.h1.t1, Aa_G559960.h1.t1, Aa_G637230.h1.t1
OG0000051	XP_020868191.1	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	XP_020885498.1	Aa_G399340.h1.t1
OG0000051	XP_002886390.1	Aa_G678670.h1.t1
OG0000051	XP_020890130.1	Aa_G599340.h1.t1
OG0000051	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1	Aa_G271540.h1.t1
OG0000052	XP_020881407.1, XP_020881410.1, XP_020881406.1	Aa_G465260.h1.t1, Aa_G247990.h1.t1, Aa_G247980.h1.t1, Aa_G247970.h1.t1
OG0000052	XP_020880077.1	Aa_G555640.h1.t1, Aa_G207450.h1.t1, Aa_G61370.h1.t1
OG0000055	XP_002862289.1	Aa_G659190.h1.t1
OG0000055	XP_020883674.1	Aa_G5070.h1.t1
OG0000055	XP_020876181.1	Aa_G432690.h1.t1
OG0000056	XP_020890625.1, XP_002888056.1	Aa_G615090.h1.t1
OG0000056	XP_020891225.1, XP_002888053.1, XP_020891223.1	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	XP_020880767.1	Aa_G162440.h1.t1
OG0000058	XP_020868066.1	Aa_G444220.h1.t1
OG0000058	XP_020883504.1, XP_020877514.1	Aa_G527390.h1.t1
OG0000060	XP_020868758.1	Aa_G550780.h8.t1, Aa_G375890.h5.t1
OG0000060	XP_002866359.2	Aa_G33920.h4.t1
OG0000060	XP_020879701.1	Aa_G367650.h6.t1
OG0000060	XP_020884530.1	Aa_G33920.h7.t1
OG0000060	XP_002864647.1, XP_020880298.1	Aa_G448310.h4.t1
OG0000060	XP_002862282.2	Aa_G257700.h5.t1
OG0000060	XP_020868710.1	Aa_G318860.h5.t1
OG0000060	XP_020880172.1	Aa_G318860.h8.t1, Aa_G550780.h1.t1, Aa_G550780.h4.t1
OG0000061	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000061	XP_020874135.1	Aa_G386390.h1.t1, Aa_G488480.h1.t1
OG0000061	XP_020877006.1	Aa_G329030.h1.t1, Aa_G84910.h1.t1
OG0000062	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	Aa_G417500.h1.t1
OG0000065	XP_020865937.1, XP_020865720.1, XP_020865823.1, XP_020865819.1, XP_020865821.1, XP_002888564.2, XP_020865822.1, XP_020865825.1, XP_020865724.1	Aa_G756440.h1.t1, Aa_G190950.h1.t1
OG0000065	XP_020876931.1	Aa_G439610.h1.t1
OG0000065	XP_002868795.2	Aa_G574220.h1.t1
OG0000065	XP_020872917.1	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	XP_002894648.1	Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1
OG0000066	XP_020875248.1	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	XP_002871317.2	Aa_G416390.h1.t1, Aa_G47520.h1.t1, Aa_G185620.h1.t1, Aa_G170400.h1.t1
OG0000069	XP_020886063.1, XP_020871771.1	Aa_G20960.h1.t1
OG0000069	XP_002883980.2, XP_002893663.2, XP_020867217.1, XP_020868842.1	Aa_G536480.h1.t1
OG0000069	XP_002877300.2, XP_020881960.1	Aa_G707760.h1.t1, Aa_G190520.h1.t1
OG0000069	XP_002878041.1	Aa_G396900.h1.t1
OG0000069	XP_020887402.1	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	XP_020867590.1	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	XP_020891141.1	Aa_G410840.h1.t1
OG0000072	XP_020876164.1, XP_020889278.1	Aa_G505780.h1.t1
OG0000072	XP_020891624.1	Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000075	XP_002868913.1	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	XP_002891313.1, XP_002891316.2, XP_020875509.1	Aa_G254660.h1.t1
OG0000075	XP_020874617.1	Aa_G136250.h1.t1
OG0000075	XP_020875009.1, XP_020871408.1	Aa_G545910.h1.t1
OG0000076	XP_020872718.1	Aa_G137810.h1.t1
OG0000077	XP_020884560.1	Aa_G362960.h1.t1, Aa_G122040.h1.t1
OG0000077	XP_020880678.1	Aa_G683270.h1.t1
OG0000077	XP_020868196.1	Aa_G160980.h1.t1
OG0000077	XP_020890121.1, XP_002863849.1	Aa_G161010.h1.t1
OG0000078	XP_002884413.1	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	XP_020887050.1	Aa_G339720.h1.t1
OG0000078	XP_020887049.1	Aa_G339730.h1.t1
OG0000078	XP_020877805.1, XP_020877807.1	Aa_G85810.h1.t1, Aa_G253710.h1.t1, Aa_G253680.h1.t1
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	Aa_G160120.h1.t1
OG0000084	XP_020886029.1, XP_020876858.1	Aa_G896890.h1.t1
OG0000084	XP_020876480.1	Aa_G370540.h1.t1
OG0000086	XP_002868825.1	Aa_G108450.h1.t1
OG0000086	XP_020872358.1, XP_002868822.1, XP_002868821.2	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	XP_002868577.1, XP_020874198.1, XP_020865653.1, XP_020889890.1, XP_020889891.1	Aa_G703520.h1.t1
OG0000089	XP_020879374.1	Aa_G630880.h1.t1
OG0000089	XP_020880680.1	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	XP_020883550.1	Aa_G199760.h1.t1
OG0000089	XP_002873559.1	Aa_G256660.h1.t1
OG0000089	XP_002863588.1	Aa_G103150.h1.t1
OG0000089	XP_020872103.1	Aa_G580380.h1.t1
OG0000089	XP_002881356.1	Aa_G562810.h1.t1
OG0000089	XP_020866480.1, XP_020890671.1	Aa_G656110.h1.t1
OG0000091	XP_002875847.2	Aa_G363940.h1.t1
OG0000091	XP_020881857.1, XP_020881860.1	Aa_G123680.h1.t1, Aa_G100910.h1.t1, Aa_G425870.h1.t1, Aa_G89040.h1.t1
OG0000091	XP_020878730.1	Aa_G15590.h1.t1
OG0000091	XP_002864053.1	Aa_G15570.h1.t1
OG0000091	XP_020880184.1	Aa_G89050.h1.t1
OG0000095	XP_020884025.1	Aa_G54460.h1.t1
OG0000095	XP_020884655.1	Aa_G271110.h1.t1
OG0000096	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2, XP_020889406.1, XP_002872691.1	Aa_G32180.h1.t1
OG0000098	XP_020876145.1, XP_020879189.1, XP_002874257.1	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	XP_002887938.1	Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1
OG0000100	XP_020891283.1	Aa_G65760.h1.t1
OG0000102	XP_020876465.1	Aa_G577800.h1.t1
OG0000102	XP_002874844.1	Aa_G405840.h1.t1, Aa_G42060.h1.t1, Aa_G405830.h6.t1, Aa_G405830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h3.t1, Aa_G405830.h2.t1, Aa_G405830.h4.t1, Aa_G405810.h1.t1, Aa_G120830.h1.t1, Aa_G233060.h1.t1, Aa_G261510.h1.t1, Aa_G25760.h1.t1
OG0000102	XP_020876795.1	Aa_G132920.h1.t1
OG0000102	XP_002874842.1	Aa_G42050.h1.t1
OG0000105	XP_020875322.1	Aa_G117390.h1.t1
OG0000106	XP_020871478.1, XP_020889746.1	Aa_G456270.h1.t1, Aa_G32140.h1.t1
OG0000107	XP_002883226.2	Aa_G115060.h1.t1
OG0000107	XP_020888430.1, XP_020886789.1, XP_002870246.2	Aa_G323960.h1.t1
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	Aa_G576740.h1.t1
OG0000108	XP_020888275.1	Aa_G5290.h1.t1
OG0000108	XP_020876820.1	Aa_G537640.h1.t1, Aa_G152880.h1.t1
OG0000108	XP_002879968.1, XP_002879967.1	Aa_G67360.h1.t1
OG0000110	XP_020870662.1, XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2	Aa_G32020.h1.t1
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	Aa_G361230.h1.t1, Aa_G861160.h1.t1, Aa_G122790.h1.t1
OG0000114	XP_020878269.1, XP_020886207.1	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000115	XP_020889357.1	Aa_G264010.h1.t1
OG0000115	XP_020878531.1	Aa_G447930.h1.t1, Aa_G30380.h1.t1
OG0000117	XP_020866886.1	Aa_G349950.h1.t1
OG0000117	XP_020870031.1, XP_020869256.1	Aa_G62330.h1.t1
OG0000117	XP_002893298.1	Aa_G62240.h1.t1
OG0000117	XP_002893290.1, XP_002893291.1	Aa_G436170.h1.t1, Aa_G187350.h1.t1, Aa_G349960.h1.t1
OG0000119	XP_020881724.1	Aa_G251660.h1.t1
OG0000122	XP_020871558.1	Aa_G379600.h1.t1
OG0000122	XP_020871241.1	Aa_G592730.h1.t1
OG0000122	XP_002864448.2	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	XP_020865748.1	Aa_G592740.h1.t1
OG0000125	XP_020870885.1	Aa_G257560.h1.t1
OG0000125	XP_020866497.1	Aa_G166390.h1.t1
OG0000127	XP_002874101.1	Aa_G552180.h1.t1
OG0000127	XP_020885803.1	Aa_G311330.h1.t1
OG0000127	XP_020872447.1, XP_002864658.2, XP_020880863.1	Aa_G33880.h1.t1
OG0000127	XP_002879182.1	Aa_G69270.h1.t1
OG0000128	XP_020880511.1	Aa_G784880.h1.t1
OG0000128	XP_020880525.1	Aa_G271260.h1.t1
OG0000128	XP_020891638.1, XP_002870336.2, XP_020880503.1	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	XP_020890882.1	Aa_G323510.h1.t1
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	XP_002884887.2	Aa_G198530.h1.t1
OG0000132	XP_020880888.1	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000132	XP_020882481.1, XP_020882467.1	Aa_G75240.h1.t1
OG0000132	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000134	XP_002892003.1, XP_020866269.1, XP_020870825.1	Aa_G146330.h1.t1
OG0000134	XP_002873501.1	Aa_G84490.h1.t1
OG0000137	XP_002866093.1	Aa_G59090.h1.t1
OG0000137	XP_020870474.1	Aa_G732190.h1.t1, Aa_G643460.h1.t1
OG0000137	XP_020872008.1	Aa_G643480.h1.t1
OG0000138	XP_020880550.1	Aa_G154170.h1.t1
OG0000138	XP_020880529.1	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000138	XP_020880592.1, XP_020880551.1	Aa_G244940.h1.t1
OG0000140	XP_020890721.1	Aa_G89750.h1.t1
OG0000140	XP_020883678.1	Aa_G41930.h1.t1, Aa_G708810.h1.t1, Aa_G445230.h1.t1, Aa_G650260.h1.t1, Aa_G555610.h1.t1, Aa_G206620.h1.t1
OG0000141	XP_020867361.1	Aa_G124650.h1.t1, Aa_G366140.h1.t1
OG0000141	XP_002889921.2	Aa_G521440.h1.t1, Aa_G193720.h1.t1
OG0000141	XP_020891049.1, XP_020891221.1	Aa_G473800.h1.t1, Aa_G391080.h1.t1, Aa_G733890.h1.t1
OG0000150	XP_020889706.1, XP_020866739.1, XP_020891702.1, XP_020886307.1, XP_020875426.1, XP_020875346.1, XP_020878841.1, XP_020875419.1, XP_020875390.1, XP_020875395.1, XP_020875381.1, XP_020875326.1, XP_020875372.1, XP_020885392.1	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	XP_020881605.1	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	XP_002878017.1	Aa_G729400.h1.t1
OG0000151	XP_002881649.1	Aa_G351720.h1.t1
OG0000151	XP_020880621.1	Aa_G13900.h1.t1
OG0000151	XP_020884903.1	Aa_G30120.h1.t1
OG0000151	XP_002871574.1	Aa_G388320.h1.t1
OG0000153	XP_020885350.1	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000153	XP_020885362.1	Aa_G358520.h1.t1
OG0000153	XP_020866558.1	Aa_G310600.h1.t1
OG0000154	XP_020879595.1, XP_020877958.1	Aa_G37000.h1.t1
OG0000154	XP_020874310.1	Aa_G507510.h1.t1, Aa_G507500.h1.t1
OG0000154	XP_020866511.1, XP_020869438.1	Aa_G406970.h1.t1, Aa_G434970.h1.t1, Aa_G462070.h1.t1, Aa_G434980.h1.t1
OG0000158	XP_002869017.2	Aa_G223250.h1.t1
OG0000160	XP_020888881.1	Aa_G190130.h1.t1
OG0000160	XP_020872380.1	Aa_G620370.h1.t1
OG0000160	XP_020870964.1	Aa_G307400.h1.t1
OG0000160	XP_020889051.1	Aa_G194510.h1.t1
OG0000160	XP_020882578.1	Aa_G490420.h1.t1
OG0000160	XP_020890865.1	Aa_G21590.h1.t1
OG0000160	XP_020885195.1	Aa_G41590.h1.t1
OG0000161	XP_002892325.1	Aa_G172360.h1.t1
OG0000162	XP_002863691.1	Aa_G851370.h1.t1
OG0000162	XP_002879435.1, XP_020881030.1, XP_020880682.1, XP_002873553.1, XP_020881771.1, XP_002875217.1, XP_020874590.1, XP_020875337.1, XP_002893105.1, XP_020888514.1, XP_002883663.1, XP_020887605.1, XP_002879439.1, XP_002879438.1	Aa_G363640.h1.t1
OG0000165	XP_002883872.1	Aa_G266430.h1.t1
OG0000165	XP_002870492.1	Aa_G370290.h1.t1, Aa_G370300.h1.t1, Aa_G293040.h1.t1, Aa_G370270.h1.t1, Aa_G228400.h1.t1
OG0000166	XP_020865750.1	Aa_G706020.h1.t1, Aa_G98920.h1.t1
OG0000166	XP_020865593.1	Aa_G98930.h1.t1
OG0000166	XP_020890617.1	Aa_G98910.h1.t1
OG0000167	XP_020886745.1	Aa_G162040.h1.t1
OG0000170	XP_002878356.2	Aa_G48820.h1.t1
OG0000171	XP_002865968.1	Aa_G134060.h1.t1
OG0000171	XP_020874812.1	Aa_G688860.h1.t1
OG0000171	XP_002887912.1	Aa_G135580.h1.t1
OG0000171	XP_020888018.1	Aa_G70150.h1.t1
OG0000171	XP_020891046.1	Aa_G580840.h1.t1
OG0000171	XP_020888570.1	Aa_G24370.h1.t1
OG0000171	XP_002867477.1	Aa_G2000.h1.t1
OG0000175	XP_020870037.1, XP_020890687.1	Aa_G101710.h1.t1
OG0000175	XP_020865876.1, XP_020882227.1	Aa_G535890.h1.t1
OG0000175	XP_020883923.1	Aa_G775400.h2.t1, Aa_G453040.h2.t1, Aa_G453040.h1.t1, Aa_G775400.h1.t1
OG0000176	XP_020866346.1	Aa_G74650.h1.t1
OG0000176	XP_020889939.1	Aa_G319580.h1.t1, Aa_G319590.h1.t1
OG0000176	XP_020891687.1	Aa_G319560.h1.t1, Aa_G595900.h1.t1
OG0000177	XP_020869474.1, XP_020889073.1	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000178	XP_002874799.1	Aa_G320630.h1.t1
OG0000182	XP_020880330.1, XP_020880329.1	Aa_G77300.h1.t1, Aa_G394610.h1.t1, Aa_G394570.h1.t1, Aa_G299160.h1.t1
OG0000182	XP_020882675.1, XP_020881705.1, XP_020881706.1, XP_020880843.1, XP_020881703.1	Aa_G22640.h1.t1, Aa_G167450.h1.t1
OG0000182	XP_020870824.1	Aa_G591560.h1.t1, Aa_G600540.h1.t1, Aa_G302260.h1.t1
OG0000182	XP_020880890.1, XP_020882443.1, XP_020882437.1	Aa_G143210.h1.t1
OG0000183	XP_002888498.1, XP_002870564.1	Aa_G505900.h1.t1
OG0000183	XP_002879909.1, XP_002878109.1	Aa_G562480.h1.t1
OG0000185	XP_002891127.1, XP_002891130.1	Aa_G424840.h1.t1
OG0000185	XP_002862875.1	Aa_G328640.h1.t1, Aa_G328640.h2.t1
OG0000185	XP_002890779.1	Aa_G464540.h1.t1, Aa_G464550.h1.t1
OG0000186	XP_020891309.1, XP_020884619.1, XP_020882765.1, XP_020891314.1	Aa_G218170.h1.t1
OG0000187	XP_020882989.1, XP_002878566.1	Aa_G279240.h1.t1, Aa_G279230.h1.t1
OG0000187	XP_020883121.1, XP_020885184.1, XP_020884986.1, XP_020885024.1, XP_020885006.1, XP_020885032.1, XP_002879220.1	Aa_G279220.h1.t1, Aa_G773360.h1.t1, Aa_G279150.h1.t1
OG0000188	XP_020879451.1, XP_020879478.1, XP_002873533.1, XP_002884435.1	Aa_G606990.h1.t1
OG0000188	XP_002882369.2, XP_002882368.1	Aa_G4330.h1.t1
OG0000189	XP_020873047.1, XP_020885855.1	Aa_G514660.h1.t1, Aa_G459730.h1.t1
OG0000189	XP_002869113.1	Aa_G180380.h1.t1, Aa_G70160.h1.t1
OG0000189	XP_002887616.1	Aa_G281740.h1.t1
OG0000195	XP_020874961.1	Aa_G230200.h1.t1
OG0000195	XP_020877989.1	Aa_G459140.h1.t1
OG0000195	XP_020884059.1	Aa_G376620.h1.t1
OG0000196	XP_020872249.1, XP_020883783.1, XP_020874890.1	Aa_G574390.h1.t1, Aa_G84820.h1.t1
OG0000197	XP_020872595.1	Aa_G460250.h1.t1, Aa_G460270.h1.t1
OG0000197	XP_020872359.1	Aa_G403160.h1.t1
OG0000197	XP_002869981.2	Aa_G674860.h1.t1
OG0000198	XP_002875203.1, XP_002875076.1	Aa_G509920.h1.t1
OG0000198	XP_002870338.1, XP_020881007.1	Aa_G278170.h1.t1
OG0000198	XP_002892838.1, XP_020869981.1	Aa_G328840.h1.t1
OG0000198	XP_020869449.1	Aa_G272200.h1.t1
OG0000198	XP_020882067.1	Aa_G222140.h1.t1, Aa_G238450.h1.t1
OG0000199	XP_002891651.2, XP_002891717.1, XP_020868387.1	Aa_G530530.h1.t1, Aa_G311720.h1.t1, Aa_G362380.h1.t1, Aa_G186410.h1.t1, Aa_G153710.h1.t1, Aa_G367870.h1.t1, Aa_G385540.h1.t1, Aa_G191200.h1.t1, Aa_G138220.h1.t1
OG0000199	XP_020874321.1, XP_020877798.1, XP_002871796.1, XP_020874322.1, XP_020874320.1	Aa_G123140.h1.t1, Aa_G191220.h1.t1, Aa_G284830.h1.t1
OG0000200	XP_020870362.1, XP_020870365.1	Aa_G37370.h1.t1
OG0000202	XP_020877218.1	Aa_G71240.h1.t1
OG0000202	XP_020891504.1	Aa_G434790.h1.t1, Aa_G716220.h1.t1
OG0000203	XP_002878203.1, XP_020880570.1	Aa_G526150.h1.t1
OG0000203	XP_020880586.1	Aa_G526230.h1.t1
OG0000203	XP_020880584.1	Aa_G526180.h1.t1
OG0000208	XP_020876154.1	Aa_G89920.h1.t1, Aa_G979430.h1.t1
OG0000210	XP_020884580.1	Aa_G175290.h1.t1
OG0000210	XP_020881913.1	Aa_G573270.h1.t1
OG0000210	XP_020884667.1	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000210	XP_020879924.1	Aa_G208990.h1.t1
OG0000216	XP_002872655.2	Aa_G389410.h1.t1
OG0000216	XP_020865893.1	Aa_G57040.h1.t1
OG0000216	XP_002876368.2	Aa_G373050.h1.t1
OG0000219	XP_020873116.1	Aa_G30010.h1.t1
OG0000219	XP_020873172.1, XP_020873179.1	Aa_G48860.h1.t1
OG0000219	XP_020880727.1, XP_020875545.1	Aa_G584620.h1.t1
OG0000219	XP_020872035.1	Aa_G974030.h1.t1, Aa_G961810.h1.t1, Aa_G631990.h1.t1
OG0000225	XP_020889768.1	Aa_G5960.h1.t1, Aa_G109260.h1.t1, Aa_G458000.h1.t1, Aa_G335450.h1.t1, Aa_G335440.h1.t1
OG0000227	XP_020886550.1, XP_020887062.1	Aa_G216090.h1.t1, Aa_G333250.h1.t1
OG0000227	XP_020890178.1	Aa_G51090.h1.t1
OG0000230	XP_020880533.1	Aa_G175830.h1.t1
