Orthogroup	Arabidopsis_lyrata_NCBI	Capsella_rubella
OG0000061	XP_020877006.1	XP_006290130.1
OG0000061	XP_020884191.1	XP_023640452.1
OG0000062	XP_020871212.1, XP_020876453.1	XP_023633725.1
OG0000062	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1	XP_023633353.1
OG0000064	XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	XP_006301177.1, XP_006279224.1, XP_006279222.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301373.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006301675.1, XP_006301967.1, XP_006281741.1
OG0000065	XP_020865720.1	XP_023644442.1
OG0000065	XP_020865819.1	XP_023643067.1
OG0000065	XP_002888564.2	XP_023643778.1
OG0000065	XP_020865825.1	XP_006300887.1
OG0000065	XP_020876931.1	XP_023637822.1
OG0000065	XP_020873883.1	XP_023638915.1
OG0000065	XP_020872917.1	XP_006286236.1
OG0000066	XP_002877046.2, XP_002894648.1, XP_020876762.1	XP_006301260.2
OG0000066	XP_020875248.1	XP_006284727.1, XP_006288773.2, XP_006284722.1, XP_006302978.1
OG0000066	XP_020869687.1	XP_006304375.1
OG0000067	XP_020886169.1, XP_020865924.1	XP_023634337.1
OG0000068	XP_020876030.1, XP_020876026.1	XP_006289556.2, XP_023637280.1
OG0000068	XP_020868524.1, XP_020877300.1, XP_020886482.1	XP_023642606.1
OG0000068	XP_020871868.1, XP_002864221.1	XP_023633398.1
OG0000068	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1	XP_006286541.1
OG0000069	XP_020886063.1, XP_020871771.1	XP_023642292.1
OG0000069	XP_020870187.1	XP_006304155.1
OG0000069	XP_020882733.1	XP_023645826.1
OG0000069	XP_020887402.1	XP_006288439.1
OG0000070	XP_020867590.1	XP_006305612.2
OG0000070	XP_002883942.1, XP_002875195.1, XP_002875194.1	XP_006292236.1, XP_006292951.2, XP_006290298.1, XP_006292400.1, XP_006291986.1, XP_006292823.1, XP_006292249.1, XP_006292597.1, XP_006291940.1
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	XP_006304273.1
OG0000070	XP_020891141.1	XP_006302938.1
OG0000070	XP_002863814.1	XP_023637791.1
OG0000070	XP_002878309.1	XP_023637735.1
OG0000070	XP_002867118.1	XP_006286731.1, XP_006289176.1, XP_006285109.1
OG0000072	XP_020891370.1, XP_002865523.2	XP_006282913.2, XP_023638967.1
OG0000074	XP_020874556.1	XP_023636039.1
OG0000075	XP_002868913.1	XP_006285279.1
OG0000075	XP_002891313.1, XP_002891316.2, XP_020875509.1	XP_023635517.1
OG0000075	XP_002868917.2	XP_023635518.1
OG0000075	XP_002868914.1, XP_002874784.1	XP_006286716.1
OG0000075	XP_020874617.1	XP_023634488.1
OG0000075	XP_020875017.1, XP_002863944.2	XP_023633364.1, XP_006281030.1, XP_006280653.1
OG0000075	XP_020890734.1, XP_020865611.1	XP_006301199.1
OG0000076	XP_020872718.1	XP_023634774.1
OG0000076	XP_020884728.1	XP_006295567.2
OG0000076	XP_002886268.1	XP_006286831.1
OG0000076	XP_020887308.1	XP_006281621.1
OG0000077	XP_020884560.1	XP_006281971.1
OG0000077	XP_020869035.1	XP_006280897.2
OG0000077	XP_020891276.1	XP_023643297.1
OG0000077	XP_020880678.1	XP_006292755.1
OG0000077	XP_020881582.1, XP_020881188.1	XP_006292790.1, XP_006293218.1
OG0000078	XP_002884413.1	XP_006300074.1
OG0000078	XP_020887050.1	XP_006298876.1
OG0000078	XP_020887049.1	XP_006300092.1
OG0000078	XP_020877813.1	XP_023636207.1
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	XP_023644218.1, XP_023645325.1
OG0000080	XP_020866661.1, XP_020874789.1	XP_023644219.1
OG0000081	XP_020870247.1	XP_023638026.1, XP_023634808.1
OG0000081	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1	XP_023634311.1
OG0000082	XP_020881708.1, XP_020869010.1, XP_020883385.1	XP_023642613.1
OG0000086	XP_002868825.1	XP_006285515.2, XP_006291706.2
OG0000086	XP_002864819.1	XP_023633444.1
OG0000086	XP_002870581.1	XP_006285302.1, XP_006285318.2, XP_006284306.1, XP_023634328.1, XP_006285250.1
OG0000086	XP_002870579.2	XP_006284253.1
OG0000086	XP_002868826.1	XP_006301558.1
OG0000086	XP_020874198.1	XP_006286814.1
OG0000086	XP_020865653.1	XP_006302255.2
OG0000086	XP_020889890.1	XP_006302648.1, XP_023644277.1
OG0000086	XP_020889891.1	XP_006302616.1
OG0000089	XP_020879374.1	XP_006287738.1
OG0000089	XP_020871804.1, XP_020880680.1	XP_006292748.1, XP_006291122.1
OG0000089	XP_020883550.1	XP_006294210.1
OG0000089	XP_002873559.1	XP_006289933.1
OG0000089	XP_002863588.1	XP_006281513.1
OG0000089	XP_020872103.1	XP_006283733.1
OG0000089	XP_020866480.1	XP_006307490.1
OG0000089	XP_020890671.1	XP_006302256.1
OG0000091	XP_002875847.2	XP_023637739.1
OG0000091	XP_020880709.1	XP_023639002.1
OG0000091	XP_020881827.1	XP_006296540.2
OG0000091	XP_020878730.1	XP_023636467.1
OG0000091	XP_002864053.1	XP_023644362.1
OG0000095	XP_002880754.1	XP_006294389.1
OG0000095	XP_020885291.1, XP_020884026.1	XP_006295399.1
OG0000095	XP_020884025.1	XP_006294228.1
OG0000095	XP_002878788.1	XP_006294375.1, XP_006294370.2
OG0000095	XP_020883521.1	XP_006294323.1
OG0000095	XP_002880755.1, XP_002880625.1	XP_006296376.2
OG0000095	XP_002880565.1, XP_020884335.1	XP_006295861.1
OG0000096	XP_020884689.1	XP_023640363.1, XP_006296370.1, XP_006296007.1
OG0000096	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1	XP_006297893.1
OG0000096	XP_002884070.2	XP_006299978.1
OG0000096	XP_020889406.1	XP_006297929.1
OG0000098	XP_020889445.1	XP_023641898.1, XP_006297881.1
OG0000098	XP_020865728.1	XP_006292655.1
OG0000098	XP_002893476.1, XP_020869068.1	XP_006305026.1
OG0000098	XP_002874257.1	XP_006289986.1, XP_006289767.1
OG0000100	XP_020890843.1	XP_006301994.2
OG0000100	XP_020867631.1	XP_023643315.1
OG0000100	XP_020867629.1	XP_023644343.1
OG0000100	XP_002886645.1	XP_006301998.2
OG0000100	XP_002887938.1	XP_023643545.1
OG0000100	XP_020875192.1	XP_023635628.1
OG0000100	XP_020868270.1	XP_023643838.1
OG0000102	XP_020876465.1	XP_006288400.1
OG0000102	XP_002874669.1, XP_020877173.1, XP_020876443.1, XP_002862572.1	XP_006289764.1, XP_006289669.1, XP_023644271.1, XP_006301748.2, XP_006301379.1
OG0000102	XP_002874844.1	XP_006285555.2
OG0000102	XP_002863972.2, XP_002874850.1	XP_006288542.1
OG0000102	XP_020876795.1	XP_023634256.1
OG0000102	XP_002865915.2	XP_006289089.1, XP_006288348.1
OG0000102	XP_002874842.1	XP_006288252.1
OG0000106	XP_020871478.1	XP_006301047.2
OG0000106	XP_020889746.1	XP_023643263.1
OG0000107	XP_020887921.1	XP_006299861.1
OG0000107	XP_002883228.1	XP_006297457.1
OG0000107	XP_020886789.1	XP_006289895.1
OG0000107	XP_020887923.1	XP_006299064.2
OG0000107	XP_020887918.1	XP_023642039.1
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	XP_006294425.1
OG0000108	XP_020882238.1	XP_006291307.1
OG0000108	XP_020888275.1	XP_006297921.1
OG0000108	XP_020876820.1	XP_006287952.1
OG0000108	XP_020867828.1, XP_002883150.1	XP_006297920.1
OG0000108	XP_002879968.1	XP_006295441.1
OG0000108	XP_002879967.1	XP_006295821.1
OG0000109	XP_020882760.1	XP_023644486.1, XP_023637552.1
OG0000109	XP_020884945.1	XP_023641886.1, XP_023633619.1
OG0000109	XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1	XP_023633613.1
OG0000110	XP_020870662.1, XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2	XP_023644523.1, XP_023640339.1, XP_023633349.1, XP_023633346.1, XP_023644458.1, XP_023642819.1
OG0000111	XP_002876201.1	XP_023638950.1, XP_023644251.1, XP_023643207.1, XP_006301030.1, XP_023634314.1, XP_006289239.1, XP_006289948.1, XP_006289559.1, XP_006285378.1
OG0000111	XP_002875482.1	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000114	XP_020885335.1, XP_020881794.1, XP_020882022.1	XP_006301152.1
OG0000114	XP_020878269.1	XP_023640326.1
OG0000114	XP_020886207.1	XP_023634652.1, XP_023640905.1, XP_023635195.1
OG0000115	XP_020878880.1	XP_023644425.1
OG0000117	XP_020866886.1	XP_006306513.2
OG0000117	XP_020870031.1	XP_006303770.1
OG0000117	XP_020869256.1	XP_006304583.1
OG0000117	XP_002893298.1	XP_006304377.2
OG0000117	XP_020869910.1	XP_023632777.1
OG0000117	XP_020866884.1	XP_023644784.1
OG0000117	XP_002893302.1	XP_023632781.1
OG0000117	XP_002893290.1	XP_006304618.2
OG0000117	XP_002893291.1	XP_023644792.1
OG0000118	XP_020882845.1	XP_006290039.1
OG0000118	XP_020882847.1, XP_020885096.1	XP_023640365.1
OG0000118	XP_002888470.1	XP_006300909.1, XP_006301359.2
OG0000118	XP_020877537.1	XP_006290202.1
OG0000118	XP_002885586.1, XP_020888654.1	XP_023642688.1
OG0000119	XP_020881724.1	XP_023638901.1
OG0000119	XP_002878927.2	XP_006296419.2
OG0000119	XP_020885607.1, XP_002878925.2	XP_006295986.2
OG0000119	XP_002875622.2	XP_006292836.2, XP_006292499.2, XP_023638877.1
OG0000119	XP_020881834.1, XP_020876007.1	XP_023638900.1
OG0000119	XP_002877410.2, XP_020881729.1	XP_006293090.1
OG0000119	XP_020881738.1	XP_023638772.1
OG0000119	XP_020881735.1	XP_006292851.1, XP_006292857.1
OG0000120	XP_020871150.1	XP_023640343.1, XP_023640331.1, XP_023644467.1
OG0000122	XP_020871558.1	XP_006307679.1
OG0000122	XP_020866960.1	XP_006281709.1
OG0000122	XP_020871241.1	XP_023645912.1, XP_023633493.1
OG0000122	XP_002864448.2, XP_020865748.1	XP_023633416.1
OG0000123	XP_002864096.1	XP_006282356.1, XP_006289168.1
OG0000123	XP_020882864.1, XP_020868841.1	XP_006303711.1
OG0000124	XP_020875630.1	XP_023635269.1
OG0000125	XP_020870885.1	XP_023645280.1
OG0000125	XP_020866497.1	XP_023645616.1
OG0000125	XP_020870264.1	XP_023645225.1
OG0000125	XP_020870260.1	XP_006306741.1
OG0000125	XP_020886058.1	XP_006299926.1
OG0000126	XP_020885553.1	XP_023640354.1
OG0000127	XP_002874101.1	XP_006289049.1
OG0000127	XP_002873061.1	XP_006286660.1
OG0000127	XP_020887259.1	XP_006298831.2
OG0000127	XP_020880339.1	XP_006304288.1
OG0000127	XP_020872447.1, XP_002864658.2	XP_006281264.1
OG0000127	XP_020880863.1	XP_006292858.1
OG0000127	XP_002877451.1	XP_006292010.1
OG0000128	XP_020879745.1	XP_023639092.1
OG0000128	XP_020879609.1	XP_006291075.1
OG0000128	XP_020879607.1	XP_006291073.1
OG0000128	XP_020882191.1	XP_006291250.1
OG0000128	XP_020880511.1	XP_006290900.1
OG0000128	XP_020880525.1	XP_006291045.1
OG0000128	XP_020891638.1	XP_006302146.1
OG0000128	XP_002870336.2	XP_006282595.1
OG0000129	XP_020890882.1	XP_023644190.1
OG0000129	XP_020890883.1	XP_023644191.1
OG0000129	XP_020867988.1	XP_023645120.1
OG0000129	XP_002864761.1, XP_020871006.1	XP_023635333.1
OG0000129	XP_020885823.1	XP_023640860.1
OG0000129	XP_002879145.1	XP_023640089.1
OG0000129	XP_020890885.1	XP_023644193.1
OG0000130	XP_020873128.1	XP_006285982.2
OG0000132	XP_020880888.1	XP_006291215.1
OG0000132	XP_020878937.1, XP_020877053.1	XP_023637355.1
OG0000132	XP_020871248.1, XP_020872039.1	XP_006283852.1
OG0000132	XP_020873181.1, XP_020875462.1	XP_023634364.1
OG0000134	XP_002892003.1, XP_020866269.1	XP_023643303.1, XP_023643420.1
OG0000134	XP_020879760.1	XP_023638531.1
OG0000134	XP_020874575.1, XP_020874571.1, XP_020874573.1, XP_020874585.1, XP_020874574.1	XP_023634083.1
OG0000134	XP_020880962.1	XP_023634084.1
OG0000134	XP_020883481.1	XP_023640358.1
OG0000134	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1	XP_023640588.1, XP_006282379.2, XP_006279879.2, XP_023640573.1
OG0000137	XP_002866093.1	XP_006280742.1
OG0000137	XP_020881819.1	XP_023633411.1
OG0000137	XP_020870474.1	XP_023637930.1, XP_006281726.2
OG0000137	XP_002866092.1	XP_006281991.1
OG0000137	XP_020872008.1	XP_006281729.1
OG0000137	XP_020871354.1	XP_006280772.1
OG0000138	XP_020880953.1, XP_020865702.1	XP_006293105.1
OG0000138	XP_020880550.1	XP_023639085.1
OG0000138	XP_020880529.1	XP_006292673.2
OG0000138	XP_020881910.1, XP_020880545.1	XP_023639081.1
OG0000138	XP_020880319.1	XP_006291171.1
OG0000138	XP_020889594.1, XP_020880950.1	XP_006304853.2
OG0000138	XP_002876243.1	XP_006292487.1
OG0000140	XP_020890690.1	XP_023633812.1
OG0000141	XP_020869968.1	XP_023644396.1
OG0000141	XP_020867361.1	XP_006306386.2
OG0000141	XP_020891049.1	XP_006300715.1, XP_006301151.1, XP_006301217.1, XP_023644089.1, XP_006286837.2
OG0000144	XP_020875124.1	XP_023636064.1, XP_023644445.1, XP_023633453.1, XP_023634293.1, XP_023644415.1, XP_023641261.1, XP_023644221.1
OG0000148	XP_020886427.1	XP_006297855.1
OG0000148	XP_002894068.1	XP_023632976.1, XP_023632977.1
OG0000148	XP_020889929.1	XP_023644303.1
OG0000148	XP_020868378.1	XP_023633110.1
OG0000151	XP_020881605.1	XP_006290668.1
OG0000151	XP_002878017.1	XP_006292545.1
OG0000151	XP_002881649.1	XP_006295608.1
OG0000151	XP_002878016.1	XP_006292248.1
OG0000151	XP_020880621.1	XP_006290640.1
OG0000151	XP_020884903.1	XP_006295587.1
OG0000151	XP_002871574.1	XP_006287124.2
OG0000153	XP_020885355.1	XP_023639932.1
OG0000153	XP_002881123.1	XP_006294819.1
OG0000153	XP_020885353.1	XP_023640128.1
OG0000153	XP_020885362.1	XP_023639834.1, XP_023639909.1, XP_023640029.1
OG0000153	XP_020866558.1	XP_023639879.1
OG0000154	XP_020866593.1	XP_006306278.1
OG0000154	XP_020879595.1, XP_020877958.1	XP_023644539.1, XP_023635872.1
OG0000154	XP_020874310.1	XP_023633661.1
OG0000154	XP_020866511.1	XP_006303205.1
OG0000154	XP_020869438.1	XP_006304379.1
OG0000154	XP_020867948.1	XP_023632549.1, XP_023632830.1
OG0000154	XP_020867950.1, XP_020867947.1, XP_020867946.1	XP_023645184.1
OG0000154	XP_020866200.1	XP_006306758.1
OG0000157	XP_020869751.1	XP_023645847.1
OG0000157	XP_020866091.1	XP_006304647.1
OG0000157	XP_020889806.1	XP_023634266.1, XP_006304655.2
OG0000157	XP_002893779.1	XP_006306236.1
OG0000157	XP_020870907.1	XP_023644416.1
OG0000158	XP_020873114.1	XP_006279441.2
OG0000158	XP_002869017.2	XP_006285768.2
OG0000158	XP_020883421.1	XP_006289701.2, XP_006289843.2
OG0000158	XP_002894673.1, XP_002868325.2	XP_006286216.2
OG0000160	XP_020888881.1	XP_006296920.1
OG0000160	XP_020872380.1	XP_006282542.1
OG0000160	XP_020870964.1	XP_006282289.1
OG0000160	XP_020889051.1	XP_006279406.1
OG0000160	XP_020882578.1	XP_006279360.1
OG0000160	XP_020890865.1	XP_023643729.1
OG0000160	XP_020885195.1	XP_006293643.2
OG0000161	XP_002892325.1	XP_023634397.1
OG0000162	XP_002879436.2	XP_006294455.1
OG0000162	XP_002879435.1	XP_006296229.1
OG0000162	XP_020881771.1	XP_023638032.1
OG0000162	XP_002883663.1, XP_020887605.1	XP_006299665.1
OG0000162	XP_002879439.1	XP_006295600.1
OG0000162	XP_002879438.1	XP_006296378.1
OG0000164	XP_020875554.1	XP_023642220.1, XP_023645695.1
OG0000165	XP_002883872.1, XP_020866166.1	XP_006284720.1
OG0000165	XP_002870492.1	XP_006292033.1, XP_023633900.1, XP_023633896.1, XP_023633895.1, XP_006304794.1
OG0000166	XP_020885127.1, XP_020878232.1, XP_020866560.1	XP_023640242.1
OG0000166	XP_020882873.1	XP_023639378.1
OG0000167	XP_002883620.2, XP_020887739.1	XP_006300127.2
OG0000167	XP_020876857.1	XP_006286703.2
