Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_glauca
OG0000024	XP_020866666.1, XP_002890932.2, XP_002890929.1, XP_020866416.1, XP_002890930.2, XP_002890933.2, XP_002888578.2, XP_020883507.1, XP_020883506.1, XP_002890934.2, XP_002890931.2, XP_020866341.1	Cg006G1959100, Cg006G1958900, Cg006G1959600, Cg006G1959000, Cg006G1959800, Cg006G1959300
OG0000024	XP_002893706.2	Cg002G0647900
OG0000024	XP_020888987.1	Cg006G1963900, Cg006G1963800
OG0000024	XP_020881113.1, XP_020879759.1, XP_020879758.1, XP_002875716.2	Cg002G0447000, Cg002G0448700
OG0000025	XP_020877486.1	Cg007G2444400
OG0000027	XP_020878445.1	Cg003G0758600
OG0000027	XP_002872592.1	Cg003G0758500
OG0000027	XP_020878447.1, XP_020878438.1	Cg003G0758900
OG0000027	XP_020873341.1	Cg001G0171100
OG0000027	XP_020867640.1	Cg003G0757800
OG0000027	XP_002867727.1	Cg001G0171900
OG0000027	XP_020873349.1	Cg001G0171700
OG0000028	XP_020874778.1	Cg003G0981300
OG0000028	XP_020875061.1	Cg007G2581000
OG0000030	XP_020871692.1, XP_020871677.1, XP_020888510.1	Cg004G1270000
OG0000030	XP_002885337.1	Cg004G1264800
OG0000030	XP_002890504.1, XP_002893432.1, XP_020866580.1	Cg006G1982700
OG0000030	XP_020879678.1, XP_020881930.1, XP_020880910.1	Cg002G0532900
OG0000030	XP_020869589.1	Cg006G2154000
OG0000031	XP_020872075.1, XP_020890956.1, XP_020882438.1, XP_020870253.1	Cg003G0842000
OG0000034	XP_002869784.2	Cg001G0172000
OG0000034	XP_020873360.1	Cg001G0190400
OG0000034	XP_002867849.1	Cg001G0190500
OG0000034	XP_020873368.1	Cg001G0172600
OG0000034	XP_020873356.1, XP_020873366.1	Cg001G0172700
OG0000040	XP_020888726.1	Cg007G2426000, Cg008G2852000, Cg008G2867800
OG0000040	XP_020890764.1, XP_020881671.1	Cg003G0770800, Cg006G1822500, Cg003G0954000
OG0000040	XP_020884682.1, XP_020887780.1	Cg008G2847400, Cg008G2861900
OG0000044	XP_020880050.1, XP_020868157.1	Cg001G0233900
OG0000044	XP_002865187.1	Cg008G2973700
OG0000044	XP_020881042.1	Cg008G2897600
OG0000044	XP_020880043.1, XP_020867167.1	Cg008G2973900
OG0000044	XP_002884747.1, XP_020890887.1, XP_002863747.1	Cg004G1380900
OG0000046	XP_020871374.1, XP_020877131.1, XP_020885942.1	Cg001G0284200
OG0000051	XP_020868191.1	Cg006G2232100
OG0000051	XP_002881850.2	Cg005G1506300
OG0000051	XP_020884766.1, XP_020885237.1, XP_020890130.1	Cg013G3025800, Cg005G1600400
OG0000051	XP_020883307.1	Cg005G1723400
OG0000051	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1	Cg003G0782100
OG0000052	XP_020882260.1	Cg002G0657800
OG0000052	XP_002894621.2	Cg007G2494300
OG0000052	XP_020882208.1	Cg002G0537500
OG0000055	XP_020889148.1	Cg004G1239300
OG0000055	XP_020889167.1	Cg004G1232400
OG0000056	XP_002886488.1	Cg007G2283300
OG0000056	XP_020865627.1	Cg007G2283500
OG0000056	XP_002888053.1	Cg007G2284900, Cg007G2285100
OG0000056	XP_020880767.1	Cg002G0557700
OG0000058	XP_020883504.1	Cg007G2347400, Cg004G1359500, Cg004G1359600, Cg007G2327500
OG0000058	XP_020877514.1	Cg002G0648900
OG0000059	XP_020879890.1, XP_020878851.1, XP_020866756.1, XP_020881512.1, XP_020875242.1, XP_020886057.1, XP_020876759.1, XP_020874679.1, XP_020870695.1	Cg008G2824900, Cg001G0300100, Cg001G0266200, Cg004G1243400, Cg007G2336400
OG0000059	XP_020875483.1, XP_020876486.1	Cg003G0778100
OG0000061	XP_020868372.1, XP_020870753.1, XP_020869081.1, XP_020868711.1	Cg004G1379900
OG0000061	XP_020870702.1	Cg004G1382400, Cg004G1390200
OG0000061	XP_020886448.1, XP_020870001.1	Cg005G1634900
OG0000064	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1	Cg003G0987600
OG0000065	XP_020865823.1, XP_020865819.1	Cg007G2435800
OG0000066	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1	Cg006G2172200, Cg008G2671100, Cg003G1045600, Cg003G1045700, Cg008G2671000
OG0000066	XP_020891413.1, XP_020877536.1	Cg003G0715700, Cg002G0598000, Cg002G0598300, Cg014G3039900, Cg007G2340900
OG0000066	XP_020875249.1, XP_020875248.1, XP_020876760.1	Cg001G0018800
OG0000066	XP_020869687.1	Cg006G2066700
OG0000067	XP_020876559.1	Cg004G1439200
OG0000068	XP_020876030.1, XP_020876026.1	Cg008G2596900
OG0000068	XP_020889396.1, XP_020889441.1	Cg004G1419400
OG0000068	XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1	Cg008G2602600, Cg008G2600100
OG0000069	XP_020880445.1	Cg001G0395000
OG0000069	XP_002883980.2, XP_002893663.2, XP_020867217.1, XP_020868842.1	Cg006G2225100
OG0000069	XP_020882733.1	Cg004G1201400
OG0000070	XP_020867590.1	Cg006G2161100
OG0000070	XP_002883942.1, XP_002875195.1, XP_002875194.1	Cg002G0680500
OG0000070	XP_020885789.1, XP_002890373.1, XP_002887052.2	Cg006G2064200
OG0000070	XP_020891141.1	Cg001G0322900, Cg001G0323200, Cg007G2530800
OG0000070	XP_002863814.1	Cg008G2918500, Cg011G3015900
OG0000070	XP_002867118.1	Cg001G0056200
OG0000072	XP_020876164.1, XP_020889278.1	Cg002G0615600, Cg003G0921700, Cg005G1721600, Cg006G1875000, Cg003G0891300, Cg006G1857400, Cg005G1716800, Cg005G1678100, Cg003G0771500, Cg003G0829500, Cg003G0793600, Cg004G1350300, Cg001G0334100
OG0000072	XP_020891624.1	Cg007G2400700, Cg007G2408800
OG0000075	XP_020874617.1	Cg001G0013800
OG0000076	XP_020872718.1	Cg001G0007600
OG0000076	XP_020884728.1	Cg005G1594800
OG0000076	XP_002886268.1	Cg008G2983800
OG0000077	XP_020891276.1	Cg007G2324000
OG0000077	XP_020881582.1, XP_020881188.1	Cg002G0679200, Cg002G0679300
OG0000077	XP_020868196.1	Cg006G2167500
OG0000078	XP_020877813.1	Cg008G2744900, Cg008G2744200, Cg008G2744500
OG0000079	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1	Cg004G1172300, Cg002G0672800, Cg002G0570600, Cg010G2993500
OG0000080	XP_020866750.1	Cg002G0578600, Cg002G0578900, Cg005G1663800
OG0000086	XP_002868825.1	Cg001G0342500
OG0000089	XP_020879374.1	Cg008G2794800
OG0000089	XP_020871804.1	Cg003G1017300
OG0000089	XP_020880680.1	Cg002G0558400
OG0000089	XP_020883550.1	Cg005G1638200
OG0000089	XP_002873559.1	Cg008G2689500
OG0000089	XP_002863588.1	Cg008G2943700
OG0000089	XP_020872103.1	Cg001G0195600
OG0000089	XP_002881356.1	Cg005G1585200
OG0000089	XP_020866480.1	Cg006G2065500
OG0000089	XP_020890671.1	Cg007G2528700
OG0000090	XP_020866042.1	Cg002G0596500
OG0000091	XP_002875849.2	Cg002G0552600
OG0000091	XP_002880903.1	Cg005G1672400
OG0000091	XP_020878730.1	Cg001G0362300, Cg008G2769400
OG0000091	XP_002864053.1	Cg003G0829200, Cg003G0877100
OG0000095	XP_020884027.1	Cg005G1739100
OG0000095	XP_020885162.1	Cg005G1739400
OG0000096	XP_002885709.2, XP_020888916.1, XP_002885705.1, XP_002885707.1	Cg001G0384700
OG0000096	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020865803.1, XP_020886742.1, XP_002883180.1, XP_002884070.2	Cg004G1249200, Cg004G1257700, Cg004G1249300
OG0000096	XP_020889406.1	Cg004G1260000
OG0000098	XP_002883751.1, XP_002883752.1, XP_020887764.1, XP_020889445.1	Cg004G1351900
OG0000098	XP_020865728.1	Cg007G2258600, Cg007G2258500
OG0000098	XP_002893476.1, XP_020869068.1	Cg008G2823500
OG0000100	XP_020867631.1	Cg007G2332300
OG0000100	XP_020891540.1	Cg007G2290800
OG0000102	XP_020876465.1	Cg003G0864200, Cg003G0734200
OG0000102	XP_002874844.1	Cg003G0864100, Cg003G0734300, Cg003G0734500
OG0000102	XP_020876795.1	Cg003G0863700, Cg003G0734700
OG0000102	XP_002865915.2	Cg003G0734400, Cg003G0864000
OG0000102	XP_002874852.1	Cg003G0734600, Cg003G0863800
OG0000102	XP_002874842.1	Cg003G0863600, Cg003G0734800
OG0000107	XP_020887921.1	Cg004G1267700
OG0000107	XP_002883228.1	Cg004G1267500
OG0000107	XP_002883226.2	Cg004G1267200
OG0000107	XP_020887923.1	Cg004G1267600
OG0000108	XP_002879684.1, XP_020880453.1, XP_020883890.1	Cg005G1557400
OG0000108	XP_020882238.1, XP_020871933.1	Cg003G0983900, Cg002G0564200
OG0000108	XP_020888275.1	Cg004G1180800
OG0000108	XP_020876820.1	Cg008G2664600
OG0000108	XP_020867828.1, XP_002883150.1	Cg004G1253800
OG0000111	XP_002876201.1	Cg003G0769600, Cg003G0769200, Cg003G0769000, Cg003G0769100, Cg003G0768800, Cg003G0768700, Cg003G0768900, Cg003G0768500, Cg003G0768100, Cg003G0769400, Cg003G0768000, Cg003G0767700, Cg006G1873400, Cg006G1939000, Cg006G1938900, Cg006G1938700, Cg013G3026300, Cg002G0596600
OG0000115	XP_020889357.1	Cg008G2910800
OG0000117	XP_020866886.1	Cg006G2029700
OG0000117	XP_020869256.1	Cg006G2031100
OG0000117	XP_002893298.1	Cg006G2029800
OG0000117	XP_020869910.1	Cg006G2029600
OG0000117	XP_020866884.1	Cg006G2029900
OG0000117	XP_002893302.1	Cg006G2029400
OG0000117	XP_002893290.1, XP_002893291.1	Cg006G2030600
OG0000119	XP_002878927.2, XP_020885607.1, XP_002878925.2	Cg005G1714200
OG0000119	XP_002875622.2	Cg002G0596700
OG0000119	XP_020876007.1	Cg001G0041500
OG0000119	XP_002877410.2, XP_020881729.1	Cg002G0574700
OG0000120	XP_020871150.1	Cg002G0560700, Cg001G0267600
OG0000122	XP_020881529.1	Cg003G0952700
OG0000122	XP_020866960.1	Cg003G0952800
OG0000122	XP_020865748.1	Cg003G0800700
OG0000124	XP_020875630.1	Cg001G0378100
OG0000125	XP_020883008.1, XP_020885175.1	Cg005G1644900
OG0000125	XP_020885247.1	Cg005G1644600
OG0000125	XP_020870885.1	Cg006G2188500
OG0000125	XP_020866497.1	Cg006G1841400
OG0000125	XP_020870264.1, XP_020870260.1, XP_020870269.1	Cg006G1816500
OG0000125	XP_020886058.1	Cg004G1281100
OG0000127	XP_020868538.1	Cg006G2186100
OG0000127	XP_002874101.1	Cg008G2786000
OG0000127	XP_020885803.1	Cg002G0489900
OG0000127	XP_002873061.1	Cg008G2597500
OG0000127	XP_020872447.1, XP_002864658.2	Cg003G0989900
OG0000127	XP_002877451.1	Cg002G0569500, Cg002G0569100
OG0000127	XP_002879182.1	Cg005G1647800
OG0000128	XP_020879745.1	Cg007G2459200
OG0000128	XP_020879609.1	Cg002G0434200
OG0000128	XP_020880511.1	Cg002G0434700
OG0000128	XP_020880525.1	Cg002G0434600
OG0000129	XP_020890882.1	Cg007G2357000
OG0000129	XP_020890883.1	Cg007G2390100
OG0000129	XP_020867988.1, XP_002864761.1, XP_020871006.1	Cg003G1010100, Cg003G1010200, Cg003G1010000
OG0000129	XP_020885823.1, XP_002879145.1	Cg005G1662800, Cg005G1661800, Cg005G1660700, Cg005G1661700
OG0000129	XP_020889363.1	Cg003G0897000
OG0000129	XP_020890885.1	Cg008G2880200, Cg007G2357100
OG0000130	XP_020881817.1, XP_020873128.1	Cg008G2849000
OG0000130	XP_002878891.2	Cg003G0796500, Cg002G0592800
OG0000132	XP_020880888.1	Cg002G0477500
OG0000134	XP_020879464.1, XP_020879441.1, XP_002863119.2, XP_020875295.1, XP_020875315.1	Cg008G2920900
OG0000137	XP_002866093.1	Cg003G0942300
OG0000137	XP_020870474.1	Cg003G0942100
OG0000137	XP_002866092.1	Cg003G0942000
OG0000137	XP_020872008.1	Cg003G0941900
OG0000137	XP_020871354.1	Cg003G0901200
OG0000138	XP_020880953.1, XP_020865702.1	Cg007G2299800
OG0000138	XP_020881910.1, XP_020880545.1	Cg002G0558300, Cg002G0563500
OG0000138	XP_020889594.1, XP_020880950.1, XP_002876243.1	Cg002G0485200
OG0000140	XP_020890722.1	Cg003G0810900
OG0000148	XP_020866202.1	Cg006G1825800
OG0000151	XP_020881605.1	Cg002G0475200
OG0000151	XP_002878017.1	Cg002G0475300
OG0000151	XP_002881649.1	Cg005G1538800
OG0000151	XP_002878016.1	Cg002G0475400
OG0000151	XP_020880621.1	Cg002G0491600
OG0000151	XP_020884903.1	Cg005G1560100
OG0000151	XP_002871574.1	Cg008G2699500
OG0000153	XP_002881123.1	Cg005G1625900
OG0000153	XP_020885353.1	Cg005G1641100
OG0000154	XP_020866593.1	Cg006G1826100
OG0000154	XP_020874310.1	Cg001G0245400
OG0000154	XP_020866511.1	Cg006G1826000
OG0000154	XP_020867950.1, XP_020867947.1, XP_020867946.1, XP_020866200.1	Cg006G1826400
OG0000157	XP_020869575.1, XP_020870755.1	Cg006G1966200, Cg006G1965500
OG0000157	XP_020866682.1	Cg006G1966900
OG0000158	XP_020873567.1, XP_020873647.1, XP_002869930.1	Cg008G2596700
OG0000158	XP_020877947.1	Cg005G1695800
OG0000160	XP_020888881.1	Cg004G1426700
OG0000160	XP_020872380.1	Cg001G0100800
OG0000160	XP_020870964.1	Cg003G0963700
OG0000160	XP_020889051.1	Cg004G1353700
OG0000160	XP_020890865.1	Cg007G2573400
OG0000160	XP_020885195.1	Cg005G1742100
OG0000162	XP_002879436.2	Cg005G1601500
OG0000162	XP_002879435.1	Cg005G1601600
OG0000162	XP_002875217.1	Cg002G0675900, Cg002G0676200, Cg002G0676100
OG0000162	XP_002883663.1, XP_020887605.1	Cg004G1334900
OG0000162	XP_002879439.1, XP_002879438.1	Cg005G1601400
OG0000165	XP_002870492.1	Cg006G1858300
OG0000166	XP_020885127.1, XP_020878232.1, XP_020866560.1, XP_020882873.1	Cg036G3082400
OG0000167	XP_020889511.1	Cg004G1301000
OG0000170	XP_002882022.1	Cg005G1473800
OG0000170	XP_002878356.2	Cg002G0419600
OG0000170	XP_002882021.1	Cg005G1474000
OG0000171	XP_002865968.1	Cg003G0916500
OG0000171	XP_020874812.1, XP_002887912.1	Cg007G2262400
OG0000171	XP_020888018.1	Cg004G1402700
OG0000171	XP_020891046.1	Cg003G0949800
OG0000171	XP_020888570.1	Cg004G1146700
OG0000171	XP_002867477.1	Cg001G0123300
OG0000173	XP_002868919.2	Cg001G0078900
OG0000173	XP_002868934.1	Cg008G2861400, Cg008G2846800
OG0000173	XP_020874945.1	Cg001G0022300, Cg001G0022400
OG0000174	XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1, XP_020866195.1	Cg007G2342000, Cg002G0629800, Cg002G0560800, Cg001G0362900, Cg003G0991500, Cg001G0283900, Cg007G2346200
OG0000175	XP_020870037.1, XP_020890687.1	Cg006G2031400, Cg007G2474600
OG0000175	XP_002892585.1	Cg007G2303300, Cg006G2157000
OG0000175	XP_002871626.1	Cg008G2710700
OG0000176	XP_020883479.1	Cg005G1747600
OG0000176	XP_020889939.1	Cg008G2964200
OG0000177	XP_020869364.1, XP_002890432.1	Cg006G2054600
OG0000177	XP_020869473.1	Cg006G2054500
OG0000178	XP_002874799.1	Cg003G0742900, Cg003G0743000
OG0000178	XP_002872696.1	Cg006G1925200
OG0000178	XP_020877648.1	Cg006G1925100
OG0000178	XP_002893865.1	Cg003G0802700, Cg003G0803500
OG0000179	XP_020890288.1	Cg007G2311400
OG0000182	XP_020880843.1	Cg002G0405500
OG0000182	XP_020881703.1	Cg002G0498500
OG0000183	XP_002888498.1, XP_002870564.1	Cg001G0339800, Cg007G2426600
OG0000183	XP_002879035.1	Cg005G1681400
OG0000185	XP_020870626.1, XP_002891127.1, XP_002891130.1, XP_002862875.1	Cg004G1440400
OG0000185	XP_020869863.1	Cg003G1044200
OG0000185	XP_020871016.1, XP_020867770.1	Cg004G1189300
OG0000185	XP_002890779.1	Cg006G1989500
OG0000186	XP_020884619.1, XP_020882765.1	Cg005G1766900
OG0000186	XP_020891314.1	Cg007G2287600
OG0000187	XP_020882989.1, XP_002878566.1	Cg005G1772000
OG0000187	XP_020869806.1	Cg006G2070900
OG0000187	XP_020883121.1, XP_020885184.1, XP_020884986.1, XP_020885024.1, XP_020885006.1, XP_020885032.1, XP_002879220.1	Cg005G1635300, Cg005G1635400, Cg005G1634600, Cg005G1634500, Cg005G1635600, Cg005G1635200, Cg005G1635700, Cg005G1635500
OG0000188	XP_020885974.1	Cg002G0576300, Cg004G1168000, Cg004G1167400, Cg004G1167900
OG0000188	XP_020888830.1	Cg004G1107000
OG0000189	XP_002876081.1	Cg002G0515600
OG0000189	XP_020873047.1	Cg001G0040600
OG0000189	XP_020885855.1	Cg004G1414100
OG0000189	XP_002887616.1	Cg007G2529500
OG0000189	XP_020870471.1	Cg006G2064800
OG0000192	XP_002877382.2	Cg006G2127500
OG0000193	XP_020888709.1, XP_020887386.1, XP_002865715.1, XP_002885153.1	Cg004G1230500
OG0000193	XP_002891353.1	Cg006G1859600, Cg006G1859800, Cg006G1859900, Cg006G1859400
OG0000193	XP_020866445.1, XP_020869780.1, XP_020869845.1	Cg006G1948300
OG0000195	XP_020886859.1	Cg007G2338500
OG0000195	XP_020884059.1	Cg003G0787700
OG0000196	XP_020872249.1, XP_020883783.1, XP_020874890.1	Cg001G0388500
OG0000197	XP_020872600.1, XP_020872360.1	Cg001G0339500
OG0000197	XP_002869981.2	Cg001G0205400
OG0000197	XP_020865995.1, XP_020875268.1	Cg001G0205200
OG0000198	XP_002875203.1, XP_002875076.1	Cg002G0692800
OG0000198	XP_002892838.1, XP_020869981.1	Cg006G2114000
OG0000198	XP_020869449.1	Cg006G2113800, Cg006G2113700
OG0000198	XP_020882067.1	Cg002G0664200
OG0000199	XP_002891651.2, XP_002891717.1, XP_020868387.1	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	XP_020874321.1	Cg014G3034400, Cg008G2903900
OG0000199	XP_020877798.1, XP_002871796.1	Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200
OG0000200	XP_020870342.1	Cg006G2210500
OG0000200	XP_020870343.1	Cg006G2210600
OG0000200	XP_020870363.1	Cg006G1857600
OG0000200	XP_020870362.1, XP_020870365.1	Cg006G1857700
OG0000201	XP_020884701.1	Cg005G1716200
OG0000202	XP_020879031.1	Cg003G0719400
OG0000203	XP_002878203.1, XP_020880570.1	Cg002G0442000
OG0000203	XP_020880616.1	Cg002G0441200
OG0000203	XP_020880586.1	Cg002G0441400
OG0000203	XP_020880589.1	Cg002G0441100
OG0000203	XP_020880584.1	Cg002G0441500
OG0000208	XP_002880818.2, XP_020866266.1, XP_020866240.1, XP_020866152.1, XP_020877110.1, XP_020865718.1, XP_002868767.2, XP_020876185.1, XP_020890797.1, XP_002883616.1, XP_002894619.2, XP_020877180.1, XP_020874111.1, XP_020867984.1, XP_020884643.1, XP_020890796.1, XP_020885612.1, XP_020884699.1, XP_020891254.1, XP_020866261.1, XP_020887718.1, XP_002872341.2, XP_020866138.1, XP_020877109.1, XP_020877113.1, XP_020871234.1, XP_020866267.1, XP_020876154.1	Cg005G1738400, Cg007G2356100, Cg005G1738000
OG0000209	XP_020868187.1, XP_020869286.1	Cg006G2154400, Cg006G2158500, Cg006G1924600, Cg006G2158400
OG0000209	XP_002871416.1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	XP_020883217.1	Cg005G1613100, Cg003G0772300
OG0000209	XP_020867374.1	Cg006G1996300
OG0000210	XP_020884580.1	Cg005G1480200
OG0000215	XP_020869481.1	Cg005G1678900, Cg002G0563200
OG0000216	XP_020877703.1	Cg003G0750100
OG0000216	XP_002872655.2	Cg003G0750300, Cg003G0750200
OG0000216	XP_002874641.2, XP_020877170.1	Cg003G0750000
OG0000216	XP_020865893.1	Cg007G2323800
OG0000216	XP_002876368.2	Cg001G0324000
OG0000219	XP_020880727.1, XP_020875545.1, XP_020873039.1	Cg001G0279900
OG0000221	XP_020885596.1, XP_020870726.1	Cg002G0658400
OG0000225	XP_020890452.1	Cg007G2558500
OG0000226	XP_020877252.1	Cg003G0770400
OG0000227	XP_020886550.1	Cg004G1118500
OG0000227	XP_020888649.1, XP_020888528.1	Cg004G1376700, Cg004G1376500, Cg004G1376400, Cg004G1385200, Cg004G1377200
OG0000227	XP_020890178.1	Cg004G1376900
OG0000229	XP_020884846.1, XP_002878902.1, XP_020884852.1	Cg001G0315200
OG0000230	XP_020880546.1, XP_020880539.1	Cg008G2846600, Cg008G2861200, Cg008G2861500
OG0000230	XP_020880533.1	Cg007G2290400
OG0000230	XP_020875151.1	Cg001G0350800
OG0000233	XP_002873316.1	Cg008G2647600
OG0000233	XP_020876210.1, XP_020876208.1	Cg008G2647700, Cg008G2647900, Cg008G2647800
OG0000233	XP_002873315.1	Cg008G2647500
OG0000233	XP_002873312.1, XP_020877613.1, XP_020876205.1	Cg008G2647300
OG0000234	XP_002871008.2	Cg008G2601400
OG0000235	XP_020885592.1, XP_020883752.1, XP_002862453.1	Cg005G1544000
OG0000236	XP_020865841.1	Cg007G2466600
OG0000236	XP_020865699.1	Cg001G0272600, Cg004G1311000, Cg004G1287200, Cg004G1333500
OG0000237	XP_020881383.1	Cg006G1842500
OG0000237	XP_002885438.2	Cg001G0099500, Cg004G1282100
OG0000238	XP_020872592.1, XP_002888798.1	Cg007G2478600
OG0000238	XP_002888800.1	Cg007G2478900
OG0000238	XP_002872296.1	Cg008G2832400
OG0000238	XP_002874413.1	Cg006G2034900, Cg006G2035000
OG0000238	XP_020891768.1	Cg007G2478700
OG0000241	XP_020873759.1	Cg001G0185400
OG0000241	XP_002867821.1	Cg001G0185500
OG0000241	XP_020876627.1	Cg003G0857500, Cg003G0740200
OG0000242	XP_020879188.1	Cg008G2821600, Cg008G2821500, Cg008G2969100, Cg008G2968700, Cg005G1735200, Cg008G2969200, Cg008G2968900, Cg008G2969300, Cg008G2968800
OG0000244	XP_020876482.1	Cg003G0862300, Cg003G0736100, Cg003G0862100, Cg003G0861900, Cg003G0736300, Cg003G0736000, Cg003G0862400, Cg003G0735900
OG0000244	XP_002872741.1	Cg003G0869800, Cg003G0728000, Cg003G0861800, Cg003G0736400
OG0000244	XP_020876452.1, XP_020877213.1, XP_020876461.1, XP_020876462.1	Cg003G0728100, Cg003G0869700
OG0000245	XP_020891448.1	Cg002G0636900, Cg005G1684200, Cg006G1978200, Cg002G0623900, Cg005G1684100, Cg002G0592000, Cg003G0881900, Cg001G0321000, Cg004G1345100, Cg007G2384600, Cg006G1796900, Cg007G2312200, Cg007G2309700, Cg008G2652600, Cg003G0760100, Cg002G0642100, Cg006G2201600
OG0000246	XP_002881469.1	Cg005G1566300
OG0000247	XP_002868770.2	Cg001G0351600, Cg001G0351800
OG0000247	XP_002883538.1, XP_002883579.1, XP_020887089.1	Cg003G0782000, Cg004G1322200, Cg004G1322700
OG0000248	XP_020881593.1, XP_002887270.1, XP_002887273.1, XP_002887269.1	Cg007G2470600
OG0000248	XP_002887278.1, XP_020865738.1	Cg007G2471500
OG0000249	XP_020866080.1	Cg006G1934400
OG0000249	XP_002887885.2	Cg004G1366500, Cg002G0640600
OG0000250	XP_002870459.1	Cg003G0862700
OG0000251	XP_002876961.1, XP_002876962.1, XP_002876963.1	Cg002G0664000
OG0000251	XP_002876964.1	Cg002G0663800
OG0000251	XP_002866197.1	Cg003G0962700
OG0000251	XP_020881297.1	Cg002G0664100
OG0000252	XP_002887975.1, XP_002887974.1	Cg007G2272200
OG0000252	XP_002887689.1	Cg007G2546100
OG0000252	XP_020891652.1	Cg007G2546300, Cg007G2546200
OG0000253	XP_002884912.1	Cg004G1184700
OG0000253	XP_002884737.1	Cg004G1154100
OG0000253	XP_002873056.1	Cg008G2596600
OG0000254	XP_020872405.1	Cg001G0250300, Cg001G0250200
OG0000254	XP_002870219.1	Cg001G0249500
OG0000254	XP_002870218.1	Cg001G0249400, Cg001G0249700
OG0000256	XP_002885190.1	Cg004G1236700
